"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"78","71","        To government \6\","W420RC1",0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.7,0.6,0.3,0.3,0.3
"79","72","        To the rest of the world (net)","W421RC1",2.2,2.7,2.9,3,3.5,4.4,6.4,7.2,7.6,8,8.6,9.7
"80","73","        To households \2\","W386RC1",21.2,23.8,26,25.9,30,32.3,37.2,41.5,44.1,51.2,54.8,57.2
"81","74","Equals: Nonprofit institution saving","W422RC1",13.5,12.6,10.6,15.2,21.6,41.8,36.5,44.6,51.9,24.5,21.5,13.9
"82","75","    Nonprofit institution saving as a percentage of nonprofit income and receipts from sales","W423RC1",3,2.7,2.2,3,3.9,7,5.8,6.7,7.2,3.3,2.7,1.7
"83",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","76","  Nonprofit institution income included in personal income \7\","W424RC1",44.5,45.7,49.8,56.4,60,64.5,61.5,67.5,71.4,67.6,66.4,68.8
"85","77","  Transfer payments between nonprofit institutions \8\","W426RC1",25.4,26.8,26.2,27.7,32.1,35.6,41.8,47,54.5,58.5,57.8,56.5
"86","78","  Nonprofit institution income and receipts from sales","W442RC1",444.2,469.6,491.4,514.8,550,593.7,628.1,670.3,724.4,749.8,803.1,837.7
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","1. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2. Includes benefits paid to members, specific assistance to individuals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","and grants and allocations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Excludes unrelated sales, secondary sales, and sales to business, government, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","4. Includes individual contributions and bequests from households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","5. Expenditures are net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","government, and the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","6. Consists of excise taxes paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","7. Consists of rental income of nonprofit institutions (line 48), income receipts on assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","(line 49), transfer receipts from government (line 53), and transfer receipts from business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","(line 54).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","8. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","households through the support of other nonprofit institutions, plus their payments to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Note. Estimates in this table exclude nonprofit institutions serving business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
