"","Table 6#11C# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"43","34","    Supplemental unemployment","B4926C0",2536,2902,2860,3188,3412,3756,3346,2650,2601,2546,2233,2080,1940,1843
"44",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","35","  Benefits paid by pension and insurance funds","B4928C0",370027,392317,430264,465900,505504,559124,593852,624141,648987,685203,717056,760699,816319,885442
"46","36","    Pension and profit-sharing","B4937C0",198460,202226,220069,230602,244986,266703,279200,298448,324919,361914,390848,397546,424466,453414
"47","37","      Private pension and profit-sharing","B4929C0",122432,120046,132374,136177,143229,158928,162852,174328,191170,220524,238643,236428,252896,270135
"48","38","      Publicly administered government employee retirement plans","B4938C0",76028,82180,87695,94425,101757,107775,116348,124120,133749,141390,152205,161118,171570,183279
"49","39","        Federal civilian \1\","B4946C0",26469,28564,30081,31968,34034,34558,36287,37898,40131,41585,44071,45871,47274,49779
"50","40","        Federal military \2\","B1593C0",18398,19503,20646,21885,23510,24826,26054,26976,28142,29174,30597,31452,32172,33220
"51","41","        State and local","S121000",31161,34113,36968,40572,44213,48391,54007,59246,65476,70631,77537,83795,92124,100280
"52","42","    Private insurance funds","B4939C0",171567,190091,210195,235298,260518,292421,314652,325693,324068,323289,326208,363153,391853,432028
"53","43","      Group insurance","B4940C0",148136,165261,182097,203463,225544,255274,278138,290565,290237,289490,291691,327878,354899,392980
"54","44","        Group health insurance","B4930C0",137578,154393,170933,191189,213439,242191,264630,275247,274220,272487,274586,309610,334755,375962
"55","45","        Group life insurance","B4931C0",10558,10868,11164,12274,12105,13083,13508,15318,16017,17003,17105,18268,20144,17018
"56","46","      Workers' compensation","B4932C0",20535,23256,26351,29471,32459,35004,34752,33833,32377,31167,32268,33246,35071,37282
"57","47","      Supplemental unemployment","B4933C0",2896,1574,1747,2364,2515,2143,1762,1295,1454,2632,2249,2029,1883,1766
"58","48","  Employee contributions for publicly administered government employee retirement plans","B4941C0",16299,17018,17953,19132,19970,20826,21626,22672,23757,24816,25969,32391,34722,36755
"59","49","    Federal civilian","B4947C0",4680,4509,4504,4522,4571,4816,4737,4623,4555,4530,4490,9547,10254,10934
"60","50","    State and local","S251200",11619,12509,13449,14610,15399,16010,16889,18049,19202,20286,21479,22844,24468,25821
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Consists of civil service, foreign service, Public Health Service officers, Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Valley Authority, Thrift Savings Fund, and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Includes the Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
