"","Table 4#2#2# Contributions to Percent Change in Real Exports and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40"
"11","2","Exports of goods \1\","A253RZ2",5.85,3.85,8.43,-0.29,7.69,17.02,6.24,-1.86,3.74,1.03,8.66,9.24,9.51,-0.87,-7.02,-2.17,5.92,2.73,3.75,7.82,13.42,8.74,6.14,4.92,5.28,2.29,6.82,8.29,6.31,10.16,1.6,2.7,7.88,-4.38,-2.86,1.5,6.14
"12","3","  Foods, feeds, and beverages","B638RZ2",-0.18,-0.21,1.87,-0.26,1.74,3.72,-1.74,0.8,1.75,-0.01,2.9,0.83,1.65,0.27,-0.72,-0.51,-0.32,-1.37,0.25,0.51,0.74,0.33,0.24,0.13,0.79,-0.04,0,0.65,-0.11,0.01,-0.05,0.18,0.27,0.13,-0.1,0.09,-0.51
"13","4","  Industrial supplies and materials","A639RZ2",3.09,1.04,2.71,-2.19,1.3,4.57,0.66,-2.98,1.66,0.18,2.18,3.1,3.15,-1.6,-0.64,-1.04,1.06,0.12,0.86,0.48,2.42,2.1,1.11,1.25,0.32,-0.44,0.9,1.31,0.8,1.41,-0.17,0.17,1.47,-0.58,0.04,0.4,1
"14","5","    Durable goods","B686RZ2",1.46,0.91,1.25,-2.29,0.42,2.4,-0.37,-1.35,0.42,-0.24,1.34,1.26,1.53,-1.66,-0.85,-0.06,0.08,-0.05,0.18,0.51,1.3,0.83,0.51,0.31,-0.15,-0.23,0.34,0.74,0.36,0.53,0.09,0.21,0.83,-0.5,-0.36,0.14,0.24
"15","6","    Nondurable goods","B687RZ2",1.62,0.13,1.46,0.1,0.88,2.17,1.03,-1.63,1.24,0.42,0.84,1.84,1.62,0.06,0.21,-0.98,0.98,0.16,0.68,-0.03,1.12,1.27,0.6,0.93,0.47,-0.21,0.56,0.56,0.44,0.88,-0.26,-0.03,0.64,-0.09,0.4,0.26,0.76
"16","7","  Capital goods, except automotive","A640RZ2",0.72,1.37,2.88,1.07,2.26,6.15,5.49,0.39,-0.37,-0.42,3.51,4.96,4.35,0.11,-3.24,-0.95,2.75,2.5,2.37,3.9,6.78,4.24,4.22,2.58,2.64,1.8,4.21,5.3,4.49,6.51,1.31,1.72,4.78,-3.2,-2.69,0.63,3.54
"17","8","    Civilian aircraft, engines, and parts","B688RZ2",1.32,-0.39,0.36,0.52,-0.42,0.74,0.72,-0.3,-0.26,-0.47,2.5,1.22,0.87,-0.5,-1.6,0.19,-0.46,1.03,0.56,0.39,1.14,1.04,0.73,0.3,-0.01,-0.93,-0.34,-0.86,0.44,1.09,1.23,-0.19,-0.69,0.17,-0.35,-0.55,0.16
"18","9","    Computers, peripherals, and parts","B850RZ2",0.09,0.43,1.07,0.35,0.42,0.72,0.92,0.17,0.5,0.73,1.02,1.11,1.5,0.62,0.32,1.37,2.15,1.05,1.12,1.83,1.78,0.52,0.94,0.75,0.89,0.72,1.04,1.45,1.43,1.48,0.21,0.63,1.14,-0.57,-0.61,0.23,0.31
"19","10","    Other","B689RZ2",-0.69,1.33,1.46,0.2,2.26,4.69,3.84,0.52,-0.61,-0.67,-0.01,2.64,1.97,-0.02,-1.96,-2.51,1.06,0.41,0.69,1.68,3.86,2.68,2.54,1.54,1.76,2.01,3.51,4.71,2.62,3.94,-0.13,1.28,4.34,-2.8,-1.74,0.96,3.07
"20","11","  Automotive vehicles, engines, and parts","B641RZ2",1.48,0.59,-0.17,0.89,0.91,1.32,0.81,0.38,0.36,0.06,0.23,0.05,-1.26,-0.07,-1.2,0.21,1.21,0.67,-0.14,0.61,1.39,0.19,0,0.47,1.04,0.66,0.83,0.44,0.28,0.99,-0.1,0.25,0.45,-0.47,0.3,0.12,0.66
"21","12","  Consumer goods, except automotive","A642RZ2",0.42,0.35,0.3,0.01,0.78,1.09,1.15,-0.4,0.62,0.44,0.88,0.32,1.25,-0.26,-0.58,-0.49,-0.03,-0.15,0.53,0.92,1.54,1.76,1.24,0.28,0.61,0.41,0.77,0.49,0.61,0.85,0.25,0.1,0.81,-0.07,-0.34,0.5,1.11
"22","13","    Durable goods","B690RZ2",0.22,0.35,-0.07,-0.08,0.57,0.54,0.71,-0.34,0.39,0.11,0.64,0.03,0.63,-0.44,-0.47,-0.4,0.01,-0.09,0.3,0.52,0.92,1.27,0.66,0.03,0.29,0.28,0.31,0.27,0.33,0.49,0.13,0.05,0.45,-0.03,-0.23,0.19,0.69
"23","14","    Nondurable goods","B691RZ2",0.2,0,0.37,0.1,0.22,0.55,0.44,-0.06,0.23,0.33,0.25,0.29,0.63,0.18,-0.11,-0.08,-0.04,-0.06,0.23,0.4,0.62,0.49,0.58,0.25,0.31,0.14,0.46,0.23,0.27,0.35,0.11,0.04,0.36,-0.03,-0.12,0.31,0.42
"24","15","  Other","A643RZ2",0.32,0.7,0.85,0.2,0.69,0.16,-0.11,-0.05,-0.29,0.78,-1.04,-0.03,0.36,0.69,-0.64,0.6,1.23,0.96,-0.11,1.4,0.55,0.11,-0.67,0.22,-0.12,-0.11,0.11,0.1,0.24,0.39,0.37,0.27,0.09,-0.18,-0.08,-0.23,0.34
"25","16","Exports of services \1\","A646RZ2",2.01,0.98,2.32,1.99,-0.19,1.83,1.66,1.23,0.63,1.38,1.88,0.67,1.26,2.1,-0.62,-0.41,2.24,0.31,3.96,2.98,2.6,2.75,2.86,1.71,1.61,0.94,1.87,1.85,2.07,1.74,0.81,1.62,0.86,-1.06,0.51,0.42,2.45
"26","17","  Transfers under U.S. military agency sales contracts","B267RZ2",1.37,-0.15,0.49,1.41,-1.8,-0.95,-0.41,0.54,-0.63,0.87,0.12,-0.85,0.57,0.3,0.32,-0.13,-1.02,-0.37,0.13,0.95,-0.42,-0.19,0.21,0.08,0.17,0.07,-0.15,0.19,0.22,0.09,0.1,-0.23,-0.23,-0.07,-0.04,0.05,0.11
"27","18","  Travel","B493RZ2",0.13,0.34,0.31,0.17,0.3,0.57,0.3,0.26,0.48,0.01,0.29,0.27,0.43,0.4,-0.47,-0.69,1.98,-0.06,0.69,0.66,1.33,1.3,0.94,0.47,0.9,0.42,0.04,0.58,0.6,0.23,-0.31,0.17,0.39,-0.99,-0.45,-0.34,0.91
"28","19","  Passenger fares","B533RZ2",0.09,0.07,0.17,0.03,0.08,0.36,0,-0.14,0.09,0.07,0.14,0.3,0.07,0.09,-0.03,0.15,0.2,0.17,0.33,0.32,0.4,0.32,0.75,-0.17,0.05,-0.06,0.01,0.13,0.19,0.17,-0.04,-0.19,0.04,-0.27,-0.13,-0.31,0.09
"29","20","  Other transportation","B683RZ2",0.14,0.4,0.68,-0.09,0.63,0.89,0.21,-0.06,0.34,0.05,0.28,0.55,-0.03,0.02,-0.17,-0.16,0.9,0.09,-0.1,0.55,0.63,0.06,0.01,0.03,-0.2,0.02,0.29,0.26,-0.09,0.1,-0.05,0.12,0.01,-0.1,0.07,0.09,0.45
"30","21","  Royalties and license fees","B684RZ2",0.08,0.12,0.38,0.13,0.18,0.36,0.35,0.09,-0.16,0.15,0.34,-0.12,0.09,-0.15,-0.72,-0.02,0.05,0.09,0.41,0.53,0.41,0.25,0.42,0.1,0.42,0.05,0.68,0.39,0.19,0.02,0.22,0.36,0.25,-0.31,0.29,0.31,0.25
"31","22","  Other private services","B720RZ2",0.06,0.16,0.13,0.28,0.23,0.18,1.04,0.37,0.42,0.09,0.57,0.37,0.22,1.31,0.91,-0.07,0.09,-0.01,2.76,0.01,0.37,1.09,0.38,1.03,0.16,0.34,1,0.4,0.85,1.14,0.87,1.49,0.34,0.63,0.82,0.75,0.64
"32","23","  Other","B980RZ2",0.15,0.04,0.15,0.05,0.2,0.42,0.18,0.16,0.08,0.14,0.15,0.16,-0.09,0.13,-0.47,0.52,0.04,0.4,-0.26,-0.05,-0.12,-0.08,0.15,0.17,0.13,0.1,0,-0.1,0.11,-0.01,0.03,-0.09,0.06,0.05,-0.05,-0.13,-0.01
"33",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","    Imports of goods and services","A021RL1",14.9,5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.5,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.6,5.9,3.9,4.4,3.6,-0.6,7,8.8,11.9,8,8.7,13.6,11.6,11.5,13.1,-2.7,3.4,4.4,9.9
"35",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","25","Imports of goods \1\","A255RZ2",14.35,3.99,2.87,6.11,10.19,5.42,-2.24,-10.33,18.21,10.06,7.49,1.44,-6.3,1.74,-2.11,11.2,20.09,5.18,8.34,3.8,3.3,3.5,2.41,-0.06,7.46,8.2,10.93,7.49,7.8,12.02,9.75,10.29,11.34,-2.66,3.07,3.9,8.94
"37","26","  Foods, feeds, and beverages","B647RZ2",1.55,-0.6,0.72,0.35,0.66,0.25,-0.7,-0.93,1.1,-0.08,0.91,0.19,-0.9,0.24,0.11,0.5,0.77,0.23,0.13,0.13,-0.19,0.1,0.16,-0.19,0.23,0.05,0.09,0.09,0.36,0.38,0.28,0.34,0.24,0.14,0.18,0.27,0.21
"38","27","  Industrial supplies and materials, except petroleum and products","A649RZ2",4.74,-1.39,0.24,1.93,2.12,0.14,-0.54,-3.27,4.11,1.43,1.75,-0.73,-2.22,1.35,-1.53,2.79,3.72,0.09,0.75,-0.14,0.15,-0.31,0.2,-0.23,1.2,1.05,1.85,0.66,0.78,1.08,1.39,0.54,0.82,-0.43,0.33,0.18,1.83
"39","28","    Durable goods","A820RZ2",3.81,-1.45,0.09,1.24,1.43,0.3,-0.4,-2.68,1.9,1.3,1.15,-0.6,-1.85,0.5,-1.63,1.79,2.09,-0.16,0.47,-0.44,-0.12,-0.29,0,-0.28,0.56,0.58,1.2,0.24,0.47,0.51,0.99,0.25,0.42,-0.37,0.29,0.06,1.23
"40","29","    Nondurable goods","B696RZ2",0.94,0.06,0.15,0.69,0.69,-0.16,-0.14,-0.59,2.21,0.13,0.6,-0.13,-0.37,0.85,0.11,0.99,1.64,0.24,0.28,0.31,0.27,-0.03,0.2,0.05,0.63,0.47,0.65,0.42,0.31,0.57,0.4,0.3,0.4,-0.06,0.03,0.12,0.6
"41","30","  Petroleum and products","B648RZ2",0.78,0.58,0.41,0.76,1.28,2.75,-0.57,-0.34,4.6,4.63,-1.3,0.25,-5.29,-3.46,-3.36,-0.2,0.95,-0.86,2.23,0.36,0.8,0.61,0.12,-0.46,0.3,0.76,0.42,-0.11,0.54,0.34,0.38,0.03,0.41,0.28,-0.19,0.5,0.61
"42","31","  Capital goods, except automotive","A650RZ2",0.89,1.04,0.29,-0.07,1.93,1.83,0.53,-0.38,1.72,0.54,2.23,1.92,1.62,1.86,1.03,2.65,6.37,1.84,2.02,2.24,2.54,2.39,1.45,1.37,3.01,3.32,4.8,5.14,4.12,5.78,3.54,3.49,4.62,-2.67,-0.34,1.15,3.19
"43","32","    Civilian aircraft, engines, and parts","B932RZ2",0.13,-0.04,0.01,0.05,0.38,0.15,-0.05,-0.09,-0.16,0.09,0.11,0.18,0.53,0.14,-0.22,-0.16,0.12,0.37,0.16,0.14,0.2,0.21,0.09,0.01,0.09,-0.25,-0.05,-0.1,0.16,0.36,0.48,0.14,0.15,0.27,-0.45,-0.1,-0.03
"44","33","    Computers, peripherals, and parts","B852RZ2",0.05,0.08,0.15,0.11,0.13,0.15,0.12,0.04,0.18,0.12,0.24,0.19,0.19,0.2,0.3,1.21,1.27,0.26,1.02,1.31,0.86,0.83,0.44,0.98,1.49,1.51,1.66,1.77,1.6,1.93,1.53,1.76,1.06,-0.51,0.53,0.45,1.09
"45","34","    Other","B853RZ2",0.7,1,0.13,-0.23,1.43,1.53,0.45,-0.33,1.69,0.34,1.88,1.55,0.9,1.52,0.95,1.59,4.98,1.21,0.84,0.78,1.48,1.35,0.92,0.38,1.43,2.06,3.18,3.47,2.36,3.49,1.54,1.59,3.42,-2.43,-0.42,0.81,2.13
"46","35","  Automotive vehicles, engines, and parts","B651RZ2",3.44,1.9,0.23,2.27,1.03,0.38,0.64,-2.14,3.23,0.66,0.92,-0.38,-0.09,-0.32,0.71,2.62,3.79,1.73,1.35,0.45,-0.42,-0.43,0.07,-0.96,0.72,1.38,1.69,0.24,0.47,1.11,0.88,2.6,1.22,-0.41,0.96,0.37,0.9
"47","36","  Consumer goods, except automotive","A652RZ2",2.76,2.08,0.97,0.7,2.97,0.38,-1.32,-2.65,3.09,2.32,2.76,0.1,0.09,1.09,0.55,2.7,3.83,1.4,1.78,0.57,0.26,0.81,-0.31,0.29,1.82,1.54,1.55,1.36,1.34,2.57,2.51,2.37,3.31,0.33,1.91,1.84,2.24
"48","37","    Durable goods","B697RZ2",1.74,1.11,0.52,0.6,1.97,0.52,-0.46,-1.78,1.28,2.14,1.62,-0.04,0.37,0.62,0.15,1.41,2.18,0.96,0.8,-0.01,0.11,0.52,-0.5,0.08,0.89,0.83,0.89,0.67,0.8,1.22,1.49,1.34,1.93,-0.08,1.19,0.81,1.64
"49","38","    Nondurable goods","B698RZ2",1.02,0.97,0.45,0.1,0.99,-0.14,-0.86,-0.87,1.81,0.18,1.14,0.14,-0.29,0.47,0.4,1.29,1.65,0.44,0.98,0.59,0.15,0.28,0.19,0.21,0.92,0.7,0.65,0.69,0.53,1.35,1.02,1.02,1.38,0.41,0.72,1.03,0.6
"50","39","  Other","A653RZ2",0.19,0.38,0.01,0.17,0.2,-0.31,-0.29,-0.63,0.37,0.57,0.21,0.08,0.49,0.97,0.38,0.16,0.66,0.75,0.08,0.19,0.16,0.34,0.71,0.12,0.19,0.11,0.53,0.11,0.18,0.75,0.78,0.92,0.72,0.1,0.22,-0.4,-0.05
"51","40","Imports of services \1\","B656RZ2",0.55,1.7,1.4,-0.77,1.06,-0.78,-0.02,-0.78,1.34,0.87,1.18,0.22,-0.34,0.88,0.85,1.42,4.25,1.31,0.23,2.1,0.63,0.88,1.2,-0.51,-0.51,0.54,1.01,0.55,0.9,1.56,1.88,1.17,1.8,-0.05,0.31,0.53,0.98
"52","41","  Direct defense expenditures","B752RZ2",0.34,0.56,-0.23,-1.16,-0.29,-1.3,-0.31,-0.67,-0.23,0.14,0.29,-0.11,0.3,0.23,0.27,0.37,-0.04,0.14,-0.36,-0.22,-0.2,-0.03,-0.09,-0.2,-0.5,-0.22,-0.3,-0.15,0.12,0.17,0.08,0.08,0.05,0.09,0.26,0.17,-0.04
"53","42","  Travel","B768RZ2",-0.76,0.55,1.01,-0.01,0.57,-0.38,-0.57,-0.17,0.33,0.14,0.14,-0.1,0,0.2,0.65,0.54,3.25,0.59,-0.44,1.01,0.16,0.17,0.39,-0.57,0.17,0.28,0.2,0.04,0.2,0.44,0.65,0.1,0.52,-0.21,-0.28,-0.38,0.13
"54","43","  Passenger fares","B769RZ2",0.08,0.39,0.25,-0.04,0.37,0.28,-0.05,0.01,0.16,0.01,0.16,0.04,-0.03,0.19,0.04,0.41,-0.04,0.23,-0.04,0.14,0.02,0.1,0.24,-0.26,0.05,0.14,0.22,0.11,0.11,0.14,0.15,0.07,0.13,-0.26,-0.26,0.04,0.12
"55","44","  Other transportation","B770RZ2",0.55,0.1,0.33,0.38,0.32,0.42,0.07,-0.19,0.62,0.5,0.19,0.12,-0.51,0,-0.47,0.15,0.73,0.07,0.08,0.54,0.29,0.14,0.29,-0.06,-0.17,0.08,0.2,-0.01,-0.04,0.23,0.19,0.01,0.31,-0.15,0.07,0.09,0.24
"56","45","  Royalties and license fees","B908RZ2",0.03,0.06,-0.02,0,0.06,0.09,0.03,0.06,-0.02,-0.01,0.06,0.04,-0.07,-0.04,-0.02,0.04,0.06,-0.01,0.05,0.09,0.13,-0.03,0.08,0.12,0.16,-0.04,0.1,0.11,0.08,0.12,0.19,0.15,0.23,-0.02,0.18,0.03,0.14
"57","46","  Other private services","B909RZ2",0.14,0.12,0.06,0.12,0.03,0.12,0.86,0.19,0.38,0.09,0.3,0.23,0.04,0.31,0.28,-0.16,0.27,0.24,1,0.44,0.23,0.53,0.29,0.43,-0.24,0.29,0.55,0.43,0.43,0.43,0.59,0.75,0.53,0.48,0.35,0.59,0.41
"58","47","  Other","B910RZ2",0.17,-0.08,-0.01,-0.07,-0.01,-0.01,-0.06,-0.01,0.1,0.01,0.05,0.01,-0.06,0,0.1,0.08,0.03,0.06,-0.05,0.11,0.01,0,0,0.03,0.02,0,0.04,0.01,0.01,0.03,0.03,0,0.03,0.02,0,-0.01,-0.01
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
