"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"35","26","          Benefits paid","M318251",4.3,4.9,5.7,6.7,7.8,9,10.9,13.4,15.7,18,20.3,22.9,26.9,31.7,34.8,37.2,38.9,39.4,42.3,44.6,48.1,50.5,53.8,57.6,59.5,61.8,64.1,68.1,70.5,73.4,75.5,77.3,79.6,83.7,86,93.2
"36","27","          Administrative expenses","M318261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"37","28","        Financing disbursements from credit programs \7\","M318271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2,1.3,-2.3,-4.3,-11.7,-20.7,-11,-15.4,-17.1,-23.3,-15.7,-6.8
"38","29","        Other differences in funds covered \8\","M318281",-1.8,-2.2,-2.7,-3.6,-4.2,-6.2,-8.6,-15.7,-16.2,-17.2,-19.5,-22.6,-26.1,-34.5,-32.3,-28.2,-26.3,-8.6,-2.5,-1.6,-0.3,-0.3,-0.4,-0.3,0.1,-0.4,-0.5,0.3,0.2,0.6,1.3,2.8,2.5,4.5,4.5,5.8
"39","30","        Net investment \9\","M318291",2.8,0.5,-1.1,-3.2,-4.5,-3.7,-3.2,-1.5,1.1,1.9,1.5,4.6,5.9,7.4,9.2,14,18.3,25.2,28.2,30.7,22.9,20.5,20.5,17.8,13.4,8.1,0,-2.1,-0.9,-9.3,-7.6,-5.7,-6,-7.9,-1.5,1.6
"40","31","        Capital transfers paid \10\","M318301",5.2,6.1,5.6,5.5,5.8,6.3,7.1,8.3,9.9,11.3,11.3,13.5,16,16.5,14.8,15.2,16.9,18.8,20.8,18.9,19.5,19.5,20.7,21.4,21.8,23.2,24.7,27.2,27.7,28.9,28.2,31.3,35.1,39.8,44,45.2
"41","32","        Financial transactions","M318311",8.2,3.2,3.7,2.4,3.5,1.2,4.9,11.5,11,12.4,20.6,20.1,25.2,30.8,28.7,15.6,13.7,29.6,14.2,1.8,11.9,23.3,55.9,80.1,9.5,-25.1,-11.1,-17.3,-7.4,1.4,1.4,0.4,1.1,-1.2,-1,-12.3
"42","33","          Loan disbursements less loan repayments and sales","M318321",7.7,3.2,3.6,2.4,3.3,1.2,4.8,11.7,10.9,12.7,21.3,20.2,25.7,29.5,26.8,19.5,15.6,26,12.6,-0.1,0.1,12.1,5.5,12.9,4.5,2.9,-3.1,6.9,7.5,15.5,7.3,14,1.7,7.9,4,-7
"43","34","          Deposit insurance","B1069C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.3,1.5,2.3,0.7,-3.8,-1.7,1.6,23.8,57.9,69.6,5.5,-22.8,-2,-14.8,-7.7,-9.9,-3.1,-3.2,-2.2,-0.8,0.6,1.1
"44","35","          Net purchases of foreign currency","M318341",0.7,0.3,0.3,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","36","          Other","M318351",-0.2,-0.3,-0.3,-0.3,0.1,0,0,-0.3,0.1,-0.3,-0.6,-0.2,-0.5,0.4,0.7,-5.4,-4.1,2.9,5.4,3.5,10.2,-12.6,-7.5,-2.4,-0.5,-5.2,-6,-9.4,-7.1,-4.2,-2.7,-10.4,1.6,-8.4,-5.6,-6.3
"46","37","        Net purchases of nonproduced assets","M318361",-0.6,-0.1,0,-0.7,0.2,-2.4,-6,-1.6,-1,-1.4,-0.9,-1.5,-2.4,-7.6,-2.2,-7.3,-3.3,-1.7,-1.9,-1.4,-0.1,-0.7,-1,0.2,0.2,0.2,0.2,-7.4,-0.1,-11,-5.3,-1.7,-0.3,-0.9,0.2,0
"47","38","          Outer Continental Shelf","M318371",-0.9,-0.3,-0.2,-0.9,0,-2.5,-6.3,-1.9,-1.3,-1.6,-1.2,-1.9,-2.8,-7.8,-2.4,-7.5,-3.4,-1.9,-2.1,-1.6,-1.3,-0.9,-1.1,0,0,0,0,0,0,-0.2,-0.5,0,-0.2,0,0,-0.2
"48","39","          Land and other \11\","M318381",0.3,0.2,0.1,0.2,0.3,0.1,0.3,0.3,0.3,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.1,0.3,0.2,0.2,1.2,0.2,0.1,0.2,0.2,0.2,0.2,-7.4,-0.1,-10.8,-4.9,-1.6,0,-0.9,0.2,0.2
"49","40","        Other \12\","M318391",-0.3,-0.1,-0.1,-0.4,-0.2,-0.3,-1.1,-0.4,-0.3,-0.2,-0.4,0.3,0,-0.4,-0.8,-0.1,0,0,0,0,-0.2,-0.1,-0.1,-0.1,0,-0.1,-0.1,0,0,0,-0.1,0,0,0,0,0
"50","41","Less: Netting and grossing differences","M318401",-3.7,-4.6,-4.5,-4,-5.3,-5.4,-4.5,-5.1,-6.5,-8.7,-9.1,-12.2,-13.1,-18.1,-28.6,-30.2,-34.9,-40.7,-44.3,-42.8,-45.8,-49.7,-45.9,-57.8,-57.9,-64.1,-62.1,-63.3,-62.8,-69.5,-64.5,-65.7,-70.8,-70,-76.2,-91
"51","42","        Supplementary medical insurance premiums","M318411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,-4.3,-4.9,-5.6,-5.7,-6.5,-8.8,-11.6,-11.6,-12.2,-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.8,-26,-28.4
"52","43","        Interest receipts","W706MC1",-2.5,-2.5,-2.5,-2.7,-3,-3.1,-3,-3.3,-4.1,-4.7,-5.7,-7.1,-8.4,-11,-14.4,-15.3,-16.6,-17.6,-22.4,-17.7,-19,-17.3,-17,-23.3,-18.4,-16.1,-12.2,-11.7,-14.5,-13.1,-11.8,-12.9,-14.3,-12.6,-11.2,-11.2
"53","44","        Current surplus of government enterprises","W707MC1",0.5,0.4,1,1.6,1.3,1.4,2.2,3,3.1,2.9,2.7,2,3.5,3.3,2.1,2.8,3.4,2.9,1.7,1.5,2.4,1,4.9,2.6,1.1,0.5,1.8,-0.3,1.9,-0.2,0,-0.3,1.3,6.5,2.4,-7.7
"54","45","        Other \5\","M318431",-1.7,-2.6,-3,-3,-3.6,-3.7,-3.7,-4.9,-5.5,-6.9,-6.1,-7.1,-8.2,-10.4,-12.5,-13.5,-16.8,-20.4,-17.8,-20,-20.4,-21.8,-22.2,-24.9,-27.3,-33.2,-34,-31.2,-30.1,-35.8,-31.9,-31.1,-35.9,-40.2,-41.5,-43.7
"55","46","Plus: Timing differences","M318441",-1.6,-0.8,-0.3,0,-0.6,2.4,-0.2,-0.4,1,1.8,1.4,3.2,-1.7,-1.4,-2,0.1,3.3,-0.4,-2,9.6,-0.6,-2.6,9.2,1.1,-3,-1.5,-10.8,3.1,9.8,-5.6,-0.8,-4.7,-5.6,14.1,-4.3,-11
"56","47","        Purchases (increase in payables net of advances)","M318451",-2.5,-1.4,-0.6,-0.3,-1.1,2.1,-1,-0.4,0.8,1.4,0.6,1.8,-1.8,-0.4,-1.9,-1,-0.1,-1.3,-0.2,5.7,3.8,-4.1,3.8,3.6,-2,1.8,-0.4,3.9,7.3,-1.1,-0.1,0.9,-3.1,0.3,-0.8,-2.6
"57","48","        Interest payments","M318461",0.2,0.1,0,0,-0.1,0,-0.1,0,-0.1,-0.2,-0.3,-0.5,-0.7,-0.9,-1.1,-0.8,-1.3,-1.2,-1.7,0.9,-1.6,-0.8,-1.3,-4.5,-1.5,0.9,0.5,-0.3,0.6,-1.6,-1.3,0.2,-1.1,-0.1,-1,-1.1
"58","49","        Current transfer payments","M318471",0.4,0.1,0.3,0.2,0.3,0.5,0.9,-0.4,0.3,0.6,0.7,1.6,0.6,0.4,0.6,0.5,3.1,0,0.1,2.6,-1.2,1.4,2.9,0.2,1.9,-0.3,-4.9,-0.1,3.6,-0.6,-0.6,-1.2,-5.4,5.2,1.5,-1.2
"59","50","        Subsidies","W708MC1",0.2,0.3,0,0.1,0.3,-0.3,0,0.4,0,0,0.4,0.5,0.2,-0.4,0.4,1.3,1.6,2.1,-0.2,0.4,-1.6,0.9,3.8,1.8,-1.4,-4,-6,-0.5,-1.7,-2.3,1.2,-4.6,4,8.7,-4.1,-6.1
"60","51","Equals: Federal Government current expenditures, national income and product accounts","M318491",164.8,177.9,192.3,211.7,232,254.8,274.1,322.2,360.5,398.2,439,484.1,561,652.9,725.1,805.3,848.9,932.4,994.1,1027.6,1075.7,1151.2,1232.5,1287.1,1417.8,1485.8,1520.1,1599.1,1638.9,1693.5,1726.5,1767.8,1852,1949.3,2066.2,2215.1
"61",NA,"      Net Federal Government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","52","Budget surplus or deficit (-) (1-20)","M318501",-25.2,3.2,-2.8,-23,-23.2,-14.3,-3.5,-43.6,-65.6,-45,-48.8,-27.3,-59,-57.9,-110.7,-195.4,-178.2,-203.2,-221.1,-148.4,-154.3,-153.3,-220.5,-269.5,-290.3,-252.4,-199.5,-157.5,-102.8,-17.4,74.3,131.1,244.1,134.6,-149.3,-372.1
"63","53","Plus: Net investment (30)","M318511",2.8,0.5,-1.1,-3.2,-4.5,-3.7,-3.2,-1.5,1.1,1.9,1.5,4.6,5.9,7.4,9.2,14,18.3,25.2,28.2,30.7,22.9,20.5,20.5,17.8,13.4,8.1,0,-2.1,-0.9,-9.3,-7.6,-5.7,-6,-7.9,-1.5,1.6
"64","54","Less: Net capital transfers received (5-31)","M318521",-2.1,-2.6,-2,-1.8,-0.4,-1.4,-2,-3.7,-4.7,-4,-6.1,-8.1,-9.7,-9.8,-7,-9.2,-11,-12.5,-14,-11.6,-12.2,-10.9,-9.3,-10.4,-10.8,-10.9,-9.6,-12.6,-10.7,-9.2,-4.3,-3.6,-6.3,-11.6,-17.6,-23.5
"65","55","      Federal employee retirement plans (4-23)","M318531",-0.8,-1.2,-0.8,-1,-1,-1.4,-1.9,-2,-2.6,-1.4,-2.7,-2.7,-2.7,-3.6,-3.3,-2.6,-2.2,28.7,30.9,31.5,31.9,33.1,33.1,35.3,37.4,36.8,35.2,33.2,31.3,36.1,35.7,36.6,36.4,36.2,38.3,37.1
"66","56","      Other coverage differences (3+6+7-22-28-29-32-37-40)","M318541",-6.3,-1,-1.2,1.8,0.3,7.1,10,4.8,4.6,4.1,-2.7,0.6,-0.4,8.3,3.2,15.4,11.2,-23.3,-13.2,-2.9,-15.3,-26.8,-60,-85.2,-13.4,19.1,8.7,23.5,14.3,24.9,10.6,10.7,11.1,17.9,9.2,10.4
"67","57","      Timing differences (46-13)","M318551",-4.7,0.4,2.6,0.2,-0.9,-0.1,-1.5,3.3,-5.3,1.3,-2,-0.7,3.2,5.5,6.4,-7.3,-4.1,0.3,-4.2,9.6,-0.1,-6.2,6.6,-1,-2.2,-5.4,-14.6,-0.6,7.5,-11.3,-2.3,-0.7,7.6,6.5,25.6,-40.9
"68","58","Equals: Federal Government saving, national income and product accounts (19-51)","M318561",-8.5,8.1,-2.6,-25.4,-25.8,-22.2,-11.2,-47.5,-56.5,-43.2,-33.7,-11.7,-43.5,-51,-100.7,-177.6,-153.7,-171.1,-192.5,-144.4,-135.7,-122,-170.3,-190.5,-288.1,-283.9,-219.2,-203.2,-146.1,-67.1,27,82.4,189.2,77.8,-206.3,-353.6
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Consists largely of contributions for social insurance by residents of U.S. territories and Puerto Rico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. These transactions are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","3. Consists of estate and gift taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","4. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted largely of U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Treasury receipts from sales of foreign currencies to Government agencies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. Includes proprietary receipts that are netted against outlays in the budget and that are classified as receipts in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","NIPAs.  Also includes some transactions that are not reflected in the budget data but that are added to both receipts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","and expenditures in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","6. Consists largely of social benefits, subsidies, and grants-in-aid to residents of U.S. territories and Puerto Rico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","7. Consists of transactions (not included in the budget totals) that record all cash flows arising from post-1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","direct loan obligations and loan guarantee commitments.  Many of these flows are for new loans or loan repayments;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","consequently, related entries are included in ``Loan disbursements less loan repayments and sales.''",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","8. Consists largely of agencies or accounts such as the Postal Service and the Federal Financing Bank that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","were not included in the budget in some time periods, and beginning with 1996, the Universal Service Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","9. Net investment is gross investment less consumption of fixed capital for government enterprises and general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
