"","Table 5#8#3B# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"65","57","  Government enterprise gross fixed investment","A882RA3",87.48,89.247,97.45,100,106.096,107.433,109.972
"66","58","    Federal","A883RA3",81.194,101.899,111.618,100,83.566,80.938,96.235
"67","59","      Structures","B884RA3",94.479,103.115,115.567,100,90.963,72.469,86.019
"68","60","      Equipment and software","B885RA3",74.528,101.138,109.391,100,79.193,86.389,102.809
"69","61","    State and local","A886RA3",88.518,87.555,95.552,100,109.024,110.862,111.846
"70","62","      Structures","B887RA3",91.262,87.358,94.348,100,109.276,108.972,110.208
"71","63","      Equipment and software","A888RA3",73.26,88.977,102.931,100,107.409,123.525,122.761
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA
