"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"29","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",-7.7,-9.9,-6.1,-13.2,-10.5,-1.1,-2.9,-5.5,-2.3,-14.1,-17.9,-12.4,-6.6,-7.7,-0.7,1.3,-20.8,NA
"30","22","        Other durable goods \3\","N412RC1",15,25,23.1,8.3,18.4,17.9,20.7,22.9,7.6,8.7,12.9,18.5,19.4,28.1,31.4,40.5,47.3,NA
"31","23","      Nondurable goods","N401RC1",70.7,84.9,87.4,69.2,58.4,54,55.2,64.8,78.3,78.3,88,94.6,86.2,80.3,73.9,95.9,134.7,NA
"32","24","        Food and beverage and tobacco products","N402RC1",22.3,30.4,28.8,30.3,27.9,25.7,25.5,20.6,20.2,21.6,22.9,29.3,28.1,23.7,23.4,20.5,39.6,NA
"33","25","        Petroleum and coal products","N404RC1",34.4,33.3,32.3,18.6,4.8,0.8,-0.2,0.9,24.6,21.6,22.1,25.9,27.7,27.6,19.5,49.2,62.8,NA
"34","26","        Chemical products","N403RC1",5.6,14,16.2,14.6,16.4,16.4,18.2,22.8,20.3,18.8,23.8,20.3,15.1,14.4,16.3,8.4,18.8,NA
"35","27","        Other nondurable goods \4\","N405RC1",8.3,7.2,10.1,5.7,9.4,11,11.7,20.5,13.2,16.3,19.1,19.1,15.2,14.6,14.7,17.8,13.5,NA
"36","28","    Wholesale trade","N414RC1",46.7,47.8,53.8,60.2,48.5,52.6,45.3,50.7,48.6,50.3,62.1,64.1,56.8,61.3,69.1,66.9,81.4,NA
"37","29","    Retail trade","N415RC1",66.7,66.3,72.3,78.6,75.7,79.7,80.2,82.1,81.4,90.4,90.3,88.8,97.5,92.9,81.9,87.7,104.6,NA
"38","30","    Transportation and warehousing","N417RC1",2.9,4.1,3.3,-5.2,-1.3,-3.8,-2,3.4,4.6,9.8,8.9,9.3,11,15,6.1,1.7,22.9,NA
"39","31","    Information","N502RC1",-21.5,-21.1,-25.4,-34.4,-17.5,-11.4,-7.8,2.7,-7,-4.3,4.9,-1.1,-6.5,20.3,33,21,46.7,NA
"40","32","    Other nonfinancial \5\","N420RC1",149.8,154.9,151.5,127.4,133.8,148.4,162.1,179.2,187.9,187.7,192.6,201.5,211.8,215.1,235,235.6,318.9,NA
"41","33","Rest of the world","B394RC1",160.1,171,146.6,201.2,155,147.1,154.6,166.5,154.5,169.8,174.7,205,198.2,176.9,185.9,178.6,193.5,195.6
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Note. Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
