"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"21","12","  Net domestic product","A362RX1",3959.3,3967,3989.6,3963.5,3951.3,3955.2,3991.5,3942.5,4059.1,4080.3,4112.4,4121.5,4200,4306.6,4346.8,4420.1,4538.8,4590.2,4556.4,4598.5,4547.7,4555.1,4499.2,4474.2,4408.1,4441.5,4521.7,4584,4697.4,4732.4,4753.3,4786.7,4843.3,4945.5,5038.6,5030.5,5042.8,5259.5,5309.5,5380.1,5381.2,5378,5413,5421.4,5432.7,5298.2,5279.2,5383.5,5504.1,5446.5,5514.2,5427.2,5316.1,5341.3,5310.3,5308.6,5379.1,5511.8,5629.6,5755.2,5874.4,5980.8,6036.6,6081.3,6134.2,6181.6,6280.4,6324.1,6383.6,6402.9,6462.9,6488.1,6518.4,6587.2,6642.3,6762.1,6792.6,6882.4,6913.1,7008.2,7072.9,7123,7177.1,7185,7260.2,7283.8,7275.2,7195.2,7148.6,7196.4,7223.7,7248.6,7331.6,7413.6,7494.6,7579.2,7584.6,7629.5,7665.2,7770.3,7846.5,7957.9,8005.4,8094.8,8105.6,8113.1,8177.7,8229.3,8279.6,8427.8,8496.3,8586.2,8645.6,8774.2,8881.4,8940.3,9016.9,9089,9204.7,9364.4,9437.6,9499.5,9614.4,9787.6,9795.6,9988.9,9976.5,10024.1,9968.3,10026.9,9982.2,10010.2,10094.8,10144.6,10190.8,10182.6,10219.4,10303.2,10489.8,10585.3,10657.4,10732.2,10809.6,10903,11013.3,11053.6,11135,11186.1,11340.8,11371.7,11359.6,11439,11450.7,11539.9,11599.7,11680.8,11643.8,11650.2,11501.9,11261.3,11093.3,11068.1,11116.7,11271.2,11384.8,11432.7,11488.4
"22","13","  Command-basis net national product \4\","C027RX1",4091.8,4095.8,4118.3,4092.7,4079.6,4084.4,4114.5,4060.7,4186.7,4208.7,4234.3,4243.4,4324.1,4427.9,4471.2,4553.3,4673.7,4712,4690.7,4740.2,4659.8,4639.2,4571.8,4542.4,4475.2,4508.4,4599.3,4672.2,4782.8,4819.3,4836.8,4880.5,4934.1,5020.2,5096,5107.2,5118.3,5320.7,5371.3,5462.1,5456,5455.5,5481.5,5463,5436.9,5284.6,5261.9,5357.4,5474.4,5419.6,5504.4,5432.6,5321.4,5363.2,5326.1,5325.8,5406.8,5545.9,5667.1,5805.3,5920.6,6024.8,6087.3,6132,6183.2,6234.5,6317.5,6355.6,6406.1,6437,6490.3,6498,6527.7,6593,6642.7,6767.3,6804.3,6888.9,6930.9,7018.8,7084.8,7125.8,7192.3,7205.5,7265.9,7309.1,7276.6,7192.3,7160.2,7213.5,7245.5,7279.9,7352.1,7432.6,7499.6,7591,7611.7,7647.8,7698.3,7789.8,7877.6,7978,8013.3,8103.4,8126.2,8129.4,8185.7,8256.7,8319.3,8461.2,8513.3,8608.7,8677.1,8819.8,8930.4,8986.3,9096.6,9175.9,9286.7,9451.3,9543.7,9591.6,9692.9,9859.4,9847.4,10053.6,10032.4,10105.1,10042.7,10137.1,10085.8,10211.1,10254.6,10262.6,10325.5,10331.5,10323.7,10449,10635.1,10758.4,10834.4,10876.9,10956.2,10999.5,11148.2,11163.9,11231.6,11231.2,11393.4,11419.4,11399.8,11514.5,11523.7,11621.2,11742.1,11778.8,11665.3,11622.5,11520,11318.2,11244.9,11216,11277,11353.4,11455.4,11568.3,NA
"23","14","  Net national product","A027RX1",3991,3997.6,4018.9,3992.7,3981.3,3986.1,4022,3970.6,4092.2,4115.2,4144,4154.8,4234.8,4340.8,4383.9,4457,4581.3,4635.5,4609.1,4651.6,4609.9,4614,4552.8,4520.4,4446.8,4480.5,4563.9,4634.3,4746.2,4783.2,4804.6,4839.2,4903.4,5004.4,5096.9,5082.1,5102.7,5309.2,5363.9,5442.7,5445.4,5450.1,5499.2,5506.9,5519.9,5378.6,5355,5444.8,5569.6,5508.2,5579.8,5501.1,5386,5419.8,5376.7,5372.5,5442.2,5579.1,5698.2,5826.4,5940.2,6046.9,6102,6139.3,6180.2,6230.7,6320.7,6369.1,6423,6430.8,6494.4,6509.1,6542.2,6617.3,6671.6,6794.2,6833,6919.2,6946.2,7044.6,7108.7,7157.3,7214.3,7230.7,7303.1,7327.9,7312.3,7264.1,7200.4,7232.9,7255.6,7291,7373.4,7454.7,7531.5,7617.3,7632.5,7668.4,7711.7,7796.8,7881.9,7988.1,8032.5,8121.2,8144.1,8155,8201.9,8267.5,8325.5,8462.9,8527.3,8623.4,8672.4,8810.4,8908.3,8959.6,9046.7,9115.8,9216,9377.7,9464.2,9531.9,9643.2,9828.2,9831,10028.2,10011,10086,10014.4,10082.1,10012,10109.2,10151,10181,10242.9,10253.6,10275.4,10373.8,10559.9,10682.7,10773.4,10821.4,10909.6,10976.4,11121.8,11150.5,11241.3,11263,11419.1,11444.5,11418.8,11507.8,11517.2,11614.8,11735.6,11865.8,11821.4,11810.9,11687.1,11377.2,11206.3,11187.6,11269.7,11422.3,11558.8,11610.4,NA
"24","15","  Trading gains index \5\","W368RG3",102.42,102.406,102.441,102.429,102.363,102.41,102.261,102.222,102.247,102.239,102.142,102.094,102.165,102.058,101.988,101.989,101.98,101.766,101.835,101.683,101.098,100.481,100.517,100.681,100.798,100.745,100.876,100.908,100.899,100.868,100.771,100.838,100.638,100.526,100.384,100.351,100.371,100.369,100.366,100.489,100.391,100.277,99.808,99.356,98.816,98.597,98.604,98.766,98.758,98.746,99.029,99.044,99.134,99.299,99.358,99.396,99.631,99.672,99.715,99.861,99.863,99.874,99.998,100.057,100.243,100.188,100.137,99.956,99.915,100.21,100.134,100.094,99.893,99.749,99.693,99.678,99.641,99.648,99.895,99.81,99.748,99.663,99.797,99.723,99.585,99.814,99.615,99.188,99.565,99.811,99.91,99.885,99.827,99.798,99.667,99.732,99.804,99.792,99.881,99.924,99.982,99.924,99.795,99.823,99.846,99.763,99.818,99.881,99.894,99.926,99.978,99.877,99.948,100.209,100.264,100.321,100.526,100.629,100.716,100.693,100.722,100.599,100.474,100.346,100.183,100.265,100.216,100.175,100.267,100.512,100.683,100.894,100.913,100.713,100.721,100.681,100.425,100.65,100.632,100.644,100.497,100.457,100.392,100.187,100.216,100.112,99.929,99.751,99.8,99.813,99.858,100.072,100.065,100.066,100.053,99.346,98.861,98.551,98.68,99.484,100.277,100.21,100.052,99.481,99.207,99.669,100.026
"25","16","  Terms of trade index \6\","W369RG3",147.186,146.796,147.734,147.318,145.653,146.816,143.009,142.108,142.65,142.506,140.13,138.928,140.655,138.183,136.512,136.578,136.435,132.147,133.444,130.412,120.412,111.735,112.272,114.343,115.727,115.091,117.36,117.895,117.683,117.174,115.781,116.654,113.987,112.558,110.538,109.943,110.249,110.323,110.296,111.95,110.915,109.725,104.5,99.811,94.841,92.778,92.798,94.29,94.225,94.075,96.745,96.854,97.721,99.392,99.865,100.051,102.631,103.001,103.38,105.059,104.877,104.965,105.779,105.942,107.353,106.48,105.461,103.278,102.548,105.432,104.317,103.959,101.789,100.61,99.946,100.073,99.817,100.118,102.492,101.46,100.833,99.882,100.978,100.15,98.743,100.796,98.901,95.099,98.41,100.666,101.565,101.296,100.699,100.399,99.119,99.698,100.35,100.217,100.997,101.327,101.842,101.275,100.119,100.381,100.644,99.998,100.383,100.824,100.845,101.033,101.331,100.351,100.867,102.962,103.381,103.776,105.34,106.098,106.639,106.313,106.412,105.325,104.293,103.319,102.095,102.729,102.313,101.922,102.38,103.906,105.027,106.428,106.407,104.789,104.94,104.495,102.602,104.325,104.073,104.247,103.264,103.089,102.538,101.245,101.497,100.805,99.483,98.314,98.63,98.853,99.309,100.528,100.406,100.5,100.452,96.492,94.047,92.814,93.608,96.794,101.662,101.265,100.314,96.585,94.985,98.064,100.222
"26","17","    Terms of trade, goods \7\","W370RG3",165.654,164.54,165.889,164.931,164.014,165.826,159.483,157.791,159.711,159.909,156.501,155.702,154.002,150.53,148.512,149.514,150.91,146.747,149.721,146.214,132.852,121.707,122.449,125.669,127.599,126.712,129.667,130.585,129.743,128.811,127.081,128.305,124.998,123.099,120.396,119.56,119.904,120.192,120.544,123.041,122.177,120.935,114.447,108.495,102.473,99.624,99.838,101.557,101.132,100.619,103.707,103.763,104.641,105.921,105.571,105.359,108.144,108.508,108.879,111.137,111.334,111.146,110.984,110.02,111.233,110.515,109.702,107.148,106.684,110.31,108.721,108.281,105.017,103.837,103.105,103.595,103.849,104.587,107.579,106.135,104.833,103.298,104.475,103.414,101.606,104.354,101.892,97.107,101.058,103.317,104.075,103.636,102.858,102.396,101.057,101.32,102.062,101.975,102.741,103.129,103.842,103.094,101.943,102.428,102.53,102.101,102.567,102.918,102.59,102.887,102.974,101.448,102.033,104.37,104.63,104.793,106.228,107.166,107.707,107.46,107.411,106.135,105.014,103.887,102.06,102.508,101.851,101.355,101.938,103.71,105.109,106.774,106.816,104.96,105.456,104.837,102.697,105.418,104.863,105.144,104.049,103.989,103.326,101.717,101.906,101.124,99.364,97.749,98.208,98.56,99.115,100.741,100.386,100.621,100.632,96.013,93.265,92.439,93.257,95.703,101.063,101.231,100.203,95.863,93.945,97.593,100.06
"27","18","    Terms of trade, nonpetroleum goods \8\","W371RG3",118.359,117.528,118.311,117.33,116.702,117.895,113.257,112.211,113.619,114.031,111.767,111.097,109.654,107.141,105.53,106.168,107.147,103.888,106.826,107.499,111.348,105.981,104.638,105.713,106.411,105.253,108.529,110.338,110.375,109.162,107.214,108.627,106.048,104.086,101.271,100.537,99.898,99.199,99.051,100.696,100.238,102.672,103.871,100.537,98.745,98.221,97.99,100.2,101.892,102.656,104.288,103.373,103.938,104.277,104.999,104.681,104.905,105.352,106.372,108.329,108.416,108.316,108.083,107.192,108.316,107.777,106.124,103.499,99.764,97.936,95.17,95.682,94.535,94.316,94.051,93.677,92.542,92.958,95.098,92.9,93.183,93.481,93.768,93.33,92.744,93.037,93.059,92.831,92.308,92.843,92.983,92.57,91.511,92.033,91.014,90.524,91.479,91.228,90.922,90.509,91.012,90.915,90.56,90.41,91.176,91.008,90.864,91.177,91.814,92.908,93.223,92.839,93.42,94.014,94.062,94.136,94.344,94.502,94.538,94.23,94.102,94.617,94.916,95.182,95.249,95.369,95.174,95.19,94.834,95.793,96.689,96.798,97.101,97.11,97.81,97.859,97.738,98.204,97.973,98.756,98.863,99.435,99.44,99.653,99.839,100.061,100.465,99.64,100.841,102.144,102.729,102.679,102.866,103.463,103.761,104.161,104.335,104.534,105.095,99.851,99.092,100.788,101.876,101.816,101.993,103.064,103.356
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","7. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","8. Ratio (multiplied by 100) of the price index for goods exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","to the price index for nonpetroleum goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
