"","Table 5#8#3B# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"30","23","        Transportation","W188RA3",289.28,276.939,282.394,265.245,272.621,393.539,193.825,244.002,100,87.682,124.095,118.791,138.484
"31","24","        Power","W189RA3",10.833,9.809,9.074,10.867,30.008,43.999,167.724,120.578,100,90.646,48.704,77.899,93.345
"32","25","        Highways and streets","W190RA3",121.861,111.38,103.012,128.236,117.531,118.832,109.602,143.471,100,77.51,92.618,75.157,73.969
"33","26","        Conservation and development","W191RA3",84.776,85.053,95.406,93.006,101.55,109.968,99.302,96.433,100,111.16,103.741,99.196,117.363
"34","27","        Other \4\","W192RA3",51.238,49.185,51.153,52.038,54.216,48.337,56.674,46.015,100,78.777,71.099,60.435,53.851
"35","28","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","29","  State and local","B842RA3",85.256,85.147,91.38,96.289,101.736,105.835,106.404,104.577,100,100.294,98.632,99.379,97.665
"37","30","    New","B843RA3",85.228,84.774,90.997,96.087,103.183,105.323,105.695,104.049,100,100.273,98.04,98.717,97
"38","31","      Residential","W147RA3",106.344,103.581,105.145,92.702,103.958,107.644,104.728,105.822,100,68.892,74.073,73.943,90.738
"39","32","      Office","W193RA3",76.629,81.619,87.133,95.026,105.216,112.915,109.141,108.613,100,79.849,80.875,88.227,91.919
"40","33","      Commercial","W194RA3",60.873,86.701,86.538,79.413,96.154,98.808,82.244,88.414,100,89.892,99.557,121.792,138.301
"41","34","      Health care","W195RA3",92.15,87.703,78.507,76.863,80.27,97.735,96.513,96.281,100,85.054,100.611,104.617,106.529
"42","35","      Educational","W148RA3",74.543,74.237,83.764,89.459,96.749,100.006,101.734,101.696,100,106.031,103.216,107.134,99.038
"43","36","      Public safety","W196RA3",140.206,142.539,146.456,144.658,138.412,127.336,111.61,109.102,100,87.931,103.134,118.514,130.403
"44","37","      Amusement and recreation","W197RA3",94.412,92.552,95.371,111.996,119.378,118.587,103.454,100.615,100,81.878,93.17,94.75,92.95
"45","38","      Transportation","W198RA3",83.522,78.638,86.211,108.961,115.955,119.569,121.643,114.499,100,75.079,76.313,76.832,89.256
"46","39","      Power","W199RA3",64.146,49.621,64.344,75.139,73.969,76.864,116.654,96.09,100,118.214,152.625,136.188,134.849
"47","40","      Highways and streets","W149RA3",94.287,96.205,102.075,104.821,112.731,108.234,105.585,104.834,100,101.171,90.161,88.879,87.917
"48","41","      Sewer systems","W150RA3",87.316,79.65,79.838,74.698,83.322,91.738,96.747,99.281,100,132.786,125.325,123.923,117.485
"49","42","      Water systems","W168RA3",80.963,82.448,87.311,83.074,91.991,101.434,102.267,101.036,100,126.468,118.155,113.073,107.07
"50","43","      Conservation and development","W169RA3",93.816,93.278,106.392,130.39,115.13,100.45,97.943,105.921,100,91.259,115.992,108.943,92.733
"51","44","      Other \5\","W200RA3",143.401,164.895,73.721,126.242,75.981,245.268,385.619,152.48,100,151.304,350.476,148.067,34.224
"52","45","    Net purchases of used structures","B870RA3",86.704,102.963,109.722,106.079,33.705,128.867,138.535,128.517,100,101.24,126.716,130.969,129.539
"53","46","Equipment and software \2\","A871RA3",60.785,66.473,73.008,75.454,78.015,83.405,87.391,93.825,100,108.114,114.352,126.2,126.759
"54","47","  Federal","B872RA3",58.526,62.165,67.817,68.868,71.782,79.647,84.419,92.803,100,107.862,110.688,126.047,128.62
"55","48","    National defense","B873RA3",58.259,60.034,63.553,65.372,69.366,78.949,85.366,94.854,100,107.763,112.564,129.558,131.719
"56","49","      Aircraft","B874RA3",39.547,39.808,41.459,48.321,56.465,65.096,64.614,79.716,100,101.587,96.771,98.404,104.096
"57","50","      Missiles","B875RA3",73.147,82.334,74.668,70.347,88.287,88.183,90.917,103.296,100,111.641,105.307,97.595,120.268
"58","51","      Ships","B876RA3",74.51,78.783,83.471,79.448,87.054,104.092,112.793,108.471,100,98.598,91.837,91.352,97.607
"59","52","      Vehicles","B877RA3",34.576,38.49,42.851,47.687,51.026,69.186,81.995,72.672,100,128.33,155.607,229.04,218.858
"60","53","      Electronics and software","B878RA3",59.168,62.755,68.984,71.412,70.572,74.258,80.417,89.522,100,113.785,132.674,166.074,168.658
"61","54","      Other equipment","B879RA3",65.045,63.878,68.256,68.459,68.745,79.699,89.309,103.657,100,108.031,114.428,134.981,131.342
"62","55","    Nondefense","B880RA3",59.185,66.949,77.421,76.709,77.165,81.131,82.127,87.935,100,108.101,106.103,117.39,121.014
"63","56","  State and local","B881RA3",65.175,74.293,82.379,87.257,89.212,90.252,92.836,95.718,100,108.59,121.354,126.427,123.117
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","57","  Government enterprise gross fixed investment","A882RA3",78.282,80.285,87.637,87.243,93.503,101.22,109.907,103.638,100,102.435,104.612,103.7,104.653
"66","58","    Federal","A883RA3",82.409,105.954,115.676,80.645,77.141,78.937,93.191,78.898,100,97.003,91.122,101.833,96.51
"67","59","      Structures","B884RA3",145.139,172.712,191.619,79.769,113.269,102.975,122.531,68.907,100,95.348,85.121,133.899,106.849
"68","60","      Equipment and software","B885RA3",59.893,81.2,87.65,79.638,62.997,69.295,81.432,83.376,100,97.8,94.15,84.231,90.916
"69","61","    State and local","A886RA3",77.664,76.799,83.828,87.757,95.173,103.562,111.601,106.219,100,102.981,105.938,103.95,105.473
"70","62","      Structures","B887RA3",83.833,80.222,86.641,91.828,99.638,106.154,112.578,106.497,100,103.357,105.913,102.679,105.006
"71","63","      Equipment and software","A888RA3",49,59.509,68.922,67.109,72.547,90.041,106.286,104.641,100,100.715,106.24,112.676,108.672
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
