"","Table 1#5#4# Price Indexes for Gross Domestic Product, Expanded ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","    Household consumption expenditures (for services)","DHCERG3",16.604,17.533,18.489,19.275,20.199,21.873,23.751,25.411,27.332,29.467,31.916,35.229,38.882,42.086,44.908,47.392,49.635,52.025,54.106,56.862,59.738,62.93,65.93,68.869,71.116,73.087,75.323,77.457,79.765,81.529,83.306,85.523,88.064,90.505,93.572,96.707,100,103.463,107.112,110.832,112.718
"23","16","      Housing and utilities","DHUTRG3",18.184,18.975,19.947,20.703,21.632,22.829,24.624,26.406,28.746,30.775,33.263,36.746,40.8,44.563,47.446,49.86,52.486,54.983,56.96,59.215,61.601,64.277,66.41,68.263,70.236,72.049,73.998,76.187,78.263,80.108,82.014,84.783,88.718,91.297,94.164,96.66,100,104.282,107.958,111.871,113.24
"24","17","      Health care","DHLCRG3",10.914,11.738,12.343,12.867,13.475,14.755,16.414,17.996,19.496,21.142,23.202,26.012,29.188,32.474,35.444,38.097,40.408,42.81,45.564,49.116,53.435,57.995,62.476,66.868,70.442,73.304,75.978,77.766,79.324,80.82,82.594,84.919,87.769,90.065,93.481,96.932,100,103.039,106.842,109.73,112.693
"25","18","      Transportation services","DTRSRG3",20.265,21.831,23.364,24.254,25.326,27.497,30.537,32.815,35.092,37.414,40.741,47.289,53.041,55.979,58.104,60.397,61.589,62.206,64.842,67.873,70.857,73.565,75.584,77.732,80.436,81.417,83.214,84.263,86.13,87.648,88.956,91.625,92.643,93.072,95.07,96.459,100,104.215,106.631,112.406,115.633
"26","19","      Recreation services","DRCARG3",22.476,23.514,24.548,25.177,26.071,27.879,29.934,31.416,32.919,34.887,37.191,40.004,42.553,44.873,46.821,48.845,50.953,52.922,54.974,57.083,59.921,63.192,66.478,68.541,70.736,72.246,73.839,76.299,78.766,80.716,83.311,86.536,89.372,91.943,94.761,97.27,100,103.37,106.237,109.542,110.815
"27","20","      Food services and accommodations","DFSARG3",18.121,19.461,20.499,21.257,22.71,25.337,27.619,29.447,31.579,34.34,38.047,41.732,45.46,48.059,50.135,52.396,54.648,56.888,59.203,61.748,64.544,67.499,70.194,71.684,73.09,74.373,76.128,78.179,80.497,82.654,84.79,87.16,89.644,91.818,93.773,96.889,100,103.35,107.394,111.644,114.375
"28","21","      Financial services and insurance","DIFSRG3",17.765,18.677,19.797,21.01,21.506,23.229,24.948,25.955,27.949,31.638,33.361,35.942,38.658,40.89,44.831,47.666,49.7,52.479,53.873,57.147,59.147,62.102,64.836,69.726,70.503,71.664,74.514,77.523,82.117,84.071,84.91,85.66,85.177,87.519,91.48,96.488,100,102.303,106.85,110.015,109.533
"29","22","      Other services","DOTSRG3",18.373,19.258,20.395,21.439,22.699,25.154,26.957,28.642,30.113,31.693,33.994,37.082,40.878,44.06,46.547,48.916,50.698,53.357,54.646,56.933,59.081,61.488,64.426,67.158,69.489,72.092,74.479,76.639,78.786,80.394,82.357,83.942,86.539,89.912,93.234,96.358,100,103.422,106.436,110.819,113.329
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",58.721,61.268,64.628,67.272,71.595,81.93,89.516,94.258,100.718,107.37,117.927,129.131,135.99,129.701,120.696,115.921,113.63,110.239,108.437,107.544,101.09,93.192,86.681,79.268,75.32,75.252,75.316,76.668,79.859,85.104,88.129,92.985,97.282,98.066,96.567,96.198,100,102.104,103.606,104.298,101.105
"31","24","      Gross output of nonprofit institutions \2\","DNPERG3",15.062,16.044,16.815,17.608,18.735,20.988,23.099,24.893,26.751,28.785,31.674,35.46,39.333,42.394,44.678,46.836,48.715,50.416,52.626,55.727,58.789,61.571,64.43,66.767,68.823,70.801,72.809,74.808,76.723,79.019,81.179,84.377,87.611,90.203,93.108,96.179,100,103.617,106.832,109.594,111.137
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",9.823,10.552,11.03,11.577,12.317,13.686,15.104,16.411,17.671,19.074,21.002,23.686,26.724,29.952,32.815,35.354,37.465,39.567,42.072,45.462,49.701,54.117,58.676,63.096,66.607,69.112,71.652,73.828,75.372,76.845,78.744,81.427,84.316,87.498,91.913,96.172,100,104.129,107.955,111.494,114.836
"33","26","Gross private domestic investment","B006RG3",30.77,32.072,33.671,35.077,36.972,40.648,45.666,48.19,51.805,56.03,61.099,66.836,73.154,76.899,76.706,77.256,78.047,79.737,81.263,83.12,85.107,86.747,87.981,87.672,88.673,89.828,90.84,90.455,90.12,89.109,88.989,89.954,90.748,91.118,92.411,95.632,100,104.371,106.211,106.977,104.873
"34","27","  Fixed investment","B007RG3",29.767,31.047,32.611,34.009,35.888,39.422,44.361,46.932,50.616,54.891,59.866,65.468,71.551,75.468,75.349,75.79,76.744,78.579,80.036,82.111,84.099,85.808,87.082,86.831,87.838,89.023,90.06,89.817,89.589,88.756,88.7,89.751,90.553,90.924,92.301,95.541,100,104.419,106.256,107.053,105.26
"35","28","    Nonresidential","B008RG3",38.527,40.348,42.246,43.673,45.355,49.733,56.581,59.718,63.805,68.078,73.606,80.098,87.832,92.67,91.843,91.621,92.34,93.908,94.753,96.857,98.89,100.783,102.341,101.488,101.54,102.029,102.247,101.054,99.775,97.587,96.173,96.219,95.788,95.363,95.355,96.834,100,103.534,105.505,106.984,105.7
"36","29","      Structures","B009RG3",14.518,15.473,16.664,17.863,19.247,21.91,24.534,25.741,27.973,30.675,34.238,37.421,42.567,45.927,44.757,45.147,46.219,47.106,47.863,49.895,51.848,53.522,54.491,54.502,56.103,58.089,60.601,62.141,64.516,67.48,69.559,72.298,76.087,79.292,82.174,88.441,100,112.922,119.78,125.46,122.187
"37","30","      Equipment and software","B010RG3",57.985,60.119,61.905,62.651,63.716,68.414,78.523,83.143,88.083,92.731,98.61,107.032,114.681,119.155,119.406,118.364,118.221,120.094,120.75,122.256,123.786,125.389,127.178,125.681,124.408,123.695,122.265,119.323,115.788,110.641,107.406,106.114,103.603,101.494,100.287,99.897,100,100.194,100.326,100.083,99.62
"38","31","        Information processing equipment and software","A679RG3",259.297,261.76,255.72,250.088,251.949,256.676,272.425,274.79,271.346,261.2,259.319,261.123,267.313,269.897,262.811,251.625,242.43,235.154,228.591,225.512,220.564,214.966,211.198,200.013,192.361,184.636,175.93,161.998,149.57,135.058,125.622,122.047,115.986,110.658,106.399,102.759,100,98.149,95.739,92.47,89.062
"39","32","          Computers and peripheral equipment","B935RG3",40849.551,36692.755,27938.206,22534.927,21365.392,17444.067,16136.6,13477.144,11728.211,7933.086,6573.387,5130.361,4508.726,4034.679,3363.776,2721.382,2313.526,1992.948,1697.542,1576.791,1472.397,1335.949,1200.159,1024.233,870.349,765.419,640.569,488.486,376.572,279.774,217.847,190.64,157.838,137.092,122.55,113.617,100,87.395,78.581,70.639,64.734
"40","33","          Software \4\","B985RG3",129.05,131.191,128.067,125.794,128.221,133.221,138.818,139.13,140.482,137.376,141.433,144.926,150.144,154.135,152.592,149.999,147.368,142,141.008,139.435,132.55,127.943,127.403,116.787,116.037,112.209,111.535,108.87,105.729,102.572,103.851,106.967,107.432,105.534,103.069,100.519,100,101.17,101.724,101.916,100.364
"41","34","          Other","A937RG3",62.881,65.173,67.5,69.177,70.539,75.024,82.06,85.87,86.563,90.109,92.728,99.552,106.474,111.503,114.609,117.099,118.841,121.84,124.801,126.49,128.104,129.647,131.271,132.624,132.322,131.608,130.479,128.467,126.856,121.284,116.155,113.2,109.273,105.805,103.552,100.794,100,99.647,97.118,92.483,88.358
"42","35","        Industrial equipment","A680RG3",21.708,22.786,23.804,24.29,24.973,27.322,32.928,35.686,38.924,42.334,46.49,52.54,57.558,60.299,61.537,62.224,63.257,66.138,68.991,72.092,74.712,78.292,81.083,82.881,84.014,85.726,88.652,90.491,91.108,91.622,92.154,92.669,93.272,93.308,94.013,96.367,100,103.192,107.317,112.44,113.766
"43","36","        Transportation equipment","A681RG3",27.241,28.547,29.963,30.606,30.938,33.817,37.594,40.291,43.42,47.333,51.394,56.79,61.021,63.782,64.739,65.413,67.388,71.606,72.735,73.851,76.448,79.17,83.181,85.373,86.192,88.64,88.251,90.013,91.441,90.818,91.624,91.723,90.951,91.803,94.635,99.243,100,100.872,102.376,102.921,109.977
"44","37","        Other equipment","A862RG3",22.127,22.927,24.029,24.709,25.237,27.473,33.4,35.862,39.016,42.242,45.905,51.511,57.285,61.363,62.736,63.927,65.223,67.28,68.988,71.026,73.94,76.876,79.397,81.123,82.544,83.929,85.659,87.957,89.059,90.376,91.549,92.139,93.447,94.228,95.109,96.047,100,102.32,104.636,108.232,112.772
"45","38","    Residential","B011RG3",16.144,16.666,17.632,18.703,20.359,22.46,24.547,26.124,28.759,32.281,35.902,39.789,43.036,45.34,46.38,47.714,48.944,50.994,53.079,54.913,56.68,58.011,58.771,59.486,61.89,64.069,66.403,67.828,69.557,71.412,74.151,77.415,80.994,83.002,86.953,93.296,100,106.081,107.613,106.361,102.736
"46","39","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","B020RG3",32.771,34.027,35.283,36.928,41.784,51.478,56.738,58.6,60.987,64.703,72.49,79.843,85.744,86.138,86.478,87.28,84.609,83.342,85.451,89.876,91.373,91.993,93.212,92.833,92.808,93.842,95.997,94.727,93.103,90.972,90.408,91.999,91.627,91.253,93.216,96.517,100,103.447,106.902,111.874,105.877
"51","44","    Goods","B253RG3",37.453,39.142,40.188,41.256,47.884,60.598,67.352,69.075,71.59,75.717,85.713,93.955,100.587,99.436,98.711,99.568,94.588,91.487,93.853,99.897,101.197,100.238,100.133,98.526,97.97,99.016,101.367,98.749,96.021,92.992,91.733,92.897,92.321,91.719,93.522,96.926,100,103.328,106.796,111.97,104.403
"52","45","    Services","B646RG3",23.708,24.164,25.751,28.36,29.681,33.11,35.334,37.468,39.579,42.446,45.749,51.381,55.845,59.233,61.553,62.231,63.928,66.007,67.587,68.937,70.783,74.414,78.131,80.13,81.142,82.14,83.872,85.491,86.335,86.285,87.314,89.92,90.042,90.202,92.533,95.598,100,103.718,107.146,111.643,109.172
"53","46","  Imports","B021RG3",22.254,23.57,25.017,26.77,31.423,44.957,48.699,50.165,54.586,58.44,68.434,85.24,89.822,86.794,83.541,82.82,80.1,80.097,84.948,89.011,90.956,93.563,92.783,92.856,92.144,93.009,95.557,93.891,90.627,85.748,86.25,89.963,87.762,86.784,89.796,94.144,100,104.144,107.531,118.685,105.987
"54","47","    Goods","B255RG3",22.665,24.205,25.445,27.395,32.29,48.319,52.366,53.766,58.692,62.607,73.825,93.155,98.341,94.369,90.424,89.802,86.268,84.336,90.35,94.654,97.303,99.09,97.216,96.685,95.604,96.301,98.868,96.362,92.381,86.801,86.874,91.128,88.482,86.93,89.476,93.872,100,104.207,107.489,119.603,104.908
"55","48","    Services","B656RG3",19.805,20.511,22.368,23.483,27.163,32.303,34.921,36.5,39.094,42.645,48.16,55.892,58.318,58.36,57.404,56.419,56.35,62.45,63.339,66.424,66.072,71.019,73.612,75.673,76.313,77.806,80.235,82.234,82.233,80.629,83.185,84.209,84.219,86.088,91.469,95.573,100,103.806,107.75,113.921,110.711
"56","49","Government consumption expenditures and gross investment","B822RG3",17.517,18.945,20.421,21.989,23.594,25.977,28.586,30.469,32.583,34.67,37.575,41.669,45.768,48.775,50.717,53.319,54.974,55.977,57.541,59.074,60.924,63.405,65.606,67.276,68.949,70.819,72.753,74.488,75.854,76.879,79.337,82.513,84.764,87.003,90.65,94.531,100,104.842,109.863,115.009,114.644
"57","50","  Federal","B823RG3",18.226,19.699,21.383,23.471,25.08,27.315,30.158,32.302,34.742,36.888,39.727,43.9,48.165,51.434,53.218,56.358,57.635,57.938,58.642,59.884,61.504,63.548,66.07,68.101,69.83,71.725,73.717,75.763,77.047,77.931,79.886,82.524,84.201,87.318,91.024,95.335,100,104.107,107.753,111.119,110.895
"58","51","    National defense","B824RG3",17.757,19.116,20.81,23.209,24.911,27.223,29.88,32.057,34.486,36.908,39.853,44.179,48.542,51.953,53.775,57.603,58.696,58.642,59.236,60.326,61.882,63.917,66.222,68.522,69.712,71.438,73.161,75.431,76.517,77.328,79.225,81.821,83.484,86.624,90.659,94.895,100,104.421,108.249,112.109,111.342
"59","52","      Consumption expenditures","B997RG3",15.764,16.979,18.535,20.357,21.928,24.113,26.591,28.52,30.696,32.855,35.642,39.812,43.864,46.969,48.694,52.712,54.173,54.706,55.839,57.134,58.713,60.804,63.185,65.704,66.723,68.314,69.956,72.437,73.868,74.848,76.786,79.69,81.716,85.382,89.898,94.474,100,104.779,108.974,113.091,112.24
"60","53","      Gross investment","B788RG3",32.506,34.86,37.085,49.4,51.249,53.203,56.45,60.768,65.158,69.704,73.283,77.747,84.061,89.758,92.18,93.848,92.067,87.935,85.002,84.75,86.191,87.933,89.786,90.595,93.058,95.841,98.204,98.76,96.927,96.254,97.774,97.832,96.578,95.645,96.098,97.853,100,102.014,103.486,105.781,105.507
"61","54","    Nondefense","B825RG3",19.284,21.143,22.746,23.892,25.231,27.245,30.505,32.549,34.993,36.514,39.1,42.906,46.917,49.825,51.501,52.779,54.574,55.915,56.953,58.679,60.497,62.568,65.672,67.034,70.002,72.267,74.83,76.406,78.095,79.12,81.188,83.907,85.612,88.689,91.774,96.234,100,103.468,106.743,109.077,109.984
"62","55","      Consumption expenditures","B542RG3",17.217,18.88,20.347,21.396,22.614,24.335,27.231,29.167,31.506,32.921,35.242,38.745,42.416,45.098,46.859,48.208,50.085,51.458,52.493,54.173,55.947,58.009,61.306,62.944,66.195,68.627,71.299,73.207,75.322,76.664,79.036,81.985,83.922,87.54,91.075,96.008,100,103.747,107.398,110,111.156
"63","56","      Gross investment","B798RG3",35.549,38.933,41.454,43.249,45.446,50.089,56.276,58.73,61.435,63.662,68.274,74.17,80.605,85.053,85.435,85.86,86.695,87.584,88.571,90.548,92.592,94.578,96.045,95.352,96.318,97.278,98.913,98.156,96.933,95.888,96.188,97.525,97.628,96.877,96.777,97.837,100,101.587,102.41,103.021,102.299
"64","57","  State and local","B829RG3",17.013,18.411,19.72,20.896,22.495,24.97,27.41,29.114,31.005,33.042,35.976,40.002,43.975,46.786,48.857,51.034,53.002,54.577,56.849,58.621,60.654,63.474,65.443,66.856,68.494,70.351,72.252,73.806,75.219,76.32,79.036,82.482,85.019,86.81,90.425,94.062,100,105.276,111.112,117.349,116.892
"65","58","    Consumption expenditures","B991RG3",16.346,17.679,18.909,20.068,21.596,23.565,25.791,27.652,29.617,31.596,34.359,38.137,41.83,44.508,46.786,49.268,51.419,52.951,55.247,57.026,59.15,62.152,64.322,65.975,67.65,69.518,71.333,72.936,74.391,75.516,78.471,82.087,84.786,86.635,90.807,94.343,100,105.047,110.408,116.766,115.608
"66","59","    Gross investment","B799RG3",20.612,22.345,24.049,25.339,27.31,32.304,35.854,36.705,38.131,40.445,44.265,49.575,55.017,58.508,59.192,59.503,60.423,62.202,64.31,66.018,67.569,69.47,70.464,70.715,72.158,73.945,76.258,77.571,78.783,79.771,81.416,84.124,85.974,87.521,88.819,92.875,100,106.257,114.121,119.842,122.38
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
