"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Tax collection and financial management","W577RC1",4.8,5.5,6.1,6.6,6.9,7.9,9.5,9.9,10.9,11.2,11.4,11.7,12.1,14.2,17.1,17.1,23.9,33,29,31.2,30.8,32.1,34.7,37.7,35.9,35.9,36.7,35.5,37.5,38.8,43.1,41.2,44.3,46.6,47.9,49.1,50.5,50.4,51.5,57.8,63.1
"12","5","  Other","W578RC1",5.3,5.5,6.4,7.6,9.3,11.3,13.9,15.1,16.5,18.4,20,22.6,24.2,25,27.1,29.6,31.8,34.9,38.4,39.4,43.1,46.9,48.9,52.8,54.5,57.2,59,61.9,65.8,72.4,78.5,85.5,91.3,98.9,98.4,101,107.3,114.9,118.2,122.1,115.5
"13","6","National defense","A824RC1",89.5,87.6,84.6,86.9,88.1,95.6,103.9,111.1,120.9,130.5,145.2,168,196.2,225.9,250.6,281.5,311.2,330.8,350,354.7,362.1,373.9,383.1,376.8,363,353.8,348.8,354.8,349.8,346.1,361.1,371,393,437.7,497.9,550.8,589,624.9,662.3,737.3,771.6
"14","7","Public order and safety","W579RC1",10.2,11.6,13.3,15,16.8,19.2,22.1,24.3,26.7,30.6,34,38.1,42.5,47.5,51.8,56.4,62.5,68.5,74.3,82.1,91,100.6,109.2,116.6,126.2,135.3,144.7,154.4,163.1,173,187.5,201.6,216.5,230.3,239,250.6,266.3,282.6,305,329.1,330.9
"15","8","  Police","W580RC1",5,5.7,6.5,7.4,8.3,9.3,10.7,11.7,12.8,14.2,15.6,17.2,19.1,21,22.8,24.5,26.9,28.9,30.8,33.6,36.3,39.4,42.4,45.6,49.9,52.9,56.3,60.8,64.5,68.3,73.4,78.3,84.1,91.8,98.3,104.9,111.9,118.5,128.3,140.4,140.1
"16","9","  Fire","W581RC1",2.1,2.4,2.7,2.9,3.2,3.6,4.1,4.5,4.8,5.5,6,6.7,7.4,8.2,8.8,9.4,10.3,11.3,12.1,12.7,13.8,14.8,15.7,16.9,17.3,18.3,19.1,20.2,21.1,22.1,23.8,25.6,27.1,29.5,31.3,32.7,35.7,38.8,42.3,44.8,43.5
"17","10","  Law courts","W582RC1",1.5,1.7,1.9,2.1,2.5,2.8,3.2,3.5,3.9,5.1,5.9,6.8,7.5,8.3,8.9,9.5,10.3,11.1,12,13.8,15.6,17.5,19.3,20.5,23.3,24.7,26.7,28.5,30,32.4,35.3,38.1,41.6,43.2,42.9,44.2,46.6,48.8,52,55.1,56.7
"18","11","  Prisons","W583RC1",1.6,1.9,2.2,2.5,2.8,3.4,4.1,4.6,5.2,5.8,6.6,7.5,8.6,10,11.4,13,15,17.2,19.4,22,25.3,28.9,31.9,33.6,35.8,39.4,42.6,44.8,47.6,50.2,55,59.5,63.7,65.8,66.5,68.8,72.1,76.4,82.5,88.8,90.7
"19","12","Economic affairs","W584RC1",39.5,41.5,44.5,46.8,48.9,56.1,63.2,65.5,70.3,80.4,89.5,101.7,113.6,115.6,123.2,126.1,139.1,148.2,150.2,149.1,160.9,177,183.1,193.7,200.3,206.9,211.3,217.9,228.8,235,254.1,274.1,289.3,308.7,318.6,328,343,364.6,391.3,417.9,430.2
"20","13","  Transportation","W589RC1",22.5,24.6,26.2,27.4,29.2,34.3,37.7,37.8,39.2,43.5,49.6,55.6,59.4,62.1,66,71.7,77.2,82.2,86.3,90.9,94.1,102.6,107.3,110.5,116.5,123.7,126,131.1,139,145.7,157.1,169.4,182.8,194.3,202.4,207.3,218.7,232.9,247.8,267.1,273
"21","14","    Highways","W590RC1",18.9,20.7,22.3,22.8,24.1,28.4,31.3,31.1,32,35.3,40.2,44.5,47.5,49.4,51.4,56.4,61.2,65.6,68.9,72.5,74,80.3,83,84.9,89.5,95.4,98.5,102.4,109.1,114.1,123.5,131.8,142.3,145.6,148.3,154.6,166.5,182.3,196.2,211.2,212.4
"22","15","    Air","W591RC1",1.6,1.9,2,2.1,2.3,2.6,2.7,2.8,2.9,3.3,3.7,4.3,4.3,4.3,5.3,5.7,6.4,7.1,7.6,8.1,9,10,11.2,12.4,13.2,12.9,12,12.9,13.7,14.7,15.7,16.9,18.7,24,26.8,26.1,26.1,26,26.4,27.7,29.1
"23","16","    Water","W592RC1",1.3,1.3,1.4,1.5,1.6,2,2.2,2.2,2.5,2.9,3.5,4.1,4.3,4.6,5.2,5.4,5.5,5.3,5.6,6,6.1,6.6,7.2,7.2,7.4,7.6,7.5,7.8,7.8,8.6,9,10.9,11.3,10.9,11.8,11.1,11.8,12.3,12.9,14.6,15.4
"24","17","    Transit and railroad","W593RC1",0.7,0.6,0.6,1,1.2,1.3,1.5,1.7,1.8,2,2.2,2.8,3.3,3.8,4,4.2,4,4.1,4.2,4.3,5,5.6,5.9,5.9,6.3,7.8,8,8.1,8.4,8.3,8.9,9.7,10.4,13.8,15.5,15.4,14.3,12.3,12.4,13.6,16.1
"25","18","  Space","W595RC1",4.7,4.4,4.3,4.2,3.9,4.3,4.8,4.8,5,5.2,5.6,6.6,7.3,7.6,8.5,8.8,9.3,9.1,10,11.4,13.6,15.7,16.4,16.6,16.6,15.9,16,17.1,17.2,16.3,15.8,16.1,16.6,16.4,16.9,18.2,18.4,18.2,20,21.5,22.7
"26","19","  Other economic affairs","W596RC1",12.3,12.5,14,15.3,15.8,17.5,20.7,22.9,26.1,31.7,34.2,39.5,46.9,46,48.6,45.6,52.6,57,53.8,46.8,53.2,58.8,59.4,66.6,67.3,67.3,69.4,69.8,72.6,73.1,81.2,88.6,89.9,98,99.2,102.5,105.9,113.5,123.5,129.3,134.4
"27","20","    General economic and labor affairs","W585RC1",3,3.4,4.2,4.8,5.2,4.4,4.7,5.3,6,6.8,7.8,9.3,9.3,9.3,8.9,9.4,10.5,11.1,12,12.6,14.9,18.7,15.6,17.5,18.2,18.4,19.3,20.4,21.1,22,23.9,28,26.7,28.5,27.3,28.4,29.5,29.7,31.6,33.9,39.2
"28","21","    Agriculture","W586RC1",3.4,2.5,2.6,2.5,2.5,2.7,3.8,3.8,4.1,4.6,5.1,7.3,7.5,9.8,11.8,8.3,12.4,17.3,12.2,4.9,9.2,8.9,10.9,12.1,11.3,10.8,10.3,10.4,12.3,11.6,13.7,14.4,15.7,16.6,15.7,15.6,15.3,17.7,16.4,16.9,16.7
"29","22","    Energy","W587RC1",2.7,2.9,3,3.3,3.4,4.7,5.8,7,8.9,12.5,12.1,12.4,18.3,14.7,14.4,13.9,14.5,13.1,12.5,12,11.3,11.8,12,15.2,16.8,14.8,16,13.1,12.9,11.3,13.7,13.4,13.9,17.6,21.9,21.7,21.2,23.2,28.5,31.1,31.1
"30","23","    Natural resources","W588RC1",2.9,3.4,3.7,4,4.1,4.8,5.7,5.8,6.3,7,8.4,9.5,10.7,11,12.2,12.3,13.4,13.6,14.3,15,15.5,16.5,17.6,18.4,18.3,20.7,20.8,22.2,22.2,23.6,24.6,27.9,29.2,32.2,31.3,33.3,35.7,38.3,42.3,43.1,43.2
"31","24","    Postal service","W594RC1",0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,0.9,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.5,2.5,2.7,3.3,3.9,4.2,4.9,4.5,3.9,2.8,2.5,3,3.7,4,4,3.5,3.4
"32","25","    Other","W684RC1",0.1,0.1,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8
"33","26","Housing and community services","W597RC1",5.1,5.5,6.2,6.2,7,8.3,9.5,10,9.9,11.8,13.1,15.7,15.6,15.3,14.7,16.4,17.8,20.1,22.1,23.1,24.1,26.4,27.4,27.7,27.4,26.2,27.2,29.5,31,31.5,33.7,32.5,37.2,41.1,43.3,45,48.4,56.3,57.7,60.2,55.9
"34","27","Health","W598RC1",9.8,11.3,12.7,14.3,16,18.4,21,22.2,24.3,26.5,28.1,32.6,34.9,35.8,37.6,40.7,43.5,45.4,48.7,52.8,56.5,61.9,65.2,66.6,68,70.4,71.1,72,72.5,74.8,80.2,86.1,89.7,100.5,109.4,112.8,125.2,127.6,139.9,152.7,148.1
"35","28","Recreation and culture","W599RC1",2.2,2.4,2.6,2.8,3.2,3.9,4.7,5,5.2,6,6.5,7,7.5,8,8.3,8.9,9.9,10.7,11.3,12.1,13.3,14.8,15.6,16.1,16.6,17.5,18.8,20.1,21.6,22.7,23.9,26.8,29.1,31.2,31.2,32.2,34.5,35.6,38.7,40.7,38.8
"36","29","Education","W600RC1",48.6,54.8,60.7,66.2,73.2,81.5,92.8,100.9,107.7,115.8,127.4,139.7,150.5,160.6,169.7,184.4,200.8,218,232.6,250.2,271,293.3,309.9,322.2,336.3,355.4,380,399.3,422.7,444.8,476.6,513.2,548,568.1,600.2,627.2,660.1,702.1,749.2,791.7,787.2
"37","30","  Elementary and secondary","W601RC1",36.9,41.1,45.5,49.5,54.4,60.7,69.5,75.4,80.7,86.9,95.8,104.5,111.5,119.1,126.6,138.1,150,163.5,175.7,188.9,204.7,222.5,236.2,247,256.2,269.6,289.9,306.4,325.6,342.8,368.1,395.1,418.5,438.5,468.3,488.4,514.3,548.9,583.6,611.8,613.1
"38","31","  Higher","W602RC1",9.1,10.6,11.6,12.8,14.7,16.3,18.1,20,21.3,22.8,25.1,28.1,31.3,33.6,34.8,37.3,41.2,44.2,45.8,49.4,53.3,56.9,59.4,60.4,64.7,69.1,72.5,74.2,77.8,81.6,86.7,94.2,103.3,102.3,104.1,110.3,115.9,121.9,133.1,145.5,139.9
"39","32","  Libraries and other","W682RC1",2.6,3.1,3.5,3.9,4.1,4.5,5.2,5.5,5.7,6.1,6.5,7.1,7.7,7.9,8.3,9.1,9.7,10.3,11,11.9,13,13.8,14.3,14.7,15.4,16.6,17.7,18.7,19.4,20.4,21.8,23.9,26.2,27.3,27.7,28.4,29.9,31.3,32.5,34.4,34.2
"40","33","    Libraries","W603RC1",0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2,2.2,2.4,2.6,2.9,3.2,3.4,3.7,4,4.4,4.7,4.8,4.9,5.2,5.5,5.9,6.3,6.5,6.9,7.3,7.9,8.5,8.9,9.4,10.1,10.6,11.3,12.1,12.1
"41","34","    Other","W604RC1",1.9,2.4,2.7,3,3.1,3.4,4,4.2,4.3,4.6,4.8,5.2,5.7,5.7,5.9,6.4,6.8,7.1,7.6,8.2,9,9.5,9.6,10,10.6,11.4,12.2,12.7,13.1,13.8,14.9,16.6,18.3,18.8,18.8,19.1,19.8,20.7,21.1,22.3,22.1
"42","35","Income security","W605RC1",3.4,4,4.7,5.8,6.6,8.4,9.2,10.5,12.1,13,14.2,15.9,16.8,17.5,19.3,20.8,22.2,23,24.4,26.1,28.8,32.1,35.1,39.1,40.9,44.7,46.7,47.8,51,55.4,59.1,63.9,69.8,77.5,79.2,79.2,85,94.5,89.4,92.3,91.1
"43","36","  Disability","W606RC1",0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,0.9,1.2,1.1,1.3,1.5,1.8,2.1,2.1,2.5,2.8,2.9,3.1,3.5,3.2,3.3,3.6,4.8,5.1,5,5.2,5.7,5.4,5.1,5.3
"44","37","  Retirement \1\","W607RC1",0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1.2,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1.2,1.2,1.2,1.3,1.1,1.2,1.5,1,1.5,1.4,1.8,1.9,1.9,2,2.2,2.5,2.5,2.9
"45","38","  Welfare and social services","W608RC1",2.7,3.2,3.8,4.6,5.3,6.8,7.6,8.8,10.1,11,12,13.3,14.2,14.7,16.5,17.8,19.2,20.3,21.4,23.1,25.6,28.7,31.1,33.7,35.8,38.6,40.5,41.5,44.4,48,52.5,56.6,61.8,67.8,68.5,68.2,70.8,72.6,74.7,79,77.7
"46","39","  Unemployment","W609RC1",0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2,0.3,0.1,0.2,0.3,0.2,0.1
"47","40","  Other","W610RC1",0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,1.6,2.3,2,2.2,2.2,2.3,2.4,2.3,2.6,2.9,3.6,3.8,6.8,13.8,6.6,5.5,5.1
"48","41","      Federal","A823RC1",113.3,113.4,113.6,119.6,122.5,134.5,149,159.7,175.4,190.9,210.6,243.7,280.2,310.8,342.9,374.3,412.8,438.4,459.5,461.6,481.4,507.5,526.6,532.9,525,518.6,518.8,527,531,531,554.9,576.1,611.7,680.6,756.5,824.6,876.3,931.7,976.3,1079.9,1139.6
"49","42","General public service","W611RC1",3.4,4.4,5.5,6.1,6.5,8,8.8,9.4,10.1,10.2,11.5,12.8,12.8,14.4,14,14.1,16.4,17.6,18.8,18.6,19.4,22.9,25.1,25.7,23.5,23.4,26.2,23,26,25.1,27,25.8,31.2,33.3,35.4,43.7,45.6,48.7,52,57.7,63.3
"50","43","  Executive and legislative","W612RC1",1.7,2.2,2.8,3.2,3.4,4.6,4.8,5,5.5,5.7,7.2,8.5,8.3,9.2,7.8,8.5,9.2,9.3,10.3,9.3,9.4,12.1,12.3,12.4,13.6,13.6,16,13.4,15.3,15.3,15.5,16.2,17.7,20.7,23.3,31,32.7,34.6,37.6,41.2,47.2
"51","44","  Tax collection and financial management","W613RC1",1.7,2.1,2.6,2.9,3.1,3.5,4,4.4,4.6,4.4,4.3,4.4,4.5,5.2,6.2,5.6,7.2,8.3,8.4,9.4,10,10.8,12.7,13.3,9.8,9.8,10.2,9.6,10.7,9.8,11.5,9.5,13.4,12.6,12.1,12.7,12.9,14.1,14.5,16.5,16.1
"52","45","  Other \2\","W614RC1",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","46","National defense","A824RC1",89.5,87.6,84.6,86.9,88.1,95.6,103.9,111.1,120.9,130.5,145.2,168,196.2,225.9,250.6,281.5,311.2,330.8,350,354.7,362.1,373.9,383.1,376.8,363,353.8,348.8,354.8,349.8,346.1,361.1,371,393,437.7,497.9,550.8,589,624.9,662.3,737.3,771.6
"54","47","Public order and safety","W615RC1",0.7,0.8,1,1.2,1.4,1.6,1.9,2.2,2.5,2.7,3.1,3.4,3.5,3.7,4.4,5,5.4,5.9,6.7,8.2,9.1,9.8,11.5,12.9,16.2,16.7,17.6,19.8,20.9,22.1,24.2,27.3,29.4,32.7,35.3,38.3,40.4,43.5,46.2,52.7,57.3
"55","48","  Police","W616RC1",0.4,0.5,0.6,0.8,0.9,0.9,1.1,1.2,1.4,1.4,1.6,1.7,1.8,1.9,2.4,2.8,3,3.2,3.6,4.4,4.8,5.1,5.4,6.3,8.7,8.7,8.6,9.9,11.1,11.9,12.8,14.5,15.3,18.5,21.7,25.1,26.7,28.5,30.9,36.4,39.8
"56","49","  Fire","W617RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.2,0.4,0.8,0.3,0.2,0.8,0.6,0.8,1.2
"57","50","  Law courts","W618RC1",0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.7,0.8,1,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2.2,2.6,2.9,3.3,4,4.3,4.8,5,5.6,6.1,6.1,6.7,7.3,8,8.7,8.5,7.3,7.4,7.9,8.2,8.6,8.9,9.6
"58","51","  Prisons","W619RC1",0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.8,0.8,1.1,1.3,1.4,2.1,2.3,2.7,3,3.4,3.6,3.6,3.4,4.1,4.7,5.1,5.4,5.4,5.5,5.6,5.9,6.1,6.6,6.8
"59","52","Economic affairs","W620RC1",14.2,14.1,15.3,16.3,16.4,17.7,21,22.4,25.6,29.9,32.1,37.5,44.1,43.2,47.8,45,50.4,53.8,51.9,46.2,54.4,61.4,63.5,70.2,71,70.9,70.9,72.8,74.8,74.6,79.1,84.1,84.1,94.3,97.6,100.4,102.9,108.4,113.4,120.3,127
"60","53","  Transportation","W625RC1",2.2,2.6,2.8,3.2,3.4,3.9,4.3,4.5,5.1,5.6,6.3,7,7.5,7.8,9.1,9.6,10,10,10.5,11.2,11.8,12.9,14.5,15.3,16.3,17.5,16.5,17.3,17.7,18.7,18.8,19.3,21,26,29.6,28.9,30.1,32,32,34.8,36.4
"61","54","    Highways","W626RC1",0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.5,0.5,1.4,1.5,1,1,1.2,1.2,1.2,1.2,1.3,1.5,1.5,1.7,2,2,2.3,2.3,2.1
"62","55","    Air","W627RC1",1,1.3,1.4,1.5,1.7,1.8,2,2.1,2.3,2.5,2.6,2.9,3,3,3.8,4,4.6,4.9,5.1,5.5,6.1,6.6,7.4,7.9,8.4,8.8,8.7,9.1,9.1,9.6,9.8,9.8,10.9,15.7,18.3,17.2,17.5,18.7,18.1,19.2,20.1
"63","56","    Water","W628RC1",1,1.1,1.2,1.3,1.4,1.7,1.8,1.9,2.2,2.5,2.9,3.3,3.6,3.9,4.6,4.8,4.8,4.6,4.9,5.2,5.3,5.8,6.4,6.5,6.4,6.6,6.5,6.6,6.6,7.3,7.6,8.1,8.4,8.4,9.3,9.5,10.2,10.8,11.1,13,13.8
"64","57","    Transit and railroad","W629RC1",0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.4,0.1,0.6,0.4,0.6,0.7,0.6,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4
"65","58","  Space","W631RC1",4.7,4.4,4.3,4.2,3.9,4.3,4.8,4.8,5,5.2,5.6,6.6,7.3,7.6,8.5,8.8,9.3,9.1,10,11.4,13.6,15.7,16.4,16.6,16.6,15.9,16,17.1,17.2,16.3,15.8,16.1,16.6,16.4,16.9,18.2,18.4,18.2,20,21.5,22.7
"66","59","  Other economic affairs","W632RC1",7.4,7.1,8.2,9,9.1,9.5,12,13.1,15.4,19.1,20.2,23.9,29.3,27.8,30.2,26.7,31.1,34.6,31.4,23.6,29,32.8,32.5,38.2,38.2,37.5,38.4,38.4,39.9,39.6,44.5,48.7,46.5,51.9,51,53.4,54.4,58.2,61.4,64,67.9
"67","60","    General economic and labor affairs","W621RC1",1.4,1.5,2.1,2.4,2.6,1.6,1.5,1.7,2.1,2.4,2.9,3.9,3.5,3.3,2.9,3.1,3.9,3.8,4.1,4.3,5.8,8.8,5.2,6.2,6.6,6.4,7.1,7.8,8,8.4,9.4,12.7,9.2,9.5,8.9,9.6,9.7,9.2,10.9,11.8,15.7
"68","61","    Agriculture","W622RC1",2.6,1.6,1.7,1.5,1.5,1.6,2.4,2.4,2.6,3.1,3.4,5.4,5.4,7.6,9.3,5.7,9.5,14.3,9.1,1.6,5.7,5.1,6.9,8.1,7.2,6.6,6.1,6.1,7.7,6.7,8.2,8.3,9.4,10.3,9.5,9.4,9.1,11.6,10.1,10.3,9.8
"69","62","    Energy","W623RC1",1.7,1.8,1.8,2,1.9,2.9,4.2,4.8,6.2,8.5,7.7,7.8,12.6,9.3,9.1,9,8.3,7.3,7.8,7.4,7.3,7.7,7.8,10.7,12.2,10.8,12,9.6,9.1,8,9.6,8.6,8.9,12,14,14.6,13.3,13.7,14.8,16.9,17.2
"70","63","    Natural resources","W624RC1",1.5,1.9,2.2,2.5,2.4,2.8,3.4,3.4,3.9,4.4,5.4,5.9,6.9,6.8,7.7,7.3,7.9,7.6,8,8.3,8.3,8.8,9.6,10.1,9.7,11.2,10.6,11.6,11.2,12.3,12.5,14.5,15,17.3,16.1,16.8,18.6,19.8,21.6,21.4,21.9
"71","64","    Postal service","W630RC1",0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,0.9,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.5,2.5,2.7,3.3,3.9,4.2,4.9,4.5,3.9,2.8,2.5,3,3.7,4,4,3.5,3.4
"72","65","Housing and community services","W633RC1",0.2,0.4,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.5,0.4,0.6,0.7,0.6,0.7,0.7,0.7,1,0.8,0.7,0.8,0.8,0.8,0.7,1.9,0.9,0.7,0.7,0.9,1.5,1.6,-0.1,0.8,1.1,1.2,0.8,1.5,1.1,1.8,2.7,1.9
"73","66","Health","W634RC1",3.3,3.9,4.1,5.4,6.3,7,8.4,9.1,9.9,11.1,11.8,14,15.3,15.6,17.9,19.8,20.8,21.8,23.3,25,26.9,29.3,32.1,34.3,36.8,39.2,40.5,41.5,43.2,44.9,45.1,49.7,53.9,58.7,65,65.6,67.1,68.8,71.2,79.5,87
"74","67","Recreation and culture","W635RC1",0.4,0.4,0.4,0.5,0.6,0.7,0.9,0.9,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.6,1.6,1.9,2.1,2.4,2.5,2.5,2.6,3,3.2,3,3.5,3.6,4,4.2,4.4,4.5,4.4,4.5,4.9,5.1
"75","68","Education","W636RC1",0.7,0.9,1,1,1,0.8,1.1,1.1,1.1,1.2,1.3,1.5,1.7,1.7,1.9,2.1,2.1,2.2,2.3,2.3,2.5,2.7,3.1,3.2,3.4,3.9,4.3,4.5,4.5,4.9,5.4,5.8,6.7,7.2,7.3,7.6,7.8,6.9,7.4,7.9,8.9
"76","69","  Elementary and secondary","W637RC1",0,0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.4,0.5,0.5,0.5,0.5,0.4,0.6,0.7,0.6,0.6,0.8,1.4,1.5,1.6,1.4,1.3,1.2,1.5
"77","70","  Higher","W638RC1",0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.7,0.9,1,1,1,1.1,1.2,1.3,1.4,1.4,1.5,1.4,0.6,1,1.2,1.2
"78","71","  Other","W639RC1",0.5,0.6,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1.1,1.1,1.2,1.4,1.4,1.5,1.5,1.6,1.7,1.9,2.1,2.2,2.3,2.7,2.9,3.1,3.1,3.3,3.6,4,4.7,5,4.5,4.6,4.7,4.8,5.1,5.5,6.1
"79","72","Income security","W640RC1",0.9,1,1.1,1.5,1.5,2.5,2.5,2.9,3.7,3.7,4,4.7,4.5,4.5,4.4,4.7,4.5,4.1,4.4,4.3,4.7,5.1,5.5,7.1,6.8,7.3,7.4,7.3,7.7,8.6,8.3,8.9,9.2,11.6,12.6,13.1,17.5,25,17.6,16.8,17.4
"80","73","  Disability","W641RC1",0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.4,0.5,0.3,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.4,0.6,0.6,0.7,0.3,0.3,0.4,0.6,0.7,0.7,0.7
