"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"66","55","D         Paper and paper products wholesalers","I42210",11,82,-186,-430,206,86,-9,-284
"67","56","D         Drugs and druggists' sundries wholesalers","I42220",-66,-1102,-119,-165,82,-226,-364,-313
"68","57","D         Apparel, piece goods, and notions wholesalers","I42230",-111,-1,106,19,0,189,-32,-72
"69","58","D         Grocery and related products wholesalers","I42240",157,-214,-160,-183,-416,144,-1023,-751
"70","59","D         Farm product raw material wholesalers","I42250",733,1953,1230,-669,301,-1506,-1257,1350
"71","60","D         Chemical and allied products wholesalers","I42260",31,141,-79,-270,139,-211,-279,-798
"72","61","D         Petroleum amd petroleum products wholesalers","I42270",579,1031,-1419,-1059,1302,-1005,-695,-1338
"73","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","I42280",-49,-117,-27,-181,-63,-99,-112,-80
"74","63","D         Miscellaneous nondurable goods wholesalers","I42290",-157,-57,-678,-582,-502,-297,-334,-517
"75","64","D     Nonmerchant wholesale industries","I42N0",1432,1330,-60,-1150,808,-204,-1097,-2717
"76","65","D       Durable goods industries","I42ND0",1093,800,294,-276,352,394,-121,-961
"77","66","D       Nondurable goods industries","I42NN0",339,530,-354,-874,456,-598,-976,-1756
"78","67","D Retail trade industries","I440",4204,3077,-1934,-1649,929,875,218,-6382
"79","68","D   Motor vehicle and parts dealers","I4410",938,323,-1072,-1101,286,1240,1793,-1154
"80","69","D   Furniture, furnishings, electronics, and appliance stores","I44230",1462,1564,839,669,769,389,323,93
"81","70","D   Building material and garden equipment and supplies dealers","I4440",-92,-10,-164,-258,-27,-531,-136,-1970
"82","71","D   Food and beverage stores","I4450",126,-36,-288,-5,-638,483,-669,-548
"83","72","D   Clothing and clothing accessories stores","I4480",-56,-10,81,-102,109,180,-348,-348
"84","73","D   General merchandise stores","I4520",56,-15,-18,278,-219,-130,-29,-204
"85","74","D     Department stores","I45210",87,66,186,354,-158,-48,-2,-85
"86","75","D     Other general merchandise stores","I45290",-31,-81,-204,-76,-61,-82,-27,-119
"87","76","D   Other retail stores","I44X0",1770,1261,-1312,-1130,649,-756,-716,-2251
"88","77","D Other industries","IOTH0",468,847,-479,-1004,924,257,-189,-627
"89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
