"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"23","15","Q1PAA1 D       Accessories and parts","Q1PAA10",15434,15254,15124,14929,14587,15180,15095,14903,15345,15542,15861,16412,16583,17365,18134,18399,19199,19437,20020,20614,20445,20976,21545,21901,22391,22689,22973,23504,23909,23870,24390,24450,24782,25495,25354,25817,26396,27011,27441,27929,28150,27980,28517,28055,27241,27736,27410,28177,27873,28004,28078,27953,28185,28618,29156,29503,29867,29754,30103
"24","16","Q1FUR1 B   Furniture and household equipment","Q1FUR10",122168,120213,118983,118079,118770,121874,122609,121101,124606,125557,128858,132022,136196,139794,142773,145586,148712,154229,158813,165312,166166,169474,176076,181546,183201,192663,195636,201978,206387,212683,220171,225847,233460,238554,249033,257604,266140,275073,285650,296066,306671,311280,315898,317779,323796,328146,332238,343018,354411,360125,361173,367246,369346,385189,405030,414617,425641,433314,445320
"25","17","Q1FNR1 C     Furniture, including mattresses and bedsprings (29)","Q1FNR10",43828,41916,41031,40383,40498,41198,41175,41125,41048,40763,41735,41853,42661,43915,44171,44470,44553,45457,46934,48605,47730,48031,49116,50072,49806,51837,52049,53338,54698,54721,56551,58070,58928,58625,58954,60444,61391,61989,63958,65559,66747,68593,68543,66501,67679,67630,68229,69848,71498,71245,70088,70792,69921,72272,74468,75874,76958,77867,80577
"26","18","Q1APP1 C     Kitchen and other household appliances (30)","Q1APP10",22522,22292,22009,21883,21868,22450,22024,21773,22854,22980,23106,23643,23417,23813,24421,24073,23870,24075,24076,24848,24983,24819,25385,25228,25042,25610,25076,25660,24902,25156,25339,25381,25869,26496,26813,27104,27899,28896,29541,29327,30036,30185,30412,31006,30982,30794,30814,31590,31908,32473,32032,32351,32715,34123,35737,36849,38143,38642,39476
"27","19","Q1MHA1 D       Major household appliances","Q1MHA10",20094,19742,19388,19171,19071,19520,19017,18713,19553,19640,19698,20137,19990,20363,20899,20405,20267,20511,20442,21059,21189,21071,21595,21410,21241,21697,21280,21842,21234,21507,21638,21658,22042,22685,22912,23068,23730,24602,25155,24885,25557,25607,25709,26202,26128,25884,25856,26433,26616,27070,26662,26898,27196,28456,29839,30810,31901,32343,32943
"28","20","Q1SEA1 D       Small electric appliances","Q1SEA10",2561,2663,2718,2794,2868,2995,3050,3090,3320,3356,3417,3511,3438,3467,3541,3665,3603,3571,3635,3787,3793,3748,3793,3819,3802,3914,3797,3820,3670,3653,3705,3726,3828,3817,3905,4036,4169,4296,4387,4443,4480,4579,4703,4805,4855,4913,4962,5166,5306,5419,5388,5473,5541,5682,5910,6048,6250,6304,6550
"29","21","Q1CHN1 C     China, glassware, tableware, and utensils (31)","Q1CHN10",18233,17623,17548,17816,17793,17816,17406,17300,17871,18448,19041,19248,19701,19607,20015,19870,20366,20965,21370,21719,21570,22542,22787,23258,22994,23930,23887,24795,24719,24831,25319,25166,25763,25546,26370,27326,27706,28233,29066,30735,31020,30601,30922,31429,31455,31798,31808,32487,33209,33634,34121,34783,34306,35356,36536,36758,37893,38046,37832
"30","22","Q1RAD1 C     Video and audio goods, including musical instruments, and computer goods (91)","Q1RAD10",18406,18662,18696,18723,19043,20243,21286,20740,21576,21850,22726,23764,25261,26568,27530,28923,30243,32020,33429,35532,36430,37733,40780,43350,45030,48251,50028,52286,54864,59134,62422,65428,69815,73557,79958,84179,88947,94225,100069,104674,111749,115179,118468,120995,125146,129321,133722,141201,148408,153091,155878,160049,162992,171357,183118,189181,195937,200887,208580
"31","23","Q1VAM1 C       Video and audio goods, including musical instruments (92)","Q1VAM10",32246,32423,32278,31713,31190,32455,33044,31832,33263,33009,33747,34898,35804,37010,37305,38066,39365,41432,42694,44275,44321,44568,46926,47784,47887,48914,48972,49373,49021,50753,51401,52175,54019,55659,57742,58731,60305,62968,66085,68141,71504,72378,73267,73906,75396,76548,77783,80361,82324,84176,84521,84660,85078,87982,92118,94459,97734,99722,102804
"32","24","Q1TVV1 D         Television receivers, video cassette recorders, and videotapes","Q1TVV10",10919,10908,10702,10464,10294,10509,10547,10171,10445,10270,10369,10582,10829,11277,11627,11686,12037,12547,12870,13323,13279,13408,13980,14229,14342,14536,14604,14653,14435,14774,15196,15377,16078,16629,17356,17968,18992,20149,21203,22037,23641,24641,25718,26592,27617,28780,30096,31860,32612,33655,34338,35794,36793,39073,41632,43580,46016,48253,50079
"33","25","Q1TVS1 D           Television receivers","Q1TVS10",7758,7754,7596,7287,7115,7312,7264,7024,7198,7081,7170,7333,7382,7691,8011,7950,8058,8285,8576,8855,8758,8795,9106,9243,9217,9340,9338,9443,9181,9305,9494,9574,10012,10257,10575,10775,11374,12032,12529,12858,13727,14181,14740,15041,15426,15924,16562,17669,18105,18652,18993,19768,20228,21643,23254,24494,26187,27524,28319
"34","26","Q1OVE1 D           Video equipment and media","Q1OVE10",3475,3469,3411,3427,3408,3447,3511,3373,3474,3413,3432,3490,3659,3808,3868,3961,4175,4438,4494,4669,4705,4788,5041,5151,5268,5341,5401,5363,5377,5574,5793,5888,6154,6443,6832,7220,7646,8142,8689,9183,9915,10458,10977,11553,12204,12884,13573,14218,14532,15032,15380,16067,16621,17466,18390,19078,19784,20677,21732
"35","27","Q1AMI1 D         Audio equipment, media, and instruments","Q1AMI10",20836,21066,21229,20939,20589,21739,22368,21532,22779,22748,23454,24465,25139,25860,25683,26468,27443,29061,30032,31179,31293,31389,33241,33858,33819,34698,34671,35048,34951,36414,36568,37180,38289,39370,40710,41016,41469,42932,44990,46187,47889,47723,47532,47320,47823,47890,47929,48880,50097,50974,50751,49763,49402,50358,52222,52947,54174,54447,55924
"36","28","Q1AUD1 D           Audio equipment","Q1AUD10",10843,11030,10937,10510,10169,10506,10706,10292,10995,11111,11312,11721,11794,12251,12747,12864,13391,14075,14556,15237,15203,15207,15856,16201,16053,16307,16304,16402,16053,16836,16842,16830,17598,18339,19141,19419,19643,20848,22245,23080,24435,23753,23773,24185,24602,25029,25580,26403,27038,27814,28188,28296,28267,29648,31396,31701,32942,33779,35071
"37","29","Q1RTD1 D           Records, tapes, and disks","Q1RTD10",7829,7898,8177,8315,8335,9037,9413,9121,9617,9546,9999,10504,11016,11215,10681,11247,11619,12373,12783,13113,13286,13401,14474,14603,14789,15392,15498,15609,15944,16514,16680,17155,17430,17723,18263,18254,18268,18528,19020,19147,19282,19551,19278,18833,18931,18431,18044,18105,18561,18627,18136,17396,17200,17124,17230,17479,17733,17399,17721
"38","30","Q1MSC1 D           Musical instruments","Q1MSC10",2062,2022,2018,2059,2055,2196,2264,2131,2158,2059,2130,2237,2362,2412,2187,2325,2392,2586,2665,2784,2768,2750,2910,3049,2986,3031,2900,3077,3033,3134,3125,3308,3345,3370,3357,3384,3594,3567,3726,3957,4176,4420,4480,4299,4287,4452,4368,4466,4594,4657,4604,4330,4213,3994,4141,4300,4126,4031,3989
"39","31","Q1CPT1 C       Computers, peripherals, and software (93)","Q1CPT10",543,574,593,650,763,881,1042,1058,1084,1185,1313,1429,1716,1909,2158,2474,2675,2881,3117,3537,3850,4285,4922,5765,6472,7667,8531,9568,11150,12921,14655,16227,18224,19951,23492,26217,29085,31582,34230,36692,40297,42783,45172,47084,49834,53090,56595,62091,68211,71415,74445,79680,82980,89640,99039,103570,107442,111006,116566
"40","32","Q1CPP1 D         Computers and peripherals","Q1CPP10",357,376,388,423,495,570,672,679,693,754,834,906,1096,1225,1389,1588,1723,1860,2021,2301,2510,2794,3208,3762,4224,5013,5578,6247,7285,8439,9586,10619,12062,13486,16385,18409,20755,22788,25261,27476,30387,32644,34768,36258,39246,42601,46417,51958,57842,60888,63653,69062,72572,78984,88086,92108,95437,98757,104303
"41","33","Q1CPS1 D         Software","Q1CPS10",211,226,237,263,312,365,436,448,467,515,576,629,739,809,907,1047,1120,1197,1277,1433,1549,1722,1983,2313,2596,3055,3399,3831,4455,5169,5833,6444,6947,7066,7467,8138,8565,8972,9030,9234,9915,10134,10405,10825,10639,10661,10584,10877,11472,11817,12219,12524,12655,13342,14297,14951,15571,16007,16501
"42","34","Q1ODH1 C     Other durable house furnishings (32)","Q1ODH10",40501,39551,38866,37943,37958,37755,36851,36609,37694,37850,38568,39467,40529,40811,41301,42124,42968,44683,45848,47122,47168,47641,48103,48814,48473,50859,51753,52791,53277,53578,54796,55501,56020,56544,58345,59674,60997,62222,63278,65960,67160,66718,67522,67836,68562,68815,68180,68845,70791,71517,71381,71984,72578,75715,79777,81132,82546,84245,86019
"43","35","Q1FLR1 D       Floor coverings","Q1FLR10",14626,14110,13775,13212,12865,13077,12547,12397,12709,12712,12659,12957,13365,13132,13000,13063,13013,13632,13822,14352,14059,13628,13505,13797,13427,14045,13950,13778,13854,13922,14097,14343,14198,14492,14660,15245,15272,15773,16174,16522,16872,16612,16419,16031,16061,16058,15875,15799,15916,15831,15790,15954,16618,17454,18010,18451,18625,18468,18917
"44","36","Q1DHF1 D       Durable house furnishings n.e.c.","Q1DHF10",18117,17767,17394,17152,17488,16991,16584,16494,16931,17086,17611,18042,18524,18823,19273,19879,20477,21323,22124,22748,22951,23821,24199,24510,24558,26041,26865,27946,28196,28309,29176,29553,29927,29917,31241,31644,32509,33159,33766,35652,36264,36239,37291,37942,38622,38564,38375,39003,40616,41218,41244,41546,41285,43252,46326,47061,48140,49537,50721
"45","37","Q1CLF1 D         Clocks, lamps, and furnishings","Q1CLF10",14211,13917,13599,13476,13862,13462,13106,13140,13602,13787,14290,14616,15050,15298,15712,16263,16797,17550,18327,18797,19033,19824,20148,20370,20394,21777,22520,23465,23727,23798,24579,24791,25148,25025,26187,26555,27443,27880,28384,30142,30865,30819,31897,32393,32754,32700,32598,33051,34533,35097,35032,35329,35143,36849,39871,40510,41333,42797,43889
"46","38","Q1TEX1 D         Blinds, rods, and other","Q1TEX10",3946,3890,3835,3714,3661,3564,3513,3384,3356,3324,3346,3453,3499,3550,3585,3639,3701,3795,3817,3972,3937,4016,4070,4160,4186,4281,4360,4496,4481,4524,4608,4779,4794,4916,5073,5106,5073,5292,5397,5515,5397,5420,5396,5550,5871,5869,5779,5956,6085,6121,6214,6217,6139,6399,6463,6559,6810,6757,6855
"47","39","Q1WTR1 D       Writing equipment","Q1WTR10",3243,3181,3166,3175,3233,3252,3256,3239,3276,3290,3348,3380,3307,3341,3331,3387,3365,3346,3320,3317,3230,3237,3256,3169,3011,3006,2991,2968,2924,2844,2794,2790,2875,2896,2959,2990,3029,3036,3017,3148,3058,3102,3058,3029,2882,2817,2746,2723,2710,2643,2599,2573,2501,2496,2507,2478,2501,2463,2474
"48","40","Q1TOO1 D       Hand tools","Q1TOO10",5511,5441,5470,5305,5220,5365,5371,5373,5677,5651,5799,5941,6168,6303,6423,6488,6742,7002,7152,7278,7432,7356,7512,7692,7759,8010,8133,8220,8408,8590,8784,8871,9061,9301,9520,9846,10222,10290,10351,10648,10967,10760,10748,10845,11029,11407,11229,11392,11672,11987,11921,12085,12285,12655,13218,13430,13624,14247,14418
"49","41","Q1HDW1 D         Tools, hardware, and supplies","Q1HDW10",4715,4627,4602,4463,4356,4469,4449,4411,4602,4590,4706,4808,5054,5161,5252,5309,5509,5738,5895,6023,6137,6063,6163,6340,6389,6585,6683,6731,6913,7099,7195,7251,7422,7661,7901,8179,8486,8597,8656,8881,9151,8981,8926,8975,9158,9518,9425,9568,9839,10113,10058,10193,10365,10701,11188,11348,11462,12123,12222
"50","42","Q1LWN1 D         Outdoor equipment and supplies","Q1LWN10",793,811,866,840,862,895,921,960,1074,1059,1092,1132,1112,1140,1169,1177,1231,1262,1254,1252,1292,1291,1347,1350,1367,1422,1447,1486,1493,1488,1586,1617,1636,1637,1617,1666,1734,1694,1696,1767,1816,1779,1822,1870,1870,1889,1804,1824,1833,1874,1864,1893,1921,1955,2031,2083,2164,2123,2196
"51","43","Q1TOD1 B   Other","Q1TOD10",94617,92237,91991,92075,90623,89969,88046,86366,88300,88687,91534,92380,94391,95789,98316,99411,100448,103095,104888,108548,108266,110148,112884,113452,114972,119210,120693,123637,124816,125084,128298,130927,132676,136187,138870,142497,146562,148950,152910,158371,162942,163858,164702,164101,163250,162601,161170,165645,169246,170264,170944,173152,177028,184364,190537,193969,196930,196816,198655
"52","44","Q1OPT1 C     Ophthalmic products and orthopedic appliances (46)","Q1OPT10",18108,17234,17024,16999,16468,15483,14865,14522,14754,15012,15609,15693,15476,15001,15110,15714,16100,16387,16497,16406,16430,16401,16146,16423,16818,17778,18293,18829,19202,19207,20106,20305,20138,20404,21038,21476,21241,20764,21272,22475,22866,22931,21359,21309,21085,19991,19328,20052,20022,20762,21233,21353,21101,21628,21851,21453,21930,21532,21304
"53","45","Q1WHG1 C     Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (90)","Q1WHG10",31365,30209,29609,30495,29990,29129,29250,29118,29161,28761,29935,30273,32031,32303,32451,33056,32816,34660,35135,37271,36772,37133,38867,38813,38771,40057,40714,41905,42190,42385,43700,44003,44741,46815,47597,48509,49917,51431,52794,53929,58452,56346,57418,58031,58189,59935,59125,61603,62190,61938,62135,62743,64846,70262,73476,74786,75331,77388,77743
"54","46","Q1WHE1 D       Sports and photo equipment, bicycles and motorcycles","Q1WHE10",21919,21388,21314,21268,21077,21155,21905,21352,21997,21911,22735,23120,23995,24524,24753,25268,25523,26185,26547,28227,27232,27649,28434,28364,28470,29721,30019,30008,30068,30478,31224,31838,32300,33520,34483,35349,36109,37077,37892,40519,42028,41376,42382,42835,43358,45245,44641,46096,46942,46996,47256,47666,48836,51022,53490,54661,55229,57549,58485
"55","47","Q1GUN1 D         Guns","Q1GUN10",1496,1427,1403,1393,1351,1351,1358,1306,1337,1319,1352,1364,1396,1412,1417,1436,1440,1447,1461,1513,1451,1474,1502,1475,1465,1507,1502,1482,1452,1461,1480,1501,1519,1597,1633,1676,1727,1775,1835,1937,2018,1996,2041,2039,2059,2127,2121,2199,2215,2256,2256,2254,2244,2291,2333,2356,2432,2500,2569
"56","48","Q1SPT1 D         Sporting equipment","Q1SPT10",11743,11454,11515,11690,11576,11836,12178,11989,12606,12708,13268,13604,13929,14254,14466,14831,15050,15302,15639,16402,15935,16398,16921,16850,16939,17676,17881,17922,17926,18268,18656,18997,19082,20026,20438,20943,21632,22237,22985,24269,25287,25003,25571,25548,25800,26647,26572,27553,27751,28271,28272,28246,28109,28700,29225,29515,30469,31321,32182
"57","49","Q1CAM1 D         Photographic equipment","Q1CAM10",2773,2688,2613,2561,2507,2440,2364,2267,2204,2146,2164,2201,2230,2270,2332,2369,2397,2468,2520,2591,2598,2623,2632,2671,2704,2765,2819,2843,2912,2904,2988,2950,3049,3131,3202,3401,3408,3448,3506,3757,3581,3689,3836,4127,3954,3939,3998,4170,4327,4355,4396,4469,4617,4807,4984,5129,5496,5803,5950
"58","50","Q1BCY1 D         Bicycles","Q1BCY10",3097,2968,2883,2844,2780,2768,2793,2697,2719,2610,2639,2675,2761,2804,2841,2919,2936,2996,3040,3114,2980,3018,3101,3071,3046,3146,3153,3183,3150,3179,3235,3302,3341,3454,3463,3466,3497,3551,3579,3741,3826,3749,3813,3768,3750,3855,3822,3934,3958,3980,4010,3970,3949,4010,4162,4284,4321,4324,4493
"59","51","Q1MCY1 D         Motorcycles","Q1MCY10",2762,2851,2913,2712,2849,2670,3289,3138,3118,3088,3285,3199,3725,3835,3700,3698,3670,4004,3876,4712,4313,4122,4265,4287,4304,4632,4667,4573,4624,4655,4863,5101,5345,5317,5775,5883,5846,6069,5973,6814,7319,6938,7118,7352,7790,8657,8125,8244,8687,8160,8341,8736,9883,11130,12626,13201,12448,13519,13259
"60","52","Q1BTA1 D       Pleasure boats and aircraft","Q1BTA10",9559,8898,8332,9343,9009,7984,7269,7755,7067,6728,7082,7018,7950,7654,7557,7636,7084,8358,8467,8907,9481,9407,10410,10430,10266,10265,10644,11947,12192,11944,12539,12180,12464,13351,13128,13154,13817,14368,14921,13383,16427,14968,15036,15198,14840,14715,14508,15518,15272,14977,14921,15120,16039,19171,19925,20073,20057,19844,19307
"61","53","Q1BOA1 D         Pleasure boats","Q1BOA10",8599,7989,7466,8355,8041,7109,6457,6873,6242,5934,6242,6187,7053,6808,6737,6823,6342,7498,7613,8026,8562,8514,9442,9480,9348,9367,9733,10948,11205,10995,11556,11230,11481,12295,12087,12109,12723,13230,13739,12323,15126,13783,13845,13994,13665,13550,13359,14289,14063,13791,13740,13922,14769,17653,18347,18483,18469,18272,17779
"62","54","Q1AIR1 D         Pleasure aircraft","Q1AIR10",960,910,866,989,967,875,812,882,825,794,840,831,897,847,820,814,742,860,854,881,919,894,969,950,918,898,912,999,988,949,983,950,983,1056,1042,1046,1094,1138,1182,1060,1301,1185,1191,1204,1175,1165,1149,1229,1210,1186,1182,1198,1270,1518,1578,1590,1589,1572,1529
"63","55","Q1JRY1 C     Jewelry and watches (18)","Q1JRY10",26828,26261,26726,26044,25725,26757,25401,24477,25847,26260,26734,27175,27216,28213,29945,29445,29992,30016,30458,31521,31188,32447,32873,33790,34802,35765,36220,36419,36481,36727,37702,38937,39942,41293,42121,43552,45166,45737,47075,49296,49030,50424,51969,50849,49810,48829,48509,49560,51580,52444,52262,53634,55029,55736,57270,60402,61309,59525,60093
"64","56","Q1BKS1 C     Books and maps (87)","Q1BKS10",19099,19291,19271,19284,19127,18905,18971,18774,18873,18976,19683,19595,20036,20457,20770,21392,21754,22353,23154,23584,24215,24345,25169,24459,24573,25696,25562,26673,27172,26964,26993,27863,27977,27754,28211,29051,30288,31034,31779,32675,32605,34157,33954,33902,34164,33884,34254,34491,35527,35186,35353,35504,36196,36940,38185,37777,38770,38793,39925
