"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"14","31","A     Primary metal manufacturing","KS331W0",6940,6890,6851,6916,7080,6899,7064,7124,7338,7365,7311,7555,7548,7651,7520,7357,6969,6740,6716,6417,6196,6107,6112,6126,6206,5876,5536,5440,5471,5231,5364
"15","32","A     Fabricated metal product manufacturing","KS332W0",9044,9269,9271,9449,9420,9660,9606,9526,9391,9338,9527,9731,9834,10070,9901,9727,9987,9887,9724,9378,9016,8946,8871,8833,8527,8599,8513,8613,8553,8437,8176
"16","33","A     Machinery manufacturing","KS333W0",13057,13225,12905,12998,13016,13004,13161,12945,12751,12749,12712,12625,12895,13125,13134,14001,13761,13133,12702,11930,11711,11642,11399,11246,10912,10866,11424,11358,11594,11764,11763
"17","34","A     Computer and electronic product manufacturing","KS334W0",17123,17287,18048,18799,19166,19242,18886,18702,18778,19036,19075,18827,18609,20378,19970,22316,22846,21914,20689,19515,19980,19605,19938,19985,19141,19238,19104,20271,20135,21044,21508
"18","36","A     Electrical equipment, appliance, and component manufacturing","KS335W0",4808,4849,4846,4879,4821,4757,4880,4932,4931,4937,4936,4875,4780,4952,4905,5004,5030,4913,4808,4640,4569,4526,4358,4336,4278,4209,4204,4178,4158,4203,4156
"19","37","A     Transportation equipment manufacturing","KS336W0",42588,41416,41147,41409,43186,46383,47787,49376,48823,47214,48273,48474,47498,43783,41521,39121,37656,37885,38473,38689,35973,35451,34491,36197,36508,36484,36245,36010,35583,35343,34725
"20","38","D       Motor vehicle and parts manufacturing","KS3MVW0",7190,7190,8086,7269,7620,6514,6238,7095,7706,6964,7068,7221,6973,7368,7303,7274,7005,6943,6665,6283,6281,6793,6907,7040,7378,6941,6883,6849,7063,6975,6841
"21","39","D       Other transportation equipment manufacturing","KS3OTW0",35382,34204,33009,34115,35528,39886,41574,42284,41119,40250,41206,41255,40525,36414,34219,31849,30652,30942,31806,32398,29693,28672,27602,29169,29149,29551,29370,29171,28535,28383,27897
"22","40","A     Furniture and related product manufacturing","KS337W0",1361,1327,1355,1365,1430,1462,1497,1469,1468,1459,1422,1510,1561,1583,1588,1569,1600,1562,1477,1446,1452,1445,1414,1313,1413,1364,1331,1252,1294,1308,1262
"23","41","A     Miscellaneous durable goods manufacturing","KS339W0",3706,3704,3648,3660,3713,3691,3622,3559,3609,3633,3734,3688,3674,3771,3913,3887,3845,3795,3822,3723,3613,3637,3600,3720,4190,3880,3544,3837,3890,3511,3726
"24","42","A   Nondurable goods industries","KS30NW0",26394,26840,27838,28626,28212,28428,27974,28007,28570,29390,28729,29400,28967,29370,29364,29546,28951,28484,29052,28684,29360,29891,31095,30027,30442,30106,30105,29564,30461,30180,29401
"25","43","A     Food manufacturing","KS311W0",4749,4843,4892,4894,4552,4573,4540,4595,4676,4649,4659,4732,4768,4847,4783,4839,4738,4647,4627,4616,4621,4638,4720,4850,4900,4917,4914,4869,4878,4939,4976
"26","44","A     Beverage and tobacco product manufacturing","KS312W0",894,998,1391,1524,1643,1651,1259,1516,1574,1553,1308,1437,1527,1721,1749,1913,1846,2001,2146,2127,2274,2207,2318,2253,2242,2284,2544,2604,2561,2678,2734
"27","45","A     Textile mills","KS313W0",1676,1683,1672,1662,1653,1656,1681,1636,1610,1577,1582,1632,1595,1625,1555,1517,1505,1480,1417,1357,1279,1211,1117,1155,1163,1227,1223,1224,1218,1184,1185
"28","46","A     Textile product mills","KS314W0",761,780,804,837,838,825,804,796,792,844,839,860,884,886,920,878,845,836,832,836,831,817,800,785,812,784,799,768,772,769,738
"29","47","A     Apparel manufacturing","KS315W0",1642,1701,1702,1795,1675,1679,1685,1636,1584,1703,1734,1813,1874,1833,1832,1731,1644,1468,1363,1300,1249,1277,1203,1221,1168,1111,1100,1071,1060,1018,1054
"30","48","A     Leather and allied product manufacturing","KS316W0",336,340,328,334,334,314,304,318,298,301,319,319,307,316,318,298,302,271,270,261,248,253,228,217,202,185,192,215,206,200,195
"31","49","A     Paper manufacturing","KS322W0",1588,1571,1609,1627,1589,1495,1464,1501,1550,1562,1608,1606,1588,1610,1600,1527,1459,1444,1473,1517,1532,1566,1541,1472,1485,1438,1445,1363,1412,1444,1491
"32","50","A     Printing and related support activities","KS323W0",1181,1192,1415,1378,1225,1368,1376,1259,1380,1457,1329,1422,1389,1346,1344,1295,1262,1239,1228,1169,1147,1282,1195,1152,1217,1029,1053,1089,994,1006,1096
"33","51","A     Petroleum and coal product manufacturing","KS324W0",3757,3848,4118,4213,4369,4313,4195,3927,3735,3551,3597,3773,3593,3791,3762,3747,3762,3776,4079,4001,4316,4575,4756,4755,4701,4240,4158,4095,4294,3613,3450
"34","52","A     Chemical manufacturing","KS325W0",7791,7807,7859,8341,8426,8605,8620,8624,8979,9682,9341,9455,9175,9187,9339,9587,9364,9144,9495,9391,9680,9978,11066,10057,10399,10663,10533,10140,10928,11202,10381
"35","53","A     Plastics and rubber product manufacturing","KS326W0",2106,2172,2199,2183,2184,2197,2268,2304,2390,2413,2377,2349,2259,2199,2155,2212,2231,2192,2169,2148,2269,2201,2233,2199,2254,2316,2229,2211,2195,2242,2262
