"","Table 2#3#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"29","21","P1OSRG B   Other","P1OSRG3",14.709,15.142,15.437,15.87,16.129,16.593,17.007,17.735,18.268,19.166,20.531,21.577,22.62,23.737,25.14,28.413,30.985,32.435,34.408,37.668,41.063,45.698,49.618,51.955,55.233,57.313,59.619,63.72,66.027,69.207,71.21,74.13,77.711,81.978,83.689,85.704,88.37,91.37,94.475,96.175,98.073,100,102.124,105.876,108.826
"30",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22","P1NRGG B   Energy goods and services","P1NRGG3",17.511,17.931,17.967,18.033,18.046,17.966,18.341,18.628,19.047,19.326,19.846,20.327,21.058,21.61,23.468,30.578,33.633,35.865,38.875,41.037,50.959,66.471,75.391,76.787,77.608,78.627,79.498,69.883,70.544,71.102,75.219,81.505,81.962,82.382,83.159,83.486,84.154,87.98,88.952,81.608,84.854,100,102.876,96.855,108.958
"32","23","P1XEFG B   Personal consumption expenditures less food and energy","P1XEFG3",21.031,21.382,21.64,21.911,22.175,22.497,22.771,23.246,23.915,24.931,26.089,27.27,28.538,29.462,30.533,32.825,35.543,37.716,40.112,42.756,45.735,49.869,54.215,57.776,60.823,63.352,65.778,68.244,70.772,73.838,76.884,80.156,83.292,86.13,88.332,90.372,92.388,94.124,95.644,96.895,98.343,100,101.904,103.706,105.072
"33",NA,"Chain-Type Price Indexes for PCE by Major Type of Expenditure"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","P1PCEG B     Personal consumption expenditures","P1PCEG3",20.432,20.767,20.985,21.232,21.479,21.786,22.103,22.662,23.237,24.151,25.255,26.448,27.574,28.528,30.081,33.191,35.955,37.948,40.41,43.248,47.059,52.078,56.72,59.859,62.436,64.795,66.936,68.569,70.947,73.755,76.972,80.498,83.419,85.824,87.804,89.654,91.577,93.547,95.124,95.978,97.575,100,102.094,103.548,105.511
"35","25","P1FTBG D Food and tobacco","P1FTBG3",18.691,18.968,19.132,19.357,19.647,20.036,20.469,21.349,21.716,22.551,23.661,25.133,25.942,27.122,29.932,33.974,36.65,37.878,40.213,43.79,48.045,52.209,56.19,58.395,60.187,62.309,63.715,65.703,68.025,70.544,74.369,78.163,81.186,82.526,83.901,84.981,86.833,89.285,91.46,93.693,97.1,100,103.309,105.853,107.877
"36","26","P1FXAG C   Food excluding alcoholic beverages","P1FXAG3",19.279,19.51,19.68,19.917,20.19,20.618,21.069,22.046,22.322,23.146,24.337,25.865,26.638,27.934,31.393,36.202,39.111,40.405,43.147,47.266,52.112,56.723,61.068,63.122,64.288,66.47,67.699,69.547,71.932,74.347,78.172,81.948,83.948,84.752,86.089,87.62,89.629,92.155,94.279,96.01,97.796,100,102.969,104.905,106.914
"37","27","P1ALCG D   Alcoholic beverages","P1ALCG3",24.953,25.509,25.73,26.038,26.406,26.624,26.823,27.173,28.194,29.155,30.073,31.466,32.774,33.446,34.178,36.482,39.11,40.351,41.41,43.964,47.452,51.204,54.934,57.435,59.761,61.538,63.578,66.122,67.78,70.154,72.785,76.017,83.917,86.41,87.441,88.122,89.149,91.595,93.577,94.805,97.072,100,102.746,105.291,107.484
"38","28","P1TOBG C   Tobacco products","P1TOBG3",7.394,7.64,7.702,7.763,7.999,8.188,8.536,8.997,9.334,9.922,10.451,11.325,11.804,12.449,12.794,13.417,14.374,14.983,15.704,16.572,17.532,18.868,20.348,22.585,26.954,28.68,30.325,32.356,34.594,37.673,42.431,46.738,52.118,56.521,58.547,56.193,57.582,59.334,62.095,69.897,90.075,100,107.666,116.833,118.758
"39","29","P1CAJG D Clothing, accessories, and jewelry","P1CAJG3",43.59,44.254,44.55,44.741,45.212,45.72,46.141,47.233,49.141,51.72,54.644,56.83,58.616,59.895,62.083,66.584,69.592,72.079,74.972,77.154,79.798,84.965,88.036,89.158,90.475,91.187,92.887,92.72,96.228,99.719,101.749,105.552,107.948,108.977,108.77,107.697,105.67,104.26,104.104,102.278,100.955,100,99.04,97.019,95.078
"40","30","P1PCRG D Personal care","P1PCRG3",21.563,21.85,22.038,22.277,22.574,22.743,22.97,23.225,23.965,25,26.116,27,27.908,28.588,30.009,33.316,37.277,40.304,43.427,46.502,49.725,53.831,58.475,62.716,65.969,68.225,70.472,72.56,74.264,76.703,79.907,83.11,85.697,87.5,89.123,90.679,91.82,93,94.175,95.728,97.671,100,102.013,102.869,103.437
"41","31","P1HOSG B Housing","P1HOSG3",18.563,18.859,19.119,19.352,19.585,19.785,19.985,20.289,20.694,21.219,21.941,22.901,23.964,24.818,25.874,26.871,28.619,30.503,33.069,35.407,38.219,41.791,46.062,49.897,52.877,55.681,59.03,62.481,65.371,68.345,71.2,74.54,76.96,79.073,81.244,83.529,86.124,88.79,91.343,94.285,96.92,100,103.867,107.797,110.437
"42","32","P1HHOG D Household operation","P1HHOG3",25.751,26.2,26.37,26.445,26.626,26.749,26.876,27.207,27.812,28.738,29.642,30.677,32.123,33.119,34.482,39.009,43.267,46.293,49.27,52.007,56.256,62.63,69.444,75.141,78.567,81.342,83.194,83.726,84.259,85.605,87.412,89.345,91.468,92.961,94.437,95.745,96.633,98.18,99.192,98.669,98.377,100,102.28,100.98,102.073
"43","33","P1MEDG D Medical care","P1MEDG3",11.08,11.418,11.638,11.832,12.011,12.306,12.643,13.144,13.8,14.664,15.527,16.513,17.423,18.201,18.886,20.368,22.42,24.372,26.603,28.923,31.204,34.423,38.47,42.514,46.008,49.38,51.931,53.92,56.324,60.441,65.283,70.111,74.337,78.346,81.88,85.066,87.959,90.233,92.361,94.657,97.092,100,103.727,106.595,110.077
"44","34","P1PBUG C Personal business","P1PBUG3",13.975,14.575,14.961,15.566,15.727,16.422,16.757,17.603,18.094,19.079,20.898,22.108,23.021,24.298,25.375,28.239,30.716,31.675,33.311,37.37,40.358,44.625,48.207,50.697,55.297,57.786,61.065,66.276,69.097,71.952,73.128,76.016,80.129,85.443,86.609,87.846,90.335,93.465,96.852,98.267,99.247,100,100.683,103.925,105.555
"45","35","P1TRNG D Transportation","P1TRNG3",22.317,22.441,22.6,22.914,23.021,23.162,23.425,23.635,24.229,24.992,25.868,26.84,28.118,28.554,29.576,33.646,36.676,39.231,41.641,44.167,50.654,60.313,66.27,67.063,67.928,69.359,70.775,68.217,71.183,72.971,76.52,79.926,81.472,83.145,85.712,88.198,90.83,93.406,94.194,92.132,94.407,100,100.038,98.708,101.591
"46","36","P1USEG D   User-operated transportation","P1USEG3",22.837,22.91,23.007,23.275,23.404,23.526,23.787,23.969,24.549,25.302,26.118,26.962,28.174,28.561,29.601,33.872,36.921,39.445,41.868,44.471,51.299,60.696,66.262,66.995,67.782,69.052,70.571,68.087,71.038,72.608,76.123,79.525,81.169,82.833,85.244,88.096,90.827,93.624,94.166,91.867,94.287,100,100.322,99.258,102.161
"47","37","P1PLTG C   Purchased local transportation","P1PLTG3",13.191,13.498,14.048,14.676,15.028,15.523,15.851,16.586,17.711,18.773,20.009,22.544,24.239,25.415,25.74,26.71,28.793,31.271,32.902,34.378,36.789,42.724,50.519,55.682,57.354,60.351,62.069,65.9,68.486,71.167,72.952,77.002,80.976,84.854,87.053,88.113,90.231,99.101,101.309,99.875,98.605,100,102.998,105.287,112.773
"48","38","P1PITG C   Purchased intercity transportation","P1PITG3",20.158,21.174,22.003,22.785,21.751,21.752,21.931,22.102,22.324,22.929,24.565,26.447,28.55,29.305,30.453,33.067,36.279,39.264,41.876,43.664,46.886,61.963,73.099,72.972,74.774,78.335,77.771,71.484,74.852,79.967,84.66,87.923,87.071,88.152,93.527,90.222,91.388,88.66,92.927,94.517,95.331,100,94.265,86.959,88.287
"49","39","P1RCRG D Recreation","P1RCRG3",42.224,42.999,43.477,43.833,44.477,45.059,45.28,45.678,46.591,48.434,50.251,51.783,53.826,54.931,56.141,59.198,63.69,66.339,68.692,71.911,75.991,81.446,86.632,90.502,92.373,93.758,95.196,95.952,97.565,99.7,102.2,104.927,107.508,108.332,108.698,109.251,109.015,108.028,105.955,103.505,100.948,100,98.661,97.261,95.81
"50","40","P1TEDG C Education and research","P1TEDG3",11.51,11.768,11.998,12.304,12.608,12.92,13.365,13.962,14.538,15.21,16.126,17.208,18.117,19.034,20.453,23.136,25.176,27.01,28.761,30.425,33.435,37.244,41.267,44.351,46.891,49.573,51.923,54.172,56.867,60.182,63.418,66.644,70.213,73.586,76.558,79.595,82.586,85.931,89.02,92.184,95.679,100,104.734,109.785,115.458
"51","41","P1RAWG C Religious and welfare activities","P1RAWG3",17.087,17.295,17.429,17.581,17.842,17.974,18.361,18.808,19.279,20.044,21.295,22.097,23.24,24.294,25.809,29.599,32.305,34.108,36.415,38.949,42.748,48.393,52.666,55.213,57.022,59.053,60.312,62.053,64.339,67.821,70.8,73.126,75.689,77.877,79.795,81.91,84.503,87.028,89.839,92.514,95.303,100,102.893,105.943,108.994
"52","42","P1FTOG D Foreign travel and other, net","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","  the Survey of Current Business monthly (none shown monthly)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","  of Current Business monthly (NIPA table 2.3.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","  Business annually (NIPA table 2.4.4 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
