"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"35","27","    Amusement and recreation","W046RX0",11470,11618,11671,11226,9924,11258,11550,12166,12577,12384,11510,11413,11546,10969,10406,9167,8756,9218,8970,9029,8867,8629,8293,7952,7706,8580,8801,9573,8455,9295,9488
"36","28","    Transportation","W047RX0",6364,6483,6653,6833,7461,7638,7704,7311,6895,6563,6332,6338,6402,6567,6709,6830,6844,6795,6438,6290,6092,6286,6210,6128,6103,5713,5663,5516,6191,5599,5461
"37","29","      Air","W048RX0",1194,1128,1132,1072,1294,1269,1327,1154,1248,1352,1417,1573,1606,1792,2060,2296,2326,2272,1896,1693,1311,1445,1333,1262,1273,931,949,898,817,910,820
"38","30","      Land\3\","W049RX0",5163,5343,5508,5744,6153,6352,6362,6140,5637,5205,4913,4765,4796,4774,4649,4533,4517,4522,4542,4596,4781,4841,4876,4866,4829,4782,4714,4618,5374,4688,4641
"39","31","    Farm","C316RX0",4149,4193,4461,4419,4497,4969,4625,4570,4824,5848,5093,5371,5642,5570,6268,6472,5226,5011,4885,4541,5240,5353,5767,5387,4733,4996,4677,4901,4978,4788,5006
"40","32","    Other\4\","W050RX0",4133,4114,4207,4079,4442,4731,3904,3528,3440,3887,3683,4007,3948,4129,5064,5431,4685,3648,3134,2534,2187,2173,2685,2779,2447,2820,3279,3723,3845,4367,3655
"41","33","    Brokers' commissions on sale of structures","C321RX0",2094,2033,2138,2125,2183,2242,2245,2330,2359,2287,2263,2269,2368,2444,2483,2369,2325,2359,2241,2168,2102,1987,1876,1859,1831,1828,1783,1810,1785,1839,1853
"42","34","    Net purchases of used structures","E322RX0",-1024,-1029,-1064,2478,-1257,-1329,-1378,-1387,-1391,-1399,-1403,-1408,-1389,-1377,-1363,-1350,-1471,-1559,10819,-1614,-1587,-1580,-1574,-1557,-1528,-1501,-1474,-1436,-1420,-1390,-1361
"43","35","Residential","A012RX0",377009,381805,383519,387457,395523,406485,417667,427746,431341,434871,437297,442747,447103,443068,433820,434181,436567,442734,444769,440365,450312,462654,466025,470878,479502,489831,515298,527183,533588,554563,556831
"44","36","  Permanent site","A943RX0",221383,224243,222221,226199,232889,239536,249303,257204,261058,260281,261962,268376,272553,268805,259282,259547,263730,268421,269664,264594,268304,277568,280897,282585,292289,295755,310879,326432,331786,338990,341473
"45","37","    Single-family structures","A944RX0",195100,196994,196039,198385,205046,213467,223274,230627,232465,231836,232792,239616,243519,239686,232444,231503,234594,239131,240256,234543,237704,246034,249520,252014,260277,264057,278283,294142,299257,305696,307691
"46","38","    Multifamily structures","C292RX0",26326,27323,26206,27873,27853,26064,26029,26577,28588,28445,29175,28762,29034,29118,26838,28046,29145,29294,29411,30082,30630,31561,31394,30572,32025,31690,32567,32200,32426,33192,33688
"47","39","  Other structures","A863RX0",155547,157486,161135,161137,162560,166886,168357,170558,170296,174583,175328,174369,174550,174266,174538,174630,172837,174311,175095,175779,182038,185093,185130,188304,187149,194067,204415,200637,201667,215562,215316
"48","40","    Manufactured homes","A945RX0",14046,14686,15011,15016,15221,15757,16270,16701,16359,15447,14570,14235,13599,11986,10896,9359,8665,8917,9405,9633,8895,8171,8152,7774,7424,6390,6623,6509,6718,5718,5910
"49","41","    Dormitories","C295RX0",803,870,917,955,926,1025,1029,1203,1211,1235,1288,1604,1617,1308,1149,1357,1553,1396,1461,1520,1486,1417,1258,1508,1581,1586,1618,1471,1459,1537,1459
"50","42","    Improvements","A946RX0",99895,99941,100246,100413,100175,100310,100730,101502,102834,103679,104682,105898,106117,106782,107531,108117,108080,108241,108452,109723,112341,114053,115914,116681,117380,119150,120612,121441,122062,123206,124431
"51","43","    Brokers' commissions on sale of structures","A758RX0",43109,44480,47646,47644,49344,53040,53677,54529,53628,57920,58265,55882,55426,55894,56282,56598,55873,57173,57403,57174,61757,64029,62511,64759,63154,69155,77568,73258,73444,86867,85233
"52","44","    Net purchases of used structures","A759RX0",-2335,-2546,-2744,-2953,-3173,-3328,-3445,-3481,-3834,-3746,-3497,-3268,-2215,-1698,-1313,-806,-1356,-1461,-1665,-2296,-2533,-2716,-2803,-2576,-2521,-2504,-2468,-2399,-2363,-2305,-2257
"53","45","Residual","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","  Private fixed investment in new structures\5\","W040RX0",611468,612736,621806,624630,635282,653965,662094,673408,672530,673910,673478,684103,692768,700311,697453,698031,694992,696770,691276,669665,661020,654425,648632,646840,648967,661111,677382,698150,699739,711214,714839
"56","47","    Nonresidential structures","A771RX0",275078,272712,283084,281748,285812,297046,294608,296700,291034,293238,290966,293984,298885,311451,318602,319611,312887,309735,302287,284295,270168,253447,242706,238564,230408,238302,237543,242022,237269,241214,240974
"57","48","    Residential structures","A756RX0",336318,339933,338631,342786,349365,356765,367437,376697,381544,380701,382533,390129,393887,388874,378856,378391,382060,387018,389020,385471,391042,401275,406284,408625,418831,423097,440025,456253,462444,469982,473794
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","NOTE. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
