"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"22","13","Q1TSS1 A Services","Q1TSS10",2813518,2849506,2872372,2871272,2868325,2896809,2908832,2925804,2960574,2987880,3016089,3038680,3053884,3065435,3099930,3123464,3151948,3167860,3185815,3200901,3221331,3251190,3273624,3293425,3326231,3345365,3366541,3385871,3417773,3446886,3485545,3521612,3562001,3601957,3642070,3653739,3696367,3738484,3782251,3815018,3871082,3908170,3949305,3986786,3997905,4015978,4027843,4051180,4084064,4119738,4143822,4166923,4188729,4207744,4227938,4256737,4291743,4319952,4351029
"23","14","Q1HOS1 B   Housing","Q1HOS10",796036,800062,804370,808224,811576,817876,823663,827116,829702,831393,833658,836194,836979,837925,843108,849046,859825,865462,873171,878858,882783,885862,888972,892545,895162,898574,902791,907894,913902,919337,925426,931223,939366,945767,952419,957814,969368,975165,981788,987887,995747,1003306,1009898,1016883,1024441,1031235,1036479,1042789,1052833,1060835,1065545,1068725,1071604,1074281,1078065,1080269,1086026,1091451,1097923
"24","15","Q1HOP1 B   Household operation","Q1HOP10",258725,267670,271029,268048,263593,273389,272562,269866,269941,276686,279104,283895,285416,286169,295590,297100,300541,305499,303818,303408,302628,310945,319348,318607,326971,328051,323616,330447,331160,336372,341120,352792,350229,358538,363489,356089,362787,371092,379932,373702,376339,388561,392540,402995,397596,389462,390250,386564,388464,394507,394678,398923,399469,396757,398712,406026,409280,408355,408387
"25","16","Q1GEL1 B     Electricity and gas","Q1GEL10",111294,118519,120481,119310,117267,125481,122610,118981,116742,120554,120285,124112,125052,123171,129512,129398,129880,132591,127745,124870,123602,129801,135201,132009,138593,136480,129820,134057,130912,132808,132014,139184,133822,140242,141100,131549,135476,138515,143167,135416,133910,141959,143767,153563,148508,138841,138937,137287,139634,144240,145123,149865,149039,144515,144660,150625,151928,148774,147655
"26","17","Q1HLU1 B     Other household operation","Q1HLU10",147910,149574,150966,149152,146750,148300,150361,151306,153629,156578,159273,160233,160811,163474,166537,168181,171167,173433,176555,178971,179420,181612,184670,187039,188910,192045,194167,196788,200614,203931,209435,213986,216683,218722,222770,224512,227343,232622,236929,238232,242440,246750,248855,249191,248793,251002,251558,249435,248936,250252,249472,248867,250227,252303,254159,255186,257128,259655,260946
"27","18","Q1TOT1 B   Transportation","Q1TOT10",196294,196690,195874,193902,187946,186510,185095,185820,189228,192065,197496,198009,198286,200677,203560,207315,211931,216326,220514,224740,226928,229223,233411,237538,242268,245629,249008,253097,259429,261875,265143,266337,268431,271781,273263,274536,279251,281870,285458,287042,289897,291854,291560,291705,292917,291484,285892,281584,281951,280900,278456,278185,279348,277655,277079,276718,278060,280070,281089
"28","19","Q1TMD1 B   Medical care","Q1TMD10",780778,793942,805165,810576,813061,818586,827426,838999,851505,861743,868910,872360,875717,875450,878089,879506,882556,885513,888296,892044,900094,904191,908524,912775,913576,920897,923546,931956,932644,939062,947276,952236,966436,968274,972423,975513,977957,983677,992456,1001800,1010733,1021977,1032091,1042451,1053541,1065657,1082692,1099080,1117070,1132503,1147022,1160494,1169982,1179675,1189316,1198322,1207861,1221035,1235944
"29","20","Q1REC1 B   Recreation","Q1REC10",167483,170445,171585,172875,170343,170512,171539,174056,180228,182474,184784,188378,191437,193765,197977,198369,200434,203377,206779,208592,212989,218110,221007,224645,225302,227564,230713,230957,234329,235966,235370,236942,241546,242718,246396,249140,251812,255960,260636,262868,264233,267640,270105,271082,274733,274127,274534,276187,279454,280704,281566,284390,286421,289560,291237,294102,298340,298541,300602
"30","21","Q1OSR1 B   Other","Q1OSR10",616952,622930,626789,620839,625815,632853,632058,634366,644847,647941,656426,663624,669716,674985,684227,694689,699144,693790,695777,696032,698936,705321,704252,709389,724429,726198,738826,733179,747974,755702,772313,782623,796822,815334,834385,841168,855508,870936,882174,901859,934050,934873,953167,961671,954633,964206,957812,964622,963752,969664,975784,975406,981110,988857,992480,1000341,1011200,1019421,1025844
"31",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","Q1NRG1 B   Energy goods and services","Q1NRG10",270531,277759,281549,274930,272225,283230,281897,276624,276306,283980,284271,289253,289755,289487,299360,298466,301010,303186,298339,293608,296132,304355,308606,305299,315021,313986,306628,310853,308338,312818,312590,321251,318566,326561,327274,319932,327692,331579,332510,330119,325262,332038,332885,348948,345114,327260,329962,334200,336865,338131,338727,349363,348720,336745,339279,353913,354130,343896,344515
"33","23","Q1XEF1 B   Personal consumption expenditures excluding food and energy","Q1XEF10",3714507,3713356,3726781,3706507,3691822,3715384,3737521,3744205,3814671,3844150,3890068,3927492,3947986,3988259,4027656,4072533,4123985,4148588,4187272,4240149,4248971,4285628,4327710,4366943,4403436,4459819,4503326,4541627,4599216,4624421,4712038,4767544,4827982,4905845,4971379,5052310,5106337,5190008,5250447,5314501,5419761,5445898,5507541,5544582,5570391,5605185,5630171,5738500,5761678,5802773,5853184,5879595,5911759,5986773,6060307,6103978,6160087,6195046,6278717
"34",NA,"Real PCE by Major Type of Expenditure (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4757125,4772962,4792574,4758270,4738052,4779432,4800122,4795944,4874996,4903032,4951825,5009380,5027306,5071854,5127251,5172944,5230296,5267970,5305710,5358749,5367241,5411653,5458829,5496098,5544554,5604939,5640657,5687631,5749094,5775849,5870672,5931394,5996833,6092061,6165655,6248819,6311293,6409688,6476744,6556808,6661269,6703322,6767953,6824968,6853071,6870257,6900517,7017580,7049659,7099261,7149941,7194623,7242203,7311416,7401724,7466826,7543049,7572365,7666784
"36","25","Q1FTB1 C Food and tobacco","Q1FTB10",860970,870766,872412,864322,858521,865095,864985,859846,870927,862234,864392,879318,875835,880050,886594,888110,891904,903537,907251,911828,909057,909108,910172,911105,914156,919094,918041,922778,929061,926100,932996,929523,936619,946104,952377,959082,958932,968637,973415,990960,994975,1004249,1006216,1009378,1015531,1016484,1018522,1022537,1028328,1034762,1033708,1040814,1055579,1061591,1075271,1081294,1100896,1106527,1116975
"37","26","Q1FXA1 C   Food excluding alcoholic beverages","Q1FXA10",677652,685327,686095,677661,680437,688495,689034,684805,693402,686185,688095,701714,700432,704564,710483,712525,715064,725156,728144,732382,730218,729679,729801,730455,732627,737068,735803,740310,745486,742955,748393,745233,751414,760771,767050,773810,775655,784563,790222,805817,808258,816872,818660,822163,827715,828441,831397,835978,841293,847482,848184,855745,869813,875096,886567,892201,909151,913879,923105
"38","27","Q1ALC1 C   Alcoholic beverages","Q1ALC10",99904,102179,103924,105224,99239,97967,97302,95767,96032,94407,94963,96719,94784,95071,95678,95075,95754,96721,97092,97076,96420,96796,97490,97519,98091,98253,98362,98345,99204,98932,100370,100448,101476,101935,102525,103262,102768,104455,104251,106562,107883,108709,109098,109015,109423,109812,109178,109019,110093,110944,109787,110061,111636,112932,115658,116395,119253,120387,121882
"39","28","Q1TOB1 C   Tobacco products","Q1TOB10",89270,88446,86995,86106,81644,80860,80869,82113,85070,85706,85134,83845,83621,83172,82947,82990,83700,84049,84404,84743,84952,85281,85619,85958,86304,86586,86807,86947,87040,86934,86669,86235,85768,84928,83877,82662,80853,79780,79002,78539,78821,78661,78469,78219,78405,78241,77980,77616,77087,76570,76018,75449,74778,74302,73925,73650,73594,73422,73248
"40","29","Q1CAJ1 C Clothing, accessories, and jewelry","Q1CAJ10",250981,247877,247818,244229,244297,247599,244765,239851,250811,255431,260774,264037,263374,268543,272421,274517,279844,279888,284734,293126,292249,295567,300513,302145,305821,312779,317320,319400,319460,317943,327069,332035,340740,347675,348044,356845,369682,374168,378534,381587,388859,395504,401816,401629,398704,398696,399343,407202,415832,416424,412887,422183,422672,429412,438248,444107,457294,450565,455857
"41","30","Q1PCR1 C Personal care","Q1PCR10",68879,68190,68656,68357,68218,68181,68146,68480,70016,70463,71076,71727,71793,71995,72310,73107,73530,74433,75741,76685,78102,79046,79810,80104,80609,82333,83040,85220,86766,87285,89086,88843,88982,89433,90499,91180,91300,91196,91056,92782,92860,93337,93509,93781,92488,92824,92234,93091,93730,93617,92731,92400,93138,93129,94276,94117,95226,94527,95497
"42","31","Q1HOS1 B Housing","Q1HOS10",796036,800062,804370,808224,811576,817876,823663,827116,829702,831393,833658,836194,836979,837925,843108,849046,859825,865462,873171,878858,882783,885862,888972,892545,895162,898574,902791,907894,913902,919337,925426,931223,939366,945767,952419,957814,969368,975165,981788,987887,995747,1003306,1009898,1016883,1024441,1031235,1036479,1042789,1052833,1060835,1065545,1068725,1071604,1074281,1078065,1080269,1086026,1091451,1097923
"43","32","Q1HHO1 C Household operation","Q1HHO10",481197,487167,489778,481700,478701,490440,489188,484542,489800,499143,503638,512694,516701,520239,533654,536517,543530,552262,556023,560648,558153,569690,580278,582939,589743,597849,595490,606848,607783,614184,624038,639071,638812,649084,657830,656305,669209,682156,696160,697865,703353,717214,722745,733800,729672,721278,722062,722249,730535,738936,737972,747725,749236,754077,767995,783826,793709,796442,803405
"44","33","Q1MED1 C Medical care","Q1MED10",888926,901426,913841,919372,921724,926475,934236,945810,959054,969105,976890,980850,985431,985394,988903,992375,996274,1000794,1005046,1010382,1019959,1026075,1031521,1037844,1040329,1050856,1055985,1067449,1070203,1079158,1092194,1101392,1119180,1125089,1133471,1141232,1148335,1156888,1165757,1187870,1190441,1214138,1226321,1242464,1251309,1266088,1289809,1311276,1332621,1347241,1363238,1379101,1394501,1406307,1421743,1435864,1445172,1463288,1480565
"45","34","Q1PBU1 C Personal business","Q1PBU10",327168,329141,330774,332942,340613,350268,351163,353993,357988,355934,358543,363142,373201,378387,382894,389514,390388,382269,379352,378501,379924,385870,389466,392582,399466,401256,401860,406739,416081,420674,432238,436394,439796,451527,459484,464870,478924,490466,497900,513960,536537,531761,541966,546128,539357,534688,526618,530839,525378,528489,535556,535669,535896,544839,548775,559772,566037,569557,575110
"46","35","Q1TRN1 C Transportation","Q1TRN10",609407,592800,588789,569603,546578,545204,554225,549906,568929,575543,586672,593269,589531,606326,610542,624129,638407,639508,641206,653760,645499,648511,658283,666118,675949,686387,689604,696508,718015,711281,734870,745597,744095,772532,780733,819794,809272,838467,840917,837571,870053,842333,847599,853727,865939,853479,854555,914175,879509,877759,903601,895033,891986,905863,920396,925568,920081,907646,936663
"47","36","Q1USE1 C   User-operated transportation","Q1USE10",565502,549761,545467,525591,504095,501992,511327,506897,526504,533521,542213,551142,547293,563510,567137,579742,593213,593149,593911,605143,597269,600499,610176,616605,624956,634783,637434,643895,664414,657842,681171,692149,688982,716470,724463,763001,751611,780758,782496,778909,810644,782052,787854,794554,807032,794792,799491,861453,824098,822034,848213,839077,835330,849388,863771,869288,862525,848626,878091
"48","37","Q1PLT1 C   Purchased local transportation","Q1PLT10",10738,10643,10835,11421,10862,10844,10833,10700,10752,10760,10576,10572,10497,10648,10859,11098,11033,11308,11238,11336,11371,11322,11170,11078,11004,10994,11005,10834,10841,10885,11024,11065,11616,11612,11928,12120,12039,12108,12053,12173,12186,12254,12226,12243,12163,12194,12100,11973,11903,11834,11681,11631,11386,11176,11071,10885,10790,10885,11057
"49","38","Q1PIT1 C   Purchased intercity transportation","Q1PIT10",33082,32302,32362,32410,31424,32107,31839,32043,31510,31150,33706,31495,31669,32151,32516,33251,34105,34938,35912,37139,36726,36553,36819,38292,39889,40526,41094,41739,42711,42498,42609,42331,43378,44384,44279,44686,45583,45617,46376,46483,47199,48020,47516,46965,46827,46613,42826,40180,43315,43741,43351,44121,45290,45221,45436,45261,46863,48548,47487
"50","39","Q1RCR1 C Recreation","Q1RCR10",274652,275987,276743,278775,277499,279162,283332,283572,290138,291866,298461,305964,313467,319758,326716,331759,337540,347058,354848,364190,369731,378470,388936,397148,400838,411510,419645,428196,435781,444263,451549,459643,471123,481010,495676,506869,520323,533976,548601,560849,574730,581922,590527,595669,603471,608789,612204,624410,635539,642760,647997,657637,665363,682559,700318,710041,723536,730570,742935
"51","40","Q1TED1 C Education and research","Q1TED10",125034,125344,126118,125883,125976,126864,127514,128210,129644,130134,131248,131012,131482,131911,133259,133559,133863,134214,135093,135964,137166,138026,138712,139923,141266,142410,143712,143532,143568,144882,146400,147861,150088,151369,152158,153984,155334,156744,157939,159125,161586,163011,164573,165911,167819,169845,170430,172019,172479,173129,174536,174809,175523,174609,174210,174436,175007,175856,176444
"52","41","Q1RAW1 C Religious and welfare activities","Q1RAW10",117069,120664,123822,123364,122091,122142,122999,123822,126801,130309,133792,134454,132047,132921,134133,134600,136716,139193,142472,144433,141809,141979,142362,143559,146760,149162,151339,152380,148714,148766,149625,150559,152999,156341,160062,161685,160501,160925,162404,164529,168175,171116,173430,176415,176908,179563,182895,185543,187262,190136,193587,195015,192932,193227,193552,195279,198380,200489,202124
"53","42","Q1FTO1 C Foreign travel and other, net","Q1FTO10",-9981,-10801,-12833,-18916,-17031,-20329,-23183,-25264,-27314,-28206,-28579,-26981,-28344,-29614,-27603,-25292,-23874,-24588,-24723,-27626,-25815,-27307,-33875,-34930,-31236,-35062,-26700,-39528,-31296,-29899,-28003,-25272,-20447,-19771,-13768,-16978,-18399,-17511,-16865,-17845,-16055,-14483,-10598,-10956,-13081,-3404,-5865,-7347,-4783,-5564,-11595,-14625,-6877,-6834,-7559,-12781,-11752,-10069,-10858
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","  Business annually (NIPA table 2.5.6 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
