"","Table 3#20# State Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Current receipts","W730RC1","61,603.0","69,064.0","78,225.0","95,023.0","103,140.0","112,079.0","125,764.0","141,667.0","158,114.0","177,199.0","194,811.0","215,952.0","236,430.0","244,652.0","269,288.0","303,747.0","328,554.0","354,042.0","374,971.0","403,056.0","435,216.0","469,192.0","504,058.0","551,387.0","584,818.0","621,625.0","653,195.0","686,230.0","719,625.0","764,097.0","812,501.0","867,693.0","904,455.0","917,779.0","970,454.0","1,048,676.0","1,136,465.0","1,193,916.0","1,247,874.0","1,264,031.0","1,267,094.0","1,336,114.0","1,358,746.0","1,383,018.0","1,434,629.0"
"20","2","Current tax receipts","W731RC1","44,029.0","48,135.0","53,750.0","63,541.0","70,197.0","75,874.0","81,896.0","93,814.0","105,121.0","117,408.0","128,917.0","140,885.0","155,617.0","162,313.0","180,512.0","205,392.0","220,861.0","233,969.0","253,654.0","269,449.0","288,362.0","305,566.0","314,151.0","338,785.0","357,051.0","380,436.0","401,450.0","425,873.0","449,144.0","480,708.0","507,892.0","540,105.0","546,827.0","533,703.0","558,791.0","606,385.0","676,273.0","728,058.0","759,710.0","763,578.0","688,193.0","719,950.0","770,273.0","815,803.0","854,710.0"
"21","3","  Personal current taxes","W732RC1","10,781.0","11,958.0","13,439.0","17,897.0","19,780.0","21,097.0","23,162.0","26,977.0","30,891.0","35,591.0","38,899.0","43,744.0","48,458.0","52,266.0","58,859.0","68,238.0","73,167.0","78,334.0","87,475.0","90,430.0","102,389.0","109,631.0","111,812.0","120,618.0","126,256.0","132,129.0","140,938.0","150,916.0","162,742.0","180,369.0","192,552.0","213,545.0","220,135.0","199,133.0","202,383.0","220,299.0","246,465.0","270,971.0","288,870.0","299,757.0","256,597.0","264,660.0","290,263.0","318,925.0","337,913.0"
"22","4","    Income taxes","W733RC1","8,620.0","9,583.0","10,950.0","15,209.0","16,818.0","18,047.0","19,934.0","23,433.0","27,178.0","31,584.0","34,612.0","39,143.0","43,580.0","46,972.0","53,152.0","61,881.0","66,108.0","70,685.0","79,131.0","81,546.0","92,865.0","99,640.0","101,381.0","109,013.0","114,918.0","120,200.0","128,429.0","138,639.0","149,734.0","166,779.0","178,439.0","199,220.0","205,736.0","184,258.0","186,432.0","203,373.0","228,997.0","252,545.0","269,841.0","280,915.0","236,255.0","242,187.0","267,364.0","295,452.0","314,231.0"
"23","5","    Other","W734RC1","2,161.0","2,375.0","2,489.0","2,688.0","2,962.0","3,050.0","3,228.0","3,544.0","3,713.0","4,007.0","4,287.0","4,601.0","4,878.0","5,294.0","5,707.0","6,357.0","7,059.0","7,649.0","8,344.0","8,884.0","9,524.0","9,991.0","10,431.0","11,605.0","11,338.0","11,929.0","12,509.0","12,277.0","13,008.0","13,590.0","14,113.0","14,325.0","14,399.0","14,875.0","15,951.0","16,926.0","17,468.0","18,426.0","19,029.0","18,842.0","20,342.0","22,473.0","22,899.0","23,473.0","23,682.0"
"24","6","  Taxes on production and imports","W7735C1","29,896.0","32,686.0","36,290.0","40,693.0","44,706.0","48,432.0","51,814.0","57,749.0","63,386.0","70,311.0","77,077.0","83,407.0","92,689.0","96,969.0","106,797.0","119,730.0","128,993.0","134,935.0","144,346.0","155,243.0","163,538.0","175,411.0","180,780.0","195,920.0","206,303.0","220,814.0","231,343.0","245,009.0","255,402.0","268,761.0","283,041.0","294,816.0","300,801.0","309,570.0","328,870.0","352,303.0","385,304.0","409,101.0","423,958.0","425,399.0","393,177.0","415,472.0","438,026.0","452,037.0","470,096.0"
"25","7","    Sales taxes","W736RC1","25,693.0","28,193.0","31,393.0","35,224.0","38,840.0","42,012.0","44,749.0","49,868.0","55,025.0","60,833.0","65,735.0","70,035.0","76,451.0","80,331.0","89,960.0","100,881.0","109,003.0","115,768.0","124,613.0","135,149.0","142,255.0","152,526.0","157,501.0","169,680.0","179,389.0","191,679.0","200,495.0","211,834.0","221,296.0","233,259.0","245,947.0","255,486.0","259,945.0","267,956.0","282,034.0","300,519.0","325,649.0","346,623.0","358,960.0","354,336.0","335,574.0","354,706.0","370,671.0","382,708.0","398,723.0"
"26","8","    Property taxes","W737RC1","864.0","942.0","965.0","1,072.0","1,185.0","1,114.0","1,449.0","1,534.0","1,502.0","1,919.0","2,348.0","2,588.0","2,653.0","2,751.0","2,998.0","3,354.0","3,474.0","3,578.0","3,743.0","3,757.0","4,296.0","4,579.0","4,931.0","6,099.0","5,911.0","6,993.0","7,240.0","8,169.0","8,063.0","8,545.0","9,149.0","7,772.0","8,051.0","7,687.0","9,060.0","8,320.0","9,051.0","9,737.0","9,766.0","9,724.0","10,388.0","10,668.0","9,934.0","9,798.0","9,779.0"
"27","9","    Other","W738RC1","3,339.0","3,551.0","3,932.0","4,397.0","4,681.0","5,306.0","5,616.0","6,347.0","6,859.0","7,559.0","8,994.0","10,784.0","13,585.0","13,887.0","13,839.0","15,495.0","16,516.0","15,589.0","15,990.0","16,337.0","16,987.0","18,306.0","18,348.0","20,141.0","21,003.0","22,142.0","23,608.0","25,006.0","26,043.0","26,957.0","27,945.0","31,558.0","32,805.0","33,927.0","37,776.0","43,464.0","50,604.0","52,741.0","55,232.0","61,339.0","47,215.0","50,098.0","57,421.0","59,531.0","61,594.0"
"28","10","  Taxes on corporate income","W739RC1","3,352.0","3,491.0","4,021.0","4,951.0","5,711.0","6,345.0","6,920.0","9,088.0","10,844.0","11,506.0","12,941.0","13,734.0","14,470.0","13,078.0","14,856.0","17,424.0","18,701.0","20,700.0","21,833.0","23,776.0","22,435.0","20,524.0","21,559.0","22,247.0","24,492.0","27,493.0","29,169.0","29,948.0","31,000.0","31,578.0","32,299.0","31,744.0","25,891.0","25,000.0","27,538.0","33,783.0","44,504.0","47,986.0","46,882.0","38,422.0","38,419.0","39,818.0","41,984.0","44,841.0","46,701.0"
"29","11","Contributions for government social insurance","W740RC1","1,026.0","1,089.0","1,174.0","1,320.0","1,492.0","1,665.0","1,843.0","2,187.0","2,775.0","3,410.0","3,880.0","3,572.0","3,860.0","4,043.0","4,140.0","4,677.0","4,886.0","5,957.0","7,207.0","8,377.0","8,974.0","10,035.0","11,619.0","13,123.0","14,129.0","14,515.0","13,600.0","12,453.0","10,823.0","10,351.0","9,752.0","10,822.0","13,691.0","15,826.0","19,932.0","24,654.0","24,615.0","21,486.0","18,885.0","18,681.0","18,567.0","18,128.0","18,216.0","17,724.0","17,658.0"
"30","12","Income receipts on assets","W741RC1","2,136.0","2,519.0","2,675.0","2,934.0","3,887.0","5,033.0","5,623.0","5,330.0","6,053.0","7,411.0","10,326.0","13,366.0","15,588.0","17,513.0","19,513.0","22,428.0","26,146.0","27,518.0","28,395.0","30,832.0","32,757.0","33,938.0","34,091.0","33,603.0","32,426.0","33,866.0","36,881.0","39,370.0","41,756.0","43,254.0","46,640.0","49,289.0","46,524.0","42,439.0","41,955.0","44,386.0","50,612.0","59,225.0","65,006.0","60,104.0","52,151.0","51,288.0","51,995.0","52,744.0","53,665.0"
"31","13","  Interest receipts","W742RC1","1,794.0","2,173.0","2,303.0","2,514.0","3,348.0","4,427.0","4,956.0","4,658.0","5,432.0","6,740.0","9,187.0","11,227.0","13,239.0","15,295.0","17,174.0","19,783.0","23,361.0","24,645.0","25,631.0","27,959.0","30,162.0","31,358.0","31,151.0","30,428.0","29,359.0","30,599.0","33,360.0","35,337.0","37,503.0","39,226.0","42,508.0","44,332.0","41,439.0","37,224.0","35,850.0","37,351.0","42,660.0","50,692.0","55,329.0","49,580.0","43,008.0","42,380.0","42,369.0","41,993.0","42,238.0"
"32","14","  Dividends","W743RC1","0.0","0.0","0.0","0.0","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,720.0","1,956.0","1,970.0","2,079.0","2,174.0","2,597.0","2,144.0","2,301.0","2,647.0","3,373.0","3,717.0"
"33","15","  Rents and royalties","W744RC1","342.0","346.0","372.0","420.0","512.0","574.0","629.0","629.0","575.0","606.0","1,056.0","2,042.0","2,223.0","2,064.0","2,163.0","2,481.0","2,629.0","2,723.0","2,602.0","2,697.0","2,418.0","2,342.0","2,597.0","2,710.0","2,481.0","2,511.0","2,558.0","2,680.0","2,728.0","2,398.0","2,635.0","3,602.0","3,663.0","3,664.0","4,385.0","5,079.0","5,982.0","6,454.0","7,503.0","7,927.0","6,999.0","6,607.0","6,978.0","7,377.0","7,709.0"
"34","16","Current transfer receipts","W745RC1","13,676.0","16,584.0","19,878.0","26,406.0","26,632.0","28,595.0","35,357.0","39,131.0","42,806.0","47,448.0","50,057.0","56,546.0","59,746.0","58,663.0","62,381.0","67,724.0","72,186.0","81,528.0","80,291.0","88,038.0","98,071.0","112,393.0","136,666.0","157,972.0","172,720.0","183,668.0","191,312.0","197,913.0","207,161.0","219,274.0","238,205.0","258,840.0","289,688.0","317,697.0","340,527.0","363,372.0","374,148.0","375,377.0","397,409.0","415,602.0","501,228.0","539,532.0","509,316.0","486,169.0","496,924.0"
"35","17","  Federal grants-in-aid","W746RC1","12,409.0","15,192.0","18,353.0","24,648.0","24,542.0","26,250.0","32,413.0","35,440.0","38,752.0","43,116.0","45,929.0","52,053.0","54,594.0","52,729.0","54,956.0","58,996.0","62,615.0","69,273.0","69,395.0","76,212.0","85,050.0","97,616.0","117,050.0","134,330.0","147,649.0","156,904.0","163,951.0","168,864.0","174,141.0","182,912.0","199,084.0","212,619.0","238,890.0","263,477.0","285,125.0","303,448.0","312,225.0","314,166.0","332,193.0","346,632.0","432,800.0","473,346.0","442,168.0","417,109.0","422,918.0"
"36","18","  Local government grants-in-aid","W747RC1","763.0","864.0","952.0","1,080.0","1,242.0","1,323.0","1,716.0","2,253.0","2,404.0","2,527.0","2,189.0","2,332.0","2,668.0","3,098.0","4,168.0","4,973.0","5,161.0","5,299.0","5,469.0","5,586.0","5,781.0","6,236.0","7,596.0","8,952.0","10,074.0","11,008.0","11,096.0","12,005.0","13,458.0","13,344.0","12,862.0","13,981.0","14,916.0","15,515.0","16,440.0","17,582.0","16,609.0","15,601.0","17,717.0","17,695.0","16,531.0","16,629.0","16,864.0","17,393.0","17,678.0"
"37","19","  From business (net)","W748RC1","115.0","125.0","130.0","151.0","157.0","212.0","238.0","255.0","280.0","322.0","371.0","422.0","469.0","551.0","644.0","769.0","852.0","2,837.0","921.0","1,076.0","1,318.0","1,615.0","2,001.0","2,562.0","2,858.0","3,389.0","4,105.0","4,999.0","6,555.0","9,801.0","11,355.0","15,023.0","16,119.0","17,172.0","16,630.0","17,718.0","18,420.0","18,237.0","18,993.0","21,140.0","21,674.0","20,136.0","19,769.0","19,637.0","23,516.0"
"38","20","  From persons","W749RC1","389.0","403.0","443.0","527.0","691.0","810.0","990.0","1,183.0","1,370.0","1,483.0","1,568.0","1,739.0","2,015.0","2,285.0","2,613.0","2,986.0","3,558.0","4,119.0","4,506.0","5,164.0","5,922.0","6,926.0","10,019.0","12,128.0","12,139.0","12,367.0","12,160.0","12,045.0","13,007.0","13,217.0","14,904.0","17,217.0","19,763.0","21,533.0","22,332.0","24,624.0","26,894.0","27,991.0","28,979.0","30,655.0","30,714.0","30,119.0","31,403.0","32,934.0","34,017.0"
"39","21","Current surplus of government enterprises","W750RC1","736.0","738.0","747.0","822.0","932.0","912.0","1,045.0","1,205.0","1,359.0","1,523.0","1,631.0","1,583.0","1,619.0","2,120.0","2,742.0","3,526.0","4,475.0","5,069.0","5,424.0","6,360.0","7,053.0","7,260.0","7,532.0","7,905.0","8,492.0","9,139.0","9,953.0","10,621.0","10,741.0","10,510.0","10,011.0","8,637.0","7,725.0","8,115.0","9,249.0","9,879.0","10,817.0","9,770.0","6,864.0","6,065.0","6,954.0","7,216.0","8,947.0","10,578.0","11,673.0"
"40","22","    Current expenditures","W751RC1","62,759.0","72,777.0","82,949.0","92,873.0","103,261.0","116,516.0","134,782.0","145,642.0","158,030.0","174,171.0","193,833.0","217,795.0","239,821.0","257,046.0","274,741.0","297,509.0","327,907.0","352,296.0","374,762.0","402,681.0","440,780.0","480,657.0","532,203.0","580,803.0","614,594.0","649,758.0","684,998.0","708,063.0","735,505.0","773,988.0","836,140.0","896,044.0","983,950.0","1,037,458.0","1,086,598.0","1,139,658.0","1,195,160.0","1,239,745.0","1,324,864.0","1,383,889.0","1,455,042.0","1,487,124.0","1,492,939.0","1,518,954.0","1,556,302.0"
"41","23","Consumption expenditures","W752RC1","22,355.0","25,787.0","28,845.0","31,452.0","35,271.0","42,134.0","49,144.0","52,803.0","57,510.0","63,075.0","70,020.0","78,799.0","86,891.0","93,741.0","99,533.0","106,949.0","117,433.0","124,935.0","132,723.0","142,389.0","153,944.0","167,200.0","175,405.0","183,852.0","193,071.0","204,533.0","213,648.0","219,713.0","231,391.0","248,254.0","272,603.0","292,834.0","314,364.0","320,275.0","319,177.0","327,088.0","347,438.0","361,152.0","384,576.0","407,726.0","411,700.0","411,181.0","413,063.0","423,796.0","435,977.0"
"42","24","Current transfer payments","W753RC1","37,225.0","43,303.0","49,631.0","55,965.0","61,935.0","67,156.0","77,003.0","83,884.0","90,684.0","100,267.0","111,756.0","125,874.0","138,029.0","146,215.0","155,774.0","169,556.0","186,367.0","201,531.0","216,906.0","234,282.0","256,977.0","284,158.0","323,678.0","360,509.0","386,451.0","410,521.0","433,786.0","452,749.0","469,798.0","497,074.0","536,893.0","579,402.0","631,765.0","674,713.0","709,755.0","757,419.0","789,069.0","812,938.0","867,683.0","904,749.0","939,364.0","970,311.0","976,161.0","981,487.0","1,010,320.0"
"43","25","  Government social benefit payments to persons","W754RC1","10,798.0","12,883.0","15,286.0","17,479.0","19,380.0","19,889.0","24,204.0","26,861.0","29,068.0","32,029.0","35,414.0","41,257.0","46,731.0","50,953.0","55,899.0","59,761.0","65,172.0","71,427.0","77,369.0","84,449.0","94,391.0","111,033.0","137,612.0","159,487.0","173,563.0","184,350.0","194,782.0","202,478.0","206,776.0","214,646.0","230,292.0","248,431.0","281,044.0","307,224.0","326,248.0","355,772.0","375,170.0","371,282.0","398,521.0","418,619.0","453,044.0","481,543.0","488,683.0","499,190.0","522,371.0"
"44","26","  Grants-in-aid to local governments","W755RC1","26,427.0","30,420.0","34,345.0","38,486.0","42,555.0","47,267.0","52,799.0","57,023.0","61,616.0","68,238.0","76,342.0","84,617.0","91,298.0","95,262.0","99,875.0","109,795.0","121,195.0","130,104.0","139,537.0","149,833.0","162,586.0","173,125.0","186,066.0","201,022.0","212,888.0","226,171.0","239,004.0","250,271.0","263,022.0","282,428.0","306,601.0","330,971.0","350,722.0","367,489.0","383,507.0","401,647.0","413,899.0","441,656.0","469,162.0","486,130.0","486,320.0","488,768.0","487,478.0","482,297.0","487,949.0"
"45","27","Interest payments \1\","W756RC1","2,947.0","3,424.0","4,179.0","4,965.0","5,404.0","6,361.0","7,533.0","7,741.0","8,477.0","9,279.0","10,266.0","11,093.0","12,562.0","14,575.0","16,672.0","17,922.0","20,815.0","22,205.0","20,909.0","21,229.0","24,703.0","23,777.0","27,277.0","30,430.0","29,120.0","28,449.0","30,832.0","27,877.0","25,735.0","19,779.0","17,060.0","13,476.0","20,167.0","31,532.0","47,548.0","44,538.0","46,822.0","52,255.0","51,797.0","54,081.0","87,329.0","88,425.0","87,418.0","96,754.0","92,422.0"
"46","28","  To persons and business \1\","Y707RC1","2,947.0","3,424.0","4,179.0","4,965.0","5,404.0","6,361.0","7,533.0","7,741.0","8,477.0","9,279.0","10,266.0","11,093.0","12,562.0","14,575.0","16,672.0","17,922.0","20,815.0","22,205.0","20,909.0","21,229.0","24,703.0","23,777.0","27,277.0","30,430.0","29,120.0","28,449.0","30,832.0","27,877.0","25,735.0","19,779.0","17,060.0","13,476.0","20,167.0","31,532.0","47,548.0","44,538.0","46,822.0","52,255.0","51,797.0","52,848.0","86,315.0","87,509.0","86,402.0","95,624.0","91,382.0"
"47","29","  To the rest of the world","Y708RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,233.0","1,013.0","916.0","1,016.0","1,130.0","1,041.0"
"48","30","Subsidies","W757RC1","232.0","263.0","294.0","491.0","651.0","865.0","1,103.0","1,214.0","1,359.0","1,550.0","1,792.0","2,029.0","2,339.0","2,515.0","2,762.0","3,082.0","3,293.0","3,625.0","4,223.0","4,781.0","5,157.0","5,521.0","5,844.0","6,012.0","5,952.0","6,254.0","6,732.0","7,725.0","8,581.0","8,881.0","9,583.0","10,332.0","17,653.0","10,938.0","10,118.0","10,613.0","11,832.0","13,401.0","20,808.0","17,333.0","16,649.0","17,208.0","16,297.0","16,917.0","17,584.0"
"49","31","    Net state government saving","W759RC1","-1,156.0","-3,712.0","-4,725.0","2,150.0","-121.0","-4,436.0","-9,018.0","-3,975.0","84.0","3,028.0","977.0","-1,844.0","-3,391.0","-12,394.0","-5,454.0","6,239.0","647.0","1,746.0","210.0","375.0","-5,564.0","-11,464.0","-28,145.0","-29,415.0","-29,776.0","-28,133.0","-31,803.0","-21,834.0","-15,880.0","-9,890.0","-23,639.0","-28,351.0","-79,494.0","-119,678.0","-116,144.0","-90,982.0","-58,696.0","-45,829.0","-76,990.0","-119,858.0","-187,948.0","-151,010.0","-134,193.0","-135,936.0","-121,673.0"
"50","32","Social insurance funds","W760RC1","159.0","180.0","228.0","260.0","307.0","377.0","466.0","605.0","986.0","1,487.0","1,772.0","1,318.0","1,304.0","1,224.0","1,209.0","1,427.0","1,315.0","1,864.0","2,192.0","2,523.0","2,330.0","1,977.0","2,359.0","3,140.0","4,192.0","4,639.0","4,045.0","2,817.0","1,173.0","1,693.0","1,707.0","1,980.0","2,603.0","1,419.0","3,249.0","7,299.0","7,240.0","4,641.0","2,661.0","1,746.0","2,155.0","3,194.0","4,437.0","4,484.0","4,310.0"
"51","33","Other","W761RC1","-1,315.0","-3,892.0","-4,953.0","1,890.0","-428.0","-4,813.0","-9,484.0","-4,580.0","-902.0","1,541.0","-795.0","-3,162.0","-4,695.0","-13,618.0","-6,663.0","4,812.0","-668.0","-118.0","-1,982.0","-2,148.0","-7,894.0","-13,441.0","-30,504.0","-32,555.0","-33,968.0","-32,772.0","-35,848.0","-24,651.0","-17,053.0","-11,583.0","-25,346.0","-30,331.0","-82,097.0","-121,097.0","-119,394.0","-98,281.0","-65,936.0","-50,470.0","-79,652.0","-121,604.0","-190,103.0","-154,203.0","-138,630.0","-140,420.0","-125,983.0"
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","34","  Total receipts","W762RC1","65,275.0","72,402.0","81,853.0","98,592.0","106,230.0","115,552.0","130,265.0","146,396.0","162,883.0","182,081.0","200,975.0","223,636.0","243,064.0","250,826.0","276,463.0","312,493.0","339,141.0","365,150.0","385,488.0","414,546.0","446,570.0","481,444.0","516,754.0","564,819.0","599,132.0","637,354.0","669,509.0","703,333.0","737,593.0","782,492.0","833,968.0","891,529.0","932,313.0","947,751.0","998,754.0","1,076,606.0","1,167,067.0","1,226,076.0","1,278,796.0","1,297,480.0","1,302,316.0","1,373,611.0","1,396,244.0","1,419,422.0","1,471,225.0"
"54","35","    Current receipts","W730RC1","61,603.0","69,064.0","78,225.0","95,023.0","103,140.0","112,079.0","125,764.0","141,667.0","158,114.0","177,199.0","194,811.0","215,952.0","236,430.0","244,652.0","269,288.0","303,747.0","328,554.0","354,042.0","374,971.0","403,056.0","435,216.0","469,192.0","504,058.0","551,387.0","584,818.0","621,625.0","653,195.0","686,230.0","719,625.0","764,097.0","812,501.0","867,693.0","904,455.0","917,779.0","970,454.0","1,048,676.0","1,136,465.0","1,193,916.0","1,247,874.0","1,264,031.0","1,267,094.0","1,336,114.0","1,358,746.0","1,383,018.0","1,434,629.0"
"55","36","    Capital transfer receipts","W764RC1","3,672.0","3,338.0","3,628.0","3,569.0","3,090.0","3,473.0","4,501.0","4,729.0","4,769.0","4,882.0","6,164.0","7,684.0","6,634.0","6,174.0","7,175.0","8,746.0","10,587.0","11,108.0","10,517.0","11,490.0","11,354.0","12,251.0","12,696.0","13,432.0","14,314.0","15,729.0","16,314.0","17,104.0","17,968.0","18,395.0","21,467.0","23,836.0","27,858.0","29,972.0","28,300.0","27,930.0","30,602.0","32,161.0","30,922.0","33,449.0","35,222.0","37,497.0","37,497.0","36,404.0","36,596.0"
"56","37","  Total expenditures","W765RC1","71,382.0","81,881.0","92,669.0","102,731.0","112,965.0","126,039.0","143,823.0","154,216.0","165,384.0","182,853.0","204,905.0","229,284.0","249,488.0","264,611.0","283,069.0","310,242.0","344,262.0","370,602.0","394,172.0","424,304.0","463,115.0","505,732.0","557,365.0","606,225.0","640,418.0","677,861.0","713,521.0","735,638.0","766,370.0","806,414.0","873,323.0","937,789.0","1,030,628.0","1,084,491.0","1,131,471.0","1,188,001.0","1,244,071.0","1,284,982.0","1,369,082.0","1,428,668.0","1,500,930.0","1,531,234.0","1,533,121.0","1,554,172.0","1,587,853.0"
