"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"31","9","    Gross domestic purchases","A712RC1","995,248.0","1,010,117.0","1,031,040.0","1,037,408.0","1,050,132.0","1,064,725.0","1,084,618.0","1,088,293.0","1,133,390.0","1,159,547.0","1,180,402.0","1,195,242.0","1,237,341.0","1,274,379.0","1,296,475.0","1,335,084.0","1,382,081.0","1,415,141.0","1,430,375.0","1,470,118.0","1,488,259.0","1,536,934.0","1,570,368.0","1,602,971.0","1,603,072.0","1,634,866.0","1,701,769.0","1,752,066.0","1,819,859.0","1,857,439.0","1,894,573.0","1,945,016.0","2,013,613.0","2,081,300.0","2,142,965.0","2,198,300.0","2,247,371.0","2,359,187.0","2,422,626.0","2,498,560.0","2,549,713.0","2,618,100.0","2,693,417.0","2,757,506.0","2,832,327.0","2,815,147.0","2,854,572.0","3,000,208.0","3,146,055.0","3,180,760.0","3,268,763.0","3,298,289.0","3,290,084.0","3,335,668.0","3,396,720.0","3,437,395.0","3,504,870.0","3,629,279.0","3,757,457.0","3,867,504.0","4,007,779.0","4,119,298.0","4,191,223.0","4,255,362.0","4,328,310.0","4,416,742.0","4,511,457.0","4,586,539.0","4,642,357.0","4,684,116.0","4,758,585.0","4,803,022.0","4,877,467.0","4,968,437.0","5,045,972.0","5,168,076.0","5,214,600.0","5,314,333.0","5,398,749.0","5,520,408.0","5,628,317.0","5,716,589.0","5,786,631.0","5,846,209.0","5,979,367.0","6,043,498.0","6,104,457.0","6,102,428.0","6,102,007.0","6,166,800.0","6,239,498.0","6,302,350.0","6,401,338.0","6,525,087.0","6,625,036.0","6,744,692.0","6,803,889.0","6,892,781.0","6,972,576.0","7,106,293.0","7,216,855.0","7,360,419.0","7,449,123.0","7,578,571.0","7,650,622.0","7,714,415.0","7,780,975.0","7,869,272.0","7,981,941.0","8,155,240.0","8,273,223.0","8,375,901.0","8,510,899.0","8,637,141.0","8,788,587.0","8,905,330.0","9,024,947.0","9,157,065.0","9,321,159.0","9,504,310.0","9,655,618.0","9,802,433.0","9,988,386.0","10,222,576.0","10,383,791.0","10,637,927.0","10,745,932.0","10,874,636.0","10,899,809.0","10,997,715.0","11,006,152.0","11,058,365.0","11,209,708.0","11,350,730.0","11,468,691.0","11,586,801.0","11,731,671.0","11,872,017.0","12,125,054.0","12,328,571.0","12,535,046.0","12,789,419.0","13,005,723.0","13,246,199.0","13,490,511.0","13,663,169.0","13,936,840.0","14,169,109.0","14,426,124.0","14,581,362.0","14,714,088.0","14,785,771.0","14,961,705.0","15,155,288.0","15,281,788.0","15,385,927.0","15,425,204.0","15,572,401.0","15,616,611.0","15,152,391.0","14,777,749.0","14,682,139.0","14,789,707.0","15,007,112.0","15,169,767.0","15,411,829.0","15,592,674.0","15,733,890.0","15,800,848.0","16,047,875.0","16,159,527.0","16,383,461.0","16,571,255.0","16,683,183.0","16,810,675.0","16,860,716.0","17,030,390.0","17,151,194.0","17,382,219.0","17,541,153.0","17,581,957.0","17,877,460.0","18,116,289.0","18,252,873.0"
"32","10","    Final sales to domestic purchasers \3\","A713RC1","983,759.0","1,000,895.0","1,020,846.0","1,031,621.0","1,048,309.0","1,059,644.0","1,079,535.0","1,092,277.0","1,121,136.0","1,148,672.0","1,170,214.0","1,195,537.0","1,234,114.0","1,262,381.0","1,282,760.0","1,327,593.0","1,371,531.0","1,396,935.0","1,420,614.0","1,445,125.0","1,475,740.0","1,519,518.0","1,564,790.0","1,582,525.0","1,613,100.0","1,648,820.0","1,703,157.0","1,751,718.0","1,805,166.0","1,834,991.0","1,873,766.0","1,934,498.0","1,998,791.0","2,061,831.0","2,112,081.0","2,174,179.0","2,221,918.0","2,334,930.0","2,397,660.0","2,470,073.0","2,525,861.0","2,590,699.0","2,681,286.0","2,748,953.0","2,822,428.0","2,807,397.0","2,888,427.0","3,009,326.0","3,107,300.0","3,169,047.0","3,224,803.0","3,273,482.0","3,311,550.0","3,339,834.0","3,390,922.0","3,477,215.0","3,539,930.0","3,636,951.0","3,761,661.0","3,843,572.0","3,934,797.0","4,049,977.0","4,119,885.0","4,207,383.0","4,312,080.0","4,395,096.0","4,495,154.0","4,553,420.0","4,611,960.0","4,668,453.0","4,765,604.0","4,815,781.0","4,849,494.0","4,951,913.0","5,044,955.0","5,104,994.0","5,197,644.0","5,294,685.0","5,380,568.0","5,501,264.0","5,580,180.0","5,680,332.0","5,776,805.0","5,829,656.0","5,965,413.0","6,009,798.0","6,082,591.0","6,113,763.0","6,117,527.0","6,184,833.0","6,238,655.0","6,271,217.0","6,401,092.0","6,501,878.0","6,604,524.0","6,723,348.0","6,767,949.0","6,868,677.0","6,965,978.0","7,089,681.0","7,171,493.0","7,279,008.0","7,395,900.0","7,503,429.0","7,589,443.0","7,680,656.0","7,769,649.0","7,850,841.0","7,975,060.0","8,124,719.0","8,222,153.0","8,341,176.0","8,461,141.0","8,548,753.0","8,720,639.0","8,827,666.0","8,919,847.0","9,119,725.0","9,268,740.0","9,444,293.0","9,572,224.0","9,767,321.0","9,947,869.0","10,138,335.0","10,367,634.0","10,547,484.0","10,688,699.0","10,820,293.0","10,930,440.0","11,009,275.0","11,036,267.0","11,139,194.0","11,209,922.0","11,331,610.0","11,443,398.0","11,556,998.0","11,700,667.0","11,872,405.0","12,116,927.0","12,290,170.0","12,486,176.0","12,713,184.0","12,943,439.0","13,178,150.0","13,391,007.0","13,632,543.0","13,918,900.0","14,078,860.0","14,351,700.0","14,504,077.0","14,636,997.0","14,746,682.0","14,941,544.0","15,108,224.0","15,233,142.0","15,363,992.0","15,445,340.0","15,596,320.0","15,635,390.0","15,217,539.0","14,923,370.0","14,870,060.0","14,995,639.0","15,057,917.0","15,157,707.0","15,361,714.0","15,471,130.0","15,671,492.0","15,774,575.0","15,984,837.0","16,174,439.0","16,290,812.0","16,490,164.0","16,591,012.0","16,734,931.0","16,850,269.0","16,986,204.0","17,100,408.0","17,271,473.0","17,450,629.0","17,541,847.0","17,777,197.0","18,021,839.0","18,159,530.0"
"33",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","11","    Disposable personal income","A067RC1","668,721.0","684,766.0","707,850.0","721,675.0","737,189.0","754,131.0","773,379.0","781,410.0","804,631.0","825,671.0","838,197.0","853,224.0","866,178.0","880,089.0","904,924.0","948,551.0","966,902.0","993,408.0","1,015,959.0","1,048,213.0","1,061,597.0","1,081,469.0","1,111,700.0","1,138,457.0","1,157,933.0","1,226,477.0","1,231,254.0","1,261,488.0","1,290,456.0","1,308,055.0","1,337,692.0","1,366,910.0","1,391,164.0","1,432,595.0","1,476,478.0","1,526,535.0","1,562,876.0","1,610,855.0","1,651,029.0","1,695,518.0","1,745,731.0","1,777,854.0","1,830,535.0","1,883,009.0","1,945,976.0","1,964,614.0","2,035,013.0","2,126,202.0","2,173,012.0","2,208,757.0","2,290,864.0","2,330,261.0","2,362,593.0","2,398,832.0","2,449,613.0","2,487,935.0","2,530,931.0","2,572,389.0","2,645,626.0","2,720,649.0","2,806,259.0","2,880,722.0","2,942,920.0","2,985,638.0","3,014,136.0","3,098,044.0","3,112,238.0","3,169,669.0","3,232,174.0","3,271,242.0","3,311,167.0","3,336,948.0","3,400,408.0","3,399,480.0","3,493,721.0","3,571,504.0","3,651,715.0","3,729,954.0","3,812,275.0","3,887,673.0","3,979,805.0","4,020,956.0","4,071,453.0","4,136,348.0","4,230,723.0","4,294,353.0","4,349,913.0","4,372,030.0","4,403,031.0","4,457,005.0","4,503,445.0","4,574,456.0","4,701,356.0","4,781,976.0","4,833,462.0","4,884,216.0","4,940,843.0","4,982,921.0","5,007,673.0","5,069,489.0","5,123,115.0","5,206,227.0","5,274,537.0","5,372,975.0","5,450,268.0","5,493,511.0","5,564,846.0","5,621,646.0","5,707,243.0","5,799,819.0","5,871,080.0","5,941,631.0","6,027,737.0","6,094,276.0","6,182,666.0","6,290,722.0","6,424,437.0","6,525,723.0","6,612,147.0","6,682,773.0","6,760,026.0","6,812,910.0","6,894,656.0","7,037,580.0","7,236,300.0","7,344,901.0","7,476,959.0","7,543,832.0","7,659,066.0","7,688,960.0","7,876,684.0","7,784,360.0","7,988,201.0","8,090,544.0","8,120,810.0","8,197,212.0","8,278,078.0","8,405,181.0","8,595,108.0","8,664,765.0","8,794,462.0","8,943,526.0","9,042,913.0","9,228,233.0","9,186,563.0","9,320,841.0","9,471,452.0","9,624,379.0","9,889,811.0","9,981,056.0","10,081,151.0","10,195,522.0","10,357,980.0","10,460,498.0","10,547,308.0","10,662,160.0","10,831,200.0","11,175,406.0","11,029,709.0","10,941,370.0","10,858,945.0","10,985,191.0","10,933,024.0","10,992,953.0","11,041,458.0","11,197,644.0","11,286,660.0","11,425,722.0","11,652,203.0","11,751,674.0","11,876,631.0","11,924,907.0","12,186,015.0","12,296,640.0","12,323,776.0","12,729,675.0","12,340,375.0","12,470,706.0","12,585,840.0","12,623,658.0","12,772,943.0","12,945,204.0","13,061,186.0","13,163,708.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Equals gross national income less the depreciation of fixed assets as measured by the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Equals gross domestic purchases less change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
