"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"28","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","494,868.0","533,480.0","525,392.0","432,548.0","415,840.0","414,120.0","421,230.0","451,488.0","509,046.0","540,186.0","438,211.0","366,277.0","374,709.0","423,763.0","421,680.0","456,243.0"
"29","11","      Equipment","Y033RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","662,433.0","726,935.0","695,657.0","658,024.0","679,021.0","731,182.0","801,604.0","870,793.0","898,336.0","836,092.0","644,308.0","746,702.0","847,918.0","905,624.0","947,227.0","1,008,187.0"
"30","12","      Intellectual property products","Y001RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","391,133.0","426,053.0","427,987.0","425,913.0","442,175.0","464,888.0","494,997.0","517,462.0","542,355.0","558,803.0","550,922.0","561,320.0","581,258.0","603,740.0","624,074.0","654,247.0"
"31","13","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","633,775.0","637,946.0","643,682.0","682,669.0","744,535.0","818,897.0","872,611.0","806,571.0","654,784.0","497,703.0","392,243.0","382,423.0","384,522.0","436,470.0","488,426.0","496,177.0"
"32","14","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","37,593.0","57,048.0","63,538.0","70,554.0"
"33","15","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-377,086.0","-477,783.0","-502,064.0","-584,327.0","-641,868.0","-734,761.0","-782,310.0","-794,271.0","-712,618.0","-557,820.0","-395,437.0","-458,756.0","-459,358.0","-452,490.0","-420,443.0","-452,596.0"
"34","16","  Exports","A020RX1","169,036.0","187,046.0","190,310.0","205,116.0","243,780.0","263,045.0","261,380.0","272,794.0","279,359.0","308,813.0","339,417.0","375,975.0","380,619.0","351,532.0","342,465.0","370,404.0","382,787.0","412,220.0","457,114.0","531,211.0","592,689.0","644,972.0","687,632.0","735,284.0","759,377.0","826,512.0","911,457.0","986,033.0","1,103,500.0","1,129,281.0","1,159,146.0","1,258,433.0","1,184,902.0","1,164,468.0","1,185,013.0","1,300,580.0","1,381,905.0","1,506,770.0","1,646,394.0","1,740,825.0","1,587,741.0","1,776,595.0","1,898,312.0","1,960,110.0","2,019,816.0","2,084,683.0"
"35","17","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","819,398.0","902,225.0","846,707.0","817,800.0","833,142.0","904,500.0","970,553.0","1,062,015.0","1,141,462.0","1,211,528.0","1,065,117.0","1,218,277.0","1,297,554.0","1,344,943.0","1,382,918.0","1,438,880.0"
"36","18","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","338,589.0","354,348.0","336,568.0","345,688.0","350,835.0","395,417.0","410,303.0","443,515.0","504,136.0","528,280.0","522,624.0","558,007.0","600,606.0","614,730.0","636,560.0","645,173.0"
"37","19","  Imports","A021RX1","243,205.0","253,580.0","267,114.0","297,173.0","310,963.0","303,920.0","270,139.0","322,963.0","358,270.0","389,311.0","395,777.0","369,495.0","379,257.0","374,483.0","421,732.0","524,393.0","558,427.0","606,136.0","642,007.0","667,227.0","696,609.0","721,528.0","720,449.0","770,951.0","837,611.0","937,525.0","1,012,535.0","1,100,592.0","1,248,825.0","1,394,798.0","1,536,232.0","1,736,215.0","1,686,966.0","1,748,795.0","1,826,881.0","2,035,340.0","2,164,216.0","2,301,041.0","2,359,012.0","2,298,645.0","1,983,177.0","2,235,350.0","2,357,670.0","2,412,600.0","2,440,259.0","2,537,279.0"
"38","20","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,286,920.0","1,455,404.0","1,408,410.0","1,461,091.0","1,533,000.0","1,704,139.0","1,817,888.0","1,925,350.0","1,960,869.0","1,887,861.0","1,590,294.0","1,826,747.0","1,932,145.0","1,973,091.0","1,991,477.0","2,072,364.0"
"39","21","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","245,440.0","276,403.0","274,625.0","283,594.0","289,595.0","326,400.0","341,107.0","370,477.0","393,495.0","408,244.0","392,884.0","407,772.0","424,220.0","438,661.0","448,413.0","464,370.0"
"40","22","Government consumption expenditures and gross investment","A822RX1","1,488,033.0","1,457,705.0","1,430,975.0","1,424,172.0","1,419,573.0","1,451,842.0","1,483,810.0","1,491,561.0","1,509,209.0","1,553,728.0","1,582,609.0","1,612,462.0","1,628,045.0","1,658,035.0","1,721,586.0","1,783,249.0","1,904,020.0","2,007,667.0","2,066,928.0","2,094,763.0","2,155,063.0","2,224,271.0","2,250,877.0","2,262,087.0","2,243,309.0","2,245,543.0","2,257,498.0","2,279,158.0","2,322,024.0","2,370,494.0","2,451,696.0","2,498,199.0","2,592,406.0","2,705,762.0","2,764,268.0","2,808,188.0","2,826,176.0","2,869,282.0","2,914,409.0","2,994,753.0","3,089,091.0","3,091,387.0","2,997,374.0","2,953,932.0","2,894,452.0","2,889,739.0"
"41","23","  Federal","A823RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","815,349.0","817,722.0","849,843.0","910,844.0","972,960.0","1,017,116.0","1,034,809.0","1,060,889.0","1,078,696.0","1,152,313.0","1,217,685.0","1,270,652.0","1,236,415.0","1,214,389.0","1,145,291.0","1,123,498.0"
"42","24","    National defense","A824RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","516,945.0","512,250.0","529,992.0","567,302.0","615,433.0","652,654.0","665,519.0","678,819.0","695,617.0","748,072.0","788,276.0","813,526.0","795,010.0","768,704.0","717,725.0","702,393.0"
"43","25","    Nondefense","A825RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","298,499.0","305,384.0","319,689.0","343,348.0","357,486.0","364,516.0","369,354.0","382,142.0","383,116.0","404,224.0","429,409.0","457,093.0","441,392.0","445,661.0","427,526.0","420,978.0"
"44","26","  State and local","A829RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,643,634.0","1,689,147.0","1,751,460.0","1,802,393.0","1,795,291.0","1,792,764.0","1,792,327.0","1,808,844.0","1,836,138.0","1,842,436.0","1,871,406.0","1,820,750.0","1,760,985.0","1,739,528.0","1,748,438.0","1,765,238.0"
"45","27","Residual","A960RX1","-160,600.0","-157,300.0","-135,900.0","-114,700.0","-82,300.0","-88,400.0","-118,300.0","-103,500.0","-88,200.0","-63,800.0","-43,900.0","-41,300.0","-21,100.0","-85,800.0","-104,500.0","-76,100.0","-106,000.0","-128,600.0","-127,400.0","-108,600.0","-96,300.0","-106,000.0","-114,100.0","-100,000.0","-88,600.0","-69,400.0","-60,100.0","-45,900.0","-30,700.0","-22,100.0","-112,400.0","-83,600.0","-90,900.0","-70,500.0","-45,500.0","-19,600.0","-2,200.0","-3,800.0","-9,700.0","-13,600.0","200.0","-1,100.0","-10,800.0","-17,300.0","-22,500.0","-29,100.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
