"","Table 7#25# Transactions of Defined Contribution Pension Plans  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"25","7","        Federal government plans","Y912RC1","0.0","0.0","0.0","401.0","433.0","596.0","771.0","982.0","1,247.0","1,438.0","1,611.0","1,796.0","2,058.0","2,244.0","2,426.0","2,701.0","2,948.0","3,192.0","3,546.0","3,936.0","4,290.0","4,604.0","4,957.0","5,331.0","5,772.0","6,349.0","6,931.0","7,444.0","7,657.0","7,704.0"
"26","8","        State and local government plans","Y955RC1","973.0","1,067.0","1,179.0","1,281.0","1,349.0","1,480.0","1,808.0","1,990.0","2,163.0","2,350.0","2,594.0","2,821.0","3,037.0","3,631.0","4,020.0","4,653.0","5,240.0","5,720.0","6,065.0","6,485.0","6,976.0","8,120.0","9,426.0","9,399.0","10,271.0","10,250.0","10,196.0","10,298.0","10,128.0","11,347.0"
"27","9","      Actual household contributions","Y344RC1","28,518.0","34,793.0","38,219.0","41,573.0","43,877.0","49,588.0","52,104.0","56,208.0","65,137.0","71,015.0","74,496.0","83,055.0","94,567.0","105,548.0","114,182.0","133,965.0","142,716.0","147,959.0","153,634.0","156,617.0","171,387.0","185,758.0","208,659.0","226,515.0","230,150.0","226,852.0","235,971.0","248,475.0","255,962.0","268,409.0"
"28","10","    Household pension contribution supplements \2\","Y345RC1","16,852.0","20,347.0","22,743.0","26,469.0","29,024.0","34,841.0","39,796.0","43,527.0","44,987.0","45,525.0","49,185.0","53,850.0","59,086.0","62,569.0","63,670.0","67,282.0","70,362.0","69,194.0","66,564.0","62,064.0","67,586.0","76,079.0","89,646.0","104,733.0","114,826.0","107,574.0","105,230.0","105,368.0","109,599.0","117,916.0"
"29","11","    Less: Pension service charges \1\","Y349RC1","373.0","461.0","527.0","572.0","654.0","1,027.0","937.0","1,152.0","1,300.0","1,561.0","1,718.0","1,471.0","1,680.0","2,403.0","3,118.0","2,108.0","2,123.0","2,049.0","1,984.0","1,976.0","2,091.0","2,328.0","2,525.0","2,753.0","2,808.0","3,403.0","4,538.0","4,805.0","4,463.0","5,356.0"
"30","12","  Income receipts on assets","Y345RC1","16,852.0","20,347.0","22,743.0","26,469.0","29,024.0","34,841.0","39,796.0","43,527.0","44,987.0","45,525.0","49,185.0","53,850.0","59,086.0","62,569.0","63,670.0","67,282.0","70,362.0","69,194.0","66,564.0","62,064.0","67,586.0","76,079.0","89,646.0","104,733.0","114,826.0","107,574.0","105,230.0","105,368.0","109,599.0","117,916.0"
"31","13","    Monetary interest","Y900RC1","11,337.0","14,043.0","16,256.0","19,113.0","21,308.0","25,631.0","29,300.0","31,745.0","31,877.0","30,826.0","32,310.0","34,892.0","38,299.0","40,346.0","41,013.0","43,690.0","46,577.0","44,415.0","39,842.0","33,104.0","33,308.0","35,692.0","40,998.0","45,314.0","46,278.0","42,986.0","42,882.0","42,683.0","39,216.0","38,688.0"
"32","14","    Dividends","Y901RC1","5,515.0","6,304.0","6,487.0","7,356.0","7,716.0","9,210.0","10,496.0","11,782.0","13,110.0","14,699.0","16,875.0","18,958.0","20,787.0","22,223.0","22,657.0","23,592.0","23,785.0","24,779.0","26,722.0","28,960.0","34,278.0","40,387.0","48,648.0","59,419.0","68,548.0","64,588.0","62,348.0","62,685.0","70,383.0","79,228.0"
"33","15","Current expenditures","Y346RC1","82,633.0","102,166.0","120,450.0","135,838.0","142,084.0","164,218.0","177,695.0","191,090.0","204,301.0","215,444.0","227,742.0","248,387.0","274,743.0","299,654.0","317,632.0","348,113.0","370,079.0","375,699.0","379,486.0","375,851.0","407,695.0","448,530.0","509,034.0","566,607.0","602,433.0","575,105.0","587,822.0","604,856.0","624,685.0","658,984.0"
"34","16","  Administrative expenses","Y349RC1","373.0","461.0","527.0","572.0","654.0","1,027.0","937.0","1,152.0","1,300.0","1,561.0","1,718.0","1,471.0","1,680.0","2,403.0","3,118.0","2,108.0","2,123.0","2,049.0","1,984.0","1,976.0","2,091.0","2,328.0","2,525.0","2,753.0","2,808.0","3,403.0","4,538.0","4,805.0","4,463.0","5,356.0"
"35","17","  Imputed income payments on assets to persons","Y902RC1","16,852.0","20,347.0","22,743.0","26,469.0","29,024.0","34,841.0","39,796.0","43,527.0","44,987.0","45,525.0","49,185.0","53,850.0","59,086.0","62,569.0","63,670.0","67,282.0","70,362.0","69,194.0","66,564.0","62,064.0","67,586.0","76,079.0","89,646.0","104,733.0","114,826.0","107,574.0","105,230.0","105,368.0","109,599.0","117,916.0"
"36","18","    Interest","Y903RC1","11,337.0","14,043.0","16,256.0","19,113.0","21,308.0","25,631.0","29,300.0","31,745.0","31,877.0","30,826.0","32,310.0","34,892.0","38,299.0","40,346.0","41,013.0","43,690.0","46,577.0","44,415.0","39,842.0","33,104.0","33,308.0","35,692.0","40,998.0","45,314.0","46,278.0","42,986.0","42,882.0","42,683.0","39,216.0","38,688.0"
"37","19","    Dividends","Y904RC1","5,515.0","6,304.0","6,487.0","7,356.0","7,716.0","9,210.0","10,496.0","11,782.0","13,110.0","14,699.0","16,875.0","18,958.0","20,787.0","22,223.0","22,657.0","23,592.0","23,785.0","24,779.0","26,722.0","28,960.0","34,278.0","40,387.0","48,648.0","59,419.0","68,548.0","64,588.0","62,348.0","62,685.0","70,383.0","79,228.0"
"38","20","  Benefit payments and withdrawals","Y353RC1","34,086.0","49,138.0","64,452.0","58,198.0","60,601.0","68,171.0","66,421.0","67,828.0","79,072.0","82,173.0","87,219.0","105,447.0","125,574.0","146,969.0","176,196.0","213,042.0","234,590.0","201,334.0","197,884.0","185,866.0","216,155.0","243,881.0","291,914.0","331,815.0","300,691.0","274,513.0","325,352.0","339,567.0","351,453.0","361,741.0"
"39","21","  Net change in assets from current transactions","Y905RC1","31,322.0","32,220.0","32,728.0","50,599.0","51,805.0","60,179.0","70,541.0","78,583.0","78,942.0","86,185.0","89,620.0","87,619.0","88,403.0","87,713.0","74,648.0","65,681.0","63,004.0","103,122.0","113,054.0","125,945.0","121,863.0","126,242.0","124,949.0","127,306.0","184,108.0","189,615.0","152,702.0","155,116.0","159,170.0","173,971.0"
"40","22","Cash flow","Y350RC1","31,322.0","32,220.0","32,728.0","50,599.0","51,805.0","60,179.0","70,541.0","78,583.0","78,942.0","86,185.0","89,620.0","87,619.0","88,403.0","87,713.0","74,648.0","65,681.0","63,004.0","103,122.0","113,054.0","125,945.0","121,863.0","126,242.0","124,949.0","127,306.0","184,108.0","189,615.0","152,702.0","155,116.0","159,170.0","173,971.0"
"41","23","  Actual employer and household contributions (5+9)","Y351RC1","48,929.0","61,472.0","74,964.0","82,900.0","84,036.0","94,536.0","98,103.0","104,036.0","114,327.0","124,394.0","129,372.0","140,687.0","156,571.0","174,516.0","190,292.0","213,549.0","229,355.0","237,311.0","246,358.0","251,723.0","272,523.0","296,372.0","329,742.0","357,141.0","372,781.0","359,957.0","377,362.0","394,120.0","405,487.0","423,152.0"
"42","24","  Monetary income receipts on assets (13+14)","Y345RC1","16,852.0","20,347.0","22,743.0","26,469.0","29,024.0","34,841.0","39,796.0","43,527.0","44,987.0","45,525.0","49,185.0","53,850.0","59,086.0","62,569.0","63,670.0","67,282.0","70,362.0","69,194.0","66,564.0","62,064.0","67,586.0","76,079.0","89,646.0","104,733.0","114,826.0","107,574.0","105,230.0","105,368.0","109,599.0","117,916.0"
"43","25","  Less: Benefit payments and withdrawals","Y353RC1","34,086.0","49,138.0","64,452.0","58,198.0","60,601.0","68,171.0","66,421.0","67,828.0","79,072.0","82,173.0","87,219.0","105,447.0","125,574.0","146,969.0","176,196.0","213,042.0","234,590.0","201,334.0","197,884.0","185,866.0","216,155.0","243,881.0","291,914.0","331,815.0","300,691.0","274,513.0","325,352.0","339,567.0","351,453.0","361,741.0"
"44","26","  Less: Administrative expenses","Y349RC1","373.0","461.0","527.0","572.0","654.0","1,027.0","937.0","1,152.0","1,300.0","1,561.0","1,718.0","1,471.0","1,680.0","2,403.0","3,118.0","2,108.0","2,123.0","2,049.0","1,984.0","1,976.0","2,091.0","2,328.0","2,525.0","2,753.0","2,808.0","3,403.0","4,538.0","4,805.0","4,463.0","5,356.0"
"45",NA,"Effect of participation in defined contribution plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","Effect on personal income (1-9-10 or 15-9-10)","Y355RC1","37,263.0","47,026.0","59,488.0","67,796.0","69,183.0","79,789.0","85,795.0","91,355.0","94,177.0","98,904.0","104,061.0","111,482.0","121,090.0","131,537.0","139,780.0","146,866.0","157,001.0","158,546.0","159,288.0","157,170.0","168,722.0","186,693.0","210,729.0","235,359.0","257,457.0","240,679.0","246,621.0","251,013.0","259,124.0","272,659.0"
"47","28","Less: Effect on personal consumption expenditures (2)","Y349RC1","373.0","461.0","527.0","572.0","654.0","1,027.0","937.0","1,152.0","1,300.0","1,561.0","1,718.0","1,471.0","1,680.0","2,403.0","3,118.0","2,108.0","2,123.0","2,049.0","1,984.0","1,976.0","2,091.0","2,328.0","2,525.0","2,753.0","2,808.0","3,403.0","4,538.0","4,805.0","4,463.0","5,356.0"
"48","29","Equals: Effect on personal saving","Y357RC1","36,890.0","46,565.0","58,961.0","67,224.0","68,529.0","78,762.0","84,858.0","90,203.0","92,877.0","97,343.0","102,343.0","110,011.0","119,410.0","129,134.0","136,662.0","144,758.0","154,878.0","156,497.0","157,304.0","155,194.0","166,631.0","184,365.0","208,204.0","232,606.0","254,649.0","237,276.0","242,083.0","246,208.0","254,661.0","267,303.0"
"49","30","Plus: Holding gains and other changes in assets","Y906RC1","26,920.0","121,654.0","25,736.0","48,584.0","13,861.0","79,416.0","-28,416.0","101,683.0","23,688.0","73,406.0","1,000.0","235,694.0","162,040.0","291,588.0","294,752.0","280,029.0","-73,558.0","-380,525.0","-316,880.0","451,748.0","198,369.0","258,681.0","249,989.0","146,960.0","-1,200,620.0","527,983.0","371,579.0","-155,557.0","298,277.0","750,322.0"
"50","31","Equals: Change in personal wealth","Y907RC1","63,810.0","168,219.0","84,697.0","115,808.0","82,390.0","158,178.0","56,442.0","191,886.0","116,565.0","170,749.0","103,343.0","345,705.0","281,450.0","420,722.0","431,414.0","424,787.0","81,320.0","-224,028.0","-159,576.0","606,942.0","365,000.0","443,046.0","458,193.0","379,566.0","-945,971.0","765,259.0","613,662.0","90,651.0","552,938.0","1,017,625.0"
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1. Included in personal consumption expenditures as part of financial services furnished without",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","payment; the value is equal to administrative expenses (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Imputed income payments received by persons from the pension plans (line 17) are reinvested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","as household pension contribution supplements.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Note. In the NIPAs, pension plans are classified as financial corporations that receive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","contributions and property income on behalf of plan participants but do not have saving or net worth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","of their own.  Tables 7.20, 7.21, 7.22, 7.23, 7.24, and 7.25 show the transactions of the pension",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","subsectors.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
