"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5"
"50","30","  Financial transactions","M318311","8,484.0","3,200.0"
"51","31","    Loan disbursements less loan repayments and sales","M318321","7,911.0","3,202.0"
"52","32","    Deposit insurance","B1069C1","0.0","0.0"
"53","33","    Net purchases of foreign currency","M318341","730.0","344.0"
"54","34","    Other","M318351","-157.0","-346.0"
"55","35","  Net purchases of nonproduced assets","M318361","-864.0","-106.0"
"56","36","  Other \9\","M318391","-60.0","-15.0"
"57","37","Less: Netting and grossing differences","M318401","-3,017.0","-3,897.0"
"58","38","  Supplementary medical insurance premiums","M318411",".....","....."
"59","39","  Interest receipts","W706MC1","-2,466.0","-2,458.0"
"60","40","  Current surplus of government enterprises","W707MC1","1,167.0","1,149.0"
"61","41","  Other \4\","M318431","-1,718.0","-2,588.0"
"62","42","Plus: Timing differences","M318441","-1,595.0","-782.0"
"63","43","  Purchases (increase in payables net of advances)","M318451","-2,457.0","-1,329.0"
"64","44","  Interest payments","M318461","208.0","132.0"
"65","45","  Current transfer payments","M318471","424.0","134.0"
"66","46","  Other \10\","W708MC1","230.0","281.0"
"67","47","Equals: Federal government current expenditures, NIPAs","M318491","174,989.0","189,552.0"
"68",NA,"      Net federal government saving"," ",NA,NA
"69","48","Budget surplus or deficit (-) (1-19)","M318501","-25,162.0","3,244.0"
"70","49","Plus: Net investment (28)","M318511","8,617.0","6,200.0"
"71","50","Less: Net capital transfers received (4-29)","M318521","-2,105.0","-2,641.0"
"72","51","Less: Federal employee retirement plans (3-21)","M318531","15,648.0","16,534.0"
"73","52","Less: Other coverage differences (5+6-26-27-30-35-36)","M318541","-6,073.0","-749.0"
"74","53","Less: Timing differences (42-12)","M318551","-4,704.0","461.0"
"75","54","Equals: Federal government saving, national income and product accounts (18-47)","M318561","-19,311.0","-4,161.0"
"76",NA,NA,NA,NA,NA
"77","1. In the NIPAs, pension plans are treated as ""pass-through"" institutions that hold",NA,NA,NA,NA
"78","financial assets on behalf of households, which are the effective owners. Pension",NA,NA,NA,NA
"79","plans are classified as financial corporations that receive contributions and property",NA,NA,NA,NA
"80","income on behalf of plan participants but do not have saving or net worth of their own.",NA,NA,NA,NA
"81","Table 7.22 shows transactions of the federal government defined-benefit pension subsectors.",NA,NA,NA,NA
"82","Contributions for publicly administered insurance funds are transactions with the household",NA,NA,NA,NA
"83","sector and include the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA
"84","2. Consists of estate and gift taxes.",NA,NA,NA,NA
"85","3. Beginning with 1996, consists largely of Universal Service Fund receipts; prior to 1996 consisted",NA,NA,NA,NA
"86","largely of U.S. Treasury receipts from sales of foreign currencies to government agencies. Includes",NA,NA,NA,NA
"87","certain revenues collected from and repaid to U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA
"88","and Northern Mariana Islands.",NA,NA,NA,NA
"89","4. Includes proprietary receipts that are netted against outlays in the budget and that are classified",NA,NA,NA,NA
"90","as receipts in the NIPAs.  Also includes some transactions that are not reflected in the budget data but",NA,NA,NA,NA
"91","that are added to both receipts and expenditures in the NIPAs.",NA,NA,NA,NA
"92","5. Consists of transactions (not included in the budget totals) that record all cash flows arising from",NA,NA,NA,NA
"93","post-1991 direct loan obligations and loan guarantee commitments.  Many of these flows are for new loans",NA,NA,NA,NA
"94","or loan repayments; consequently, related entries are included in ""Loan disbursements less loan",NA,NA,NA,NA
"95","repayments and sales.""",NA,NA,NA,NA
"96","6. Consists largely of agencies or accounts such as the Postal Service and the Federal Financing Bank that",NA,NA,NA,NA
"97","were not included in the budget in some time periods, and beginning with 1996, the Universal Service Fund.",NA,NA,NA,NA
"98","Includes repayments of certain collections from the U.S. territories and the Commonwealths of Puerto Rico",NA,NA,NA,NA
"99","and Northern Mariana Islands.",NA,NA,NA,NA
"100","7. Net investment is gross investment less consumption of fixed capital for government enterprises and",NA,NA,NA,NA
"101","general government.",NA,NA,NA,NA
"102","8. Consists of investment grants to state and local governments and maritime construction subsidies.  Does",NA,NA,NA,NA
"103","not include the forgiveness of debts owed by foreign governments to the U.S. government or payments to the",NA,NA,NA,NA
"104","Uniformed Services Retiree Health Care Fund to amortize unfunded liability; both are classified as capital",NA,NA,NA,NA
"105","transfers paid by the United States and are excluded from both budget outlays and NIPA current expenditures.",NA,NA,NA,NA
"106","9. Consists largely of net expenditures of foreign currencies.",NA,NA,NA,NA
"107","10. Primarily includes timing on subsidies and government enterprises.",NA,NA,NA,NA
"108","Note. Through 1976, fiscal year estimates reflect a July 1-June 30 federal fiscal year.  Beginning with 1977,",NA,NA,NA,NA
"109","fiscal year estimates reflect an October 1-September 30 federal fiscal year.  NIPA quarterly and fiscal year",NA,NA,NA,NA
"110","estimates in this table are consistent with the not seasonally adjusted estimates in table 3.22.",NA,NA,NA,NA
"111","NIPAs National income and product accounts",NA,NA,NA,NA
