"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"28","10","    Other current transfer receipts, from business (net)","B931RC1","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,195.0","26,260.0","16,771.0","25,712.0","21,476.0","30,606.0","36,623.0","38,694.0","42,950.0","50,241.0","43,107.0","42,345.0"
"29","11","  Less: Contributions for government social insurance, domestic","A061RC1","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","917,798.0","951,200.0","1,104,536.0"
"30","12","Less: Personal current taxes","W055RC1","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,332.0","1,000,861.0","1,045,967.0","1,208,502.0","1,352,114.0","1,487,879.0","1,435,201.0","1,144,935.0","1,191,469.0","1,400,625.0","1,503,692.0","1,661,766.0"
"31","13","Equals: Disposable personal income","A067RC1","4,800,251.0","5,000,232.0","5,244,212.0","5,532,570.0","5,829,946.0","6,148,851.0","6,561,261.0","6,876,294.0","7,400,501.0","7,752,265.0","8,099,192.0","8,485,785.0","9,002,283.0","9,400,810.0","10,036,885.0","10,506,984.0","10,994,422.0","10,942,527.0","11,237,872.0","11,801,354.0","12,384,028.0","12,505,144.0"
"32","14","Less: Personal outlays","A068RC1","4,374,224.0","4,632,597.0","4,912,796.0","5,179,646.0","5,484,731.0","5,796,661.0","6,155,954.0","6,573,425.0","7,093,339.0","7,417,301.0","7,694,073.0","8,077,070.0","8,592,277.0","9,162,875.0","9,707,352.0","10,196,674.0","10,452,183.0","10,270,511.0","10,609,829.0","11,090,210.0","11,487,854.0","11,897,081.0"
"33","15","  Personal consumption expenditures","DPCERC1","4,215,654.0","4,471,002.0","4,741,018.0","4,984,178.0","5,268,071.0","5,560,720.0","5,903,033.0","6,307,022.0","6,792,396.0","7,103,104.0","7,384,053.0","7,765,529.0","8,260,018.0","8,794,112.0","9,303,992.0","9,750,505.0","10,013,648.0","9,846,968.0","10,202,191.0","10,689,299.0","11,083,146.0","11,484,344.0"
"34","16","  Personal interest payments \1\","B069RC1","118,083.0","115,956.0","121,956.0","142,565.0","159,094.0","172,079.0","183,392.0","190,164.0","217,544.0","223,195.0","213,009.0","209,842.0","221,761.0","248,783.0","275,133.0","305,887.0","289,619.0","273,934.0","250,770.0","241,374.0","241,605.0","247,104.0"
"35","17","  Personal current transfer payments","W211RC1","40,487.0","45,639.0","49,822.0","52,903.0","57,566.0","63,862.0","69,529.0","76,239.0","83,399.0","91,002.0","97,011.0","101,699.0","110,498.0","119,980.0","128,227.0","140,282.0","148,916.0","149,609.0","156,868.0","159,537.0","163,103.0","165,633.0"
"36","18","    To government","W062RC1","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,509.0","66,899.0","71,625.0","76,634.0","80,955.0","82,752.0","83,540.0","83,858.0","85,461.0","89,962.0","91,354.0"
"37","19","    To the rest of the world (net)","B070RC1","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","32,177.0","34,649.0","38,081.0","40,631.0","41,190.0","43,599.0","48,355.0","51,593.0","59,327.0","66,164.0","66,069.0","73,010.0","74,076.0","73,141.0","74,279.0"
"38","20","Equals: Personal saving","A071RC1","426,027.0","367,635.0","331,416.0","352,924.0","345,215.0","352,190.0","405,307.0","302,869.0","307,162.0","334,964.0","405,119.0","408,715.0","410,006.0","237,935.0","329,533.0","310,310.0","542,239.0","672,016.0","628,043.0","711,144.0","896,174.0","608,063.0"
"39","21","    Personal saving as a percentage of disposable personal income","A072RC1","8.9","7.4","6.3","6.4","5.9","5.7","6.2","4.4","4.2","4.3","5.0","4.8","4.6","2.5","3.3","3.0","4.9","6.1","5.6","6.0","7.2","4.9"
"40","22","Household income","W380RC1","5,384,609.0","5,621,472.0","5,907,486.0","6,242,462.0","6,628,459.0","7,040,107.0","7,561,935.0","7,956,476.0","8,603,959.0","8,968,625.0","9,139,130.0","9,478,811.0","10,039,780.0","10,593,651.0","11,369,096.0","11,976,039.0","12,427,057.0","12,083,297.0","12,424,576.0","13,198,000.0","13,880,836.0","14,163,451.0"
"41","23","  Compensation of employees","W209RC1","3,671,132.0","3,820,671.0","4,010,129.0","4,202,649.0","4,422,110.0","4,714,693.0","5,077,823.0","5,410,309.0","5,856,581.0","6,046,546.0","6,141,911.0","6,364,463.0","6,739,534.0","7,086,801.0","7,502,337.0","7,898,261.0","8,078,256.0","7,786,973.0","7,961,448.0","8,269,030.0","8,606,492.0","8,844,757.0"
"42","24","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,260,187.0","1,336,625.0"
"43","25","  Rental income of households with capital consumption adjustment","W381RC1","62,755.0","91,853.0","115,352.0","126,562.0","144,051.0","148,809.0","166,204.0","179,287.0","183,949.0","203,256.0","212,625.0","233,331.0","250,598.0","233,575.0","202,499.0","183,808.0","255,949.0","326,392.0","394,760.0","476,047.0","522,962.0","585,384.0"
"44","26","  Household income receipts on assets","W382RC1","950,347.0","956,577.0","994,441.0","1,073,793.0","1,133,769.0","1,212,662.0","1,303,083.0","1,287,376.0","1,407,823.0","1,402,752.0","1,356,930.0","1,386,960.0","1,466,252.0","1,621,267.0","1,883,653.0","2,109,511.0","2,126,488.0","1,779,092.0","1,700,895.0","1,874,075.0","2,044,581.0","2,037,233.0"
"45","27","    Household interest income","W383RC1","771,576.0","763,312.0","771,649.0","830,536.0","847,838.0","889,644.0","960,596.0","952,673.0","1,034,462.0","1,043,344.0","968,476.0","967,684.0","919,261.0","1,061,666.0","1,182,561.0","1,316,854.0","1,338,872.0","1,242,715.0","1,176,501.0","1,213,532.0","1,237,417.0","1,236,699.0"
"46","28","    Household dividend income","W384RC1","178,770.0","193,264.0","222,793.0","243,256.0","285,931.0","323,018.0","342,487.0","334,703.0","373,362.0","359,409.0","388,454.0","419,276.0","546,991.0","559,601.0","701,092.0","792,657.0","787,617.0","536,377.0","524,394.0","660,543.0","807,164.0","800,534.0"
"47","29","  Household current transfer receipts","W385RC1","752,965.0","799,287.0","836,243.0","887,802.0","936,235.0","963,331.0","995,281.0","1,040,351.0","1,103,675.0","1,212,481.0","1,308,124.0","1,373,246.0","1,450,520.0","1,546,397.0","1,649,513.0","1,766,687.0","1,928,126.0","2,182,251.0","2,318,887.0","2,352,980.0","2,397,815.0","2,463,987.0"
"48","30","    Government social benefits","W401RC1","721,307.0","767,537.0","803,615.0","850,299.0","890,991.0","919,562.0","940,990.0","975,979.0","1,028,289.0","1,127,260.0","1,230,589.0","1,299,931.0","1,382,477.0","1,468,823.0","1,570,560.0","1,674,659.0","1,828,577.0","2,081,185.0","2,212,842.0","2,236,260.0","2,285,369.0","2,349,550.0"
"49","31","    From business (net)","W379RC1","10,438.0","7,957.0","6,657.0","11,653.0","15,202.0","11,506.0","17,080.0","22,848.0","31,268.0","34,022.0","23,328.0","16,099.0","6,542.0","10,696.0","8,903.0","18,060.0","25,412.0","26,535.0","27,358.0","35,755.0","26,476.0","26,087.0"
"50","32","    From nonprofit institutions \2\","W386RC1","21,220.0","23,793.0","25,972.0","25,850.0","30,043.0","32,263.0","37,211.0","41,524.0","44,118.0","51,200.0","54,208.0","57,215.0","61,501.0","66,878.0","70,049.0","73,969.0","74,137.0","74,532.0","78,688.0","80,965.0","85,971.0","88,350.0"
"51","33","  Less: Contributions for government social insurance, domestic","A061RC1","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","917,798.0","951,200.0","1,104,536.0"
"52","34","Less: Household current taxes","W055RC1","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,332.0","1,000,861.0","1,045,967.0","1,208,502.0","1,352,114.0","1,487,879.0","1,435,201.0","1,144,935.0","1,191,469.0","1,400,625.0","1,503,692.0","1,661,766.0"
"53","35","Equals: Disposable household income","W388RC1","4,774,078.0","4,974,939.0","5,216,982.0","5,498,564.0","5,796,504.0","6,113,956.0","6,535,508.0","6,848,950.0","7,371,700.0","7,733,793.0","8,088,798.0","8,477,950.0","8,993,813.0","9,385,149.0","10,016,982.0","10,488,160.0","10,991,856.0","10,938,362.0","11,233,107.0","11,797,375.0","12,377,144.0","12,501,685.0"
"54","36","Less: Household outlays","W389RC1","4,370,313.0","4,627,166.0","4,903,862.0","5,166,056.0","5,480,071.0","5,812,669.0","6,164,188.0","6,586,332.0","7,108,556.0","7,408,162.0","7,670,730.0","8,048,493.0","8,585,931.0","9,170,240.0","9,689,361.0","10,178,394.0","10,390,362.0","10,178,982.0","10,534,976.0","11,013,339.0","11,419,947.0","11,818,894.0"
"55","37","  Household consumption expenditures","W390RC1","4,127,720.0","4,380,937.0","4,643,256.0","4,881,850.0","5,158,027.0","5,455,132.0","5,779,226.0","6,168,794.0","6,634,350.0","6,924,026.0","7,185,709.0","7,560,017.0","8,053,645.0","8,583,841.0","9,064,811.0","9,501,726.0","9,731,504.0","9,570,953.0","9,926,845.0","10,414,301.0","10,794,691.0","11,178,703.0"
"56","38","    Purchases from business and government","W391RC1","3,819,264.0","4,052,256.0","4,300,942.0","4,525,634.0","4,784,936.0","5,058,096.0","5,360,512.0","5,730,704.0","6,170,750.0","6,426,667.0","6,646,991.0","6,990,886.0","7,441,022.0","7,925,653.0","8,371,769.0","8,767,365.0","8,972,736.0","8,774,406.0","9,096,302.0","9,549,737.0","9,887,051.0","10,241,459.0"
"57","39","    Purchases from nonprofit institutions \3\","W392RC1","308,456.0","328,681.0","342,314.0","356,216.0","373,091.0","397,036.0","418,714.0","438,090.0","463,600.0","497,359.0","538,718.0","569,131.0","612,622.0","658,188.0","693,041.0","734,361.0","758,768.0","796,547.0","830,543.0","864,564.0","907,640.0","937,244.0"
"58","40","  Household interest payments \1\","B069RC1","118,083.0","115,956.0","121,956.0","142,565.0","159,094.0","172,079.0","183,392.0","190,164.0","217,544.0","223,195.0","213,009.0","209,842.0","221,761.0","248,783.0","275,133.0","305,887.0","289,619.0","273,934.0","250,770.0","241,374.0","241,605.0","247,104.0"
"59","41","  Household transfer payments","W394RC1","124,510.0","130,273.0","138,650.0","141,641.0","162,950.0","185,458.0","201,570.0","227,374.0","256,663.0","260,942.0","272,011.0","278,634.0","310,526.0","337,616.0","349,417.0","370,782.0","369,239.0","334,095.0","357,361.0","357,664.0","383,651.0","393,087.0"
"60","42","    To government","W395RC1","25,808.0","28,366.0","30,704.0","32,369.0","34,562.0","37,697.0","39,340.0","43,332.0","48,125.0","52,616.0","56,146.0","60,181.0","66,430.0","71,001.0","75,838.0","80,065.0","82,463.0","83,319.0","83,447.0","85,042.0","89,521.0","90,906.0"
"61","43","    To the rest of the world (net)","W396RC1","12,747.0","14,829.0","16,523.0","17,713.0","19,559.0","21,711.0","23,745.0","25,666.0","27,740.0","30,870.0","33,171.0","33,139.0","35,792.0","38,557.0","41,845.0","46,365.0","48,304.0","46,357.0","48,047.0","49,276.0","49,264.0","51,401.0"
"62","44","    To nonprofit institutions \4\","W397RC1","85,955.0","87,078.0","91,424.0","91,559.0","108,829.0","126,051.0","138,485.0","158,376.0","180,797.0","177,456.0","182,695.0","185,314.0","208,304.0","228,058.0","231,734.0","244,351.0","238,473.0","204,419.0","225,867.0","223,347.0","244,867.0","250,780.0"
"63","45","Equals: Household saving","W398RC1","403,766.0","347,774.0","313,119.0","332,508.0","316,433.0","301,287.0","371,320.0","262,619.0","263,144.0","325,630.0","418,068.0","429,457.0","407,881.0","214,909.0","327,621.0","309,766.0","601,493.0","759,380.0","698,131.0","784,036.0","957,197.0","682,791.0"
"64","46","    Household saving as a percentage of household disposable income","W399RC1","8.5","7.0","6.0","6.0","5.5","4.9","5.7","3.8","3.6","4.2","5.2","5.1","4.5","2.3","3.3","3.0","5.5","6.9","6.2","6.6","7.7","5.5"
"65","47","Nonprofit institution income","W400RC1","133,348.0","136,164.0","144,626.0","151,415.0","172,314.0","193,209.0","201,450.0","227,244.0","253,716.0","247,128.0","247,296.0","250,364.0","278,275.0","310,597.0","321,687.0","337,144.0","315,176.0","283,116.0","309,320.0","308,291.0","337,721.0","342,590.0"
"66","48","  Rental income of nonprofit institutions with capital consumption adjustment","W159RC1","1,571.0","1,786.0","2,118.0","2,625.0","2,900.0","3,238.0","3,660.0","3,818.0","3,773.0","4,286.0","4,677.0","4,692.0","4,820.0","4,866.0","5,022.0","5,602.0","6,157.0","7,308.0","7,995.0","9,248.0","10,009.0","10,442.0"
"67","49","  Nonprofit institution income receipts on assets","W402RC1","31,800.0","32,026.0","34,961.0","40,236.0","42,702.0","45,791.0","39,458.0","42,293.0","45,690.0","38,562.0","33,494.0","33,528.0","37,487.0","45,185.0","54,749.0","57,137.0","40,565.0","38,902.0","38,750.0","39,791.0","43,970.0","42,473.0"
"68","50","    Nonprofit institution interest income","W403RC1","21,520.0","20,557.0","22,536.0","25,506.0","26,458.0","30,882.0","26,503.0","30,597.0","35,722.0","28,815.0","23,319.0","20,551.0","22,406.0","26,475.0","32,169.0","33,279.0","22,742.0","21,538.0","18,527.0","18,089.0","18,470.0","18,478.0"
"69","51","    Nonprofit institution dividend income","W404RC1","10,281.0","11,470.0","12,424.0","14,731.0","16,244.0","14,909.0","12,955.0","11,696.0","9,967.0","9,746.0","10,175.0","12,977.0","15,081.0","18,710.0","22,580.0","23,858.0","17,822.0","17,364.0","20,223.0","21,702.0","25,501.0","23,995.0"
"70","52","  Nonprofit institution transfer receipts","W405RC1","99,976.0","102,351.0","107,547.0","108,554.0","126,712.0","144,179.0","158,332.0","181,133.0","204,253.0","204,281.0","209,125.0","212,144.0","235,968.0","260,545.0","261,916.0","274,405.0","268,454.0","236,906.0","262,576.0","259,251.0","283,742.0","289,675.0"
"71","53","    From government","W406RC1","8,172.0","9,176.0","9,525.0","9,920.0","10,207.0","10,188.0","10,932.0","11,633.0","12,290.0","14,078.0","15,563.0","16,670.0","17,436.0","17,471.0","17,609.0","17,507.0","18,771.0","20,327.0","21,116.0","21,418.0","22,244.0","22,637.0"
"72","54","    From business (net)","W407RC1","5,849.0","6,097.0","6,598.0","7,075.0","7,676.0","7,940.0","8,915.0","11,124.0","11,166.0","12,746.0","10,867.0","10,161.0","10,229.0","15,016.0","12,573.0","12,546.0","11,211.0","12,159.0","15,592.0","14,487.0","16,632.0","16,258.0"
"73","55","    From households \4\","W397RC1","85,955.0","87,078.0","91,424.0","91,559.0","108,829.0","126,051.0","138,485.0","158,376.0","180,797.0","177,456.0","182,695.0","185,314.0","208,304.0","228,058.0","231,734.0","244,351.0","238,473.0","204,419.0","225,867.0","223,347.0","244,867.0","250,780.0"
"74","56","Less: Nonprofit institution outlays","W412RC1","111,087.0","116,302.0","126,329.0","130,999.0","143,532.0","142,305.0","167,462.0","186,994.0","209,692.0","237,799.0","260,244.0","271,106.0","276,149.0","287,567.0","319,778.0","336,601.0","374,431.0","370,482.0","379,412.0","381,185.0","398,740.0","417,318.0"
"75","57","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRC1","87,934.0","90,065.0","97,762.0","102,328.0","110,044.0","105,588.0","123,807.0","138,229.0","158,041.0","179,082.0","198,342.0","205,512.0","206,372.0","210,268.0","239,185.0","248,780.0","282,144.0","276,017.0","275,350.0","274,999.0","288,451.0","305,642.0"
"76","58","    Gross output of nonprofit institutions \5\","DNPERC1","396,390.0","418,746.0","440,076.0","458,544.0","483,135.0","502,624.0","542,521.0","576,319.0","621,641.0","676,441.0","737,060.0","774,643.0","818,994.0","868,456.0","932,226.0","983,141.0","1,040,912.0","1,072,564.0","1,105,893.0","1,139,563.0","1,196,091.0","1,242,886.0"
"77","59","      Health","DHLGRC1","227,991.0","242,831.0","252,657.0","262,264.0","272,820.0","286,514.0","306,977.0","323,094.0","340,569.0","367,030.0","401,266.0","428,254.0","455,657.0","490,401.0","525,656.0","552,132.0","581,823.0","614,721.0","636,098.0","663,946.0","699,688.0","740,890.0"
"78","60","      Recreation","DRCGRC1","14,575.0","15,563.0","16,154.0","16,823.0","17,220.0","17,968.0","19,024.0","20,921.0","23,079.0","25,072.0","26,548.0","28,565.0","30,226.0","32,645.0","35,259.0","37,841.0","40,230.0","39,663.0","38,817.0","39,189.0","41,209.0","42,512.0"
"79","61","      Education","DEDGRC1","53,626.0","56,823.0","60,054.0","63,748.0","67,803.0","69,848.0","75,579.0","81,041.0","88,353.0","97,631.0","104,876.0","108,186.0","112,128.0","117,313.0","125,688.0","135,673.0","143,350.0","147,407.0","151,232.0","157,990.0","165,943.0","171,800.0"
"80","62","      Social services","DSSGRC1","31,032.0","33,384.0","35,334.0","38,283.0","40,715.0","44,591.0","49,342.0","55,059.0","63,055.0","72,109.0","78,587.0","83,123.0","85,146.0","90,119.0","94,400.0","99,277.0","105,326.0","108,863.0","113,897.0","115,071.0","115,376.0","115,370.0"
"81","63","      Religious organizations","DREORC1","31,372.0","33,017.0","36,624.0","38,628.0","42,630.0","44,223.0","47,751.0","49,766.0","53,557.0","58,066.0","61,716.0","62,815.0","66,742.0","69,601.0","72,131.0","77,273.0","76,509.0","75,973.0","74,454.0","73,188.0","73,042.0","75,632.0"
"82","64","      Foundations and grantmaking and giving establishments","DFXORC1","8,816.0","9,230.0","8,665.0","8,556.0","8,245.0","7,558.0","8,652.0","10,619.0","12,643.0","15,890.0","17,205.0","17,463.0","18,181.0","19,379.0","22,516.0","24,762.0","27,675.0","26,381.0","26,440.0","28,044.0","28,411.0","30,677.0"
"83","65","      Social advocacy establishments","DSAORC1","3,823.0","4,124.0","4,349.0","4,702.0","4,972.0","5,268.0","5,527.0","6,046.0","6,757.0","7,554.0","9,405.0","9,995.0","10,315.0","11,300.0","13,136.0","15,212.0","16,986.0","17,359.0","18,008.0","18,758.0","19,402.0","19,742.0"
"84","66","      Civic and social organizations","DCIORC1","5,233.0","5,494.0","5,605.0","5,811.0","5,871.0","5,898.0","6,529.0","7,037.0","7,797.0","8,487.0","9,260.0","9,696.0","9,561.0","9,196.0","9,257.0","9,086.0","9,492.0","9,303.0","9,312.0","9,468.0","9,511.0","10,119.0"
"85","67","      Professional advocacy","DSNGRC1","19,921.0","18,279.0","20,634.0","19,731.0","22,860.0","20,756.0","23,142.0","22,736.0","25,831.0","24,603.0","28,198.0","26,546.0","31,038.0","28,501.0","34,182.0","31,886.0","39,522.0","32,895.0","37,635.0","33,909.0","43,510.0","36,142.0"
"86","68","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","308,456.0","328,681.0","342,314.0","356,216.0","373,091.0","397,036.0","418,714.0","438,090.0","463,600.0","497,359.0","538,718.0","569,131.0","612,622.0","658,188.0","693,041.0","734,361.0","758,768.0","796,547.0","830,543.0","864,564.0","907,640.0","937,244.0"
"87","69","      Health","DHLRRC1","228,609.0","243,504.0","252,105.0","259,939.0","270,103.0","287,104.0","301,962.0","314,873.0","331,743.0","355,999.0","392,928.0","416,041.0","451,331.0","487,582.0","513,796.0","545,777.0","563,518.0","597,519.0","625,034.0","653,396.0","691,354.0","715,412.0"
"88","70","      Recreation","DRCRRC1","7,420.0","8,089.0","8,554.0","9,064.0","9,358.0","9,812.0","10,176.0","10,955.0","11,529.0","12,148.0","12,180.0","13,148.0","14,574.0","16,723.0","18,014.0","18,686.0","18,430.0","17,520.0","17,495.0","17,631.0","18,387.0","19,010.0"
"89","71","      Education","DEDRRC1","32,079.0","34,100.0","36,168.0","38,470.0","41,888.0","44,634.0","47,579.0","50,412.0","54,181.0","58,526.0","59,625.0","62,648.0","66,235.0","70,371.0","74,620.0","79,298.0","83,993.0","87,367.0","90,995.0","95,250.0","98,633.0","101,596.0"
"90","72","      Social services","DSSRRC1","14,321.0","15,757.0","17,207.0","19,101.0","20,858.0","23,352.0","25,791.0","28,106.0","31,823.0","35,975.0","39,148.0","40,907.0","42,959.0","44,940.0","45,989.0","47,825.0","49,413.0","50,621.0","52,957.0","53,760.0","53,627.0","53,881.0"
"91","73","      Religious organizations","DRELRC1","3,356.0","3,490.0","3,801.0","3,968.0","4,364.0","4,569.0","4,711.0","4,776.0","4,906.0","4,965.0","4,931.0","5,025.0","5,263.0","5,418.0","5,615.0","6,017.0","5,957.0","5,916.0","5,797.0","5,699.0","5,687.0","5,889.0"
