"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"35","17","    Educational services, health care, and social assistance","N5017C1","606,721.0","647,151.0","689,364.0","751,497.0","820,587.0","870,776.0","934,053.0","988,428.0","1,055,625.0","1,108,640.0","1,185,888.0","1,252,365.0","1,294,841.0","1,337,112.0","1,389,002.0","1,429,501.0","1,489,083.0"
"36","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","289,240.0","316,722.0","340,139.0","350,322.0","364,202.0","379,856.0","408,787.0","437,237.0","465,699.0","483,040.0","478,233.0","462,945.0","483,326.0","509,055.0","549,577.0","569,266.0","609,010.0"
"37","19","    Other services, except government","N5019C1","244,780.0","260,321.0","283,312.0","271,520.0","295,150.0","298,477.0","314,108.0","337,377.0","361,459.0","368,730.0","360,068.0","359,843.0","368,413.0","380,780.0","403,892.0","415,838.0","430,777.0"
"38","20","  Government","B436RC1","939,755.0","992,443.0","1,051,024.0","1,111,979.0","1,183,934.0","1,254,852.0","1,324,539.0","1,380,773.0","1,439,432.0","1,505,869.0","1,575,904.0","1,623,031.0","1,679,812.0","1,689,907.0","1,695,228.0","1,705,230.0","1,723,658.0"
"39","21","Rest of the world","A192RC1","18,234.0","27,131.0","37,007.0","51,803.0","48,599.0","67,114.0","89,132.0","92,569.0","67,600.0","125,581.0","172,011.0","151,048.0","205,969.0","246,639.0","227,362.0","224,329.0","211,715.0"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
