"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"31","12","    Change in private inventories \1\","A357RC1","5,441.0","5,190.0","3,114.0","-913.0","3,011.0","4,997.0","-485.0","1,396.0","5,586.0","8,167.0","4,668.0","2,949.0","579.0","6,766.0","6,151.0","-2,501.0","-886.0","4,562.0","-4,023.0","11,797.0","4,747.0","12,300.0","-3,806.0","-742.0","-2,200.0","-7,122.0","4,968.0","9,216.0","10,121.0","9,760.0","7,515.0","-2,138.0","7,094.0","12,373.0","18,256.0","13,653.0","4,897.0","7,045.0","13,690.0","4,671.0","1,900.0","6,733.0","8,415.0","3,637.0","7,663.0","9,802.0","-17,143.0","-16,262.0","27,891.0","1,613.0","33,900.0","26,535.0","166.0","-4,550.0","7,790.0","1,076.0","-3,172.0","-10,224.0","-17,092.0","-2,336.0","29,070.0","28,157.0","29,754.0","8,907.0","14,038.0","13,674.0","19,771.0","22,251.0","14,089.0","9,495.0","7,805.0","2,345.0","-419.0","-5,772.0","5,513.0","17,486.0","8,416.0","4,700.0","-13,363.0","-16,797.0","9,171.0","18,041.0","8,020.0","-4,583.0","12,556.0","11,249.0","4,749.0","-1,163.0","15,930.0","8,007.0","-2,834.0","31,749.0","17,261.0","14,203.0","21,455.0","24,213.0","11,518.0","10,631.0","-5,174.0","-2,167.0","20,214.0","39,658.0","22,138.0","30,307.0","13,144.0","1,213.0","-11,946.0","-11,937.0","-3,295.0","11,701.0","12,396.0","26,088.0","21,251.0","35,394.0","35,678.0","31,462.0","35,165.0","14,632.0","20,639.0","27,222.0","31,887.0","23,576.0","14,220.0","23,978.0","-1,030.0","32,494.0","24,885.0","19,516.0","13,889.0","13,335.0","3,709.0","-6,274.0","-8,751.0","1,824.0","10,019.0","-1,703.0","2,693.0","-3,637.0","15,054.0","4,361.0","14,528.0","27,285.0","24,264.0","35,880.0","33,126.0","10,068.0","-1,748.0","29,247.0","48,422.0","32,612.0","24,576.0","23,815.0","3,606.0","43,174.0","34,553.0","-5,952.0","-1,567.0","23,141.0","-9,696.0","-40,353.0","-5,572.0","-43,611.0","-71,166.0","-1,929.0","-10,880.0","14,202.0","54,889.0","31,757.0","-21,854.0","14,990.0","-50,816.0","49,850.0","12,297.0","9,031.0","4,932.0","-15,029.0","7,932.0","14,970.0","43,276.0","24,752.0","-471.0","35,260.0","39,333.0","46,552.0"
"32","13","Services \2\","A341RC1","461,378.0","474,933.0","486,500.0","497,875.0","508,256.0","516,745.0","528,502.0","538,763.0","553,247.0","564,943.0","575,831.0","588,663.0","607,728.0","618,379.0","628,701.0","641,781.0","654,155.0","668,600.0","682,069.0","696,810.0","713,536.0","734,975.0","757,206.0","784,760.0","810,192.0","836,205.0","849,404.0","873,979.0","892,722.0","908,907.0","929,272.0","955,380.0","981,662.0","1,005,104.0","1,033,252.0","1,060,053.0","1,091,534.0","1,124,510.0","1,150,196.0","1,180,008.0","1,209,371.0","1,242,621.0","1,271,647.0","1,316,240.0","1,351,857.0","1,388,847.0","1,430,379.0","1,488,135.0","1,528,838.0","1,571,283.0","1,600,920.0","1,641,417.0","1,674,325.0","1,705,122.0","1,753,479.0","1,809,910.0","1,857,157.0","1,893,801.0","1,946,062.0","1,960,183.0","1,998,308.0","2,050,671.0","2,093,271.0","2,132,748.0","2,202,179.0","2,246,248.0","2,307,087.0","2,346,146.0","2,386,642.0","2,427,829.0","2,465,669.0","2,503,277.0","2,548,276.0","2,592,042.0","2,634,550.0","2,690,401.0","2,749,928.0","2,805,089.0","2,870,034.0","2,935,079.0","2,991,074.0","3,049,954.0","3,096,522.0","3,157,647.0","3,217,950.0","3,287,384.0","3,341,406.0","3,390,348.0","3,429,987.0","3,488,836.0","3,535,469.0","3,580,761.0","3,663,654.0","3,722,392.0","3,788,231.0","3,851,806.0","3,884,359.0","3,930,862.0","3,997,229.0","4,038,310.0","4,088,342.0","4,144,366.0","4,201,277.0","4,245,972.0","4,298,304.0","4,368,191.0","4,424,362.0","4,462,638.0","4,519,563.0","4,586,401.0","4,624,959.0","4,705,813.0","4,755,648.0","4,828,521.0","4,895,498.0","4,969,849.0","5,020,706.0","5,116,723.0","5,180,766.0","5,249,408.0","5,325,805.0","5,401,520.0","5,501,095.0","5,614,312.0","5,716,659.0","5,824,901.0","5,902,578.0","6,004,395.0","6,105,920.0","6,165,642.0","6,208,552.0","6,268,599.0","6,363,548.0","6,461,287.0","6,536,587.0","6,624,769.0","6,710,300.0","6,816,739.0","6,887,891.0","6,987,807.0","7,123,244.0","7,225,427.0","7,344,362.0","7,453,829.0","7,585,634.0","7,694,793.0","7,833,499.0","7,948,009.0","8,068,984.0","8,186,370.0","8,285,431.0","8,407,961.0","8,552,261.0","8,648,254.0","8,771,961.0","8,897,372.0","9,008,586.0","9,127,938.0","9,209,018.0","9,190,542.0","9,144,283.0","9,182,063.0","9,236,227.0","9,318,735.0","9,381,151.0","9,487,153.0","9,566,344.0","9,641,970.0","9,699,748.0","9,805,269.0","9,884,256.0","9,897,041.0","9,995,315.0","10,055,852.0","10,145,641.0","10,209,480.0","10,294,674.0","10,365,067.0","10,442,339.0","10,545,991.0","10,630,616.0","10,711,396.0","10,838,780.0","10,938,457.0"
"33","14","Structures","A755RC1","109,018.0","110,534.0","111,911.0","108,629.0","108,719.0","108,896.0","112,192.0","117,167.0","121,830.0","129,305.0","133,635.0","138,398.0","145,355.0","146,608.0","149,188.0","157,412.0","164,436.0","164,626.0","167,315.0","167,309.0","167,071.0","171,607.0","171,631.0","166,250.0","166,378.0","164,587.0","171,830.0","179,978.0","191,976.0","193,382.0","192,271.0","204,100.0","213,609.0","233,211.0","238,188.0","241,781.0","247,397.0","276,640.0","292,962.0","304,402.0","301,154.0","313,657.0","329,547.0","336,399.0","336,506.0","311,132.0","319,634.0","343,221.0","354,736.0","358,245.0","355,293.0","365,876.0","356,648.0","350,694.0","342,561.0","348,920.0","358,327.0","364,636.0","386,791.0","398,069.0","416,366.0","433,839.0","442,887.0","449,109.0","460,928.0","468,146.0","472,251.0","481,293.0","493,242.0","492,491.0","495,434.0","498,137.0","501,184.0","507,826.0","518,054.0","527,721.0","518,761.0","533,909.0","533,689.0","541,351.0","542,991.0","539,972.0","549,465.0","549,771.0","566,178.0","556,317.0","546,142.0","528,158.0","512,931.0","517,522.0","515,876.0","517,641.0","531,890.0","539,287.0","538,183.0","555,186.0","557,466.0","567,755.0","583,392.0","607,239.0","606,321.0","630,271.0","636,302.0","643,397.0","649,725.0","650,431.0","665,203.0","673,681.0","688,525.0","716,121.0","729,733.0","748,400.0","762,085.0","766,624.0","783,277.0","788,563.0","798,155.0","839,361.0","868,160.0","884,015.0","895,143.0","905,830.0","917,266.0","938,750.0","965,200.0","978,971.0","992,899.0","1,005,364.0","1,014,830.0","1,052,267.0","1,055,183.0","1,040,631.0","1,049,250.0","1,051,325.0","1,047,269.0","1,069,791.0","1,094,712.0","1,111,671.0","1,159,209.0","1,190,580.0","1,214,248.0","1,266,553.0","1,300,522.0","1,331,438.0","1,374,842.0","1,415,828.0","1,463,199.0","1,501,560.0","1,530,981.0","1,529,892.0","1,501,300.0","1,483,491.0","1,482,691.0","1,485,093.0","1,469,000.0","1,436,224.0","1,395,064.0","1,390,971.0","1,372,751.0","1,318,187.0","1,225,692.0","1,146,616.0","1,117,374.0","1,074,557.0","1,029,950.0","1,075,158.0","1,039,372.0","1,047,191.0","1,014,088.0","1,045,600.0","1,076,742.0","1,104,576.0","1,140,559.0","1,161,047.0","1,171,400.0","1,184,570.0","1,183,349.0","1,231,355.0","1,267,529.0","1,282,844.0","1,285,853.0","1,326,284.0","1,351,970.0","1,376,308.0"
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","  Motor vehicle output","A953RC1","45,644.0","42,813.0","47,061.0","43,200.0","38,287.0","41,992.0","41,066.0","27,410.0","51,660.0","48,977.0","47,676.0","50,809.0","54,618.0","54,866.0","50,577.0","59,865.0","67,989.0","63,942.0","62,275.0","60,143.0","55,671.0","55,085.0","63,735.0","60,224.0","48,200.0","53,794.0","63,125.0","64,207.0","74,446.0","78,805.0","78,614.0","83,354.0","94,034.0","94,441.0","97,581.0","99,531.0","96,879.0","108,306.0","106,126.0","114,797.0","120,008.0","107,990.0","101,473.0","95,222.0","91,659.0","75,922.0","82,944.0","97,798.0","98,798.0","106,238.0","102,789.0","93,910.0","87,190.0","102,148.0","104,090.0","92,811.0","108,211.0","116,173.0","136,075.0","154,637.0","159,327.0","152,662.0","156,341.0","174,921.0","171,102.0","179,373.0","191,644.0","187,041.0","179,707.0","186,270.0","193,217.0","190,191.0","186,747.0","186,135.0","187,669.0","194,987.0","190,783.0","204,079.0","198,108.0","210,816.0","221,195.0","211,489.0","207,743.0","201,188.0","199,320.0","201,687.0","202,427.0","176,397.0","165,144.0","177,906.0","193,774.0","185,816.0","188,468.0","203,997.0","207,678.0","222,146.0","223,615.0","229,520.0","225,599.0","251,709.0","269,886.0","263,956.0","274,055.0","283,321.0","281,084.0","275,229.0","272,053.0","290,979.0","265,776.0","302,204.0","304,954.0","293,612.0","306,782.0","304,650.0","325,571.0","339,953.0","330,454.0","327,698.0","330,503.0","374,475.0","365,259.0","367,538.0","379,232.0","387,672.0","391,830.0","378,869.0","359,360.0","345,879.0","329,446.0","353,455.0","348,828.0","364,672.0","380,377.0","385,042.0","396,632.0","385,351.0","368,783.0","383,363.0","384,116.0","388,781.0","392,446.0","388,344.0","401,931.0","404,353.0","409,465.0","417,292.0","432,606.0","402,819.0","418,020.0","407,661.0","409,827.0","397,534.0","408,032.0","413,372.0","410,728.0","391,734.0","369,331.0","344,013.0","318,876.0","249,445.0","203,213.0","220,417.0","272,963.0","290,704.0","316,200.0","331,075.0","350,497.0","339,302.0","366,312.0","365,304.0","380,186.0","400,948.0","428,267.0","436,303.0","439,586.0","433,918.0","453,529.0","464,614.0","454,157.0","472,927.0","471,338.0","496,581.0","530,312.0","506,029.0"
"36","16","  Gross domestic product excluding motor vehicle output","A962RC1","949,775.0","968,548.0","984,955.0","997,541.0","1,015,241.0","1,028,118.0","1,047,395.0","1,064,052.0","1,086,152.0","1,110,378.0","1,132,637.0","1,142,776.0","1,179,189.0","1,215,256.0","1,243,260.0","1,272,158.0","1,312,691.0","1,353,653.0","1,374,538.0","1,418,926.0","1,438,983.0","1,479,135.0","1,499,661.0","1,542,780.0","1,571,353.0","1,602,654.0","1,650,687.0","1,701,660.0","1,750,063.0","1,778,139.0","1,811,886.0","1,855,059.0","1,898,500.0","1,965,724.0","2,024,806.0","2,069,185.0","2,111,809.0","2,228,257.0","2,292,740.0","2,367,362.0","2,411,547.0","2,487,919.0","2,568,915.0","2,635,483.0","2,704,864.0","2,724,016.0","2,777,100.0","2,895,727.0","3,033,001.0","3,061,013.0","3,158,414.0","3,189,626.0","3,186,619.0","3,229,133.0","3,262,982.0","3,314,999.0","3,372,110.0","3,467,671.0","3,556,182.0","3,641,484.0","3,753,447.0","3,862,338.0","3,931,037.0","3,972,685.0","4,065,908.0","4,122,924.0","4,202,919.0","4,266,064.0","4,336,637.0","4,368,975.0","4,426,410.0","4,479,205.0","4,549,484.0","4,635,324.0","4,712,840.0","4,827,683.0","4,899,832.0","5,003,628.0","5,101,378.0","5,201,897.0","5,306,157.0","5,416,940.0","5,503,813.0","5,562,256.0","5,691,515.0","5,772,978.0","5,827,077.0","5,846,935.0","5,889,723.0","5,965,706.0","6,024,651.0","6,093,480.0","6,192,330.0","6,288,302.0","6,378,870.0","6,475,407.0","6,524,567.0","6,600,074.0","6,678,623.0","6,781,135.0","6,866,373.0","7,005,891.0","7,078,200.0","7,193,340.0","7,264,212.0","7,329,694.0","7,434,478.0","7,508,514.0","7,627,370.0","7,759,331.0","7,854,089.0","7,993,466.0","8,095,278.0","8,247,290.0","8,366,185.0","8,448,367.0","8,559,278.0","8,667,040.0","8,816,018.0","8,951,175.0","9,081,844.0","9,189,467.0","9,333,048.0","9,538,429.0","9,639,201.0","9,899,471.0","9,998,085.0","10,126,406.0","10,178,675.0","10,284,929.0","10,290,658.0","10,336,645.0","10,454,068.0","10,549,710.0","10,640,425.0","10,718,483.0","10,861,295.0","10,987,290.0","11,241,021.0","11,428,046.0","11,595,957.0","11,793,054.0","11,965,813.0","12,157,810.0","12,404,264.0","12,556,791.0","12,772,839.0","12,978,810.0","13,230,884.0","13,392,133.0","13,498,671.0","13,668,836.0","13,825,194.0","14,008,941.0","14,158,947.0","14,293,596.0","14,299,114.0","14,468,961.0","14,524,107.0","14,300,504.0","14,180,672.0","14,120,000.0","14,111,182.0","14,275,807.0","14,364,863.0","14,557,525.0","14,707,163.0","14,890,906.0","14,872,059.0","15,095,622.0","15,206,939.0","15,384,364.0","15,528,232.0","15,658,361.0","15,829,349.0","15,898,582.0","16,048,874.0","16,154,551.0","16,418,177.0","16,605,367.0","16,572,651.0","16,831,660.0","17,069,441.0","17,197,644.0"
"37","17","  Final sales of computers \3\","BB01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,803.0","11,279.0","12,422.0","13,508.0","14,486.0","14,947.0","16,038.0","17,439.0","17,857.0","19,277.0","21,438.0","22,115.0","23,935.0","24,269.0","25,909.0","28,785.0","29,593.0","27,682.0","27,675.0","27,962.0","30,752.0","33,018.0","35,489.0","35,900.0","37,924.0","40,716.0","44,505.0","47,608.0","45,672.0","47,362.0","43,810.0","45,077.0","44,713.0","46,032.0","44,956.0","46,801.0","47,271.0","47,628.0","49,167.0","50,087.0","52,208.0","53,176.0","54,356.0","56,212.0","54,261.0","58,286.0","58,007.0","55,031.0","54,006.0","51,664.0","51,222.0","52,499.0","51,441.0","51,789.0","51,906.0","55,266.0","54,025.0","55,990.0","55,854.0","55,139.0","57,018.0","54,611.0","56,698.0","56,993.0","58,787.0","59,036.0","60,616.0","63,053.0","68,933.0","74,036.0","75,198.0","81,359.0","84,196.0","83,241.0","85,724.0","85,876.0","88,614.0","93,047.0","98,173.0","96,634.0","96,281.0","97,446.0","96,130.0","97,092.0","99,124.0","103,913.0","105,366.0","98,862.0","105,455.0","111,526.0","110,132.0","112,337.0","110,139.0","101,688.0","91,821.0","91,622.0","85,775.0","82,454.0","83,053.0","81,282.0","80,968.0","78,277.0","85,331.0","87,736.0","80,918.0","80,627.0","79,432.0","80,693.0","77,975.0","79,277.0","78,895.0","80,305.0","83,218.0","83,108.0","82,525.0","83,632.0","81,258.0","79,194.0","82,222.0","85,944.0","83,236.0","83,793.0","79,943.0","77,389.0","80,231.0","76,102.0","68,164.0","65,459.0","68,092.0","62,137.0","59,367.0","63,190.0","62,793.0","63,230.0","62,382.0","64,437.0","66,773.0","63,790.0","65,210.0","68,304.0","68,270.0","69,171.0","66,980.0","67,200.0","69,420.0","71,435.0","72,714.0","61,928.0"
"38","18","  Gross domestic product excluding final sales of computers","BB00RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,198,885.0","2,325,284.0","2,386,444.0","2,468,651.0","2,517,069.0","2,580,962.0","2,654,350.0","2,713,266.0","2,778,666.0","2,780,661.0","2,838,606.0","2,971,410.0","3,107,864.0","3,142,982.0","3,235,294.0","3,254,751.0","3,244,216.0","3,303,599.0","3,339,397.0","3,379,848.0","3,449,569.0","3,550,826.0","3,656,768.0","3,760,221.0","3,874,850.0","3,974,284.0","4,042,873.0","4,099,998.0","4,191,338.0","4,254,935.0","4,350,753.0","4,408,028.0","4,471,631.0","4,509,213.0","4,574,671.0","4,622,595.0","4,688,960.0","4,773,831.0","4,851,342.0","4,972,583.0","5,038,407.0","5,154,531.0","5,245,130.0","5,356,501.0","5,473,091.0","5,570,143.0","5,653,549.0","5,708,413.0","5,836,829.0","5,923,001.0","5,978,282.0","5,970,833.0","6,003,426.0","6,091,823.0","6,166,519.0","6,224,030.0","6,326,773.0","6,436,309.0","6,530,694.0","6,642,414.0","6,691,164.0","6,774,983.0","6,847,524.0","6,975,851.0","7,077,472.0","7,210,811.0","7,291,639.0","7,413,608.0","7,476,363.0","7,530,887.0","7,631,333.0","7,718,134.0","7,808,950.0","7,978,294.0","8,073,319.0","8,201,202.0","8,313,446.0","8,458,893.0","8,593,583.0","8,691,686.0","8,793,451.0","8,897,292.0","9,050,391.0","9,228,558.0","9,347,979.0","9,453,092.0","9,606,914.0","9,827,239.0","9,925,576.0","10,166,814.0","10,247,313.0","10,359,948.0","10,397,982.0","10,536,696.0","10,547,665.0","10,609,695.0","10,748,670.0","10,852,298.0","10,954,004.0","11,022,552.0","11,149,110.0","11,292,376.0","11,539,806.0","11,729,091.0","11,907,485.0","12,100,771.0","12,288,312.0","12,481,470.0","12,735,754.0","12,894,806.0","13,126,550.0","13,301,324.0","13,565,686.0","13,716,686.0","13,825,973.0","13,982,738.0","14,151,968.0","14,343,119.0","14,487,453.0","14,599,386.0","14,585,209.0","14,729,181.0","14,763,040.0","14,472,560.0","14,303,654.0","14,264,315.0","14,315,981.0","14,501,052.0","14,612,971.0","14,826,463.0","14,998,293.0","15,167,018.0","15,175,578.0","15,397,696.0","15,524,743.0","15,720,875.0","15,889,726.0","16,030,874.0","16,203,725.0","16,264,196.0","16,434,133.0","16,549,994.0","16,805,354.0","17,011,094.0","16,974,569.0","17,256,806.0","17,527,039.0","17,641,745.0"
"39","19","  Research and development","Y694RC1","27,719.0","28,102.0","28,368.0","28,475.0","28,366.0","28,254.0","28,304.0","28,310.0","28,613.0","28,941.0","29,270.0","29,738.0","30,422.0","30,984.0","31,470.0","32,155.0","32,823.0","33,451.0","34,081.0","34,756.0","35,348.0","36,093.0","36,842.0","37,384.0","37,741.0","38,357.0","39,362.0","40,452.0","41,656.0","42,648.0","43,654.0","44,632.0","45,606.0","46,897.0","48,144.0","49,464.0","50,824.0","52,648.0","54,268.0","56,076.0","57,907.0","59,730.0","61,863.0","64,095.0","66,515.0","68,459.0","70,701.0","73,672.0","76,262.0","78,667.0","81,279.0","83,540.0","85,812.0","87,984.0","90,148.0","91,996.0","94,149.0","96,836.0","99,705.0","103,085.0","106,183.0","109,613.0","113,154.0","116,832.0","120,761.0","124,005.0","126,630.0","128,891.0","129,964.0","130,927.0","132,510.0","134,620.0","136,987.0","139,042.0","141,081.0","143,545.0","144,991.0","147,283.0","149,208.0","151,317.0","153,184.0","154,740.0","156,614.0","159,114.0","161,787.0","164,117.0","165,540.0","165,461.0","167,506.0","170,446.0","170,182.0","172,013.0","171,518.0","171,886.0","171,383.0","172,642.0","172,062.0","172,616.0","171,528.0","171,954.0","172,153.0","173,285.0","175,934.0","178,537.0","183,160.0","186,084.0","189,327.0","191,464.0","195,304.0","198,266.0","201,512.0","204,263.0","209,175.0","211,426.0","213,890.0","213,672.0","217,351.0","220,668.0","224,393.0","227,067.0","229,740.0","234,728.0","239,577.0","244,711.0","251,334.0","253,718.0","257,965.0","259,301.0","262,785.0","263,629.0","262,972.0","263,324.0","262,054.0","264,515.0","266,182.0","269,923.0","272,195.0","276,359.0","279,425.0","282,347.0","284,544.0","288,388.0","293,310.0","298,665.0","306,836.0","311,627.0","316,777.0","317,350.0","323,416.0","329,192.0","339,166.0","346,675.0","351,232.0","356,830.0","360,329.0","371,422.0","377,985.0","383,191.0","381,337.0","379,330.0","370,795.0","373,190.0","373,224.0","382,023.0","385,551.0","388,494.0","393,644.0","400,650.0","402,126.0","403,050.0","404,251.0","406,908.0","410,491.0","413,987.0","417,395.0","419,269.0","421,657.0","424,194.0","423,678.0","426,428.0","431,826.0","437,126.0","444,529.0","458,022.0"
"40","20","  Gross domestic product excluding research and development","Y695RC1","967,700.0","983,259.0","1,003,648.0","1,012,266.0","1,025,162.0","1,041,856.0","1,060,157.0","1,063,152.0","1,109,199.0","1,130,414.0","1,151,043.0","1,163,847.0","1,203,385.0","1,239,138.0","1,262,367.0","1,299,868.0","1,347,857.0","1,384,144.0","1,402,732.0","1,444,313.0","1,459,306.0","1,498,127.0","1,526,554.0","1,565,620.0","1,581,812.0","1,618,091.0","1,674,450.0","1,725,415.0","1,782,853.0","1,814,296.0","1,846,846.0","1,893,781.0","1,946,928.0","2,013,268.0","2,074,243.0","2,119,252.0","2,157,864.0","2,283,915.0","2,344,598.0","2,426,083.0","2,473,648.0","2,536,179.0","2,608,525.0","2,666,610.0","2,730,008.0","2,731,479.0","2,789,343.0","2,919,853.0","3,055,537.0","3,088,584.0","3,179,924.0","3,199,996.0","3,187,997.0","3,243,297.0","3,276,924.0","3,315,814.0","3,386,172.0","3,487,008.0","3,592,552.0","3,693,036.0","3,806,591.0","3,905,387.0","3,974,224.0","4,030,774.0","4,116,249.0","4,178,292.0","4,267,933.0","4,324,214.0","4,386,380.0","4,424,318.0","4,487,117.0","4,534,776.0","4,599,244.0","4,682,417.0","4,759,428.0","4,879,125.0","4,945,624.0","5,060,424.0","5,150,278.0","5,261,396.0","5,374,168.0","5,473,689.0","5,554,942.0","5,604,330.0","5,729,048.0","5,810,548.0","5,863,964.0","5,857,871.0","5,887,361.0","5,973,166.0","6,048,243.0","6,107,283.0","6,209,280.0","6,320,413.0","6,415,165.0","6,524,911.0","6,576,120.0","6,656,978.0","6,732,694.0","6,860,890.0","6,964,106.0","7,096,562.0","7,176,321.0","7,298,124.0","7,362,136.0","7,418,839.0","7,517,204.0","7,608,029.0","7,697,842.0","7,863,269.0","7,957,531.0","8,082,815.0","8,192,885.0","8,340,514.0","8,477,866.0","8,574,648.0","8,672,381.0","8,774,070.0","8,922,128.0","9,098,583.0","9,217,363.0","9,322,277.0","9,472,703.0","9,681,390.0","9,779,697.0","10,024,622.0","10,099,480.0","10,212,984.0","10,245,336.0","10,374,755.0","10,376,514.0","10,437,993.0","10,572,391.0","10,670,237.0","10,770,875.0","10,833,911.0","10,957,883.0","11,094,294.0","11,345,712.0","11,534,480.0","11,703,859.0","11,893,010.0","12,074,434.0","12,263,498.0","12,506,893.0","12,662,456.0","12,888,668.0","13,064,279.0","13,325,488.0","13,470,602.0","13,569,332.0","13,719,695.0","13,881,994.0","14,065,483.0","14,209,346.0","14,313,908.0","14,290,460.0","14,429,783.0","14,461,646.0","14,170,619.0","14,013,090.0","13,967,227.0","14,010,921.0","14,184,488.0","14,295,512.0","14,500,106.0","14,664,016.0","14,829,558.0","14,836,245.0","15,057,876.0","15,182,874.0","15,378,404.0","15,546,008.0","15,680,677.0","15,851,540.0","15,913,231.0","16,080,746.0","16,194,971.0","16,448,656.0","16,651,866.0","16,612,163.0","16,891,115.0","17,155,224.0","17,245,651.0"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
