"","Table 5#9#5B# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2015 5:08:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","48","    National defense","Y050RC1","33,628.0","34,048.0","36,847.0","37,767.0","39,853.0","45,583.0","50,189.0","56,675.0","60,708.0","66,825.0","70,758.0","83,827.0","86,029.0","90,286.0","87,471.0","85,077.0","78,305.0"
"67","49","      Aircraft","B874RC1","5,798.0","5,770.0","6,986.0","7,757.0","8,493.0","9,351.0","9,418.0","11,062.0","13,520.0","13,600.0","12,895.0","13,698.0","13,490.0","16,929.0","20,686.0","20,139.0","21,630.0"
"68","50","      Missiles","B875RC1","2,856.0","3,267.0","2,851.0","2,665.0","3,306.0","3,267.0","3,476.0","4,046.0","4,007.0","4,522.0","4,336.0","4,330.0","5,063.0","5,576.0","5,128.0","6,912.0","6,739.0"
"69","51","      Ships","B876RC1","6,109.0","6,429.0","6,751.0","6,583.0","7,206.0","8,668.0","9,507.0","10,017.0","9,812.0","10,531.0","10,293.0","11,029.0","11,142.0","11,776.0","11,672.0","11,945.0","12,442.0"
"70","52","      Vehicles","B877RC1","1,383.0","1,518.0","1,705.0","1,862.0","1,959.0","2,645.0","3,156.0","2,807.0","3,869.0","4,897.0","6,207.0","9,283.0","9,202.0","9,523.0","7,111.0","5,739.0","3,846.0"
"71","53","      Electronics","Y051RC1","3,445.0","3,250.0","3,797.0","4,020.0","3,946.0","4,336.0","5,026.0","5,740.0","6,605.0","8,162.0","10,293.0","13,409.0","13,234.0","12,529.0","10,301.0","9,119.0","7,167.0"
"72","54","      Other equipment","B879RC1","14,037.0","13,814.0","14,757.0","14,880.0","14,943.0","17,316.0","19,606.0","23,003.0","22,895.0","25,113.0","26,734.0","32,078.0","33,898.0","33,953.0","32,573.0","31,223.0","26,481.0"
"73","55","    Nondefense","Y066RC1","9,964.0","10,189.0","11,899.0","10,823.0","9,954.0","11,976.0","12,405.0","13,393.0","15,205.0","17,382.0","16,073.0","17,583.0","17,689.0","19,149.0","18,300.0","18,518.0","16,172.0"
"74","56","  State and local","Y070RC1","32,046.0","34,712.0","37,397.0","38,780.0","38,369.0","38,039.0","37,562.0","37,163.0","37,084.0","39,059.0","43,872.0","45,718.0","44,545.0","41,779.0","39,331.0","39,014.0","40,134.0"
"75","57","Intellectual property products \2\","Y055RC1","98,339.0","102,296.0","106,533.0","113,150.0","119,681.0","126,037.0","136,547.0","145,533.0","153,869.0","160,602.0","168,981.0","177,155.0","179,845.0","187,440.0","191,635.0","192,818.0","188,381.0"
"76","58","  Federal","Y059RC1","84,087.0","86,831.0","89,999.0","95,026.0","100,571.0","106,625.0","116,343.0","124,382.0","131,724.0","136,609.0","143,223.0","149,320.0","151,119.0","157,899.0","161,527.0","161,743.0","156,170.0"
"77","59","    National defense","Y052RC1","39,221.0","39,360.0","39,257.0","40,242.0","42,481.0","47,029.0","53,682.0","59,825.0","64,469.0","67,455.0","71,886.0","73,846.0","71,831.0","72,613.0","73,843.0","74,368.0","68,690.0"
"78","60","      Software","Y053RC1","5,584.0","5,871.0","5,943.0","6,045.0","5,753.0","5,612.0","5,447.0","5,684.0","5,926.0","6,186.0","6,516.0","6,893.0","6,836.0","7,304.0","7,685.0","7,728.0","7,718.0"
"79","61","      Research and development","Y076RC1","33,637.0","33,489.0","33,314.0","34,197.0","36,728.0","41,417.0","48,235.0","54,141.0","58,543.0","61,269.0","65,370.0","66,953.0","64,995.0","65,309.0","66,158.0","66,640.0","60,972.0"
"80","62","    Nondefense","Y067RC1","44,866.0","47,471.0","50,742.0","54,784.0","58,090.0","59,596.0","62,661.0","64,557.0","67,255.0","69,154.0","71,337.0","75,474.0","79,288.0","85,286.0","87,684.0","87,375.0","87,480.0"
"81","63","      Software","Y068RC1","7,731.0","9,216.0","10,439.0","11,565.0","12,274.0","11,018.0","11,030.0","11,370.0","12,327.0","13,095.0","14,176.0","15,217.0","14,996.0","16,002.0","16,962.0","17,436.0","17,621.0"
"82","64","      Research and development","Y069RC1","37,135.0","38,255.0","40,303.0","43,219.0","45,816.0","48,578.0","51,631.0","53,187.0","54,928.0","56,059.0","57,161.0","60,257.0","64,292.0","69,284.0","70,722.0","69,939.0","69,859.0"
"83","65","  State and local","Y071RC1","14,252.0","15,465.0","16,534.0","18,124.0","19,110.0","19,412.0","20,204.0","21,151.0","22,145.0","23,993.0","25,758.0","27,835.0","28,726.0","29,541.0","30,108.0","31,075.0","32,211.0"
"84","66","    Software","Y072RC1","7,360.0","8,160.0","8,661.0","9,503.0","9,809.0","9,441.0","9,729.0","10,213.0","10,595.0","11,173.0","11,655.0","12,311.0","12,224.0","12,220.0","12,898.0","13,486.0","13,998.0"
"85","67","    Research and development","Y073RC1","6,892.0","7,305.0","7,873.0","8,621.0","9,301.0","9,971.0","10,475.0","10,938.0","11,550.0","12,820.0","14,103.0","15,524.0","16,502.0","17,321.0","17,210.0","17,589.0","18,213.0"
"86",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","68","  Government enterprise gross fixed investment","A882RC1","49,020.0","51,098.0","56,870.0","58,670.0","64,146.0","71,195.0","78,240.0","77,606.0","79,884.0","86,998.0","94,570.0","100,426.0","104,488.0","108,164.0","99,747.0","96,479.0","98,318.0"
"88","69","    Federal","A883RC1","6,156.0","7,768.0","8,466.0","5,923.0","5,639.0","5,725.0","6,714.0","5,719.0","7,414.0","7,390.0","7,033.0","8,050.0","7,578.0","9,553.0","8,121.0","7,201.0","6,710.0"
"89","70","      Structures","B884RC1","2,548.0","3,127.0","3,582.0","1,528.0","2,235.0","2,069.0","2,523.0","1,503.0","2,366.0","2,468.0","2,275.0","3,798.0","3,099.0","4,749.0","3,195.0","2,365.0","2,360.0"
"90","71","      Equipment","Y074RC1","2,300.0","3,019.0","3,070.0","2,284.0","1,299.0","1,698.0","2,226.0","2,152.0","2,873.0","2,621.0","2,286.0","1,592.0","1,856.0","2,014.0","1,988.0","1,812.0","1,300.0"
"91","72","      Intellectual property products","Y075RC1","1,308.0","1,622.0","1,814.0","2,111.0","2,105.0","1,958.0","1,965.0","2,064.0","2,175.0","2,301.0","2,472.0","2,660.0","2,623.0","2,790.0","2,938.0","3,024.0","3,050.0"
"92","73","    State and local","A886RC1","42,864.0","43,330.0","48,404.0","52,747.0","58,507.0","65,470.0","71,526.0","71,887.0","72,470.0","79,608.0","87,537.0","92,376.0","96,910.0","98,611.0","91,626.0","89,278.0","91,608.0"
"93","74","      Structures","B887RC1","37,453.0","36,860.0","40,954.0","45,500.0","50,773.0","56,011.0","60,479.0","60,969.0","62,366.0","69,452.0","77,351.0","80,460.0","83,509.0","85,635.0","79,557.0","77,510.0","79,483.0"
"94","75","      Equipment","Y077RC1","5,108.0","6,134.0","7,093.0","6,856.0","7,330.0","9,070.0","10,669.0","10,521.0","9,693.0","9,724.0","9,737.0","11,442.0","12,931.0","12,508.0","11,575.0","11,251.0","11,588.0"
"95","76","      Intellectual property products","Y078RC1","303.0","336.0","357.0","391.0","404.0","389.0","378.0","397.0","411.0","432.0","449.0","474.0","470.0","468.0","494.0","517.0","537.0"
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. Structures, software, and research and development include compensation of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","employees engaged in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
