"","Table 7#12# Imputations in the National Income and Product Accou","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","2","    Imputations (154-157+166+171+172+174+ 176+177+180+182+183+186-187+188+191+200+203+212+213)","A2023C1","9,983.0","9,425.0","8,522.0","7,292.0","6,676.0","6,699.0","7,126.0","7,467.0","7,900.0","7,998.0","8,120.0","8,452.0","10,494.0","14,776.0","19,757.0","23,936.0","26,447.0","27,813.0","26,901.0","27,604.0","27,769.0","28,955.0","33,877.0","37,842.0","41,476.0","44,379.0","47,267.0","51,089.0","55,167.0","58,654.0","62,643.0","67,002.0","71,414.0","76,108.0","80,474.0","85,755.0","91,714.0","98,773.0","105,851.0","115,754.0","128,058.0"
"22","3","    Excluding imputations (1-2)","A2026C1","94,577.0","82,742.0","68,884.0","52,240.0","50,489.0","60,113.0","67,133.0","77,387.0","85,129.0","79,389.0","85,353.0","94,494.0","118,862.0","151,221.0","183,365.0","200,614.0","201,726.0","199,999.0","223,044.0","247,203.0","245,058.0","271,243.0","313,417.0","329,886.0","348,263.0","346,767.0","378,908.0","399,041.0","419,684.0","423,391.0","459,808.0","476,281.0","491,889.0","529,007.0","558,108.0","600,031.0","652,014.0","716,266.0","755,880.0","826,726.0","891,820.0"
"23","4","  Personal consumption expenditures","DPCERC1","77,384.0","70,136.0","60,671.0","48,712.0","45,944.0","51,460.0","55,931.0","62,187.0","66,839.0","64,268.0","67,209.0","71,290.0","81,071.0","89,004.0","99,900.0","108,648.0","119,979.0","144,303.0","161,979.0","175,010.0","178,472.0","192,192.0","208,485.0","219,471.0","233,012.0","239,924.0","258,679.0","271,569.0","286,735.0","296,027.0","317,508.0","331,578.0","341,966.0","363,108.0","382,482.0","411,193.0","443,582.0","480,597.0","507,412.0","557,449.0","604,486.0"
"24","5","    Imputations (154-157+166+171+176+182+ 188+200+204+205+206+207-210-211)","A2042C1","6,002.0","6,209.0","5,835.0","5,457.0","4,987.0","4,616.0","4,718.0","4,567.0","4,706.0","4,599.0","4,088.0","3,871.0","4,098.0","6,749.0","8,910.0","10,099.0","10,545.0","4,560.0","1,484.0","-12.0","1,519.0","-2,406.0","1,826.0","4,021.0","5,754.0","5,895.0","4,453.0","8,054.0","11,762.0","14,699.0","12,633.0","17,165.0","20,847.0","22,646.0","23,160.0","25,253.0","28,156.0","33,944.0","38,083.0","40,495.0","46,577.0"
"25","6","    Excluding imputations (4-5)","A2086C1","71,382.0","63,927.0","54,836.0","43,255.0","40,957.0","46,844.0","51,213.0","57,620.0","62,133.0","59,669.0","63,121.0","67,419.0","76,973.0","82,255.0","90,990.0","98,549.0","109,434.0","139,743.0","160,495.0","175,022.0","176,953.0","194,598.0","206,659.0","215,450.0","227,258.0","234,029.0","254,226.0","263,515.0","274,973.0","281,328.0","304,875.0","314,413.0","321,119.0","340,462.0","359,322.0","385,940.0","415,426.0","446,653.0","469,329.0","516,954.0","557,909.0"
"26","7","  Gross private domestic investment","A006RC1","17,168.0","11,428.0","6,549.0","1,818.0","2,273.0","4,296.0","7,370.0","9,391.0","12,964.0","7,943.0","10,228.0","14,577.0","19,370.0","11,763.0","7,400.0","9,180.0","12,400.0","33,129.0","37,130.0","50,345.0","39,095.0","56,532.0","62,753.0","57,267.0","60,415.0","58,068.0","73,760.0","77,682.0","76,505.0","70,949.0","85,666.0","86,477.0","86,579.0","96,976.0","103,281.0","112,153.0","129,643.0","144,186.0","142,699.0","156,922.0","173,560.0"
"27","8","    Imputations (210+211+212)","A2087C1","2,654.0","1,911.0","1,421.0","689.0","507.0","723.0","968.0","1,260.0","1,501.0","1,565.0","2,073.0","2,442.0","3,018.0","1,714.0","1,211.0","1,220.0","1,735.0","7,230.0","10,938.0","14,370.0","13,742.0","19,349.0","17,915.0","17,978.0","18,716.0","20,585.0","24,120.0","23,043.0","21,838.0","21,310.0","26,487.0","25,165.0","24,459.0","25,932.0","28,106.0","29,798.0","31,034.0","30,008.0","30,558.0","34,439.0","36,805.0"
"28","9","    Excluding imputations (7-8)","A2088C1","14,514.0","9,517.0","5,128.0","1,129.0","1,766.0","3,573.0","6,402.0","8,131.0","11,463.0","6,378.0","8,155.0","12,135.0","16,352.0","10,049.0","6,189.0","7,960.0","10,665.0","25,899.0","26,192.0","35,975.0","25,353.0","37,183.0","44,838.0","39,289.0","41,699.0","37,483.0","49,640.0","54,639.0","54,667.0","49,639.0","59,179.0","61,312.0","62,120.0","71,044.0","75,175.0","82,355.0","98,609.0","114,178.0","112,141.0","122,483.0","136,755.0"
"29","10","  Net exports of goods and services","A019RC1","383.0","323.0","1.0","43.0","58.0","322.0","-213.0","-147.0","78.0","966.0","833.0","1,471.0","1,033.0","-252.0","-2,246.0","-2,024.0","-766.0","7,182.0","10,807.0","5,487.0","5,235.0","738.0","2,513.0","1,164.0","-701.0","404.0","478.0","2,361.0","4,075.0","538.0","396.0","4,204.0","4,914.0","4,100.0","4,940.0","6,914.0","5,618.0","3,864.0","3,554.0","1,351.0","1,431.0"
"30","11","    Imputations (14-17)","W510RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","213.0","206.0","195.0","211.0","224.0","251.0","265.0","284.0","280.0","288.0","319.0","303.0","356.0","402.0","416.0","419.0","454.0","543.0"
"31","12","    Excluding imputations (10-11)","W511RC1","339.0","286.0","-31.0","14.0","35.0","298.0","-239.0","-185.0","14.0","905.0","753.0","1,362.0","926.0","-360.0","-2,387.0","-2,191.0","-909.0","7,048.0","10,694.0","5,372.0","5,102.0","591.0","2,341.0","951.0","-907.0","209.0","267.0","2,137.0","3,824.0","273.0","112.0","3,924.0","4,626.0","3,781.0","4,637.0","6,558.0","5,216.0","3,448.0","3,135.0","897.0","888.0"
"32","13","    Exports of goods and services","B020RC1","5,939.0","4,444.0","2,906.0","1,975.0","1,987.0","2,561.0","2,769.0","3,007.0","4,039.0","3,811.0","3,969.0","4,897.0","5,482.0","4,375.0","4,034.0","4,880.0","6,781.0","14,156.0","18,740.0","15,547.0","14,484.0","12,350.0","17,099.0","16,459.0","15,313.0","15,836.0","17,677.0","21,284.0","24,017.0","20,560.0","22,725.0","27,045.0","27,602.0","29,065.0","31,075.0","35,019.0","37,147.0","40,921.0","43,466.0","47,907.0","51,922.0"
"33","14","      Imputations (174+180+186)","W512RC1","44.0","37.0","32.0","29.0","23.0","24.0","26.0","38.0","64.0","61.0","80.0","109.0","107.0","108.0","141.0","167.0","143.0","134.0","113.0","115.0","133.0","147.0","172.0","213.0","206.0","195.0","211.0","224.0","251.0","265.0","284.0","280.0","288.0","319.0","303.0","356.0","402.0","416.0","419.0","454.0","543.0"
"34","15","      Excluding imputations (13-14)","W513RC1","5,895.0","4,407.0","2,874.0","1,946.0","1,964.0","2,537.0","2,743.0","2,969.0","3,975.0","3,750.0","3,889.0","4,788.0","5,375.0","4,267.0","3,893.0","4,713.0","6,638.0","14,022.0","18,627.0","15,432.0","14,351.0","12,203.0","16,927.0","16,246.0","15,107.0","15,641.0","17,466.0","21,060.0","23,766.0","20,295.0","22,441.0","26,765.0","27,314.0","28,746.0","30,772.0","34,663.0","36,745.0","40,505.0","43,047.0","47,453.0","51,379.0"
"35","16","    Imports of goods and services","B021RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0"
"36","17","      Imputations (187)","W555RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"37","18","      Excluding imputations (16-17)","W515RC1","5,556.0","4,121.0","2,905.0","1,932.0","1,929.0","2,239.0","2,982.0","3,154.0","3,961.0","2,845.0","3,136.0","3,426.0","4,449.0","4,627.0","6,280.0","6,904.0","7,547.0","6,974.0","7,933.0","10,060.0","9,249.0","11,612.0","14,586.0","15,295.0","16,014.0","15,432.0","17,199.0","18,923.0","19,942.0","20,022.0","22,329.0","22,841.0","22,688.0","24,965.0","26,135.0","28,105.0","31,529.0","37,057.0","39,912.0","46,556.0","50,491.0"
"38","19","  Government consumption expenditures and gross investment","A822RC1","9,625.0","10,280.0","10,185.0","8,959.0","8,890.0","10,734.0","11,171.0","13,423.0","13,148.0","14,210.0","15,203.0","15,608.0","27,882.0","65,482.0","98,068.0","108,746.0","96,560.0","43,198.0","40,029.0","43,965.0","50,025.0","50,736.0","73,543.0","89,826.0","97,013.0","92,750.0","93,258.0","98,518.0","107,536.0","114,531.0","118,881.0","121,024.0","129,844.0","140,931.0","147,879.0","155,526.0","164,885.0","186,392.0","208,066.0","226,758.0","240,401.0"
"39","20","    Imputations (172+177+183+191+208+213)","A1684C1","1,283.0","1,268.0","1,234.0","1,117.0","1,159.0","1,336.0","1,414.0","1,602.0","1,629.0","1,773.0","1,879.0","2,030.0","3,271.0","6,205.0","9,495.0","12,450.0","14,024.0","15,889.0","14,366.0","13,131.0","12,375.0","11,865.0","13,964.0","15,630.0","16,800.0","17,704.0","18,483.0","19,768.0","21,316.0","22,380.0","23,239.0","24,392.0","25,820.0","27,211.0","28,905.0","30,348.0","32,122.0","34,405.0","36,791.0","40,366.0","44,133.0"
"40","21","    Excluding imputations (19-20)","A2089C1","8,342.0","9,012.0","8,951.0","7,842.0","7,731.0","9,398.0","9,757.0","11,821.0","11,519.0","12,437.0","13,324.0","13,578.0","24,611.0","59,277.0","88,573.0","96,296.0","82,536.0","27,309.0","25,663.0","30,834.0","37,650.0","38,871.0","59,579.0","74,196.0","80,213.0","75,046.0","74,775.0","78,750.0","86,220.0","92,151.0","95,642.0","96,632.0","104,024.0","113,720.0","118,974.0","125,178.0","132,763.0","151,987.0","171,275.0","186,392.0","196,268.0"
"41","22","    Government consumption expenditures","A955RC1","6,723.0","7,027.0","7,099.0","6,699.0","6,861.0","8,064.0","8,319.0","9,197.0","9,250.0","9,916.0","10,609.0","11,170.0","17,086.0","36,497.0","58,176.0","70,597.0","71,251.0","38,490.0","34,346.0","35,477.0","38,716.0","39,284.0","53,972.0","65,207.0","70,359.0","67,359.0","68,902.0","71,382.0","77,306.0","81,910.0","83,025.0","85,025.0","89,945.0","98,332.0","103,440.0","109,137.0","117,022.0","132,825.0","150,405.0","167,524.0","180,861.0"
"42","23","      Imputations (172+177+183+191+208+213-214)","A2097C1","-1,619.0","-1,985.0","-1,851.0","-1,143.0","-870.0","-1,334.0","-1,437.0","-2,624.0","-2,269.0","-2,520.0","-2,715.0","-2,407.0","-7,525.0","-22,780.0","-30,397.0","-25,699.0","-11,284.0","11,181.0","8,683.0","4,643.0","1,066.0","413.0","-5,607.0","-8,989.0","-9,855.0","-7,687.0","-5,873.0","-7,368.0","-8,915.0","-10,241.0","-12,617.0","-11,607.0","-14,079.0","-15,388.0","-15,534.0","-16,041.0","-15,741.0","-19,162.0","-20,870.0","-18,868.0","-15,408.0"
"43","24","      Excluding imputations (22-23)","A2098C1","8,342.0","9,012.0","8,950.0","7,842.0","7,731.0","9,398.0","9,756.0","11,821.0","11,519.0","12,436.0","13,324.0","13,577.0","24,611.0","59,277.0","88,573.0","96,296.0","82,535.0","27,309.0","25,663.0","30,834.0","37,650.0","38,871.0","59,579.0","74,196.0","80,214.0","75,046.0","74,775.0","78,750.0","86,221.0","92,151.0","95,642.0","96,632.0","104,024.0","113,720.0","118,974.0","125,178.0","132,763.0","151,987.0","171,275.0","186,392.0","196,269.0"
"44","25","    Gross government investment","A782RC1","2,902.0","3,253.0","3,085.0","2,260.0","2,029.0","2,670.0","2,851.0","4,226.0","3,898.0","4,293.0","4,594.0","4,437.0","10,796.0","28,985.0","39,892.0","38,149.0","25,308.0","4,708.0","5,683.0","8,488.0","11,309.0","11,452.0","19,571.0","24,619.0","26,655.0","25,391.0","24,356.0","27,136.0","30,231.0","32,621.0","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"45","26","      Imputations (214)","A782RC1","2,902.0","3,253.0","3,085.0","2,260.0","2,029.0","2,670.0","2,851.0","4,226.0","3,898.0","4,293.0","4,594.0","4,437.0","10,796.0","28,985.0","39,892.0","38,149.0","25,308.0","4,708.0","5,683.0","8,488.0","11,309.0","11,452.0","19,571.0","24,619.0","26,655.0","25,391.0","24,356.0","27,136.0","30,231.0","32,621.0","35,856.0","35,999.0","39,899.0","42,599.0","44,439.0","46,389.0","47,863.0","53,567.0","57,661.0","59,234.0","59,541.0"
"46","27","      Excluding imputations (25-26)","A1680C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"47",NA,"          Gross domestic income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","28","Gross domestic income","A261RC1","103,827.0","92,614.0","76,671.0","59,262.0","56,652.0","66,440.0","74,493.0","83,674.0","93,079.0","86,713.0","92,187.0","101,880.0","129,041.0","166,905.0","204,962.0","222,027.0","224,347.0","226,589.0","247,093.0","275,077.0","271,106.0","298,949.0","343,874.0","365,159.0","385,972.0","388,267.0","424,064.0","452,198.0","475,242.0","481,431.0","522,304.0","544,639.0","564,281.0","605,197.0","640,100.0","685,799.0","742,956.0","809,915.0","858,323.0","939,307.0","1,018,268.0"
"49","29","    Imputations (154-157+166+171+172+174+ 176+177+180+182+183+186-187+188+191+200+203+212+213)","Q2023C1","9,983.0","9,425.0","8,522.0","7,292.0","6,676.0","6,699.0","7,126.0","7,467.0","7,900.0","7,998.0","8,120.0","8,452.0","10,494.0","14,776.0","19,757.0","23,936.0","26,447.0","27,813.0","26,901.0","27,604.0","27,769.0","28,955.0","33,877.0","37,842.0","41,476.0","44,379.0","47,267.0","51,089.0","55,167.0","58,654.0","62,643.0","67,002.0","71,414.0","76,108.0","80,474.0","85,755.0","91,714.0","98,773.0","105,851.0","115,754.0","128,058.0"
"50","30","    Excluding imputations (28-29)","W516RC1","93,844.0","83,189.0","68,149.0","51,970.0","49,976.0","59,741.0","67,367.0","76,207.0","85,179.0","78,715.0","84,067.0","93,428.0","118,547.0","152,129.0","185,205.0","198,091.0","197,900.0","198,776.0","220,192.0","247,473.0","243,337.0","269,994.0","309,997.0","327,317.0","344,496.0","343,888.0","376,797.0","401,109.0","420,075.0","422,777.0","459,661.0","477,637.0","492,867.0","529,089.0","559,626.0","600,044.0","651,242.0","711,142.0","752,472.0","823,553.0","890,210.0"
"51","31","  Compensation of employees, paid","A4002C1","51,443.0","47,206.0","40,111.0","31,377.0","29,822.0","34,588.0","37,707.0","43,332.0","48,358.0","45,466.0","48,607.0","52,805.0","66,243.0","88,093.0","112,786.0","124,451.0","126,457.0","122,630.0","132,422.0","144,384.0","144,454.0","158,387.0","185,913.0","201,339.0","215,529.0","214,500.0","230,969.0","249,722.0","263,058.0","265,191.0","286,390.0","302,006.0","311,232.0","333,007.0","351,242.0","376,875.0","406,342.0","450,262.0","482,913.0","532,089.0","585,994.0"
"52","32","     Imputations (189+203)","Y506RC1","764.0","754.0","685.0","583.0","525.0","573.0","682.0","761.0","809.0","828.0","859.0","1,077.0","2,068.0","3,952.0","5,124.0","5,814.0","6,278.0","6,095.0","4,529.0","4,918.0","5,127.0","5,637.0","7,770.0","8,738.0","9,033.0","9,068.0","9,136.0","9,430.0","10,236.0","10,863.0","11,159.0","11,684.0","12,545.0","13,082.0","13,757.0","14,728.0","16,380.0","18,204.0","19,353.0","21,278.0","23,586.0"
"53","33","     Excluding imputations (31-32)","A2100C1","50,679.0","46,452.0","39,426.0","30,794.0","29,297.0","34,015.0","37,025.0","42,571.0","47,549.0","44,638.0","47,748.0","51,728.0","64,175.0","84,141.0","107,662.0","118,637.0","120,179.0","116,535.0","127,893.0","139,466.0","139,327.0","152,750.0","178,143.0","192,601.0","206,496.0","205,432.0","221,833.0","240,292.0","252,822.0","254,328.0","275,231.0","290,322.0","298,687.0","319,925.0","337,485.0","362,147.0","389,962.0","432,058.0","463,560.0","510,811.0","562,408.0"
"54","34","  Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0"
"55","35","    Imputations (158)","A2094C1","1,085.0","1,117.0","1,104.0","1,041.0","921.0","930.0","947.0","930.0","938.0","953.0","929.0","955.0","962.0","1,008.0","1,057.0","1,126.0","1,197.0","1,181.0","1,293.0","1,426.0","1,633.0","1,758.0","1,972.0","2,221.0","2,456.0","2,714.0","3,112.0","3,563.0","4,020.0","4,494.0","4,837.0","5,303.0","5,868.0","6,373.0","7,019.0","7,660.0","8,344.0","8,999.0","10,071.0","11,363.0","12,702.0"
"56","36","    Excluding imputations (34-35)","A2095C1","5,739.0","5,854.0","5,565.0","5,529.0","5,943.0","6,695.0","7,043.0","7,531.0","8,003.0","7,979.0","8,217.0","8,840.0","10,092.0","10,504.0","11,374.0","12,585.0","13,898.0","15,651.0","16,813.0","18,300.0","19,271.0","21,192.0","22,773.0","24,900.0","26,645.0","26,175.0","28,355.0","30,674.0","32,596.0","33,226.0","36,215.0","39,244.0","41,100.0","44,009.0","46,367.0","49,609.0","52,365.0","54,212.0","57,866.0","65,044.0","71,154.0"
"57","37","  Less: Subsidies","A107RC1","46.0","74.0","145.0","118.0","166.0","467.0","599.0","288.0","347.0","480.0","797.0","750.0","458.0","523.0","585.0","1,045.0","1,148.0","1,362.0","395.0","537.0","495.0","839.0","1,044.0","770.0","510.0","322.0","196.0","736.0","1,125.0","1,360.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"58","38","    Imputations (159)","B1154C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"59","39","    Excluding imputations (37-38)","A2096C1","46.0","74.0","145.0","118.0","166.0","467.0","599.0","288.0","347.0","480.0","797.0","750.0","458.0","523.0","585.0","1,045.0","1,148.0","1,362.0","395.0","537.0","495.0","839.0","1,044.0","770.0","510.0","322.0","196.0","736.0","1,125.0","1,360.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"60","40","  Net operating surplus","W271RC1","35,227.0","28,324.0","20,544.0","13,118.0","12,140.0","16,287.0","20,933.0","23,387.0","26,380.0","22,765.0","25,140.0","29,463.0","40,148.0","52,930.0","62,317.0","63,530.0","60,749.0","62,718.0","67,761.0","80,112.0","73,906.0","85,021.0","96,501.0","96,852.0","98,371.0","99,220.0","112,940.0","114,851.0","117,778.0","117,454.0","130,483.0","131,340.0","137,487.0","149,977.0","159,705.0","172,005.0","190,929.0","205,094.0","207,758.0","221,656.0","228,094.0"
"61","41","    Imputations (163+164+188-190-192+195-196+200+212+215)","W517RC1","6,069.0","5,507.0","4,819.0","4,033.0","3,531.0","3,273.0","3,550.0","3,664.0","3,840.0","3,810.0","3,864.0","3,809.0","4,234.0","4,947.0","5,750.0","6,184.0","6,681.0","7,162.0","7,173.0","7,870.0","8,240.0","9,150.0","10,309.0","11,666.0","13,437.0","14,880.0","16,013.0","17,181.0","18,326.0","19,589.0","21,466.0","23,467.0","25,067.0","26,983.0","28,141.0","30,059.0","31,721.0","33,882.0","35,921.0","39,106.0","43,762.0"
