"","Table 7#4#5# Housing Sector Output, Gross Value Added, and Net V","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","Housing output \1\","A2007C1","83,715.0","90,530.0","99,214.0","108,220.0","118,460.0","129,455.0","141,759.0","155,354.0","172,721.0","193,924.0","217,471.0","246,025.0","277,437.0","302,482.0","326,768.0","357,189.0","394,147.0","430,072.0","461,054.0","496,825.0","530,469.0","569,981.0","600,801.0","633,832.0","665,717.0","708,786.0","755,351.0","794,632.0","838,393.0","893,297.0","947,677.0","1,009,559.0","1,084,580.0","1,132,459.0","1,176,205.0","1,241,281.0","1,331,489.0","1,415,094.0","1,478,794.0","1,542,425.0","1,590,252.0","1,608,331.0","1,658,694.0","1,703,024.0","1,750,749.0","1,822,937.0"
"20","2","  Nonfarm housing","A2008C1","80,669.0","87,262.0","95,739.0","104,507.0","114,676.0","125,494.0","137,761.0","151,239.0","168,352.0","189,240.0","212,547.0","240,855.0","272,092.0","297,334.0","321,597.0","351,988.0","389,033.0","425,089.0","456,013.0","491,351.0","524,562.0","563,640.0","594,027.0","626,625.0","657,650.0","699,765.0","745,947.0","784,873.0","828,757.0","883,274.0","937,086.0","996,813.0","1,071,438.0","1,118,819.0","1,161,919.0","1,224,488.0","1,312,660.0","1,395,555.0","1,458,227.0","1,521,899.0","1,569,539.0","1,587,106.0","1,636,250.0","1,683,237.0","1,728,051.0","1,799,667.0"
"21","3","    Owner-occupied","DOWNRC1","56,627.0","61,300.0","67,344.0","73,716.0","80,980.0","89,677.0","98,778.0","108,670.0","121,336.0","138,123.0","156,871.0","178,387.0","200,995.0","218,426.0","235,901.0","257,440.0","280,603.0","305,241.0","329,147.0","357,477.0","384,442.0","412,808.0","436,345.0","462,602.0","488,510.0","523,673.0","559,360.0","592,870.0","629,509.0","674,320.0","718,919.0","768,887.0","829,184.0","869,184.0","913,250.0","968,464.0","1,044,314.0","1,108,796.0","1,142,269.0","1,185,472.0","1,209,860.0","1,214,483.0","1,234,121.0","1,265,538.0","1,303,730.0","1,350,954.0"
"22","4","    Tenant-occupied","DTENRC1","24,042.0","25,962.0","28,395.0","30,791.0","33,696.0","35,817.0","38,983.0","42,569.0","47,016.0","51,117.0","55,676.0","62,468.0","71,097.0","78,908.0","85,696.0","94,548.0","108,430.0","119,848.0","126,866.0","133,874.0","140,120.0","150,832.0","157,682.0","164,023.0","169,140.0","176,092.0","186,587.0","192,003.0","199,248.0","208,954.0","218,167.0","227,926.0","242,254.0","249,635.0","248,669.0","256,024.0","268,346.0","286,759.0","315,958.0","336,427.0","359,679.0","372,623.0","402,129.0","417,699.0","424,321.0","448,713.0"
"23","5","  Farm housing","DFARRC1","3,046.0","3,268.0","3,475.0","3,713.0","3,784.0","3,961.0","3,998.0","4,115.0","4,369.0","4,684.0","4,924.0","5,170.0","5,345.0","5,148.0","5,171.0","5,201.0","5,114.0","4,983.0","5,041.0","5,474.0","5,907.0","6,341.0","6,774.0","7,207.0","8,067.0","9,021.0","9,404.0","9,759.0","9,636.0","10,023.0","10,591.0","12,746.0","13,142.0","13,640.0","14,286.0","16,793.0","18,829.0","19,539.0","20,567.0","20,526.0","20,713.0","21,225.0","22,444.0","19,787.0","22,698.0","23,269.0"
"24","6","Less: Intermediate goods and services consumed","B1027C1","10,126.0","11,128.0","12,092.0","13,523.0","16,140.0","17,919.0","19,176.0","22,963.0","26,899.0","31,369.0","37,209.0","39,588.0","43,617.0","42,201.0","42,995.0","50,349.0","56,928.0","61,088.0","63,312.0","66,870.0","72,680.0","78,263.0","80,388.0","81,936.0","80,891.0","83,427.0","86,886.0","93,595.0","100,524.0","112,897.0","115,379.0","121,012.0","131,860.0","136,662.0","146,982.0","154,074.0","168,371.0","181,136.0","192,880.0","180,058.0","181,239.0","183,668.0","188,530.0","205,177.0","216,511.0","216,712.0"
"25","7","Equals: Gross housing value added","A2009C1","73,589.0","79,402.0","87,122.0","94,697.0","102,320.0","111,536.0","122,583.0","132,391.0","145,822.0","162,555.0","180,263.0","206,438.0","233,820.0","260,281.0","283,774.0","306,840.0","337,219.0","368,985.0","397,742.0","429,955.0","457,789.0","491,719.0","520,414.0","551,896.0","584,827.0","625,359.0","668,465.0","701,038.0","737,869.0","780,400.0","832,298.0","888,547.0","952,720.0","995,796.0","1,029,222.0","1,087,206.0","1,163,118.0","1,233,958.0","1,285,913.0","1,362,368.0","1,409,013.0","1,424,663.0","1,470,165.0","1,497,848.0","1,534,238.0","1,606,224.0"
"26","8","  Nonfarm housing","B499RC1","70,823.0","76,434.0","83,968.0","91,330.0","98,891.0","107,949.0","118,965.0","128,670.0","141,876.0","158,323.0","175,812.0","201,763.0","228,985.0","255,622.0","279,150.0","302,244.0","332,751.0","364,679.0","393,433.0","425,233.0","452,650.0","486,158.0","514,424.0","545,475.0","577,675.0","617,390.0","660,166.0","692,442.0","729,413.0","771,591.0","822,971.0","877,301.0","941,110.0","983,745.0","1,016,582.0","1,072,367.0","1,146,471.0","1,216,677.0","1,267,650.0","1,344,093.0","1,390,577.0","1,405,782.0","1,450,203.0","1,480,258.0","1,514,050.0","1,585,528.0"
"27","9","    Owner-occupied","B1300C1","51,072.0","55,007.0","60,868.0","66,144.0","71,942.0","79,221.0","87,530.0","94,908.0","103,362.0","117,319.0","132,138.0","151,483.0","171,480.0","189,848.0","206,822.0","223,841.0","241,313.0","261,931.0","284,488.0","310,300.0","333,740.0","358,719.0","378,056.0","398,837.0","427,988.0","461,455.0","494,741.0","522,389.0","553,507.0","587,511.0","632,465.0","679,407.0","732,185.0","769,613.0","805,768.0","854,020.0","916,797.0","971,566.0","998,508.0","1,055,238.0","1,080,310.0","1,083,438.0","1,100,737.0","1,118,255.0","1,148,872.0","1,200,078.0"
"28","10","    Tenant-occupied","B1301C1","19,751.0","21,427.0","23,100.0","25,186.0","26,949.0","28,728.0","31,435.0","33,763.0","38,514.0","41,004.0","43,674.0","50,279.0","57,505.0","65,774.0","72,328.0","78,403.0","91,438.0","102,748.0","108,945.0","114,933.0","118,910.0","127,439.0","136,369.0","146,638.0","149,687.0","155,935.0","165,425.0","170,053.0","175,906.0","184,080.0","190,506.0","197,894.0","208,925.0","214,132.0","210,813.0","218,347.0","229,674.0","245,111.0","269,142.0","288,855.0","310,267.0","322,344.0","349,466.0","362,004.0","365,178.0","385,450.0"
"29","11","  Farm housing","B1302C1","2,767.0","2,968.0","3,155.0","3,367.0","3,429.0","3,587.0","3,617.0","3,720.0","3,946.0","4,232.0","4,451.0","4,675.0","4,835.0","4,659.0","4,624.0","4,596.0","4,468.0","4,306.0","4,309.0","4,722.0","5,139.0","5,561.0","5,989.0","6,421.0","7,152.0","7,969.0","8,300.0","8,595.0","8,456.0","8,809.0","9,327.0","11,247.0","11,610.0","12,051.0","12,640.0","14,839.0","16,647.0","17,281.0","18,263.0","18,275.0","18,436.0","18,881.0","19,962.0","17,589.0","20,188.0","20,696.0"
"30","12","Less: Consumption of fixed capital","A1028C1","17,059.0","18,371.0","20,372.0","22,844.0","26,257.0","30,345.0","34,277.0","37,838.0","43,592.0","51,278.0","59,791.0","68,220.0","74,754.0","79,151.0","82,124.0","87,072.0","92,746.0","100,931.0","110,036.0","118,069.0","125,834.0","131,532.0","135,575.0","139,798.0","148,675.0","158,054.0","167,364.0","175,615.0","184,802.0","196,474.0","211,460.0","229,207.0","248,527.0","263,619.0","286,941.0","319,547.0","358,908.0","393,055.0","406,659.0","400,772.0","382,899.0","376,967.0","374,756.0","377,518.0","399,903.0","427,201.0"
"31","13","Equals: Net housing value added \2\","B952RC1","56,531.0","61,031.0","66,750.0","71,853.0","76,063.0","81,191.0","88,306.0","94,552.0","102,230.0","111,277.0","120,471.0","138,218.0","159,066.0","181,130.0","201,650.0","219,767.0","244,473.0","268,054.0","287,706.0","311,886.0","331,955.0","360,186.0","384,839.0","412,098.0","436,152.0","467,305.0","501,102.0","525,423.0","553,067.0","583,926.0","620,838.0","659,341.0","704,193.0","732,177.0","742,280.0","767,659.0","804,210.0","840,903.0","879,255.0","961,596.0","1,026,114.0","1,047,696.0","1,095,409.0","1,120,330.0","1,134,335.0","1,179,023.0"
"32","14","  Compensation of employees","B1033C1","1,054.0","1,071.0","1,089.0","1,108.0","1,128.0","1,149.0","1,171.0","1,316.0","1,415.0","1,569.0","1,751.0","1,985.0","2,164.0","2,394.0","2,630.0","2,920.0","3,239.0","3,504.0","3,658.0","3,980.0","4,169.0","4,471.0","4,699.0","6,893.0","7,208.0","7,589.0","7,956.0","8,323.0","8,820.0","9,389.0","9,886.0","10,785.0","11,127.0","11,929.0","11,869.0","12,408.0","12,784.0","13,217.0","13,985.0","14,291.0","14,181.0","14,086.0","14,811.0","15,469.0","15,639.0","16,397.0"
"33","15","  Taxes on production and imports","B1031C1","17,646.0","20,068.0","22,076.0","23,780.0","25,790.0","27,572.0","30,317.0","33,366.0","36,554.0","37,250.0","38,019.0","41,020.0","45,622.0","50,038.0","53,540.0","57,622.0","61,347.0","65,148.0","71,310.0","76,347.0","83,050.0","88,735.0","95,393.0","98,771.0","98,834.0","103,803.0","104,155.0","107,645.0","111,657.0","113,787.0","117,794.0","121,862.0","128,631.0","138,466.0","146,685.0","155,636.0","167,415.0","178,258.0","191,562.0","196,165.0","206,071.0","206,097.0","208,080.0","209,573.0","212,918.0","215,778.0"
"34","16","  Less: Subsidies \3\","W154RC1","459.0","693.0","1,087.0","1,569.0","1,791.0","2,306.0","2,625.0","3,087.0","3,531.0","4,199.0","5,281.0","6,582.0","9,214.0","12,120.0","14,010.0","14,885.0","16,611.0","16,517.0","16,891.0","16,654.0","18,584.0","20,351.0","22,254.0","24,196.0","26,297.0","28,112.0","31,372.0","32,373.0","31,765.0","29,985.0","29,640.0","27,792.0","29,012.0","33,994.0","37,145.0","39,870.0","43,304.0","42,628.0","49,739.0","45,747.0","48,562.0","47,459.0","49,278.0","48,199.0","48,450.0","49,042.0"
"35","17","  Net operating surplus","W165RC1","38,290.0","40,585.0","44,672.0","48,534.0","50,936.0","54,776.0","59,443.0","62,957.0","67,792.0","76,657.0","85,983.0","101,795.0","120,494.0","140,818.0","159,490.0","174,109.0","196,498.0","215,919.0","229,630.0","248,213.0","263,320.0","287,331.0","307,001.0","330,630.0","356,407.0","384,025.0","420,363.0","441,828.0","464,355.0","490,735.0","522,798.0","554,486.0","593,447.0","615,775.0","620,871.0","639,486.0","667,315.0","692,057.0","723,446.0","796,887.0","854,425.0","874,971.0","921,797.0","943,486.0","954,228.0","995,890.0"
"36","18","    Net interest","B1037C1","18,498.0","20,449.0","23,569.0","27,339.0","31,482.0","36,206.0","42,533.0","47,643.0","55,588.0","64,421.0","75,539.0","88,716.0","101,822.0","118,817.0","135,292.0","151,983.0","171,976.0","194,980.0","210,618.0","225,186.0","242,213.0","259,226.0","266,377.0","263,692.0","254,028.0","254,421.0","274,180.0","280,140.0","293,606.0","303,722.0","321,829.0","352,341.0","374,752.0","377,159.0","366,113.0","368,297.0","415,168.0","473,697.0","521,351.0","535,667.0","492,749.0","446,985.0","409,935.0","377,613.0","344,324.0","338,156.0"
"37","19","    Current transfer payments","W166RC1","-30.0","-16.0","73.0","172.0","99.0","-350.0","-229.0","174.0","521.0","615.0","-34.0","-311.0","181.0","-148.0","-357.0","-563.0","-478.0","1,275.0","2,008.0","1,019.0","-827.0","-733.0","-386.0","-556.0","1,799.0","1,323.0","1,659.0","-493.0","4,859.0","1,668.0","2,091.0","924.0","-1,645.0","3,036.0","5,538.0","7,810.0","11,816.0","12,716.0","11,248.0","4,549.0","6,865.0","4,450.0","-4,916.0","9,635.0","14,465.0","8,322.0"
"38","20","    Proprietors' income with inventory valuation and capital consumption adjustments","B1034C1","1,356.0","1,427.0","1,071.0","998.0","747.0","424.0","-226.0","-84.0","300.0","575.0","1,109.0","2,250.0","3,842.0","6,069.0","6,018.0","6,306.0","7,243.0","6,847.0","5,697.0","5,200.0","4,647.0","6,100.0","7,930.0","12,440.0","16,306.0","19,678.0","23,130.0","24,899.0","26,901.0","29,232.0","29,825.0","30,223.0","33,097.0","34,814.0","33,177.0","32,946.0","32,306.0","32,176.0","37,241.0","42,746.0","52,348.0","60,129.0","72,718.0","78,570.0","78,707.0","84,642.0"
"39","21","    Rental income of persons with capital consumption adjustment","B1035C1","17,793.0","18,025.0","19,217.0","19,133.0","17,794.0","17,453.0","16,327.0","14,205.0","10,174.0","9,736.0","7,980.0","9,650.0","12,492.0","12,778.0","14,911.0","12,683.0","13,862.0","10,205.0","9,616.0","15,221.0","14,083.0","20,429.0","30,582.0","52,309.0","81,545.0","105,971.0","117,243.0","133,107.0","136,989.0","156,343.0","169,548.0","173,281.0","190,632.0","205,078.0","222,024.0","237,640.0","215,743.0","183,737.0","166,186.0","226,587.0","312,560.0","376,103.0","454,493.0","489,027.0","527,284.0","575,113.0"
"40","22","    Corporate profits with inventory valuation and capital consumption adjustments","B1036C1","454.0","452.0","448.0","482.0","495.0","471.0","437.0","425.0","539.0","628.0","796.0","995.0","1,554.0","1,988.0","1,904.0","2,405.0","2,738.0","2,274.0","2,359.0","2,554.0","3,903.0","2,753.0","2,519.0","2,660.0","2,834.0","3,340.0","3,714.0","3,770.0","3,953.0","4,221.0","4,275.0","4,038.0","4,454.0","4,506.0","4,418.0","4,511.0","5,662.0","5,221.0","6,008.0","6,572.0","7,555.0","8,036.0","9,492.0","10,139.0","10,152.0","11,021.0"
"41","23","    Current surplus of government enterprises \3\","W153RC1","219.0","248.0","295.0","409.0","318.0","573.0","600.0","594.0","670.0","681.0","592.0","495.0","603.0","1,313.0","1,723.0","1,296.0","1,157.0","338.0","-668.0","-968.0","-700.0","-443.0","-21.0","86.0","-106.0","-709.0","437.0","405.0","-1,954.0","-4,451.0","-4,768.0","-6,320.0","-7,843.0","-8,818.0","-10,399.0","-11,718.0","-13,380.0","-15,490.0","-18,588.0","-19,235.0","-17,652.0","-20,732.0","-19,924.0","-21,497.0","-20,704.0","-21,363.0"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Equals personal consumption expenditures for housing excluding expenditures for group housing as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","shown in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Equals housing national income.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Prior to 1959, subsidies and the current surplus of government enterprises are not shown separately;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
