"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"31","11","  Command-basis net domestic product \4\","C362RX1","4,376,109.0","4,381,796.0","4,406,432.0","4,378,824.0","4,362,094.0","4,364,327.0","4,395,370.0","4,336,923.0","4,466,399.0","4,488,488.0","4,519,032.0","4,526,857.0","4,612,637.0","4,723,339.0","4,764,549.0","4,854,215.0","4,974,276.0","5,011,311.0","4,977,644.0","5,029,014.0","4,933,981.0","4,915,898.0","4,847,963.0","4,822,841.0","4,756,254.0","4,792,247.0","4,885,945.0","4,958,706.0","5,080,370.0","5,117,397.0","5,136,129.0","5,182,681.0","5,233,018.0","5,326,715.0","5,408,548.0","5,427,877.0","5,430,049.0","5,659,774.0","5,708,642.0","5,798,803.0","5,790,855.0","5,782,066.0","5,794,501.0","5,773,315.0","5,742,862.0","5,582,496.0","5,563,492.0","5,683,106.0","5,806,159.0","5,752,862.0","5,835,383.0","5,750,666.0","5,635,588.0","5,670,679.0","5,642,850.0","5,644,818.0","5,737,585.0","5,887,190.0","6,017,205.0","6,164,225.0","6,298,812.0","6,413,809.0","6,482,057.0","6,535,662.0","6,606,921.0","6,661,914.0","6,760,948.0","6,794,312.0","6,851,058.0","6,897,759.0","6,951,998.0","6,971,566.0","7,008,422.0","7,076,386.0","7,131,678.0","7,259,148.0","7,291,654.0","7,390,099.0","7,445,236.0","7,535,595.0","7,612,818.0","7,660,850.0","7,725,941.0","7,728,153.0","7,801,034.0","7,844,042.0","7,816,110.0","7,687,437.0","7,668,507.0","7,751,652.0","7,795,831.0","7,825,832.0","7,917,787.0","8,009,229.0","8,079,804.0","8,169,674.0","8,180,960.0","8,227,081.0","8,280,610.0","8,399,050.0","8,485,954.0","8,604,145.0","8,640,903.0","8,742,489.0","8,761,489.0","8,773,108.0","8,856,115.0","8,922,186.0","8,979,221.0","9,149,974.0","9,217,977.0","9,311,818.0","9,397,339.0","9,549,218.0","9,683,036.0","9,752,150.0","9,864,809.0","9,961,496.0","10,101,614.0","10,275,861.0","10,367,108.0","10,413,780.0","10,517,241.0","10,669,199.0","10,691,274.0","10,896,479.0","10,874,675.0","10,919,333.0","10,867,420.0","10,951,912.0","10,916,310.0","10,962,307.0","11,068,489.0","11,092,462.0","11,140,793.0","11,131,741.0","11,150,574.0","11,288,523.0","11,493,949.0","11,632,002.0","11,677,884.0","11,763,829.0","11,849,468.0","11,921,618.0","12,068,731.0","12,114,684.0","12,181,562.0","12,216,184.0","12,381,734.0","12,402,328.0","12,395,414.0","12,516,122.0","12,515,197.0","12,589,264.0","12,646,747.0","12,619,995.0","12,455,692.0","12,445,647.0","12,323,206.0","12,151,984.0","12,067,106.0","12,011,248.0","12,009,385.0","12,113,274.0","12,158,845.0","12,322,069.0","12,434,759.0","12,513,368.0","12,404,907.0","12,473,793.0","12,516,279.0","12,659,905.0","12,737,582.0","12,819,345.0","12,855,913.0","12,835,585.0","12,904,060.0","12,940,350.0","13,047,524.0","13,175,687.0","13,125,825.0","13,299,420.0","13,454,425.0","13,527,865.0","13,609,046.0","13,776,311.0"
"32","12","  Net domestic product","A362RX1","4,265,243.0","4,273,576.0","4,296,896.0","4,268,687.0","4,253,624.0","4,256,064.0","4,293,277.0","4,237,302.0","4,362,461.0","4,385,838.0","4,419,820.0","4,429,471.0","4,514,849.0","4,627,997.0","4,669,121.0","4,749,326.0","4,873,759.0","4,927,952.0","4,889,080.0","4,933,185.0","4,878,601.0","4,886,207.0","4,824,901.0","4,796,219.0","4,723,261.0","4,759,774.0","4,845,690.0","4,916,013.0","5,039,334.0","5,077,141.0","5,100,305.0","5,137,174.0","5,198,422.0","5,308,378.0","5,408,318.0","5,399,552.0","5,411,815.0","5,646,324.0","5,699,554.0","5,776,902.0","5,778,361.0","5,774,786.0","5,811,684.0","5,818,145.0","5,829,262.0","5,680,598.0","5,660,502.0","5,774,427.0","5,905,770.0","5,845,456.0","5,914,376.0","5,822,549.0","5,696,386.0","5,723,058.0","5,689,095.0","5,686,960.0","5,767,601.0","5,915,010.0","6,042,365.0","6,178,781.0","6,311,783.0","6,429,270.0","6,489,433.0","6,534,821.0","6,594,474.0","6,649,297.0","6,755,202.0","6,799,824.0","6,859,610.0","6,882,220.0","6,949,066.0","6,976,568.0","7,019,045.0","7,097,230.0","7,158,858.0","7,284,128.0","7,318,945.0","7,419,235.0","7,456,106.0","7,558,615.0","7,634,501.0","7,691,472.0","7,745,512.0","7,751,568.0","7,838,129.0","7,861,460.0","7,852,340.0","7,763,216.0","7,710,614.0","7,771,693.0","7,806,453.0","7,837,726.0","7,938,076.0","8,031,825.0","8,113,757.0","8,198,859.0","8,206,106.0","8,252,297.0","8,288,199.0","8,406,380.0","8,491,034.0","8,614,223.0","8,660,253.0","8,761,126.0","8,781,281.0","8,802,061.0","8,874,904.0","8,933,017.0","8,985,737.0","9,152,703.0","9,234,039.0","9,329,586.0","9,393,344.0","9,538,701.0","9,658,760.0","9,723,011.0","9,810,710.0","9,897,881.0","10,025,967.0","10,195,803.0","10,269,158.0","10,339,961.0","10,457,184.0","10,627,669.0","10,667,374.0","10,860,116.0","10,840,007.0","10,886,242.0","10,829,885.0","10,881,431.0","10,825,861.0","10,845,842.0","10,945,386.0","11,000,004.0","11,046,696.0","11,039,746.0","11,092,939.0","11,200,618.0","11,406,382.0","11,546,084.0","11,604,934.0","11,688,032.0","11,794,319.0","11,894,314.0","12,022,652.0","12,076,790.0","12,175,390.0","12,236,234.0","12,388,146.0","12,409,380.0","12,400,943.0","12,494,514.0","12,482,066.0","12,575,248.0","12,656,934.0","12,692,968.0","12,575,198.0","12,633,261.0","12,545,598.0","12,217,444.0","12,008,328.0","11,986,333.0","12,033,249.0","12,173,523.0","12,232,105.0","12,366,929.0","12,459,465.0","12,545,838.0","12,480,504.0","12,581,304.0","12,604,248.0","12,762,682.0","12,852,417.0","12,909,425.0","12,914,922.0","12,905,654.0","12,965,746.0","12,995,555.0","13,096,266.0","13,229,168.0","13,179,306.0","13,341,933.0","13,493,972.0","13,561,329.0","13,572,964.0","13,714,354.0"
"33","13","  Command-basis net national product \4\","C027RX1","4,407,789.0","4,412,200.0","4,435,370.0","4,407,730.0","4,391,859.0","4,395,310.0","4,425,826.0","4,364,605.0","4,499,738.0","4,523,865.0","4,550,885.0","4,560,478.0","4,647,627.0","4,757,841.0","4,802,107.0","4,891,780.0","5,018,124.0","5,058,201.0","5,032,623.0","5,084,661.0","4,998,705.0","4,976,385.0","4,902,700.0","4,869,327.0","4,795,196.0","4,831,543.0","4,929,067.0","5,010,811.0","5,131,202.0","5,170,596.0","5,190,111.0","5,238,165.0","5,296,328.0","5,388,945.0","5,470,266.0","5,482,419.0","5,493,230.0","5,712,387.0","5,766,284.0","5,865,391.0","5,859,090.0","5,858,379.0","5,885,710.0","5,863,357.0","5,834,056.0","5,666,442.0","5,642,385.0","5,746,797.0","5,874,486.0","5,817,072.0","5,904,287.0","5,828,579.0","5,709,233.0","5,753,562.0","5,712,764.0","5,712,081.0","5,804,287.0","5,958,642.0","6,090,028.0","6,240,063.0","6,368,816.0","6,484,091.0","6,551,471.0","6,597,027.0","6,653,850.0","6,712,122.0","6,801,477.0","6,840,096.0","6,890,476.0","6,925,314.0","6,984,139.0","6,992,631.0","7,033,431.0","7,107,680.0","7,162,084.0","7,292,567.0","7,333,744.0","7,428,143.0","7,478,518.0","7,572,643.0","7,649,010.0","7,695,438.0","7,764,496.0","7,776,649.0","7,846,883.0","7,892,739.0","7,857,407.0","7,763,266.0","7,727,402.0","7,794,094.0","7,832,893.0","7,874,550.0","7,965,488.0","8,055,592.0","8,121,773.0","8,212,936.0","8,234,926.0","8,271,490.0","8,332,605.0","8,429,068.0","8,525,248.0","8,637,016.0","8,671,388.0","8,771,511.0","8,803,151.0","8,818,302.0","8,882,566.0","8,964,168.0","9,030,081.0","9,189,700.0","9,253,317.0","9,354,232.0","9,428,638.0","9,590,271.0","9,714,071.0","9,774,369.0","9,898,753.0","9,991,695.0","10,115,022.0","10,292,645.0","10,395,422.0","10,448,679.0","10,548,335.0","10,712,623.0","10,729,755.0","10,938,505.0","10,910,747.0","10,985,513.0","10,916,669.0","11,012,138.0","10,948,764.0","11,071,285.0","11,130,110.0","11,131,354.0","11,196,486.0","11,207,193.0","11,209,177.0","11,363,217.0","11,568,282.0","11,736,674.0","11,802,540.0","11,859,015.0","11,956,046.0","11,998,728.0","12,182,737.0","12,215,600.0","12,292,818.0","12,295,179.0","12,462,485.0","12,477,037.0","12,455,573.0","12,587,311.0","12,586,737.0","12,683,028.0","12,799,146.0","12,818,611.0","12,637,644.0","12,629,938.0","12,523,138.0","12,272,998.0","12,196,258.0","12,136,309.0","12,188,567.0","12,283,678.0","12,359,921.0","12,524,238.0","12,630,695.0","12,723,278.0","12,625,663.0","12,695,209.0","12,759,950.0","12,918,512.0","12,975,089.0","13,037,530.0","13,078,641.0","13,051,144.0","13,109,996.0","13,170,314.0","13,292,059.0","13,424,166.0","13,363,776.0","13,534,582.0","13,702,276.0","13,769,271.0","13,817,434.0","13,986,580.0"
"34","14","  Net national product","A027RX1","4,304,802.0","4,311,929.0","4,333,856.0","4,305,586.0","4,291,303.0","4,294,803.0","4,331,613.0","4,272,841.0","4,403,604.0","4,428,920.0","4,459,443.0","4,470,902.0","4,557,924.0","4,670,684.0","4,714,865.0","4,794,960.0","4,925,553.0","4,982,811.0","4,951,819.0","4,996,399.0","4,951,563.0","4,955,611.0","4,888,523.0","4,851,830.0","4,770,767.0","4,807,636.0","4,897,089.0","4,976,253.0","5,098,140.0","5,138,081.0","5,161,823.0","5,200,086.0","5,269,527.0","5,378,303.0","5,477,720.0","5,461,827.0","5,482,959.0","5,706,851.0","5,765,144.0","5,851,420.0","5,854,551.0","5,859,432.0","5,911,666.0","5,917,447.0","5,930,287.0","5,774,234.0","5,749,040.0","5,847,624.0","5,983,572.0","5,919,036.0","5,992,241.0","5,909,202.0","5,778,573.0","5,814,631.0","5,767,569.0","5,762,720.0","5,842,667.0","5,994,729.0","6,123,649.0","6,263,034.0","6,390,336.0","6,508,337.0","6,567,830.0","6,605,354.0","6,650,984.0","6,708,425.0","6,804,983.0","6,854,740.0","6,908,601.0","6,918,838.0","6,989,539.0","7,005,655.0","7,051,219.0","7,135,468.0","7,196,043.0","7,324,332.0","7,367,932.0","7,464,189.0","7,496,180.0","7,602,383.0","7,677,210.0","7,732,379.0","7,790,194.0","7,805,947.0","7,889,653.0","7,915,410.0","7,898,348.0","7,843,335.0","7,772,937.0","7,817,138.0","7,846,368.0","7,889,323.0","7,988,931.0","8,081,619.0","8,159,414.0","8,245,968.0","8,263,810.0","8,300,545.0","8,344,211.0","8,440,522.0","8,534,722.0","8,651,581.0","8,695,115.0","8,794,326.0","8,826,795.0","8,850,836.0","8,904,694.0","8,978,271.0","9,039,859.0","9,195,751.0","9,272,727.0","9,375,400.0","9,428,056.0","9,583,225.0","9,693,295.0","9,748,682.0","9,847,950.0","9,931,255.0","10,042,515.0","10,215,528.0","10,300,111.0","10,377,372.0","10,490,868.0","10,673,826.0","10,708,673.0","10,905,170.0","10,879,297.0","10,955,631.0","10,882,192.0","10,944,465.0","10,861,199.0","10,956,965.0","11,009,710.0","11,041,848.0","11,105,212.0","11,117,827.0","11,154,295.0","11,278,019.0","11,483,527.0","11,653,441.0","11,732,247.0","11,786,050.0","11,903,667.0","11,974,275.0","12,139,277.0","12,180,356.0","12,289,267.0","12,317,781.0","12,471,592.0","12,486,831.0","12,463,870.0","12,568,351.0","12,556,196.0","12,671,603.0","12,812,120.0","12,894,782.0","12,760,275.0","12,820,583.0","12,748,543.0","12,340,038.0","12,137,528.0","12,111,387.0","12,212,491.0","12,344,218.0","12,417,271.0","12,553,835.0","12,640,291.0","12,740,498.0","12,685,610.0","12,786,713.0","12,832,028.0","13,005,401.0","13,073,781.0","13,111,297.0","13,121,507.0","13,105,330.0","13,155,624.0","13,209,081.0","13,324,229.0","13,461,255.0","13,401,344.0","13,561,245.0","13,726,059.0","13,787,407.0","13,766,963.0","13,910,452.0"
"35",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","    Trading gains index \5\","W368RG3","102.562","102.548","102.583","102.571","102.508","102.552","102.408","102.371","102.395","102.387","102.293","102.247","102.315","102.212","102.144","102.145","102.137","101.929","101.996","101.849","101.282","100.684","100.719","100.878","100.992","100.940","101.068","101.100","101.092","101.061","100.967","101.032","100.836","100.726","100.588","100.556","100.576","100.574","100.571","100.690","100.595","100.484","100.026","99.584","99.057","98.842","98.850","99.008","98.999","98.988","99.264","99.279","99.367","99.528","99.585","99.623","99.852","99.892","99.934","100.076","100.074","100.085","100.206","100.264","100.446","100.392","100.363","100.179","100.138","100.411","100.319","100.269","100.063","99.927","99.867","99.853","99.816","99.823","100.062","99.981","99.919","99.837","99.972","99.899","99.762","99.974","99.776","99.357","99.716","99.950","100.041","100.015","99.954","99.927","99.800","99.869","99.945","99.940","100.032","100.077","100.134","100.078","99.948","99.975","99.994","99.914","99.967","100.028","100.039","100.072","100.119","100.020","100.087","100.338","100.392","100.443","100.640","100.737","100.818","100.793","100.810","100.681","100.557","100.431","100.270","100.346","100.321","100.299","100.361","100.603","100.760","100.972","100.978","100.782","100.785","100.757","100.496","100.704","100.684","100.706","100.581","100.529","100.443","100.259","100.366","100.275","100.065","99.906","99.969","99.988","99.994","100.192","100.255","100.137","99.956","99.526","99.196","98.696","98.446","99.541","100.398","100.171","99.843","99.592","99.479","99.691","99.826","99.770","99.488","99.292","99.400","99.304","99.233","99.386","99.638","99.529","99.556","99.630","99.698","99.686","99.663","99.735","99.748","99.796","100.228","100.379"
"37","16","    Terms of trade index \6\","W369RG3","148.773","148.380","149.328","148.908","147.224","148.400","144.552","143.641","144.189","144.043","141.642","140.427","142.172","139.674","137.984","138.051","137.906","133.573","134.883","131.819","121.711","112.940","113.483","115.576","116.976","116.332","118.626","119.167","118.952","118.438","117.031","117.913","115.217","113.772","111.730","111.129","111.438","111.514","111.486","113.158","112.112","110.909","105.627","100.888","95.864","93.779","93.800","95.307","95.242","95.090","97.789","97.898","98.776","100.464","100.943","101.130","103.738","104.113","104.495","106.192","106.008","106.097","106.920","107.087","108.519","107.623","106.843","104.541","103.800","106.547","105.212","104.741","102.495","101.342","100.620","100.717","100.458","100.758","103.115","102.097","101.447","100.496","101.635","100.789","99.352","101.327","99.375","95.510","98.767","100.986","101.823","101.535","100.894","100.600","99.326","99.949","100.674","100.600","101.431","101.800","102.317","101.763","100.554","100.803","101.045","100.398","100.779","101.221","101.237","101.441","101.717","100.721","101.218","103.306","103.730","104.090","105.650","106.377","106.886","106.530","106.521","105.343","104.292","103.300","102.075","102.724","102.493","102.226","102.478","104.037","105.107","106.550","106.409","104.779","104.909","104.570","102.618","104.253","103.990","104.231","103.384","103.198","102.516","101.319","102.396","101.771","100.263","99.174","99.593","99.929","100.191","101.383","101.708","101.102","100.024","97.614","95.858","93.613","92.459","97.344","102.746","101.108","98.927","97.468","96.886","98.459","99.310","99.333","97.954","97.059","97.679","96.857","96.481","97.343","98.724","98.057","98.208","98.477","98.830","98.686","98.611","98.951","98.917","98.887","101.161","102.015"
"38","17","      Terms of trade, goods \7\","W370RG3","166.873","165.751","167.110","166.145","165.222","167.046","160.656","158.952","160.886","161.086","157.652","156.848","155.136","151.638","149.605","150.614","152.020","147.827","150.823","147.290","133.830","122.602","123.350","126.594","128.538","127.644","130.621","131.546","130.698","129.759","128.017","129.249","125.917","124.005","121.282","120.440","120.787","121.076","121.431","123.947","123.076","121.825","115.289","109.294","103.227","100.357","100.573","102.305","101.876","101.359","104.470","104.526","105.411","106.700","106.348","106.134","108.940","109.307","109.681","111.955","112.153","111.964","111.800","110.830","112.051","111.328","110.509","107.936","107.469","111.122","109.522","109.077","105.790","104.602","103.864","104.358","104.613","105.357","108.370","106.916","105.604","104.058","105.243","104.175","102.354","105.121","102.642","97.821","101.802","104.077","104.840","104.398","103.613","103.148","101.799","102.063","102.811","102.723","103.496","103.886","104.604","103.851","102.692","103.180","103.282","102.851","103.321","103.673","103.342","103.642","103.730","102.194","102.784","105.138","105.398","105.558","106.999","107.946","108.498","108.265","108.243","106.901","105.775","104.600","102.752","103.229","102.770","102.408","102.756","104.590","105.918","107.618","107.541","105.696","106.183","105.670","103.453","106.153","105.607","105.913","104.874","104.810","103.996","102.472","102.817","102.174","100.223","98.743","99.252","99.735","100.059","101.631","101.762","101.213","100.019","97.215","95.190","93.255","91.824","96.705","102.975","101.467","98.790","97.096","96.332","98.199","99.284","99.781","98.125","97.113","97.627","96.385","95.849","96.691","98.411","97.482","97.516","97.631","97.912","97.689","97.611","97.805","97.471","97.020","99.248","100.164"
"39","18","      Terms of trade, nonpetroleum goods \8\","W371RG3","116.310","115.494","116.264","115.300","114.683","115.855","111.297","110.269","111.653","112.058","109.833","109.174","107.756","105.287","103.704","104.331","105.292","102.090","104.978","105.639","109.422","104.146","102.827","103.884","104.570","103.431","106.651","108.428","108.465","107.272","105.359","106.748","104.213","102.285","99.518","98.798","98.170","97.482","97.337","98.953","98.504","100.895","102.074","98.797","97.036","96.522","96.294","98.466","100.128","100.880","102.483","101.584","102.140","102.472","103.182","102.869","103.090","103.529","104.531","106.454","106.540","106.441","106.213","105.337","106.442","105.912","104.287","101.708","98.038","96.241","93.523","94.026","92.899","92.684","92.423","92.056","90.941","91.349","93.452","91.292","91.570","91.863","92.145","91.715","91.139","91.427","91.449","91.225","90.711","91.236","91.374","90.968","89.926","90.439","89.437","88.955","89.894","89.647","89.347","88.941","89.436","89.340","88.991","88.844","89.597","89.432","89.290","89.598","90.225","91.299","91.608","91.229","91.800","92.384","92.433","92.510","92.720","92.873","92.899","92.579","92.428","92.970","93.331","93.630","93.786","93.944","93.949","94.109","93.489","94.474","95.335","95.430","95.591","95.694","96.368","96.497","96.445","96.869","96.534","97.358","97.613","98.208","98.138","98.395","98.780","99.136","99.348","98.739","100.056","101.581","101.905","101.691","102.145","102.856","102.849","103.338","103.778","104.081","104.160","98.964","98.361","99.937","100.725","100.973","101.291","102.321","102.813","104.989","106.279","107.251","107.256","106.246","106.938","106.841","107.174","107.039","107.135","106.353","107.367","106.935","106.705","106.651","105.988","103.757","101.690","102.240"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. This measure is called 'real gross domestic income' in the System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called 'real gross national income' in the System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Ratio (multiplied by 100) of price index for gross domestic product to the price index for gross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
