"","Table 1#1#5# Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"31","12","      Intellectual property products","Y001RC1","16,509.0","17,006.0","17,356.0","17,738.0","17,906.0","17,946.0","18,014.0","17,917.0","18,135.0","18,457.0","18,810.0","19,315.0","19,922.0","20,425.0","20,763.0","21,196.0","21,704.0","22,327.0","22,964.0","23,735.0","24,389.0","25,111.0","25,983.0","26,583.0","26,943.0","27,285.0","28,006.0","29,009.0","30,381.0","31,638.0","32,846.0","33,897.0","34,544.0","35,478.0","36,247.0","36,997.0","37,792.0","39,408.0","41,062.0","43,166.0","45,388.0","47,239.0","49,077.0","50,575.0","52,314.0","53,275.0","54,707.0","57,119.0","61,050.0","63,533.0","65,759.0","68,744.0","70,635.0","72,185.0","73,505.0","74,378.0","76,433.0","79,362.0","82,912.0","86,656.0","90,132.0","93,519.0","96,774.0","99,770.0","101,932.0","104,309.0","106,125.0","108,941.0","111,074.0","112,985.0","114,325.0","115,781.0","117,025.0","118,610.0","120,812.0","124,016.0","127,274.0","130,383.0","133,732.0","139,305.0","143,479.0","147,743.0","152,392.0","156,855.0","160,338.0","163,856.0","165,147.0","168,366.0","173,631.0","178,749.0","180,091.0","184,057.0","184,177.0","186,512.0","187,906.0","192,098.0","194,361.0","196,693.0","197,453.0","199,143.0","200,803.0","203,235.0","207,396.0","211,380.0","217,837.0","223,841.0","230,356.0","235,331.0","243,299.0","249,989.0","256,759.0","263,176.0","276,668.0","284,245.0","292,319.0","298,606.0","305,262.0","312,072.0","321,630.0","331,662.0","342,271.0","357,861.0","372,404.0","383,620.0","397,935.0","407,279.0","413,551.0","419,441.0","421,496.0","416,427.0","409,394.0","403,126.0","401,895.0","405,628.0","410,587.0","407,314.0","410,839.0","416,120.0","425,857.0","430,859.0","432,628.0","435,446.0","445,675.0","454,847.0","464,814.0","474,689.0","480,256.0","480,757.0","489,064.0","497,747.0","510,457.0","521,004.0","529,746.0","534,080.0","537,643.0","550,174.0","562,493.0","568,047.0","565,521.0","557,624.0","545,298.0","547,971.0","548,485.0","561,939.0","559,238.0","558,260.0","565,118.0","574,799.0","580,926.0","587,530.0","595,709.0","604,632.0","611,410.0","619,696.0","623,563.0","632,276.0","644,776.0","642,715.0","652,199.0","659,961.0","673,556.0","682,849.0","696,253.0","707,151.0","717,845.0","729,592.0"
"32","13","    Residential","A011RC1","44,906.0","45,130.0","44,962.0","42,503.0","42,493.0","41,365.0","42,566.0","47,218.0","50,960.0","56,974.0","60,680.0","63,995.0","69,155.0","70,824.0","72,360.0","77,256.0","80,925.0","78,708.0","77,931.0","75,722.0","72,438.0","71,157.0","70,948.0","63,324.0","61,197.0","63,959.0","68,772.0","73,005.0","80,441.0","84,846.0","84,874.0","96,888.0","102,214.0","116,485.0","119,983.0","122,236.0","126,921.0","136,977.0","142,301.0","145,840.0","145,261.0","147,624.0","150,488.0","147,991.0","140,171.0","116,864.0","123,210.0","137,835.0","137,601.0","135,265.0","126,228.0","114,834.0","109,701.0","107,718.0","108,433.0","117,540.0","138,474.0","155,000.0","171,101.0","179,877.0","186,425.0","191,299.0","190,872.0","192,860.0","194,219.0","196,306.0","201,422.0","208,359.0","219,534.0","234,558.0","240,887.0","244,268.0","246,671.0","249,693.0","249,970.0","252,825.0","250,115.0","255,511.0","257,496.0","261,681.0","260,884.0","255,792.0","255,498.0","251,883.0","256,004.0","246,895.0","234,507.0","221,269.0","210,289.0","217,788.0","226,483.0","230,055.0","242,362.0","253,158.0","255,114.0","268,331.0","271,401.0","278,005.0","290,939.0","306,888.0","315,597.0","327,929.0","326,427.0","325,435.0","321,786.0","313,451.0","326,393.0","334,646.0","344,725.0","361,399.0","364,315.0","361,807.0","365,360.0","372,277.0","378,952.0","385,753.0","394,846.0","411,331.0","427,551.0","441,502.0","447,363.0","459,271.0","466,625.0","473,805.0","484,243.0","486,613.0","483,080.0","487,792.0","496,707.0","510,994.0","522,430.0","522,050.0","538,333.0","554,846.0","558,883.0","578,317.0","601,373.0","611,873.0","651,610.0","682,921.0","706,034.0","743,065.0","763,428.0","786,155.0","815,133.0","843,708.0","875,541.0","889,858.0","895,856.0","858,701.0","813,742.0","781,256.0","749,332.0","717,309.0","671,721.0","616,353.0","565,534.0","538,432.0","507,364.0","452,078.0","405,463.0","376,306.0","392,014.0","395,188.0","383,090.0","400,804.0","365,618.0","374,741.0","374,822.0","381,127.0","388,623.0","399,587.0","423,813.0","429,356.0","444,137.0","471,687.0","489,637.0","507,087.0","520,011.0","518,954.0","526,449.0","540,939.0","554,834.0","574,578.0","587,964.0","600,003.0"
"33","14","  Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,397.0","15,663.0","-7,019.0","-12,759.0","27,973.0","16,524.0","1,017.0","63,082.0","16,956.0","19,648.0","18,181.0","19,144.0","48,137.0","36,257.0","9,826.0","16,553.0","13,954.0","33,700.0","21,866.0","-11,335.0","-15,520.0","-18,033.0","843.0","31,133.0","246.0","23,209.0","20,512.0","21,344.0","35,940.0","24,104.0","6,598.0","16,612.0","45,362.0","81,411.0","53,223.0","75,142.0","61,179.0","33,759.0","11,326.0","18,431.0","6,881.0","30,521.0","51,070.0","34,725.0","49,758.0","88,388.0","67,948.0","77,664.0","105,100.0","37,340.0","52,419.0","60,017.0","83,394.0","35,112.0","40,517.0","84,241.0","16,157.0","90,443.0","57,233.0","54,343.0","-30,631.0","-11,560.0","-30,115.0","-80,829.0","-214.0","19,120.0","25,293.0","29,803.0","31,004.0","-388.0","8,127.0","38,401.0","48,870.0","76,235.0","62,284.0","68,049.0","99,504.0","30,626.0","17,940.0","90,249.0","74,424.0","77,285.0","77,091.0","39,089.0","20,161.0","47,064.0","48,646.0","21,935.0","-20,136.0","-23,919.0","-18,779.0","-65,148.0","-145,621.0","-187,921.0","-205,932.0","-50,805.0","12,060.0","50,115.0","121,544.0","62,398.0","26,273.0","63,038.0","-14,912.0","92,649.0","65,439.0","89,253.0","74,069.0","18,413.0","36,509.0","48,699.0","105,560.0","96,400.0","42,743.0","88,927.0","88,336.0","88,505.0","127,253.0","127,529.0"
"34","15","Net exports of goods and services","A019RC1","171.0","1,244.0","976.0","3,333.0","3,396.0","5,385.0","3,843.0","3,169.0","4,422.0","-192.0","-89.0","-1,657.0","-3,534.0","-4,257.0","-2,638.0","-3,061.0","-1,401.0","2,454.0","6,438.0","8,951.0","6,395.0","-2,714.0","-6,972.0","33.0","16,481.0","21,582.0","12,043.0","13,801.0","4,650.0","-495.0","-4,073.0","-6,603.0","-21,079.0","-21,135.0","-20,578.0","-29,584.0","-38,683.0","-22,624.0","-23,760.0","-16,401.0","-18,158.0","-22,191.0","-23,029.0","-26,801.0","-35,804.0","-15,209.0","5,472.0","-6,683.0","-14,256.0","-13,509.0","-7,560.0","-14,753.0","-16,275.0","-4,387.0","-29,648.0","-29,585.0","-24,549.0","-45,435.0","-65,200.0","-71,383.0","-95,005.0","-104,298.0","-103,845.0","-107,756.0","-91,300.0","-114,445.0","-116,894.0","-133,434.0","-126,013.0","-128,871.0","-138,958.0","-133,626.0","-141,236.0","-146,978.0","-145,463.0","-145,406.0","-123,985.0","-106,626.0","-99,263.0","-107,695.0","-100,965.0","-88,160.0","-75,075.0","-82,765.0","-88,532.0","-68,833.0","-74,953.0","-79,096.0","-47,140.0","-23,188.0","-21,073.0","-23,054.0","-20,540.0","-32,788.0","-38,488.0","-47,139.0","-55,707.0","-63,187.0","-68,354.0","-73,449.0","-80,596.0","-90,572.0","-96,868.0","-101,910.0","-105,326.0","-109,492.0","-74,444.0","-69,779.0","-88,795.0","-93,705.0","-114,180.0","-88,823.0","-108,839.0","-85,201.0","-96,831.0","-117,010.0","-135,215.0","-162,327.0","-174,638.0","-178,660.0","-208,515.0","-245,428.0","-276,106.0","-296,475.0","-352,760.0","-359,587.0","-388,487.0","-402,351.0","-391,688.0","-359,331.0","-366,666.0","-357,048.0","-375,263.0","-415,978.0","-431,634.0","-482,967.0","-501,593.0","-501,364.0","-499,917.0","-511,744.0","-546,643.0","-608,021.0","-637,979.0","-684,036.0","-676,782.0","-689,086.0","-731,395.0","-787,480.0","-777,220.0","-781,568.0","-805,590.0","-719,401.0","-728,479.0","-732,975.0","-712,113.0","-700,597.0","-756,759.0","-759,427.0","-773,628.0","-602,442.0","-393,864.0","-341,722.0","-405,562.0","-440,601.0","-488,704.0","-523,229.0","-535,014.0","-503,682.0","-562,477.0","-586,949.0","-572,402.0","-598,149.0","-614,716.0","-580,908.0","-535,180.0","-531,843.0","-529,200.0","-527,753.0","-512,392.0","-464,253.0","-529,378.0","-530,876.0","-514,553.0","-545,174.0","-551,596.0","-519,311.0"
"35","16","  Exports","B020RC1","43,974.0","53,915.0","53,340.0","56,459.0","56,913.0","60,589.0","60,274.0","61,058.0","63,074.0","63,103.0","65,393.0","60,282.0","68,639.0","67,152.0","71,453.0","76,129.0","83,959.0","91,923.0","97,576.0","107,620.0","116,709.0","126,668.0","126,638.0","136,585.0","141,369.0","136,827.0","134,098.0","142,531.0","143,588.0","146,621.0","151,775.0","156,076.0","155,354.0","161,906.0","162,325.0","157,809.0","164,599.0","186,216.0","191,302.0","205,415.0","211,669.0","220,906.0","234,278.0","253,665.0","268,508.0","277,389.0","284,673.0","292,517.0","305,468.0","308,454.0","302,337.0","304,694.0","293,202.0","294,728.0","279,634.0","265,275.0","270,701.0","272,515.0","278,181.0","286,588.0","292,973.0","302,201.0","305,745.0","308,605.0","306,008.0","304,126.0","297,273.0","305,434.0","313,405.0","315,119.0","320,476.0","335,000.0","336,450.0","355,360.0","371,855.0","392,107.0","418,728.0","439,472.0","453,586.0","466,619.0","485,189.0","507,229.0","509,352.0","515,387.0","538,235.0","545,926.0","555,149.0","568,186.0","573,177.0","590,733.0","600,596.0","615,216.0","625,283.0","626,163.0","639,365.0","641,397.0","643,603.0","653,094.0","650,897.0","671,600.0","681,231.0","706,988.0","736,883.0","758,649.0","781,573.0","798,851.0","831,399.0","839,422.0","847,940.0","859,046.0","859,577.0","903,797.0","918,374.0","954,450.0","974,057.0","968,334.0","963,021.0","947,295.0","935,263.0","966,340.0","961,573.0","972,753.0","1,002,420.0","1,031,175.0","1,054,005.0","1,092,723.0","1,125,202.0","1,115,402.0","1,096,683.0","1,054,592.0","998,510.0","957,053.0","973,326.0","1,007,493.0","1,021,602.0","1,007,614.0","1,011,490.0","1,012,331.0","1,042,523.0","1,094,772.0","1,141,286.0","1,172,310.0","1,185,987.0","1,226,443.0","1,268,200.0","1,300,133.0","1,310,884.0","1,356,376.0","1,417,188.0","1,463,415.0","1,480,136.0","1,544,523.0","1,580,470.0","1,625,070.0","1,687,522.0","1,765,432.0","1,814,612.0","1,920,458.0","1,923,587.0","1,709,112.0","1,519,493.0","1,522,743.0","1,596,440.0","1,712,284.0","1,753,227.0","1,814,026.0","1,869,845.0","1,972,239.0","2,033,325.0","2,108,323.0","2,142,856.0","2,140,977.0","2,169,572.0","2,199,803.0","2,209,354.0","2,214,000.0","2,226,557.0","2,237,611.0","2,264,340.0","2,324,507.0","2,301,467.0","2,356,158.0","2,360,641.0","2,349,464.0","2,257,342.0","2,280,023.0"
"36","17","    Goods","A253RC1","32,063.0","40,446.0","39,960.0","42,508.0","43,416.0","45,576.0","45,274.0","45,881.0","46,517.0","46,369.0","49,021.0","42,877.0","50,440.0","49,696.0","52,520.0","57,688.0","65,224.0","72,560.0","77,236.0","88,064.0","95,116.0","103,536.0","103,664.0","111,660.0","114,936.0","108,464.0","109,792.0","116,768.0","117,016.0","119,084.0","122,700.0","127,136.0","126,324.0","131,340.0","130,636.0","125,340.0","129,843.0","150,607.0","153,627.0","165,550.0","170,867.0","178,907.0","191,254.0","208,037.0","221,979.0","227,700.0","232,517.0","239,515.0","247,245.0","248,749.0","241,700.0","243,129.0","232,306.0","233,876.0","218,518.0","205,501.0","209,692.0","209,101.0","214,318.0","223,084.0","224,343.0","229,958.0","234,401.0","236,443.0","232,102.0","228,745.0","222,171.0","226,936.0","224,488.0","227,868.0","229,819.0","243,612.0","242,984.0","258,805.0","272,080.0","288,348.0","311,241.0","328,499.0","338,687.0","349,792.0","360,484.0","379,590.0","379,039.0","379,887.0","396,228.0","400,633.0","406,337.0","409,862.0","420,656.0","427,097.0","431,630.0","441,158.0","449,682.0","448,789.0","460,554.0","462,207.0","460,366.0","466,912.0","462,555.0","481,060.0","484,124.0","505,253.0","533,801.0","550,305.0","571,566.0","583,183.0","605,751.0","609,266.0","617,146.0","621,187.0","626,468.0","650,337.0","668,863.0","700,974.0","717,535.0","712,176.0","708,166.0","683,706.0","676,575.0","701,814.0","688,061.0","697,300.0","717,130.0","744,398.0","762,212.0","791,320.0","822,784.0","812,699.0","799,304.0","763,955.0","717,838.0","694,236.0","690,509.0","718,302.0","729,829.0","714,006.0","722,810.0","724,613.0","739,626.0","778,628.0","803,238.0","829,115.0","840,593.0","864,586.0","890,358.0","924,982.0","929,006.0","961,978.0","1,010,027.0","1,040,622.0","1,056,951.0","1,090,674.0","1,111,529.0","1,142,225.0","1,182,860.0","1,229,065.0","1,280,442.0","1,365,182.0","1,375,816.0","1,173,774.0","1,012,084.0","1,010,910.0","1,074,200.0","1,163,272.0","1,208,680.0","1,256,434.0","1,287,987.0","1,365,267.0","1,415,987.0","1,467,674.0","1,487,761.0","1,496,022.0","1,511,186.0","1,529,971.0","1,537,672.0","1,525,166.0","1,529,836.0","1,541,296.0","1,560,791.0","1,611,750.0","1,585,504.0","1,627,984.0","1,641,922.0","1,616,545.0","1,517,508.0","1,535,529.0"
"37","18","    Services","A646RC1","11,911.0","13,469.0","13,380.0","13,951.0","13,497.0","15,013.0","15,000.0","15,177.0","16,557.0","16,734.0","16,372.0","17,405.0","18,199.0","17,456.0","18,933.0","18,441.0","18,735.0","19,363.0","20,340.0","19,556.0","21,593.0","23,132.0","22,974.0","24,925.0","26,433.0","28,363.0","24,306.0","25,763.0","26,572.0","27,537.0","29,075.0","28,940.0","29,030.0","30,566.0","31,689.0","32,469.0","34,756.0","35,609.0","37,675.0","39,865.0","40,802.0","41,999.0","43,024.0","45,628.0","46,529.0","49,689.0","52,156.0","53,002.0","58,223.0","59,705.0","60,637.0","61,565.0","60,896.0","60,852.0","61,116.0","59,774.0","61,009.0","63,414.0","63,863.0","63,504.0","68,630.0","72,243.0","71,344.0","72,162.0","73,906.0","75,381.0","75,102.0","78,498.0","88,917.0","87,251.0","90,657.0","91,388.0","93,466.0","96,555.0","99,775.0","103,759.0","107,487.0","110,973.0","114,899.0","116,827.0","124,705.0","127,639.0","130,313.0","135,500.0","142,007.0","145,293.0","148,812.0","158,324.0","152,521.0","163,636.0","168,966.0","174,058.0","175,601.0","177,374.0","178,811.0","179,190.0","183,237.0","186,182.0","188,342.0","190,540.0","197,107.0","201,735.0","203,082.0","208,344.0","210,007.0","215,668.0","225,648.0","230,156.0","230,794.0","237,859.0","233,109.0","253,460.0","249,511.0","253,476.0","256,522.0","256,158.0","254,855.0","263,589.0","258,688.0","264,526.0","273,512.0","275,453.0","285,290.0","286,777.0","291,793.0","301,403.0","302,418.0","302,703.0","297,379.0","290,637.0","280,672.0","262,817.0","282,817.0","289,191.0","291,773.0","293,608.0","288,680.0","287,718.0","302,897.0","316,144.0","338,048.0","343,195.0","345,394.0","361,857.0","377,842.0","375,151.0","381,878.0","394,398.0","407,161.0","422,793.0","423,185.0","453,849.0","468,941.0","482,845.0","504,662.0","536,367.0","534,170.0","555,276.0","547,771.0","535,338.0","507,409.0","511,833.0","522,240.0","549,012.0","544,547.0","557,592.0","581,858.0","606,972.0","617,338.0","640,649.0","655,095.0","644,955.0","658,386.0","669,832.0","671,682.0","688,834.0","696,721.0","696,315.0","703,549.0","712,756.0","715,963.0","728,175.0","718,719.0","732,919.0","739,834.0","744,494.0"
"38","19","  Imports","B021RC1","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,088.0","1,218,181.0","1,278,526.0","1,327,650.0","1,406,765.0","1,452,310.0","1,513,689.0","1,517,753.0","1,488,371.0","1,413,923.0","1,365,176.0","1,314,101.0","1,348,589.0","1,423,471.0","1,453,236.0","1,490,581.0","1,513,083.0","1,513,695.0","1,542,440.0","1,606,516.0","1,687,929.0","1,780,331.0","1,823,966.0","1,910,479.0","1,944,982.0","1,989,219.0","2,042,279.0","2,143,856.0","2,194,408.0","2,244,983.0","2,285,726.0","2,263,924.0","2,308,949.0","2,358,045.0","2,399,635.0","2,466,029.0","2,571,371.0","2,679,885.0","2,697,215.0","2,311,554.0","1,913,357.0","1,864,465.0","2,002,002.0","2,152,885.0","2,241,931.0","2,337,255.0","2,404,859.0","2,475,921.0","2,595,802.0","2,695,272.0","2,715,258.0","2,739,126.0","2,784,288.0","2,780,712.0","2,744,535.0","2,745,842.0","2,755,757.0","2,765,364.0","2,776,731.0","2,788,760.0","2,830,845.0","2,887,035.0","2,875,194.0","2,894,637.0","2,808,938.0","2,799,335.0"
"39","20","    Goods","A255RC1","30,772.0","39,116.0","38,536.0","38,828.0","39,348.0","40,068.0","41,180.0","42,824.0","43,376.0","47,440.0","49,640.0","45,744.0","55,092.0","54,092.0","57,288.0","61,264.0","66,460.0","70,040.0","72,100.0","78,772.0","88,832.0","106,388.0","110,600.0","112,260.0","100,936.0","92,264.0","98,772.0","104,028.0","113,540.0","121,324.0","128,920.0","134,744.0","147,624.0","153,150.0","153,170.0","156,572.0","170,334.0","175,133.0","179,406.0","184,766.0","192,181.0","204,075.0","216,775.0","238,116.0","259,655.0","248,467.0","234,146.0","252,012.0","270,185.0","271,773.0","260,492.0","268,806.0","257,623.0","245,844.0","257,204.0","241,495.0","242,508.0","262,761.0","285,851.0","299,589.0","322,454.0","337,923.0","339,856.0","345,030.0","325,388.0","344,425.0","340,520.0","362,845.0","357,705.0","365,100.0","374,759.0","382,460.0","389,537.0","409,063.0","422,798.0","437,679.0","441,486.0","445,679.0","451,121.0","470,214.0","481,986.0","490,713.0","477,447.0","489,020.0","510,376.0","495,803.0","506,283.0","519,820.0","496,967.0","491,023.0","500,436.0","514,455.0","523,470.0","537,882.0","553,860.0","564,495.0","575,865.0","590,145.0","592,109.0","612,924.0","627,223.0","662,022.0","695,660.0","722,344.0","745,464.0","764,255.0","759,719.0","760,356.0","784,526.0","798,397.0","814,409.0","832,459.0","861,459.0","871,959.0","898,369.0","910,830.0","920,800.0","926,876.0","922,498.0","952,829.0","978,495.0","1,024,545.0","1,078,344.0","1,123,452.0","1,194,187.0","1,232,376.0","1,284,123.0","1,295,208.0","1,265,200.0","1,189,600.0","1,145,838.0","1,106,132.0","1,123,573.0","1,197,710.0","1,225,338.0","1,250,715.0","1,275,085.0","1,278,603.0","1,288,030.0","1,343,051.0","1,409,992.0","1,493,470.0","1,533,097.0","1,609,694.0","1,641,999.0","1,682,209.0","1,729,122.0","1,824,160.0","1,855,935.0","1,900,192.0","1,941,560.0","1,900,937.0","1,942,452.0","1,981,866.0","2,015,108.0","2,075,651.0","2,165,223.0","2,264,918.0","2,273,738.0","1,893,629.0","1,524,334.0","1,478,731.0","1,609,001.0","1,749,109.0","1,838,571.0","1,928,650.0","1,984,152.0","2,047,881.0","2,172,471.0","2,251,745.0","2,263,593.0","2,291,113.0","2,331,375.0","2,322,676.0","2,284,654.0","2,284,593.0","2,294,369.0","2,297,116.0","2,306,252.0","2,309,771.0","2,357,575.0","2,403,763.0","2,392,719.0","2,399,996.0","2,311,728.0","2,299,874.0"
"40","21","    Services","B656RC1","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","191,593.0","193,636.0","200,182.0","204,198.0","212,578.0","219,934.0","229,566.0","222,545.0","223,171.0","224,323.0","219,338.0","207,969.0","225,016.0","225,761.0","227,898.0","239,866.0","237,998.0","235,092.0","254,410.0","263,465.0","277,937.0","286,861.0","290,869.0","300,785.0","302,983.0","307,010.0","313,157.0","319,696.0","338,473.0","344,791.0","344,166.0","362,987.0","366,497.0","376,179.0","384,527.0","390,378.0","406,148.0","414,967.0","423,477.0","417,925.0","389,023.0","385,734.0","393,001.0","403,776.0","403,360.0","408,605.0","420,707.0","428,040.0","423,331.0","443,527.0","451,665.0","448,013.0","452,914.0","458,036.0","459,880.0","461,250.0","461,388.0","468,248.0","470,480.0","478,989.0","473,270.0","483,272.0","482,475.0","494,642.0","497,210.0","499,461.0"
"41","22","Government consumption expenditures and gross investment","A822RC1","235,048.0","238,227.0","243,987.0","244,343.0","249,443.0","250,739.0","256,237.0","260,363.0","263,691.0","267,966.0","271,693.0","273,974.0","284,256.0","288,965.0","286,265.0","293,493.0","301,316.0","304,900.0","305,562.0","313,681.0","326,139.0","337,254.0","348,294.0","360,766.0","371,688.0","375,763.0","386,989.0","397,307.0","402,919.0","403,171.0","404,920.0","412,287.0","422,733.0","433,054.0","439,124.0","448,126.0","454,817.0","473,312.0","484,015.0","497,405.0","502,919.0","517,258.0","531,807.0","550,164.0","571,245.0","586,941.0","591,820.0","613,380.0","635,961.0","648,997.0","655,223.0","678,755.0","687,373.0","700,953.0","714,535.0","737,222.0","748,789.0","760,990.0","780,884.0","772,311.0","794,152.0","819,179.0","832,661.0","854,684.0","874,546.0","898,501.0","924,560.0","936,113.0","944,172.0","965,843.0","993,022.0","994,829.0","1,008,016.0","1,025,047.0","1,035,976.0","1,054,002.0","1,057,031.0","1,070,837.0","1,078,414.0","1,106,391.0","1,116,876.0","1,146,080.0","1,164,567.0","1,180,152.0","1,214,030.0","1,228,585.0","1,240,400.0","1,270,429.0","1,287,181.0","1,296,557.0","1,302,388.0","1,306,524.0","1,326,900.0","1,338,666.0","1,355,421.0","1,360,496.0","1,351,504.0","1,360,859.0","1,370,605.0","1,381,277.0","1,373,939.0","1,392,446.0","1,424,416.0","1,424,157.0","1,440,008.0","1,455,631.0","1,457,293.0","1,455,716.0","1,472,921.0","1,492,548.0","1,500,490.0","1,519,839.0","1,532,218.0","1,552,209.0","1,559,790.0","1,572,420.0","1,566,709.0","1,604,444.0","1,628,557.0","1,654,348.0","1,675,982.0","1,703,680.0","1,740,247.0","1,784,243.0","1,795,130.0","1,828,895.0","1,845,027.0","1,868,658.0","1,911,891.0","1,958,621.0","1,965,456.0","1,999,093.0","2,048,323.0","2,080,640.0","2,107,718.0","2,143,065.0","2,177,952.0","2,216,888.0","2,231,240.0","2,257,316.0","2,303,095.0","2,343,551.0","2,381,767.0","2,401,197.0","2,442,223.0","2,469,693.0","2,521,551.0","2,541,291.0","2,592,185.0","2,630,669.0","2,655,364.0","2,690,557.0","2,735,641.0","2,782,458.0","2,824,322.0","2,865,286.0","2,923,821.0","2,983,375.0","3,055,881.0","3,049,685.0","3,035,381.0","3,086,499.0","3,112,496.0","3,121,988.0","3,135,706.0","3,181,462.0","3,194,687.0","3,184,248.0","3,153,849.0","3,183,843.0","3,176,844.0","3,160,437.0","3,171,587.0","3,159,641.0","3,159,590.0","3,143,526.0","3,119,812.0","3,111,359.0","3,110,699.0","3,115,120.0","3,122,250.0","3,146,258.0","3,177,423.0","3,162,494.0","3,149,532.0","3,179,168.0"
