"","Table 5#4#6# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"37","19","    Communication","C314RX1","26,703.0","26,740.0","27,064.0","24,996.0","19,158.0","19,435.0","22,392.0","23,005.0","27,367.0","25,847.0","19,713.0","16,503.0","15,122.0","13,689.0","15,059.0","14,446.0"
"38","20","  Mining exploration, shafts, and wells","E318RX1","64,482.0","80,482.0","94,894.0","69,409.0","79,309.0","84,177.0","92,113.0","99,519.0","97,883.0","104,998.0","74,969.0","87,781.0","110,915.0","123,840.0","126,703.0","134,989.0"
"39","21","    Petroleum and natural gas","C319RX1","64,842.0","80,799.0","96,442.0","67,061.0","77,965.0","80,388.0","86,835.0","91,328.0","90,695.0","98,305.0","69,375.0","80,865.0","99,832.0","113,081.0","115,873.0","124,208.0"
"40","22","    Mining","C320RX1","1,449.0","1,860.0","1,696.0","2,992.0","2,652.0","4,290.0","5,520.0","8,204.0","7,195.0","6,653.0","5,594.0","6,922.0","11,186.0","10,737.0","10,790.0","10,718.0"
"41","23","  Other structures","W004RX1","94,684.0","97,511.0","92,977.0","78,573.0","75,637.0","76,724.0","72,686.0","79,692.0","91,757.0","103,406.0","84,483.0","61,965.0","56,160.0","61,485.0","64,345.0","66,905.0"
"42","24","    Religious","C309RX1","10,589.0","11,109.0","11,177.0","10,959.0","10,921.0","9,806.0","8,584.0","7,932.0","7,361.0","6,898.0","6,177.0","5,487.0","4,373.0","3,916.0","3,498.0","3,000.0"
"43","25","    Educational and vocational","W044RX1","17,601.0","20,585.0","21,707.0","21,615.0","21,342.0","19,202.0","18,216.0","17,935.0","19,164.0","19,694.0","17,852.0","14,685.0","14,443.0","16,101.0","15,017.0","14,648.0"
"44","26","    Lodging","W045RX1","28,902.0","28,285.0","24,114.0","17,083.0","15,725.0","17,853.0","17,459.0","22,371.0","33,305.0","41,974.0","31,428.0","14,551.0","10,823.0","12,961.0","15,832.0","18,003.0"
"45","27","    Amusement and recreation","W046RX1","16,753.0","14,730.0","12,590.0","11,809.0","11,924.0","12,179.0","10,031.0","11,475.0","11,978.0","12,093.0","10,083.0","8,150.0","8,411.0","7,646.0","8,128.0","8,295.0"
"46","28","    Transportation","W047RX1","8,552.0","8,772.0","8,657.0","8,152.0","7,700.0","7,765.0","7,875.0","9,261.0","9,394.0","10,032.0","9,055.0","9,819.0","9,279.0","10,447.0","10,433.0","10,914.0"
"47","29","      Air","W048RX1","1,965.0","2,737.0","2,899.0","1,900.0","1,409.0","1,250.0","1,012.0","912.0","980.0","876.0","571.0","412.0","618.0","1,104.0","1,026.0","967.0"
"48","30","      Land \3\","W049RX1","6,631.0","6,155.0","5,896.0","6,301.0","6,298.0","6,509.0","6,848.0","8,336.0","8,397.0","9,149.0","8,484.0","9,401.0","8,670.0","9,381.0","9,441.0","9,980.0"
"49","31","    Farm","C316RX1","7,409.0","8,397.0","6,893.0","7,396.0","6,528.0","6,625.0","6,511.0","5,959.0","6,155.0","7,883.0","6,637.0","6,262.0","5,605.0","7,152.0","8,358.0","8,191.0"
"50","32","    Other \4\","W050RX1","5,327.0","6,260.0","4,591.0","3,274.0","3,694.0","4,210.0","3,676.0","4,362.0","4,551.0","4,291.0","3,012.0","3,293.0","3,056.0","2,597.0","2,528.0","3,070.0"
"51","33","    Brokers' commissions on sale of structures","C321RX1","2,283.0","2,404.0","2,262.0","1,942.0","1,884.0","1,966.0","2,142.0","2,491.0","3,127.0","3,587.0","3,130.0","2,434.0","2,400.0","2,690.0","2,747.0","2,965.0"
"52","34","    Net purchases of used structures","E322RX1","-2,427.0","-2,346.0","2,273.0","-2,733.0","-3,121.0","-2,268.0","-1,284.0","-1,755.0","-3,174.0","-3,165.0","-2,891.0","-2,856.0","-2,463.0","-2,286.0","-2,297.0","-2,276.0"
"53","35","Residential","A012RX1","626,532.0","630,092.0","635,667.0","674,465.0","735,860.0","809,220.0","862,509.0","796,311.0","644,915.0","488,435.0","383,927.0","373,626.0","375,334.0","427,073.0","467,934.0","475,831.0"
"54","36","  Permanent site","A943RX1","357,692.0","360,587.0","362,703.0","377,308.0","414,221.0","462,165.0","494,789.0","451,576.0","336,121.0","223,142.0","133,874.0","128,486.0","123,914.0","153,822.0","191,552.0","209,143.0"
"55","37","    Single-family structures","A944RX1","311,167.0","314,636.0","315,091.0","327,299.0","362,194.0","405,655.0","433,038.0","390,688.0","283,678.0","178,212.0","105,336.0","114,421.0","109,176.0","132,101.0","161,943.0","170,899.0"
"56","38","    Multifamily structures","C292RX1","43,576.0","42,843.0","44,699.0","47,058.0","48,299.0","52,049.0","57,240.0","57,615.0","51,012.0","44,859.0","28,538.0","14,335.0","14,966.0","21,936.0","29,840.0","38,629.0"
"57","39","  Other structures","A863RX1","269,382.0","270,109.0","273,501.0","297,244.0","321,878.0","347,582.0","368,336.0","345,248.0","309,258.0","265,550.0","250,053.0","245,131.0","251,339.0","273,366.0","276,870.0","267,388.0"
"58","40","    Manufactured homes","A945RX1","20,261.0","15,322.0","12,241.0","12,814.0","11,220.0","11,628.0","13,748.0","11,516.0","9,978.0","8,126.0","4,713.0","4,595.0","4,387.0","4,634.0","4,987.0","5,315.0"
"59","41","    Dormitories","C295RX1","1,772.0","1,802.0","1,967.0","1,880.0","2,053.0","1,797.0","1,532.0","1,938.0","2,698.0","3,633.0","2,496.0","1,685.0","2,190.0","2,910.0","3,728.0","3,177.0"
"60","42","    Improvements","A946RX1","142,705.0","147,440.0","150,689.0","160,525.0","167,895.0","171,132.0","175,782.0","174,896.0","168,999.0","155,778.0","151,706.0","149,500.0","151,393.0","158,046.0","149,886.0","149,461.0"
"61","43","    Brokers' commissions and other ownership transfer costs \5\","A758RX1","110,719.0","108,935.0","112,080.0","126,605.0","143,971.0","163,677.0","175,757.0","157,524.0","130,759.0","102,949.0","95,174.0","94,417.0","96,105.0","111,096.0","121,938.0","113,221.0"
"62","44","    Net purchases of used structures","A759RX1","-4,633.0","-1,816.0","-2,281.0","-4,066.0","-4,133.0","-3,053.0","-1,418.0","-2,433.0","-3,703.0","-4,877.0","-4,036.0","-5,083.0","-2,647.0","-2,638.0","-2,392.0","-2,672.0"
"63","45","Residual","A971RX1","7,600.0","-3,300.0","-11,600.0","12,400.0","16,900.0","25,800.0","28,600.0","19,900.0","5,400.0","300.0","0.0","200.0","-200.0","-695.0","-1,715.0","-2,205.0"
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","46","  Private fixed investment in new structures","W040RX1","1,012,667.0","1,049,876.0","1,041,253.0","990,275.0","1,022,764.0","1,076,711.0","1,124,566.0","1,103,620.0","1,030,575.0","930,451.0","730,761.0","651,171.0","656,918.0","741,729.0","777,896.0","829,235.0"
"66","47","    Nonresidential structures \6\","A771RX1","495,312.0","533,769.0","520,880.0","433,538.0","417,293.0","414,431.0","420,283.0","450,710.0","509,100.0","539,775.0","437,972.0","366,699.0","374,769.0","422,685.0","429,223.0","463,926.0"
"67","48","    Residential structures \7\","A756RX1","523,672.0","526,474.0","529,053.0","554,031.0","597,290.0","649,107.0","688,443.0","642,029.0","518,342.0","390,592.0","292,789.0","284,294.0","282,007.0","318,889.0","348,714.0","365,470.0"
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","by power utilities for their own use. Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. Includes buildings and structures used by the retail, wholesale and selected service industries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Consists of auto dealerships, garages, service stations, drug stores, restaurants, mobile structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","and other structures used for commercial purposes. Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","5. Consists of brokers' commissions on the sale of residential structures and adjoining land, title",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","insurance, state and local documentary stamp taxes, attorney fees, title abstract and escrow fees, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","fees for surveys and engineering services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","7. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","are usually not additive. The residual line is the difference between the first line and the sum of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
