"","Table 5#3#5# Private Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"43","24","      Multifamily","C292RC1","9,030.0","9,749.0","9,666.0","9,667.0","9,413.0","9,175.0","9,419.0","10,065.0","11,025.0","12,182.0","13,667.0","14,582.0","16,174.0","17,082.0","17,244.0","18,488.0","19,308.0","19,608.0","20,126.0","18,710.0","16,831.0","14,767.0","12,988.0","10,294.0","8,508.0","6,403.0","5,765.0","6,040.0","6,025.0","6,288.0","7,051.0","8,276.0","8,884.0","10,137.0","10,595.0","10,452.0","10,829.0","12,598.0","13,838.0","14,063.0","14,578.0","16,546.0","17,927.0","19,009.0","18,863.0","16,243.0","15,160.0","16,566.0","18,712.0","18,453.0","16,992.0","15,683.0","15,597.0","14,934.0","15,462.0","16,159.0","18,798.0","21,184.0","23,728.0","26,078.0","26,814.0","27,237.0","29,385.0","29,448.0","29,051.0","28,453.0","28,435.0","28,217.0","29,872.0","32,198.0","31,158.0","30,924.0","27,678.0","25,463.0","24,108.0","24,559.0","23,116.0","21,716.0","21,928.0","22,432.0","22,639.0","23,119.0","22,784.0","20,674.0","20,022.0","19,519.0","19,170.0","18,288.0","17,318.0","15,274.0","14,013.0","13,987.0","13,258.0","15,050.0","12,469.0","11,598.0","10,568.0","10,315.0","11,237.0","11,032.0","11,682.0","13,307.0","15,133.0","16,202.0","17,170.0","17,060.0","18,411.0","18,916.0","19,934.0","21,678.0","19,498.0","20,185.0","21,918.0","22,917.0","22,385.0","24,312.0","24,244.0","23,681.0","24,842.0","25,530.0","26,400.0","26,987.0","28,336.0","28,013.0","27,926.0","28,677.0","27,529.0","28,904.0","29,535.0","29,808.0","30,433.0","31,444.0","32,221.0","33,157.0","33,110.0","33,320.0","34,789.0","34,449.0","35,469.0","35,758.0","36,821.0","38,980.0","41,496.0","42,479.0","43,999.0","46,396.0","48,718.0","50,079.0","51,911.0","52,619.0","52,147.0","54,527.0","53,684.0","49,544.0","47,050.0","45,558.0","45,067.0","45,847.0","44,893.0","41,546.0","37,804.0","31,181.0","25,021.0","20,146.0","16,095.0","14,524.0","14,060.0","14,065.0","13,767.0","14,189.0","15,649.0","16,544.0","18,543.0","21,300.0","23,705.0","26,491.0","28,649.0","30,135.0","31,812.0","35,403.0","36,802.0","40,715.0","43,455.0","46,252.0","47,349.0","50,897.0"
"44","25","    Other structures \7\","A863RC1","13,900.0","14,153.0","15,043.0","13,469.0","15,038.0","14,593.0","14,571.0","16,720.0","16,680.0","18,200.0","18,581.0","19,356.0","20,147.0","20,086.0","20,580.0","22,258.0","23,006.0","20,492.0","20,955.0","23,401.0","24,060.0","23,966.0","25,728.0","22,909.0","24,423.0","28,335.0","30,243.0","30,984.0","34,124.0","33,673.0","30,096.0","37,588.0","37,515.0","41,180.0","41,886.0","41,824.0","45,256.0","50,150.0","50,590.0","52,704.0","54,018.0","55,376.0","56,031.0","56,184.0","57,866.0","50,258.0","57,103.0","60,833.0","56,349.0","56,628.0","55,676.0","53,113.0","51,482.0","50,095.0","48,512.0","50,547.0","56,300.0","60,558.0","64,501.0","66,370.0","68,876.0","71,477.0","70,704.0","73,075.0","74,272.0","76,667.0","81,167.0","84,420.0","88,553.0","95,308.0","95,492.0","97,222.0","100,101.0","102,242.0","101,356.0","101,568.0","103,320.0","108,169.0","109,884.0","109,621.0","107,085.0","104,646.0","107,722.0","107,077.0","106,126.0","103,144.0","100,092.0","96,736.0","97,139.0","102,899.0","101,357.0","101,926.0","109,331.0","111,024.0","113,300.0","121,346.0","121,185.0","126,509.0","133,050.0","138,560.0","139,452.0","143,198.0","141,277.0","140,993.0","140,809.0","141,904.0","150,642.0","151,996.0","155,444.0","161,383.0","163,233.0","162,408.0","165,157.0","168,947.0","174,846.0","176,066.0","179,530.0","187,314.0","190,929.0","194,841.0","195,168.0","204,418.0","207,272.0","206,109.0","208,128.0","211,345.0","214,554.0","216,719.0","218,388.0","224,831.0","229,098.0","230,932.0","243,686.0","249,624.0","249,974.0","259,625.0","267,217.0","274,009.0","294,004.0","296,644.0","306,334.0","320,710.0","325,224.0","340,479.0","351,455.0","363,491.0","375,781.0","371,789.0","368,261.0","360,944.0","352,829.0","352,179.0","345,775.0","333,795.0","316,862.0","302,197.0","289,596.0","280,811.0","279,127.0","256,059.0","247,068.0","243,949.0","253,716.0","255,479.0","243,997.0","259,049.0","232,813.0","245,978.0","245,807.0","252,463.0","255,792.0","262,928.0","277,126.0","273,950.0","276,623.0","287,705.0","290,782.0","297,252.0","304,418.0","297,357.0","295,188.0","302,479.0","309,343.0","311,141.0","318,922.0","327,029.0"
"45","26","  Equipment","B013RC1","949.0","1,006.0","1,025.0","1,060.0","1,076.0","1,096.0","1,129.0","1,183.0","1,210.0","1,260.0","1,284.0","1,358.0","1,455.0","1,492.0","1,569.0","1,628.0","1,711.0","1,731.0","1,739.0","1,775.0","1,854.0","1,925.0","1,929.0","1,816.0","1,839.0","1,884.0","1,945.0","2,008.0","2,044.0","2,097.0","2,153.0","2,194.0","2,082.0","2,324.0","2,516.0","2,667.0","2,598.0","2,720.0","2,751.0","2,867.0","2,946.0","3,115.0","3,281.0","3,326.0","3,353.0","3,282.0","3,385.0","3,484.0","3,583.0","3,560.0","3,656.0","3,662.0","3,602.0","3,688.0","3,710.0","3,756.0","3,979.0","4,116.0","4,330.0","4,455.0","4,579.0","4,724.0","4,744.0","4,813.0","4,896.0","5,000.0","5,065.0","5,263.0","5,386.0","5,440.0","5,555.0","5,614.0","5,649.0","5,694.0","5,909.0","5,968.0","5,912.0","6,066.0","6,076.0","6,191.0","6,183.0","6,175.0","6,073.0","6,164.0","6,173.0","6,054.0","5,948.0","5,857.0","5,757.0","5,847.0","5,776.0","5,614.0","5,852.0","5,883.0","5,923.0","6,026.0","5,985.0","6,069.0","6,163.0","6,068.0","6,041.0","6,204.0","6,246.0","6,417.0","6,377.0","6,267.0","6,339.0","6,327.0","6,250.0","6,377.0","6,295.0","6,400.0","6,282.0","6,252.0","6,266.0","6,278.0","6,436.0","6,616.0","6,757.0","6,874.0","7,004.0","7,183.0","7,390.0","7,436.0","7,624.0","7,705.0","7,699.0","7,766.0","7,797.0","7,768.0","7,824.0","7,979.0","8,063.0","8,073.0","7,956.0","8,014.0","7,915.0","8,127.0","8,480.0","8,618.0","8,802.0","8,941.0","9,002.0","9,186.0","9,411.0","9,605.0","9,620.0","9,856.0","10,208.0","10,021.0","10,014.0","9,907.0","9,999.0","9,900.0","9,856.0","9,755.0","9,556.0","9,630.0","9,358.0","8,814.0","8,541.0","8,258.0","8,228.0","8,236.0","8,297.0","8,456.0","8,318.0","8,325.0","8,320.0","8,487.0","8,694.0","8,808.0","8,889.0","8,801.0","8,831.0","8,968.0","9,198.0","9,185.0","9,225.0","9,203.0","9,166.0","9,285.0","9,279.0","9,286.0","9,328.0","9,422.0"
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","27","  Private fixed investment in structures","A349RC1","79,751.0","80,795.0","82,868.0","80,842.0","80,907.0","80,582.0","82,015.0","86,802.0","91,254.0","98,049.0","102,514.0","106,395.0","113,481.0","115,939.0","118,105.0","124,618.0","130,541.0","131,037.0","133,023.0","131,661.0","129,568.0","130,565.0","130,436.0","124,722.0","121,040.0","122,484.0","128,102.0","133,031.0","142,496.0","147,806.0","149,404.0","162,515.0","169,864.0","187,792.0","193,876.0","198,109.0","204,341.0","224,516.0","238,109.0","248,471.0","250,194.0","257,353.0","269,021.0","272,933.0","269,375.0","245,881.0","255,594.0","278,407.0","284,035.0","292,715.0","292,315.0","299,657.0","292,721.0","286,480.0","277,649.0","282,041.0","293,076.0","300,386.0","319,419.0","332,066.0","347,581.0","362,382.0","368,656.0","373,566.0","384,198.0","386,542.0","388,567.0","398,847.0","405,820.0","403,622.0","404,353.0","409,565.0","407,943.0","413,575.0","421,646.0","429,585.0","422,817.0","433,596.0","434,872.0","440,433.0","444,206.0","439,182.0","447,164.0","443,775.0","453,968.0","445,413.0","434,075.0","412,855.0","399,433.0","401,829.0","398,192.0","396,592.0","406,441.0","417,915.0","422,238.0","438,976.0","441,003.0","446,068.0","460,747.0","483,734.0","488,070.0","508,817.0","508,266.0","512,398.0","516,578.0","514,560.0","530,359.0","538,551.0","552,783.0","574,815.0","583,322.0","594,335.0","601,737.0","608,649.0","628,341.0","639,599.0","649,762.0","682,886.0","700,551.0","715,864.0","722,868.0","733,498.0","742,465.0","754,998.0","774,801.0","792,381.0","803,281.0","813,030.0","817,197.0","838,341.0","857,834.0","826,431.0","828,844.0","832,060.0","825,143.0","843,840.0","868,273.0","885,963.0","926,189.0","961,531.0","984,225.0","1,029,288.0","1,062,346.0","1,094,113.0","1,136,486.0","1,171,990.0","1,214,240.0","1,245,611.0","1,274,640.0","1,259,500.0","1,229,584.0","1,208,024.0","1,197,409.0","1,192,693.0","1,174,477.0","1,138,342.0","1,096,199.0","1,082,629.0","1,057,342.0","999,431.0","904,950.0","823,206.0","796,512.0","763,886.0","727,213.0","756,843.0","718,401.0","736,565.0","709,661.0","743,957.0","777,055.0","805,754.0","854,604.0","876,291.0","888,077.0","906,483.0","918,657.0","951,810.0","985,192.0","991,534.0","1,022,167.0","1,037,305.0","1,050,986.0","1,077,296.0","1,077,907.0","1,094,350.0"
"48","28","  Private fixed investment in new structures","W040RC1","76,347.0","77,344.0","79,441.0","77,296.0","77,595.0","76,972.0","77,977.0","82,648.0","86,719.0","93,303.0","97,794.0","101,319.0","108,154.0","110,506.0","112,082.0","118,086.0","123,578.0","124,336.0","126,555.0","125,103.0","121,986.0","122,634.0","122,655.0","117,497.0","113,076.0","113,013.0","118,189.0","122,302.0","131,471.0","136,666.0","137,687.0","150,024.0","156,176.0","173,293.0","178,758.0","182,049.0","187,144.0","205,998.0","219,335.0","228,441.0","230,230.0","236,578.0","248,153.0","253,468.0","251,334.0","231,334.0","236,091.0","258,954.0","267,013.0","275,609.0","276,906.0","285,943.0","279,687.0","273,817.0","264,494.0","266,209.0","274,063.0","279,988.0","297,325.0","309,165.0","322,976.0","337,516.0","345,009.0","348,940.0","357,067.0","359,005.0","357,804.0","367,603.0","374,035.0","368,574.0","369,599.0","372,383.0","369,659.0","374,714.0","384,925.0","393,246.0","384,873.0","391,507.0","391,584.0","397,285.0","404,040.0","401,201.0","405,619.0","402,393.0","413,167.0","406,593.0","395,804.0","378,194.0","362,511.0","359,805.0","358,652.0","358,032.0","362,693.0","374,548.0","380,031.0","392,566.0","397,652.0","400,059.0","410,912.0","430,847.0","435,563.0","453,518.0","455,948.0","461,873.0","466,834.0","464,425.0","473,264.0","482,278.0","494,903.0","513,070.0","521,277.0","533,845.0","539,375.0","544,069.0","558,814.0","566,286.0","576,464.0","603,012.0","618,838.0","632,406.0","641,009.0","644,168.0","652,015.0","667,664.0","686,718.0","701,252.0","709,547.0","717,036.0","720,662.0","737,274.0","742,880.0","725,513.0","717,529.0","717,608.0","713,532.0","725,161.0","744,127.0","757,654.0","781,577.0","817,094.0","833,377.0","867,111.0","899,542.0","920,465.0","956,230.0","982,509.0","1,016,662.0","1,057,042.0","1,090,434.0","1,083,852.0","1,062,468.0","1,041,100.0","1,037,131.0","1,044,794.0","1,039,212.0","1,016,978.0","982,190.0","974,251.0","951,697.0","909,560.0","820,873.0","738,539.0","701,327.0","662,305.0","636,491.0","659,652.0","642,572.0","650,762.0","623,139.0","656,643.0","684,712.0","714,750.0","754,863.0","774,062.0","783,349.0","793,293.0","798,550.0","824,908.0","854,997.0","867,143.0","902,619.0","913,755.0","921,676.0","945,082.0","943,138.0","953,708.0"
"49","29","    Nonresidential structures \8\","A771RC1","35,609.0","36,489.0","38,748.0","39,237.0","39,354.0","40,203.0","40,504.0","40,727.0","41,484.0","42,333.0","43,129.0","43,781.0","45,803.0","46,628.0","47,334.0","49,003.0","51,297.0","54,003.0","56,750.0","57,618.0","58,876.0","61,200.0","61,282.0","63,046.0","61,533.0","60,284.0","61,159.0","61,928.0","64,005.0","64,995.0","66,614.0","67,730.0","69,581.0","73,399.0","76,131.0","78,265.0","79,724.0","89,908.0","98,195.0","105,167.0","107,601.0","112,579.0","121,552.0","127,993.0","132,267.0","132,048.0","135,580.0","143,910.0","149,890.0","160,914.0","169,634.0","188,357.0","186,445.0","182,232.0","172,706.0","168,048.0","158,489.0","149,465.0","152,598.0","156,608.0","165,649.0","175,658.0","182,332.0","185,254.0","194,495.0","194,824.0","192,087.0","195,357.0","191,358.0","174,260.0","168,804.0","170,686.0","166,699.0","169,342.0","177,308.0","182,448.0","178,329.0","183,765.0","183,044.0","184,177.0","189,004.0","189,182.0","197,401.0","197,789.0","203,944.0","204,426.0","205,390.0","197,415.0","194,877.0","189,907.0","177,597.0","172,328.0","170,081.0","170,755.0","173,118.0","176,683.0","175,616.0","174,118.0","175,907.0","182,808.0","178,423.0","186,846.0","187,843.0","193,112.0","200,859.0","207,019.0","209,920.0","209,803.0","213,774.0","219,149.0","224,552.0","237,981.0","241,643.0","241,651.0","254,621.0","255,960.0","260,473.0","277,290.0","278,930.0","280,361.0","281,640.0","280,625.0","282,482.0","287,885.0","297,338.0","312,535.0","326,917.0","331,981.0","327,427.0","334,280.0","329,731.0","311,688.0","297,893.0","284,831.0","274,096.0","273,698.0","274,975.0","282,351.0","283,190.0","287,242.0","286,809.0","294,729.0","307,175.0","316,128.0","329,467.0","336,421.0","346,762.0","363,995.0","387,407.0","409,357.0","424,617.0","435,798.0","457,554.0","484,892.0","512,206.0","531,223.0","539,572.0","553,121.0","558,614.0","555,474.0","507,565.0","454,832.0","412,537.0","376,955.0","352,853.0","364,922.0","361,608.0","370,554.0","343,609.0","371,551.0","397,179.0","414,941.0","439,363.0","455,356.0","452,434.0","443,477.0","438,040.0","453,631.0","473,997.0","481,182.0","504,294.0","505,034.0","504,791.0","511,290.0","498,445.0","502,619.0"
"50","30","    Residential structures \9\","A756RC1","40,738.0","40,855.0","40,693.0","38,059.0","38,241.0","36,769.0","37,473.0","41,921.0","45,235.0","50,970.0","54,665.0","57,538.0","62,351.0","63,878.0","64,748.0","69,083.0","72,281.0","70,333.0","69,805.0","67,485.0","63,110.0","61,434.0","61,373.0","54,451.0","51,543.0","52,729.0","57,030.0","60,374.0","67,466.0","71,671.0","71,073.0","82,294.0","86,595.0","99,894.0","102,627.0","103,784.0","107,420.0","116,090.0","121,140.0","123,274.0","122,629.0","123,999.0","126,601.0","125,475.0","119,067.0","99,286.0","100,511.0","115,044.0","117,123.0","114,695.0","107,272.0","97,586.0","93,242.0","91,585.0","91,788.0","98,161.0","115,574.0","130,523.0","144,727.0","152,557.0","157,327.0","161,858.0","162,677.0","163,686.0","162,572.0","164,181.0","165,717.0","172,246.0","182,677.0","194,314.0","200,795.0","201,697.0","202,960.0","205,372.0","207,617.0","210,798.0","206,544.0","207,742.0","208,540.0","213,108.0","215,036.0","212,019.0","208,218.0","204,604.0","209,223.0","202,167.0","190,414.0","180,779.0","167,634.0","169,898.0","181,055.0","185,704.0","192,612.0","203,793.0","206,913.0","215,883.0","222,036.0","225,941.0","235,005.0","248,039.0","257,140.0","266,672.0","268,105.0","268,761.0","265,975.0","257,406.0","263,344.0","272,475.0","281,129.0","293,921.0","296,725.0","295,864.0","297,732.0","302,418.0","304,193.0","310,326.0","315,991.0","325,722.0","339,908.0","352,045.0","359,369.0","363,543.0","369,533.0","379,779.0","389,380.0","388,717.0","382,630.0","385,055.0","393,235.0","402,994.0","413,149.0","413,825.0","419,636.0","432,777.0","439,436.0","451,463.0","469,152.0","475,303.0","498,387.0","529,852.0","546,568.0","572,382.0","592,367.0","604,337.0","626,763.0","646,088.0","669,900.0","693,047.0","703,027.0","674,495.0","637,851.0","605,302.0","579,577.0","559,902.0","527,006.0","485,755.0","442,618.0","421,130.0","393,083.0","354,086.0","313,308.0","283,707.0","288,790.0","285,350.0","283,638.0","294,730.0","280,964.0","280,208.0","279,530.0","285,092.0","287,533.0","299,809.0","315,500.0","318,706.0","330,915.0","349,816.0","360,510.0","371,277.0","381,001.0","385,961.0","398,325.0","408,720.0","416,885.0","433,792.0","444,693.0","451,090.0"
"51","31","  Private fixed investment in information processing equipment and software","A679RC1","13,031.0","14,171.0","15,227.0","16,019.0","16,694.0","16,991.0","16,359.0","16,506.0","16,173.0","17,299.0","17,594.0","18,275.0","19,111.0","19,067.0","19,498.0","20,139.0","21,567.0","22,731.0","23,358.0","24,662.0","25,144.0","25,629.0","27,885.0","29,269.0","29,086.0","28,453.0","28,223.0","28,378.0","29,423.0","31,613.0","33,657.0","36,170.0","36,827.0","38,577.0","39,637.0","41,619.0","43,694.0","47,777.0","50,365.0","52,910.0","55,543.0","56,714.0","59,356.0","62,328.0","65,402.0","66,741.0","70,672.0","72,267.0","76,519.0","79,462.0","82,922.0","86,951.0","90,226.0","87,529.0","88,361.0","86,917.0","92,110.0","97,372.0","101,304.0","109,484.0","112,048.0","119,212.0","124,151.0","130,745.0","128,852.0","131,393.0","128,682.0","132,467.0","132,998.0","136,467.0","136,285.0","141,297.0","137,623.0","138,949.0","143,608.0","144,566.0","148,873.0","154,263.0","156,850.0","159,748.0","164,874.0","171,740.0","176,299.0","177,432.0","178,442.0","176,743.0","174,599.0","179,008.0","177,626.0","181,092.0","184,514.0","188,462.0","190,160.0","197,308.0","205,632.0","206,588.0","211,343.0","213,344.0","222,099.0","223,622.0","228,778.0","232,425.0","236,422.0","243,264.0","252,319.0","262,468.0","263,735.0","273,488.0","281,458.0","285,866.0","294,214.0","299,027.0","311,478.0","323,200.0","340,551.0","345,883.0","357,117.0","362,530.0","365,678.0","379,070.0","393,608.0","416,173.0","429,545.0","429,039.0","455,748.0","476,624.0","484,602.0","496,029.0","484,320.0","459,058.0","438,390.0","428,309.0","422,097.0","420,482.0","424,932.0","411,604.0","417,448.0","420,434.0","438,616.0","451,657.0","449,827.0","455,069.0","461,371.0","466,442.0","471,286.0","477,587.0","484,769.0","486,096.0","503,744.0","505,850.0","516,343.0","519,047.0","541,546.0","542,877.0","545,423.0","559,839.0","564,663.0","564,906.0","551,893.0","517,684.0","503,085.0","501,821.0","517,356.0","529,172.0","526,283.0","522,120.0","527,773.0","538,553.0","535,203.0","545,717.0","552,653.0","556,228.0","572,391.0","572,468.0","566,316.0","580,496.0","593,204.0","585,518.0","594,552.0","593,356.0","602,628.0","621,162.0","622,399.0","637,867.0","640,581.0","638,837.0"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and recreational structures, net purchases of used structures, and brokers' commissions on the sale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
