"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"32","12","  Net domestic product","A362RX1","1,764,683.0","1,760,589.0","1,757,346.0","1,788,841.0","1,819,173.0","1,852,812.0","1,864,367.0","1,866,125.0","1,836,291.0","1,828,495.0","1,850,202.0","1,830,704.0","1,912,385.0","1,976,285.0","2,060,455.0","2,102,874.0","2,132,733.0","2,171,478.0","2,218,742.0","2,220,962.0","2,243,987.0","2,245,590.0","2,260,005.0","2,339,413.0","2,383,977.0","2,400,654.0","2,381,487.0","2,336,833.0","2,320,473.0","2,319,564.0","2,345,770.0","2,394,201.0","2,468,062.0","2,509,792.0","2,544,391.0","2,558,222.0","2,543,133.0","2,563,112.0","2,556,923.0","2,600,941.0","2,616,166.0","2,605,640.0","2,630,329.0","2,594,951.0","2,513,176.0","2,527,963.0","2,591,361.0","2,657,701.0","2,711,588.0","2,784,198.0","2,775,273.0","2,784,699.0","2,852,633.0","2,837,131.0","2,841,740.0","2,798,715.0","2,816,520.0","2,872,487.0","2,923,255.0","2,986,746.0","3,043,501.0","3,076,470.0","3,105,007.0","3,113,672.0","3,147,991.0","3,189,659.0","3,255,377.0","3,276,427.0","3,351,957.0","3,391,850.0","3,438,402.0","3,446,353.0","3,536,710.0","3,584,914.0","3,660,664.0","3,751,454.0","3,848,745.0","3,859,042.0","3,882,556.0","3,912,644.0","3,945,829.0","3,942,130.0","3,973,344.0","4,002,335.0","4,087,637.0","4,158,611.0","4,185,097.0","4,198,845.0","4,265,243.0","4,273,576.0","4,296,896.0","4,268,687.0"
"33","13","  Command-basis net national product \4\","C027RX1","1,810,635.0","1,814,464.0","1,816,470.0","1,857,135.0","1,879,658.0","1,906,695.0","1,918,870.0","1,927,518.0","1,891,976.0","1,874,396.0","1,900,465.0","1,878,745.0","1,962,641.0","2,025,238.0","2,113,050.0","2,159,928.0","2,192,762.0","2,235,469.0","2,278,656.0","2,278,937.0","2,298,075.0","2,294,383.0","2,319,644.0","2,400,028.0","2,444,715.0","2,462,584.0","2,442,735.0","2,393,860.0","2,373,679.0","2,369,446.0","2,401,285.0","2,456,385.0","2,536,541.0","2,575,118.0","2,611,464.0","2,635,983.0","2,623,623.0","2,633,895.0","2,633,039.0","2,669,448.0","2,696,459.0","2,688,027.0","2,708,042.0","2,652,673.0","2,578,618.0","2,590,714.0","2,665,890.0","2,744,241.0","2,791,080.0","2,860,695.0","2,852,104.0","2,863,212.0","2,939,743.0","2,920,589.0","2,923,248.0","2,875,387.0","2,898,770.0","2,958,157.0","3,012,039.0","3,081,721.0","3,142,188.0","3,172,299.0","3,201,130.0","3,212,031.0","3,242,589.0","3,286,424.0","3,353,536.0","3,380,992.0","3,457,228.0","3,493,362.0","3,539,711.0","3,548,394.0","3,650,703.0","3,700,524.0","3,771,731.0","3,860,005.0","3,964,600.0","3,970,706.0","4,000,971.0","4,036,789.0","4,074,355.0","4,065,553.0","4,102,699.0","4,132,781.0","4,222,020.0","4,295,497.0","4,321,132.0","4,335,636.0","4,407,789.0","4,412,200.0","4,435,370.0","4,407,730.0"
"34","14","  Net national product","A027RX1","1,777,417.0","1,773,830.0","1,770,527.0","1,802,681.0","1,834,133.0","1,868,482.0","1,880,126.0","1,881,879.0","1,851,423.0","1,843,253.0","1,864,626.0","1,844,008.0","1,926,523.0","1,991,205.0","2,077,723.0","2,120,165.0","2,149,477.0","2,190,638.0","2,238,648.0","2,241,801.0","2,263,885.0","2,265,580.0","2,279,726.0","2,358,973.0","2,403,353.0","2,421,001.0","2,400,048.0","2,355,361.0","2,340,109.0","2,339,113.0","2,365,569.0","2,416,084.0","2,490,459.0","2,531,961.0","2,566,813.0","2,581,073.0","2,567,997.0","2,587,805.0","2,582,080.0","2,623,666.0","2,642,156.0","2,633,223.0","2,656,974.0","2,617,014.0","2,535,538.0","2,550,644.0","2,613,532.0","2,679,784.0","2,733,642.0","2,806,371.0","2,798,766.0","2,809,381.0","2,876,668.0","2,861,588.0","2,867,058.0","2,825,129.0","2,844,236.0","2,899,113.0","2,950,454.0","3,014,558.0","3,071,250.0","3,106,497.0","3,135,322.0","3,147,755.0","3,180,767.0","3,221,482.0","3,287,806.0","3,309,759.0","3,387,907.0","3,426,685.0","3,474,198.0","3,480,037.0","3,574,360.0","3,623,682.0","3,697,266.0","3,785,459.0","3,883,866.0","3,894,229.0","3,917,123.0","3,948,532.0","3,981,405.0","3,976,871.0","4,011,083.0","4,039,213.0","4,125,430.0","4,197,155.0","4,224,641.0","4,238,165.0","4,304,802.0","4,311,929.0","4,333,856.0","4,305,586.0"
"35",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","15","    Trading gains index \5\","W368RG3","102.318","102.602","102.747","102.708","102.596","102.496","102.418","102.391","102.389","102.333","102.274","102.203","102.062","101.991","101.902","101.788","101.695","101.637","101.666","101.726","101.769","101.821","101.885","101.951","102.004","102.039","102.046","102.028","101.962","101.928","101.894","101.890","101.952","101.968","101.981","101.996","102.016","102.027","102.049","102.062","102.104","102.135","102.169","102.201","102.254","102.281","102.283","102.279","102.246","102.230","102.246","102.250","102.271","102.263","102.262","102.253","102.272","102.341","102.335","102.371","102.425","102.367","102.377","102.360","102.326","102.300","102.262","102.238","102.209","102.183","102.226","102.266","102.343","102.340","102.311","102.241","102.300","102.289","102.357","102.413","102.502","102.504","102.493","102.515","102.518","102.584","102.509","102.508","102.562","102.548","102.583","102.571"
"37","16","    Terms of trade index \6\","W369RG3","147.541","148.038","147.671","146.322","143.887","142.633","142.353","142.429","143.135","141.949","140.311","138.271","133.525","131.005","128.085","124.651","121.916","119.910","119.928","121.403","123.406","125.051","127.032","128.970","130.623","131.685","131.860","131.285","129.189","128.138","127.075","126.951","128.931","129.407","129.821","130.320","130.962","131.304","131.989","132.265","133.502","134.419","135.622","136.839","138.833","139.727","139.827","139.680","138.653","138.153","138.631","138.730","139.332","139.154","139.112","139.045","139.550","141.551","141.446","142.556","144.446","142.850","143.262","142.711","141.620","140.804","139.652","139.032","138.141","137.407","138.698","139.773","141.778","141.906","141.066","139.088","140.725","140.413","142.436","144.030","146.553","146.733","146.539","147.261","147.353","149.257","147.151","147.157","148.773","148.380","149.328","148.908"
"38","17","      Terms of trade, goods \7\","W370RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","165.962","165.839","165.139","165.725","165.378","168.283","165.340","165.013","166.873","165.751","167.110","166.145"
"39","18","      Terms of trade, nonpetroleum goods \8\","W371RG3",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","115.736","115.836","115.621","115.896","115.325","117.413","115.240","115.204","116.310","115.494","116.264","115.300"
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. This measure is called 'real gross domestic income' in the System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. This measure is called 'real gross national income' in the System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Ratio (multiplied by 100) of price index for gross domestic product to the price index for gross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Ratio (multiplied by 100) of the price index for exports of goods and services to the price index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","7. Ratio (multiplied by 100) of the price index for goods exports to the price index for goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","8. Ratio (multiplied by 100) of the price index for goods exports to the price index for nonpetroleum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","goods imports.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
