"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"31","9","    Final sales to domestic purchasers \2\","A713RX1","4,781,997.0","4,800,775.0","4,828,537.0","4,818,818.0","4,827,348.0","4,811,792.0","4,855,150.0","4,847,677.0","4,902,499.0","4,956,249.0","4,993,720.0","5,057,372.0","5,139,024.0","5,220,017.0","5,254,695.0","5,377,700.0","5,483,418.0","5,483,475.0","5,477,135.0","5,466,837.0","5,440,889.0","5,448,366.0","5,448,166.0","5,355,151.0","5,345,506.0","5,382,186.0","5,469,546.0","5,533,921.0","5,640,233.0","5,674,508.0","5,715,953.0","5,807,198.0","5,892,969.0","5,978,388.0","6,029,713.0","6,101,253.0","6,134,329.0","6,324,926.0","6,384,020.0","6,453,836.0","6,473,509.0","6,476,928.0","6,539,443.0","6,546,363.0","6,543,659.0","6,355,829.0","6,392,012.0","6,487,998.0","6,537,498.0","6,550,725.0","6,561,782.0","6,542,492.0","6,528,010.0","6,513,337.0","6,525,070.0","6,621,428.0","6,700,686.0","6,840,378.0","7,003,913.0","7,115,958.0","7,210,017.0","7,357,063.0","7,430,874.0","7,544,317.0","7,653,717.0","7,751,986.0","7,874,623.0","7,919,187.0","7,978,049.0","8,066,454.0","8,187,667.0","8,221,181.0","8,207,608.0","8,315,420.0","8,404,092.0","8,435,352.0","8,517,496.0","8,591,285.0","8,645,347.0","8,757,660.0","8,788,194.0","8,845,024.0","8,941,563.0","8,956,388.0","9,050,776.0","9,043,263.0","9,052,916.0","8,989,284.0","8,939,895.0","8,998,503.0","9,021,275.0","9,018,521.0","9,156,816.0","9,239,868.0","9,330,280.0","9,439,135.0","9,451,300.0","9,534,335.0","9,629,734.0","9,749,289.0","9,817,068.0","9,909,038.0","10,003,508.0","10,094,557.0","10,151,159.0","10,218,825.0","10,297,963.0","10,361,093.0","10,471,093.0","10,630,896.0","10,715,548.0","10,813,371.0","10,920,694.0","11,009,793.0","11,203,361.0","11,307,173.0","11,428,794.0","11,668,399.0","11,825,059.0","12,014,605.0","12,133,699.0","12,313,359.0","12,480,204.0","12,640,528.0","12,810,062.0","12,969,289.0","13,055,058.0","13,141,624.0","13,198,248.0","13,233,442.0","13,243,605.0","13,354,046.0","13,402,065.0","13,464,234.0","13,536,992.0","13,595,039.0","13,642,071.0","13,829,241.0","14,034,011.0","14,164,362.0","14,251,796.0","14,388,091.0","14,536,987.0","14,668,152.0","14,787,287.0","14,936,291.0","15,073,921.0","15,105,515.0","15,292,658.0","15,330,113.0","15,365,248.0","15,456,015.0","15,497,317.0","15,561,988.0","15,610,482.0","15,610,984.0","15,553,616.0","15,557,362.0","15,446,696.0","15,185,462.0","14,980,050.0","14,912,964.0","14,987,542.0","14,966,423.0","15,000,608.0","15,167,097.0","15,227,322.0","15,339,441.0","15,325,785.0","15,383,659.0","15,493,333.0","15,567,349.0","15,665,754.0","15,719,551.0","15,807,143.0","15,848,073.0","15,927,468.0","16,003,781.0","16,096,663.0","16,203,643.0","16,231,651.0","16,369,131.0","16,535,412.0","16,670,254.0","16,701,299.0"
"32",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","10","    Command-basis gross domestic product","C191RX1","4,802,230.0","4,814,869.0","4,845,709.0","4,825,837.0","4,816,056.0","4,824,329.0","4,860,191.0","4,809,109.0","4,939,211.0","4,965,622.0","5,000,361.0","5,012,993.0","5,101,505.0","5,214,894.0","5,262,202.0","5,357,126.0","5,482,141.0","5,526,608.0","5,502,219.0","5,559,713.0","5,475,393.0","5,464,907.0","5,406,025.0","5,388,053.0","5,329,483.0","5,369,710.0","5,465,371.0","5,540,879.0","5,663,411.0","5,705,154.0","5,729,711.0","5,781,747.0","5,837,976.0","5,936,242.0","6,023,552.0","6,051,181.0","6,062,499.0","6,292,891.0","6,350,115.0","6,447,427.0","6,451,181.0","6,453,956.0","6,476,753.0","6,466,997.0","6,448,077.0","6,304,014.0","6,295,249.0","6,419,267.0","6,546,154.0","6,504,158.0","6,592,911.0","6,521,636.0","6,421,684.0","6,465,057.0","6,447,397.0","6,457,653.0","6,554,533.0","6,706,919.0","6,841,221.0","6,992,950.0","7,133,521.0","7,256,489.0","7,335,718.0","7,402,142.0","7,486,754.0","7,555,255.0","7,665,844.0","7,712,280.0","7,780,805.0","7,840,069.0","7,906,707.0","7,940,073.0","7,990,271.0","8,070,229.0","8,137,485.0","8,274,386.0","8,318,733.0","8,427,101.0","8,493,521.0","8,594,310.0","8,682,449.0","8,742,072.0","8,818,274.0","8,833,120.0","8,916,551.0","8,970,258.0","8,954,021.0","8,838,562.0","8,829,627.0","8,920,102.0","8,972,231.0","9,010,185.0","9,108,509.0","9,206,875.0","9,285,420.0","9,383,449.0","9,404,900.0","9,460,854.0","9,524,391.0","9,651,875.0","9,748,755.0","9,877,127.0","9,926,298.0","10,039,965.0","10,073,245.0","10,099,494.0","10,196,180.0","10,276,472.0","10,348,129.0","10,532,590.0","10,616,827.0","10,727,356.0","10,830,265.0","10,999,978.0","11,153,414.0","11,244,513.0","11,380,131.0","11,499,364.0","11,660,764.0","11,855,184.0","11,966,866.0","12,040,861.0","12,177,754.0","12,369,492.0","12,388,977.0","12,634,135.0","12,646,766.0","12,715,988.0","12,684,778.0","12,784,936.0","12,764,779.0","12,825,843.0","12,948,982.0","12,988,793.0","13,053,060.0","13,059,076.0","13,091,432.0","13,242,572.0","13,462,142.0","13,616,617.0","13,681,129.0","13,783,658.0","13,887,775.0","13,979,802.0","14,147,486.0","14,213,266.0","14,300,751.0","14,356,783.0","14,543,304.0","14,586,093.0","14,600,573.0","14,742,754.0","14,762,938.0","14,856,076.0","14,931,438.0","14,921,484.0","14,772,173.0","14,777,422.0","14,669,993.0","14,512,571.0","14,434,601.0","14,380,648.0","14,378,157.0","14,481,146.0","14,530,629.0","14,699,939.0","14,819,378.0","14,904,967.0","14,803,698.0","14,879,688.0","14,930,845.0","15,085,131.0","15,160,711.0","15,250,850.0","15,368,706.0","15,362,678.0","15,475,724.0","15,555,695.0","15,726,844.0","15,862,080.0","15,777,160.0","15,962,947.0","16,157,617.0","16,258,879.0","16,326,472.0"
"34","11","    Command-basis net domestic product \1\","C362RX1","4,376,109.0","4,381,796.0","4,406,432.0","4,378,824.0","4,362,094.0","4,364,327.0","4,395,370.0","4,336,923.0","4,466,399.0","4,488,488.0","4,519,032.0","4,526,857.0","4,612,637.0","4,723,339.0","4,764,549.0","4,854,215.0","4,974,276.0","5,011,311.0","4,977,644.0","5,029,014.0","4,933,981.0","4,915,898.0","4,847,963.0","4,822,841.0","4,756,254.0","4,792,247.0","4,885,945.0","4,958,706.0","5,080,370.0","5,117,397.0","5,136,129.0","5,182,681.0","5,233,018.0","5,326,715.0","5,408,548.0","5,427,877.0","5,430,049.0","5,659,774.0","5,708,642.0","5,798,803.0","5,790,855.0","5,782,066.0","5,794,501.0","5,773,315.0","5,742,862.0","5,582,496.0","5,563,492.0","5,683,106.0","5,806,159.0","5,752,862.0","5,835,383.0","5,750,666.0","5,635,588.0","5,670,679.0","5,642,850.0","5,644,818.0","5,737,585.0","5,887,190.0","6,017,205.0","6,164,225.0","6,298,812.0","6,413,809.0","6,482,057.0","6,535,662.0","6,606,921.0","6,661,914.0","6,760,948.0","6,794,312.0","6,851,058.0","6,897,759.0","6,951,998.0","6,971,566.0","7,008,422.0","7,076,386.0","7,131,678.0","7,259,148.0","7,291,654.0","7,390,099.0","7,445,236.0","7,535,595.0","7,612,818.0","7,660,850.0","7,725,941.0","7,728,153.0","7,801,034.0","7,844,042.0","7,816,110.0","7,687,437.0","7,668,507.0","7,751,652.0","7,795,831.0","7,825,832.0","7,917,787.0","8,009,229.0","8,079,804.0","8,169,674.0","8,180,960.0","8,227,081.0","8,280,610.0","8,399,050.0","8,485,954.0","8,604,145.0","8,640,903.0","8,742,489.0","8,761,489.0","8,773,108.0","8,856,115.0","8,922,186.0","8,979,221.0","9,149,974.0","9,217,977.0","9,311,818.0","9,397,339.0","9,549,218.0","9,683,036.0","9,752,150.0","9,864,809.0","9,961,496.0","10,101,614.0","10,275,861.0","10,367,108.0","10,413,780.0","10,517,241.0","10,669,199.0","10,691,274.0","10,896,479.0","10,874,675.0","10,919,333.0","10,867,420.0","10,951,912.0","10,916,310.0","10,962,307.0","11,068,489.0","11,092,462.0","11,140,793.0","11,131,741.0","11,150,574.0","11,288,523.0","11,493,949.0","11,632,002.0","11,677,884.0","11,763,829.0","11,849,468.0","11,921,618.0","12,068,731.0","12,114,684.0","12,181,562.0","12,216,184.0","12,381,734.0","12,402,328.0","12,395,414.0","12,516,122.0","12,515,197.0","12,589,264.0","12,646,747.0","12,619,995.0","12,455,692.0","12,445,647.0","12,323,206.0","12,151,984.0","12,067,106.0","12,011,248.0","12,009,385.0","12,113,274.0","12,158,845.0","12,322,069.0","12,434,759.0","12,513,368.0","12,404,907.0","12,473,793.0","12,516,279.0","12,659,905.0","12,723,988.0","12,801,751.0","12,908,216.0","12,891,137.0","12,990,863.0","13,057,461.0","13,215,106.0","13,336,528.0","13,238,566.0","13,410,479.0","13,589,202.0","13,674,352.0","13,726,533.0"
"35","12","    Command-basis gross national product","CB22RX1","4,832,788.0","4,844,200.0","4,873,638.0","4,853,738.0","4,844,796.0","4,854,250.0","4,889,590.0","4,835,828.0","4,971,395.0","4,999,780.0","5,031,118.0","5,045,450.0","5,135,307.0","5,248,217.0","5,298,477.0","5,393,415.0","5,524,508.0","5,571,933.0","5,555,361.0","5,613,473.0","5,537,914.0","5,523,314.0","5,458,851.0","5,432,888.0","5,366,984.0","5,407,495.0","5,506,821.0","5,590,976.0","5,712,288.0","5,756,293.0","5,781,595.0","5,835,069.0","5,898,816.0","5,996,029.0","6,082,826.0","6,103,550.0","6,123,141.0","6,343,386.0","6,405,414.0","6,511,302.0","6,516,622.0","6,527,177.0","6,564,296.0","6,553,434.0","6,535,670.0","6,384,642.0","6,370,998.0","6,480,438.0","6,611,793.0","6,565,791.0","6,659,006.0","6,596,373.0","6,492,284.0","6,544,486.0","6,514,468.0","6,522,258.0","6,618,661.0","6,775,677.0","6,911,383.0","7,066,046.0","7,201,050.0","7,324,335.0","7,402,762.0","7,461,437.0","7,532,150.0","7,603,846.0","7,705,083.0","7,756,623.0","7,818,981.0","7,866,736.0","7,937,820.0","7,960,472.0","8,014,510.0","8,100,580.0","8,166,984.0","8,306,814.0","8,359,567.0","8,464,022.0","8,525,834.0","8,630,295.0","8,717,628.0","8,775,723.0","8,855,786.0","8,880,323.0","8,961,232.0","9,017,737.0","8,994,321.0","8,912,646.0","8,887,166.0","8,961,565.0","9,008,461.0","9,057,854.0","9,155,236.0","9,252,335.0","9,326,599.0","9,425,913.0","9,457,877.0","9,504,463.0","9,575,453.0","9,681,360.0","9,787,361.0","9,909,428.0","9,956,258.0","10,068,480.0","10,114,164.0","10,143,886.0","10,222,163.0","10,317,732.0","10,398,158.0","10,571,691.0","10,651,631.0","10,769,158.0","10,861,124.0","11,040,457.0","11,184,028.0","11,266,443.0","11,413,643.0","11,529,186.0","11,674,008.0","11,871,766.0","11,994,843.0","12,075,365.0","12,208,521.0","12,412,505.0","12,426,984.0","12,675,710.0","12,682,526.0","12,781,733.0","12,733,670.0","12,844,676.0","12,796,964.0","12,933,920.0","13,010,158.0","13,027,452.0","13,108,443.0","13,134,149.0","13,149,808.0","13,316,969.0","13,536,210.0","13,720,946.0","13,805,445.0","13,878,586.0","13,994,041.0","14,056,661.0","14,261,082.0","14,313,783.0","14,411,571.0","14,435,428.0","14,623,683.0","14,660,465.0","14,660,467.0","14,813,552.0","14,834,120.0","14,949,433.0","15,083,255.0","15,119,544.0","14,953,720.0","14,961,483.0","14,869,841.0","14,633,323.0","14,563,469.0","14,505,666.0","14,557,557.0","14,651,774.0","14,732,139.0","14,902,650.0","15,015,942.0","15,115,610.0","15,025,316.0","15,102,077.0","15,175,601.0","15,344,911.0","15,387,338.0","15,469,096.0","15,571,870.0","15,574,827.0","15,671,551.0","15,756,819.0","15,941,943.0","16,087,643.0","15,972,485.0","16,159,601.0","16,368,657.0","16,435,670.0","....."
"36","13","    Command-basis net national product \1\","C027RX1","4,407,789.0","4,412,200.0","4,435,370.0","4,407,730.0","4,391,859.0","4,395,310.0","4,425,826.0","4,364,605.0","4,499,738.0","4,523,865.0","4,550,885.0","4,560,478.0","4,647,627.0","4,757,841.0","4,802,107.0","4,891,780.0","5,018,124.0","5,058,201.0","5,032,623.0","5,084,661.0","4,998,705.0","4,976,385.0","4,902,700.0","4,869,327.0","4,795,196.0","4,831,543.0","4,929,067.0","5,010,811.0","5,131,202.0","5,170,596.0","5,190,111.0","5,238,165.0","5,296,328.0","5,388,945.0","5,470,266.0","5,482,419.0","5,493,230.0","5,712,387.0","5,766,284.0","5,865,391.0","5,859,090.0","5,858,379.0","5,885,710.0","5,863,357.0","5,834,056.0","5,666,442.0","5,642,385.0","5,746,797.0","5,874,486.0","5,817,072.0","5,904,287.0","5,828,579.0","5,709,233.0","5,753,562.0","5,712,764.0","5,712,081.0","5,804,287.0","5,958,642.0","6,090,028.0","6,240,063.0","6,368,816.0","6,484,091.0","6,551,471.0","6,597,027.0","6,653,850.0","6,712,122.0","6,801,477.0","6,840,096.0","6,890,476.0","6,925,314.0","6,984,139.0","6,992,631.0","7,033,431.0","7,107,680.0","7,162,084.0","7,292,567.0","7,333,744.0","7,428,143.0","7,478,518.0","7,572,643.0","7,649,010.0","7,695,438.0","7,764,496.0","7,776,649.0","7,846,883.0","7,892,739.0","7,857,407.0","7,763,266.0","7,727,402.0","7,794,094.0","7,832,893.0","7,874,550.0","7,965,488.0","8,055,592.0","8,121,773.0","8,212,936.0","8,234,926.0","8,271,490.0","8,332,605.0","8,429,068.0","8,525,248.0","8,637,016.0","8,671,388.0","8,771,511.0","8,803,151.0","8,818,302.0","8,882,566.0","8,964,168.0","9,030,081.0","9,189,700.0","9,253,317.0","9,354,232.0","9,428,638.0","9,590,271.0","9,714,071.0","9,774,369.0","9,898,753.0","9,991,695.0","10,115,022.0","10,292,645.0","10,395,422.0","10,448,679.0","10,548,335.0","10,712,623.0","10,729,755.0","10,938,505.0","10,910,747.0","10,985,513.0","10,916,669.0","11,012,138.0","10,948,764.0","11,071,285.0","11,130,110.0","11,131,354.0","11,196,486.0","11,207,193.0","11,209,177.0","11,363,217.0","11,568,282.0","11,736,674.0","11,802,540.0","11,859,015.0","11,956,046.0","11,998,728.0","12,182,737.0","12,215,600.0","12,292,818.0","12,295,179.0","12,462,485.0","12,477,037.0","12,455,573.0","12,587,311.0","12,586,737.0","12,683,028.0","12,799,146.0","12,818,611.0","12,637,644.0","12,629,938.0","12,523,138.0","12,272,998.0","12,196,258.0","12,136,309.0","12,188,567.0","12,283,678.0","12,359,921.0","12,524,238.0","12,630,695.0","12,723,278.0","12,625,663.0","12,695,209.0","12,759,950.0","12,918,512.0","12,949,522.0","13,018,986.0","13,110,438.0","13,102,220.0","13,185,785.0","13,257,776.0","13,429,382.0","13,561,329.0","13,433,296.0","13,606,479.0","13,799,570.0","13,850,660.0","....."
"37",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","14","    Disposable personal income","A067RX1","3,197,022.0","3,232,163.0","3,300,615.0","3,326,458.0","3,358,951.0","3,398,517.0","3,451,660.0","3,442,941.0","3,511,986.0","3,563,227.0","3,582,192.0","3,623,955.0","3,640,627.0","3,677,764.0","3,748,494.0","3,897,247.0","3,924,912.0","3,956,225.0","3,973,401.0","4,017,065.0","3,950,863.0","3,913,970.0","3,917,747.0","3,912,896.0","3,906,525.0","4,087,848.0","4,028,445.0","4,059,234.0","4,106,855.0","4,128,180.0","4,158,585.0","4,183,351.0","4,182,065.0","4,234,188.0","4,298,961.0","4,382,062.0","4,413,034.0","4,456,647.0","4,488,809.0","4,524,156.0","4,572,251.0","4,532,798.0","4,554,249.0","4,574,296.0","4,589,783.0","4,523,113.0","4,578,310.0","4,668,149.0","4,655,623.0","4,654,522.0","4,749,775.0","4,759,131.0","4,764,829.0","4,792,297.0","4,817,995.0","4,839,681.0","4,881,256.0","4,915,894.0","4,990,052.0","5,097,617.0","5,201,785.0","5,288,251.0","5,360,803.0","5,404,946.0","5,392,014.0","5,495,812.0","5,477,364.0","5,540,314.0","5,609,368.0","5,683,877.0","5,724,107.0","5,734,376.0","5,781,630.0","5,725,536.0","5,829,572.0","5,907,511.0","5,993,689.0","6,055,218.0","6,113,530.0","6,172,575.0","6,248,811.0","6,230,370.0","6,272,845.0","6,323,241.0","6,376,468.0","6,414,652.0","6,417,031.0","6,366,169.0","6,379,725.0","6,423,864.0","6,447,216.0","6,502,333.0","6,641,928.0","6,711,357.0","6,740,666.0","6,763,812.0","6,801,728.0","6,813,692.0","6,817,706.0","6,862,531.0","6,910,615.0","6,983,818.0","7,025,316.0","7,122,939.0","7,190,896.0","7,207,251.0","7,271,647.0","7,313,757.0","7,383,716.0","7,454,301.0","7,513,732.0","7,552,889.0","7,628,695.0","7,693,919.0","7,785,458.0","7,897,064.0","8,065,328.0","8,178,008.0","8,261,363.0","8,328,481.0","8,403,080.0","8,423,896.0","8,480,303.0","8,605,082.0","8,774,570.0","8,865,621.0","8,969,158.0","8,999,501.0","9,076,228.0","9,068,239.0","9,282,631.0","9,167,778.0","9,390,813.0","9,438,449.0","9,426,252.0","9,471,618.0","9,498,001.0","9,635,544.0","9,793,432.0","9,833,027.0","9,904,677.0","10,002,266.0","10,054,943.0","10,180,631.0","10,082,493.0","10,162,278.0","10,214,451.0","10,298,741.0","10,533,963.0","10,549,795.0","10,579,887.0","10,718,364.0","10,788,663.0","10,809,538.0","10,837,871.0","10,846,993.0","10,925,267.0","11,155,660.0","10,899,245.0","10,969,232.0","10,948,504.0","11,026,430.0","10,905,433.0","10,891,013.0","10,902,021.0","11,043,804.0","11,098,758.0","11,176,158.0","11,312,928.0","11,295,234.0","11,355,092.0","11,362,032.0","11,549,849.0","11,616,165.0","11,604,090.0","11,933,362.0","11,538,560.0","11,647,028.0","11,705,907.0","11,711,670.0","11,810,068.0","11,900,353.0","11,970,330.0","12,077,018.0","12,259,155.0"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
