"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","    Current receipts","W830RC1","70,147.0","81,354.0","90,909.0","101,891.0","114,033.0","123,764.0","137,725.0","150,795.0","165,261.0","180,471.0","191,267.0","208,339.0","226,894.0","244,441.0","262,486.0","289,904.0","318,394.0","342,495.0","360,120.0","387,883.0","419,954.0","446,164.0","475,931.0","501,136.0","522,151.0","556,934.0","584,556.0","617,425.0","652,374.0","690,403.0","739,475.0","791,844.0","825,422.0","865,140.0","915,692.0","957,803.0","1,016,438.0","1,089,228.0","1,154,832.0","1,164,358.0","1,171,196.0","1,184,460.0","1,192,962.0","1,195,549.0","1,214,922.0"
"20","2","Current tax receipts","W831RC1","38,431.0","43,154.0","47,937.0","52,041.0","56,078.0","60,166.0","65,543.0","71,910.0","78,615.0","80,768.0","83,100.0","89,139.0","100,155.0","110,845.0","120,387.0","131,903.0","142,827.0","155,572.0","168,452.0","183,314.0","199,642.0","213,557.0","230,127.0","240,981.0","247,689.0","263,786.0","270,665.0","283,723.0","300,777.0","314,222.0","332,543.0","353,139.0","367,451.0","394,808.0","419,832.0","451,464.0","490,242.0","526,401.0","561,608.0","565,342.0","579,955.0","585,695.0","598,023.0","608,988.0","617,084.0"
"21","3","  Personal current taxes","W832RC1","2,025.0","2,259.0","2,463.0","2,986.0","3,046.0","3,426.0","3,715.0","4,097.0","4,475.0","4,859.0","5,133.0","5,147.0","6,157.0","6,881.0","7,246.0","7,785.0","8,193.0","8,871.0","9,125.0","11,664.0","12,250.0","12,928.0","13,499.0","14,687.0","14,811.0","15,861.0","17,171.0","17,757.0","19,256.0","20,852.0","21,934.0","23,163.0","22,883.0","22,717.0","24,420.0","27,147.0","29,970.0","31,529.0","34,612.0","33,780.0","31,174.0","32,969.0","33,805.0","35,735.0","37,045.0"
"22","4","    Income taxes","W833RC1","1,149.0","1,320.0","1,490.0","1,988.0","2,046.0","2,304.0","2,519.0","2,826.0","3,207.0","3,397.0","3,602.0","3,451.0","4,332.0","4,915.0","5,133.0","5,590.0","6,014.0","6,764.0","6,828.0","9,053.0","9,405.0","9,954.0","10,339.0","11,364.0","11,307.0","12,041.0","13,308.0","13,687.0","14,933.0","16,241.0","17,093.0","18,134.0","17,600.0","17,070.0","18,266.0","20,271.0","22,514.0","23,607.0","26,535.0","26,104.0","23,250.0","24,962.0","25,510.0","27,275.0","28,472.0"
"23","5","    Other","W834RC1","876.0","939.0","973.0","998.0","1,000.0","1,122.0","1,196.0","1,271.0","1,268.0","1,462.0","1,531.0","1,696.0","1,825.0","1,966.0","2,113.0","2,195.0","2,179.0","2,107.0","2,297.0","2,611.0","2,845.0","2,974.0","3,160.0","3,323.0","3,504.0","3,820.0","3,863.0","4,070.0","4,323.0","4,611.0","4,841.0","5,029.0","5,283.0","5,647.0","6,154.0","6,876.0","7,456.0","7,922.0","8,077.0","7,676.0","7,924.0","8,007.0","8,295.0","8,460.0","8,573.0"
"24","6","  Taxes on production and imports","W8735C1","36,148.0","40,646.0","45,211.0","48,754.0","52,715.0","56,406.0","61,401.0","67,265.0","73,555.0","75,309.0","77,340.0","83,260.0","93,026.0","103,008.0","112,101.0","122,743.0","133,088.0","144,740.0","157,259.0","169,394.0","185,588.0","198,667.0","214,546.0","224,161.0","230,464.0","245,448.0","251,007.0","262,891.0","278,376.0","290,014.0","307,112.0","326,489.0","341,606.0","366,227.0","388,953.0","416,392.0","449,833.0","483,616.0","515,999.0","522,550.0","541,604.0","544,881.0","555,998.0","564,927.0","571,466.0"
"25","7","    Sales taxes","W836RC1","2,869.0","3,452.0","3,971.0","4,577.0","5,240.0","6,148.0","6,954.0","7,892.0","8,993.0","10,167.0","11,546.0","12,823.0","14,296.0","15,868.0","17,690.0","20,119.0","22,121.0","24,082.0","25,713.0","27,243.0","30,064.0","31,765.0","33,160.0","34,626.0","37,004.0","39,742.0","42,240.0","44,352.0","47,354.0","50,611.0","55,621.0","61,328.0","61,858.0","63,149.0","66,819.0","70,532.0","76,820.0","85,188.0","89,956.0","90,444.0","88,328.0","91,247.0","96,033.0","99,309.0","102,355.0"
"26","8","    Property taxes","W837RC1","31,899.0","35,732.0","39,480.0","42,155.0","45,170.0","47,866.0","51,935.0","56,713.0","61,698.0","61,829.0","62,055.0","66,238.0","74,427.0","82,549.0","88,879.0","96,346.0","104,017.0","112,580.0","122,679.0","132,739.0","145,568.0","156,954.0","171,140.0","178,579.0","181,347.0","192,376.0","195,339.0","204,183.0","215,467.0","222,463.0","233,653.0","246,897.0","259,967.0","281,581.0","297,922.0","317,861.0","342,267.0","365,283.0","394,062.0","404,048.0","424,716.0","424,374.0","429,244.0","433,941.0","436,579.0"
"27","9","    Other","W838RC1","1,380.0","1,462.0","1,760.0","2,022.0","2,305.0","2,392.0","2,512.0","2,660.0","2,864.0","3,313.0","3,739.0","4,199.0","4,303.0","4,591.0","5,532.0","6,278.0","6,950.0","8,078.0","8,867.0","9,412.0","9,956.0","9,948.0","10,246.0","10,956.0","12,113.0","13,330.0","13,428.0","14,356.0","15,555.0","16,940.0","17,838.0","18,264.0","19,781.0","21,497.0","24,212.0","27,999.0","30,746.0","33,145.0","31,981.0","28,058.0","28,560.0","29,260.0","30,721.0","31,677.0","32,532.0"
"28","10","  Taxes on corporate income","W839RC1","258.0","249.0","263.0","301.0","317.0","334.0","427.0","548.0","585.0","600.0","627.0","732.0","972.0","956.0","1,040.0","1,375.0","1,546.0","1,961.0","2,068.0","2,256.0","1,804.0","1,962.0","2,082.0","2,133.0","2,414.0","2,477.0","2,487.0","3,075.0","3,145.0","3,356.0","3,497.0","3,487.0","2,962.0","5,864.0","6,459.0","7,925.0","10,439.0","11,256.0","10,997.0","9,012.0","7,177.0","7,845.0","8,220.0","8,326.0","8,573.0"
"29","11","Contributions for government social insurance","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","12","Income receipts on assets","W841RC1","2,201.0","2,634.0","2,820.0","2,994.0","3,873.0","5,157.0","5,562.0","5,103.0","5,612.0","7,247.0","9,802.0","12,904.0","16,375.0","19,208.0","21,930.0","25,246.0","29,466.0","31,441.0","30,140.0","30,363.0","33,802.0","34,530.0","33,154.0","30,445.0","28,689.0","29,636.0","32,233.0","34,328.0","36,337.0","38,000.0","38,600.0","44,637.0","42,637.0","36,150.0","31,865.0","32,431.0","37,979.0","47,951.0","52,936.0","45,604.0","35,653.0","31,311.0","27,221.0","25,892.0","26,042.0"
"31","13","  Interest receipts","W842RC1","1,776.0","2,159.0","2,287.0","2,427.0","3,251.0","4,476.0","4,861.0","4,386.0","4,937.0","6,531.0","8,926.0","11,834.0","15,263.0","17,783.0","19,833.0","22,802.0","26,738.0","27,926.0","27,407.0","28,628.0","32,113.0","32,722.0","31,216.0","28,397.0","26,632.0","27,616.0","30,266.0","32,377.0","34,282.0","35,756.0","36,089.0","41,985.0","39,835.0","33,231.0","28,626.0","29,038.0","34,184.0","44,033.0","48,905.0","41,428.0","31,421.0","26,724.0","22,462.0","20,984.0","21,007.0"
"32","14","  Dividends","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","15","  Rents and royalties","W844RC1","425.0","475.0","533.0","567.0","622.0","681.0","701.0","717.0","675.0","716.0","876.0","1,070.0","1,112.0","1,425.0","2,097.0","2,444.0","2,728.0","3,515.0","2,733.0","1,735.0","1,689.0","1,808.0","1,938.0","2,048.0","2,057.0","2,020.0","1,967.0","1,951.0","2,055.0","2,244.0","2,511.0","2,652.0","2,802.0","2,919.0","3,239.0","3,393.0","3,795.0","3,918.0","4,031.0","4,176.0","4,232.0","4,588.0","4,759.0","4,908.0","5,035.0"
"34","16","Current transfer receipts","W845RC1","28,771.0","34,795.0","39,549.0","46,006.0","53,241.0","57,940.0","66,363.0","73,459.0","80,854.0","92,338.0","98,766.0","107,270.0","112,190.0","115,573.0","120,397.0","131,708.0","143,968.0","153,661.0","159,151.0","170,516.0","181,937.0","193,354.0","207,655.0","224,812.0","240,008.0","257,563.0","273,234.0","288,749.0","305,426.0","329,993.0","358,656.0","385,804.0","409,088.0","430,666.0","464,439.0","478,298.0","492,769.0","520,759.0","550,397.0","566,049.0","567,722.0","577,820.0","577,156.0","569,766.0","579,496.0"
"35","17","  Federal grants-in-aid","W846RC1","1,251.0","3,150.0","3,789.0","5,865.0","8,947.0","8,658.0","11,213.0","13,637.0","16,008.0","20,366.0","18,051.0","17,637.0","14,816.0","13,532.0","12,984.0","13,343.0","13,554.0","13,152.0","8,987.0","9,525.0","6,790.0","6,741.0","6,972.0","7,351.0","8,063.0","9,944.0","10,526.0","12,592.0","14,000.0","17,887.0","20,071.0","20,487.0","22,367.0","23,702.0","36,585.0","28,752.0","31,128.0","26,617.0","26,777.0","24,373.0","25,260.0","31,946.0","30,283.0","27,253.0","27,043.0"
"36","18","  State government grants-in-aid","W847RC1","26,427.0","30,420.0","34,345.0","38,486.0","42,555.0","47,267.0","52,799.0","57,023.0","61,616.0","68,238.0","76,342.0","84,617.0","91,298.0","95,262.0","99,875.0","109,795.0","121,195.0","130,104.0","139,537.0","149,833.0","162,586.0","173,125.0","186,066.0","201,022.0","212,888.0","226,171.0","239,004.0","250,271.0","263,022.0","282,428.0","306,601.0","330,971.0","350,722.0","367,489.0","383,507.0","401,647.0","413,899.0","441,656.0","469,162.0","486,130.0","486,320.0","488,768.0","487,478.0","482,297.0","487,949.0"
"37","19","  From business (net)","W848RC1","415.0","435.0","468.0","531.0","723.0","872.0","973.0","1,110.0","1,302.0","1,544.0","1,798.0","2,035.0","2,400.0","2,698.0","3,001.0","3,416.0","3,547.0","3,883.0","3,968.0","4,305.0","5,076.0","5,475.0","5,948.0","6,675.0","7,669.0","8,566.0","9,390.0","10,169.0","11,132.0","11,806.0","12,655.0","13,539.0","13,722.0","15,382.0","17,209.0","18,779.0","18,127.0","20,583.0","21,517.0","22,424.0","22,347.0","23,291.0","24,465.0","23,608.0","26,416.0"
"38","20","  From persons","W849RC1","678.0","790.0","947.0","1,124.0","1,016.0","1,143.0","1,378.0","1,689.0","1,928.0","2,190.0","2,575.0","2,981.0","3,677.0","4,081.0","4,537.0","5,154.0","5,672.0","6,522.0","6,659.0","6,853.0","7,485.0","8,013.0","8,669.0","9,764.0","11,388.0","12,882.0","14,314.0","15,717.0","17,272.0","17,873.0","19,329.0","20,807.0","22,277.0","24,093.0","27,137.0","29,120.0","29,614.0","31,285.0","32,467.0","32,602.0","33,303.0","33,117.0","34,044.0","35,704.0","36,883.0"
"39","21","Current surplus of government enterprises","W850RC1","744.0","771.0","604.0","850.0","841.0","502.0","257.0","323.0","181.0","117.0","-401.0","-975.0","-1,826.0","-1,185.0","-228.0","1,048.0","2,132.0","1,822.0","2,377.0","3,691.0","4,572.0","4,723.0","4,995.0","4,898.0","5,766.0","5,949.0","8,424.0","10,624.0","9,833.0","8,188.0","9,676.0","8,264.0","6,247.0","3,516.0","-443.0","-4,391.0","-4,551.0","-5,883.0","-10,109.0","-12,637.0","-12,134.0","-10,366.0","-9,438.0","-9,098.0","-7,701.0"
"40","22","    Current expenditures","W851RC1","64,885.0","74,681.0","85,602.0","95,623.0","104,270.0","117,010.0","134,271.0","144,022.0","156,903.0","170,055.0","184,044.0","201,116.0","219,366.0","237,148.0","255,756.0","275,218.0","298,779.0","323,810.0","348,255.0","371,272.0","406,964.0","441,152.0","472,883.0","509,232.0","529,593.0","555,769.0","584,299.0","608,045.0","634,816.0","665,109.0","706,606.0","753,584.0","811,217.0","866,389.0","920,956.0","975,184.0","1,024,343.0","1,082,807.0","1,150,571.0","1,209,556.0","1,255,162.0","1,270,750.0","1,274,692.0","1,292,170.0","1,318,391.0"
"41","23","Consumption expenditures","W852RC1","58,083.0","66,324.0","75,366.0","83,930.0","91,540.0","102,351.0","116,471.0","124,377.0","135,495.0","146,781.0","159,428.0","173,984.0","189,197.0","203,673.0","217,193.0","233,012.0","254,374.0","274,955.0","295,624.0","316,549.0","347,381.0","378,979.0","404,725.0","435,190.0","453,405.0","477,704.0","503,175.0","528,367.0","554,540.0","587,426.0","629,399.0","676,283.0","725,376.0","770,762.0","807,962.0","860,480.0","909,169.0","964,755.0","1,026,794.0","1,081,017.0","1,096,660.0","1,107,124.0","1,111,737.0","1,122,325.0","1,148,567.0"
"42","24","Current transfer payments","W853RC1","3,182.0","4,082.0","4,998.0","5,554.0","5,946.0","6,710.0","8,314.0","9,530.0","10,375.0","11,265.0","11,091.0","12,276.0","13,027.0","13,342.0","15,175.0","16,381.0","17,249.0","18,216.0","18,826.0","19,638.0","20,738.0","22,858.0","26,501.0","29,461.0","31,721.0","33,365.0","33,950.0","33,782.0","34,240.0","34,477.0","34,919.0","36,984.0","38,942.0","41,326.0","43,758.0","46,829.0","48,058.0","48,242.0","52,467.0","54,475.0","56,116.0","58,912.0","58,549.0","58,794.0","60,744.0"
"43","25","  Government social benefit payments to persons","W854RC1","2,419.0","3,218.0","4,046.0","4,474.0","4,704.0","5,387.0","6,598.0","7,277.0","7,971.0","8,738.0","8,902.0","9,944.0","10,359.0","10,244.0","11,007.0","11,408.0","12,088.0","12,917.0","13,357.0","14,052.0","14,957.0","16,622.0","18,905.0","20,509.0","21,647.0","22,357.0","22,854.0","21,777.0","20,782.0","21,133.0","22,057.0","23,003.0","24,026.0","25,811.0","27,318.0","29,247.0","31,449.0","32,641.0","34,750.0","36,780.0","39,585.0","42,283.0","41,685.0","41,401.0","43,066.0"
"44","26","  Grants-in-aid to state governments","W855RC1","763.0","864.0","952.0","1,080.0","1,242.0","1,323.0","1,716.0","2,253.0","2,404.0","2,527.0","2,189.0","2,332.0","2,668.0","3,098.0","4,168.0","4,973.0","5,161.0","5,299.0","5,469.0","5,586.0","5,781.0","6,236.0","7,596.0","8,952.0","10,074.0","11,008.0","11,096.0","12,005.0","13,458.0","13,344.0","12,862.0","13,981.0","14,916.0","15,515.0","16,440.0","17,582.0","16,609.0","15,601.0","17,717.0","17,695.0","16,531.0","16,629.0","16,864.0","17,393.0","17,678.0"
"45","27","Interest payments \1\","W856RC1","3,615.0","4,269.0","5,230.0","6,126.0","6,761.0","7,852.0","9,194.0","9,811.0","10,738.0","11,728.0","13,216.0","14,512.0","16,728.0","19,605.0","22,826.0","25,260.0","26,444.0","29,618.0","32,618.0","33,846.0","37,606.0","38,045.0","40,274.0","43,210.0","43,114.0","43,315.0","45,789.0","44,474.0","44,487.0","41,654.0","40,723.0","38,625.0","45,279.0","52,839.0","67,674.0","65,949.0","64,971.0","67,844.0","69,744.0","72,951.0","101,429.0","103,705.0","103,285.0","109,880.0","107,870.0"
"46","28","  To persons and business \1\","Y709RC1","3,615.0","4,269.0","5,230.0","6,126.0","6,761.0","7,852.0","9,194.0","9,811.0","10,738.0","11,728.0","13,216.0","14,512.0","16,728.0","19,605.0","22,826.0","25,260.0","26,444.0","29,618.0","32,618.0","33,846.0","37,606.0","38,045.0","40,274.0","43,210.0","43,114.0","43,315.0","45,789.0","44,474.0","44,487.0","41,654.0","40,723.0","38,625.0","45,279.0","52,839.0","67,674.0","65,949.0","64,971.0","67,844.0","69,744.0","71,189.0","99,901.0","102,304.0","101,735.0","108,190.0","106,295.0"
"47","29","  To the rest of the world","Y710RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,762.0","1,528.0","1,401.0","1,550.0","1,690.0","1,576.0"
"48","30","Subsidies","W857RC1","5.0","5.0","8.0","13.0","23.0","98.0","292.0","304.0","295.0","281.0","309.0","343.0","414.0","528.0","562.0","566.0","712.0","1,022.0","1,187.0","1,239.0","1,238.0","1,271.0","1,383.0","1,370.0","1,353.0","1,385.0","1,386.0","1,421.0","1,549.0","1,552.0","1,565.0","1,693.0","1,620.0","1,462.0","1,562.0","1,925.0","2,145.0","1,966.0","1,566.0","1,113.0","958.0","1,009.0","1,121.0","1,172.0","1,210.0"
"49","31","    Net local government saving","W859RC1","5,262.0","6,674.0","5,307.0","6,268.0","9,763.0","6,754.0","3,453.0","6,773.0","8,358.0","10,416.0","7,222.0","7,222.0","7,528.0","7,293.0","6,731.0","14,686.0","19,615.0","18,685.0","11,864.0","16,612.0","12,990.0","5,012.0","3,049.0","-8,095.0","-7,442.0","1,165.0","257.0","9,380.0","17,558.0","25,294.0","32,869.0","38,260.0","14,205.0","-1,249.0","-5,264.0","-17,382.0","-7,905.0","6,422.0","4,261.0","-45,198.0","-83,966.0","-86,290.0","-81,730.0","-96,621.0","-103,470.0"
"50","32","Social insurance funds","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"51","33","Other","W861RC1","5,262.0","6,674.0","5,307.0","6,268.0","9,763.0","6,754.0","3,453.0","6,773.0","8,358.0","10,416.0","7,222.0","7,222.0","7,528.0","7,293.0","6,731.0","14,686.0","19,615.0","18,685.0","11,864.0","16,612.0","12,990.0","5,012.0","3,049.0","-8,095.0","-7,442.0","1,165.0","257.0","9,380.0","17,558.0","25,294.0","32,869.0","38,260.0","14,205.0","-1,249.0","-5,264.0","-17,382.0","-7,905.0","6,422.0","4,261.0","-45,198.0","-83,966.0","-86,290.0","-81,730.0","-96,621.0","-103,470.0"
"52",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","34","  Total receipts","W862RC1","73,318.0","84,228.0","94,284.0","105,592.0","118,255.0","129,461.0","144,198.0","158,087.0","173,579.0","189,299.0","201,321.0","219,254.0","238,043.0","255,213.0","273,271.0","301,225.0","329,786.0","354,405.0","371,932.0","399,484.0","431,999.0","458,903.0","489,041.0","514,604.0","536,047.0","571,128.0","600,593.0","634,161.0","669,627.0","707,923.0","758,033.0","812,197.0","849,286.0","888,057.0","939,343.0","982,309.0","1,042,632.0","1,114,828.0","1,183,249.0","1,194,134.0","1,203,691.0","1,223,684.0","1,229,300.0","1,233,361.0","1,249,920.0"
"54","35","    Current receipts","W830RC1","70,147.0","81,354.0","90,909.0","101,891.0","114,033.0","123,764.0","137,725.0","150,795.0","165,261.0","180,471.0","191,267.0","208,339.0","226,894.0","244,441.0","262,486.0","289,904.0","318,394.0","342,495.0","360,120.0","387,883.0","419,954.0","446,164.0","475,931.0","501,136.0","522,151.0","556,934.0","584,556.0","617,425.0","652,374.0","690,403.0","739,475.0","791,844.0","825,422.0","865,140.0","915,692.0","957,803.0","1,016,438.0","1,089,228.0","1,154,832.0","1,164,358.0","1,171,196.0","1,184,460.0","1,192,962.0","1,195,549.0","1,214,922.0"
"55","36","    Capital transfer receipts","W864RC1","3,171.0","2,874.0","3,375.0","3,701.0","4,222.0","5,697.0","6,473.0","7,292.0","8,318.0","8,828.0","10,054.0","10,915.0","11,149.0","10,772.0","10,785.0","11,321.0","11,392.0","11,910.0","11,812.0","11,601.0","12,045.0","12,739.0","13,109.0","13,467.0","13,896.0","14,194.0","16,036.0","16,736.0","17,253.0","17,520.0","18,558.0","20,353.0","23,863.0","22,917.0","23,651.0","24,506.0","26,194.0","25,600.0","28,417.0","29,776.0","32,495.0","39,224.0","36,338.0","37,812.0","34,999.0"
"56","37","  Total expenditures","W865RC1","76,407.0","85,063.0","95,989.0","105,436.0","115,422.0","131,530.0","150,764.0","160,017.0","171,585.0","188,489.0","204,678.0","224,364.0","241,021.0","257,534.0","275,680.0","298,221.0","325,942.0","355,101.0","381,101.0","406,619.0","446,861.0","487,272.0","519,996.0","555,243.0","572,510.0","599,747.0","634,044.0","664,066.0","698,767.0","732,254.0","783,511.0","837,130.0","901,459.0","964,827.0","1,021,873.0","1,076,326.0","1,125,346.0","1,192,549.0","1,274,209.0","1,337,262.0","1,376,436.0","1,376,330.0","1,362,062.0","1,365,461.0","1,385,250.0"
"57","38","    Current expenditures","W851RC1","64,885.0","74,681.0","85,602.0","95,623.0","104,270.0","117,010.0","134,271.0","144,022.0","156,903.0","170,055.0","184,044.0","201,116.0","219,366.0","237,148.0","255,756.0","275,218.0","298,779.0","323,810.0","348,255.0","371,272.0","406,964.0","441,152.0","472,883.0","509,232.0","529,593.0","555,769.0","584,299.0","608,045.0","634,816.0","665,109.0","706,606.0","753,584.0","811,217.0","866,389.0","920,956.0","975,184.0","1,024,343.0","1,082,807.0","1,150,571.0","1,209,556.0","1,255,162.0","1,270,750.0","1,274,692.0","1,292,170.0","1,318,391.0"
