"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"21","2","Consumption of fixed capital","A438RC1","53,465.0","54,939.0","56,441.0","57,971.0","59,529.0","61,062.0","62,571.0","64,054.0","65,513.0","66,939.0","68,333.0","69,694.0","71,023.0","72,521.0","74,189.0","76,027.0","78,035.0","80,416.0","83,171.0","86,299.0","89,800.0","93,697.0","97,988.0","102,676.0","107,758.0","112,094.0","115,684.0","118,528.0","120,626.0","123,226.0","126,328.0","129,932.0","134,038.0","138,247.0","142,561.0","146,979.0","151,500.0","156,419.0","161,735.0","167,449.0","173,560.0","179,921.0","186,533.0","193,393.0","200,505.0","207,983.0","215,827.0","224,038.0","232,615.0","240,952.0","249,048.0","256,905.0","264,522.0","270,768.0","275,643.0","279,145.0","281,278.0","283,969.0","287,222.0","291,035.0","295,409.0","300,262.0","305,595.0","311,406.0","317,697.0","323,879.0","329,956.0","335,924.0","341,786.0","347,363.0","352,657.0","357,667.0","362,394.0","367,844.0","374,017.0","380,914.0","388,534.0","395,942.0","403,135.0","410,115.0","416,883.0","423,718.0","430,621.0","437,594.0","444,635.0","451,703.0","458,798.0","465,919.0","473,069.0","479,056.0","483,882.0","487,546.0","490,049.0","493,529.0","497,989.0","503,426.0","509,841.0","516,372.0","523,022.0","529,789.0","536,673.0","544,934.0","554,575.0","565,594.0","577,991.0","589,198.0","599,215.0","608,042.0","615,680.0","624,373.0","634,122.0","644,929.0","656,791.0","668,424.0","679,829.0","691,004.0","701,951.0","713,280.0","724,993.0","737,088.0","749,567.0","764,570.0","782,098.0","802,149.0","824,725.0","841,658.0","852,946.0","858,590.0","877,577.0","893,246.0","900,510.0","908,074.0","912,291.0","916,215.0","923,973.0","929,649.0","932,267.0","937,554.0","944,729.0","951,433.0","963,364.0","975,048.0","987,502.0","1,004,982.0","1,024,442.0","1,041,921.0","1,058,643.0","1,081,314.0","1,099,860.0","1,118,723.0","1,137,485.0","1,158,172.0","1,177,526.0","1,192,179.0","1,203,703.0","1,216,528.0","1,234,239.0","1,251,338.0","1,271,070.0","1,280,200.0","1,273,228.0","1,259,914.0","1,252,172.0","1,257,005.0","1,256,815.0","1,259,503.0","1,262,390.0","1,271,132.0","1,281,118.0","1,294,433.0","1,305,504.0","1,314,258.0","1,329,757.0","1,344,371.0","1,355,050.0","1,364,998.0","1,380,669.0","1,395,455.0","1,408,846.0","1,423,607.0","1,435,080.0","1,450,451.0","1,465,650.0","1,478,362.0","1,493,011.0"
"22","3","Net value added","A439RC1","523,332.0","532,047.0","540,188.0","544,753.0","543,028.0","550,246.0","556,003.0","552,600.0","577,353.0","587,760.0","597,889.0","610,876.0","637,213.0","649,873.0","663,829.0","687,993.0","717,473.0","729,312.0","743,787.0","763,589.0","772,042.0","789,314.0","804,084.0","810,179.0","811,380.0","832,077.0","870,369.0","895,966.0","938,551.0","951,247.0","971,140.0","990,011.0","1,027,001.0","1,079,014.0","1,119,992.0","1,144,094.0","1,169,996.0","1,243,766.0","1,267,857.0","1,311,439.0","1,341,217.0","1,367,184.0","1,394,672.0","1,423,641.0","1,453,592.0","1,447,961.0","1,489,470.0","1,571,604.0","1,635,485.0","1,671,350.0","1,725,012.0","1,729,415.0","1,718,656.0","1,744,551.0","1,760,062.0","1,761,707.0","1,794,988.0","1,857,338.0","1,913,541.0","1,982,345.0","2,071,054.0","2,116,747.0","2,149,304.0","2,191,281.0","2,227,846.0","2,260,475.0","2,307,297.0","2,320,186.0","2,345,350.0","2,345,755.0","2,360,875.0","2,398,371.0","2,440,608.0","2,504,927.0","2,565,611.0","2,615,161.0","2,658,559.0","2,724,056.0","2,775,704.0","2,849,196.0","2,865,193.0","2,888,067.0","2,918,022.0","2,936,013.0","2,982,883.0","3,037,785.0","3,039,724.0","3,027,614.0","3,045,837.0","3,070,734.0","3,096,593.0","3,119,777.0","3,196,613.0","3,238,905.0","3,255,554.0","3,326,174.0","3,297,563.0","3,384,444.0","3,418,246.0","3,528,316.0","3,554,207.0","3,641,332.0","3,705,225.0","3,774,785.0","3,803,872.0","3,849,466.0","3,934,896.0","3,972,903.0","4,049,019.0","4,125,741.0","4,182,100.0","4,244,645.0","4,342,909.0","4,419,618.0","4,532,758.0","4,623,103.0","4,649,411.0","4,729,008.0","4,821,339.0","4,866,302.0","4,965,029.0","4,997,589.0","5,047,192.0","5,153,952.0","5,328,751.0","5,356,299.0","5,431,581.0","5,414,500.0","5,396,420.0","5,372,616.0","5,301,827.0","5,253,691.0","5,324,790.0","5,391,045.0","5,405,271.0","5,472,035.0","5,458,469.0","5,543,754.0","5,656,175.0","5,752,758.0","5,803,025.0","5,933,300.0","6,074,010.0","6,129,641.0","6,266,266.0","6,355,503.0","6,462,321.0","6,645,653.0","6,795,441.0","6,858,601.0","6,959,508.0","6,977,442.0","6,993,269.0","7,058,026.0","6,965,600.0","6,949,393.0","6,933,492.0","6,920,466.0","6,897,932.0","6,581,016.0","6,446,810.0","6,514,998.0","6,570,489.0","6,720,928.0","6,750,390.0","6,871,100.0","7,102,127.0","7,168,389.0","7,137,202.0","7,276,011.0","7,363,768.0","7,474,986.0","7,689,666.0","7,754,712.0","7,801,700.0","7,965,809.0","7,965,063.0","8,102,414.0","8,170,383.0","8,226,982.0","8,180,163.0","8,386,464.0","8,584,081.0","8,628,368.0","....."
"23","4","  Compensation of employees","A442RC1","363,859.0","373,324.0","382,458.0","390,173.0","394,435.0","396,479.0","400,819.0","400,305.0","411,275.0","418,669.0","424,324.0","432,325.0","452,784.0","462,777.0","471,166.0","485,950.0","507,121.0","519,827.0","531,698.0","545,608.0","558,152.0","572,026.0","586,694.0","592,416.0","589,741.0","596,120.0","613,315.0","632,092.0","658,787.0","673,712.0","690,537.0","708,109.0","733,799.0","761,634.0","784,037.0","807,314.0","836,861.0","873,084.0","898,967.0","929,883.0","965,306.0","989,192.0","1,018,217.0","1,045,053.0","1,072,879.0","1,084,308.0","1,104,352.0","1,146,474.0","1,186,196.0","1,209,201.0","1,236,199.0","1,250,667.0","1,259,340.0","1,270,418.0","1,282,598.0","1,288,101.0","1,305,309.0","1,333,495.0","1,365,054.0","1,408,067.0","1,452,073.0","1,487,662.0","1,518,711.0","1,545,843.0","1,573,177.0","1,599,502.0","1,627,355.0","1,663,691.0","1,689,962.0","1,706,248.0","1,732,073.0","1,765,130.0","1,795,635.0","1,825,785.0","1,860,053.0","1,909,087.0","1,938,992.0","1,986,181.0","2,022,429.0","2,061,632.0","2,083,170.0","2,103,225.0","2,127,044.0","2,163,887.0","2,195,848.0","2,232,042.0","2,256,378.0","2,255,436.0","2,239,059.0","2,263,389.0","2,289,727.0","2,319,109.0","2,370,489.0","2,408,339.0","2,432,096.0","2,471,006.0","2,459,876.0","2,504,778.0","2,527,609.0","2,570,691.0","2,581,423.0","2,639,832.0","2,666,660.0","2,708,140.0","2,741,639.0","2,768,576.0","2,803,963.0","2,837,376.0","2,877,529.0","2,932,253.0","2,979,367.0","3,025,640.0","3,090,371.0","3,140,023.0","3,198,793.0","3,277,125.0","3,354,478.0","3,417,433.0","3,479,021.0","3,538,989.0","3,608,568.0","3,643,131.0","3,694,912.0","3,790,634.0","3,945,729.0","3,967,380.0","4,050,989.0","4,071,609.0","4,059,948.0","4,030,850.0","3,992,009.0","3,979,685.0","3,942,637.0","3,980,829.0","3,983,056.0","3,989,088.0","3,948,087.0","4,008,442.0","4,067,565.0","4,144,066.0","4,118,184.0","4,207,293.0","4,304,977.0","4,335,475.0","4,347,038.0","4,398,877.0","4,484,643.0","4,547,587.0","4,622,435.0","4,650,440.0","4,680,949.0","4,779,114.0","4,860,874.0","4,876,862.0","4,888,321.0","4,945,822.0","4,962,137.0","4,944,961.0","4,944,029.0","4,907,688.0","4,599,388.0","4,613,839.0","4,596,004.0","4,630,579.0","4,584,719.0","4,690,891.0","4,752,296.0","4,799,825.0","4,895,378.0","4,918,140.0","4,985,865.0","4,952,074.0","5,127,173.0","5,146,300.0","5,168,181.0","5,328,425.0","5,277,955.0","5,345,995.0","5,380,599.0","5,433,876.0","5,544,353.0","5,583,844.0","5,655,073.0","5,732,562.0","5,805,542.0"
"24","5","    Wages and salaries","A443RC1","325,784.0","334,373.0","342,561.0","349,395.0","353,040.0","354,524.0","358,492.0","357,872.0","367,042.0","373,784.0","378,654.0","385,281.0","401,044.0","409,645.0","417,257.0","431,145.0","446,611.0","458,803.0","470,073.0","482,819.0","492,904.0","505,032.0","517,268.0","520,392.0","514,206.0","517,925.0","532,473.0","549,100.0","570,878.0","583,908.0","597,931.0","611,964.0","630,655.0","654,051.0","672,970.0","693,108.0","713,986.0","746,315.0","768,867.0","795,710.0","822,842.0","842,756.0","867,265.0","889,663.0","911,748.0","919,907.0","936,530.0","974,240.0","1,003,762.0","1,023,758.0","1,047,253.0","1,058,926.0","1,062,043.0","1,070,053.0","1,078,896.0","1,081,399.0","1,091,654.0","1,115,371.0","1,142,635.0","1,180,896.0","1,214,340.0","1,245,546.0","1,272,237.0","1,295,062.0","1,317,415.0","1,338,380.0","1,360,292.0","1,389,469.0","1,407,629.0","1,418,166.0","1,437,972.0","1,465,339.0","1,491,496.0","1,517,285.0","1,546,919.0","1,590,525.0","1,613,060.0","1,653,773.0","1,683,175.0","1,714,194.0","1,730,771.0","1,743,626.0","1,760,833.0","1,790,811.0","1,814,888.0","1,847,481.0","1,868,659.0","1,866,075.0","1,847,170.0","1,865,638.0","1,884,237.0","1,904,198.0","1,940,802.0","1,968,452.0","1,984,203.0","2,017,803.0","2,001,856.0","2,040,414.0","2,058,493.0","2,095,443.0","2,098,268.0","2,151,394.0","2,176,015.0","2,215,578.0","2,252,241.0","2,278,587.0","2,311,708.0","2,341,862.0","2,378,883.0","2,428,378.0","2,471,419.0","2,514,300.0","2,575,560.0","2,619,987.0","2,670,630.0","2,737,159.0","2,804,259.0","2,856,415.0","2,909,280.0","2,962,736.0","3,028,746.0","3,058,001.0","3,100,862.0","3,182,078.0","3,314,642.0","3,326,773.0","3,398,931.0","3,414,826.0","3,391,208.0","3,366,902.0","3,334,459.0","3,324,165.0","3,270,729.0","3,302,412.0","3,304,260.0","3,309,264.0","3,259,429.0","3,309,256.0","3,358,066.0","3,421,223.0","3,401,706.0","3,475,312.0","3,556,001.0","3,581,193.0","3,585,144.0","3,627,897.0","3,698,631.0","3,750,543.0","3,835,645.0","3,858,882.0","3,884,198.0","3,965,655.0","4,042,094.0","4,055,389.0","4,064,918.0","4,112,734.0","4,125,006.0","4,110,728.0","4,109,953.0","4,079,743.0","3,807,992.0","3,819,956.0","3,805,190.0","3,833,816.0","3,801,950.0","3,889,995.0","3,940,915.0","3,980,330.0","4,069,921.0","4,088,845.0","4,145,150.0","4,117,056.0","4,278,201.0","4,294,161.0","4,312,419.0","4,446,129.0","4,402,298.0","4,459,050.0","4,487,913.0","4,532,351.0","4,631,825.0","4,665,052.0","4,727,631.0","4,795,600.0","4,858,130.0"
"25","6","    Supplements to wages and salaries","A444RC1","38,075.0","38,951.0","39,897.0","40,778.0","41,395.0","41,955.0","42,327.0","42,433.0","44,233.0","44,885.0","45,670.0","47,044.0","51,740.0","53,132.0","53,909.0","54,805.0","60,510.0","61,024.0","61,625.0","62,789.0","65,248.0","66,994.0","69,426.0","72,024.0","75,535.0","78,195.0","80,842.0","82,992.0","87,909.0","89,804.0","92,606.0","96,145.0","103,144.0","107,583.0","111,067.0","114,206.0","122,875.0","126,769.0","130,100.0","134,173.0","142,464.0","146,436.0","150,952.0","155,390.0","161,131.0","164,401.0","167,822.0","172,234.0","182,434.0","185,443.0","188,946.0","191,741.0","197,297.0","200,365.0","203,702.0","206,702.0","213,655.0","218,124.0","222,419.0","227,171.0","237,733.0","242,116.0","246,474.0","250,781.0","255,762.0","261,122.0","267,063.0","274,222.0","282,333.0","288,082.0","294,101.0","299,791.0","304,139.0","308,500.0","313,134.0","318,562.0","325,932.0","332,408.0","339,254.0","347,438.0","352,399.0","359,599.0","366,211.0","373,076.0","380,960.0","384,561.0","387,719.0","389,361.0","391,889.0","397,751.0","405,490.0","414,911.0","429,687.0","439,887.0","447,893.0","453,203.0","458,020.0","464,364.0","469,116.0","475,248.0","483,155.0","488,438.0","490,645.0","492,562.0","489,398.0","489,989.0","492,255.0","495,514.0","498,646.0","503,875.0","507,948.0","511,340.0","514,811.0","520,036.0","528,163.0","539,966.0","550,219.0","561,018.0","569,741.0","576,253.0","579,822.0","585,130.0","594,050.0","608,556.0","631,087.0","640,607.0","652,058.0","656,783.0","668,740.0","663,948.0","657,550.0","655,520.0","671,908.0","678,417.0","678,796.0","679,824.0","688,658.0","699,186.0","709,499.0","722,843.0","716,478.0","731,981.0","748,976.0","754,282.0","761,894.0","770,980.0","786,012.0","797,044.0","786,790.0","791,558.0","796,751.0","813,459.0","818,780.0","821,473.0","823,403.0","833,088.0","837,131.0","834,233.0","834,076.0","827,945.0","791,396.0","793,883.0","790,814.0","796,763.0","782,769.0","800,896.0","811,381.0","819,495.0","825,457.0","829,295.0","840,715.0","835,018.0","848,972.0","852,139.0","855,762.0","882,296.0","875,657.0","886,945.0","892,686.0","901,525.0","912,528.0","918,792.0","927,442.0","936,962.0","947,412.0"
"26","7","  Taxes on production and imports less subsidies","W321RC1","51,328.0","52,484.0","53,452.0","54,320.0","55,368.0","56,288.0","57,460.0","58,744.0","60,476.0","62,076.0","63,764.0","64,904.0","65,440.0","66,316.0","67,764.0","69,640.0","71,612.0","73,396.0","75,208.0","76,284.0","76,868.0","77,932.0","79,040.0","80,656.0","82,124.0","83,584.0","85,276.0","87,008.0","88,504.0","90,416.0","92,300.0","94,432.0","96,144.0","98,196.0","101,148.0","104,584.0","108,168.0","112,052.0","105,404.0","109,184.0","111,168.0","113,332.0","116,264.0","119,272.0","121,520.0","125,040.0","130,472.0","137,264.0","145,496.0","153,532.0","157,976.0","160,612.0","160,448.0","160,036.0","160,968.0","163,752.0","168,668.0","174,496.0","180,560.0","186,032.0","190,120.0","193,948.0","197,524.0","200,892.0","204,044.0","207,892.0","210,972.0","213,288.0","215,132.0","217,976.0","220,852.0","224,532.0","227,696.0","231,384.0","234,828.0","239,556.0","245,404.0","251,196.0","253,432.0","258,024.0","261,828.0","266,088.0","269,384.0","272,876.0","276,000.0","281,364.0","287,320.0","293,192.0","300,224.0","305,212.0","310,460.0","315,848.0","319,760.0","323,536.0","327,932.0","332,352.0","334,485.0","340,054.0","345,313.0","355,180.0","366,846.0","375,226.0","379,614.0","382,745.0","381,932.0","381,744.0","385,704.0","389,628.0","390,545.0","395,995.0","399,704.0","407,421.0","406,404.0","415,672.0","420,273.0","425,367.0","423,669.0","428,217.0","433,268.0","437,943.0","443,525.0","449,623.0","457,493.0","465,394.0","473,083.0","478,991.0","481,660.0","485,491.0","478,426.0","472,012.0","462,529.0","492,175.0","493,599.0","502,731.0","511,788.0","517,169.0","522,183.0","520,232.0","540,542.0","547,536.0","557,945.0","566,079.0","574,591.0","587,286.0","599,606.0","612,911.0","622,909.0","630,729.0","644,349.0","653,253.0","659,335.0","666,311.0","672,770.0","679,353.0","684,009.0","688,519.0","682,721.0","689,149.0","689,830.0","678,372.0","654,419.0","657,587.0","654,463.0","670,735.0","676,880.0","683,838.0","689,419.0","693,305.0","712,084.0","722,886.0","722,879.0","729,913.0","742,885.0","743,787.0","742,031.0","749,023.0","763,523.0","761,776.0","772,025.0","778,238.0","786,871.0","796,047.0","805,980.0","809,916.0","808,020.0"
"27","8","  Net operating surplus","W322RC1","108,145.0","106,239.0","104,278.0","100,260.0","93,225.0","97,479.0","97,724.0","93,551.0","105,602.0","107,015.0","109,801.0","113,647.0","118,989.0","120,780.0","124,899.0","132,403.0","138,740.0","136,089.0","136,881.0","141,697.0","137,022.0","139,356.0","138,350.0","137,107.0","139,515.0","152,373.0","171,778.0","176,866.0","191,260.0","187,119.0","188,303.0","187,470.0","197,058.0","219,184.0","234,807.0","232,196.0","224,967.0","258,630.0","263,486.0","272,372.0","264,743.0","264,660.0","260,191.0","259,316.0","259,193.0","238,613.0","254,646.0","287,866.0","303,793.0","308,617.0","330,837.0","318,136.0","298,868.0","314,097.0","316,496.0","309,854.0","321,011.0","349,347.0","367,927.0","388,246.0","428,861.0","435,137.0","433,069.0","444,546.0","450,625.0","453,081.0","468,970.0","443,207.0","440,256.0","421,531.0","407,950.0","408,709.0","417,277.0","447,758.0","470,730.0","466,518.0","474,163.0","486,679.0","499,843.0","529,540.0","520,195.0","518,754.0","521,594.0","499,250.0","511,035.0","524,379.0","496,026.0","478,986.0","506,554.0","502,133.0","496,406.0","484,820.0","506,364.0","507,030.0","495,526.0","522,816.0","503,202.0","539,612.0","545,324.0","602,445.0","605,938.0","626,274.0","658,951.0","683,900.0","680,301.0","699,146.0","745,229.0","745,899.0","780,945.0","797,493.0","803,029.0","811,584.0","846,134.0","863,923.0","913,692.0","920,611.0","871,264.0","883,358.0","909,050.0","889,370.0","912,936.0","904,835.0","894,787.0","897,924.0","909,939.0","909,928.0","898,932.0","857,400.0","858,046.0","869,754.0","847,289.0","781,831.0","888,554.0","907,485.0","910,427.0","965,778.0","988,199.0","1,015,080.0","1,048,068.0","1,061,156.0","1,126,896.0","1,159,928.0","1,194,442.0","1,206,880.0","1,319,622.0","1,343,715.0","1,354,769.0","1,467,337.0","1,528,657.0","1,554,908.0","1,619,224.0","1,532,017.0","1,459,625.0","1,501,811.0","1,393,270.0","1,315,052.0","1,288,634.0","1,286,356.0","1,264,073.0","994,956.0","1,193,003.0","1,243,572.0","1,320,022.0","1,419,614.0","1,488,791.0","1,496,371.0","1,660,412.0","1,675,259.0","1,529,740.0","1,634,985.0","1,655,024.0","1,792,999.0","1,819,608.0","1,864,625.0","1,891,488.0","1,888,361.0","1,923,585.0","1,994,643.0","2,017,759.0","2,014,868.0","1,848,939.0","2,006,573.0","2,123,028.0","2,085,890.0","....."
"28","9","    Net interest and miscellaneous payments","A453RC1","6,714.0","8,013.0","9,274.0","10,488.0","11,715.0","12,537.0","13,019.0","13,154.0","13,036.0","12,863.0","12,723.0","12,626.0","12,633.0","12,633.0","12,695.0","12,837.0","13,205.0","14,039.0","15,477.0","17,501.0","20,240.0","22,560.0","24,603.0","26,364.0","27,919.0","28,402.0","27,905.0","26,410.0","23,940.0","22,638.0","22,512.0","23,565.0","25,797.0","27,652.0","29,065.0","30,028.0","30,624.0","31,086.0","31,490.0","31,835.0","32,746.0","34,583.0","37,954.0","42,859.0","50,446.0","56,810.0","63,128.0","69,407.0","75,940.0","81,393.0","85,987.0","89,719.0","92,586.0","95,004.0","97,135.0","98,979.0","91,529.0","90,435.0","91,890.0","95,887.0","102,473.0","106,941.0","109,421.0","109,908.0","108,271.0","107,030.0","106,081.0","105,426.0","105,199.0","105,131.0","105,391.0","105,983.0","107,060.0","107,684.0","107,996.0","107,990.0","108,463.0","110,341.0","114,259.0","120,186.0","128,153.0","133,739.0","137,006.0","137,934.0","136,453.0","132,234.0","126,296.0","115,216.0","102,462.0","91,918.0","83,693.0","77,798.0","74,891.0","71,723.0","70,401.0","70,181.0","71,111.0","71,343.0","70,929.0","69,926.0","68,160.0","67,233.0","67,181.0","67,905.0","69,975.0","70,990.0","71,431.0","70,313.0","68,783.0","68,522.0","70,565.0","73,863.0","79,617.0","87,200.0","97,506.0","109,712.0","124,562.0","133,987.0","139,122.0","138,587.0","133,101.0","133,995.0","141,077.0","153,954.0","173,011.0","185,661.0","193,379.0","194,518.0","189,657.0","179,836.0","165,973.0","146,321.0","125,140.0","109,539.0","100,155.0","96,069.0","97,793.0","95,349.0","85,632.0","70,592.0","48,746.0","36,582.0","32,541.0","38,878.0","63,019.0","67,269.0","75,275.0","86,064.0","101,856.0","115,868.0","126,092.0","136,759.0","146,789.0","160,338.0","180,395.0","204,207.0","231,591.0","245,362.0","240,899.0","220,078.0","188,432.0","163,590.0","144,306.0","133,826.0","128,547.0","127,309.0","128,286.0","132,348.0","138,975.0","145,633.0","152,932.0","159,024.0","165,532.0","172,332.0","178,912.0","185,889.0","191,351.0","196,419.0","200,550.0","201,905.0","202,475.0","188,517.0","194,195.0","199,558.0","....."
"29","10","    Business current transfer payments (net)","W323RC1","4,216.0","4,330.0","4,334.0","4,268.0","4,047.0","3,853.0","3,610.0","3,471.0","3,420.0","3,374.0","3,394.0","3,463.0","3,702.0","3,825.0","3,961.0","4,073.0","4,523.0","4,845.0","4,780.0","5,071.0","5,697.0","6,035.0","6,488.0","6,905.0","7,706.0","8,384.0","8,479.0","8,418.0","8,221.0","7,914.0","7,440.0","6,761.0","6,286.0","5,801.0","5,859.0","6,074.0","6,841.0","7,501.0","8,240.0","9,040.0","10,073.0","10,715.0","11,149.0","11,356.0","11,529.0","11,609.0","11,797.0","13,237.0","13,639.0","13,884.0","14,492.0","15,069.0","16,049.0","16,487.0","16,824.0","17,170.0","17,811.0","18,568.0","19,791.0","21,777.0","24,403.0","26,413.0","27,902.0","28,900.0","30,015.0","34,444.0","29,802.0","29,252.0","36,219.0","28,283.0","26,354.0","26,286.0","25,660.0","25,654.0","24,105.0","24,244.0","23,908.0","25,003.0","27,005.0","29,482.0","32,158.0","33,147.0","34,658.0","34,556.0","34,504.0","33,868.0","33,579.0","34,014.0","34,283.0","33,423.0","33,348.0","33,554.0","33,452.0","33,084.0","33,174.0","36,109.0","33,630.0","31,847.0","30,856.0","30,671.0","31,277.0","31,863.0","32,490.0","33,161.0","34,404.0","35,652.0","37,655.0","39,878.0","43,881.0","45,467.0","44,549.0","41,089.0","34,596.0","31,982.0","33,079.0","37,812.0","46,859.0","50,231.0","52,762.0","61,534.0","52,041.0","52,321.0","53,546.0","57,541.0","65,192.0","70,492.0","74,821.0","79,031.0","85,507.0","87,558.0","86,293.0","81,220.0","72,237.0","63,692.0","57,656.0","54,117.0","52,465.0","50,928.0","50,380.0","50,377.0","52,643.0","53,795.0","51,451.0","60,259.0","62,950.0","63,491.0","57,745.0","55,027.0","45,700.0","44,541.0","49,921.0","52,701.0","68,501.0","67,393.0","70,812.0","68,892.0","91,732.0","92,096.0","91,409.0","107,394.0","100,269.0","105,979.0","89,136.0","91,545.0","99,435.0","97,219.0","102,737.0","99,998.0","120,191.0","108,068.0","109,754.0","99,292.0","84,729.0","72,494.0","62,971.0","57,369.0","78,915.0","87,727.0","86,110.0","92,655.0","101,852.0","105,840.0","168,501.0","120,364.0","102,078.0"
"30","11","    Corporate profits with IVA and CCAdj","A445RC1","97,215.0","93,896.0","90,670.0","85,504.0","77,463.0","81,089.0","81,095.0","76,926.0","89,146.0","90,778.0","93,684.0","97,558.0","102,654.0","104,322.0","108,243.0","115,493.0","121,012.0","117,205.0","116,624.0","119,125.0","111,085.0","110,761.0","107,259.0","103,838.0","103,890.0","115,587.0","135,394.0","142,038.0","159,099.0","156,567.0","158,351.0","157,144.0","164,975.0","185,731.0","199,883.0","196,094.0","187,502.0","220,043.0","223,756.0","231,497.0","221,924.0","219,362.0","211,088.0","205,101.0","197,218.0","170,194.0","179,721.0","205,222.0","214,214.0","213,340.0","230,358.0","213,348.0","190,233.0","202,606.0","202,537.0","193,705.0","211,671.0","240,344.0","256,246.0","270,582.0","301,985.0","301,783.0","295,746.0","305,738.0","312,339.0","311,607.0","333,087.0","308,529.0","298,838.0","288,117.0","276,205.0","276,440.0","284,557.0","314,420.0","338,629.0","334,284.0","341,792.0","351,335.0","358,579.0","379,872.0","359,884.0","351,868.0","349,930.0","326,760.0","340,078.0","358,277.0","336,151.0","329,756.0","369,809.0","376,792.0","379,365.0","373,468.0","398,021.0","402,223.0","391,951.0","416,526.0","398,461.0","436,422.0","443,539.0","501,848.0","506,501.0","527,178.0","559,280.0","582,834.0","575,922.0","592,504.0","636,143.0","635,708.0","668,281.0","683,504.0","687,915.0","696,632.0","731,921.0","744,741.0","783,107.0","773,087.0","699,843.0","699,140.0","717,166.0","689,249.0","727,794.0","718,519.0","700,164.0","686,429.0","671,736.0","653,775.0","630,732.0","583,851.0","582,882.0","602,360.0","595,023.0","554,290.0","691,177.0","734,254.0","752,616.0","815,592.0","837,941.0","868,803.0","912,056.0","940,187.0","1,025,507.0","1,069,551.0","1,110,450.0","1,107,743.0","1,193,653.0","1,212,955.0","1,221,749.0","1,326,246.0","1,381,101.0","1,394,499.0","1,443,211.0","1,342,557.0","1,244,335.0","1,274,080.0","1,142,063.0","1,041,953.0","965,311.0","948,898.0","931,765.0","667,484.0","904,302.0","974,003.0","1,086,580.0","1,194,243.0","1,260,809.0","1,271,843.0","1,429,389.0","1,442,913.0","1,270,574.0","1,381,284.0","1,392,338.0","1,534,683.0","1,569,347.0","1,619,799.0","1,649,605.0","1,645,103.0","1,653,319.0","1,710,497.0","1,731,099.0","1,720,308.0","1,544,612.0","1,712,216.0","1,760,332.0","1,765,968.0","....."
