"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"33","14","Net exports of goods and services","A019RC1","171.0","1,244.0","976.0","3,333.0","3,396.0","5,385.0","3,843.0","3,169.0","4,422.0","-192.0","-89.0","-1,657.0","-3,534.0","-4,257.0","-2,638.0","-3,061.0","-1,401.0","2,454.0","6,438.0","8,951.0","6,395.0","-2,714.0","-6,972.0","33.0","16,481.0","21,582.0","12,043.0","13,801.0","4,650.0","-495.0","-4,073.0","-6,603.0","-21,079.0","-21,135.0","-20,578.0","-29,584.0","-38,683.0","-22,624.0","-23,760.0","-16,401.0","-18,157.0","-22,190.0","-23,028.0","-26,800.0","-35,804.0","-15,209.0","5,471.0","-6,683.0","-14,263.0","-13,515.0","-7,566.0","-14,760.0","-16,282.0","-4,393.0","-29,654.0","-29,592.0","-24,555.0","-45,441.0","-65,207.0","-71,388.0","-95,013.0","-104,307.0","-103,854.0","-107,763.0","-91,903.0","-115,443.0","-118,606.0","-134,882.0","-127,441.0","-129,794.0","-139,278.0","-133,623.0","-141,024.0","-147,349.0","-145,738.0","-145,688.0","-124,362.0","-107,163.0","-100,188.0","-108,726.0","-102,146.0","-89,540.0","-76,269.0","-83,605.0","-89,164.0","-68,364.0","-74,392.0","-78,501.0","-45,592.0","-21,577.0","-19,507.0","-21,162.0","-18,502.0","-31,056.0","-36,451.0","-45,318.0","-54,323.0","-62,003.0","-67,869.0","-73,359.0","-80,661.0","-91,274.0","-96,676.0","-102,295.0","-106,206.0","-110,602.0","-75,374.0","-70,586.0","-89,113.0","-93,761.0","-114,047.0","-88,280.0","-108,084.0","-84,651.0","-96,220.0","-116,465.0","-134,481.0","-161,789.0","-173,902.0","-177,143.0","-211,962.0","-250,940.0","-282,912.0","-302,493.0","-357,893.0","-364,393.0","-395,949.0","-409,975.0","-395,405.0","-363,753.0","-367,029.0","-357,765.0","-374,884.0","-418,078.0","-435,849.0","-479,886.0","-503,555.0","-504,285.0","-499,482.0","-509,134.0","-546,278.0","-606,081.0","-635,907.0","-686,499.0","-677,437.0","-690,195.0","-733,976.0","-789,323.0","-775,802.0","-781,414.0","-805,724.0","-714,315.0","-725,073.0","-730,687.0","-704,440.0","-695,674.0","-738,478.0","-751,856.0","-763,120.0","-588,352.0","-375,691.0","-335,150.0","-408,317.0","-426,430.0","-479,851.0","-539,289.0","-561,451.0"
"34","15","  Exports","B020RC1","43,974.0","53,915.0","53,340.0","56,459.0","56,913.0","60,589.0","60,274.0","61,058.0","63,074.0","63,103.0","65,393.0","60,282.0","68,639.0","67,152.0","71,453.0","76,129.0","83,959.0","91,923.0","97,576.0","107,620.0","116,709.0","126,668.0","126,638.0","136,585.0","141,369.0","136,827.0","134,098.0","142,531.0","143,588.0","146,621.0","151,775.0","156,076.0","155,354.0","161,906.0","162,325.0","157,809.0","164,599.0","186,216.0","191,302.0","205,415.0","211,670.0","220,907.0","234,279.0","253,666.0","268,508.0","277,389.0","284,672.0","292,517.0","305,461.0","308,448.0","302,331.0","304,687.0","293,195.0","294,722.0","279,628.0","265,268.0","270,695.0","272,509.0","278,174.0","286,583.0","292,965.0","302,192.0","305,736.0","308,598.0","305,405.0","303,128.0","295,561.0","303,986.0","311,977.0","314,196.0","320,156.0","335,003.0","336,662.0","354,989.0","371,580.0","391,825.0","418,351.0","438,935.0","452,661.0","465,588.0","484,008.0","505,849.0","508,158.0","514,547.0","537,603.0","546,395.0","555,710.0","568,781.0","574,725.0","592,344.0","602,162.0","617,108.0","627,321.0","627,895.0","641,402.0","643,218.0","644,987.0","654,278.0","651,382.0","671,690.0","681,166.0","706,286.0","737,075.0","758,264.0","780,693.0","797,741.0","830,469.0","838,615.0","847,622.0","858,990.0","859,710.0","904,340.0","919,129.0","955,000.0","974,668.0","968,879.0","963,755.0","947,833.0","935,999.0","967,857.0","958,672.0","971,224.0","998,819.0","1,028,537.0","1,052,836.0","1,089,225.0","1,119,079.0","1,111,813.0","1,097,072.0","1,056,553.0","997,148.0","960,121.0","973,431.0","1,005,933.0","1,020,562.0","1,012,176.0","1,012,543.0","1,011,569.0","1,041,366.0","1,098,644.0","1,138,785.0","1,170,805.0","1,185,411.0","1,225,898.0","1,262,355.0","1,298,455.0","1,308,157.0","1,351,264.0","1,414,004.0","1,456,011.0","1,475,956.0","1,538,155.0","1,575,529.0","1,619,136.0","1,690,269.0","1,761,848.0","1,819,924.0","1,925,309.0","1,927,250.0","1,700,933.0","1,521,202.0","1,520,154.0","1,582,144.0","1,689,903.0","1,757,772.0","1,817,854.0","1,842,064.0"
"35","16","    Goods","A253RC1","31,640.0","39,948.0","39,484.0","41,972.0","43,024.0","45,028.0","44,764.0","45,364.0","45,868.0","45,724.0","48,448.0","42,188.0","49,696.0","48,868.0","51,824.0","56,788.0","64,360.0","70,936.0","75,616.0","84,784.0","93,052.0","100,612.0","101,248.0","109,012.0","112,036.0","105,944.0","107,148.0","113,388.0","113,516.0","116,268.0","118,984.0","122,312.0","121,328.0","126,176.0","126,132.0","120,972.0","125,027.0","146,103.0","149,271.0","161,194.0","166,992.0","175,724.0","188,039.0","205,414.0","217,823.0","224,192.0","226,896.0","234,207.0","242,192.0","242,001.0","234,176.0","238,017.0","224,851.0","225,952.0","211,598.0","197,604.0","200,709.0","202,794.0","207,397.0","218,280.0","218,267.0","224,630.0","228,365.0","231,235.0","225,665.0","223,501.0","217,395.0","222,408.0","220,524.0","223,040.0","224,503.0","235,937.0","234,320.0","248,650.0","264,168.0","283,049.0","304,585.0","321,435.0","331,647.0","345,472.0","354,804.0","374,778.0","372,371.0","375,455.0","390,704.0","394,585.0","398,173.0","403,082.0","414,480.0","421,289.0","425,922.0","432,562.0","440,930.0","441,565.0","452,738.0","456,567.0","452,190.0","458,460.0","454,363.0","474,716.0","477,592.0","496,429.0","524,037.0","542,189.0","562,222.0","575,619.0","595,591.0","599,678.0","608,166.0","611,943.0","615,444.0","637,769.0","658,267.0","687,046.0","704,663.0","700,792.0","694,450.0","672,834.0","666,751.0","689,398.0","673,516.0","680,510.0","703,885.0","730,856.0","749,526.0","777,073.0","810,853.0","799,917.0","788,930.0","749,776.0","704,452.0","681,747.0","679,476.0","706,271.0","715,597.0","699,904.0","709,046.0","710,600.0","723,499.0","764,181.0","787,089.0","811,313.0","824,123.0","845,401.0","871,626.0","906,012.0","907,353.0","939,352.0","985,093.0","1,016,461.0","1,030,628.0","1,065,376.0","1,105,367.0","1,138,345.0","1,179,276.0","1,225,140.0","1,279,425.0","1,364,901.0","1,367,613.0","1,168,294.0","1,014,453.0","1,011,660.0","1,068,554.0","1,157,602.0","1,212,983.0","1,262,762.0","1,274,930.0"
"36","17","    Services","A646RC1","12,334.0","13,967.0","13,856.0","14,487.0","13,889.0","15,561.0","15,510.0","15,694.0","17,206.0","17,379.0","16,945.0","18,094.0","18,943.0","18,284.0","19,629.0","19,341.0","19,599.0","20,987.0","21,960.0","22,836.0","23,657.0","26,056.0","25,390.0","27,573.0","29,333.0","30,883.0","26,950.0","29,143.0","30,072.0","30,353.0","32,791.0","33,764.0","34,026.0","35,730.0","36,193.0","36,837.0","39,572.0","40,113.0","42,031.0","44,221.0","44,678.0","45,183.0","46,240.0","48,252.0","50,685.0","53,197.0","57,776.0","58,310.0","63,269.0","66,447.0","68,155.0","66,670.0","68,344.0","68,770.0","68,030.0","67,664.0","69,986.0","69,715.0","70,777.0","68,303.0","74,698.0","77,562.0","77,371.0","77,363.0","79,740.0","79,627.0","78,166.0","81,578.0","91,453.0","91,156.0","95,653.0","99,066.0","102,342.0","106,339.0","107,412.0","108,776.0","113,766.0","117,500.0","121,014.0","120,116.0","129,204.0","131,071.0","135,787.0","139,092.0","146,899.0","151,810.0","157,537.0","165,699.0","160,245.0","171,055.0","176,240.0","184,546.0","186,391.0","186,330.0","188,664.0","186,651.0","192,797.0","195,818.0","197,019.0","196,974.0","203,574.0","209,857.0","213,038.0","216,075.0","218,471.0","222,122.0","234,878.0","238,937.0","239,456.0","247,047.0","244,266.0","266,571.0","260,862.0","267,954.0","270,005.0","268,087.0","269,305.0","274,999.0","269,248.0","278,459.0","285,156.0","290,714.0","294,934.0","297,681.0","303,310.0","312,152.0","308,226.0","311,896.0","308,142.0","306,777.0","292,696.0","278,374.0","293,955.0","299,662.0","304,965.0","312,272.0","303,497.0","300,969.0","317,867.0","334,463.0","351,696.0","359,492.0","361,288.0","380,497.0","390,729.0","392,443.0","400,804.0","411,912.0","428,911.0","439,550.0","445,328.0","472,779.0","470,162.0","480,791.0","510,993.0","536,708.0","540,499.0","560,408.0","559,637.0","532,639.0","506,749.0","508,494.0","513,590.0","532,301.0","544,789.0","555,092.0","567,134.0"
"37","18","  Imports","B021RC1","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,634.0","1,222,164.0","1,281,731.0","1,331,030.0","1,410,729.0","1,453,618.0","1,515,028.0","1,521,788.0","1,492,477.0","1,420,306.0","1,364,177.0","1,317,886.0","1,348,315.0","1,424,011.0","1,456,411.0","1,492,062.0","1,516,098.0","1,515,854.0","1,540,848.0","1,607,778.0","1,685,063.0","1,776,886.0","1,821,318.0","1,912,397.0","1,939,792.0","1,988,650.0","2,042,133.0","2,140,587.0","2,189,806.0","2,237,425.0","2,281,680.0","2,252,470.0","2,300,602.0","2,349,823.0","2,394,709.0","2,457,522.0","2,558,402.0","2,677,165.0","2,690,370.0","2,289,285.0","1,896,893.0","1,855,304.0","1,990,461.0","2,116,333.0","2,237,623.0","2,357,143.0","2,403,515.0"
"38","19","    Goods","A255RC1","30,772.0","39,116.0","38,536.0","38,828.0","39,348.0","40,068.0","41,180.0","42,824.0","43,376.0","47,440.0","49,640.0","45,744.0","55,092.0","54,092.0","57,288.0","61,264.0","66,460.0","70,040.0","72,100.0","78,772.0","88,832.0","106,388.0","110,600.0","112,260.0","100,936.0","92,264.0","98,772.0","104,028.0","113,540.0","121,324.0","128,920.0","134,744.0","147,624.0","153,150.0","153,170.0","156,572.0","170,334.0","175,133.0","179,406.0","184,766.0","192,181.0","204,075.0","216,775.0","238,116.0","259,655.0","248,467.0","234,146.0","252,012.0","270,185.0","271,773.0","260,492.0","268,806.0","257,623.0","245,844.0","257,204.0","241,495.0","242,508.0","262,761.0","285,851.0","299,589.0","322,454.0","337,923.0","339,856.0","345,030.0","325,388.0","344,425.0","340,520.0","362,845.0","357,705.0","365,100.0","374,759.0","382,460.0","389,537.0","409,063.0","422,798.0","437,679.0","441,486.0","445,679.0","451,121.0","470,214.0","481,986.0","490,713.0","477,447.0","489,020.0","510,376.0","495,803.0","506,283.0","519,820.0","496,967.0","491,023.0","500,436.0","514,455.0","523,470.0","537,882.0","553,860.0","564,495.0","575,865.0","590,145.0","592,109.0","612,924.0","627,223.0","662,022.0","695,660.0","722,344.0","745,464.0","764,255.0","759,719.0","760,356.0","784,526.0","798,397.0","814,409.0","832,459.0","861,459.0","871,959.0","898,369.0","910,830.0","920,800.0","926,876.0","922,498.0","952,829.0","975,465.0","1,020,788.0","1,073,898.0","1,120,600.0","1,188,886.0","1,227,631.0","1,280,514.0","1,288,969.0","1,261,591.0","1,184,758.0","1,139,469.0","1,100,895.0","1,119,147.0","1,192,432.0","1,219,243.0","1,244,677.0","1,268,003.0","1,271,007.0","1,281,611.0","1,336,409.0","1,401,087.0","1,483,001.0","1,521,380.0","1,601,183.0","1,628,851.0","1,671,680.0","1,719,991.0","1,811,398.0","1,842,891.0","1,884,311.0","1,925,044.0","1,887,467.0","1,938,986.0","1,978,918.0","2,013,741.0","2,074,925.0","2,161,104.0","2,273,417.0","2,276,861.0","1,883,768.0","1,519,897.0","1,485,653.0","1,613,827.0","1,731,849.0","1,843,478.0","1,957,182.0","1,992,505.0"
"39","20","    Services","B656RC1","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","195,169.0","201,376.0","207,833.0","210,430.0","221,843.0","225,987.0","234,514.0","232,819.0","230,886.0","235,548.0","224,708.0","216,991.0","229,168.0","231,579.0","237,168.0","247,385.0","248,095.0","244,847.0","259,237.0","271,369.0","283,976.0","293,885.0","299,938.0","311,214.0","310,941.0","316,970.0","322,142.0","329,189.0","346,915.0","353,114.0","356,636.0","365,003.0","361,616.0","370,905.0","380,968.0","382,597.0","397,298.0","403,748.0","413,509.0","405,517.0","376,996.0","369,651.0","376,634.0","384,484.0","394,145.0","399,961.0","411,010.0"
"40","21","Government consumption expenditures and gross investment","A822RC1","216,549.0","219,386.0","224,860.0","224,931.0","229,840.0","230,622.0","235,492.0","238,835.0","241,570.0","245,267.0","248,512.0","250,312.0","259,631.0","263,865.0","261,613.0","268,566.0","276,682.0","280,049.0","281,136.0","288,759.0","301,387.0","312,039.0","323,189.0","335,052.0","346,218.0","349,789.0","361,963.0","372,891.0","379,092.0","380,127.0","382,805.0","389,978.0","401,336.0","411,785.0","417,303.0","425,816.0","431,894.0","449,745.0","459,880.0","472,695.0","477,770.0","492,467.0","507,218.0","525,474.0","546,743.0","562,747.0","567,514.0","587,479.0","610,101.0","622,435.0","628,399.0","648,974.0","658,521.0","671,860.0","684,663.0","706,744.0","716,686.0","729,070.0","748,087.0","739,677.0","767,229.0","791,359.0","803,601.0","825,491.0","845,635.0","868,377.0","893,870.0","907,679.0","918,808.0","940,867.0","967,429.0","970,239.0","982,406.0","994,597.0","1,002,500.0","1,018,066.0","1,021,897.0","1,032,999.0","1,036,914.0","1,063,803.0","1,070,696.0","1,094,970.0","1,112,136.0","1,124,586.0","1,158,599.0","1,171,389.0","1,183,014.0","1,213,845.0","1,228,128.0","1,236,244.0","1,239,226.0","1,240,763.0","1,258,849.0","1,267,323.0","1,281,655.0","1,286,015.0","1,282,601.0","1,290,307.0","1,296,563.0","1,309,723.0","1,302,944.0","1,318,776.0","1,349,302.0","1,348,140.0","1,364,629.0","1,376,282.0","1,378,780.0","1,376,392.0","1,400,705.0","1,417,101.0","1,422,564.0","1,443,463.0","1,457,375.0","1,472,449.0","1,477,923.0","1,489,989.0","1,482,604.0","1,518,709.0","1,540,381.0","1,562,507.0","1,585,770.0","1,608,797.0","1,644,635.0","1,685,878.0","1,695,623.0","1,726,926.0","1,739,959.0","1,761,297.0","1,801,054.0","1,846,908.0","1,850,562.0","1,887,157.0","1,936,636.0","1,968,469.0","1,995,968.0","2,032,298.0","2,073,563.0","2,109,976.0","2,127,540.0","2,139,122.0","2,184,514.0","2,219,048.0","2,254,449.0","2,273,262.0","2,316,531.0","2,344,550.0","2,400,120.0","2,418,329.0","2,474,510.0","2,510,496.0","2,533,337.0","2,555,243.0","2,604,373.0","2,655,990.0","2,698,441.0","2,738,168.0","2,802,323.0","2,869,808.0","2,934,689.0","2,906,517.0","2,872,014.0","2,919,268.0","2,933,794.0","2,934,547.0","2,955,676.0","2,990,804.0","3,018,890.0"
"41","22","  Federal","A823RC1","112,144.0","111,988.0","115,356.0","113,636.0","114,968.0","112,664.0","112,748.0","113,272.0","112,840.0","113,464.0","114,668.0","113,556.0","119,692.0","122,584.0","116,848.0","119,388.0","123,332.0","123,284.0","120,340.0","122,848.0","128,560.0","131,088.0","136,072.0","142,452.0","143,992.0","144,860.0","151,312.0","155,964.0","156,332.0","157,820.0","159,832.0","164,828.0","169,792.0","174,764.0","176,512.0","180,540.0","182,916.0","189,188.0","192,432.0","199,076.0","202,232.0","207,852.0","211,728.0","220,428.0","231,628.0","242,952.0","243,556.0","256,732.0","266,508.0","278,656.0","281,400.0","294,148.0","298,660.0","305,096.0","312,292.0","327,012.0","332,836.0","342,064.0","354,112.0","342,392.0","359,184.0","373,912.0","375,236.0","388,768.0","398,044.0","407,628.0","420,680.0","424,648.0","421,344.0","434,692.0","451,900.0","445,840.0","451,556.0","458,612.0","460,524.0","467,456.0","460,132.0","458,952.0","456,124.0","471,100.0","469,296.0","481,388.0","488,972.0","486,092.0","500,752.0","505,988.0","504,976.0","518,244.0","529,236.0","531,712.0","526,048.0","519,248.0","525,736.0","528,948.0","538,604.0","538,352.0","526,760.0","522,900.0","522,380.0","527,868.0","511,956.0","515,048.0","529,072.0","518,240.0","523,088.0","521,724.0","520,080.0","510,180.0","527,912.0","530,940.0","523,616.0","525,484.0","523,628.0","533,480.0","532,364.0","534,364.0","519,540.0","534,780.0","531,816.0","537,936.0","541,204.0","544,312.0","558,900.0","575,288.0","562,420.0","583,196.0","579,360.0","579,332.0","594,316.0","608,724.0","616,316.0","627,400.0","657,760.0","674,396.0","685,360.0","705,032.0","725,168.0","762,140.0","765,204.0","773,404.0","805,104.0","819,876.0","839,136.0","834,456.0","861,968.0","867,212.0","894,100.0","881,920.0","928,456.0","930,252.0","932,184.0","935,872.0","944,024.0","968,720.0","992,068.0","1,000,552.0","1,033,424.0","1,065,216.0","1,105,500.0","1,115,360.0","1,103,248.0","1,139,756.0","1,155,376.0","1,159,872.0","1,178,092.0","1,206,684.0","1,233,620.0"
"42","23","    National defense","A824RC1","88,892.0","88,336.0","90,792.0","89,944.0","90,004.0","86,576.0","86,732.0","87,104.0","86,076.0","84,408.0","84,024.0","83,720.0","87,660.0","89,760.0","84,048.0","86,260.0","89,236.0","89,240.0","85,944.0","88,116.0","91,748.0","94,908.0","96,048.0","99,552.0","100,692.0","100,260.0","105,980.0","108,664.0","108,656.0","109,976.0","111,520.0","114,196.0","117,936.0","121,204.0","121,688.0","122,728.0","125,144.0","129,424.0","131,752.0","135,624.0","138,320.0","143,364.0","146,092.0","152,952.0","160,468.0","165,016.0","167,728.0","178,624.0","184,828.0","193,792.0","197,772.0","208,528.0","213,784.0","222,712.0","228,528.0","238,540.0","241,256.0","248,740.0","252,380.0","259,980.0","273,864.0","279,392.0","280,180.0","292,676.0","298,228.0","306,008.0","318,028.0","322,460.0","318,356.0","329,316.0","342,332.0","333,212.0","340,724.0","349,316.0","355,388.0","354,488.0","354,420.0","353,784.0","350,808.0","359,900.0","353,868.0","362,116.0","368,716.0","363,656.0","370,948.0","372,548.0","369,544.0","382,492.0","389,196.0","388,528.0","382,000.0","372,732.0","372,100.0","375,160.0","382,900.0","376,984.0","364,704.0","361,936.0","360,068.0","365,312.0","348,500.0","352,572.0","364,580.0","349,452.0","351,728.0","352,052.0","349,344.0","342,072.0","355,400.0","358,856.0","352,628.0","352,408.0","343,884.0","351,908.0","350,196.0","353,376.0","333,992.0","347,308.0","352,292.0","350,708.0","350,976.0","352,924.0","365,012.0","375,636.0","360,552.0","376,920.0","372,712.0","374,004.0","383,700.0","389,700.0","395,604.0","402,812.0","420,292.0","431,936.0","440,408.0","458,180.0","466,356.0","507,244.0","503,052.0","515,108.0","535,904.0","545,632.0","565,400.0","556,204.0","578,488.0","586,064.0","606,112.0","585,524.0","615,484.0","624,060.0","623,304.0","636,576.0","637,616.0","656,996.0","674,692.0","679,892.0","702,104.0","724,884.0","762,104.0","760,216.0","743,864.0","769,916.0","787,272.0","785,376.0","796,324.0","813,012.0","830,512.0"
"43","24","    Nondefense","A825RC1","23,252.0","23,652.0","24,564.0","23,692.0","24,964.0","26,088.0","26,016.0","26,168.0","26,764.0","29,056.0","30,644.0","29,836.0","32,032.0","32,824.0","32,800.0","33,128.0","34,096.0","34,044.0","34,396.0","34,732.0","36,812.0","36,180.0","40,024.0","42,900.0","43,300.0","44,600.0","45,332.0","47,300.0","47,676.0","47,844.0","48,312.0","50,632.0","51,856.0","53,560.0","54,824.0","57,812.0","57,772.0","59,764.0","60,680.0","63,452.0","63,912.0","64,488.0","65,636.0","67,476.0","71,160.0","77,936.0","75,828.0","78,108.0","81,680.0","84,864.0","83,628.0","85,620.0","84,876.0","82,384.0","83,764.0","88,472.0","91,580.0","93,324.0","101,732.0","82,412.0","85,320.0","94,520.0","95,056.0","96,092.0","99,816.0","101,620.0","102,652.0","102,188.0","102,988.0","105,376.0","109,568.0","112,628.0","110,832.0","109,296.0","105,136.0","112,968.0","105,712.0","105,168.0","105,316.0","111,200.0","115,428.0","119,272.0","120,256.0","122,436.0","129,804.0","133,440.0","135,432.0","135,752.0","140,040.0","143,184.0","144,048.0","146,516.0","153,636.0","153,788.0","155,704.0","161,368.0","162,056.0","160,964.0","162,312.0","162,556.0","163,456.0","162,476.0","164,492.0","168,788.0","171,360.0","169,672.0","170,736.0","168,108.0","172,512.0","172,084.0","170,988.0","173,076.0","179,744.0","181,572.0","182,168.0","180,988.0","185,548.0","187,472.0","179,524.0","187,228.0","190,228.0","191,388.0","193,888.0","199,652.0","201,868.0","206,276.0","206,648.0","205,328.0","210,616.0","219,024.0","220,712.0","224,588.0","237,468.0","242,460.0","244,952.0","246,852.0","258,812.0","254,896.0","262,152.0","258,296.0","269,200.0","274,244.0","273,736.0","278,252.0","283,480.0","281,148.0","287,988.0","296,396.0","312,972.0","306,192.0","308,880.0","299,296.0","306,408.0","311,724.0","317,376.0","320,660.0","331,320.0","340,332.0","343,396.0","355,144.0","359,384.0","369,840.0","368,104.0","374,496.0","381,768.0","393,672.0","403,108.0"
"44","25","  State and local","A829RC1","104,405.0","107,398.0","109,504.0","111,295.0","114,872.0","117,958.0","122,744.0","125,563.0","128,730.0","131,803.0","133,844.0","136,756.0","139,939.0","141,281.0","144,765.0","149,178.0","153,350.0","156,765.0","160,796.0","165,911.0","172,827.0","180,951.0","187,117.0","192,600.0","202,226.0","204,929.0","210,651.0","216,927.0","222,760.0","222,307.0","222,973.0","225,150.0","231,544.0","237,021.0","240,791.0","245,276.0","248,978.0","260,557.0","267,448.0","273,619.0","275,538.0","284,615.0","295,490.0","305,046.0","315,115.0","319,795.0","323,958.0","330,747.0","343,593.0","343,779.0","346,999.0","354,826.0","359,861.0","366,764.0","372,371.0","379,732.0","383,850.0","387,006.0","393,975.0","397,285.0","408,045.0","417,447.0","428,365.0","436,723.0","447,591.0","460,749.0","473,190.0","483,031.0","497,464.0","506,175.0","515,529.0","524,399.0","530,850.0","535,985.0","541,976.0","550,610.0","561,765.0","574,047.0","580,790.0","592,703.0","601,400.0","613,582.0","623,164.0","638,494.0","657,847.0","665,401.0","678,038.0","695,601.0","698,892.0","704,532.0","713,178.0","721,515.0","733,113.0","738,375.0","743,051.0","747,663.0","755,841.0","767,407.0","774,183.0","781,855.0","790,988.0","803,728.0","820,230.0","829,900.0","841,541.0","854,558.0","858,700.0","866,212.0","872,793.0","886,161.0","898,948.0","917,979.0","933,747.0","938,969.0","945,559.0","955,625.0","963,064.0","983,929.0","1,008,565.0","1,024,571.0","1,044,566.0","1,064,485.0","1,085,735.0","1,110,590.0","1,133,203.0","1,143,730.0","1,160,599.0","1,181,965.0","1,206,738.0","1,238,184.0","1,234,246.0","1,259,757.0","1,278,876.0","1,294,073.0","1,310,608.0","1,327,266.0","1,348,395.0","1,347,836.0","1,362,336.0","1,365,718.0","1,379,410.0","1,399,172.0","1,415,313.0","1,438,806.0","1,454,563.0","1,477,338.0","1,506,020.0","1,536,409.0","1,546,054.0","1,580,244.0","1,601,153.0","1,619,371.0","1,660,349.0","1,687,270.0","1,706,373.0","1,737,616.0","1,768,899.0","1,804,592.0","1,829,189.0","1,791,157.0","1,768,766.0","1,779,512.0","1,778,418.0","1,774,675.0","1,777,584.0","1,784,120.0","1,785,270.0"
