"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"26","8","General government \4\","A765RX1","947,160.0","950,794.0","952,358.0","950,642.0","954,913.0","974,360.0","990,109.0","998,727.0","1,009,168.0","1,028,535.0","1,039,482.0","1,054,419.0","1,060,241.0","1,071,044.0","1,077,882.0","1,091,273.0","1,122,505.0","1,150,133.0","1,175,304.0","1,205,843.0","1,234,618.0","1,266,206.0","1,279,389.0","1,283,684.0","1,286,516.0","1,286,821.0","1,287,733.0","1,289,812.0","1,299,609.0","1,314,342.0","1,326,304.0","1,349,371.0","1,373,704.0","1,401,420.0","1,418,246.0","1,426,818.0","1,436,476.0","1,444,976.0","1,462,495.0","1,496,797.0","1,520,522.0"
"27","9","  Federal","A766RX1","467,098.0","447,087.0","426,497.0","405,846.0","390,675.0","389,440.0","387,269.0","387,924.0","388,983.0","393,883.0","393,458.0","399,690.0","405,851.0","412,459.0","422,047.0","431,593.0","443,881.0","451,756.0","463,602.0","469,347.0","475,139.0","483,816.0","486,731.0","476,535.0","467,410.0","452,197.0","435,118.0","423,153.0","415,184.0","410,432.0","407,070.0","410,480.0","412,106.0","420,227.0","431,532.0","435,827.0","438,743.0","438,448.0","441,759.0","459,033.0","485,645.0"
"28","10","  State and local","A767RX1","489,966.0","511,687.0","532,531.0","550,931.0","570,230.0","590,940.0","608,926.0","616,940.0","626,396.0","641,001.0","652,447.0","661,245.0","660,926.0","665,167.0","662,495.0","666,441.0","685,577.0","705,438.0","719,007.0","743,613.0","766,424.0","789,241.0","799,395.0","812,976.0","824,163.0","838,464.0","855,128.0","868,376.0","885,577.0","904,593.0","919,526.0","938,977.0","961,322.0","980,900.0","986,673.0","990,991.0","997,733.0","1,006,537.0","1,020,755.0","1,037,803.0","1,035,270.0"
"29","11","Residual","A961RX1","-134,500.0","-134,200.0","-124,100.0","-111,100.0","-101,500.0","-119,300.0","-116,300.0","-106,300.0","-91,500.0","-87,200.0","-79,700.0","-99,700.0","-79,500.0","-98,900.0","-107,700.0","-73,400.0","-58,100.0","-59,300.0","-60,600.0","-65,900.0","-60,900.0","-65,600.0","-74,300.0","-62,400.0","-62,600.0","-45,300.0","-46,800.0","-32,800.0","-21,500.0","-15,900.0","-5,800.0","-700.0","-2,300.0","-2,800.0","-2,100.0","-500.0","100.0","-100.0","-600.0","4,400.0","9,300.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","12","  Gross housing value added","A2009X1","364,608.0","376,582.0","393,630.0","412,523.0","427,820.0","448,480.0","462,204.0","469,345.0","481,164.0","503,177.0","523,004.0","554,995.0","576,709.0","592,276.0","605,359.0","624,559.0","649,050.0","661,120.0","676,803.0","696,403.0","712,187.0","730,201.0","754,560.0","776,662.0","789,070.0","821,733.0","846,893.0","860,429.0","885,563.0","900,940.0","942,313.0","977,818.0","997,847.0","988,509.0","969,321.0","1,008,358.0","1,054,010.0","1,098,560.0","1,132,409.0","1,185,195.0","1,190,253.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
