"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"33","14","  Change in private inventories","A014CX1","12,935.0","10,809.0","12,490.0","6,765.0","1,231.0","5,733.0","5,762.0","-4,788.0","13,571.0","11,549.0","10,977.0","-634.0","3,965.0","12,985.0","13,896.0","5,581.0","9,153.0","17,888.0","8,529.0","19,791.0","9,652.0","12,657.0","4,049.0","14,935.0","-6,018.0","-10,554.0","-1,687.0","110.0","11,152.0","16,776.0","15,157.0","5,537.0","9,431.0","14,073.0","24,702.0","12,993.0","15,528.0","15,208.0","15,499.0","18,431.0","13,955.0","15,788.0","5,817.0","4,183.0","4,624.0","3,947.0","-17,047.0","-4,836.0","19,700.0","4,937.0","20,327.0","10,334.0","-9,711.0","-1,908.0","2,121.0","-18,521.0"
"34","15","Net exports of goods and services","A019CX1","-3,255.0","-2,546.0","-3,190.0","-433.0","256.0","1,773.0","1,723.0","1,342.0","2,346.0","-2,563.0","-1,349.0","-2,352.0","-5,065.0","-4,438.0","-1,857.0","-2,130.0","-207.0","5,972.0","8,408.0","11,978.0","15,700.0","16,143.0","12,439.0","15,519.0","23,750.0","26,524.0","19,819.0","21,154.0","16,038.0","13,677.0","13,144.0","11,388.0","5,806.0","7,545.0","9,554.0","5,141.0","1,344.0","11,189.0","11,110.0","14,087.0","14,451.0","14,216.0","19,812.0","25,071.0","28,482.0","38,152.0","44,538.0","39,138.0","37,703.0","38,281.0","36,535.0","34,455.0","31,532.0","33,810.0","23,971.0","22,244.0"
"35","16","  Exports","A020CX1","50,166.0","61,414.0","59,942.0","62,005.0","62,489.0","65,236.0","65,041.0","65,641.0","65,888.0","65,772.0","68,497.0","62,760.0","69,563.0","67,539.0","71,617.0","74,654.0","80,125.0","83,989.0","84,269.0","88,405.0","89,536.0","93,891.0","88,828.0","91,149.0","91,792.0","89,120.0","87,619.0","92,573.0","91,932.0","92,858.0","95,556.0","96,527.0","94,976.0","97,536.0","98,292.0","95,137.0","97,378.0","107,527.0","108,706.0","113,022.0","113,115.0","113,413.0","117,496.0","124,889.0","128,374.0","130,795.0","130,518.0","129,732.0","132,180.0","132,901.0","130,075.0","130,678.0","125,012.0","125,762.0","120,190.0","114,686.0"
"36","17","    Goods","A253CX1","35,772.0","45,255.0","44,099.0","45,634.0","46,320.0","47,605.0","47,692.0","48,289.0","47,528.0","47,442.0","50,690.0","44,054.0","51,107.0","49,999.0","52,775.0","56,463.0","61,495.0","65,165.0","65,094.0","70,148.0","70,367.0","73,769.0","69,418.0","70,630.0","70,525.0","67,080.0","68,340.0","72,362.0","71,546.0","72,013.0","73,899.0","75,168.0","73,746.0","75,653.0","75,996.0","72,841.0","74,000.0","83,692.0","84,108.0","87,403.0","87,207.0","87,457.0","91,429.0","97,962.0","101,691.0","103,127.0","102,311.0","101,693.0","102,441.0","102,890.0","100,133.0","100,715.0","95,820.0","96,931.0","91,790.0","87,235.0"
"37","18","    Services","A646CX1","14,454.0","16,117.0","15,803.0","16,325.0","16,082.0","17,627.0","17,320.0","17,311.0","18,406.0","18,377.0","17,771.0","18,783.0","18,475.0","17,545.0","18,834.0","18,174.0","18,582.0","18,724.0","19,092.0","17,907.0","18,901.0","19,821.0","19,190.0","20,438.0","21,355.0","22,533.0","19,101.0","19,983.0","20,246.0","20,771.0","21,634.0","21,213.0","21,139.0","21,810.0","22,276.0","22,419.0","23,608.0","23,702.0","24,562.0","25,592.0","25,945.0","25,992.0","25,895.0","26,559.0","26,089.0","27,171.0","27,836.0","27,664.0","29,611.0","29,900.0","29,946.0","29,946.0","29,266.0","28,827.0","28,504.0","27,588.0"
"38","19","  Imports","A021CX1","53,421.0","63,960.0","63,132.0","62,438.0","62,234.0","63,464.0","63,318.0","64,300.0","63,542.0","68,335.0","69,846.0","65,112.0","74,628.0","71,976.0","73,474.0","76,784.0","80,332.0","78,016.0","75,861.0","76,428.0","73,836.0","77,748.0","76,389.0","75,630.0","68,041.0","62,596.0","67,800.0","71,419.0","75,894.0","79,181.0","82,412.0","85,139.0","89,170.0","89,992.0","88,737.0","89,996.0","96,034.0","96,338.0","97,596.0","98,935.0","98,664.0","99,197.0","97,684.0","99,818.0","99,892.0","92,643.0","85,980.0","90,594.0","94,477.0","94,620.0","93,540.0","96,223.0","93,480.0","91,952.0","96,218.0","92,442.0"
"39","20","    Goods","A255CX1","37,741.0","47,794.0","46,818.0","45,632.0","45,713.0","46,080.0","45,940.0","47,225.0","46,992.0","51,526.0","53,343.0","48,606.0","57,129.0","54,434.0","56,755.0","59,418.0","62,502.0","60,917.0","59,975.0","60,416.0","57,557.0","60,883.0","59,833.0","58,764.0","51,914.0","47,476.0","52,414.0","55,360.0","59,322.0","62,288.0","65,039.0","67,360.0","71,023.0","71,548.0","70,689.0","71,702.0","76,688.0","77,007.0","77,911.0","78,911.0","78,762.0","79,257.0","77,918.0","79,906.0","80,013.0","73,602.0","67,482.0","71,300.0","74,327.0","74,368.0","73,664.0","76,061.0","73,214.0","71,167.0","75,263.0","71,281.0"
"40","21","    Services","B656CX1","15,626.0","16,164.0","16,301.0","16,784.0","16,497.0","17,359.0","17,357.0","17,044.0","16,523.0","16,799.0","16,515.0","16,478.0","17,507.0","17,545.0","16,713.0","17,360.0","17,827.0","17,096.0","15,877.0","15,995.0","16,359.0","16,865.0","16,527.0","16,970.0","16,517.0","15,554.0","15,558.0","16,195.0","16,597.0","16,813.0","17,233.0","17,589.0","17,817.0","18,148.0","17,715.0","17,954.0","18,935.0","18,899.0","19,276.0","19,630.0","19,497.0","19,513.0","19,380.0","19,407.0","19,341.0","18,784.0","18,612.0","19,322.0","20,196.0","20,336.0","19,901.0","20,081.0","20,470.0","21,320.0","21,208.0","21,796.0"
"41","22","Government consumption expenditures and gross investment","A822CX1","302,522.0","301,573.0","302,270.0","298,316.0","296,902.0","293,503.0","294,784.0","294,938.0","290,655.0","289,993.0","289,908.0","287,932.0","289,292.0","291,035.0","285,234.0","287,419.0","289,747.0","288,317.0","284,649.0","286,544.0","291,924.0","293,803.0","294,180.0","295,473.0","298,756.0","296,758.0","301,474.0","304,273.0","304,912.0","301,843.0","300,339.0","300,443.0","303,046.0","306,026.0","306,708.0","306,045.0","306,398.0","314,532.0","317,034.0","319,902.0","317,133.0","320,386.0","320,819.0","322,909.0","327,920.0","329,075.0","324,215.0","324,205.0","328,440.0","329,473.0","328,211.0","331,908.0","331,563.0","333,728.0","335,828.0","341,192.0"
"42","23","  Federal","A823CX1","168,635.0","166,505.0","166,844.0","163,078.0","160,321.0","156,122.0","154,227.0","153,632.0","148,683.0","146,946.0","146,354.0","142,507.0","143,468.0","145,456.0","138,491.0","138,668.0","140,327.0","138,655.0","133,404.0","133,432.0","136,857.0","136,786.0","137,383.0","138,612.0","137,212.0","136,400.0","139,136.0","139,795.0","138,579.0","138,421.0","138,006.0","138,611.0","139,695.0","141,722.0","142,587.0","141,640.0","141,980.0","145,210.0","145,739.0","146,975.0","147,152.0","148,849.0","148,686.0","148,793.0","153,062.0","156,644.0","154,415.0","155,262.0","158,220.0","162,717.0","161,910.0","164,344.0","164,481.0","166,092.0","168,260.0","172,453.0"
"43","24","    National defense","A824CX1","133,530.0","130,990.0","131,017.0","128,547.0","125,346.0","120,048.0","118,382.0","117,537.0","112,670.0","108,842.0","106,799.0","104,079.0","102,860.0","104,280.0","97,535.0","97,877.0","99,122.0","97,658.0","92,310.0","92,901.0","94,479.0","95,914.0","93,844.0","94,124.0","93,220.0","92,032.0","94,711.0","94,709.0","93,558.0","93,436.0","93,002.0","92,914.0","93,740.0","94,936.0","95,011.0","92,827.0","93,182.0","95,185.0","95,395.0","95,804.0","96,149.0","97,923.0","97,567.0","98,144.0","100,636.0","100,956.0","100,860.0","102,402.0","104,444.0","107,476.0","107,896.0","110,294.0","111,339.0","114,498.0","116,340.0","118,937.0"
"44","25","    Nondefense","A825CX1","35,685.0","36,052.0","36,358.0","35,073.0","35,463.0","36,443.0","36,198.0","36,427.0","36,276.0","38,228.0","39,592.0","38,468.0","40,607.0","41,176.0","40,957.0","40,791.0","41,206.0","40,996.0","41,111.0","40,543.0","42,400.0","40,871.0","43,567.0","44,523.0","44,021.0","44,391.0","44,451.0","45,110.0","45,046.0","45,011.0","45,031.0","45,726.0","45,980.0","46,812.0","47,608.0","48,869.0","48,853.0","50,086.0","50,410.0","51,249.0","51,076.0","50,980.0","51,179.0","50,688.0","52,478.0","55,840.0","53,638.0","52,891.0","53,803.0","55,266.0","53,986.0","53,971.0","52,998.0","51,304.0","51,604.0","53,217.0"
"45","26","  State and local","A829CX1","134,321.0","135,459.0","135,814.0","135,581.0","136,878.0","137,620.0","140,732.0","141,463.0","142,055.0","143,101.0","143,600.0","145,422.0","145,826.0","145,580.0","146,739.0","148,751.0","149,426.0","149,670.0","151,253.0","153,115.0","155,059.0","156,980.0","156,767.0","156,850.0","161,440.0","160,261.0","162,264.0","164,382.0","166,195.0","163,320.0","162,239.0","161,748.0","163,265.0","164,231.0","164,066.0","164,330.0","164,349.0","169,237.0","171,191.0","172,823.0","169,922.0","171,489.0","172,069.0","174,011.0","174,840.0","172,563.0","169,930.0","169,113.0","170,433.0","167,211.0","166,740.0","168,039.0","167,568.0","168,151.0","168,145.0","169,404.0"
"46","27","Residual","A960CX1","-3,800.0","-2,900.0","-3,300.0","-2,800.0","-1,800.0","-1,400.0","-1,700.0","-1,800.0","-2,300.0","-900.0","-1,100.0","-100.0","300.0","-200.0","-200.0","-500.0","700.0","700.0","1,800.0","2,500.0","3,600.0","1,600.0","500.0","4,100.0","3,000.0","5,700.0","4,100.0","3,300.0","2,300.0","1,200.0","0.0","200.0","-2,800.0","-1,500.0","-600.0","-2,000.0","-3,500.0","-800.0","600.0","-1,100.0","1,100.0","700.0","1,400.0","800.0","2,400.0","6,400.0","9,300.0","8,900.0","6,100.0","5,600.0","6,900.0","6,000.0","3,900.0","6,400.0","2,400.0","2,600.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
