"","Table 3#12# Government Social Benefits","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Federal","B087RC1","645.0","683.0","1,658.0","867.0","625.0","513.0","539.0","1,962.0","721.0","1,084.0","1,122.0","1,295.0","1,239.0","1,287.0","1,092.0","1,651.0","4,054.0","8,654.0","8,383.0","7,186.0","8,200.0","10,227.0","7,894.0","8,081.0","8,702.0","10,680.0","11,502.0","12,300.0","14,531.0","18,191.0","18,578.0","19,867.0","23,107.0","23,503.0","24,644.0","25,163.0","27,262.0","29,883.0","36,520.0","41,860.0","45,756.0"
"22","4","    Benefits from social insurance funds","A1588C1","26.0","29.0","33.0","40.0","40.0","42.0","36.0","35.0","79.0","541.0","628.0","762.0","629.0","664.0","445.0","529.0","1,249.0","3,480.0","2,618.0","2,441.0","3,646.0","5,879.0","4,098.0","4,516.0","5,298.0","7,214.0","7,736.0","8,503.0","10,649.0","14,174.0","14,580.0","15,878.0","18,976.0","19,273.0","20,251.0","20,584.0","22,278.0","24,668.0","30,330.0","35,131.0","37,983.0"
"23","5","      Social security \1\","W823RC1",".....",".....",".....",".....",".....",".....",".....",".....","1.0","10.0","14.0","35.0","88.0","130.0","165.0","209.0","273.0","378.0","463.0","554.0","665.0","952.0","1,872.0","2,176.0","2,980.0","3,632.0","4,914.0","5,652.0","7,316.0","8,478.0","10,175.0","11,130.0","12,614.0","14,298.0","15,245.0","16,018.0","18,067.0","19,786.0","21,122.0","24,598.0","26,382.0"
"24","6","      Medicare \2\","W824RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,008.0","4,699.0","5,890.0","6,695.0"
"25","7","      Unemployment insurance","A1589C1",".....",".....",".....",".....",".....",".....",".....",".....","2.0","393.0","435.0","534.0","358.0","350.0","81.0","67.0","558.0","2,600.0","1,591.0","1,270.0","2,247.0","1,489.0","886.0","1,075.0","1,084.0","2,324.0","1,598.0","1,575.0","1,948.0","4,244.0","2,853.0","3,079.0","4,401.0","3,182.0","3,061.0","2,776.0","2,365.0","1,913.0","2,237.0","2,207.0","2,327.0"
"26","8","        State","L311071",".....",".....",".....",".....",".....",".....",".....",".....","2.0","393.0","429.0","518.0","344.0","344.0","80.0","62.0","446.0","1,095.0","775.0","790.0","1,730.0","1,366.0","837.0","992.0","954.0","2,014.0","1,340.0","1,373.0","1,724.0","3,797.0","2,408.0","2,727.0","3,981.0","2,868.0","2,763.0","2,506.0","2,149.0","1,756.0","2,074.0","2,008.0","2,100.0"
"27","9","        Railroad employees","TRP2001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6.0","16.0","14.0","6.0","1.0","1.0","2.0","38.0","54.0","60.0","135.0","91.0","47.0","76.0","92.0","206.0","148.0","120.0","144.0","281.0","289.0","214.0","255.0","183.0","148.0","124.0","101.0","78.0","75.0","81.0","94.0"
"28","10","        Federal employees","W874RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.0","110.0","1,467.0","762.0","420.0","382.0","32.0","2.0","7.0","38.0","104.0","110.0","82.0","80.0","166.0","156.0","138.0","165.0","131.0","150.0","146.0","115.0","79.0","88.0","118.0","133.0"
"29","11","        Emergency unemployment compensation","B1590C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","12","      Railroad retirement","TRP2501",".....",".....",".....",".....",".....",".....",".....","1.0","40.0","98.0","110.0","118.0","124.0","128.0","132.0","137.0","146.0","161.0","198.0","251.0","287.0","307.0","318.0","442.0","469.0","529.0","565.0","623.0","688.0","738.0","833.0","949.0","994.0","1,040.0","1,070.0","1,097.0","1,140.0","1,202.0","1,308.0","1,471.0","1,541.0"
"31","13","      Pension benefit guaranty","B1044C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","14","      Veterans' life insurance","TRP3501","26.0","29.0","33.0","40.0","40.0","42.0","36.0","34.0","36.0","40.0","69.0","75.0","59.0","56.0","67.0","116.0","272.0","328.0","352.0","352.0","433.0","3,109.0","989.0","784.0","722.0","685.0","611.0","601.0","641.0","652.0","655.0","660.0","905.0","687.0","806.0","621.0","632.0","677.0","759.0","713.0","739.0"
"33","15","      Workers' compensation","TRP3751",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","13.0","14.0","14.0","14.0","22.0","33.0","39.0","43.0","44.0","48.0","52.0","56.0","62.0","64.0","60.0","62.0","66.0","69.0","72.0","74.0","82.0","93.0","104.0","121.0"
"34","16","      Military medical insurance \3\","B1606C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","112.0","148.0","178.0"
"35","17","    Veterans' benefits","A1594C1","508.0","544.0","1,513.0","709.0","483.0","375.0","409.0","1,821.0","524.0","458.0","448.0","451.0","441.0","437.0","443.0","827.0","2,565.0","5,042.0","5,468.0","4,409.0","4,214.0","3,986.0","3,502.0","3,343.0","3,215.0","3,343.0","3,652.0","3,688.0","3,750.0","3,834.0","3,774.0","3,745.0","3,827.0","3,841.0","3,926.0","3,987.0","4,193.0","4,121.0","4,753.0","5,091.0","5,798.0"
"36","18","      Pension and disability","TRP4501","415.0","438.0","517.0","539.0","425.0","347.0","380.0","391.0","390.0","399.0","412.0","423.0","422.0","427.0","437.0","589.0","940.0","1,580.0","2,042.0","2,111.0","2,147.0","2,191.0","2,126.0","2,239.0","2,399.0","2,515.0","2,706.0","2,768.0","2,918.0","3,144.0","3,282.0","3,442.0","3,647.0","3,743.0","3,871.0","3,954.0","4,184.0","4,038.0","4,446.0","4,592.0","5,090.0"
"37","19","      Readjustment","TRP5001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","33.0","1,313.0","1,843.0","1,864.0","1,898.0","1,677.0","1,220.0","650.0","459.0","504.0","648.0","726.0","708.0","624.0","479.0","301.0","179.0","97.0","54.0","32.0","9.0","83.0","307.0","499.0","708.0"
"38","20","      Other \4\","TRP5701","93.0","106.0","996.0","170.0","58.0","28.0","29.0","1,430.0","134.0","59.0","36.0","28.0","19.0","10.0","6.0","237.0","1,592.0","2,149.0","1,583.0","434.0","169.0","118.0","156.0","454.0","357.0","324.0","298.0","194.0","124.0","66.0","13.0","2.0","1.0","1.0","1.0","1.0",".....",".....",".....",".....","....."
"39","21","    Supplemental Nutrition Assistance Program (SNAP) \5\","TRP6001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","14.0","26.0","28.0","45.0","84.0","139.0","198.0","264.0"
"40","22","    Black lung benefits","TRP6501",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"41","23","    Supplemental security income","TRP7001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"42","24","    Direct relief","TRP7301",".....",".....",".....",".....",".....",".....","2.0","20.0","36.0","23.0","22.0","63.0","137.0","108.0","9.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"43","25","    Refundable tax credits \6\","W811RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"44","26","    Other \7\","W812RC1","111.0","110.0","112.0","118.0","102.0","96.0","92.0","86.0","82.0","62.0","24.0","19.0","32.0","78.0","195.0","295.0","240.0","130.0","297.0","336.0","340.0","362.0","295.0","222.0","189.0","123.0","114.0","110.0","132.0","183.0","224.0","244.0","297.0","375.0","441.0","564.0","746.0","1,010.0","1,298.0","1,440.0","1,711.0"
"45","27","  State and local","B109RC1","146.0","186.0","263.0","407.0","649.0","834.0","1,045.0","725.0","879.0","1,058.0","1,115.0","1,099.0","1,067.0","1,035.0","1,010.0","1,023.0","1,088.0","1,468.0","2,045.0","2,695.0","2,657.0","3,190.0","2,644.0","2,913.0","2,972.0","3,067.0","3,252.0","3,292.0","3,601.0","4,035.0","4,339.0","4,561.0","4,982.0","5,340.0","5,697.0","6,154.0","6,651.0","7,621.0","9,232.0","11,446.0","13,217.0"
"46","28","    Benefits from social insurance funds","A1595C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","3.0","5.0","5.0","88.0","117.0","131.0","145.0","167.0","183.0","205.0","223.0","248.0","262.0","289.0","312.0","357.0","384.0","432.0","480.0","533.0","596.0","633.0","663.0","700.0","754.0","811.0","886.0"
"47","29","      Temporary disability insurance","S122001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","3.0","5.0","5.0","5.0","22.0","26.0","31.0","38.0","36.0","43.0","49.0","60.0","63.0","74.0","84.0","104.0","113.0","138.0","160.0","185.0","229.0","249.0","261.0","267.0","285.0","317.0","357.0"
"48","30","      Workers' compensation","S123001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","83.0","95.0","105.0","114.0","129.0","147.0","162.0","174.0","188.0","199.0","215.0","228.0","253.0","271.0","294.0","320.0","348.0","367.0","384.0","402.0","433.0","469.0","494.0","529.0"
"49","31","    Public assistance","A1596C1","122.0","160.0","233.0","374.0","617.0","807.0","1,019.0","699.0","855.0","1,032.0","1,091.0","1,079.0","1,051.0","1,022.0","996.0","1,008.0","1,055.0","1,246.0","1,552.0","1,810.0","2,259.0","2,443.0","2,371.0","2,483.0","2,573.0","2,745.0","2,844.0","2,910.0","3,140.0","3,524.0","3,791.0","3,929.0","4,243.0","4,600.0","4,891.0","5,274.0","5,700.0","6,551.0","7,990.0","10,021.0","11,591.0"
"50","32","      Medical care","B1597C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","116.0","140.0","165.0","197.0","227.0","249.0","349.0","467.0","529.0","689.0","930.0","1,070.0","1,255.0","1,476.0","1,990.0","2,780.0","4,055.0","4,616.0"
"51","33","        Medicaid","W729RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,881.0","2,720.0","3,997.0","4,551.0"
"52","34","        Other medical care \8\","TRP8101",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","467.0","529.0","689.0","930.0","1,070.0","1,255.0","1,476.0","109.0","60.0","58.0","65.0"
"53","35","      Family assistance \9\","B1598C1",".....",".....",".....",".....","72.0","80.0","115.0","218.0","397.0","509.0","566.0","630.0","718.0","778.0","818.0","850.0","900.0","1,057.0","295.0","364.0","475.0","551.0","552.0","539.0","545.0","573.0","613.0","633.0","714.0","836.0","934.0","991.0","1,146.0","1,288.0","1,356.0","1,500.0","1,650.0","1,854.0","2,256.0","2,824.0","3,545.0"
"54","36","      Supplemental security income \10\","B1599C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,019.0","1,165.0","1,414.0","1,504.0","1,523.0","1,590.0","1,662.0","1,665.0","1,670.0","1,734.0","1,842.0","1,907.0","1,921.0","1,947.0","1,906.0","1,931.0","2,013.0","2,051.0","2,098.0","2,201.0","2,360.0","2,419.0","2,627.0"
"55","37","      General assistance","B1600C1",".....",".....",".....",".....","486.0","665.0","839.0","417.0","390.0","456.0","458.0","383.0","267.0","178.0","111.0","89.0","86.0","120.0","164.0","198.0","280.0","290.0","192.0","168.0","150.0","195.0","212.0","196.0","210.0","302.0","344.0","322.0","356.0","293.0","279.0","273.0","259.0","264.0","326.0","421.0","472.0"
"56","38","      Energy assistance","B1601C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"57","39","      Other \11\","B1602C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","125.0","140.0","146.0","158.0","173.0","195.0","217.0","242.0","268.0","302.0","331.0"
"58","40","    Education","B1603C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","30.0","39.0","45.0","43.0","53.0","67.0","74.0","84.0","99.0","114.0","138.0","168.0","199.0","240.0","322.0","429.0","532.0","629.0"
"59","41","    Employment and training","B1604C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"60","42","    Other \12\","B1605C1","24.0","26.0","30.0","33.0","32.0","27.0","26.0","26.0","24.0","26.0","24.0","20.0","16.0","13.0","11.0","10.0","28.0","134.0","376.0","754.0","253.0","580.0","90.0","195.0","137.0","29.0","103.0","40.0","82.0","80.0","80.0","101.0","145.0","69.0","42.0","48.0","48.0","48.0","59.0","82.0","111.0"
"61","43","To the rest of the world \13\","W016RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","246.0","276.0","299.0","324.0","346.0","453.0","464.0","555.0","557.0","585.0"
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Social security benefits include old-age, survivors, and disability insurance benefits that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","are distributed from the federal old-age and survivors insurance trust fund and the disability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2. Medicare benefits include hospital and supplementary medical insurance benefits that are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","distributed from the federal hospital insurance trust fund and the supplementary medical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","insurance trust fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","3. Consists of payments for medical services for dependents of active duty military personnel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","at nonmilitary facilities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","4. Consists of mustering out pay, terminal leave pay, and adjusted compensation benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","5. Prior to October 2008, benefits for the Supplemental Nutrition Assistance Program were",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","called Food Stamp benefits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","6. Refundable tax credits represent the outlays that are distributed to an individual when",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the amount of federal refundable tax credits exceeds the individual's federal income tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","liabilities.  Refundable tax credits include the federal earned income tax credit, the child",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","tax credit, the health coverage tax credit, and, beginning in 2009, the Making Work Pay tax",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","credit, the American Opportunity tax credit, and the government retiree tax credit, as well as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","credits for alternative minimum tax payments made in prior years.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","7. Consists largely of payments to nonprofit institutions, aid to students, and payments for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
