"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"54","36","      Federal","A896RC1","572.0","342.0","965.0","928.0","1,112.0","832.0","1,098.0","1,198.0","1,476.0","2,466.0","1,814.0","2,567.0","2,567.0","1,950.0","2,566.0","2,756.0","4,012.0","4,884.0","6,347.0","3,516.0","2,051.0","2,493.0","1,853.0","3,271.0","3,811.0","2,772.0","3,693.0","3,245.0","1,328.0","1,468.0","417.0","-2,561.0","-3,363.0","-1,074.0","-220.0","-2,018.0","-4,934.0","-4,541.0","-1,784.0","965.0","5,205.0","8,824.0","4,954.0","-3,429.0","-8,656.0"
"55","37","        National defense","B897RC1","-390.0","-701.0","-387.0","-581.0","-686.0","-1,067.0","-1,216.0","-1,488.0","-1,475.0","-1,464.0","-1,966.0","-1,711.0","-1,983.0","-1,340.0","-546.0","-580.0","490.0","855.0","1,464.0","995.0","-330.0","-788.0","-2,433.0","-2,019.0","-2,250.0","-2,017.0","-1,387.0","-1,981.0","-2,358.0","-2,832.0","-3,549.0","-3,830.0","-4,156.0","-3,520.0","-2,777.0","-3,421.0","-4,075.0","-4,359.0","-2,906.0","281.0","3,924.0","3,506.0","-215.0","-5,778.0","-7,682.0"
"56","38","        Nondefense","B898RC1","962.0","1,043.0","1,352.0","1,509.0","1,798.0","1,899.0","2,314.0","2,686.0","2,951.0","3,930.0","3,780.0","4,278.0","4,550.0","3,290.0","3,112.0","3,336.0","3,522.0","4,029.0","4,883.0","2,521.0","2,381.0","3,281.0","4,286.0","5,290.0","6,061.0","4,789.0","5,080.0","5,226.0","3,686.0","4,300.0","3,966.0","1,269.0","793.0","2,446.0","2,557.0","1,403.0","-859.0","-182.0","1,122.0","684.0","1,281.0","5,318.0","5,169.0","2,349.0","-974.0"
"57","39","      State and local","B899RC1","18,189.0","17,380.0","17,528.0","16,827.0","17,655.0","20,417.0","21,976.0","21,419.0","19,288.0","23,851.0","27,723.0","30,286.0","27,114.0","23,497.0","22,795.0","28,539.0","34,388.0","39,159.0","41,565.0","45,641.0","47,807.0","55,331.0","58,351.0","58,080.0","56,120.0","57,700.0","62,911.0","69,664.0","79,445.0","80,267.0","92,440.0","103,829.0","115,585.0","124,776.0","125,902.0","126,602.0","127,304.0","135,539.0","141,645.0","145,552.0","144,597.0","132,361.0","114,991.0","97,478.0","86,003.0"
"58","40","  Equipment","Y054RC1","12,858.0","13,042.0","9,216.0","9,780.0","10,940.0","14,356.0","16,589.0","19,241.0","20,979.0","23,052.0","27,275.0","31,082.0","35,967.0","42,313.0","50,229.0","58,446.0","67,762.0","73,891.0","77,415.0","74,273.0","80,677.0","86,622.0","85,692.0","84,767.0","79,413.0","77,453.0","78,888.0","80,078.0","75,638.0","78,949.0","86,143.0","87,370.0","88,176.0","95,598.0","100,156.0","107,231.0","112,997.0","123,266.0","130,703.0","147,128.0","148,263.0","151,214.0","145,102.0","142,609.0","134,611.0"
"59","41","  Less: Consumption of fixed capital","Y085RC1","13,421.0","13,940.0","14,127.0","14,183.0","14,225.0","15,074.0","16,530.0","18,246.0","19,761.0","21,737.0","23,227.0","25,820.0","29,277.0","32,827.0","35,921.0","39,476.0","42,711.0","46,299.0","49,821.0","53,645.0","58,005.0","62,677.0","67,194.0","70,169.0","73,254.0","76,241.0","78,090.0","78,897.0","78,638.0","78,739.0","80,592.0","83,263.0","84,386.0","85,243.0","87,268.0","90,737.0","94,754.0","99,078.0","104,214.0","111,191.0","117,706.0","122,780.0","127,724.0","130,634.0","131,128.0"
"60","42","  Equals: Net equipment","Y086RC1","-563.0","-898.0","-4,911.0","-4,403.0","-3,285.0","-718.0","59.0","995.0","1,218.0","1,315.0","4,048.0","5,262.0","6,690.0","9,486.0","14,308.0","18,970.0","25,051.0","27,592.0","27,594.0","20,628.0","22,672.0","23,945.0","18,498.0","14,598.0","6,159.0","1,212.0","798.0","1,181.0","-3,000.0","210.0","5,551.0","4,107.0","3,790.0","10,355.0","12,888.0","16,494.0","18,243.0","24,188.0","26,489.0","35,937.0","30,557.0","28,434.0","17,378.0","11,975.0","3,483.0"
"61","43","      Federal","Y087RC1","-1,319.0","-1,661.0","-5,631.0","-5,356.0","-4,509.0","-2,213.0","-1,259.0","-94.0","353.0","266.0","2,599.0","3,573.0","5,360.0","7,951.0","11,889.0","15,315.0","20,204.0","22,240.0","22,548.0","15,415.0","15,616.0","16,440.0","12,988.0","9,635.0","1,455.0","-5,416.0","-6,908.0","-5,441.0","-10,397.0","-8,990.0","-4,958.0","-5,905.0","-4,531.0","3,476.0","7,246.0","12,404.0","15,115.0","19,559.0","18,281.0","27,653.0","24,999.0","26,181.0","17,922.0","13,296.0","3,645.0"
"62","44","        National defense","Y088RC1","-1,430.0","-1,888.0","-5,940.0","-5,904.0","-4,961.0","-2,952.0","-1,942.0","-819.0","-731.0","-1,015.0","1,493.0","2,261.0","4,287.0","6,654.0","10,393.0","13,670.0","18,423.0","21,091.0","21,212.0","13,553.0","13,133.0","13,644.0","9,886.0","5,801.0","-1,805.0","-6,071.0","-8,445.0","-7,841.0","-12,729.0","-11,303.0","-8,351.0","-7,649.0","-5,456.0","526.0","4,056.0","8,561.0","9,959.0","13,103.0","13,728.0","22,088.0","20,030.0","20,326.0","13,567.0","9,341.0","2,252.0"
"63","45","        Nondefense","Y089RC1","111.0","227.0","309.0","548.0","452.0","739.0","683.0","725.0","1,084.0","1,281.0","1,106.0","1,312.0","1,073.0","1,297.0","1,496.0","1,645.0","1,781.0","1,149.0","1,336.0","1,862.0","2,483.0","2,796.0","3,102.0","3,834.0","3,260.0","655.0","1,537.0","2,400.0","2,332.0","2,313.0","3,393.0","1,744.0","925.0","2,950.0","3,190.0","3,843.0","5,156.0","6,456.0","4,553.0","5,565.0","4,969.0","5,855.0","4,355.0","3,955.0","1,393.0"
"64","46","      State and local","Y090RC1","757.0","763.0","720.0","954.0","1,225.0","1,494.0","1,318.0","1,089.0","865.0","1,049.0","1,449.0","1,689.0","1,330.0","1,536.0","2,420.0","3,654.0","4,847.0","5,352.0","5,045.0","5,213.0","7,056.0","7,505.0","5,511.0","4,963.0","4,704.0","6,627.0","7,706.0","6,622.0","7,397.0","9,200.0","10,509.0","10,012.0","8,322.0","6,879.0","5,642.0","4,090.0","3,128.0","4,629.0","8,208.0","8,284.0","5,559.0","2,253.0","-544.0","-1,320.0","-162.0"
"65","47","  Intellectual property products","Y055RC1","17,724.0","17,584.0","18,054.0","19,305.0","20,344.0","21,489.0","23,279.0","25,522.0","27,892.0","31,023.0","35,010.0","39,561.0","45,021.0","49,653.0","55,217.0","62,229.0","70,994.0","75,207.0","81,717.0","85,124.0","87,786.0","91,124.0","91,418.0","91,607.0","91,397.0","92,034.0","94,044.0","95,492.0","98,339.0","102,296.0","106,533.0","113,150.0","119,681.0","126,037.0","136,547.0","145,533.0","153,869.0","160,602.0","168,981.0","177,155.0","179,845.0","187,440.0","191,635.0","192,818.0","188,381.0"
"66","48","  Less: Consumption of fixed capital","Y091RC1","11,812.0","13,141.0","14,356.0","15,373.0","16,778.0","18,868.0","20,761.0","22,191.0","23,925.0","26,038.0","28,897.0","32,756.0","37,162.0","41,562.0","45,481.0","50,131.0","54,815.0","59,349.0","64,226.0","70,600.0","75,914.0","80,372.0","84,800.0","87,005.0","89,233.0","90,793.0","93,968.0","94,616.0","96,462.0","98,169.0","101,422.0","105,936.0","108,343.0","110,576.0","114,710.0","120,551.0","127,499.0","134,451.0","142,502.0","151,484.0","155,904.0","163,301.0","170,655.0","175,378.0","179,306.0"
"67","49","  Equals: Net intellectual property products","Y092RC1","5,912.0","4,443.0","3,698.0","3,932.0","3,566.0","2,621.0","2,518.0","3,331.0","3,967.0","4,985.0","6,113.0","6,805.0","7,859.0","8,091.0","9,736.0","12,098.0","16,179.0","15,858.0","17,491.0","14,524.0","11,872.0","10,752.0","6,618.0","4,602.0","2,164.0","1,241.0","76.0","876.0","1,877.0","4,127.0","5,111.0","7,214.0","11,338.0","15,461.0","21,837.0","24,982.0","26,370.0","26,151.0","26,479.0","25,671.0","23,941.0","24,139.0","20,980.0","17,440.0","9,075.0"
"68","50","      Federal","Y093RC1","5,694.0","4,198.0","3,466.0","3,697.0","3,314.0","2,366.0","2,223.0","3,016.0","3,641.0","4,552.0","5,576.0","6,221.0","7,225.0","7,387.0","8,921.0","11,116.0","14,960.0","14,446.0","16,010.0","12,749.0","9,389.0","8,123.0","4,052.0","2,062.0","133.0","-306.0","-1,001.0","-414.0","-254.0","1,608.0","2,599.0","4,354.0","8,443.0","12,844.0","19,013.0","21,998.0","23,336.0","22,326.0","22,124.0","20,819.0","19,237.0","19,629.0","17,105.0","13,794.0","5,475.0"
"69","51","        National defense","Y094RC1","930.0","196.0","49.0","475.0","392.0","-266.0","-548.0","-159.0","157.0","308.0","794.0","1,493.0","3,173.0","5,109.0","7,454.0","9,728.0","12,809.0","12,040.0","12,785.0","8,993.0","4,856.0","2,237.0","-2,534.0","-4,683.0","-6,443.0","-6,929.0","-7,010.0","-5,793.0","-5,400.0","-4,797.0","-4,963.0","-4,499.0","-1,702.0","2,789.0","7,761.0","11,013.0","12,057.0","11,492.0","11,976.0","9,913.0","6,388.0","4,597.0","3,046.0","1,789.0","-4,316.0"
"70","52","        Nondefense","Y095RC1","4,764.0","4,002.0","3,417.0","3,222.0","2,922.0","2,632.0","2,771.0","3,175.0","3,484.0","4,244.0","4,782.0","4,728.0","4,052.0","2,278.0","1,467.0","1,388.0","2,151.0","2,406.0","3,225.0","3,756.0","4,533.0","5,886.0","6,586.0","6,745.0","6,576.0","6,623.0","6,009.0","5,379.0","5,146.0","6,405.0","7,562.0","8,853.0","10,145.0","10,055.0","11,252.0","10,985.0","11,279.0","10,834.0","10,148.0","10,906.0","12,849.0","15,032.0","14,059.0","12,005.0","9,791.0"
"71","53","      State and local","Y096RC1","218.0","245.0","232.0","235.0","252.0","255.0","295.0","315.0","326.0","433.0","537.0","584.0","634.0","704.0","815.0","982.0","1,219.0","1,412.0","1,481.0","1,775.0","2,483.0","2,629.0","2,566.0","2,540.0","2,031.0","1,547.0","1,077.0","1,290.0","2,131.0","2,519.0","2,512.0","2,860.0","2,895.0","2,617.0","2,824.0","2,984.0","3,035.0","3,825.0","4,355.0","4,852.0","4,704.0","4,510.0","3,875.0","3,646.0","3,601.0"
"72",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","54","  Gross domestic fixed investment","W172RC1","223,928.0","227,842.0","247,080.0","279,729.0","316,692.0","336,699.0","347,906.0","395,746.0","467,446.0","558,153.0","641,772.0","672,381.0","748,766.0","752,894.0","814,432.0","947,866.0","1,027,697.0","1,080,657.0","1,119,669.0","1,176,877.0","1,242,439.0","1,269,273.0","1,238,830.0","1,292,803.0","1,377,901.0","1,486,870.0","1,593,985.0","1,721,208.0","1,854,198.0","2,013,012.0","2,191,845.0","2,369,459.0","2,380,555.0","2,350,059.0","2,473,917.0","2,701,279.0","2,981,171.0","3,166,024.0","3,201,499.0","3,091,432.0","2,672,715.0","2,691,101.0","2,835,998.0","3,033,724.0","3,170,246.0"
"74","55","  Less: Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,530,185.0","2,627,240.0"
"75","56","  Equals: Net domestic fixed investment","W173RC1","99,065.0","91,059.0","98,215.0","118,832.0","138,612.0","130,531.0","110,369.0","136,537.0","179,112.0","233,090.0","270,639.0","246,374.0","263,720.0","218,578.0","253,886.0","353,532.0","391,044.0","398,494.0","391,717.0","394,490.0","406,329.0","382,444.0","307,705.0","333,078.0","374,303.0","431,298.0","471,202.0","545,188.0","614,243.0","702,741.0","790,984.0","855,219.0","776,576.0","687,991.0","746,697.0","869,580.0","999,215.0","1,030,005.0","937,149.0","728,059.0","304,333.0","309,510.0","385,355.0","503,539.0","543,006.0"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
