"","Table 3#11#5# National Defense Consumption Expenditures and Gros","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"35","16","        Other durable goods","B389RC1","488.0","532.0","448.0","464.0","588.0","616.0","500.0","460.0","536.0","560.0","708.0","652.0","676.0","780.0","736.0","692.0","860.0","784.0","856.0","860.0","840.0","948.0","872.0","796.0","880.0","912.0","1,052.0","924.0","1,156.0","1,228.0","1,152.0","1,160.0","1,340.0","1,160.0","1,128.0","1,236.0","1,444.0","1,548.0","1,540.0","1,480.0","1,428.0","1,816.0","1,628.0","1,824.0","1,708.0","1,820.0","1,880.0","1,820.0","2,224.0","2,456.0","2,300.0","2,348.0","2,388.0","3,088.0","3,240.0","2,832.0","2,548.0","2,188.0","3,172.0","2,920.0","2,604.0","3,264.0","3,340.0","3,188.0","3,428.0","2,828.0","3,728.0","3,384.0","3,716.0","4,044.0","4,092.0","3,836.0","4,080.0","4,972.0","3,952.0","4,284.0","5,372.0","4,240.0","4,736.0","4,832.0","4,824.0","4,232.0","4,752.0","4,860.0","4,196.0","4,520.0","4,468.0","4,560.0","4,320.0","4,624.0","5,068.0","4,564.0","4,476.0","4,720.0","4,388.0","4,640.0","4,728.0","5,332.0","5,160.0","4,856.0","4,456.0","4,512.0","4,792.0","4,628.0","4,340.0","4,792.0","4,824.0","4,620.0","4,200.0","4,956.0","5,504.0","5,140.0","4,968.0","5,044.0","5,064.0","4,836.0","4,724.0","5,448.0","5,204.0","4,856.0","5,288.0","5,740.0","6,156.0","5,736.0","5,672.0","6,484.0","6,684.0","6,632.0","7,604.0","7,720.0","7,988.0","7,472.0","7,804.0","7,660.0","7,692.0","7,500.0","7,848.0","8,176.0","8,564.0","8,300.0","8,480.0","8,384.0","9,288.0","9,484.0","10,180.0","10,444.0","10,944.0","10,604.0","10,700.0","11,216.0","11,656.0","10,784.0","10,688.0","10,664.0","11,688.0","11,464.0","10,516.0","10,604.0","10,864.0","11,132.0","10,724.0","10,484.0","10,688.0","9,620.0","9,664.0","8,872.0","8,924.0","8,440.0","8,272.0","8,184.0","8,780.0","8,992.0"
"36","17","      Nondurable goods","A725RC1","4,992.0","5,036.0","4,496.0","4,280.0","4,404.0","4,492.0","3,848.0","4,312.0","4,596.0","5,368.0","5,196.0","5,656.0","5,572.0","5,452.0","4,212.0","5,100.0","4,596.0","4,340.0","4,612.0","4,092.0","4,308.0","4,016.0","4,972.0","4,748.0","4,476.0","4,716.0","5,452.0","4,780.0","5,068.0","5,680.0","6,688.0","7,520.0","9,416.0","9,600.0","10,388.0","10,468.0","10,848.0","12,220.0","11,828.0","12,356.0","11,392.0","11,528.0","11,392.0","11,560.0","10,432.0","12,236.0","11,864.0","10,724.0","9,508.0","10,636.0","10,612.0","10,960.0","10,836.0","9,596.0","9,900.0","9,452.0","11,004.0","10,828.0","9,252.0","9,636.0","8,764.0","9,660.0","10,808.0","11,744.0","10,604.0","11,100.0","10,012.0","10,604.0","11,064.0","11,236.0","11,000.0","10,080.0","10,044.0","10,172.0","9,420.0","14,560.0","13,184.0","9,856.0","9,892.0","9,776.0","8,688.0","10,220.0","10,036.0","8,752.0","8,456.0","8,748.0","8,800.0","7,856.0","7,128.0","7,084.0","7,588.0","8,452.0","6,332.0","6,584.0","6,480.0","5,904.0","7,204.0","7,868.0","7,964.0","7,548.0","8,188.0","7,156.0","7,492.0","7,488.0","6,968.0","6,648.0","7,396.0","6,936.0","6,492.0","7,612.0","9,752.0","8,744.0","11,120.0","10,616.0","9,760.0","10,196.0","9,896.0","10,748.0","10,056.0","10,348.0","10,108.0","11,588.0","11,280.0","12,968.0","14,696.0","14,028.0","11,408.0","13,548.0","15,948.0","16,676.0","19,332.0","16,472.0","18,036.0","20,984.0","22,784.0","21,908.0","21,708.0","21,836.0","23,760.0","21,996.0","23,024.0","22,996.0","23,868.0","25,436.0","29,412.0","32,492.0","33,272.0","26,772.0","21,712.0","23,508.0","26,696.0","25,880.0","26,524.0","27,364.0","26,024.0","27,352.0","31,308.0","33,204.0","34,012.0","33,812.0","33,496.0","31,832.0","31,352.0","30,972.0","29,536.0","26,844.0","27,604.0","25,476.0","25,752.0","25,568.0","28,548.0","24,636.0"
"37","18","        Petroleum products","B780RC1","1,992.0","2,012.0","1,884.0","1,496.0","1,688.0","1,668.0","1,708.0","1,848.0","2,076.0","2,800.0","2,920.0","3,340.0","3,148.0","2,980.0","2,272.0","3,176.0","2,856.0","2,500.0","2,668.0","2,100.0","2,116.0","1,888.0","2,920.0","2,608.0","2,376.0","2,372.0","2,700.0","2,616.0","2,668.0","3,012.0","3,860.0","4,764.0","6,612.0","6,532.0","7,080.0","7,136.0","7,012.0","7,844.0","7,852.0","8,004.0","7,048.0","6,728.0","6,852.0","6,444.0","5,764.0","7,092.0","6,940.0","5,760.0","5,884.0","5,884.0","6,560.0","5,400.0","5,888.0","5,796.0","6,076.0","5,320.0","5,380.0","3,568.0","2,728.0","2,840.0","3,200.0","3,184.0","4,228.0","4,936.0","3,532.0","3,312.0","3,416.0","3,864.0","3,848.0","4,184.0","4,012.0","4,576.0","4,368.0","4,096.0","4,120.0","8,728.0","6,588.0","3,948.0","4,464.0","3,636.0","3,316.0","3,552.0","4,012.0","3,080.0","3,244.0","3,372.0","3,048.0","3,052.0","2,692.0","3,240.0","3,220.0","3,004.0","2,840.0","2,692.0","2,984.0","2,544.0","3,388.0","3,332.0","3,732.0","3,152.0","3,324.0","2,972.0","2,688.0","2,732.0","2,328.0","2,132.0","1,968.0","1,820.0","1,724.0","2,432.0","3,532.0","2,648.0","4,132.0","3,600.0","4,080.0","4,396.0","4,404.0","4,184.0","4,224.0","4,000.0","3,608.0","4,496.0","4,300.0","5,932.0","7,640.0","5,596.0","3,140.0","4,860.0","6,444.0","6,664.0","9,016.0","6,016.0","7,000.0","10,404.0","11,728.0","11,376.0","10,540.0","11,156.0","12,924.0","11,004.0","11,140.0","11,648.0","11,720.0","14,276.0","16,928.0","20,116.0","20,284.0","13,152.0","8,584.0","8,980.0","11,600.0","12,672.0","13,052.0","13,980.0","13,372.0","14,240.0","17,800.0","19,540.0","19,840.0","19,448.0","20,208.0","18,440.0","17,428.0","17,008.0","16,648.0","13,804.0","13,792.0","12,076.0","12,732.0","12,924.0","14,148.0","12,048.0"
"38","19","        Ammunition","B781RC1","2,056.0","2,036.0","1,952.0","1,996.0","1,896.0","1,892.0","1,352.0","1,592.0","1,532.0","1,496.0","1,208.0","1,248.0","1,240.0","1,236.0","884.0","932.0","604.0","560.0","596.0","580.0","892.0","848.0","704.0","912.0","904.0","1,040.0","1,300.0","844.0","1,072.0","1,232.0","1,360.0","1,308.0","1,232.0","1,288.0","1,464.0","1,496.0","1,592.0","1,592.0","1,608.0","1,716.0","1,820.0","2,084.0","1,928.0","2,448.0","2,228.0","2,676.0","2,612.0","2,508.0","1,352.0","2,440.0","1,732.0","3,260.0","2,356.0","1,112.0","632.0","1,252.0","2,604.0","4,228.0","3,712.0","3,756.0","1,800.0","3,092.0","3,344.0","3,032.0","3,328.0","4,116.0","3,080.0","3,336.0","3,816.0","3,032.0","3,172.0","2,236.0","2,936.0","2,940.0","2,372.0","2,952.0","2,824.0","2,716.0","2,428.0","2,700.0","1,828.0","3,412.0","2,540.0","2,420.0","2,500.0","2,656.0","2,716.0","2,188.0","1,936.0","1,616.0","1,196.0","2,392.0","1,196.0","1,388.0","1,192.0","1,008.0","1,424.0","1,496.0","1,124.0","1,480.0","1,920.0","1,500.0","1,660.0","1,676.0","1,580.0","1,432.0","2,488.0","2,012.0","1,664.0","1,788.0","2,320.0","1,828.0","1,644.0","1,568.0","2,104.0","1,940.0","1,884.0","2,120.0","2,152.0","2,108.0","2,280.0","2,624.0","2,688.0","2,440.0","2,108.0","2,720.0","2,808.0","2,860.0","3,388.0","3,568.0","3,768.0","3,828.0","3,740.0","3,956.0","4,216.0","3,972.0","4,144.0","4,148.0","4,156.0","4,352.0","4,220.0","3,732.0","4,432.0","3,912.0","4,512.0","4,056.0","4,568.0","4,676.0","3,836.0","4,308.0","4,108.0","4,460.0","4,220.0","4,464.0","3,948.0","4,224.0","4,052.0","4,080.0","4,336.0","4,572.0","3,900.0","4,072.0","4,812.0","4,304.0","3,220.0","3,344.0","4,164.0","3,748.0","3,336.0","2,960.0","3,740.0","2,868.0"
"39","20","        Other nondurable goods","B783RC1","944.0","988.0","660.0","788.0","820.0","932.0","788.0","872.0","988.0","1,072.0","1,068.0","1,068.0","1,184.0","1,236.0","1,056.0","992.0","1,136.0","1,280.0","1,348.0","1,412.0","1,300.0","1,280.0","1,348.0","1,228.0","1,196.0","1,304.0","1,452.0","1,320.0","1,328.0","1,436.0","1,468.0","1,448.0","1,572.0","1,780.0","1,844.0","1,836.0","2,244.0","2,784.0","2,368.0","2,636.0","2,524.0","2,716.0","2,612.0","2,668.0","2,440.0","2,468.0","2,312.0","2,456.0","2,272.0","2,312.0","2,320.0","2,300.0","2,592.0","2,688.0","3,192.0","2,880.0","3,020.0","3,032.0","2,812.0","3,040.0","3,764.0","3,384.0","3,236.0","3,776.0","3,744.0","3,672.0","3,516.0","3,404.0","3,400.0","4,020.0","3,816.0","3,268.0","2,740.0","3,136.0","2,928.0","2,880.0","3,772.0","3,192.0","3,000.0","3,440.0","3,544.0","3,256.0","3,484.0","3,252.0","2,712.0","2,720.0","3,036.0","2,616.0","2,500.0","2,228.0","3,172.0","3,056.0","2,296.0","2,504.0","2,304.0","2,352.0","2,392.0","3,040.0","3,108.0","2,916.0","2,944.0","2,684.0","3,144.0","3,080.0","3,060.0","3,084.0","2,940.0","3,104.0","3,104.0","3,392.0","3,900.0","4,268.0","5,344.0","5,448.0","3,576.0","3,860.0","3,608.0","4,444.0","3,680.0","4,240.0","4,220.0","4,468.0","4,292.0","4,596.0","4,948.0","5,712.0","5,460.0","5,828.0","6,116.0","6,444.0","6,548.0","6,628.0","7,296.0","6,624.0","6,840.0","6,560.0","7,024.0","6,532.0","6,680.0","6,640.0","7,664.0","7,616.0","7,716.0","7,248.0","7,972.0","8,320.0","8,420.0","8,944.0","9,292.0","10,220.0","10,988.0","8,748.0","9,252.0","8,920.0","8,704.0","8,888.0","9,456.0","9,584.0","9,836.0","9,792.0","9,388.0","9,320.0","9,112.0","9,660.0","9,668.0","9,696.0","9,648.0","9,652.0","9,684.0","9,684.0","10,660.0","9,720.0"
"40","21","      Services","A489RC1","9,964.0","11,332.0","8,372.0","8,136.0","8,716.0","10,028.0","9,232.0","9,184.0","10,420.0","11,120.0","10,844.0","10,272.0","10,940.0","11,120.0","11,152.0","10,340.0","11,084.0","12,240.0","11,516.0","11,848.0","11,984.0","12,892.0","13,940.0","11,984.0","12,880.0","13,276.0","13,508.0","13,620.0","15,220.0","16,040.0","13,352.0","14,960.0","16,596.0","18,952.0","18,464.0","20,684.0","21,484.0","21,408.0","22,684.0","22,604.0","27,124.0","26,428.0","29,212.0","29,720.0","28,424.0","28,924.0","27,852.0","30,444.0","30,540.0","30,128.0","32,216.0","29,864.0","30,868.0","33,020.0","36,400.0","38,652.0","36,772.0","39,252.0","42,380.0","34,612.0","40,640.0","42,232.0","39,876.0","40,804.0","44,080.0","44,428.0","44,444.0","48,484.0","40,284.0","47,684.0","47,328.0","50,884.0","53,300.0","52,332.0","49,056.0","52,680.0","57,940.0","60,500.0","59,168.0","54,636.0","53,756.0","54,052.0","62,128.0","60,468.0","55,500.0","51,380.0","62,408.0","63,072.0","55,976.0","59,796.0","66,152.0","59,400.0","57,916.0","63,292.0","59,412.0","59,784.0","56,860.0","63,096.0","62,724.0","68,960.0","58,140.0","69,188.0","64,300.0","68,400.0","54,116.0","64,904.0","65,800.0","67,376.0","65,204.0","64,820.0","70,988.0","84,372.0","62,432.0","78,124.0","72,620.0","74,188.0","83,024.0","82,004.0","84,564.0","88,864.0","95,292.0","96,988.0","102,024.0","110,188.0","106,484.0","131,188.0","124,308.0","135,728.0","134,748.0","137,592.0","144,800.0","137,972.0","143,536.0","142,512.0","152,544.0","137,992.0","151,428.0","151,936.0","147,000.0","156,036.0","146,504.0","153,064.0","162,856.0","163,596.0","169,324.0","167,696.0","188,368.0","190,888.0","181,052.0","192,476.0","197,612.0","200,200.0","200,032.0","205,184.0","217,252.0","204,732.0","196,304.0","207,716.0","211,784.0","186,720.0","189,924.0","188,280.0","212,848.0","178,292.0","174,216.0","173,984.0","181,380.0","164,104.0","171,060.0","170,788.0","199,244.0","173,324.0"
"41","22","        Installation support","B911RC1","4,024.0","5,096.0","3,176.0","2,976.0","3,276.0","4,188.0","4,096.0","3,812.0","4,540.0","4,448.0","4,864.0","4,352.0","4,824.0","4,860.0","4,928.0","4,740.0","5,348.0","5,408.0","5,160.0","5,364.0","5,364.0","5,892.0","6,660.0","5,176.0","5,668.0","5,976.0","6,056.0","5,880.0","6,680.0","7,688.0","5,836.0","6,372.0","7,384.0","8,668.0","7,660.0","9,292.0","10,008.0","8,960.0","10,160.0","9,128.0","12,608.0","11,408.0","12,828.0","13,356.0","12,024.0","12,500.0","11,820.0","13,084.0","13,672.0","13,212.0","15,100.0","13,084.0","13,580.0","14,788.0","16,064.0","16,152.0","15,680.0","16,068.0","17,628.0","14,584.0","17,604.0","17,896.0","17,808.0","17,440.0","17,644.0","18,096.0","17,516.0","19,860.0","16,908.0","18,184.0","18,224.0","18,628.0","21,424.0","20,820.0","20,860.0","22,396.0","22,872.0","22,520.0","22,188.0","24,204.0","23,056.0","21,776.0","22,684.0","24,756.0","25,012.0","24,124.0","25,508.0","26,284.0","26,812.0","26,032.0","27,192.0","24,932.0","25,156.0","26,296.0","24,748.0","24,668.0","24,768.0","26,556.0","26,008.0","26,648.0","24,096.0","25,888.0","25,068.0","25,336.0","22,188.0","24,620.0","25,080.0","23,808.0","23,360.0","23,864.0","24,908.0","27,916.0","22,872.0","26,336.0","25,800.0","25,368.0","27,064.0","26,664.0","27,764.0","28,280.0","29,692.0","29,372.0","31,344.0","32,412.0","32,208.0","35,588.0","36,884.0","38,256.0","37,268.0","35,908.0","37,548.0","35,636.0","34,048.0","34,560.0","37,904.0","36,700.0","37,640.0","38,868.0","36,840.0","39,508.0","37,052.0","37,728.0","38,884.0","39,080.0","39,704.0","39,196.0","43,412.0","43,164.0","42,396.0","43,836.0","44,728.0","45,312.0","44,940.0","45,952.0","48,328.0","45,672.0","43,772.0","45,200.0","45,736.0","42,180.0","42,004.0","41,256.0","43,628.0","39,284.0","37,824.0","37,548.0","37,944.0","36,576.0","36,484.0","36,728.0","42,416.0","40,772.0"
"42","23","        Weapons support","B912RC1","1,816.0","1,732.0","1,584.0","1,220.0","1,796.0","1,740.0","1,208.0","1,428.0","1,952.0","2,076.0","1,676.0","1,528.0","1,724.0","1,844.0","1,624.0","1,476.0","1,756.0","1,984.0","1,964.0","1,740.0","1,992.0","1,980.0","1,968.0","1,708.0","1,876.0","1,944.0","2,132.0","2,272.0","2,848.0","2,704.0","2,292.0","3,072.0","3,584.0","3,888.0","3,952.0","4,304.0","4,000.0","4,756.0","4,676.0","5,636.0","6,164.0","6,368.0","6,032.0","6,828.0","7,000.0","6,588.0","6,568.0","7,644.0","7,040.0","7,012.0","7,396.0","7,272.0","7,156.0","7,584.0","8,824.0","10,052.0","8,768.0","10,076.0","10,484.0","8,352.0","9,204.0","9,464.0","8,980.0","9,252.0","10,244.0","10,032.0","9,904.0","10,864.0","8,040.0","10,676.0","10,812.0","12,384.0","12,388.0","12,032.0","10,656.0","11,356.0","10,356.0","10,448.0","9,408.0","9,792.0","9,460.0","8,072.0","9,944.0","10,140.0","8,648.0","7,656.0","8,824.0","10,032.0","7,952.0","8,884.0","10,556.0","10,176.0","9,316.0","10,276.0","9,220.0","9,128.0","7,360.0","8,352.0","8,476.0","11,876.0","8,396.0","11,156.0","10,248.0","12,000.0","7,576.0","10,528.0","10,200.0","11,700.0","9,484.0","9,588.0","11,120.0","15,140.0","7,896.0","13,208.0","12,220.0","13,300.0","15,428.0","14,964.0","14,144.0","14,840.0","16,160.0","15,780.0","18,740.0","22,148.0","18,472.0","23,216.0","23,972.0","24,536.0","22,928.0","21,984.0","25,600.0","23,552.0","24,908.0","24,856.0","29,484.0","25,256.0","26,088.0","28,456.0","24,916.0","30,480.0","26,668.0","28,288.0","30,052.0","29,420.0","29,840.0","27,484.0","33,880.0","32,488.0","29,464.0","32,068.0","33,916.0","35,024.0","33,636.0","36,200.0","40,632.0","36,756.0","32,868.0","36,508.0","38,028.0","32,604.0","33,832.0","33,420.0","37,252.0","29,984.0","27,624.0","27,120.0","27,520.0","25,956.0","26,176.0","26,408.0","32,248.0","29,464.0"
"43","24","        Personnel support","B913RC1","1,372.0","1,452.0","1,112.0","1,428.0","1,248.0","1,592.0","1,292.0","1,644.0","1,520.0","1,500.0","1,384.0","1,528.0","1,648.0","1,712.0","1,616.0","1,436.0","1,544.0","1,812.0","1,636.0","1,784.0","1,584.0","1,908.0","2,068.0","2,136.0","2,044.0","2,116.0","2,164.0","2,220.0","2,176.0","2,280.0","1,932.0","2,116.0","1,980.0","2,192.0","2,148.0","2,944.0","2,868.0","2,892.0","2,848.0","2,868.0","3,108.0","3,144.0","3,984.0","4,048.0","3,912.0","3,964.0","3,660.0","4,220.0","3,632.0","3,668.0","3,964.0","3,680.0","4,156.0","4,140.0","5,360.0","6,224.0","5,408.0","6,344.0","7,732.0","5,216.0","6,932.0","6,932.0","6,384.0","6,984.0","8,748.0","8,804.0","9,316.0","10,952.0","7,108.0","10,852.0","10,344.0","12,324.0","12,432.0","10,976.0","8,108.0","8,724.0","9,120.0","8,592.0","8,656.0","11,440.0","12,432.0","10,584.0","14,368.0","17,496.0","14,340.0","11,128.0","16,148.0","17,212.0","13,716.0","16,544.0","18,956.0","16,124.0","15,228.0","18,408.0","17,096.0","17,404.0","15,684.0","19,228.0","20,480.0","21,680.0","17,564.0","24,088.0","20,872.0","22,748.0","15,948.0","21,260.0","21,968.0","23,320.0","23,160.0","22,460.0","26,184.0","32,352.0","22,620.0","29,492.0","25,480.0","26,672.0","31,492.0","30,992.0","32,724.0","34,348.0","38,236.0","41,008.0","41,920.0","47,100.0","41,232.0","51,048.0","47,568.0","58,028.0","58,004.0","62,284.0","64,872.0","62,412.0","64,200.0","65,196.0","69,612.0","66,268.0","71,108.0","74,092.0","66,960.0","71,684.0","65,596.0","68,216.0","71,880.0","74,116.0","78,944.0","80,620.0","90,664.0","94,352.0","87,652.0","94,360.0","96,096.0","96,300.0","97,408.0","98,552.0","103,448.0","97,172.0","94,272.0","100,864.0","103,572.0","88,644.0","92,424.0","93,500.0","113,232.0","91,576.0","92,456.0","93,700.0","100,604.0","86,180.0","92,504.0","91,892.0","108,092.0","86,932.0"
"44","25","        Transportation of material","B786RC1","1,824.0","1,952.0","1,696.0","1,644.0","1,524.0","1,604.0","1,564.0","1,416.0","1,468.0","1,896.0","1,756.0","1,804.0","1,820.0","1,680.0","1,684.0","1,832.0","1,572.0","2,016.0","1,700.0","1,796.0","1,976.0","1,876.0","1,920.0","1,808.0","1,924.0","1,880.0","1,776.0","1,904.0","2,252.0","2,052.0","1,952.0","2,112.0","2,328.0","2,712.0","3,008.0","2,416.0","2,876.0","2,708.0","2,784.0","2,708.0","2,880.0","2,940.0","3,232.0","2,976.0","3,096.0","3,368.0","3,496.0","3,052.0","3,256.0","3,488.0","3,152.0","3,332.0","3,044.0","3,440.0","3,116.0","3,072.0","3,516.0","3,268.0","3,388.0","3,292.0","3,244.0","3,724.0","3,372.0","3,648.0","3,484.0","3,816.0","4,076.0","3,216.0","3,876.0","4,128.0","4,236.0","3,516.0","3,700.0","4,352.0","5,188.0","5,868.0","9,484.0","10,964.0","9,552.0","5,112.0","4,684.0","7,968.0","7,612.0","3,500.0","3,292.0","3,912.0","6,160.0","4,784.0","3,916.0","3,964.0","3,696.0","3,608.0","3,844.0","4,164.0","4,308.0","4,472.0","4,992.0","4,884.0","4,260.0","4,440.0","3,940.0","3,900.0","3,940.0","4,152.0","4,208.0","4,244.0","4,240.0","4,124.0","4,644.0","4,328.0","4,176.0","4,328.0","4,376.0","4,396.0","4,404.0","4,164.0","4,292.0","4,532.0","4,864.0","5,820.0","5,872.0","5,600.0","5,016.0","3,836.0","9,104.0","14,572.0","9,196.0","8,448.0","9,460.0","9,720.0","9,040.0","8,352.0","9,996.0","9,444.0","7,500.0","3,880.0","8,272.0","5,092.0","9,888.0","7,336.0","9,400.0","10,800.0","13,144.0","13,188.0","12,736.0","11,976.0","11,720.0","11,896.0","12,376.0","12,876.0","13,372.0","13,916.0","14,224.0","14,596.0","14,940.0","15,256.0","15,596.0","15,444.0","14,828.0","13,720.0","12,172.0","10,852.0","9,900.0","9,220.0","8,868.0","8,668.0","8,620.0","8,668.0","8,884.0","8,684.0","9,060.0","8,756.0"
"45","26","        Travel of persons","B785RC1","928.0","1,100.0","804.0","868.0","872.0","904.0","1,072.0","884.0","940.0","1,200.0","1,164.0","1,060.0","924.0","1,024.0","1,300.0","856.0","864.0","1,020.0","1,056.0","1,164.0","1,068.0","1,236.0","1,324.0","1,156.0","1,368.0","1,360.0","1,380.0","1,344.0","1,264.0","1,316.0","1,340.0","1,288.0","1,320.0","1,492.0","1,696.0","1,728.0","1,732.0","2,092.0","2,216.0","2,264.0","2,364.0","2,568.0","3,136.0","2,512.0","2,392.0","2,504.0","2,308.0","2,444.0","2,940.0","2,748.0","2,604.0","2,496.0","2,932.0","3,068.0","3,036.0","3,152.0","3,400.0","3,496.0","3,148.0","3,168.0","3,656.0","4,216.0","3,332.0","3,480.0","3,960.0","3,680.0","3,632.0","3,592.0","4,352.0","3,844.0","3,712.0","4,032.0","3,356.0","4,152.0","4,244.0","4,336.0","6,108.0","7,976.0","9,364.0","4,088.0","4,124.0","5,652.0","7,520.0","4,576.0","4,208.0","4,560.0","5,768.0","4,760.0","3,580.0","4,372.0","5,752.0","4,560.0","4,372.0","4,148.0","4,040.0","4,112.0","4,056.0","4,076.0","3,500.0","4,316.0","4,144.0","4,156.0","4,172.0","4,164.0","4,196.0","4,252.0","4,312.0","4,424.0","4,556.0","4,580.0","4,600.0","4,636.0","4,668.0","4,692.0","4,716.0","4,684.0","4,748.0","4,852.0","5,068.0","5,576.0","5,332.0","5,228.0","5,004.0","4,692.0","5,468.0","6,764.0","6,688.0","6,460.0","7,088.0","7,696.0","7,740.0","8,020.0","10,384.0","8,456.0","8,044.0","5,888.0","8,320.0","5,428.0","8,396.0","7,028.0","7,788.0","8,032.0","8,896.0","7,792.0","8,100.0","8,420.0","8,692.0","8,988.0","9,164.0","9,336.0","9,500.0","9,648.0","9,824.0","9,884.0","9,904.0","9,876.0","9,796.0","9,700.0","9,620.0","9,572.0","9,492.0","9,252.0","8,836.0","8,228.0","7,444.0","6,948.0","6,692.0","6,724.0","7,012.0","7,076.0","7,428.0","7,400.0"
"46","27","  Less: Own-account investment \4\","W088RC1","2,576.0","2,640.0","2,696.0","2,776.0","2,772.0","2,804.0","2,836.0","2,884.0","2,864.0","2,904.0","2,932.0","2,952.0","3,000.0","3,000.0","3,032.0","3,088.0","3,120.0","3,120.0","3,136.0","3,184.0","3,196.0","3,228.0","3,228.0","3,280.0","3,340.0","3,420.0","3,488.0","3,556.0","3,660.0","3,736.0","3,812.0","3,872.0","3,952.0","4,048.0","4,180.0","4,308.0","4,424.0","4,544.0","4,708.0","4,848.0","5,028.0","5,248.0","5,496.0","5,732.0","5,964.0","6,232.0","6,480.0","6,696.0","6,940.0","7,208.0","7,480.0","7,700.0","7,944.0","8,200.0","8,512.0","8,728.0","8,944.0","9,084.0","9,196.0","9,240.0","9,236.0","9,296.0","9,376.0","9,460.0","9,584.0","9,700.0","9,796.0","9,872.0","9,996.0","10,200.0","10,380.0","10,604.0","10,700.0","10,524.0","10,632.0","10,564.0","10,468.0","10,464.0","10,424.0","10,324.0","10,416.0","10,300.0","10,276.0","10,076.0","10,184.0","10,212.0","10,220.0","10,060.0","9,936.0","9,924.0","10,032.0","9,976.0","10,140.0","10,048.0","10,072.0","9,884.0","9,840.0","9,792.0","9,844.0","9,768.0","9,956.0","9,860.0","9,680.0","9,560.0","9,732.0","9,896.0","9,736.0","9,400.0","9,124.0","9,900.0","9,924.0","9,940.0","9,892.0","10,188.0","10,544.0","10,952.0","11,648.0","11,908.0","12,292.0","12,852.0","13,368.0","13,652.0","13,904.0","14,200.0","14,388.0","14,576.0","14,584.0","14,716.0","14,492.0","14,656.0","14,824.0","15,072.0","15,248.0","15,556.0","15,856.0","16,128.0","16,308.0","16,652.0","17,060.0","17,552.0","18,052.0","18,456.0","18,768.0","18,956.0","19,196.0","19,292.0","19,328.0","19,340.0","19,328.0","19,376.0","19,488.0","19,640.0","19,760.0","19,684.0","19,928.0","20,260.0","21,004.0","21,748.0","22,440.0","23,136.0","23,840.0","24,292.0","24,436.0","24,280.0","23,816.0","23,344.0","22,864.0","22,388.0","21,924.0","21,636.0","21,532.0","21,608.0"
