"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"32","13","Consumption of fixed capital","A262RC1","120,457.0","123,462.0","126,288.0","129,245.0","132,182.0","135,213.0","138,293.0","141,443.0","144,569.0","147,528.0","150,313.0","153,052.0","156,127.0","159,022.0","162,388.0","166,049.0","170,242.0","175,077.0","180,430.0","186,569.0","193,626.0","201,606.0","210,347.0","219,090.0","227,680.0","234,963.0","241,095.0","246,409.0","250,771.0","255,805.0","261,719.0","268,544.0","276,176.0","284,101.0","292,186.0","300,871.0","309,925.0","319,686.0","329,983.0","340,659.0","352,194.0","364,476.0","377,338.0","390,519.0","404,216.0","418,468.0","433,185.0","448,164.0","463,319.0","478,260.0","492,396.0","506,207.0","519,551.0","531,067.0","539,993.0","546,652.0","551,308.0","556,606.0","563,380.0","570,889.0","580,015.0","589,250.0","598,973.0","609,098.0","620,076.0","630,888.0","642,135.0","653,514.0","664,953.0","676,598.0","687,818.0","699,283.0","709,816.0","721,229.0","733,697.0","747,066.0","761,583.0","775,627.0","789,362.0","802,976.0","816,406.0","829,732.0","842,790.0","855,513.0","868,244.0","880,751.0","893,272.0","905,048.0","917,236.0","927,766.0","936,599.0","942,900.0","947,429.0","954,581.0","963,015.0","973,874.0","985,783.0","997,741.0","1,009,297.0","1,021,572.0","1,033,169.0","1,046,766.0","1,062,432.0","1,079,923.0","1,099,521.0","1,116,078.0","1,131,259.0","1,144,277.0","1,156,013.0","1,168,345.0","1,182,337.0","1,197,384.0","1,214,240.0","1,231,658.0","1,248,466.0","1,265,454.0","1,281,947.0","1,300,142.0","1,319,343.0","1,339,652.0","1,360,197.0","1,385,083.0","1,412,774.0","1,445,391.0","1,481,171.0","1,508,918.0","1,528,140.0","1,538,730.0","1,570,810.0","1,598,725.0","1,615,953.0","1,630,427.0","1,640,168.0","1,652,512.0","1,669,276.0","1,686,319.0","1,701,964.0","1,716,489.0","1,735,005.0","1,755,423.0","1,783,255.0","1,813,170.0","1,846,081.0","1,884,290.0","1,922,025.0","1,959,330.0","2,000,928.0","2,045,542.0","2,082,213.0","2,119,070.0","2,152,752.0","2,190,041.0","2,227,439.0","2,253,666.0","2,276,470.0","2,299,826.0","2,327,744.0","2,353,002.0","2,379,699.0","2,393,049.0","2,385,637.0","2,366,950.0","2,355,166.0","2,365,772.0","2,369,828.0","2,374,946.0","2,382,463.0","2,399,128.0","2,419,384.0","2,442,911.0","2,462,550.0","2,477,727.0","2,499,722.0","2,521,737.0","2,540,924.0","2,558,357.0","2,585,447.0","2,612,745.0","2,640,248.0","2,670,519.0","2,698,714.0","2,722,258.0","2,750,425.0","2,772,994.0"
"33","14","  Private","A024RC1","86,068.0","88,342.0","90,571.0","92,752.0","94,886.0","97,089.0","99,359.0","101,698.0","104,104.0","106,479.0","108,822.0","111,134.0","113,413.0","115,956.0","118,762.0","121,831.0","125,163.0","129,026.0","133,421.0","138,345.0","143,802.0","149,727.0","156,119.0","162,981.0","170,311.0","176,634.0","181,954.0","186,264.0","189,571.0","193,669.0","198,561.0","204,248.0","210,725.0","217,475.0","224,498.0","231,796.0","239,367.0","247,494.0","256,178.0","265,420.0","275,217.0","285,342.0","295,793.0","306,569.0","317,671.0","329,034.0","340,657.0","352,540.0","364,687.0","376,442.0","387,809.0","398,782.0","409,367.0","418,010.0","424,713.0","429,477.0","432,297.0","436,021.0","440,648.0","446,178.0","452,610.0","459,546.0","466,985.0","474,929.0","483,374.0","491,968.0","500,708.0","509,594.0","518,628.0","527,419.0","535,968.0","544,275.0","552,340.0","561,152.0","570,713.0","581,022.0","592,078.0","602,991.0","613,757.0","624,378.0","634,857.0","645,138.0","655,224.0","665,113.0","674,807.0","684,356.0","693,755.0","703,014.0","712,126.0","719,862.0","726,222.0","731,206.0","734,814.0","739,994.0","746,749.0","755,076.0","764,977.0","774,933.0","784,945.0","795,012.0","805,134.0","816,859.0","830,189.0","845,119.0","861,653.0","876,638.0","890,074.0","901,959.0","912,296.0","923,925.0","936,850.0","951,069.0","966,582.0","982,183.0","997,872.0","1,013,648.0","1,029,513.0","1,046,030.0","1,063,199.0","1,081,022.0","1,099,496.0","1,121,452.0","1,146,893.0","1,175,815.0","1,208,221.0","1,232,522.0","1,248,726.0","1,256,827.0","1,287,026.0","1,313,170.0","1,328,947.0","1,341,636.0","1,349,342.0","1,359,619.0","1,374,083.0","1,389,015.0","1,401,610.0","1,413,241.0","1,428,595.0","1,446,031.0","1,470,097.0","1,494,449.0","1,520,659.0","1,551,989.0","1,584,936.0","1,616,004.0","1,650,795.0","1,689,457.0","1,721,352.0","1,751,082.0","1,778,972.0","1,808,631.0","1,837,506.0","1,857,451.0","1,873,967.0","1,890,972.0","1,911,700.0","1,930,318.0","1,949,602.0","1,955,869.0","1,944,437.0","1,924,830.0","1,912,631.0","1,920,712.0","1,919,662.0","1,918,944.0","1,921,933.0","1,933,593.0","1,947,803.0","1,965,511.0","1,979,807.0","1,991,136.0","2,008,207.0","2,026,618.0","2,042,915.0","2,059,160.0","2,083,910.0","2,108,204.0","2,132,485.0","2,158,708.0","2,183,546.0","2,203,806.0","2,228,621.0","2,248,547.0"
"34","15","    Domestic business","W276RC1","71,384.0","73,254.0","75,133.0","77,022.0","78,920.0","80,828.0","82,744.0","84,668.0","86,601.0","88,498.0","90,360.0","92,185.0","93,975.0","95,961.0","98,144.0","100,523.0","103,099.0","106,156.0","109,697.0","113,720.0","118,226.0","123,183.0","128,592.0","134,452.0","140,763.0","146,146.0","150,600.0","154,126.0","156,723.0","159,950.0","163,808.0","168,295.0","173,412.0","178,698.0","184,151.0","189,771.0","195,560.0","201,861.0","208,676.0","216,004.0","223,845.0","231,989.0","240,437.0","249,189.0","258,244.0","267,681.0","277,501.0","287,702.0","298,285.0","308,590.0","318,616.0","328,364.0","337,833.0","345,495.0","351,351.0","355,400.0","357,643.0","360,592.0","364,248.0","368,610.0","373,678.0","379,295.0","385,459.0","392,172.0","399,433.0","406,667.0","413,873.0","421,052.0","428,203.0","435,037.0","441,554.0","447,754.0","453,637.0","460,330.0","467,832.0","476,145.0","485,268.0","494,177.0","502,871.0","511,351.0","519,617.0","527,814.0","535,945.0","544,008.0","552,004.0","559,943.0","567,827.0","575,655.0","583,426.0","589,869.0","594,981.0","598,764.0","601,217.0","604,868.0","609,716.0","615,763.0","623,006.0","630,397.0","637,934.0","645,618.0","653,449.0","662,818.0","673,726.0","686,171.0","700,155.0","712,790.0","724,077.0","734,015.0","742,605.0","752,342.0","763,224.0","775,253.0","788,428.0","801,501.0","814,474.0","827,345.0","840,115.0","853,341.0","867,022.0","881,159.0","895,751.0","913,278.0","933,741.0","957,138.0","983,470.0","1,003,219.0","1,016,386.0","1,022,969.0","1,045,827.0","1,065,066.0","1,074,878.0","1,084,293.0","1,089,762.0","1,095,737.0","1,105,837.0","1,114,249.0","1,119,279.0","1,126,208.0","1,135,656.0","1,145,197.0","1,160,612.0","1,176,048.0","1,192,526.0","1,214,509.0","1,238,733.0","1,260,674.0","1,282,706.0","1,310,739.0","1,334,139.0","1,357,125.0","1,379,645.0","1,404,319.0","1,427,684.0","1,444,877.0","1,458,552.0","1,473,819.0","1,494,389.0","1,513,610.0","1,535,597.0","1,545,632.0","1,537,769.0","1,521,810.0","1,512,168.0","1,517,793.0","1,517,386.0","1,519,431.0","1,522,673.0","1,532,702.0","1,548,846.0","1,567,506.0","1,582,213.0","1,592,755.0","1,608,924.0","1,624,661.0","1,636,737.0","1,648,478.0","1,667,335.0","1,685,321.0","1,701,938.0","1,720,302.0","1,735,867.0","1,753,515.0","1,771,948.0","1,786,973.0"
"35","16","    Households and institutions","W279RC1","14,683.0","15,089.0","15,438.0","15,730.0","15,966.0","16,261.0","16,616.0","17,030.0","17,503.0","17,981.0","18,463.0","18,949.0","19,439.0","19,995.0","20,618.0","21,308.0","22,065.0","22,870.0","23,724.0","24,626.0","25,577.0","26,544.0","27,529.0","28,530.0","29,549.0","30,489.0","31,353.0","32,138.0","32,847.0","33,720.0","34,754.0","35,951.0","37,312.0","38,778.0","40,349.0","42,025.0","43,807.0","45,632.0","47,502.0","49,415.0","51,374.0","53,354.0","55,356.0","57,380.0","59,426.0","61,352.0","63,156.0","64,839.0","66,402.0","67,852.0","69,192.0","70,419.0","71,534.0","72,516.0","73,362.0","74,076.0","74,654.0","75,429.0","76,401.0","77,567.0","78,932.0","80,251.0","81,526.0","82,755.0","83,942.0","85,301.0","86,835.0","88,543.0","90,424.0","92,382.0","94,413.0","96,521.0","98,703.0","100,823.0","102,881.0","104,877.0","106,810.0","108,813.0","110,886.0","113,028.0","115,240.0","117,324.0","119,279.0","121,105.0","122,803.0","124,412.0","125,930.0","127,360.0","128,699.0","129,994.0","131,241.0","132,442.0","133,597.0","135,127.0","137,033.0","139,315.0","141,971.0","144,537.0","147,010.0","149,394.0","151,685.0","154,041.0","156,462.0","158,948.0","161,499.0","163,848.0","165,997.0","167,944.0","169,690.0","171,584.0","173,626.0","175,816.0","178,154.0","180,682.0","183,397.0","186,303.0","189,398.0","192,689.0","196,178.0","199,863.0","203,744.0","208,174.0","213,152.0","218,676.0","224,749.0","229,304.0","232,340.0","233,858.0","241,199.0","248,105.0","254,069.0","257,343.0","259,580.0","263,883.0","268,246.0","274,767.0","282,332.0","287,032.0","292,938.0","300,835.0","309,485.0","318,402.0","328,133.0","337,479.0","346,202.0","355,331.0","368,090.0","378,717.0","387,213.0","393,957.0","399,326.0","404,311.0","409,821.0","412,575.0","415,415.0","417,152.0","417,311.0","416,707.0","414,004.0","410,237.0","406,669.0","403,022.0","400,463.0","402,919.0","402,277.0","399,512.0","399,260.0","400,891.0","398,957.0","398,005.0","397,594.0","398,381.0","399,283.0","401,956.0","406,179.0","410,682.0","416,573.0","422,882.0","430,547.0","438,406.0","447,679.0","450,291.0","456,673.0","461,573.0"
"36","17","  Government","A264RC1","34,389.0","35,120.0","35,717.0","36,493.0","37,296.0","38,124.0","38,934.0","39,745.0","40,465.0","41,049.0","41,491.0","41,918.0","42,714.0","43,066.0","43,626.0","44,218.0","45,079.0","46,051.0","47,009.0","48,224.0","49,824.0","51,879.0","54,228.0","56,109.0","57,369.0","58,329.0","59,141.0","60,145.0","61,200.0","62,136.0","63,158.0","64,296.0","65,451.0","66,626.0","67,688.0","69,075.0","70,558.0","72,192.0","73,805.0","75,239.0","76,977.0","79,134.0","81,545.0","83,950.0","86,545.0","89,434.0","92,528.0","95,624.0","98,632.0","101,818.0","104,587.0","107,425.0","110,184.0","113,057.0","115,280.0","117,175.0","119,011.0","120,585.0","122,732.0","124,711.0","127,405.0","129,704.0","131,988.0","134,169.0","136,702.0","138,920.0","141,427.0","143,920.0","146,325.0","149,179.0","151,850.0","155,008.0","157,476.0","160,077.0","162,984.0","166,044.0","169,505.0","172,636.0","175,605.0","178,598.0","181,549.0","184,594.0","187,566.0","190,400.0","193,437.0","196,395.0","199,517.0","202,034.0","205,110.0","207,904.0","210,377.0","211,694.0","212,615.0","214,587.0","216,266.0","218,798.0","220,806.0","222,808.0","224,352.0","226,560.0","228,035.0","229,907.0","232,243.0","234,804.0","237,868.0","239,440.0","241,185.0","242,318.0","243,717.0","244,420.0","245,487.0","246,315.0","247,658.0","249,475.0","250,594.0","251,806.0","252,434.0","254,112.0","256,144.0","258,630.0","260,701.0","263,631.0","265,881.0","269,576.0","272,950.0","276,396.0","279,414.0","281,903.0","283,784.0","285,555.0","287,006.0","288,791.0","290,826.0","292,893.0","295,193.0","297,304.0","300,354.0","303,248.0","306,410.0","309,392.0","313,158.0","318,721.0","325,422.0","332,301.0","337,089.0","343,326.0","350,133.0","356,085.0","360,861.0","367,988.0","373,780.0","381,410.0","389,933.0","396,215.0","402,503.0","408,854.0","416,044.0","422,684.0","430,097.0","437,180.0","441,200.0","442,120.0","442,535.0","445,060.0","450,166.0","456,002.0","460,530.0","465,535.0","471,581.0","477,400.0","482,743.0","486,591.0","491,515.0","495,119.0","498,009.0","499,197.0","501,537.0","504,541.0","507,763.0","511,811.0","515,168.0","518,452.0","521,804.0","524,447.0"
"37","18","    Federal","A918RC1","25,172.0","25,572.0","25,960.0","26,400.0","26,896.0","27,360.0","27,828.0","28,228.0","28,648.0","28,936.0","29,144.0","29,264.0","29,792.0","29,924.0","30,184.0","30,420.0","30,892.0","31,440.0","31,976.0","32,632.0","33,308.0","34,120.0","35,176.0","36,104.0","36,796.0","37,492.0","38,076.0","38,776.0","39,524.0","40,144.0","40,988.0","41,860.0","42,572.0","43,376.0","43,996.0","44,968.0","46,000.0","47,020.0","48,000.0","48,812.0","49,796.0","51,020.0","52,424.0","53,780.0","55,260.0","56,968.0","58,748.0","60,592.0","62,368.0","64,436.0","66,216.0","68,088.0","70,024.0","72,020.0","73,552.0","75,076.0","76,608.0","77,976.0","79,796.0","81,468.0","83,760.0","85,552.0","87,304.0","88,996.0","90,812.0","92,408.0","94,236.0","95,940.0","97,560.0","99,412.0","101,120.0","103,164.0","104,768.0","106,416.0","108,364.0","110,620.0","113,096.0","115,356.0","117,352.0","119,408.0","121,388.0","123,292.0","125,132.0","126,832.0","128,664.0","130,324.0","132,044.0","133,560.0","135,664.0","137,392.0","138,968.0","139,592.0","139,920.0","140,864.0","141,700.0","143,220.0","143,996.0","144,856.0","145,556.0","146,728.0","146,924.0","147,704.0","148,656.0","149,952.0","151,484.0","151,724.0","152,276.0","152,184.0","152,544.0","152,448.0","152,412.0","152,204.0","152,508.0","153,136.0","153,344.0","153,124.0","152,720.0","153,296.0","153,688.0","154,604.0","155,244.0","156,324.0","157,004.0","158,624.0","160,008.0","161,040.0","162,096.0","162,808.0","162,932.0","163,276.0","163,368.0","163,608.0","164,072.0","164,488.0","165,352.0","166,212.0","167,656.0","169,364.0","171,272.0","172,968.0","175,040.0","177,380.0","179,660.0","182,408.0","185,172.0","187,928.0","190,624.0","193,724.0","196,612.0","199,368.0","202,000.0","204,840.0","208,224.0","211,264.0","214,436.0","217,280.0","221,152.0","224,780.0","228,448.0","231,008.0","232,732.0","233,992.0","234,832.0","236,612.0","240,152.0","244,072.0","246,936.0","250,140.0","253,856.0","256,728.0","258,944.0","260,108.0","262,644.0","263,840.0","264,928.0","265,060.0","265,916.0","267,220.0","268,508.0","270,416.0","272,064.0","273,748.0","275,260.0","276,720.0"
"38","19","    State and local","A919RC1","9,217.0","9,548.0","9,757.0","10,093.0","10,400.0","10,764.0","11,106.0","11,517.0","11,817.0","12,113.0","12,347.0","12,654.0","12,922.0","13,142.0","13,442.0","13,798.0","14,187.0","14,611.0","15,033.0","15,592.0","16,516.0","17,759.0","19,052.0","20,005.0","20,573.0","20,837.0","21,065.0","21,369.0","21,676.0","21,992.0","22,170.0","22,436.0","22,879.0","23,250.0","23,692.0","24,107.0","24,558.0","25,172.0","25,805.0","26,427.0","27,181.0","28,114.0","29,121.0","30,170.0","31,285.0","32,466.0","33,780.0","35,032.0","36,264.0","37,382.0","38,371.0","39,337.0","40,160.0","41,037.0","41,728.0","42,099.0","42,403.0","42,609.0","42,936.0","43,243.0","43,645.0","44,152.0","44,684.0","45,173.0","45,890.0","46,512.0","47,191.0","47,980.0","48,765.0","49,767.0","50,730.0","51,844.0","52,708.0","53,661.0","54,620.0","55,424.0","56,409.0","57,280.0","58,253.0","59,190.0","60,161.0","61,302.0","62,434.0","63,568.0","64,773.0","66,071.0","67,473.0","68,474.0","69,446.0","70,512.0","71,409.0","72,102.0","72,695.0","73,723.0","74,566.0","75,578.0","76,810.0","77,952.0","78,796.0","79,832.0","81,111.0","82,203.0","83,587.0","84,852.0","86,384.0","87,716.0","88,909.0","90,134.0","91,173.0","91,972.0","93,075.0","94,111.0","95,150.0","96,339.0","97,250.0","98,682.0","99,714.0","100,816.0","102,456.0","104,026.0","105,457.0","107,307.0","108,877.0","110,952.0","112,942.0","115,356.0","117,318.0","119,095.0","120,852.0","122,279.0","123,638.0","125,183.0","126,754.0","128,405.0","129,841.0","131,092.0","132,698.0","133,884.0","135,138.0","136,424.0","138,118.0","141,341.0","145,762.0","149,893.0","151,917.0","155,398.0","159,509.0","162,361.0","164,249.0","168,620.0","171,780.0","176,570.0","181,709.0","184,951.0","188,067.0","191,574.0","194,892.0","197,904.0","201,649.0","206,172.0","208,468.0","208,128.0","207,703.0","208,448.0","210,014.0","211,930.0","213,594.0","215,395.0","217,725.0","220,672.0","223,799.0","226,483.0","228,871.0","231,279.0","233,081.0","234,137.0","235,621.0","237,321.0","239,255.0","241,395.0","243,104.0","244,704.0","246,544.0","247,727.0"
"39","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","235,510.0","233,079.0","238,928.0","231,313.0","230,901.0","235,525.0","237,632.0","230,225.0","251,882.0","255,732.0","260,891.0","254,070.0","267,959.0","283,017.0","288,629.0","299,562.0","322,699.0","339,201.0","341,367.0","362,446.0","355,849.0","356,162.0","349,444.0","365,181.0","345,258.0","343,955.0","369,026.0","387,719.0","410,730.0","420,302.0","419,402.0","429,407.0","443,755.0","475,103.0","499,914.0","496,653.0","503,390.0","562,724.0","590,699.0","628,440.0","633,820.0","653,588.0","673,416.0","673,520.0","679,675.0","663,875.0","657,587.0","697,113.0","767,480.0","755,379.0","805,096.0","799,845.0","739,163.0","767,616.0","736,415.0","695,548.0","722,172.0","753,433.0","779,020.0","839,884.0","896,143.0","920,729.0","942,483.0","933,404.0","928,309.0","934,355.0","927,614.0","950,602.0","963,717.0","948,042.0","931,931.0","934,532.0","967,696.0","973,909.0","981,430.0","1,047,861.0","1,035,232.0","1,083,081.0","1,094,266.0","1,105,957.0","1,162,103.0","1,174,934.0","1,189,860.0","1,184,226.0","1,207,435.0","1,230,328.0","1,208,992.0","1,188,927.0","1,261,924.0","1,236,461.0","1,230,008.0","1,256,886.0","1,235,293.0","1,271,407.0","1,265,778.0","1,281,749.0","1,315,821.0","1,314,129.0","1,310,835.0","1,339,936.0","1,393,281.0","1,447,162.0","1,433,136.0","1,470,238.0","1,514,397.0","1,495,319.0","1,510,903.0","1,559,821.0","1,567,933.0","1,628,054.0","1,663,551.0","1,692,071.0","1,721,180.0","1,818,794.0","1,834,617.0","1,808,808.0","1,872,850.0","1,836,442.0","1,867,767.0","1,911,820.0","1,965,960.0","1,935,939.0","1,955,223.0","2,005,427.0","1,954,876.0","2,071,127.0","2,024,079.0","2,029,029.0","1,950,218.0","2,008,265.0","1,931,687.0","1,923,002.0","1,937,910.0","1,913,686.0","1,922,921.0","1,896,130.0","1,882,774.0","1,915,542.0","2,005,613.0","2,102,685.0","2,092,589.0","2,129,643.0","2,170,258.0","2,162,307.0","2,276,117.0","2,273,064.0","2,310,691.0","2,331,684.0","2,440,920.0","2,436,491.0","2,382,157.0","2,456,327.0","2,411,600.0","2,504,685.0","2,570,012.0","2,587,017.0","2,417,094.0","2,412,415.0","2,375,534.0","2,288,239.0","2,228,170.0","2,126,300.0","2,067,953.0","2,169,025.0","2,186,613.0","2,296,098.0","2,348,315.0","2,387,921.0","2,272,739.0","2,348,342.0","2,406,683.0","2,561,245.0","2,545,008.0","2,614,503.0","2,653,571.0","2,652,422.0","2,679,684.0","2,732,774.0","2,887,154.0","2,988,979.0","2,823,399.0","2,994,647.0","3,054,880.0","....."
"40","21","Gross domestic investment","W170RC1","233,905.0","232,434.0","237,476.0","228,599.0","227,110.0","230,299.0","234,141.0","227,840.0","247,542.0","255,661.0","261,236.0","256,891.0","272,990.0","287,770.0","292,228.0","302,344.0","320,494.0","333,793.0","328,892.0","347,089.0","339,331.0","353,499.0","349,135.0","360,789.0","327,369.0","322,501.0","350,637.0","366,096.0","397,578.0","411,308.0","416,996.0","425,581.0","451,777.0","483,945.0","507,771.0","515,588.0","528,400.0","575,579.0","602,085.0","629,702.0","635,630.0","656,288.0","670,983.0","676,107.0","690,342.0","654,029.0","629,429.0","690,406.0","765,810.0","755,208.0","798,023.0","795,254.0","738,511.0","750,178.0","750,452.0","712,799.0","730,068.0","781,070.0","826,929.0","896,652.0","974,680.0","1,008,652.0","1,032,919.0","1,036,824.0","1,017,722.0","1,045,717.0","1,048,889.0","1,085,769.0","1,092,039.0","1,089,902.0","1,082,149.0","1,084,827.0","1,118,628.0","1,128,292.0","1,135,479.0","1,204,870.0","1,162,104.0","1,193,035.0","1,200,720.0","1,225,572.0","1,268,803.0","1,268,507.0","1,271,513.0","1,271,706.0","1,297,469.0","1,303,190.0","1,291,369.0","1,243,240.0","1,215,353.0","1,221,689.0","1,243,034.0","1,273,679.0","1,257,085.0","1,310,794.0","1,318,481.0","1,350,159.0","1,372,341.0","1,387,795.0","1,387,382.0","1,447,328.0","1,485,347.0","1,555,434.0","1,553,948.0","1,607,887.0","1,632,786.0","1,613,906.0","1,609,906.0","1,644,051.0","1,669,965.0","1,736,471.0","1,796,139.0","1,805,461.0","1,852,313.0","1,919,877.0","1,956,623.0","1,971,755.0","2,036,891.0","2,031,677.0","2,091,549.0","2,146,796.0","2,206,935.0","2,210,021.0","2,261,474.0","2,332,203.0","2,333,625.0","2,457,716.0","2,447,384.0","2,457,311.0","2,369,215.0","2,388,702.0","2,344,044.0","2,267,124.0","2,344,413.0","2,365,043.0","2,375,826.0","2,388,986.0","2,415,538.0","2,431,592.0","2,520,509.0","2,605,186.0","2,630,420.0","2,747,080.0","2,805,694.0","2,877,358.0","2,973,343.0","2,979,132.0","3,046,617.0","3,163,906.0","3,233,905.0","3,250,678.0","3,240,164.0","3,207,235.0","3,209,784.0","3,262,619.0","3,255,468.0","3,215,926.0","3,138,377.0","3,126,016.0","3,081,628.0","2,891,740.0","2,614,895.0","2,477,790.0","2,437,795.0","2,570,103.0","2,624,944.0","2,748,037.0","2,825,075.0","2,812,487.0","2,761,135.0","2,851,774.0","2,865,676.0","3,032,465.0","3,068,668.0","3,117,008.0","3,120,576.0","3,088,092.0","3,135,686.0","3,191,997.0","3,307,630.0","3,341,911.0","3,288,992.0","3,434,681.0","3,498,098.0","3,554,344.0"
"41","22","  Gross private domestic investment","A006RC1","172,388.0","172,720.0","177,566.0","171,577.0","168,113.0","171,453.0","173,902.0","166,752.0","189,496.0","197,330.0","202,055.0","198,414.0","212,966.0","226,799.0","233,090.0","239,713.0","254,314.0","268,198.0","264,337.0","280,857.0","268,363.0","277,393.0","271,012.0","281,337.0","244,307.0","243,281.0","265,191.0","276,235.0","304,640.0","322,304.0","328,309.0","337,649.0","360,312.0","389,703.0","414,134.0","422,301.0","434,794.0","470,583.0","492,365.0","515,758.0","525,811.0","539,294.0","545,625.0","547,879.0","554,562.0","519,290.0","495,073.0","551,474.0","619,383.0","609,839.0","652,296.0","643,395.0","588,317.0","593,622.0","592,959.0","549,246.0","565,519.0","613,777.0","652,267.0","718,497.0","790,872.0","818,897.0","838,850.0","831,742.0","809,868.0","827,040.0","822,153.0","859,549.0","863,454.0","855,234.0","835,830.0","842,063.0","871,198.0","874,587.0","876,468.0","946,454.0","908,571.0","934,526.0","942,003.0","962,751.0","1,005,364.0","1,000,990.0","996,504.0","995,948.0","1,010,840.0","1,014,752.0","1,000,658.0","947,550.0","924,608.0","926,552.0","947,472.0","978,757.0","956,774.0","1,013,062.0","1,024,205.0","1,058,008.0","1,083,901.0","1,094,466.0","1,095,941.0","1,152,995.0","1,202,059.0","1,265,089.0","1,251,594.0","1,307,188.0","1,327,265.0","1,303,825.0","1,303,220.0","1,335,619.0","1,355,230.0","1,418,560.0","1,474,446.0","1,479,995.0","1,521,951.0","1,589,852.0","1,625,338.0","1,645,296.0","1,712,314.0","1,694,789.0","1,739,786.0","1,794,417.0","1,850,634.0","1,845,773.0","1,890,917.0","1,949,443.0","1,945,917.0","2,071,760.0","2,055,769.0","2,061,573.0","1,967,535.0","1,966,993.0","1,937,338.0","1,842,681.0","1,910,026.0","1,925,596.0","1,927,858.0","1,936,499.0","1,960,189.0","1,970,549.0","2,048,269.0","2,132,792.0","2,155,154.0","2,259,525.0","2,311,281.0","2,380,750.0","2,475,169.0","2,469,547.0","2,527,238.0","2,636,478.0","2,699,654.0","2,696,951.0","2,684,405.0","2,641,582.0","2,634,210.0","2,671,911.0","2,658,237.0","2,610,614.0","2,527,014.0","2,493,261.0","2,435,872.0","2,243,111.0","1,972,146.0","1,825,890.0","1,786,398.0","1,928,031.0","1,989,539.0","2,092,716.0","2,164,566.0","2,156,457.0","2,123,458.0","2,212,675.0","2,228,221.0","2,395,169.0","2,445,402.0","2,489,301.0","2,500,449.0","2,481,494.0","2,543,323.0","2,594,577.0","2,708,886.0","2,745,165.0","2,714,401.0","2,843,632.0","2,905,060.0","2,952,098.0"
