"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","      Garments","DGARRA3",9.431,8.543,8.378,7.221,6.501,6.79,7.492,8.129,7.91,8.054,8.869,9.161,9.589,9.5,10.287,9.926,10.17,10.845,10.555,10.774,10.783,10.953,11.076,11.864,12.018,12.129,12.673,13.078,13.01,13.026,13.802,13.97,14.277,14.966,15.316,16.56,17.311,18.508,18.672,19.373,19.718,19.681,20.562,22.041,23.666,23.351,24.128,25.241,26.616,29.422,31.214,32.303,34.44,35.315,37.826,41.217,43.02,46.227,47.868,49.404,51.972,51.451,51.766,54.825,57.25,60.383,62.958,65.913,68.098,72.138,76.62,80.339,81.212,83.97,88.922,93.61,100,105.112,109.977,109.857
"17","10","        Women's and girls' clothing","DWGCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.405,12.619,12.955,13.699,14.091,15.257,15.859,16.896,16.757,17.376,17.633,17.625,18.528,19.532,20.872,20.612,21.377,22.342,23.463,26.157,27.95,29.264,31.724,32.931,35.79,39.492,41.575,45.432,46.703,47.873,50.572,49.617,49.938,53.23,55.3,57.571,60.052,62.968,64.464,69.119,74.838,79.628,80.789,83.942,88.648,93.293,100,104.645,109.215,110.047
"18","11","        Men's and boys' clothing","DMBCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.878,16.912,17.11,17.656,17.833,19.299,20.251,21.77,22.511,23.33,23.598,23.239,24.281,26.543,28.505,28.075,29.093,30.351,32.243,34.971,36.452,36.982,38.353,38.313,40.325,43.162,44.589,46.933,49.14,51.217,53.691,54.188,54.625,57.59,60.602,65.28,68.11,71.493,74.767,77.551,80.118,82.147,82.133,84.025,89.475,94.087,100,105.893,111.091,109.202
"19","12","        Children's and infants' clothing","DCICRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.316,6.692,7.258,7.776,8.78,8.796,10.506,11.34,12.305,13.322,16.594,19.714,17.618,21.16,25.274,25.082,23.499,25.724,26.768,31.408,35.293,37.047,39.921,42.859,44.057,47.089,47.785,48.59,50.846,53.164,54.594,52.39,51.76,52.447,55.031,57.834,59.633,59.987,62.514,68.324,72.243,75.816,79.616,83.908,88.193,93.9,100,104.99,110.94,112.233
"20","13","      Other clothing materials","DOCMRA3",15.625,14.383,14.117,12.321,10.918,10.947,12.356,13.188,12.775,13.369,14.974,16.459,28.474,49.767,70.731,69.917,70.992,37.29,29.608,28.546,29.692,31.932,36.3,33.168,30.303,27.462,27.579,28.74,28.774,29.059,30.354,29.601,30.255,32.247,31.945,29.965,31.816,35.609,33.352,33.861,31.749,30.625,35.498,40.038,42.828,43.465,39.541,45.817,46.654,49.121,47.817,48.969,47.629,49.379,50.993,53.554,53.829,57.454,63.352,62.858,63.939,59.746,60.113,61.096,61.83,60.229,54.214,55.389,56.453,62.2,69.462,75.439,79.015,86.589,93.482,95.07,100,106.005,114.07,114.956
"21","14","      Cleaning, repair, and rental of clothing","DCRCRA3",89.218,82.318,70.388,56.071,51.058,55.842,61.277,69.474,74.081,72.106,72.984,79.058,90.022,96.357,113.301,116.598,126.481,148.485,149.856,149.703,145.186,143.915,141.647,145.48,147.66,149.058,149.581,149.417,147.191,142.983,145.997,143.207,141.712,142.507,143.558,149.642,153.698,154.374,152.818,154.017,152.629,145.722,135.485,135.746,128.181,115.944,109.258,105.365,105.004,101.733,94.461,87.046,79.792,73.97,76.732,80.098,81.199,83.328,87.337,96.668,101.642,103.555,96.075,97.696,96.242,97.309,101.478,102.224,110.513,114.299,117.201,118.354,113.592,109.632,103.37,100.707,100,101.648,102.351,98.114
"22","15","        Laundry and dry cleaning services","DDRYRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.771,143.555,139.737,138.258,137.21,147.103,159.464,168.441,171.877,172.126,168.538,159.953,146.893,146.951,124.723,110.292,100.312,95.386,95.39,96.212,90.354,84.303,75.53,65.519,68.206,69.131,66.355,65.907,69.97,74.927,76.025,70.329,72.266,88.412,88.002,90.717,94.258,96.221,104.777,108.874,111.95,113.363,109.234,105.196,97.78,98.868,100,103.954,104.492,100.303
"23","16","        Clothing repair, rental, and alterations","DLGRRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142.647,143.896,145.19,148.759,152.405,153.767,147.443,137.757,129.992,132.371,133.689,128.811,121.975,122.48,132.212,122.545,119.807,117.175,116.377,108.234,99.286,90.255,84.809,83.962,86.811,93.073,98.777,103.963,107.906,122.426,132.001,142.945,124.284,108.642,105.949,105.058,109.97,109.27,117.234,120.648,123.339,124.181,118.675,114.809,109.911,102.838,100,99.022,99.911,95.624
"24","17","    Footwear \2\","DFTWRA3",18.675,16.289,16.481,16.482,14.858,16.522,16.321,17.987,19.152,18.97,18.764,19.163,20.713,21.89,20.86,20.248,22.175,24.813,22.772,22.11,22.554,23.755,21.249,21.329,21.623,21.258,22.829,22.726,22.327,23.427,23.871,23.956,24.079,24.726,24.564,26.289,26.852,28.059,28.294,29.847,30.945,29.397,29.783,31.688,33.585,31.744,31.775,32.601,34.237,37.903,39.941,40.375,42.835,41.59,44.048,46.276,48.707,52.408,54.334,55.473,58.921,59.936,58.279,59.796,61.92,66.157,69.244,73.198,75.508,80.411,86.69,90.436,90.281,90.968,94.194,97.269,100,104.581,107.356,106.108
"25","18","  Housing, utilities, and fuels","DHUFRA3",7.563,7.525,7.411,7.266,7.177,7.545,7.661,7.883,8.018,8.074,8.349,8.686,9.134,9.588,9.916,10.252,10.574,11.509,12.444,13.162,13.725,14.788,15.811,16.721,17.535,18.449,19.477,20.471,21.432,22.496,23.609,24.722,25.767,27.173,28.444,29.823,31.396,32.801,34.201,35.727,37.509,38.778,40.338,42.564,44.615,46.123,47.516,49.052,50.264,52.51,54.028,54.98,55.401,55.609,56.841,58.788,60.98,62.346,64.157,66.324,67.951,69.024,70.553,71.976,73.882,76.63,78.69,80.336,82.054,84.512,87.199,89.688,92.051,92.744,93.856,95.822,100,102.013,102.967,103.625
"26","19","    Housing","DHSGRA3",6.548,6.47,6.407,6.295,6.178,6.511,6.564,6.666,6.774,6.881,7.042,7.253,7.666,8.057,8.36,8.68,8.865,9.627,10.401,11.023,11.745,12.57,13.497,14.378,15.154,15.894,16.696,17.524,18.416,19.309,20.351,21.41,22.457,23.708,24.774,25.955,27.361,28.599,29.869,31.365,33.069,34.287,35.89,37.77,39.647,41.766,42.96,44.176,45.265,47.526,49.457,51.091,52.386,52.697,53.765,55.989,58.177,59.732,61.464,63.359,65.007,66.64,68.15,69.943,71.458,74.371,76.556,78.044,80.22,82.822,85.687,88.356,91.334,91.757,92.787,95.127,100,102.873,103.661,105.14
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRA3",12.635,12.729,12.919,12.969,12.294,13.686,13.878,14.24,14.678,15.116,15.603,16.162,16.936,17.485,17.485,17.374,16.778,17.562,18.302,19.127,20.219,21.196,22.35,23.31,24.211,24.808,25.305,25.883,26.964,28.052,29.334,30.628,32.221,33.998,35.691,37.561,39.627,41.401,43.135,45.769,48.106,49.854,52.149,54.64,57.28,58.715,59.897,61.311,62.414,63.51,64.184,65.227,67.811,69.37,71.063,74.414,79.892,82.831,84.264,85.388,86.028,88.644,89.436,90.535,90.995,93.038,95.789,95.872,97.225,98.901,100.567,101.231,102.993,102.177,98.595,98.72,100,103.391,109.166,111.587
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRA3",4.101,3.987,3.869,3.73,3.768,3.814,3.826,3.853,3.871,3.894,3.965,4.072,4.373,4.715,5.075,5.493,5.865,6.601,7.351,7.934,8.567,9.35,10.217,11.081,11.826,12.602,13.484,14.371,15.212,16.07,17.086,18.117,19.046,20.202,21.14,22.158,23.417,24.537,25.683,26.914,28.475,29.593,31.079,32.865,34.61,36.933,38.145,39.347,40.48,43.115,45.432,47.271,48.29,48.308,49.266,51.25,52.658,53.901,55.739,57.859,59.78,61.182,62.895,64.91,66.722,69.91,71.992,73.848,76.237,79.076,82.256,85.271,88.623,89.377,91.552,94.283,100,102.799,102.335,103.61
"29","22","      Rental value of farm dwellings","DFARRA3",47.979,47.791,47.581,47.256,46.961,46.646,46.622,46.652,46.813,46.779,46.946,47.373,47.924,48.169,48.229,48.192,48.045,49.178,50.032,51.173,52.179,52.986,53.692,54.181,54.63,54.968,55.068,55.315,55.5,55.621,55.911,56.048,56.427,56.693,56.976,57.342,57.565,57.929,58.358,58.727,59.023,59.158,59.297,59.547,59.581,60.308,60.635,60.924,61.573,62.06,61.991,62.214,62.058,61.704,61.41,61.17,60.915,60.776,60.897,60.633,60.782,61.047,61.067,60.981,60.764,61.039,61.107,61.411,63.256,65.236,67.088,78.406,77.88,77.661,79.388,91.235,100,99.909,99.685,99.419
"30","23","      Group housing","DGRHRA3",101.816,98.196,93.066,84.026,82.438,94.406,101.816,110.651,115.901,115.124,118.505,125.957,134.34,131.455,150.543,163.126,178.961,193.414,241.048,217.555,206.073,207.174,214.951,221.909,228.917,235.875,244.343,256.593,272.309,266.896,240.384,224.53,217.688,198.921,184.438,195.877,209.527,215.566,252.853,265.595,294.158,293.633,281.515,272.044,271.399,288.022,302.103,292.663,251.604,211.89,191.1,165.785,147.847,141.305,115.594,117.399,106.319,93.916,89.857,97.549,105.505,113.924,119.197,104.497,108.924,107.448,112.16,120.443,118.247,124.15,124.892,124.051,118.906,108.004,107.702,103.687,100,100.388,104.002,105.2
"31","24","    Household utilities and fuels","DUTFRA3",13.004,13.277,12.822,12.476,12.584,13.129,13.6,14.504,14.79,14.522,15.484,16.576,17.183,17.971,18.419,18.814,19.947,21.844,23.666,24.906,24.468,26.88,28.377,29.347,30.278,32.194,34.555,36.481,37.723,39.744,41.107,42.37,43.186,45.365,47.785,50.242,52.629,54.89,56.88,58.257,60.164,61.491,62.371,66.522,69.329,66.869,69.272,72.424,74.229,76.332,75.782,73.646,70.36,70.152,72.11,73.014,75.315,75.877,78.096,81.624,83.164,81.43,83.065,82.636,86.518,88.449,89.871,92.338,91.673,93.358,95.039,96.519,95.601,97.765,99.32,99.3,100,97.952,99.673,96.658
"32","25","      Water supply and sanitation","DWRSRA3",11.045,11.74,11.74,11.377,12.061,13.305,13.099,13.723,13.929,13.762,14.596,14.917,15.462,15.94,16.229,16.503,16.65,17.748,18.339,18.967,19.698,20.193,20.91,21.302,21.808,22.13,22.186,23.057,22.849,21.965,23.903,26.242,27.486,29.28,32.037,33.441,34.888,35.258,35.482,36.773,39.32,41.769,42.494,46.181,48.489,50.675,51.26,50.702,50.806,51.403,54.817,57.318,57.004,56.624,58.711,62.688,67.116,71.281,74.337,76.197,79.039,79.349,78.203,76.733,80.41,84.038,87.185,90.021,92.006,93.483,96.456,97.428,98.337,99.32,100.533,99.654,100,103.157,103.982,103.822
"33","26","      Electricity, gas, and other fuels","DEGFRA3",13.667,13.895,13.365,13.01,13.045,13.517,14.092,15.063,15.369,15.078,16.088,17.321,17.955,18.809,19.293,19.716,21.013,23.076,25.116,26.473,25.878,28.61,30.256,31.335,32.353,34.559,37.343,39.486,41.003,43.587,44.854,45.917,46.655,48.926,51.289,53.977,56.573,59.253,61.64,63.032,64.773,65.807,66.716,70.929,73.829,70.291,73.082,77.021,79.189,81.616,80.227,77.206,73.372,73.192,75.146,75.503,77.425,77.267,79.315,83.244,84.478,82.231,84.591,84.446,88.392,89.823,90.715,93.068,91.573,93.325,94.565,96.218,94.724,97.267,98.934,99.189,100,96.419,98.401,94.569
"34","27","        Electricity","DELCRA3",1.922,2.127,2.258,2.287,2.254,2.412,2.583,2.78,2.996,3.217,3.428,3.714,3.963,4.203,4.325,4.666,4.978,5.764,6.471,7.26,8.104,9.209,10.22,11.216,12.245,13.349,14.345,15.561,16.685,17.62,18.712,19.796,20.759,22.126,23.273,24.701,26.027,27.744,29.441,31.42,33.326,35.343,36.664,38.842,41.223,42.23,45.055,47.168,51.473,53.961,54.965,57.4,57.023,57.433,61.003,61.503,63.597,64.226,67.215,70.063,71.055,71.561,73.626,72.353,76.485,78.078,79.136,80.431,80.192,85.904,86.74,89.719,88.047,92.126,93.717,95.59,100,97.716,99.178,98.455
"35","28","        Natural gas","DGHERA3",11.716,12.081,11.952,11.517,10.637,10.638,10.831,11.13,11.383,11.257,11.59,12.356,12.423,13.467,14.021,14.431,15.259,16.348,18.774,20.933,22.432,25.587,28.976,31.573,34.093,38.545,43.37,48.275,51.336,57.284,62.371,65.429,68.936,74.019,77.243,80.553,83.678,86.902,91.031,93.845,98.405,99.751,100.598,104.769,101.709,100.708,103.618,105.012,101.479,104.862,103.227,102.78,98.847,100.921,97.84,98.042,99.293,93.834,94.514,101.243,105.012,96.903,100.448,103.124,106.106,105.247,104.442,112.665,109.662,98.722,99.727,102.944,101.751,99.461,102.768,101.413,100,94.861,98.438,93.652
"36","29","        Fuel oil and other fuels","DFULRA3",215.619,210.672,191.189,182.983,192.478,198.911,206.361,223.195,220.959,205.032,222.129,239.137,246.492,253.339,258.083,255.479,272.856,293.475,309.104,310.604,274.005,294.441,293.786,285.512,275.934,281.312,298.964,299.566,297.031,308.333,294.541,283.741,267.055,267.105,279.85,293.443,307.808,316.523,317.124,299.656,284.105,264.827,256.569,282.755,306.41,240.295,238.605,266.582,257.235,253.75,229.356,175.621,146.523,136.912,139.63,139.215,141.619,151.172,145.69,151.596,146.422,132.333,133.739,137.902,141.384,148.365,152.77,147.819,137.042,135.181,141.946,124.651,123.886,128.1,124.57,116.951,100,92.878,93.906,76.221
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRA3",9.452,8.249,7.916,6.707,6.39,7.003,7.677,9.074,9.475,8.766,9.757,10.529,11.558,10.407,8.929,8.33,8.579,11.773,13.041,13.604,13.711,15.54,15.011,14.857,15.266,15.158,17.004,17.812,17.685,17.646,18.374,18.444,18.803,19.818,20.786,22.668,23.969,25.713,26.297,27.426,27.778,27.598,28.067,30.216,32.896,32.12,30.073,31.471,33.529,35.394,36.926,36.132,35.814,34.682,36.881,40.292,41.926,44.693,45.988,47.596,49.645,49.617,48.491,50.379,53.032,56.359,58.948,61.232,64.208,68.418,73.752,78.419,80.369,83.987,88.938,95.198,100,104.637,107.549,105.37
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRA3",8.053,6.606,6.504,5.245,4.463,4.718,5.694,7.226,7.059,6.539,7.537,8.058,9.048,7.988,7.124,6.383,6.495,9.139,9.735,10.353,10.31,11.499,10.961,11.266,11.753,11.788,13.518,14.077,13.777,13.763,14.244,14.119,14.124,15.074,16.374,18.415,19.56,20.703,20.82,21.957,22.131,21.737,22.538,25.22,27.773,27.732,26.288,27.955,30.787,32.277,33.665,31.595,30.597,28.708,31.675,35.171,36.699,39.922,42.525,43.836,46.33,45.107,43.757,44.417,46.417,49.077,51.083,53.503,56.772,61.087,67.454,74.255,76.972,81.872,86.382,93.63,100,105.352,108.157,104.593
"39","32","    Household textiles","DTEXRA3",7.123,6.26,6.483,5.911,5.678,5.795,6.12,7.654,7.985,7.849,9.696,10.298,10.918,10.225,10.433,10.189,9.9,12.316,10.448,11.245,12.84,14.443,14.276,14.368,14.185,13.606,14.614,14.99,14.99,14.571,15.33,15.117,15.468,16.673,17.09,18.839,20.135,21.842,22.372,23.048,22.152,21.426,21.025,21.684,23.531,21.782,21.2,22.096,22.686,23.761,24.556,24.558,25.188,24.358,26.534,29.435,31.563,35.483,37.269,37.955,38.33,38.138,38.324,40.709,43.411,47.372,50.925,55.379,59.171,62.572,67.069,70.763,72.895,76.948,84.65,92.714,100,109.797,118.032,120.325
"40","33","    Household appliances \6\","DHAPRA3",2.853,2.621,2.396,1.706,2.107,2.625,3.147,3.689,4.097,3.466,3.811,4.476,5.567,3.464,1.27,0.819,1.429,6.111,9.606,9.939,9.267,11.793,10.881,10.765,11.348,11.688,13.309,14.784,14.948,14.736,15.869,15.732,16.056,16.559,17.557,19.12,19.732,21.895,22.789,24.778,26.267,26.982,28.513,31.728,34.854,34.679,32.05,33.086,35.367,36.121,37.68,36.761,35.853,32.741,35.056,38.084,41.797,44.624,45.271,47.079,49.372,49.196,48.998,51.375,53.365,54.773,57.701,58.773,59.189,64.242,71.521,76.996,80.395,84.668,89.407,97.442,100,102.173,100.859,98.255
"41","34","    Glassware, tableware, and household utensils \7\","DUTERA3",10.367,7.554,8.051,8.139,7.459,7.476,6.915,8.247,9.17,8.416,8.479,9.101,10.862,10.192,8.457,7.884,9.409,14.812,15.408,16.303,15.239,15.864,15.433,14.71,14.842,14.736,15.398,14.709,13.478,12.889,13.239,12.834,12.816,13.235,13.109,14.393,16.059,18.145,18.972,19.44,19.604,19.308,19.67,20.589,22.495,22.017,20.686,22.092,23.841,25.992,26.762,26.815,27.297,28.405,29.062,30.595,31.145,31.897,31.095,33.202,35.185,36.196,35.719,37.881,40.169,42.682,45.407,47.934,50.017,53.981,62.103,69.48,75.169,84.004,90.644,95.08,100,109.278,114.391,110.983
