"","Table 6#3D# Wage and Salary Accruals by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4170C0",191996,211204,239182,245782,243763,249087,266131,292132,322421,349301,369674
"76","69","    Management of companies and enterprises \6\","N4171C0",104642,112226,120624,119725,120467,128884,137554,153355,163438,180254,182874
"77","70","    Administrative and waste management services","N4172C0",155591,170307,189369,192948,196010,205090,213061,233224,248545,265732,266070
"78","71","      Administrative and support services","N4173C0",144142,158034,176906,179919,182442,191044,198066,217277,231766,248088,247719
"79","72","      Waste management and remediation services","N4174C0",11449,12273,12463,13029,13568,14046,14995,15947,16780,17644,18351
"80","73","    Educational services","N4175C0",54621,58713,63720,69002,75373,79917,84982,88615,94697,101735,109122
"81","74","    Health care and social assistance","N4176C0",368624,384863,410403,438219,469515,500584,530226,560624,598768,637278,677296
"82","75","      Ambulatory health care services","N4177C0",166525,171812,183582,195108,208221,220989,234029,249912,266819,284311,301405
"83","76","      Hospitals","N4178C0",124546,129566,136240,147599,158995,171502,182971,193394,206779,219761,235076
"84","77","      Nursing and residential care facilities","N4179C0",48104,50653,54566,58335,62150,65016,67925,70002,73945,78223,82315
"85","78","      Social assistance","N4180C0",29449,32831,36015,37176,40150,43077,45302,47316,51225,54984,58500
"86","79","    Arts, entertainment, and recreation","N4181C0",39660,43475,47994,50673,52632,54870,57473,59465,65628,67882,71206
"87","80","      Performing arts, spectator sports, museums, and related activities","N4182C0",18770,20898,23149,24497,25633,27015,28211,28882,32010,34258,36374
"88","81","      Amusements, gambling, and recreation industries","N4183C0",20890,22577,24844,26177,26998,27855,29261,30583,33618,33624,34832
"89","82","    Accommodation and food services","N4184C0",132466,141963,151805,157161,161943,167947,178356,188069,199679,214435,218878
"90","83","      Accommodation","N4185C0",36776,39893,43197,43355,43043,44368,47225,49891,51773,56112,56429
"91","84","      Food services and drinking places","N4186C0",95690,102070,108607,113805,118900,123579,131131,138179,147906,158323,162449
"92","85","    Other services, except government","N4187C0",130841,136970,146803,150528,160139,166826,174533,178362,187389,198055,206430
"93","86","  Government","A553RC0",701238,733689,779711,821884,873113,913325,952808,991489,1035151,1089101,1141270
"94","87","    Federal","A4177C0",178872,183516,194988,199584,217404,234888,250068,263412,271740,283164,294612
"95","88","      General government","A4178C0",141924,145800,154248,159516,176892,195024,207900,221148,228384,239448,251640
"96","89","        Civilian","B4179C0",87876,90276,96288,97152,106068,115248,123252,130296,134052,140988,147624
"97","90","        Military \7\","B4180C0",54048,55524,57960,62364,70824,79776,84648,90852,94332,98460,104016
"98","91","      Government enterprises","B4181C0",36948,37716,40740,40068,40512,39864,42168,42264,43356,43716,42972
"99","92","    State and local","A4182C0",522366,550173,584723,622300,655709,678437,702740,728077,763411,805937,846658
"100","93","      General government","A4183C0",487288,513335,545557,580161,610811,631365,653275,677338,710556,749921,787468
"101","94","        Education","B4184C0",257912,272332,290446,307894,323814,335508,346461,359663,378386,399024,418204
"102","95","        Other \8\","B4185C0",229376,241003,255111,272267,286997,295857,306814,317675,332170,350897,369264
"103","96","      Government enterprises \8\","B4186C0",35078,36838,39166,42139,44898,47072,49465,50739,52855,56016,59190
"104","97","Rest of the world","A4187C0",-4563,-5213,-4690,-5215,-5574,-5704,-6148,-6407,-6613,-7100,-7325
"105","98","  Receipts from the rest of the world","B4188C0",2437,2748,2835,2879,2811,2813,2822,2890,2883,2970,3045
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,7961,7525,8094,8385,8517,8970,9297,9496,10070,10370
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
