"","Table 6#17D# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"75","68","    Waste management and remediation services","N3072C0",1911,1576,1401,1638,2280,3226,2974,4444,1093,NA,NA
"76","69","  Educational services","N3073C0",1878,1634,1932,1956,2507,3050,4256,5215,5270,5257,5442
"77","70","  Health care and social assistance","N3074C0",16650,21685,26027,32759,37796,41191,44188,54189,57985,60138,56055
"78","71","    Ambulatory health care services","N3075C0",11341,14583,17253,23277,25386,29360,31032,37205,39881,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3076C0",4167,5343,5522,5279,7621,6760,7904,10048,10653,NA,NA
"80","73","    Social assistance","N3077C0",1142,1759,3251,4202,4788,5071,5252,6937,7451,NA,NA
"81","74","  Arts, entertainment, and recreation","N3078C0",2565,2952,2365,3113,3786,3514,5046,6606,6968,5986,5381
"82","75","    Performing arts, spectator sports, museums, and related activities","N3079C0",1301,1498,1143,1664,2011,2368,3079,3738,4519,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3080C0",1264,1454,1223,1449,1775,1146,1966,2868,2449,NA,NA
"84","77","  Accommodation and food services","N3081C0",9427,12369,14593,11829,13768,12367,16433,22337,24426,22406,17455
"85","78","    Accommodation","N3082C0",2190,3601,4188,1579,2696,1477,3971,5941,6551,NA,NA
"86","79","    Food services and drinking places","N3083C0",7237,8768,10405,10251,11072,10890,12462,16396,17875,NA,NA
"87","80","  Other services, except government","N3084C0",6985,7795,8518,8815,7990,7936,8274,11743,13279,13847,10469
"88","81","Rest of the world \6\","B394RC0",102762,121516,145624,169701,157887,165751,205027,239442,256841,347752,377200
"89","82","  Receipts from the rest of the world","B3075C0",146786,176806,202481,182580,204404,249166,328173,384055,434447,504548,544243
"90","83","  Less: Payments to the rest of the world","B3076C0",44024,55290,56857,12879,46517,83415,123146,144614,177606,156796,167043
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","foreign affiliates, and earnings of unincorporated foreign affiliates (line 82), net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","corresponding payments (line 83).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
