"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRA3",7.596,6.256,6.153,5.004,4.277,4.507,5.375,6.849,6.715,6.231,7.225,7.73,8.636,7.622,6.837,6.12,6.173,8.674,9.054,9.683,9.804,10.971,10.495,10.724,11.089,11.047,12.642,13.141,12.867,12.811,13.728,13.512,13.516,14.45,15.644,17.613,18.741,19.908,20.078,21.124,21.203,20.793,21.514,23.794,26.329,26.165,24.928,26.625,29.26,30.742,32.002,30.078,29.15,27.403,30.58,34.247,36.073,39.7,42.347,43.353,45.205,43.615,42.038,42.618,44.784,47.554,49.68,52.298,55.623,60.012,66.458,73.109,76.211,81.333,85.915,93.365,100,105.406,108.134,104.624
"17","10","      Household appliances (part of 33)","DAPPRA3",2.602,2.381,2.167,1.523,1.917,2.411,2.908,3.419,3.805,3.189,3.516,4.154,5.194,3.15,1.022,0.564,1.127,5.601,8.946,9.258,8.62,11.027,10.138,10.019,10.561,10.885,12.427,13.83,13.972,13.755,14.69,14.458,14.735,15.221,16.189,17.686,18.211,20.2,20.913,23.025,24.64,25.633,27.494,30.977,34.035,33.814,31.174,32.117,34.274,34.863,35.981,34.961,33.951,31.286,33.641,36.735,40.514,43.638,44.408,46.173,48.543,48.456,48.15,50.603,52.357,52.99,54.959,55.518,55.23,60.381,68.172,74.23,78.398,83.369,88.37,97.107,100,101.812,100.162,97.503
"18","11","      Glassware, tableware, and household utensils (34)","DUTERA3",10.367,7.554,8.051,8.139,7.459,7.476,6.915,8.247,9.17,8.416,8.479,9.101,10.862,10.192,8.457,7.884,9.409,14.812,15.408,16.303,15.239,15.864,15.433,14.71,14.842,14.736,15.398,14.709,13.478,12.889,13.239,12.834,12.816,13.235,13.109,14.393,16.059,18.145,18.972,19.44,19.604,19.308,19.67,20.589,22.495,22.017,20.686,22.092,23.841,25.992,26.762,26.815,27.297,28.405,29.062,30.595,31.145,31.897,31.095,33.202,35.185,36.196,35.719,37.881,40.169,42.682,45.407,47.934,50.017,53.981,62.103,69.48,75.169,84.004,90.644,95.08,100,109.278,114.391,110.983
"19","12","      Tools and equipment for house and garden (35)","DTOORA3",2.829,2.524,2.126,1.738,1.649,1.794,1.875,2.297,2.475,2.278,2.568,2.827,3.236,3.243,3.178,3.274,3.582,4.871,5.089,5.525,5.67,6.369,6.502,5.812,5.298,4.602,4.882,5.001,4.993,4.963,5.279,5.542,5.652,6.163,6.524,7.235,8.322,9.767,10.47,11.063,11.289,11.639,12.53,13.829,16.214,17.322,17.859,19.832,22.494,25.103,27.45,27.802,28.224,27.611,29.076,31.626,31.643,33.996,35.877,38.459,42.262,43.961,44.262,47.959,51.612,55.342,57.554,59.204,61.971,67.648,73.371,76.529,79.321,82.423,89.141,95.843,100,103.819,104.019,103.586
"20","13","    Recreational goods and vehicles","DREQRA3",0.252,0.266,0.219,0.161,0.142,0.16,0.18,0.228,0.26,0.24,0.28,0.311,0.368,0.331,0.274,0.259,0.296,0.596,0.604,0.596,0.6,0.768,0.751,0.818,0.901,0.969,1.093,1.152,1.125,1.12,1.248,1.239,1.288,1.374,1.5,1.76,2.052,2.526,2.777,3.076,3.281,3.51,3.63,4.211,4.653,4.673,5.006,5.447,5.812,6.201,6.525,6.27,6.439,6.471,7.49,8.788,9.767,11.304,12.661,13.863,14.461,14.811,15.308,16.274,18.778,21.797,24.923,28.78,33.256,39.949,48.473,56.916,62.571,70.173,78.114,88.819,100,113.145,126.07,132.849
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRA3",0.05,0.058,0.044,0.033,0.027,0.03,0.033,0.044,0.05,0.046,0.058,0.067,0.081,0.069,0.046,0.035,0.04,0.116,0.119,0.116,0.123,0.174,0.164,0.187,0.212,0.235,0.262,0.271,0.255,0.25,0.282,0.278,0.294,0.319,0.357,0.417,0.508,0.645,0.732,0.797,0.836,0.885,0.922,1.054,1.199,1.262,1.359,1.484,1.568,1.69,1.837,1.9,1.998,2.098,2.718,3.224,3.824,4.756,5.439,6.204,6.561,6.907,7.513,8.287,9.951,12.078,14.535,17.955,22.124,28.828,37.254,45.724,52.879,62.632,71.51,84.487,100,119.087,138.34,154.196
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",0.642,0.519,0.513,0.416,0.369,0.426,0.48,0.587,0.667,0.657,0.726,0.77,0.932,0.839,0.808,0.82,0.959,1.688,1.814,1.847,1.737,1.953,1.994,2.129,2.247,2.343,2.726,2.958,3.128,3.234,3.621,3.779,4.016,4.029,4.01,4.577,5.172,6.338,6.797,7.253,7.345,7.341,7.577,9.399,9.862,10.637,11.855,13.991,15.024,16.344,16.786,17.263,17.377,16.98,17.594,20.189,21.781,23.769,27.391,29.494,31.651,32.437,32.024,33.834,37.098,40.114,42.33,44.91,46.86,51.919,60.121,69.12,74.549,79.895,84.989,92.446,100,110.201,119.12,119.752
"23","16","      Sports and recreational vehicles (79)","DWHLRA3",0.976,0.756,0.712,0.538,0.498,0.646,0.766,1.013,1.172,1.088,1.236,1.324,1.635,1.238,1.194,1.246,1.494,3.218,3.553,3.548,3.023,3.292,3.193,3.311,3.622,3.894,4.807,5.292,5.572,5.697,6.402,5.692,5.2,5.785,6.612,8.328,9.9,12.233,13.491,17.63,20.969,23.164,24.803,31.399,35.145,30.543,33.285,36.506,39.979,40.915,41.357,31.723,31.661,30.224,31.007,38.366,39.646,42.619,44.353,44.525,43.95,41.179,38.772,37.739,42.323,46.877,50.327,53.425,58.169,63.9,69.36,74.703,74.626,77.465,86.82,95.805,100,101.631,105.419,99.977
"24","17","      Recreational books (part of 90)","DRBKRA3",8.74,7.736,7.779,4.9,5.132,5.626,6.239,7.024,8.077,7.232,7.329,7.613,8.193,9.32,10.903,13.04,14.515,15.86,13.229,13.302,13.395,14.197,15.966,15.26,15.416,14.816,15.638,16.94,16.333,15.962,16.718,17.391,18.348,19.354,20.936,24.565,24.631,26.639,26.041,26.91,28.977,34.725,33.371,31.469,31.603,32.237,30.201,26.599,27.628,30.931,32.854,33.716,34.677,34.083,35.265,37.569,36.467,36.89,40.715,43.105,43.965,44.679,43.963,44.725,48.482,54.395,59.978,63.87,68.622,70.822,78.337,84.419,84.569,85.943,90.805,95.449,100,106.003,111.047,111.387
"25","18","      Musical instruments (part of 80)","DMSCRA3",1.594,1.894,1.397,1.066,0.855,0.932,1.026,1.39,1.57,1.43,1.844,2.145,2.559,2.235,1.407,1.006,1.113,3.572,3.628,3.535,3.869,5.626,5.259,6.024,6.873,7.668,8.51,8.694,8.065,7.878,8.89,8.885,9.396,10.079,11.119,12.658,14.704,17.642,18.809,19.131,18.424,18.502,18.129,19.927,21.959,22.282,22.816,24.229,24.577,25.278,25.881,24.419,23.326,21.082,23.463,25.381,28.02,30.208,31.99,33.435,33.206,34.705,36.766,36.5,39.487,44.339,48.804,51.003,53.58,58.323,66.68,80.758,83.096,87.357,88.173,96.505,100,108.947,116.608,109.869
"26","19","    Other durable goods","DODGRA3",4.335,3.999,3.148,2.596,2.128,2.445,2.779,3.037,3.516,3.534,3.774,4.016,4.618,4.979,5.98,5.864,6.436,7.607,7.161,7.305,7.132,7.466,7.71,8.279,8.509,8.838,9.422,9.86,9.942,10.05,10.372,10.447,10.658,11.643,12.06,13.101,14.448,16.618,16.765,18.402,19.12,20.049,20.966,22.11,25.114,26.353,27.881,30.701,32.449,34.225,33.78,30.897,31.359,31.414,34.236,38.129,40.985,45.664,47.306,48.894,49.515,49.771,47.608,48.572,51.02,53.358,54.604,58.232,61.147,67.153,75.167,81.846,80.088,85.383,89.825,94.638,100,103.712,104.591,99.569
"27","20","      Jewelry and watches (part of 119)","DJRYRA3",3.082,2.845,1.827,1.496,1.021,1.213,1.486,1.592,2.058,2.135,2.269,2.463,2.919,3.142,3.96,3.737,4.307,5.371,4.927,5.01,4.761,4.984,5.01,5.466,5.57,6.044,6.653,6.869,6.994,7.211,7.476,7.41,7.299,7.835,8.229,8.703,9.969,12.4,13.258,14.211,14.113,14.15,14.957,15.829,19.212,21.139,22.83,26.871,29.563,31.473,30.522,28.069,28.888,28.833,31.568,35.617,38.339,43.895,44.026,45.029,44.756,43.832,42.382,43.897,47.305,50.006,53.139,58.098,60.475,66.949,74.996,81.394,78.827,83.622,89.68,94.906,100,103.592,101.912,92.727
"28","21","      Therapeutic appliances and equipment (42)","DTAERA3",2.492,2.508,2.235,1.893,1.936,2.516,2.647,2.842,3.285,3.156,3.404,3.631,4.353,4.913,5.659,6,6.229,6.92,6.737,7.002,7.157,7.62,8.197,8.584,9.026,9.015,8.966,9.782,9.843,9.731,9.647,9.767,9.962,11.838,11.718,12.878,13.904,15.237,13.378,15.117,16.675,18.287,17.861,19.488,21.169,22.471,23.344,23.601,24.009,25.498,27.668,28.534,29.527,30.508,33.245,37.508,41.501,45.708,49.883,56.065,57.872,64.257,58.771,58.399,59.255,62.735,62.801,67.687,73.289,79.375,83.963,89.055,86.439,92.24,94.54,96.822,100,102.781,108.625,111.031
"29","22","      Educational books (96)","DEBKRA3",16.185,14.326,14.406,9.074,9.504,10.418,11.553,13.007,14.958,13.394,13.572,14.099,15.173,17.259,20.192,24.149,26.88,29.371,24.499,24.634,24.806,26.291,29.567,28.26,28.548,27.438,28.96,31.371,30.248,29.561,30.96,32.225,34.28,37.157,40.81,46.599,45.467,48.417,47.119,48.697,52.831,64.417,61.495,57.073,57.86,59.427,63.431,60.491,65.375,74.138,80.045,83.375,84.543,81.962,85.791,92.163,94.398,98.346,106.547,108.919,108.454,107.916,104.647,103.532,107.371,110.978,112.137,109.3,109.105,111.595,116.907,115.419,111.417,109.178,108.064,105.517,100,93.913,88.513,81.811
"30","23","      Luggage and similar personal items (part of 119)","DLUGRA3",10.513,9.362,8.733,7.598,6.336,6.477,7.249,8.152,8.28,8.492,9.156,9.504,10.226,10.577,12.08,11.58,12.049,13.6,13.45,13.657,13.441,13.861,14.247,15.593,16.054,16.235,17.253,17.797,17.853,17.889,18.808,19.235,20.54,21.651,22.396,24.84,27.036,28.811,29.199,33.294,35.522,37.303,41.25,43.637,47.218,45.545,46.95,49.674,49.467,49.29,44.36,32.803,29.914,29.081,33.072,36.622,39.83,43.913,46.189,43.394,45.173,41.412,40.942,42.361,43.696,42.798,39.915,40.395,42.293,48.075,60.561,71.064,68.657,75.464,78.906,86.285,100,105.611,101.809,90.944
"31","24","      Telephone and facsimile equipment (67)","DTCERA3",0.301,0.284,0.254,0.226,0.189,0.193,0.191,0.241,0.245,0.242,0.26,0.273,0.289,0.271,0.254,0.231,0.232,0.298,0.292,0.342,0.384,0.437,0.455,0.421,0.394,0.359,0.4,0.411,0.419,0.411,0.431,0.447,0.476,0.527,0.572,0.636,0.665,0.71,0.733,0.775,0.772,0.768,0.758,0.785,0.876,0.937,0.962,1.02,1.085,3.464,8.129,12.976,17.379,18.856,17.498,16.438,14.871,14.153,13.681,14.056,14.938,15.156,15.147,15.698,17.037,19.114,20.708,22.057,23.196,26.711,34.676,44.053,51.967,60.973,70.866,86.477,100,119.646,136.893,148.092
"32","25","  Nondurable goods","DNDGRA3",14.105,13.368,13.222,12.053,12.007,12.988,13.741,15.312,15.688,15.912,16.635,17.347,18.396,18.448,18.565,18.955,20.131,21.947,21.816,21.978,22.3,23.041,23.393,24.272,25.024,25.419,26.739,27.678,28.232,28.608,29.895,30.391,31.005,31.96,32.648,34.181,35.903,37.898,38.712,40.35,41.466,42.388,43.183,44.931,46.221,45.096,45.483,47.646,48.731,50.491,51.793,51.706,52.354,52.898,54.62,56.881,58.598,60.685,61.727,63.351,65.062,65.821,65.628,66.903,68.604,71.279,73.044,75.155,77.366,80.285,84.375,87.111,88.681,90.44,93.763,96.756,100,102.805,105.405,104.513
"33","26","    Food and beverages purchased for off-premises consumption","DFXARA3",21.3,20.77,20.654,19.151,20.005,21.955,23.11,26.277,27.003,27.574,27.928,29.102,30.08,29.942,29.168,30.431,32.078,35.94,35.944,35.651,35.823,36.577,36.778,37.781,39.218,40.268,42.211,43.611,44.65,44.837,46.691,47.025,47.68,47.996,48.389,50.037,52.542,54.593,55.841,58.317,59.925,61.6,62.333,63.577,62.47,61.21,62.314,65.369,66.336,66.047,66.966,67.655,67.426,68.734,70.471,71.888,74.01,75.521,75.038,77.02,77.981,79.597,79.497,79.188,79.834,82.059,82.482,83.31,84.036,85.043,88.326,90.314,91.368,91.581,93.593,96.122,100,103.192,105.363,105.371
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRA3",25.383,24.69,24.371,22.423,22.847,22.087,22.541,25.327,26.074,27.301,27.612,29.033,29.891,29.355,28.16,29.686,31.321,35.76,35.965,36.46,36.944,37.649,38.162,39.491,41.214,42.731,45.04,46.699,48.214,48.498,50.508,51,51.784,51.929,52.259,54.078,57.006,59.202,60.579,63.007,64.294,65.624,65.767,66.666,64.816,62.847,64.025,67.243,67.831,67.38,68.082,68.596,68.179,69.477,71.267,72.993,75.056,76.606,76.28,78.518,79.447,80.837,81.652,81.967,82.467,84.443,84.606,85.091,85.532,86.272,89.538,91.152,92.089,92.291,94.286,96.455,100,102.527,104.389,104.208
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",NA,NA,NA,NA,1.135,9.785,13.374,17.138,17.752,16.152,16.373,16.8,18.324,19.521,19.524,20.413,21.663,23.197,23.633,20.898,20.523,21.586,20.834,20.694,21.425,20.805,21.392,21.883,21.549,21.611,22.848,22.977,23.168,24.58,25.327,26.343,27.305,28.829,29.649,32.309,35.3,38.217,41.548,44.171,46.684,48.516,49.436,51.509,54.673,55.908,58.382,60.286,61.229,62.834,64.299,64.037,66.554,67.919,66.877,67.389,68.694,71.833,66.365,62.601,64.115,67.721,69.679,72.557,75.027,77.593,81.014,85.263,87.062,87.306,89.47,94.156,100,107.108,111.213,112.402
"36","29","      Food produced and consumed on farms (6)","DFFDRA3",2494.487,2488.001,2649.447,2636.834,2849.453,2721.161,2518.632,2570.526,2559.354,2591.067,2658.096,2602.599,2483.316,2442.594,2597.914,2460.252,2531.606,2600.797,2335.564,2242.588,2095.917,2049.429,1978.076,1928.705,1803.656,1747.799,1686.536,1627.075,1474.277,1399.681,1354.908,1224.904,1196.23,1052.645,1005.499,942.504,829.93,764.906,710.984,657.331,609.16,638.109,602.996,612.377,585.931,700.952,650.642,664.848,648.882,530.489,489.415,466.065,461.367,416.578,408.539,380.478,369.862,352.689,267.835,259.469,226.079,199.578,197.483,194.524,178.924,182.336,171.178,158.455,138.663,143.647,137.533,118.369,99.755,110.571,95.416,90.594,100,125.197,107.999,106.345
"37","30","    Clothing and footwear","DCLORA3",10.398,9.354,9.239,8.216,7.395,7.811,8.442,9.178,9.081,9.207,9.943,10.264,11.036,11.507,12.526,12.123,12.527,12.775,12.188,12.308,12.382,12.694,12.63,13.289,13.407,13.42,14.073,14.442,14.34,14.485,15.232,15.37,15.654,16.363,16.663,17.931,18.676,19.928,20.067,20.872,21.274,21.029,21.914,23.474,25.163,24.682,25.305,26.47,27.889,30.827,32.623,33.634,35.776,36.371,38.861,42.078,43.954,47.248,49.001,50.441,53.112,52.745,52.782,55.585,57.953,61.2,63.714,66.804,69.001,73.207,78.014,81.789,82.563,85.091,89.82,94.21,100,105.05,109.63,109.341
"38","31","      Garments","DGARRA3",9.431,8.543,8.378,7.221,6.501,6.79,7.492,8.129,7.91,8.054,8.869,9.161,9.589,9.5,10.287,9.926,10.17,10.845,10.555,10.774,10.783,10.953,11.076,11.864,12.018,12.129,12.673,13.078,13.01,13.026,13.802,13.97,14.277,14.966,15.316,16.56,17.311,18.508,18.672,19.373,19.718,19.681,20.562,22.041,23.666,23.351,24.128,25.241,26.616,29.422,31.214,32.303,34.44,35.315,37.826,41.217,43.02,46.227,47.868,49.404,51.972,51.451,51.766,54.825,57.25,60.383,62.958,65.913,68.098,72.138,76.62,80.339,81.212,83.97,88.922,93.61,100,105.112,109.977,109.857
"39","32","        Women's and girls' clothing (10)","DWGCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.405,12.619,12.955,13.699,14.091,15.257,15.859,16.896,16.757,17.376,17.633,17.625,18.528,19.532,20.872,20.612,21.377,22.342,23.463,26.157,27.95,29.264,31.724,32.931,35.79,39.492,41.575,45.432,46.703,47.873,50.572,49.617,49.938,53.23,55.3,57.571,60.052,62.968,64.464,69.119,74.838,79.628,80.789,83.942,88.648,93.293,100,104.645,109.215,110.047
"40","33","        Men's and boys' clothing (11)","DMBCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.878,16.912,17.11,17.656,17.833,19.299,20.251,21.77,22.511,23.33,23.598,23.239,24.281,26.543,28.505,28.075,29.093,30.351,32.243,34.971,36.452,36.982,38.353,38.313,40.325,43.162,44.589,46.933,49.14,51.217,53.691,54.188,54.625,57.59,60.602,65.28,68.11,71.493,74.767,77.551,80.118,82.147,82.133,84.025,89.475,94.087,100,105.893,111.091,109.202
