"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","    Nondurable goods","DNDGRC1",33.9,30.5,25.8,20.2,20,23.9,26.1,29.2,31,29.9,30.8,32.3,37.2,43.4,48.9,52.8,58.5,69.1,77.6,83,81.5,84.4,93,97.5,100.2,102.1,106.7,112,117.6,122,127.7,131.4,134.6,139.5,143.9,152.7,163.3,177.9,185,199.8,214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1330,1432.6,1543.4,1587.7,1617.9,1712.6,1830.7,1968.4,2088.7,2204.5,2308
"17","10","      Food and beverages purchased for off-premises consumption","DFXARC1",16.3,14.8,11.9,9,9.5,11.7,13.3,15.1,16,15.1,15.2,15.9,18.2,21.6,24.3,26,28.2,34.9,40.2,41.8,40.4,41.4,46,48.4,49.3,50.6,52,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4,103.5,107.1,114.5,126.7,143,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277,291.1,303,316.4,324.3,342.8,365.4,391.2,403,404.5,413.5,432.1,443.7,461.9,474.8,486.5,513.6,537.5,559.7,569.6,593.1,628.2,665,698,740.1,784.3
"18","11","      Clothing and footwear","DCLORC1",9,7.8,6.7,4.9,4.5,5.5,5.8,6.3,6.6,6.5,6.9,7.2,8.5,10.6,12.9,14.1,15.9,17.5,18,19.3,18.6,18.9,20.5,21.2,21.3,21.4,22.4,23.4,23.6,23.9,25.4,25.9,26.6,27.9,28.6,31.1,32.7,35.8,37.5,41.3,44.3,45.5,49,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,287,300,315.5,330.1,341.2,337.5
"19","12","      Gasoline and other energy goods","DGOERC1",3.4,3.3,2.8,2.6,2.6,2.9,3,3.3,3.5,3.4,3.6,3.8,4.3,3.9,3.3,3.4,4,5.8,6.9,8.2,8.3,8.9,9.6,10.2,10.8,11.3,12.4,13.3,14.2,14.7,15.3,15.8,15.7,16.3,16.9,17.7,19.1,20.7,21.9,23.2,25,26.3,27.6,29.4,34.3,43.8,48,53,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125,126.9,129.2,133.4,144.7,147.7,133.4,148.8,188.8,183.6,174.6,209.6,249.9,304.8,336.9,368,413
"20","13","      Other nondurable goods","DONGRC1",5.3,4.6,4.4,3.6,3.4,3.8,4,4.4,4.8,4.8,5.1,5.4,6.2,7.2,8.4,9.3,10.5,10.9,12.4,13.6,14.1,15.2,16.9,17.8,18.8,18.8,19.9,21.1,22.6,23.6,25.5,27.1,28.6,30.7,32.5,34.5,37.1,40.8,43,46.5,49.5,53.6,55.9,60,65.8,72.1,77.7,85.2,91.5,103.3,116.5,129.3,143.5,154,168.8,184.6,196.9,209.4,225.9,241.4,263.3,283.6,297.1,314.5,331.4,350.6,371.4,395.2,421.3,452.3,499.2,536.2,566.5,594.9,622.9,652.6,683,723.7,755.2,773.2
"21","14","  Services","DSERRC1",33.6,32,29,24.6,22.2,23,24.3,26.2,28.5,28.3,29.3,30.7,33.6,38,43.6,48.1,52.4,58.1,62.6,67.6,70.4,75.4,83.8,90.7,98.2,104.2,111.4,119.5,127.3,134.6,145.1,154.8,163.4,174.4,184.6,199.2,214.1,231.3,248.8,273.4,300.4,329.5,359.5,396.4,435.4,481.4,542.5,604.9,677.4,764.1,853.2,956,1070.1,1176.2,1314.8,1437.4,1580,1701.1,1840.7,2012.7,2170.7,2344.2,2482.6,2673.6,2841.2,3004.3,3171.7,3355.9,3563.9,3808.5,4052.8,4371.2,4614.8,4829.2,5076.6,5392.8,5745.1,6100.9,6461.4,6726.8
"22","15","    Household consumption expenditures (for services)","DHCERC1",32.3,30.7,27.8,23.6,21.3,22.1,23.4,25.3,27.5,27.3,28.3,29.6,32.5,36.7,42.1,46.5,50.6,56.1,60.4,65.3,68.1,72.9,81.1,87.8,95.2,100.9,107.9,115.6,123.1,130.1,140,149.5,157.9,168.7,178.6,192.5,206.9,223.5,240.4,264,290.4,318.4,347.2,382.8,420.7,465,524.4,584.9,655.6,739.6,825.4,924.1,1033.9,1136.1,1271.9,1389.8,1529.7,1645.8,1782.1,1946,2099,2264.5,2398.4,2581.3,2746.6,2901.9,3064.6,3240.2,3451.6,3677.5,3907.4,4205.9,4428.6,4624.2,4864.8,5182.8,5531,5860.6,6207.9,6448
"23","16","      Housing and utilities","DHUTRC1",12.9,12.5,11.8,10.5,9.4,9.1,9.2,9.6,10.2,10.6,10.9,11.3,12.1,13,13.5,14.2,14.7,16.3,18.3,20.5,22.6,25.1,28.1,31.2,34.5,37.4,40,42.9,45.9,49.2,52.8,56.7,60.3,64.5,68.2,72.1,76.6,81.2,86.3,92.7,101,109.4,120,131.2,143.5,158.6,176.5,194.7,217.8,244.3,273.4,311.8,352,387,421.2,458.3,500.7,535.7,571.8,614.5,655.6,696.4,735.5,771.2,814.5,866.5,913.8,961.2,1009.9,1065.2,1125,1198.6,1287.7,1334.8,1393.8,1462.2,1582.8,1686,1763.1,1843.7
"24","17","      Health care","DHLCRC1",2.3,2.2,2,1.7,1.5,1.6,1.7,1.9,2,2,2.1,2.2,2.3,2.6,2.8,3.2,3.4,4.3,5,5.8,6,6.4,6.9,7.6,8.4,9.3,9.9,10.9,12,13.4,14.8,16,17.1,19.1,21,24.2,26,28.7,31.9,36.6,42.1,47.7,53.7,59.8,67.2,76.1,89,101.8,115.7,131.2,148.8,171.7,201.9,225.2,253.1,276.5,302.2,330.2,366,410.1,451.2,506.2,555.8,612.8,648.8,680.5,719.9,752.1,790.9,832,863.6,918.4,996.6,1082.9,1149.3,1229.7,1316,1380.7,1469.6,1554.2
"25","18","      Transportation services","DTRSRC1",2.4,2.1,1.8,1.4,1.3,1.5,1.5,1.7,1.8,1.7,1.8,1.9,2.2,2.6,3.2,3.5,3.8,4.7,4.9,5.2,5.3,5.4,6,6.3,6.8,6.8,7.1,7.6,8,8.1,8.7,9.2,9.6,10.1,10.6,11.4,12.1,13.1,14.3,15.9,18,20,22.4,24.5,26.1,28.5,32,36.2,41.4,45.2,50.7,55.4,59.8,61.7,68.9,80,90.1,95,103.1,114.2,121.8,126.4,123.7,133.6,146.1,161.9,177.9,195,214.3,227.2,243.3,262.3,262.7,256.7,263.1,273.2,285.9,297,307.4,307.8
"26","19","      Recreation services","DRCARC1",1.6,1.5,1.4,1.1,1,1.1,1.2,1.3,1.5,1.4,1.5,1.6,1.7,2,2.3,2.6,2.8,3.5,3.6,3.6,3.6,3.6,3.8,4,4.2,4.5,4.8,5.2,5.2,5.4,5.9,6.5,6.9,7.5,7.9,8.5,9,9.8,10.5,11.7,12.9,14,15.1,16.3,18.3,20.9,23.7,26.5,29.6,32.9,36.7,40.8,47.1,52.5,59.4,66.1,74,80.4,87.3,99.2,110.7,121.8,127.2,139.8,153.4,164.7,181.1,195.6,208.3,220.6,238.8,255.5,263.6,272.8,289.5,312,326.8,348.8,371.7,383.1
"27","20","      Food services and accommodations","DFSARC1",3.4,3.3,3,2.4,2.1,2.6,3,3.4,4,3.9,4.1,4.4,5.3,6.9,9.1,10.9,12.7,12.7,12.5,12.6,12.4,12.7,15,16,16.5,16.6,17,17.7,18.5,18.7,19.7,20.5,21,22.3,23.3,24.9,27.2,29.6,31,34.6,37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.6,308.7,316.7,327.4,344.6,363,381.6,410.1,421.2,438.2,462.8,492.9,525.3,559.7,587.9,608.7
"28","21","      Financial services and insurance","DIFSRC1",2.9,2.6,2.2,1.9,1.9,1.8,2.1,2.2,2.4,2.3,2.3,2.4,2.5,2.6,2.8,3,3.2,3.8,4.2,4.7,4.9,5.6,6.3,6.7,7.8,8.6,9.6,10.4,11.1,11.6,12.5,13.6,14.8,15.4,15.9,17.7,19.4,21.3,22.8,25.8,28.5,31.1,34.1,38.3,41.5,45.9,54,59.3,67.8,80.6,87.6,95.6,102,116.3,145.9,156.6,180.5,196.7,207.1,219.4,235.7,253.2,282,311.8,341,349,364.7,393.6,431.3,469.6,514.2,570,562.8,576.2,601.8,667.5,712.6,752.4,824.2,835.6
"29","22","      Other services","DOTSRC1",6.9,6.5,5.6,4.5,4,4.4,4.6,5.1,5.7,5.4,5.6,5.8,6.3,7.1,8.2,9.1,10,10.8,12,12.9,13.3,14.1,15.1,16,17.1,17.8,19.4,20.9,22.4,23.8,25.5,27.1,28.3,29.9,31.6,33.8,36.6,39.9,43.6,46.8,50.5,54.6,58.1,63.7,69.3,74.4,80.3,88.6,97.7,108.3,117.2,127.1,137.2,150.9,169.8,187.4,207.9,221.2,242.4,262.8,281.3,297.9,300.9,325.8,344.2,370.7,390.5,415.3,452.3,499.8,540.9,591.1,634,662.7,704.6,745.3,781.6,836,884,915
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",1.3,1.3,1.2,1,0.9,0.9,0.9,0.9,1,1,1,1.1,1.1,1.3,1.5,1.7,1.7,2,2.1,2.3,2.4,2.5,2.6,2.9,3.1,3.3,3.5,3.9,4.2,4.5,5.1,5.3,5.5,5.7,6,6.7,7.2,7.8,8.4,9.3,10.1,11.1,12.3,13.6,14.6,16.4,18.1,20.1,21.8,24.5,27.8,31.9,36.3,40.1,42.9,47.6,50.3,55.4,58.5,66.8,71.7,79.6,84.2,92.3,94.6,102.4,107.2,115.7,112.2,131,145.4,165.4,186.2,205,211.8,210,214.1,240.4,253.5,278.7
"31","24","      Gross output of nonprofit institutions \2\","DNPERC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,15.1,16,17.2,18.6,20.5,22.3,24.6,27.4,30.9,34.6,38.7,43.4,48.2,52.7,59.7,68.2,77.4,86.3,98.1,111,128,147.8,165.9,181.4,196.6,211.7,230.1,249.7,279,304.9,338.2,367,400.8,423.3,444.7,463.4,488.8,509.3,550.5,585.3,632,688,749.7,785.8,827.7,874.6,933.6,987.5,1049.4
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9.8,10.5,11.5,12.6,13.8,15.1,16.9,18.9,21.6,24.6,27.6,31.1,34.5,38.1,43.3,50.2,57.3,64.5,73.6,83.2,96.1,111.5,125.8,138.5,149,161.4,174.7,191.2,212.2,233.2,258.6,282.8,308.5,328.7,342.3,356.2,373.1,397,419.6,439.9,466.6,501.8,544.7,574,617.7,660.6,693.3,734,770.7
"33","26","Gross private domestic investment","A006RC1",16.5,10.8,5.9,1.3,1.7,3.7,6.7,8.6,12.2,7.1,9.3,13.6,18.1,10.4,6.1,7.8,10.8,31.1,35,48.1,36.9,54.1,60.2,54,56.4,53.8,69,72,70.5,64.5,78.5,78.9,78.2,88.1,93.8,102.1,118.2,131.3,128.6,141.2,156.4,152.4,178.2,207.6,244.5,249.4,230.2,292,361.3,438,492.9,479.3,572.4,517.2,564.3,735.6,736.2,746.5,785,821.6,874.9,861,802.9,864.8,953.3,1097.3,1144,1240.2,1388.7,1510.8,1641.5,1772.2,1661.9,1647,1729.7,1968.6,2172.2,2327.2,2288.5,2136.1
"34","27","  Fixed investment","A007RC1",14.9,11,7,3.6,3.1,4.3,5.6,7.5,9.5,7.7,9.1,11.2,13.8,8.5,6.9,8.7,12.3,25.1,35.5,42.4,39.6,48.3,50.3,50.5,54.5,55.8,64,68.1,69.7,64.9,74.6,75.7,75.2,82,88.1,97.2,109,117.7,118.7,132.1,147.3,150.4,169.9,198.5,228.6,235.4,236.5,274.8,339,412.2,474.9,485.6,542.6,532.1,570.1,670.2,714.4,739.9,757.8,803.1,847.3,846.4,803.3,848.5,932.5,1033.5,1112.9,1209.4,1317.7,1447.1,1580.7,1717.7,1700.2,1634.9,1713.3,1903.6,2122.3,2267.2,2269.1,2170.8
"35","28","    Nonresidential","A008RC1",11,8.6,5.3,2.9,2.5,3.3,4.3,5.8,7.5,5.5,6.1,7.7,9.7,6.3,5.4,7.4,10.6,17.3,23.5,26.8,24.9,27.8,31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,280.6,333.9,362.4,420,426.5,417.2,489.6,526.2,519.8,524.1,563.8,607.7,622.4,598.2,612.1,666.6,731.4,810,875.4,968.6,1061.1,1154.9,1268.7,1227.8,1125.4,1135.7,1223,1347.3,1505.3,1640.2,1693.6
"36","29","      Structures","B009RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,535.4,609.5
"37","30","      Equipment and software","B010RC1",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1104.8,1084.1
"38","31","        Information processing equipment and software","A679RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.9,5.3,5.7,6.5,7.4,8.5,10.7,11.3,11.9,14.6,16.6,17.3,19.5,23.1,27,28.5,32.7,39.2,48.7,58.5,68.8,81.5,88.3,100.1,121.5,130.3,136.8,141.2,154.9,172.6,177.2,182.9,199.9,217.6,235.2,263,290.1,330.3,366.1,417.1,478.2,452.5,419.8,430.9,455.3,475.3,505.2,537.4,562.9
"39","32","          Computers and peripheral equipment","B935RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,44,47.9,52.4,66.1,72.8,81.4,87.9,97.2,103.2,87.6,79.7,77.6,80.2,78.9,84.9,89.2,86.7
"40","33","          Software \4\","B985RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.2,0.4,0.5,0.7,1,1.2,1.3,1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.3,8.1,9.8,11.8,14,16.4,20.4,23.8,25.6,29,34.2,41.9,47.6,53.7,57.9,64.3,68.3,74.6,85.5,107.5,126,157.3,184.5,186.6,183,191.3,205.7,218,229.8,245.6,264.1
"41","34","          Other","A937RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.6,4.8,5.1,5.4,5.9,6.7,8,8.2,8.7,10.4,11.6,12.2,13.2,16.3,19.2,20.2,23.1,28,34.8,40.2,46.4,52.5,55.3,59.8,69.6,72.9,77.7,76.4,82.8,87.6,90.9,91.5,98.1,105.4,114.6,122.3,131.9,141.4,152.2,162.5,190.6,178.4,157,162,169.4,178.4,190.6,202.5,212.1
"42","35","        Industrial equipment","A680RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4.6,4.6,3.7,4.5,5.7,5.9,6.7,7.1,7.3,8.8,9.6,8.2,8.5,9.4,8.8,9.3,10,11.4,13.7,16.2,16.9,17.3,19.1,20.3,19.5,21.4,26,30.7,31.3,34.1,39.4,47.7,56.2,60.7,65.5,62.7,58.9,68.1,72.5,75.4,76.7,84.2,93.3,92.1,89.3,93,102.2,113.6,129,136.5,140.4,147.4,149.1,162.9,151.9,141.7,142.6,142,159.6,178.4,193.2,193.8
