"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","            Services","W107RA3",1.16,1.29,1.39,1.399,1.67,2.077,1.949,2.227,2.048,2.326,2.507,2.411,3.333,5.085,5.683,9.547,10.408,8.15,4.466,5.399,6.028,6.356,9.757,12.231,10.769,10.092,12.158,13.057,15.735,15.88,15.291,17.053,18.812,20.057,22.288,22.738,23.635,26.919,29.589,30.035,30.288,30.802,32.345,32.967,32.849,34.119,35.073,34.222,34.85,35.691,36.649,37.478,38.102,41.421,44.059,46.089,51.494,56.446,57.778,58.862,59.34,61.397,62.972,64.344,64.387,67.047,67.614,68.591,70.86,72.691,77.281,79.298,85.66,93.369,97.136,99.642,100,101.664,102.757,107.172
"17","10","        Less: Own-account investment \4\","W108RA3",12.403,13.869,13.085,9.599,59.028,116.889,124.149,241.694,179.955,237.742,213.04,172.975,147.83,101.221,36.288,14.552,19.74,7.337,9.926,13.711,18.04,19.797,26.619,34.637,34.405,32.853,30.149,32.198,33.837,36.55,45.404,43.08,45.052,46.893,49.099,48.214,49.645,53.156,49.067,49.564,49.059,49.769,50.276,50.029,48.037,49.489,47.375,42.968,38.958,42.239,48.501,50.92,49.38,50.993,51.947,57.736,63.211,66.709,69.564,72.456,80.688,84.386,87.654,87.018,85.869,84.348,85.007,84.315,89.042,90.433,90.72,91.077,101.351,102.058,98.761,99.361,100,102.063,105.283,108.925
"18","11","              Sales to other sectors","W109RA3",3.905,4.572,5.051,5.093,5.043,5.361,5.407,4.476,4.706,5.078,5.436,5.79,6.451,8.358,13.393,19.536,31.612,30.237,9.912,8.681,8.656,10.114,11.076,9.376,9.645,10.663,14.732,12.787,14.978,16.019,15.898,16.142,16.792,18.652,20.599,22.323,24.77,27.931,29.147,31.6,33.097,34.384,37.213,41.761,44.013,44.725,43.881,45.373,47.812,50.282,52.961,53.219,54.824,55.992,57.5,57.626,59.393,61.38,62.616,64.11,65.681,67.055,69.481,72.122,74.972,78.488,80.006,81.598,83.279,86.245,87.655,92.547,96.582,97.658,97.866,98.788,100,100.422,102.503,104.985
"19","12","Federal consumption expenditures \1\","A957RA3",3.621,3.86,3.76,3.616,4.238,5.691,5.213,9.223,8.15,9.267,10.306,10.831,20.357,60.553,106.273,132.108,124.986,42.155,30.901,31.914,33.573,32.023,48.292,61.695,66.397,58.717,55.321,54.366,57.309,56.201,55.967,55.15,56.176,61.508,63.11,62.714,63.529,70.498,78.516,81.222,79.449,73.68,70.001,68.034,64.183,63.628,63.105,62.326,63.554,64.835,65.744,68.574,71.623,74.066,77.682,78.67,83.345,86.96,88.94,88.612,89.901,91.248,91.447,89.43,86.582,84.14,81.679,80.247,80.341,78.662,79.699,80.493,83.953,89.545,95.492,99.176,100,101.397,102.189,109.048
"20","13","      Gross output of general government","W110RA3",3.697,3.904,3.777,3.618,5.026,6.498,6.719,10.24,8.989,9.958,11.041,11.58,21.039,61.017,106.609,133.203,129.778,47.716,31.326,31.982,33.375,32.095,48.52,61.28,65.899,58.431,55.886,54.322,57.662,56.558,56.147,55.256,56.202,61.499,63.113,62.713,63.589,70.795,78.245,80.828,79.096,73.403,69.773,68.383,64.721,64.337,63.513,62.556,64.015,65.42,66.513,69.188,72.058,74.414,77.917,79.008,83.662,87.282,89.377,89.193,90.489,91.919,92.26,90.164,87.179,85.111,82.201,80.807,80.48,79.01,79.69,80.609,83.866,89.334,95.204,98.852,100,101.197,101.928,108.67
"21","14","        Value added","W111RA3",8.711,9.341,8.94,8.547,10.544,14.032,15.563,25.716,22.288,25.17,25.66,28.089,42.743,86.334,167.375,211.768,211.885,99.292,70.06,64.716,61.813,61.819,81.4,90.722,91.169,88.966,86.941,86.058,85.797,83.396,82.691,84.282,86.053,89.614,90.42,91.325,91.934,97.993,104.368,106.147,106.463,101.902,97.209,92.502,89.044,88.763,88.268,88.417,88.659,89.775,89.678,91.099,92.503,94.009,96.195,98.37,101.171,102.966,105.666,106.975,108.296,110.273,110.938,108.614,106.534,103.066,99.174,96.447,94.63,93.547,92.781,93.558,93.929,95.78,98.356,99.335,100,99.933,100.688,104.664
"22","15","          Compensation of general government employees","B568RA3",14.688,16.038,15.192,14.373,18.319,25.06,27.613,47.506,40.271,45.652,46.264,50.565,76.087,145.995,273.628,324.227,305.829,107.071,67.643,68.423,70.311,75.299,112.602,125.932,122.014,114.624,109.912,107.974,107.249,102.779,100.642,102.222,104.425,109.12,109.094,109.691,110.288,119.79,129.256,131.258,131.65,124.645,118.446,112.589,108.407,108.723,108.185,108.274,108.389,109.795,109.138,110.547,111.754,112.851,114.554,115.695,117.323,117.239,118.592,118.381,118.544,119.745,119.358,115.174,111.823,106.962,101.701,97.975,95.516,94.067,92.754,93.527,93.898,96.118,99.126,99.873,100,99.042,99.044,102.825
"23","16","          Consumption of general government fixed capital \2\","B995RA3",1.543,1.526,1.536,1.547,1.584,1.734,2.018,2.337,2.533,2.763,2.973,3.295,5.422,14.458,32.89,54.055,66.67,63.506,52.527,43.404,37.299,33.031,32.431,35.797,39.681,42.397,43.22,43.494,43.703,43.789,44.615,45.815,46.725,48.289,49.731,50.748,51.235,52.067,53.523,54.673,54.834,54.242,52.378,50.025,48.114,46.948,46.581,46.806,47.216,47.748,48.542,49.821,51.396,53.42,56.187,59.973,64.776,70.112,75.399,79.822,83.576,87.186,90.165,92.162,93.107,92.971,92.38,92.129,91.976,91.866,92.587,93.373,93.74,94.462,95.624,97.405,100,103.22,106.831,111.545
"24","17","        Intermediate goods and services purchased \3\","W113RA3",1.018,1.036,1.03,0.992,1.834,2.226,1.95,2.303,2.122,2.186,3.168,2.945,7.717,32.699,51.758,63.762,59.923,11.63,5.021,8.747,12.099,10.429,21.699,33.379,39.158,30.592,28.326,26.736,31.279,31.086,30.963,28.655,28.937,34.536,36.437,35.222,36.163,43.243,50.483,53.295,50.321,44.393,41.922,43.42,39.787,39.341,38.298,36.48,38.87,40.429,42.447,45.941,49.766,52.648,57,57.082,63.144,68.251,69.677,68.091,69.309,70.146,70.157,68.365,64.543,63.991,62.192,62.264,63.576,61.698,64.005,65.079,71.639,81.355,91.236,98.234,100,102.835,103.535,113.903
"25","18","          Durable goods","W114RA3",0.26,0.384,0.386,0.351,1.057,1.965,2.68,2.332,2.214,2.364,2.575,3.119,26.404,139.094,257.152,279.995,306.481,12.533,7.46,14.025,16.682,27.681,64.71,113.729,127.096,92.875,78.723,74.537,77.944,80.549,57.608,49.144,40.995,51.217,52.386,45.593,48.206,68.215,66.766,75.787,63.369,56.455,41.2,52.181,47.894,41.428,43.076,38.967,49.156,55.182,59.937,63.143,72.744,79.142,94.314,95.551,102.355,109.218,116.17,119.488,115.279,111.926,107.203,97.381,89.002,76.813,70.326,70.546,71.128,71.682,76.323,75.993,76.917,81.115,88.144,97.856,100,108.232,118.216,139.614
"26","19","          Nondurable goods","W115RA3",2.059,2.332,2.213,1.879,4.019,4.96,4.377,5.693,5.512,5.491,10.369,9.032,12.418,67.414,91.12,113.893,78.541,12.854,8.168,18.405,34.642,17.099,29.845,43.146,90.71,67.866,47.682,29.577,34.192,33.231,60.537,36.714,33.216,53.957,47.618,48.547,52.14,58.205,98.053,116.871,117.396,80.384,70.005,74.344,56.368,56.516,50.116,47.37,49.756,51.149,51.736,60.021,73.027,65.735,69.756,55.886,64.601,85.006,63.804,40.786,65.15,59.732,62.279,61.839,63.738,55.272,55.601,54.578,60.55,65.413,57.015,63.03,73.288,78.699,85.251,94.873,100,95.913,95.946,102.984
"27","20","          Services","W116RA3",0.647,0.613,0.623,0.639,1.036,1.144,0.871,1.061,0.935,0.978,1.219,1.133,2.488,5.115,6.71,14.374,15.781,11.233,3.722,5.441,6.067,5.815,12.065,16.855,14.131,12.585,15.58,17.413,22.023,21.485,20.761,23.776,26.518,28.6,32.156,31.68,31.854,36.748,40.34,39.466,37.661,36.623,37.679,37.103,35.721,36.172,35.633,34.352,35.442,36.28,38.113,40.702,41.518,46.099,48.672,51.35,56.889,59.119,63.202,64.121,62.93,65.37,65.763,65.047,61.16,63.461,62.104,62.298,63.103,60.004,63.321,63.937,70.763,81.772,92.46,98.765,100,103.26,102.973,112.626
"28","21","      Less: Own-account investment \4\","W117RA3",6.039,6.557,8.281,10.385,162.594,171.175,302.508,225.185,185.28,160.728,171.722,177.532,186.479,225.28,134.055,59.31,82.649,14.147,12.802,22.159,28.461,34.089,61.983,90.159,93.774,81.121,67.374,66.908,74.669,81.723,88.249,85.507,89.219,89.66,81.504,79.106,81.778,90.308,74.504,67.212,63.249,64.773,67.255,70.898,66.035,61.495,61.906,60.673,54.102,59.876,67.345,72.238,73.029,80.48,87.252,97.212,109.938,112.207,122.74,126.728,140.169,146.23,150.116,150.019,145.557,134.003,132.885,125.004,119.332,119.34,106.871,87.091,106.814,110.657,104.641,100.474,100,98.224,94.159,101.333
"29","22","            Sales to other sectors","W118RA3",8.242,6.22,3.55,1.357,1.399,2.008,1.344,1.048,1.828,2.078,2.579,2.192,9.922,41.861,131.84,241.342,454.743,432.667,59.838,34.819,17.69,31.35,51.198,17.954,17.282,25.807,81.792,40.336,67.785,64.037,49.501,44.495,38.895,43.283,49.599,49.797,54.106,76.982,52.393,50.05,52.356,49.639,47.36,87.982,100.154,114.77,90.039,75.175,97.461,106.1,117.754,109.014,100.566,94.835,88.639,94.119,93.397,97.799,106.054,116.405,112.647,118.79,129.171,119.593,106.329,138.606,98.416,103.2,71.703,86.394,64.367,85.698,64.437,60.538,65.931,70.639,100,85.835,83.851,80.31
"30","23","    Defense consumption expenditures \1\","A997RA3",2.905,3.031,2.936,2.981,2.802,2.397,3.056,3.2,3.111,3.313,3.718,5.772,23.447,85.456,157.281,194.337,186.016,56.207,38.382,36.679,36.707,37.523,63.848,82.528,86.241,75.141,70.247,70.419,75.205,73.546,67.967,68.785,70.49,75.345,76.168,74.181,74.436,84.941,96.109,100.214,96.286,87.549,80.747,75.82,70.33,68.066,66.376,65.239,65.905,66.619,67.458,70.094,74.08,79.047,83.255,85.797,90.955,95.114,98.637,99.764,99.046,98.38,98.279,93.189,89.519,85.53,82.457,81.294,80.072,77.935,79.166,78.445,81.296,86.597,94.027,98.936,100,100.823,102.432,109.088
"31","24","      Gross output of general government","W085RA3",3.039,3.121,2.987,3.002,2.827,2.43,3.085,3.222,3.144,3.345,3.742,5.801,23.658,86.085,158.416,196.472,191.931,62.402,38.011,36.515,36.482,37.299,64.138,81.931,85.633,74.662,70.293,70.323,75.24,73.816,67.817,68.732,70.297,75.19,75.903,74.051,74.479,85.377,95.625,99.497,95.61,86.956,80.176,75.805,70.676,68.697,66.627,65.031,65.802,66.515,67.343,70.061,74.091,79.082,82.999,85.641,90.746,94.884,98.457,99.64,98.906,98.483,98.339,93.426,89.821,86.335,82.629,81.546,80.154,77.928,79.095,78.372,81.267,86.644,94.014,98.841,100,100.848,102.471,108.871
"32","25","        Value added","W086RA3",8.033,8.178,7.972,7.549,6.831,6.691,7.782,7.894,8.278,8.734,9.34,15.011,45.97,120.845,242.367,312.697,310.735,133.719,87.307,77.566,73.93,72.185,103.041,117.557,119.683,117.139,113.926,112.243,111.427,107.219,106.111,107.136,109.314,113.533,113.199,113.671,113.668,121.506,129.687,131.517,131.56,124.008,115.718,107.57,102.147,100.171,98.771,97.306,96.776,97.367,96.995,97.895,100.758,103.38,105.794,108.55,112.169,114.863,117.887,118.567,119.938,120.674,121.328,116.743,113.31,108.942,104.365,100.862,97.879,95.253,93.333,92.65,92.883,94.619,97.338,99.137,100,99.505,100.025,104.024
"33","26","          Compensation of general government employees","B237RA3",13.163,13.545,13.185,12.36,10.933,10.645,12.916,12.926,13.656,14.445,15.585,27.174,87.95,219.606,421.159,508.742,475.498,145.965,79.489,77.291,81.722,86.302,149.481,172.093,168.544,158.028,149.973,146.06,144.006,135.567,131.939,131.806,134.487,140.225,137.756,137.73,137.88,151.843,165.216,167.385,167.594,155.428,143.619,132.67,125.82,123.911,122.156,119.711,118.641,119.438,118.451,119.16,122.831,125.644,127.578,129.345,131.754,132.353,133.584,131.962,131.922,131.098,130.641,122.978,117.688,111.601,105.518,101.044,97.383,94.314,92.037,91.421,92.066,94.51,97.878,99.677,100,98.458,98.106,101.891
"34","27","          Consumption of general government fixed capital \2\","B432RA3",1.731,1.698,1.664,1.639,1.614,1.612,1.622,1.731,1.766,1.846,1.912,2.141,4.681,17.015,43.079,73.329,91.361,86.652,70.775,57.583,48.726,42.548,41.61,46.382,51.96,55.839,57.055,57.486,57.803,57.916,59.119,60.854,62.091,64.027,65.591,66.405,66.257,66.448,67.774,68.897,68.755,67.676,64.87,61.399,58.527,56.672,55.912,55.96,56.231,56.475,56.992,58.069,59.501,61.608,64.519,68.614,74.109,80.408,86.644,91.67,95.759,99.535,102.389,104.146,104.576,103.721,102.203,100.72,99.215,97.578,96.473,95.629,94.865,94.776,95.681,97.48,100,102.831,106.207,110.908
"35","28","        Intermediate goods and services purchased \3\","W087RA3",0.66,0.698,0.626,0.776,0.821,0.439,0.786,0.898,0.675,0.744,0.982,1.334,10.077,50.834,86.146,102.038,97.331,13.421,4.368,7.907,9.9,11.995,31.435,47.354,51.18,37.931,33.829,34.747,41.732,42.072,34.157,34.873,35.833,40.454,41.74,38.58,39.248,50.99,61.48,66.328,60.059,51.364,46.256,45.285,40.591,38.702,36.201,34.595,36.39,37.159,38.899,42.812,47.396,53.861,58.688,61.065,67.213,72.451,76.357,77.945,75.285,73.806,72.925,67.865,64.203,61.682,58.936,60.308,60.568,58.789,63.179,62.422,68.132,77.476,90.124,98.486,100,102.483,105.472,114.84
"36","29","          Durable goods","A998RA3",0.24,0.38,0.406,0.383,0.488,0.455,0.42,0.777,0.845,0.83,1.098,1.661,27.219,164.648,307.39,336.183,366.524,12.458,6.228,14.414,17.718,30.299,72.664,128.806,144.185,104.934,88.97,84.171,88.13,91.277,65.252,55.459,45.513,56.339,56.766,47.952,49.729,72.412,71.443,82.766,69.064,61.841,44.517,56.879,52.563,45.454,47.208,42.383,53.68,59.958,64.805,67.925,79.181,86.846,102.684,103.786,111.351,119.028,126.409,129.95,124.758,120.274,114.787,103.275,93.897,80.523,73.364,72.798,73.086,73.692,78.292,77.517,78.062,81.275,89.159,98.911,100,108.359,119.049,140.946
"37","30","          Nondurable goods","A725RA3",5.368,6.436,7.606,9.228,8.732,2.18,8.623,8.924,3.428,4.845,4.726,8.634,49.986,349.089,565.105,617.898,461.511,45.206,16.765,32.273,38.378,40.625,106.582,139.298,223.753,147.103,67.598,66.629,80.583,82.074,68.634,73.585,90.79,114.972,106.979,118.117,127.615,182.022,279.961,320.557,284.493,198.038,161.904,164.971,122.572,105.923,87.737,71.597,66.888,67.417,69.452,75.938,80.313,79.948,83.729,79.257,77.89,98.255,96.277,92.807,89.88,80.23,81.698,75.571,69.297,63.051,51.642,57.018,57.425,59.326,66.303,69.562,71.548,81.729,86.269,99.367,100,96.362,99.904,103.345
"38","31","          Services","A489RA3",0.221,0.208,0.144,0.192,0.217,0.156,0.205,0.23,0.234,0.24,0.358,0.41,2.004,4.567,4.945,14.94,15.301,9.806,2.627,3.974,5.204,5.029,14.394,19.429,15.622,13.143,17.148,19.264,25.799,25.44,22.829,25.944,28.371,29.753,31.963,29.228,28.947,34.518,41.034,41.708,39.475,36.018,36.04,32.011,29.985,30.388,28.497,28.981,29.365,28.976,30.011,33.817,37.158,44.566,47.188,50.817,57.748,61.034,64.771,66.43,64.301,64.276,64.092,60.415,58.133,58.132,56.995,58.401,58.643,56.103,60.259,59.157,66.133,76.469,90.633,98.325,100,102.261,103.984,112.234
"39","32","      Less: Own-account investment \4\","W088RA3",4.717,5.057,6.747,8.871,9.04,8.004,11.581,11.686,11.228,11.182,11.288,21.912,80.863,213.331,128.254,57.285,77.26,14.459,12.048,20.304,26.553,31.922,55.634,81.088,85.049,74.778,63.103,63.415,71.26,78.845,58.23,60.782,61.878,64.745,60.217,59.881,62.976,73.145,28.228,28.566,30.356,31.947,29.09,32.534,35.221,35.654,41.886,44.83,41.301,43.841,49.908,50.02,54.825,65.486,73.458,84.632,98.143,102.834,112.155,113.407,128.597,125.941,132.282,131.028,127.075,114.455,111.605,103.493,98.69,93.884,84.19,69.686,88.882,118.968,114.699,105.696,100,97.858,93.334,97.632
"40","33","            Sales to other sectors","W089RA3",21.847,15.83,9.172,3.326,3.446,4.747,3.08,2.036,3.79,4.297,3.808,1.861,24.894,117.507,353.94,579.918,1021.195,904.595,1.668,19.896,9.635,7.987,89.215,2.537,4.261,8.859,66.139,49.989,67.593,89.335,43.949,54.773,40.469,49.903,40.315,53.982,74.327,133.646,52.473,27.248,26.282,24.495,19.578,97.402,155.282,204.391,128.554,42.456,65.282,64.42,59.708,78.929,90.582,96.239,44.906,60.313,50.383,50.333,59.115,70.263,56.344,98.415,87.036,108.276,114.803,193.135,91.111,106.55,81.232,66.817,64.898,72.057,71.926,73.867,79.189,79.922,100,106.665,114.445,81.7
"41","34","    Nondefense consumption expenditures \1\","A542RA3",4.762,5.22,5.122,4.579,6.883,12.157,9.289,21.018,18.02,20.926,23.206,20.818,14.891,12.802,9.371,13.904,8.754,15.415,16.621,23.354,28.473,22.089,18.441,21.663,28.24,27.156,26.667,23.415,22.684,22.661,32.777,28.741,28.447,34.662,37.746,40.393,42.261,42.467,44.434,44.473,46.77,46.631,48.822,52.549,51.941,54.832,56.663,56.604,58.962,61.396,62.453,65.701,66.78,63.853,66.223,63.815,67.476,69.933,68.552,65.055,70.701,76.394,77.236,81.762,80.635,81.377,80.157,78.179,80.937,80.174,80.825,84.638,89.317,95.495,98.458,99.664,100,102.578,101.675,108.959
