"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"17","10","    Multimerchandise shopping","W036RC1",0.2,0.2,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.4,0.6,0.7,0.7,0.7,0.7,0.8,0.9,1,0.9,1,1.3,1.3,1.3,1.5,1.8,1.9,2.2,3,3.4,3.6,2.9,2.9,3.5,4.5,6,6.5,6.8,6,6.4,9.3,11.7,11.9,12.6,13.2,13.7,13.7,9.9,9.8,10.9,11.4,11.2,12.7,11.5,12.7,14.8,14.6,16.2,15.6,15.4,18.8,22.8,29.2,34.8,32.2
"18","11","    Food and beverage establishments","W037RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.7,0.8,1,1,1.2,1.6,1.9,1.9,1.5,1.6,1.9,2.4,3.2,3.5,3.6,3.2,3.5,5,6.3,6.4,6.8,7.2,7.4,7.4,5.4,5.3,5.9,5.7,6.7,7.1,8.1,8.7,8,8.6,8.7,7.9,8.4,8.2,7.8,7.4,8,8.2
"19","12","    Warehouses","W038RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,1,1.3,1.5,1.6,1.3,1.3,1.6,2,2.7,3,3,2.7,2.9,4.2,5.3,5.4,5.7,6,6.2,6.2,4.5,4.4,4.9,5.9,8.7,10.9,11.9,12.2,13.3,14.5,15.5,11.9,12.3,12.1,12.8,14.5,16.9,16.8
"20","13","    Other commercial \2\","W039RC1",0.2,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.8,1,1,1,1.1,1.3,1.4,1.6,2.1,2.5,2.6,2.1,2.2,2.6,3.4,4.5,5,5.2,4.6,4.9,7.1,8.9,9,9.5,10,10.4,10.4,7.6,7.4,8.1,11.3,12.2,13.1,15.4,15.9,16.9,19.5,17.8,18.3,16.5,18.8,17.6,16.7,20.3,18.3
"21","14","  Manufacturing","C307RC1",0.9,0.5,0.2,0.1,0.2,0.2,0.2,0.3,0.5,0.2,0.3,0.4,0.8,0.3,0.2,0.2,0.6,1.7,1.7,1.4,1,1.1,2.1,2.3,2.2,2,2.3,3.2,3.6,2.4,2.1,2.9,2.8,2.8,2.9,3.6,5.1,6.6,6,6,6.8,7,6.3,5.9,7.9,10,10.6,10.1,11.1,16.2,22,20.5,25.4,26.1,19.5,20.9,24.1,21,21.2,23.2,28.8,33.6,31.4,29,23.6,28.9,35.5,38.2,37.6,40.5,35.1,37.6,37.8,22.7,21.4,23.7,29.9,35.1,45.3,60.8
"22","15","  Power and communication","W003RC1",1.1,1,0.7,0.3,0.2,0.2,0.2,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.4,0.5,0.6,1,1.8,2.4,2.7,2.8,3,3.1,3.6,3.3,3.3,4.1,4.5,4.4,4.3,4.4,4.1,4.1,4.4,4.8,5.4,6.3,7.1,8.3,8.7,10.2,11,12.1,13.8,15.1,15.7,18.2,19.3,21.4,24.6,27.3,30,29.6,25.8,26.5,26.5,28.3,25.4,25,27.5,26.3,31.6,33.9,33.2,31.2,33.1,29.2,28.8,34.2,40.4,48.1,51.1,51,48.1,42.8,45.2,53.3,74.8,94.4
"23","16","    Power","W028RC1",0.7,0.7,0.5,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.7,1.3,1.7,2.1,2.3,2.5,2.5,3,2.7,2.5,3,3.5,3.5,3.4,3.3,3.1,3.1,3.2,3.4,3.9,4.7,5.5,6.6,6.5,7.3,8,8.8,9.9,10.8,11.9,14.2,14.8,15.8,17.7,19.6,21.8,21.1,18.2,18.5,18.3,19.3,16.2,15.5,17.9,16.5,22.6,24.9,23.6,21,22,17.4,16.4,21.7,22,29.3,31.5,32.6,33.6,27.4,26.3,31.2,47.3,68.9
"24","17","      Electric","C571RC1",0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.4,0.8,1,1.3,1.2,1.3,1.5,1.8,1.7,1.5,1.8,2.2,2.3,2,2,1.9,1.9,2,2.2,2.5,3,3.7,4.3,4.5,5.3,6,6.7,7.6,8.1,8.3,9.8,11.7,13,14.3,15.3,17,17.1,15.3,15.5,14.6,15.8,12.7,11.4,13.1,11.3,16.3,17.1,16.3,14.9,14.3,11.3,11.3,13,15.5,23.4,25.3,25,25.6,20.4,19.2,22.8,33.6,50.4
"25","18","      Other power","W029RC1",0.4,0.3,0.3,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.6,0.7,0.8,1.1,1.2,1,1.2,1,1,1.2,1.3,1.2,1.4,1.3,1.3,1.2,1.2,1.3,1.4,1.7,1.8,2.3,2,1.9,2,2.1,2.3,2.7,3.5,4.5,3,2.8,3.4,4.2,4.8,4.1,2.9,3,3.7,3.5,3.6,4,4.7,5.2,6.3,7.8,7.3,6.2,7.7,6.2,5,8.7,6.6,6,6.2,7.6,8,6.9,7.1,8.4,13.7,18.5
"26","19","    Communication","C314RC1",0.4,0.3,0.2,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.5,0.7,0.5,0.4,0.5,0.6,0.6,0.7,0.8,1.1,1.1,0.9,1,1.1,1,1,1.1,1.3,1.5,1.6,1.6,1.7,2.2,2.9,3,3.3,3.9,4.2,3.8,3.9,4.5,5.6,6.9,7.7,8.2,8.5,7.6,8,8.3,9,9.2,9.6,9.6,9.8,9,9,9.6,10.1,11.1,11.8,12.4,12.5,18.4,18.8,19.6,18.4,14.5,15.5,18.8,22.2,27.5,25.5
"27","20","  Mining exploration, shafts, and wells","E318RC1",0.4,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.4,0.4,0.4,0.5,0.3,0.4,0.6,0.7,0.8,0.9,1.2,1.2,1.4,1.7,2,2.1,2.3,2.5,2.7,2.6,2.4,2.5,2.3,2.3,2.5,2.3,2.4,2.4,2.5,2.4,2.6,2.8,2.8,2.7,3.1,3.5,5.2,7.4,8.6,11.5,15.4,19,27.4,42.5,44.8,30,31.3,27.9,15.7,13.1,15.7,14.9,17.9,18.5,14.2,16.6,16.4,15,16.8,22.4,22.3,18.3,23.7,34.6,30.2,38.4,51.9,77.1,114.2,142.5,165.9
"28","21","    Petroleum and natural gas","C319RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.8,1.2,1.2,1.4,1.6,1.9,2.1,2.2,2.4,2.6,2.5,2.3,2.4,2.2,2.2,2.3,2.1,2.3,2.3,2.3,2.3,2.3,2.5,2.5,2.3,2.7,3,4.5,6.5,7.5,10.1,14.1,17.7,25.6,40,42.7,28.5,29.6,26.3,14.6,12.3,14.9,13.9,16.8,17.2,12.9,15.3,14.6,13.8,15.3,21,21.2,17.3,22.4,33.3,28,36.6,49.1,73.5,109,136.8,160
"29","22","    Mining","C320RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.4,1.3,1.4,1.8,2.5,2.1,1.5,1.7,1.7,1.1,0.8,0.9,1,1.1,1.3,1.3,1.3,1.8,1.3,1.5,1.4,1.1,1,1.3,1.3,2.3,1.8,2.8,3.5,5.2,5.7,5.9
"30","23","  Other structures","W004RC1",1.8,1.6,1,0.5,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,0.9,0.8,0.8,1,1.2,2.7,2.6,2.9,2.9,2.9,3.2,3.3,3.5,3.6,3.7,4,4.1,4.2,4.7,5.2,5,5.2,5.6,6.2,7.2,7.8,7.8,7.3,7.8,7.8,7.9,8.6,9.9,10.3,10.1,11,12.5,15.2,18.5,20,21.2,21.3,23.3,28.1,31.8,30.7,33.7,32.5,34.3,37.6,33.2,31,34.5,34.9,40.6,48.9,57.2,62.2,64.7,69.4,68.9,59.3,58.9,62.9,63.7,74.6,90.9,103.3
"31","24","    Religious","C309RC1",0.1,0.1,0.1,0,0,0,0,0,0,0.1,0,0.1,0.1,0,0,0,0,0.1,0.1,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1,1,1,1,1,1.2,1.1,1.1,1.1,1,0.9,0.8,0.9,0.8,0.9,0.9,1,1.1,1.4,1.7,1.9,2,1.9,2.3,2.7,3.1,3.5,3.7,3.9,4.3,4.1,3.8,3.4,3.8,3.8,4.2,4.4,5.6,6.5,7.2,7.9,8.3,8.3,8.6,8.2,7.7,7.7,7.5,7.1
"32","25","    Educational and vocational","W044RC1",0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,1,1,1.1,1.1,0.9,1,1.1,1,0.7,0.7,0.7,0.7,0.9,1.1,1.6,1.7,1.9,2.1,2.3,2.7,3.2,4.7,3.8,4.3,4.8,4.9,5.1,5.3,5.5,6.2,7.6,9.8,10.9,10.4,12.7,13.8,14.2,14.3,13.5,13.8,14.4,16.9,18.2
"33","26","    Lodging","W045RC1",0.2,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.9,1.4,1.4,1.4,1.2,1.2,1.3,1.3,1.4,2,2.3,1.7,1.1,0.9,1,1.4,2.5,3.5,4.4,4.5,5.7,7.4,8.1,8.3,8.5,7.9,8.9,10.8,7.5,4.6,5.7,5.8,8.8,13.5,16,18.3,19.8,20.2,18,13,12.3,14.8,15.7,21.8,34,43.8
"34","27","    Amusement and recreation","W046RC1",0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,0.8,0.9,1,1,1.3,1.4,1.4,0.8,1,1.1,1.1,1.2,1.3,1.3,1.3,1.5,1.7,2.1,2.5,2.9,3.1,3.7,4.2,5.4,6.7,6.3,6.9,7.5,6.8,7.3,6.9,6.9,7.6,8,8.5,9.3,10.2,10.3,11.5,10.5,9.4,9,9.3,10.1,9,11.2,12.2,12.4
"35","28","    Transportation","W047RC1",0.9,0.8,0.5,0.3,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.8,0.7,0.8,0.9,0.9,0.8,0.9,1,1,0.9,0.8,1,1,0.7,0.7,0.7,0.6,0.6,0.7,0.8,0.9,1,0.9,1,1.1,1,1.1,1.2,1.3,1.6,1.6,2,2.4,2.9,3.2,3.2,3.4,3.3,3.4,4.1,4.7,3.6,3.2,3.2,3.4,3.4,3.1,3.6,3.9,4.2,4.4,5.4,6.1,7.2,6.5,6.8,7,6.8,6.6,6.8,7.1,8.7,9,9.9
"36","29","      Air","W048RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.7,0.8,1,1,1.2,1.3,2,2.2,1.4,1.1,1,0.9,0.9,1,0.9
"37","30","      Land \3\","W049RC1",0.9,0.8,0.5,0.3,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.7,0.8,0.9,0.8,0.8,0.9,1,1,0.9,0.8,0.9,0.9,0.7,0.6,0.7,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,0.9,1,1.1,1.2,1.5,1.4,1.9,2.2,2.7,2.9,3,3.1,3,3,3.6,4.2,3,2.6,2.5,2.8,2.7,2.5,3,3.2,3.5,3.6,4.5,5.1,6,5.1,4.9,4.9,5.3,5.5,5.8,6.2,7.8,8,9
"38","31","    Farm","C316RC1",0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.8,0.8,0.7,0.7,0.8,0.9,0.8,0.7,0.7,0.8,0.8,0.8,1.1,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.6,1.7,1.9,1.9,1.8,2.5,3.2,3.7,4,4.4,5.2,5.8,5.2,4.7,3.8,3.3,3.3,2.3,2.1,2.6,2.4,2.5,2.8,2.8,2.4,3.4,3.2,3,3.7,3.8,4.3,5.1,6,5.1,5.6,5.1,5.5,5.9,5.8,6.3,6.4
"39","32","    Other \4\","W050RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.4,1.5,1.7,1.9,2.2,2.8,4,3.4,3.9,3.3,3.6,4.3,4.3,5.1,4.7,4.3,5,4.3,3.8,3.9,3.5,4.3,3.3,2.4,2.7,3.3,3.1,4,4.4,4.6
"40","33","    Brokers' commissions on sale of structures","C321RC1",0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,1,1.1,1.1,1.3,1.4,1.5,1.3,1.3,1.3,1.4,1.6,1.8,2,2.2,2.3,2.4,2.4,2.1,2,2.1,2.2,2.6,3.2,3.6
"41","34","    Net purchases of used structures","E322RC1",0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0.1,0.6,0.4,0.2,0.1,0,0,0,0,-0.1,0.1,-0.2,-0.1,-0.1,-0.2,-0.3,-0.4,-0.5,-0.5,-0.5,-0.3,-0.2,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.4,-0.5,-0.4,-0.6,-0.7,-0.7,-0.8,-0.9,-0.8,-1.1,-1.4,-1.4,-1.4,-1.3,-1.2,-1.3,-1.1,-0.2,-1.3,-1.5,-1.5,1.5,-1.9,-2,-1.4,-0.8,-1.7,-2.8,-2.8
"42","35","Residential","A012RC1",3.9,2.3,1.7,0.7,0.6,0.9,1.2,1.6,2,2.1,3,3.4,4,2.1,1.4,1.3,1.7,7.6,11.8,15.3,14.3,20.2,18.1,18.2,19,20.7,24.6,23.1,21.7,21.9,27.5,25.8,25.9,28.4,31.5,33.6,33.5,31.6,31.6,37.9,41.6,40.2,54.5,68.1,73.6,64.1,60.8,80.4,107.9,128.9,137.8,119.8,118.9,102,148.6,175.9,183.1,214.6,227.9,233.2,233.4,218,199.4,230.4,259.9,295.9,296.5,327.7,342.8,379.2,418.5,441.2,464.4,501.3,569.1,671.4,765.2,751.6,618.6,467.2
"43","36","  Permanent site","A943RC1",3.2,1.7,1.4,0.5,0.3,0.4,0.8,1.3,1.6,1.7,2.4,2.7,3.2,1.6,0.8,0.7,0.8,5.2,8.3,11.2,10.7,16.1,13.8,13.4,13.9,15.4,18.6,16.5,15.1,15.4,19.7,17.5,17.4,19.9,22.4,24.1,23.8,21.8,21.5,26.7,29.2,27.1,38.7,50.1,54.6,43.4,36.3,50.8,72.2,85.6,89.3,69.6,69.4,57,95,114.6,115.9,135.2,142.7,142.4,143.2,132.1,114.6,135.1,150.9,176.4,171.4,191.1,198.1,224,251.3,265,279.4,298.8,345.7,417.5,480.8,468.8,354.1,229.9
"44","37","    Single-family structures","A944RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1,16.7,14.9,14.1,15.1,16,17.6,17.8,16.6,16.8,19.5,19.7,17.5,25.8,32.8,35.2,29.7,29.6,43.9,62.2,72.8,72.3,52.9,52,41.5,72.5,86.4,87.4,104.1,117.2,120.1,120.9,112.9,99.4,122,140.1,162.3,153.5,170.8,175.2,199.4,223.8,236.8,249.1,265.9,310.6,377.6,433.5,416,305.2,185.8
