"","Table 5#6#5BU2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35"
"29","20","D       Textile mills","X3130",88,-24,-100,-132,304,0,48,-172,-440,-128,-24,452,-640,-200,-492,-288,-460,-696,-964,-1208,-1352,-888,-164,-192,412,304,-32,-444,-356,-180,-212,-190
"30","21","D       Textile product mills","X3140",248,472,236,112,-40,-444,-308,-436,92,372,-8,324,440,776,400,304,16,-400,-140,328,-532,500,344,-100,412,-100,132,596,-276,220,288,158
"31","22","D       Apparel manufacturing","X3150",172,1112,456,-68,152,-576,-108,-96,-404,508,912,344,-688,-832,-120,508,-732,-1344,-2612,-2540,-1964,-768,288,160,568,568,-196,-476,-964,108,1172,243
"32","23","D       Leather and allied product manufacturing","X3160",-136,264,-92,128,-28,52,-40,-196,-180,68,44,104,8,-96,0,-76,144,-368,-48,-352,-376,68,204,324,48,20,-100,380,-256,-184,-76,321
"33","24","D       Paper manufacturing","X3220",36,-1624,916,1264,368,468,-528,-1716,132,20,1132,92,1428,968,-108,-1596,-752,-488,-88,304,-980,-632,-264,612,660,412,-516,-1644,-792,212,1204,979
"34","25","D       Printing and related support activities","X3230",-1128,988,-24,1056,-804,-144,752,-1436,-36,68,-228,924,672,-380,316,-400,296,-600,-596,-696,-1344,768,-504,740,-320,-612,316,-300,-48,880,1020,547
"35","26","D       Petroleum and coal product manufacturing","X3240",344,-1904,-28,-480,-4904,-2000,-2008,-656,140,1116,3944,3892,2624,2844,164,228,-80,784,-68,-2076,2020,1448,2344,812,1912,-2172,640,-1676,4384,2428,1624,788
"36","27","D       Chemical manufacturing","X3250",360,1384,2248,3948,3444,56,-940,-1548,1240,3964,80,6168,2076,5588,5768,1840,1472,-3452,-2048,-2260,-1776,-1008,5300,-1432,3636,2232,-316,660,7868,4812,-2272,8382
"37","28","D       Plastics and rubber product manufacturing","X3260",616,972,-248,284,-44,340,-540,324,-64,620,1824,1700,28,2704,60,248,-124,-2252,-1480,-1172,3936,-1616,1908,-900,2488,2148,-1980,1332,764,1664,4488,3754
"38",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","D     Materials and supplies","X30M0",7592,5712,10412,4416,10032,2108,-2692,-11724,1728,64,5692,20108,2956,17020,9164,4128,-1108,-11772,-18488,-14924,-7052,-9872,-4472,-8356,-1300,-8928,-12212,-3736,10540,12832,13088,11591
"40","30","D       Durable goods industries","X30DM0",5632,5920,8908,3428,7876,5560,-716,-7228,2976,-1176,3108,11964,16,15096,9144,8052,-3244,-9420,-15772,-10496,-5816,-8740,-5112,-5740,-5908,-6900,-10508,408,7456,12184,9392,9624
"41","31","D       Nondurable goods industries","X30NM0",1960,-208,1504,988,2156,-3452,-1976,-4496,-1248,1240,2584,8144,2940,1924,20,-3924,2136,-2352,-2716,-4428,-1236,-1132,640,-2616,4608,-2028,-1704,-4144,3084,648,3696,1967
"42","32","D     Work-in-process","X30W0",-3128,-3916,2824,6584,4476,10184,-108,160,-3584,-3744,3388,5788,84,-1908,-8800,3904,-7452,-10488,-6136,-16288,-12556,-1708,612,3536,2700,-3896,-2148,4568,7976,4200,-568,11014
"43","33","D       Durable goods industries","X30DW0",-2312,-5076,-724,3856,7044,10060,2192,928,-5156,-6868,5276,2208,248,-4300,-9772,2128,-5496,-8440,-7360,-13072,-14672,-3904,-4604,6868,-1284,-2844,-2628,5576,2996,4144,3900,8604
"44","34","D       Nondurable goods industries","X30NW0",-816,1160,3548,2728,-2568,124,-2300,-768,1572,3124,-1888,3580,-164,2392,972,1776,-1956,-2048,1224,-3216,2116,2196,5216,-3332,3984,-1052,480,-1008,4980,56,-4468,2410
"45","35","D     Finished goods","X30F0",1048,13284,1576,7056,5464,-3288,1432,5616,688,5656,8992,11092,11324,11168,12536,7668,3008,-3876,-15996,-10700,-7916,-916,8204,6800,2444,2636,-3276,192,4472,17088,19596,12655
"46","36","D       Durable goods industries","X30DF0",2232,10420,1756,1472,6300,-2196,2232,5484,1460,3284,836,4772,3076,3660,7504,4728,2576,-732,-9768,-8280,-4780,8,3308,2268,-1836,-3152,-4476,-612,128,5380,10768,3620
"47","37","D       Nondurable goods industries","X30NF0",-1184,2864,-180,5584,-836,-1092,-800,132,-772,2372,8156,6320,8248,7508,5032,2940,432,-3144,-6228,-2420,-3136,-924,4896,4532,4280,5788,1200,804,4344,11708,8828,9035
"48","38","D Wholesale trade industries","XWT0",17696,26860,8388,23572,19696,2804,18328,13624,14464,6604,24916,30208,30536,28236,12280,14520,-1176,-1356,-23524,-38112,-16488,312,19104,5328,5388,-4544,4112,18128,25420,36728,43508,37540
"49",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","D     Durable goods industries","XWTD0",12104,24288,1808,10760,19396,-944,13552,11468,7812,6708,11104,20372,16240,22252,3948,2964,-5796,-19372,-23980,-30064,-18104,-3400,11976,2392,1728,-5368,-6336,14660,20604,26720,38308,26408
"51","40","D     Nondurable goods industries","XWTN0",5592,2572,6580,12812,300,3748,4776,2156,6652,-104,13812,9836,14296,5984,8332,11556,4620,18016,456,-8048,1616,3712,7128,2936,3660,824,10448,3468,4816,10008,5200,11132
"52",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","D     Merchant wholesale industries","X42W0",15836,24440,9324,21548,18420,3672,17948,11736,13592,3836,21952,28356,26428,25368,7616,11404,-1812,-272,-16688,-33184,-13372,312,15896,2864,7892,-4244,6436,17084,22612,30048,37356,34144
"54","42","D       Durable goods industries","X42WD0",10208,22224,3264,9864,17116,-180,12508,9576,6912,4464,10296,19964,13876,21004,664,956,-6144,-18684,-18964,-26372,-15680,-3528,10052,1164,4468,-4440,-3804,13824,19020,23964,33628,24824
"55","43","D         Motor vehicles, parts, and supplies wholesalers","X42110",1404,3828,540,-2680,4468,-6980,1276,3528,1688,2392,3776,2176,3152,2912,-3508,1572,-1504,-3060,752,-4264,-2368,2092,3560,2056,1200,960,-4148,6236,3244,968,3340,-2040
"56","44","D         Furniture and home furnishings wholesalers","X42120",-748,688,388,204,-56,676,220,-48,108,200,88,780,576,1120,-204,420,136,-1156,-256,-664,-704,24,544,216,584,388,-92,908,416,-64,464,284
"57","45","D         Lumber and other construction materials wholesalers","X42130",520,1316,280,-412,-324,-128,-372,-156,632,928,920,240,956,300,-804,504,-596,-580,1360,-64,-124,376,620,280,572,180,248,2188,2884,3920,2820,1508
"58","46","D         Professional and commercial equipment wholesalers","X42140",196,7816,2512,1900,4660,-3856,-2296,-3628,816,-584,8,5044,-1452,-596,2016,-1752,-3692,-2372,-4960,-3464,-1048,1776,-192,-1128,1892,-668,1184,-336,596,2616,2308,3072
"59","47","D           Computers and software wholesalers","X421430",828,6280,2108,-104,3500,-3264,-3608,-1072,-1556,60,-1204,3152,-4668,-2188,1568,-2156,-2652,-3300,-3160,-2468,116,728,-980,-2144,784,-336,-672,828,-220,1240,936,1732
"60","48","D           Other professional and commercial equipment wholesalers","X4214X0",-632,1536,404,2004,1160,-592,1312,-2556,2372,-644,1212,1892,3216,1592,448,404,-1040,928,-1800,-996,-1164,1048,788,1016,1108,-332,1856,-1164,816,1376,1372,1340
"61","49","D         Metal and mineral (except petroleum) wholesalers","X42150",2300,1220,-272,64,1096,36,1412,368,-2588,488,-588,2668,3748,1816,-340,-3088,-1752,-888,-1332,-1772,-1316,532,3380,-608,-344,-556,-472,2640,7872,5980,8580,9912
"62","50","D         Electrical goods wholesalers","X42160",2568,232,-292,-1048,2396,2352,1024,852,412,1160,3956,6388,1068,3600,4244,4264,-48,-4400,-7956,-7832,-3996,-2132,1888,-792,-1188,-1268,-308,-708,3728,2812,1088,876
"63","51","D         Hardware and plumbing and heating equipment wholesalers","X42170",-624,952,268,72,1588,1168,48,396,324,72,48,716,936,2076,140,772,-768,-680,476,-856,-744,-164,436,8,1576,-1180,-408,304,204,1164,2144,2160
"64","52","D         Machinery, equipment, and supplies wholesalers","X42180",3232,7356,-2148,8968,3500,5216,7432,7896,4320,964,1000,-904,1304,4812,964,-2576,2624,-656,-5332,-6720,-4380,-5404,-716,508,-1092,-2272,-2200,-1544,104,5224,5016,8016
"65","53","D         Miscellaneous durable goods wholesalers","X42190",1360,-1184,1988,2796,-212,1336,3764,368,1200,-1156,1088,2856,3588,4964,-1844,840,-544,-4892,-1716,-736,-1000,-628,532,624,1268,-24,2392,4136,-28,1344,7868,1036
"66","54","D       Nondurable goods industries","X42WN0",5628,2216,6060,11684,1304,3852,5440,2160,6680,-628,11656,8392,12552,4364,6952,10448,4332,18412,2276,-6812,2308,3840,5844,1700,3424,196,10240,3260,3592,6084,3728,9320
"67","55","D         Paper and paper products wholesalers","X42210",468,-60,1648,504,664,-148,-352,44,216,444,644,-440,1752,680,664,540,-336,-524,-776,-840,-856,524,-216,32,188,96,40,976,-108,1092,1824,516
"68","56","D         Drugs and druggists' sundries wholesalers","X42220",1148,960,3016,1364,3968,836,724,2464,3320,5608,2176,1804,4560,2924,4800,5356,1896,10128,8644,4936,-904,-1172,408,6832,4512,224,2232,-4420,2060,-356,508,-2128
"69","57","D         Apparel, piece goods, and notions wholesalers","X42230",2244,1712,8,2156,-736,488,-88,392,-1516,-2876,-892,1692,776,-212,148,-928,2308,2292,-1440,-3576,-1064,-824,2948,-1656,-140,-232,-1316,-720,288,-1460,3328,660
"70","58","D         Grocery and related products wholesalers","X42240",-224,420,-388,3328,-164,2108,-132,-1048,2872,-328,3756,2296,-188,-1048,2708,1056,-1272,-304,-1540,-128,1364,3964,-1016,348,840,-2668,2776,1240,-576,1528,-144,2660
"71","59","D         Farm product raw material wholesalers","X42250",1356,140,-1236,2604,-3120,-644,3120,664,-768,-464,2152,-2168,3448,272,-1652,3092,36,2020,652,-2540,2956,184,1672,-6060,-184,3308,1776,4924,6180,-3772,-8484,-2752
"72","60","D         Chemical and allied products wholesalers","X42260",444,548,84,-40,-496,368,1008,136,-16,-272,240,968,388,0,-524,-380,168,492,-40,-384,-244,132,656,192,-36,36,-120,440,-972,196,936,772
"73","61","D         Petroleum amd petroleum products wholesalers","X42270",-1292,-1124,72,220,-1080,212,220,-1716,652,676,688,-600,1016,392,-36,948,-780,280,-604,296,1508,-372,504,740,-1016,300,1668,832,-852,1284,3680,2796
"74","62","D         Beer, wine, and distilled alcoholic beverages wholesalers","X42280",-1080,964,428,1228,1408,-392,572,-344,2452,-920,-196,140,440,40,420,772,-660,580,-256,-256,984,12,420,1236,132,136,276,428,-912,1464,-96,1584
"75","63","D         Miscellaneous nondurable goods wholesalers","X42290",2564,-1344,2428,320,860,1024,368,1568,-532,-2496,3088,4700,360,1316,424,-8,2972,3448,-2364,-4320,-1436,1392,468,36,-872,-1004,2908,-440,-1516,6108,2176,5212
"76","64","D     Nonmerchant wholesale industries","X42N0",1860,2420,-936,2024,1276,-868,380,1888,872,2768,2964,1852,4108,2868,4664,3116,636,-1084,-6836,-4928,-3116,0,3208,2464,-2504,-300,-2324,1044,2808,6680,6152,3396
"77","65","D       Durable goods industries","X42ND0",1896,2064,-1456,896,2280,-764,1044,1892,900,2244,808,408,2364,1248,3284,2008,348,-688,-5016,-3692,-2424,128,1924,1228,-2740,-928,-2532,836,1584,2756,4680,1584
"78","66","D       Nondurable goods industries","X42NN0",-36,356,520,1128,-1004,-104,-664,-4,-28,524,2156,1444,1744,1620,1380,1108,288,-396,-1820,-1236,-692,-128,1284,1236,236,628,208,208,1224,3924,1472,1812
"79","67","D Retail trade industries","X440",-6316,17380,14092,16444,33012,8700,6664,7344,31160,12396,21756,51856,9588,38756,23584,21132,-16328,8436,3480,-42580,17652,28840,18164,34732,31036,-300,13052,8548,26352,40128,-12168,26724
"80","68","D   Motor vehicle and parts dealers","X4410",-4260,3788,5056,11616,13352,-940,-3688,-1228,19600,516,10004,25920,3836,25836,17096,6852,-20048,10472,5784,-32688,18384,18216,4140,28656,20032,424,1148,-4936,15000,18296,-19680,-2320
"81","69","D   Furniture, furnishings, electronics, and appliance stores","X44230",-104,176,-744,-196,1232,-324,304,988,136,1692,1596,1880,1840,2512,-1184,2560,-1260,-3024,-2068,960,2960,860,1920,-1252,-160,3228,1668,3448,952,1828,428,3752
"82","70","D   Building material and garden equipment and supplies dealers","X4440",372,2264,2536,648,2932,416,3184,2736,1924,1456,2248,4120,1460,4056,2252,-1216,100,604,-148,-548,4004,1456,1960,3540,3372,2056,6868,3744,5892,8968,5008,10640
"83","71","D   Food and beverage stores","X4450",-20,24,1600,-728,1956,2028,120,856,2156,880,3224,2176,-148,-1292,524,324,2616,1572,-28,1376,-1292,-100,1348,640,756,-8,1256,-1048,476,3216,-620,1872
"84","72","D   Clothing and clothing accessories stores","X4480",-1820,3596,1696,1440,1888,1944,1992,-1176,2184,1560,-2936,3972,360,2440,3304,4428,-724,-600,64,-3440,-2536,2944,2908,2136,3892,-1296,-568,108,1172,1132,-788,656
"85","73","D   General merchandise stores","X4520",-2964,3140,-1252,1532,1860,564,2700,-1620,2124,784,2456,5452,380,1788,-1304,2280,6536,704,-1664,-5216,-2988,948,3940,5096,-860,188,732,3568,3172,3184,440,7224
"86","74","D     Department stores","X45210",-1468,1856,-1524,1820,168,-708,728,-3268,404,-680,-172,2324,-1628,-312,-2596,620,1700,-1164,-1276,-7032,-4864,-1924,164,800,-2304,-1720,-1468,-1704,140,-1148,-976,1396
"87","75","D     Other general merchandise stores","X45290",-1496,1284,272,-288,1692,1272,1972,1648,1720,1464,2628,3128,2008,2100,1292,1660,4836,1868,-388,1816,1876,2872,3776,4296,1444,1908,2200,5272,3032,4332,1416,5828
"88","76","D   Other retail stores","X44X0",2480,4392,5200,2132,9792,5012,2052,6788,3036,5508,5164,8336,1860,3416,2896,5904,-3548,-1292,1540,-3024,-880,4516,1948,-4084,4004,-4892,1948,3664,-312,3504,3044,4900
"89","77","D Other industries","XOTH0",7544,3364,3068,5468,1916,4716,4840,7924,6504,9512,8136,6228,14948,14700,17876,6076,3024,192,-1868,-4332,-4560,984,-1920,-1900,-140,2356,1016,652,3120,2804,4152,5288
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
