"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"24","17","  Federal grants-in-aid","W846RC1",1.3,3.2,3.8,5.9,8.9,8.7,11.2,13.6,16,20.4,18.1,17.6,14.8,13.5,13,13.3,13.6,13.2,9,9.5,6.8,6.7,7,7.4,8.1,9.9,10.5,12.6,14,17.9,20.1,20.5,22.4,23.7,36.6,28.8,31.1,26.6,26.8,24.4,25.3,31.9,31.4,19.2
"25","18","  State government grants-in-aid","W847RC1",26.4,30.4,34.3,38.5,42.6,47.3,52.8,57,61.6,68.2,76.3,84.6,91.3,95.3,99.9,109.8,121.2,130.1,139.5,149.8,162.6,173.1,186.1,201,212.9,226.2,239,250.3,263,282.4,306.6,331,350.7,367.5,383.5,401.6,413.9,441.7,469.2,486.1,486.3,488.8,494.6,502.8
"26","19","  From business (net)","W848RC1",0.4,0.4,0.5,0.5,0.7,0.9,1,1.1,1.3,1.5,1.8,2,2.4,2.7,3,3.4,3.5,3.9,4,4.3,5.1,5.5,5.9,6.7,7.7,8.6,9.4,10.2,11.1,11.8,12.7,13.5,13.7,15.4,17.2,18.8,18.1,20.6,21.5,22.4,22.3,23.3,24.4,23.1
"27","20","  From persons","W849RC1",0.7,0.8,0.9,1.1,1,1.1,1.4,1.7,1.9,2.2,2.6,3,3.7,4.1,4.5,5.2,5.7,6.5,6.7,6.9,7.5,8,8.7,9.8,11.4,12.9,14.3,15.7,17.3,17.9,19.3,20.8,22.3,24.1,27.1,29.1,29.6,31.3,32.5,32.6,33.3,33.1,33.9,35.1
"28","21","Current surplus of government enterprises","W850RC1",0.7,0.8,0.6,0.9,0.8,0.5,0.3,0.3,0.2,0.1,-0.4,-1,-1.8,-1.2,-0.2,1,2.1,1.8,2.4,3.7,4.6,4.7,5,4.9,5.8,5.9,8.4,10.6,9.8,8.2,9.7,8.3,6.2,3.5,-0.4,-4.4,-4.6,-5.9,-10.1,-12.6,-12.1,-10.4,-7.4,-5.2
"29","22","    Current expenditures","W851RC1",64.9,74.7,85.6,95.6,104.3,117,134.3,144,156.9,170.1,184,201.1,219.4,237.1,255.8,275.2,298.8,323.8,348.3,371.3,407,441.2,472.9,509.2,529.6,555.8,584.3,608,634.8,665.1,706.6,753.6,811.2,866.4,921,975.2,1024.3,1082.8,1150.6,1209.6,1255.2,1270.8,1256.2,1250.2
"30","23","Consumption expenditures","W852RC1",58.1,66.3,75.4,83.9,91.5,102.4,116.5,124.4,135.5,146.8,159.4,174,189.2,203.7,217.2,233,254.4,275,295.6,316.5,347.4,379,404.7,435.2,453.4,477.7,503.2,528.4,554.5,587.4,629.4,676.3,725.4,770.8,808,860.5,909.2,964.8,1026.8,1081,1096.7,1107.1,1092,1076.7
"31","24","Current transfer payments","W853RC1",3.2,4.1,5,5.6,5.9,6.7,8.3,9.5,10.4,11.3,11.1,12.3,13,13.3,15.2,16.4,17.2,18.2,18.8,19.6,20.7,22.9,26.5,29.5,31.7,33.4,34,33.8,34.2,34.5,34.9,37,38.9,41.3,43.8,46.8,48.1,48.2,52.5,54.5,56.1,58.9,58.7,59.2
"32","25","  Government social benefit payments to persons","W854RC1",2.4,3.2,4,4.5,4.7,5.4,6.6,7.3,8,8.7,8.9,9.9,10.4,10.2,11,11.4,12.1,12.9,13.4,14.1,15,16.6,18.9,20.5,21.6,22.4,22.9,21.8,20.8,21.1,22.1,23,24,25.8,27.3,29.2,31.4,32.6,34.8,36.8,39.6,42.3,42.1,42.4
"33","26","  Grants-in-aid to state governments","W855RC1",0.8,0.9,1,1.1,1.2,1.3,1.7,2.3,2.4,2.5,2.2,2.3,2.7,3.1,4.2,5,5.2,5.3,5.5,5.6,5.8,6.2,7.6,9,10.1,11,11.1,12,13.5,13.3,12.9,14,14.9,15.5,16.4,17.6,16.6,15.6,17.7,17.7,16.5,16.6,16.6,16.8
"34","27","Interest payments","W856RC1",3.6,4.3,5.2,6.1,6.8,7.9,9.2,9.8,10.7,11.7,13.2,14.5,16.7,19.6,22.8,25.3,26.4,29.6,32.6,33.8,37.6,38,40.3,43.2,43.1,43.3,45.8,44.5,44.5,41.7,40.7,38.6,45.3,52.8,67.7,65.9,65,67.8,69.7,73,101.4,103.7,104.5,113.2
"35","28","Subsidies","W857RC1",0,0,0,0,0,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,1,1.2,1.2,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.6,1.6,1.7,1.6,1.5,1.6,1.9,2.1,2,1.6,1.1,1,1,1,1.1
"36","29","    Net local government saving","W859RC1",5.3,6.7,5.3,6.3,9.8,6.8,3.5,6.8,8.4,10.4,7.2,7.2,7.5,7.3,6.7,14.7,19.6,18.7,11.9,16.6,13,5,3,-8.1,-7.4,1.2,0.3,9.4,17.6,25.3,32.9,38.3,14.2,-1.2,-5.3,-17.4,-7.9,6.4,4.3,-45.2,-84,-86.3,-55.9,-45.8
"37","30","Social insurance funds","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","31","Other","W861RC1",5.3,6.7,5.3,6.3,9.8,6.8,3.5,6.8,8.4,10.4,7.2,7.2,7.5,7.3,6.7,14.7,19.6,18.7,11.9,16.6,13,5,3,-8.1,-7.4,1.2,0.3,9.4,17.6,25.3,32.9,38.3,14.2,-1.2,-5.3,-17.4,-7.9,6.4,4.3,-45.2,-84,-86.3,-55.9,-45.8
"39",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","32","  Total receipts","W862RC1",73.3,84.2,94.3,105.6,118.3,129.5,144.2,158.1,173.6,189.3,201.3,219.3,238,255.2,273.3,301.2,329.8,354.4,371.9,399.5,432,458.9,489,514.6,536,571.1,600.6,634.2,669.6,707.9,758,812.2,849.3,888.1,939.3,982.3,1042.6,1114.8,1183.2,1194.1,1203.7,1223.7,1236.3,1242.6
"41","33","    Current receipts","W830RC1",70.1,81.4,90.9,101.9,114,123.8,137.7,150.8,165.3,180.5,191.3,208.3,226.9,244.4,262.5,289.9,318.4,342.5,360.1,387.9,420,446.2,475.9,501.1,522.2,556.9,584.6,617.4,652.4,690.4,739.5,791.8,825.4,865.1,915.7,957.8,1016.4,1089.2,1154.8,1164.4,1171.2,1184.5,1200.4,1204.4
"42","34","    Capital transfer receipts","W864RC1",3.2,2.9,3.4,3.7,4.2,5.7,6.5,7.3,8.3,8.8,10.1,10.9,11.1,10.8,10.8,11.3,11.4,11.9,11.8,11.6,12,12.7,13.1,13.5,13.9,14.2,16,16.7,17.3,17.5,18.6,20.4,23.9,22.9,23.7,24.5,26.2,25.6,28.4,29.8,32.5,39.2,35.9,38.2
"43","35","  Total expenditures","W865RC1",76.4,85.1,96,105.4,115.4,131.5,150.8,160,171.6,188.5,204.7,224.4,241,257.5,275.7,298.2,325.9,355.1,381.1,406.6,446.9,487.3,520,555.2,572.5,599.7,634,664.1,698.8,732.3,783.5,837.1,901.5,964.8,1021.9,1076.3,1125.3,1192.5,1274.2,1337.3,1376.4,1376.3,1342.6,1327.9
"44","36","    Current expenditures","W851RC1",64.9,74.7,85.6,95.6,104.3,117,134.3,144,156.9,170.1,184,201.1,219.4,237.1,255.8,275.2,298.8,323.8,348.3,371.3,407,441.2,472.9,509.2,529.6,555.8,584.3,608,634.8,665.1,706.6,753.6,811.2,866.4,921,975.2,1024.3,1082.8,1150.6,1209.6,1255.2,1270.8,1256.2,1250.2
"45","37","    Gross government investment","W867RC1",16,15.5,16.1,16.2,18.2,23.2,26.8,27.3,27,32,35.9,40.8,41.5,42.2,42.8,46.8,52.1,57.6,60.9,65.4,72,80.4,84,84.9,84.3,87.7,96.1,105.4,115.8,120.7,133.8,145.4,154.6,165.8,171.6,177.4,185,200.7,222.8,234.5,234.5,222.8,208.7,205.3
"46","38","    Capital transfer payments","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","39","    Net purchases of nonproduced assets","W868RC1",0.8,0.9,0.9,0.9,1.1,1,1,0.9,0.9,1,1.2,1.4,1.5,1.4,1.4,1.7,2,2.4,2.6,2.8,3.3,4,4,4,4.2,4.6,5,4.4,4.2,5.6,6.2,6,7.5,8,8,8.2,8.3,8.9,9.9,10.2,9.1,8.1,8,8.1
"48","40","    Less: Consumption of fixed capital","W869RC1",5.3,6,6.6,7.3,8.1,9.7,11.3,12.2,13.2,14.6,16.5,18.9,21.4,23.2,24.2,25.4,26.9,28.7,30.7,32.9,35.4,38.3,40.8,42.9,45.6,48.3,51.3,53.8,56.1,59.1,63.1,67.9,71.8,75.3,78.7,84.5,92.3,99.9,109.1,116.9,122.4,125.3,130.4,135.7
"49","41","  Net lending or net borrowing (-)","W870RC1",-3.1,-0.8,-1.7,0.2,2.8,-2.1,-6.6,-1.9,2,0.8,-3.4,-5.1,-3,-2.3,-2.4,3,3.8,-0.7,-9.2,-7.1,-14.9,-28.4,-31,-40.6,-36.5,-28.6,-33.5,-29.9,-29.1,-24.3,-25.5,-24.9,-52.2,-76.8,-82.5,-94,-82.7,-77.7,-91,-143.1,-172.7,-152.6,-106.3,-85.2
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. State receipts plus local receipts and state expenditures plus local expenditures do not sum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","to the consolidated state and local government account totals because grants-in-aid from states",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to local governments and from local to state governments are netted in the consolidated account",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","totals. In addition, the receipt category ""surplus of government enterprises"" and the expenditure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","category ""subsidies"" do not sum to the consolidated account totals because the level of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","making subsidy payments accounts for them as subsidies while recipient governments account for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","them as surpluses of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
