"","Table 5#9#5B# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"28","21","        Public safety","W186RC1",2,2,1.9,1.7,1.2,1.3,0.8,0.5,0.3,0.2,0.5,0.5,0.5,0.4,0.8,0.6
"29","22","        Amusement and recreation","W187RC1",0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.3,0.2,0.1,0.2,0.2,0.3,0.6,0.5,0.3
"30","23","        Transportation","W188RC1",0.4,0.4,0.4,0.4,0.4,0.6,0.3,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.2
"31","24","        Power","W189RC1",0.1,0.1,0.1,0.1,0.2,0.3,0.9,0.9,0.8,0.8,0.4,0.8,0.9,0.9,1.3,0.9
"32","25","        Highways and streets","W190RC1",0.5,0.5,0.4,0.6,0.5,0.6,0.6,0.7,0.5,0.5,0.7,0.6,0.6,0.9,0.6,0.5
"33","26","        Conservation and development","W191RC1",1.7,1.8,2,2,2.3,2.5,2.6,2.4,2.6,3.1,3.1,3.1,3.9,5.3,5.4,4.3
"34","27","        Other \4\","W192RC1",0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.7,1.4,1.7,1.6,1.2,1.1,1.2,1.4,1.4
"35","28","      Net purchases of used structures","B841RC1",-0.3,0.9,0.9,-1.1,-1.1,0.1,-0.2,-1.5,-2.6,-1.2,0,1.1,0.3,1.5,-0.5,-0.5
"36","29","  State and local","A842RC1",139.5,143.6,159.7,176,192.3,205.8,211.1,219.1,231.5,251.2,271.2,285.3,289.8,280.5,265.8,262.7
"37","30","    New","A843RC1",136.6,140,155.7,172,191,200.6,205.2,213.3,226.7,246,264.3,278.2,283,274.2,259.7,256.6
"38","31","      Residential","W147RC1",4.3,4.3,4.6,4.2,5,5.3,5.5,6,6.1,4.5,5,4.8,5.7,7.6,6.1,4.8
"39","32","      Office","W193RC1",11,12.1,13.6,15.4,17.6,19.3,19.2,20.2,20.7,17.6,19.2,20.5,21.3,20.4,18,15.6
"40","33","      Commercial","W194RC1",0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4
"41","34","      Health care","W195RC1",3.2,3.2,3,3,3.3,4.1,4.2,4.4,5,4.7,5.7,6.1,6.1,5.8,6.2,6.8
"42","35","      Educational","W148RC1",33.8,35,41.1,45.7,51.3,54.6,56.7,59.6,63.8,72.3,77.3,82.6,82.8,72.4,69.4,67.1
"43","36","      Public safety","W196RC1",3.9,4.2,4.5,4.6,4.6,4.3,3.9,4,4.1,3.8,4.6,4.8,4.7,4.3,4.4,4.6
"44","37","      Amusement and recreation","W197RC1",4.6,4.7,5,6.2,6.9,7,6.3,6.4,7,6.2,7.3,7.7,7.7,6.9,6.3,6.4
"45","38","      Transportation","W198RC1",10.3,10.1,11.4,15.1,16.2,17.5,18.3,18.3,17.8,15.2,17.1,19.1,21.4,21.4,20.2,21.3
"46","39","      Power","W199RC1",3.1,2.4,3.2,3.9,3.9,4.2,6.3,5.5,6.1,7.7,10.8,10.2,11.2,10.4,9,9.4
"47","40","      Highways and streets","W149RC1",43,44.8,49.2,53.1,59.1,58.3,57.7,60,65.5,73.5,74.4,78.6,80.4,81.9,80,81.3
"48","41","      Sewer systems","W150RC1",9.5,8.8,9,8.9,10.3,11.7,12.4,13.6,14.7,20.1,21,22,21.1,22.2,20.2,19.4
"49","42","      Water systems","W168RC1",7.6,7.8,8.5,8.5,9.8,11.1,11.3,11.9,12.7,16.9,16.8,17.2,16.8,17,15.1,14.7
"50","43","      Conservation and development","W169RC1",1.9,1.9,2.2,2.8,2.5,2.2,2.2,2.5,2.6,2.5,3.3,3.4,3.1,3.1,3.5,3.8
"51","44","      Other \5\","W200RC1",0.3,0.4,0.2,0.3,0.2,0.6,1,0.4,0.3,0.5,1.2,0.5,0.1,0.5,0.9,1
"52","45","    Net purchases of used structures","B870RC1",2.9,3.6,4,4,1.3,5.3,5.9,5.9,4.9,5.3,6.9,7.1,6.8,6.3,6.1,6.1
"53","46","Equipment","Y054RC1",75.6,78.9,86.1,87.4,88.2,95.6,100.2,107.2,113,123.3,130.7,147.1,148.3,151.2,146.3,146.7
"54","47","  Federal","Y058RC1",43.6,44.2,48.7,48.6,49.8,57.6,62.6,70.1,75.9,84.2,86.8,101.4,103.7,109.4,105.5,105.6
"55","48","    National defense","Y050RC1",33.6,34,36.8,37.8,39.9,45.6,50.2,56.7,60.7,66.8,70.8,83.8,86,90.3,87,86.2
"56","49","      Aircraft","B874RC1",5.8,5.8,7,7.8,8.5,9.4,9.4,11.1,13.5,13.6,12.9,13.7,13.5,16.9,20.2,21
"57","50","      Missiles","B875RC1",2.9,3.3,2.9,2.7,3.3,3.3,3.5,4,4,4.5,4.3,4.3,5.1,5.6,5.1,6.9
"58","51","      Ships","B876RC1",6.1,6.4,6.8,6.6,7.2,8.7,9.5,10,9.8,10.5,10.3,11,11.1,11.8,11.7,11.9
"59","52","      Vehicles","B877RC1",1.4,1.5,1.7,1.9,2,2.6,3.2,2.8,3.9,4.9,6.2,9.3,9.2,9.5,7.1,5.7
"60","53","      Electronics","Y051RC1",3.4,3.3,3.8,4,3.9,4.3,5,5.7,6.6,8.2,10.3,13.4,13.2,12.5,10.3,9.1
"61","54","      Other equipment","B879RC1",14,13.8,14.8,14.9,14.9,17.3,19.6,23,22.9,25.1,26.7,32.1,33.9,34,32.6,31.5
"62","55","    Nondefense","Y066RC1",10,10.2,11.9,10.8,10,12,12.4,13.4,15.2,17.4,16.1,17.6,17.7,19.1,18.5,19.5
"63","56","  State and local","Y070RC1",32,34.7,37.4,38.8,38.4,38,37.6,37.2,37.1,39.1,43.9,45.7,44.5,41.8,40.9,41.1
"64","57","Intellectual property products \2\","Y055RC1",98.3,102.3,106.5,113.2,119.7,126,136.5,145.5,153.9,160.6,169,177.2,179.8,187.4,190.5,186.9
"65","58","  Federal","Y059RC1",84.1,86.8,90,95,100.6,106.6,116.3,124.4,131.7,136.6,143.2,149.3,151.1,157.9,159.9,155.8
"66","59","    National defense","Y052RC1",39.2,39.4,39.3,40.2,42.5,47,53.7,59.8,64.5,67.5,71.9,73.8,71.8,72.6,72.7,70.5
"67","60","      Software","Y053RC1",5.6,5.9,5.9,6,5.8,5.6,5.4,5.7,5.9,6.2,6.5,6.9,6.8,7.3,7.6,7.7
"68","61","      Research and development","Y076RC1",33.6,33.5,33.3,34.2,36.7,41.4,48.2,54.1,58.5,61.3,65.4,67,65,65.3,65,62.9
"69","62","    Nondefense","Y067RC1",44.9,47.5,50.7,54.8,58.1,59.6,62.7,64.6,67.3,69.2,71.3,75.5,79.3,85.3,87.2,85.3
"70","63","      Software","Y068RC1",7.7,9.2,10.4,11.6,12.3,11,11,11.4,12.3,13.1,14.2,15.2,15,16,16.8,17.2
"71","64","      Research and development","Y069RC1",37.1,38.3,40.3,43.2,45.8,48.6,51.6,53.2,54.9,56.1,57.2,60.3,64.3,69.3,70.4,68
"72","65","  State and local","Y071RC1",14.3,15.5,16.5,18.1,19.1,19.4,20.2,21.2,22.1,24,25.8,27.8,28.7,29.5,30.6,31.2
"73","66","    Software","Y072RC1",7.4,8.2,8.7,9.5,9.8,9.4,9.7,10.2,10.6,11.2,11.7,12.3,12.2,12.2,12.8,13.4
"74","67","    Research and development","Y073RC1",6.9,7.3,7.9,8.6,9.3,10,10.5,10.9,11.6,12.8,14.1,15.5,16.5,17.3,17.8,17.8
"75",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","68","  Government enterprise gross fixed investment","A882RC1",49,51.1,56.9,58.7,64.1,71.2,78.2,77.6,79.9,87,94.6,100.4,104.5,108.2,98.5,96.9
"77","69","    Federal","A883RC1",6.2,7.8,8.5,5.9,5.6,5.7,6.7,5.7,7.4,7.4,7,8.1,7.6,9.6,8.1,7.2
"78","70","      Structures","B884RC1",2.5,3.1,3.6,1.5,2.2,2.1,2.5,1.5,2.4,2.5,2.3,3.8,3.1,4.7,3.2,2.3
"79","71","      Equipment","Y074RC1",2.3,3,3.1,2.3,1.3,1.7,2.2,2.2,2.9,2.6,2.3,1.6,1.9,2,2,1.9
"80","72","      Intellectual property products","Y075RC1",1.3,1.6,1.8,2.1,2.1,2,2,2.1,2.2,2.3,2.5,2.7,2.6,2.8,2.9,3
"81","73","    State and local","A886RC1",42.9,43.3,48.4,52.7,58.5,65.5,71.5,71.9,72.5,79.6,87.5,92.4,96.9,98.6,90.4,89.7
"82","74","      Structures","B887RC1",37.5,36.9,41,45.5,50.8,56,60.5,61,62.4,69.5,77.4,80.5,83.5,85.6,77.7,76.9
"83","75","      Equipment","Y077RC1",5.1,6.1,7.1,6.9,7.3,9.1,10.7,10.5,9.7,9.7,9.7,11.4,12.9,12.5,12.2,12.3
"84","76","      Intellectual property products","Y078RC1",0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5
"85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Structures, software, and research and development include compensation of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","employees engaged in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
