"","Table 3#15#2# Contributions to Percent Change in Real Government","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"15","6","  Transportation","W589RZ2",-0.05,-0.01,-0.05,-0.02,-0.16,-0.37,-0.03,-0.08,0.07,0.66,0.52,-0.14,-0.59,-0.3,0.44,0.77,0.48,0.2,0.03,0.19,0.09,0.39,0.14,0.13,0.27,0.29,-0.21,0.07,0.22,0.25,0.39,0.26,0.47,0.37,0.15,-0.21,-0.32,-0.09,-0.24,-0.01,0.23,-0.03,-0.29,-0.02
"16","7","  Space","W595RZ2",-0.37,-0.23,-0.15,-0.12,-0.19,-0.04,-0.03,-0.08,-0.05,-0.08,-0.01,0.07,0.02,-0.03,0.07,-0.02,0.06,-0.03,0.09,0.12,0.2,0.19,0.05,-0.01,-0.02,-0.08,-0.04,0.05,0.03,-0.06,-0.04,-0.03,0.02,0.07,0.01,0.02,-0.01,-0.03,0.06,0.04,0.01,-0.03,-0.07,-0.09
"17","8","  Other economic affairs","W596RZ2",0.48,-0.2,0.36,0.34,0.02,0.18,0.43,0.35,0.5,1.1,0.16,0.39,0.56,-0.51,0.06,-0.5,0.63,0.33,-0.44,-0.79,0.45,0.26,-0.18,0.46,-0.09,-0.13,0.01,-0.07,0.21,-0.02,0.4,0.23,-0.05,-0.27,-0.06,-0.11,-0.09,0.12,0.25,-0.02,0.24,0.32,-0.48,-0.02
"18","9","Housing and community services","W597RZ2",-0.18,0.03,0.09,-0.17,0.09,0.12,0.01,-0.04,-0.2,0.21,0.01,0.19,-0.2,-0.12,-0.15,0.15,0.12,0.22,0.16,0.03,0.02,0.13,0.08,-0.01,-0.09,-0.16,0.02,0.11,0.07,0.03,0.06,-0.17,0.19,0.16,0.03,-0.05,-0.02,0.18,-0.03,-0.02,0.02,0.04,-0.25,-0.14
"19","10","Health","W598RZ2",0.25,0.36,0.22,0.32,0.23,0.34,0.23,0.03,0.08,0.23,0.05,0.43,-0.02,0.07,0.12,0.32,0.22,0.16,0.31,0.31,0.37,0.42,0.26,0.17,0.07,0.05,-0.09,0.03,-0.01,0.08,0.22,0.17,0.18,0.65,0.48,0.1,0.23,0,0.37,0.31,0.36,0.1,0,0.34
"20","11","Recreation and culture","W599RZ2",0.08,0.03,0.02,0.01,0.04,0.11,0.1,-0.02,-0.03,0.06,0.01,-0.03,-0.05,0,-0.02,0.03,0.07,0.06,0.01,0.02,0.06,0.07,0.03,0.01,-0.01,0.02,0.04,0.06,0,0.05,0.02,0.1,0.08,0.09,-0.06,-0.02,0,-0.03,0.04,0,0.04,-0.03,-0.08,-0.02
"21","12","Education","W600RZ2",0.75,0.79,0.77,0.66,0.72,0.9,1.06,0.24,0.02,0.34,-0.01,-0.32,-0.3,-0.09,0.39,0.54,0.97,1.13,0.3,1.19,0.92,0.7,0.45,0.4,0.32,0.9,1.29,0.78,1.16,1.09,1.02,1.11,0.96,0.35,-0.02,0.3,0.13,0.41,0.51,0.24,0.18,-0.77,-0.77,-0.24
"22","13","Income security","W605RZ2",0.15,0.14,0.12,0.28,0.13,0.36,-0.01,0.16,0.19,0.01,0.05,0.03,-0.11,-0.05,0.1,0.07,0.05,0.01,0.06,0.04,0.14,0.16,0.12,0.21,0.04,0.17,0.05,0.01,0.17,0.24,0.13,0.14,0.22,0.34,-0.03,-0.14,0.11,0.23,-0.34,-0.05,0.04,-0.02,-0.15,-0.03
"23","14","      Federal","A823RZ2",-1.37,-3.34,-3.33,-1.58,-1.76,0.33,0.24,0.09,0.98,1.15,1.06,1.97,2.07,1.78,3.16,1.65,3.9,2.9,1.83,-0.64,0.78,0.98,-0.01,-0.65,-1.52,-1.5,-1.07,-0.47,-0.31,-0.32,0.71,0.1,1.35,2.46,2.42,1.68,0.66,0.95,0.63,2.54,2.18,1.71,-1.06,-0.59
"24","15","General public service","W611RZ2",0.22,0.24,0.31,0.14,-0.01,0.26,-0.09,-0.07,0.09,-0.07,0.11,0.04,-0.19,0.11,-0.07,-0.04,0.2,0.08,0.09,-0.1,0,0.24,0.09,-0.01,-0.28,-0.08,0.14,-0.27,0.18,-0.09,0.06,-0.14,0.25,0.21,0.02,0.31,0.01,0.04,0.06,0.15,0.15,0.08,-0.07,0.09
"25","16","National defense","A824RZ2",-1.83,-3.46,-4.03,-2.54,-1.79,-0.31,-0.31,-0.15,0.3,0.25,0.81,1.16,1.91,2.33,2.48,1.85,3.12,2.47,1.8,-0.09,-0.09,0.09,-0.32,-1.41,-1.51,-1.39,-1.08,-0.4,-0.68,-0.5,0.35,-0.2,0.74,1.49,1.86,1.41,0.48,0.49,0.6,1.82,1.35,0.82,-0.61,-0.85
"26","17","Public order and safety","W615RZ2",0.04,0.02,0.03,0.08,0.03,0.04,0.04,0.04,0.01,0.02,0.03,0.01,-0.03,0,0.08,0.05,0.03,0.04,0.06,0.11,0.05,0.03,0.09,0.08,0.19,0,0.01,0.12,-0.09,0.05,0.08,0.12,0.07,0.24,0.07,0.08,0.03,0.07,0.06,0.2,0.11,0,0,0.02
"27","18","Economic affairs","W620RZ2",0.13,-0.37,0.23,0.24,-0.22,0.06,0.43,0.14,0.45,0.81,0.13,0.45,0.47,-0.5,0.4,-0.44,0.5,0.23,-0.27,-0.62,0.66,0.47,-0.04,0.46,-0.08,-0.13,-0.16,0.03,0.15,-0.04,0.21,0.1,-0.08,-0.02,0.1,-0.1,-0.09,0.07,0.12,0.14,0.23,0.5,-0.43,-0.12
"28","19","  Transportation","W625RZ2",0.05,0.1,0.02,0.07,0.01,0.02,-0.02,0,0.06,0.07,0.04,0.03,-0.04,-0.03,0.16,0.04,0.03,-0.03,0.02,0.01,0.01,0.05,0.08,0.04,0.02,0.06,-0.11,0.03,-0.01,0.05,-0.03,-0.01,0.07,0.26,0.15,-0.06,0,0.03,-0.04,0.09,0.02,0.06,0.02,0.03
"29","20","  Space","W631RZ2",-0.37,-0.23,-0.15,-0.12,-0.19,-0.04,-0.03,-0.08,-0.05,-0.08,-0.01,0.07,0.02,-0.03,0.07,-0.02,0.06,-0.03,0.09,0.12,0.2,0.19,0.05,-0.01,-0.02,-0.08,-0.04,0.05,0.03,-0.06,-0.04,-0.03,0.02,0.07,0.01,0.02,-0.01,-0.03,0.06,0.04,0.01,-0.03,-0.07,-0.09
"30","21","  Other economic affairs","W632RZ2",0.45,-0.24,0.35,0.29,-0.04,0.07,0.49,0.23,0.45,0.82,0.09,0.36,0.49,-0.44,0.16,-0.46,0.42,0.29,-0.38,-0.75,0.45,0.23,-0.17,0.43,-0.08,-0.11,-0.01,-0.05,0.13,-0.03,0.27,0.14,-0.16,-0.35,-0.07,-0.05,-0.08,0.07,0.11,0.01,0.2,0.47,-0.39,-0.06
"31","22","Housing and community services","W633RZ2",0,0.06,0.1,-0.03,0.02,-0.03,-0.03,-0.01,-0.02,-0.02,-0.02,0.02,0.01,-0.02,0.01,0,0,0.03,-0.02,-0.01,0,0,0,0,0.08,-0.07,-0.02,0.01,0.02,0.04,0,-0.1,0.05,0.02,0.01,-0.02,0.03,-0.02,0.01,0.01,-0.01,0.01,0.01,0
"32","23","Health","W634RZ2",0.07,0.13,0.04,0.41,0.25,0.09,0.22,0.08,0.01,0.19,0,0.22,-0.01,-0.07,0.3,0.18,0.09,0.1,0.15,0.11,0.11,0.13,0.13,0.12,0.11,0.11,0.03,0.06,0.16,0.15,0.05,0.27,0.28,0.31,0.33,0.01,0.03,0.05,0.12,0.26,0.31,0.21,0.15,0.27
"33","24","Recreation and culture","W635RZ2",0.02,-0.01,0,0.02,0,0.04,0.01,0.01,0.01,0.01,-0.01,-0.01,-0.01,-0.02,-0.02,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,-0.06,0.01,-0.02,0.02,0,0.03,0,0,0,-0.01,0,0.01,0.01,0.02,-0.02,0
"34","25","Education","W636RZ2",-0.05,0.04,0.01,-0.02,-0.01,-0.08,0.04,-0.02,0,-0.01,0.01,0.01,0.01,-0.02,0.02,0.03,-0.02,0.01,0.01,-0.01,0.01,0.01,0.02,0,0.01,0.03,0.02,0.01,-0.02,0.02,0.02,0.01,0.04,0.04,-0.01,0,0.01,-0.03,-0.01,0,0.01,0,0.01,0
"35","26","Income security","W640RZ2",0.03,0,-0.02,0.12,-0.03,0.26,-0.07,0.06,0.13,-0.03,0.01,0.06,-0.1,-0.04,-0.03,0.01,-0.03,-0.06,0.01,-0.03,0.02,0.01,0.01,0.11,-0.05,0.02,-0.01,-0.02,0.03,0.04,-0.03,0.02,0,0.14,0.03,-0.01,0.17,0.29,-0.32,-0.04,0.02,0.07,-0.1,0
"36","27","      State and local","A829RZ2",1.53,1.3,1.5,1.1,1.44,1.94,1.96,0.43,0.2,1.8,0.8,-0.08,-1.1,0.07,0.67,1.93,2.87,2.55,1.12,1.98,2.1,2.23,1.2,1.14,0.69,1.6,1.61,1.43,2.19,2.41,2.71,1.79,2.42,1.91,-0.25,-0.09,-0.02,0.57,0.94,0.22,0.97,-1.64,-2.15,-0.39
"37","28","General public service","W646RZ2",0.48,0.01,0.19,0.34,0.41,0.4,0.6,0.04,0.15,0.1,-0.08,-0.05,-0.19,0.11,0.34,0.18,0.47,0.43,0.24,0.06,0.25,0.19,0.14,0.28,0.05,0.19,0.05,0.13,0.3,0.58,0.37,0.13,0.26,0.4,-0.15,-0.1,0.04,-0.01,-0.04,-0.03,0.28,-0.2,-0.3,-0.04
"38","29","Public order and safety","W650RZ2",0.15,0.24,0.3,0.2,0.16,0.26,0.2,0.1,0.05,0.13,0.22,0.12,0.14,0.32,-0.01,0.18,0.34,0.35,0.24,0.26,0.43,0.35,0.24,0.19,0.22,0.3,0.35,0.34,0.33,0.39,0.37,0.18,0.38,0.26,-0.15,0.01,0.07,0.16,0.29,0.13,0.13,-0.22,-0.15,0.02
"39","30","Economic affairs","W655RZ2",-0.08,-0.08,-0.07,-0.03,-0.12,-0.28,-0.07,0.05,0.07,0.86,0.55,-0.14,-0.48,-0.33,0.18,0.69,0.67,0.26,-0.05,0.14,0.07,0.37,0.06,0.13,0.24,0.21,-0.09,0.02,0.31,0.21,0.54,0.36,0.52,0.19,0.01,-0.21,-0.34,-0.07,-0.06,-0.13,0.25,-0.24,-0.4,-0.01
"40","31","  Transportation","W660RZ2",-0.11,-0.12,-0.08,-0.09,-0.17,-0.39,-0.01,-0.08,0.02,0.59,0.48,-0.16,-0.54,-0.27,0.28,0.73,0.46,0.22,0.01,0.18,0.07,0.34,0.06,0.09,0.25,0.23,-0.11,0.05,0.23,0.2,0.42,0.27,0.4,0.11,0,-0.15,-0.32,-0.13,-0.2,-0.1,0.21,-0.09,-0.31,-0.05
"41","32","  Other economic affairs","W665RZ2",0.03,0.04,0.01,0.05,0.06,0.11,-0.06,0.12,0.05,0.28,0.07,0.02,0.07,-0.07,-0.1,-0.04,0.21,0.04,-0.06,-0.04,0,0.03,-0.01,0.03,-0.01,-0.02,0.02,-0.02,0.08,0.01,0.13,0.09,0.11,0.08,0.01,-0.06,-0.01,0.05,0.14,-0.03,0.04,-0.15,-0.08,0.04
"42","33","Housing and community services","W666RZ2",-0.18,-0.03,-0.02,-0.13,0.07,0.16,0.05,-0.03,-0.18,0.23,0.03,0.17,-0.22,-0.1,-0.16,0.15,0.12,0.19,0.18,0.04,0.01,0.13,0.08,-0.01,-0.17,-0.09,0.04,0.1,0.05,-0.01,0.05,-0.07,0.15,0.15,0.02,-0.03,-0.05,0.19,-0.04,-0.03,0.03,0.03,-0.25,-0.14
"43","34","Health (net)","W671RZ2",0.18,0.24,0.18,-0.1,-0.02,0.25,0.01,-0.04,0.07,0.04,0.04,0.21,-0.01,0.13,-0.17,0.14,0.14,0.07,0.16,0.2,0.26,0.29,0.13,0.05,-0.03,-0.06,-0.12,-0.03,-0.17,-0.06,0.17,-0.09,-0.1,0.34,0.15,0.09,0.2,-0.05,0.25,0.05,0.05,-0.11,-0.15,0.07
"44","35","  Gross expenditures","Y650RZ2",0.23,0.27,0.43,0.16,0.2,0.31,0.07,0.1,0.12,0.22,0.27,0.23,0.18,0.23,-0.09,0.05,0.22,0.16,0.17,0.2,0.29,0.34,0.31,0.31,0.26,0.15,0.13,-0.06,-0.03,0.1,0.26,0.18,0.38,0.37,0.05,0.11,0.07,0.1,0.39,0.17,0.21,0.01,0.03,0.17
"45","36","  Less: Sales to other sectors","Y651RZ2",-0.05,-0.03,-0.25,-0.26,-0.21,-0.06,-0.06,-0.14,-0.05,-0.18,-0.23,-0.02,-0.18,-0.09,-0.09,0.09,-0.08,-0.09,0,0,-0.03,-0.04,-0.17,-0.26,-0.29,-0.21,-0.25,0.03,-0.14,-0.17,-0.09,-0.27,-0.48,-0.03,0.1,-0.02,0.13,-0.15,-0.14,-0.12,-0.16,-0.12,-0.18,-0.1
"46","37","Recreation and culture","W672RZ2",0.06,0.04,0.02,-0.01,0.03,0.07,0.09,-0.03,-0.04,0.05,0.02,-0.02,-0.04,0.02,0,0.03,0.07,0.06,0.01,0.02,0.06,0.07,0.01,0,-0.02,0.02,0.05,0.06,0.06,0.04,0.04,0.08,0.08,0.06,-0.06,-0.02,0,-0.02,0.05,0,0.04,-0.05,-0.07,-0.02
"47","38","Education","W673RZ2",0.8,0.75,0.77,0.68,0.73,0.98,1.02,0.25,0.02,0.35,-0.01,-0.33,-0.31,-0.07,0.36,0.51,0.98,1.12,0.29,1.2,0.91,0.69,0.43,0.4,0.31,0.87,1.27,0.77,1.18,1.07,1,1.1,0.92,0.31,-0.01,0.31,0.12,0.45,0.52,0.23,0.17,-0.77,-0.78,-0.24
"48","39","  Elementary and secondary","W674RZ2",0.48,0.37,0.6,0.44,0.41,0.71,0.91,0.19,0.07,0.3,0.07,-0.3,-0.4,-0.15,0.33,0.39,0.64,0.86,0.32,0.87,0.63,0.55,0.34,0.3,0.03,0.53,1.02,0.64,0.89,0.78,0.8,0.77,0.53,0.46,0.11,0.07,0.05,0.35,0.19,0.01,-0.01,-0.71,-0.95,-0.84
"49","40","  Higher","W675RZ2",0.25,0.28,0.1,0.19,0.32,0.2,0.03,0.07,-0.01,0.06,-0.06,-0.01,0.14,0.1,0.06,0.1,0.31,0.23,-0.06,0.28,0.23,0.12,0.1,0.09,0.27,0.31,0.21,0.09,0.26,0.25,0.15,0.26,0.34,-0.16,-0.12,0.24,0.06,0.11,0.34,0.23,0.14,-0.04,0.19,0.6
"50","41","  Libraries and other","W677RZ2",0.07,0.1,0.06,0.05,0,0.06,0.08,-0.01,-0.04,-0.01,-0.02,-0.02,-0.04,-0.03,-0.03,0.02,0.04,0.03,0.03,0.04,0.05,0.02,-0.01,0,0.02,0.03,0.04,0.04,0.03,0.04,0.05,0.06,0.05,0.02,0,0,0,-0.02,0,0,0.04,-0.02,-0.03,0
"51","42","Income security","W678RZ2",0.12,0.14,0.13,0.16,0.16,0.1,0.06,0.09,0.06,0.05,0.04,-0.03,0,-0.01,0.13,0.05,0.08,0.07,0.04,0.07,0.12,0.14,0.11,0.11,0.09,0.16,0.06,0.04,0.14,0.19,0.16,0.12,0.22,0.2,-0.07,-0.13,-0.06,-0.07,-0.03,-0.01,0.02,-0.08,-0.05,-0.04
