"","Table 5#9#5A# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"28","21","          Hospital","B836RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1
"29","22","          Other \5\","B837RC1",0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.6,0.8,1,1.2,1.3,1.9,1.6,1.5,2.2,3.1,3.2,2.9,2.4,2.9,3.1,3.2
"30","23","        Highways and streets \6\","B838RC1",0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.3
"31","24","        Conservation and development","B839RC1",1.2,1.4,1.6,1.8,2,2.2,2.6,2.8,3.1,3.9,3.9,4.3,4.4,4.1,4,3.8,3.8,3.7,4,3.6,3.7,3.7,3.6,4.5,4.2,4.4,4.2,3.8,3.4
"32","25","        Other \7\","B840RC1",0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.6,0.8,0.9,1.3,1.2,1.8,2.3,2.3,2.4,1.9
"33","26","      Net purchases of used structures","B841RC1",0,0,0,0,0,0,0,0,-0.1,0.1,-0.1,0,0.1,0,-0.1,0.1,0.3,1.1,0.9,-0.5,-0.4,-0.2,-0.4,-0.3,0.3,-0.7,-0.6,-0.1,-0.3
"34","27","  State and local","A842RC1",25.6,25.8,27,27.1,29.1,34.7,38.1,38.1,36.9,42.8,49,55.1,55.4,54.2,54.2,60.5,67.6,74.2,78.8,84.8,88.7,98.5,103.2,104.2,104.5,108.7,117.3,126.8,139.5
"35","28","    New","A843RC1",24.7,24.8,25.9,26.1,28.1,33.7,37.2,37.2,36,42,48.1,54,54.3,53.1,52.9,59,65.8,72.2,76.6,82.5,86,95.4,99.9,101.1,101.5,105.8,114.2,123.9,136.6
"36","29","      Buildings","A844RC1",10.2,9.8,10.3,10.4,11.7,13.5,15.1,14.6,13.3,14.7,16.3,18.4,18.5,18.7,19,20.6,23.8,27.1,28.2,31.3,34.8,38.8,42.6,43.6,43.1,44.7,52.4,57.9,64.5
"37","30","        Residential","B845RC1",0.9,1,1,0.7,0.8,0.8,1.1,1,1.2,1.2,1.6,1.8,2.2,2.1,2.4,2.4,2.6,2.7,2.8,2.9,2.9,3.4,3.6,4,3.8,3.4,4.1,4.4,4.6
"38","31","        Industrial","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","        Educational \8\","B847RC1",5.9,5.6,5.5,5.7,6.6,7.3,7.4,7,6,6.5,7.1,7.9,7.3,7,6.9,7.8,9.1,10.4,10.6,12.8,14.7,16,19.1,20.3,19.1,20.3,25.8,28.6,33.5
"40","33","        Hospital","B848RC1",0.7,0.7,0.8,0.9,0.8,1.1,1.5,1.7,1.6,1.5,1.7,2,1.9,1.9,1.7,1.7,1.8,1.9,2,2,2.1,2.4,2.7,3,3.2,3,3.1,3,3.3
"41","34","        Other \5\","B849RC1",2.8,2.4,2.9,3.1,3.4,4.3,5.1,5,4.6,5.5,5.9,6.8,7,7.7,8,8.7,10.4,12.1,12.7,13.5,15,16.9,17.2,16.3,17,18,19.5,21.9,23.1
"42","35","      Highways and streets \9\","B851RC1",9,9.7,10.4,10.1,10.2,11.8,12.8,12,12.1,13.7,16.6,17.8,17.7,16.8,17.4,21,23.3,24.9,26.7,28.7,28.5,31.9,32.2,32.2,34,37,37.3,39.1,42.3
"43","36","      Conservation and development","B857RC1",0.6,0.5,0.5,0.4,0.4,0.5,0.7,0.7,0.6,0.5,0.8,1.2,1,1.1,1.3,1.4,1.6,1.7,1.7,1.7,2,2,1.8,1.7,1.7,1.9,2.2,2.4,2.2
"44","37","      Sewer systems","B858RC1",1.3,1.5,1.8,2,2.4,3.4,3.7,4.2,4,5.1,5.6,6.6,5.9,5.6,5,5.9,6,6.8,8.1,8.5,8.5,9.1,9.2,9.6,9,8.1,8.2,9.2,9.5
"45","38","      Water systems","B859RC1",1.3,1.1,1,1.1,1.1,1.4,2,1.9,1.7,2.2,2.5,3.2,3.1,3.2,2.8,3.4,3.9,4.7,5.3,5.3,5.5,6.1,6.3,5.6,5,5.2,5,6.2,7.6
"46","39","      Other \7\","B860RC1",2.1,2.1,1.9,2.1,2.4,3.2,2.9,3.7,4.3,5.7,6.3,6.8,8.1,7.7,7.4,6.6,7.2,7,6.6,7,6.8,7.5,7.8,8.4,8.8,8.8,9.1,9.2,10.5
"47","40","    Net purchases of used structures","B870RC1",0.9,1,1.1,1,1,1,0.9,1,0.9,0.8,1,1.1,1.1,1.2,1.3,1.5,1.7,2,2.2,2.3,2.7,3.2,3.3,3.2,3,3,3.1,2.9,2.9
"48","41","Equipment","Y054RC1",12.9,13,9.2,9.8,10.9,14.4,16.6,19.2,21,23.1,27.3,31.1,36,42.3,50.2,58.4,67.8,73.9,77.4,74.3,80.7,86.6,85.7,84.8,79.4,77.5,78.9,80.1,75.6
"49","42","  Federal","Y058RC1",10.3,10.3,6.3,6.4,7.1,9.8,11.5,14,15.5,17,20.2,23,27.4,32.9,39.4,45.8,53,57.5,60.2,55.7,58.8,62.7,62.2,60.7,54.6,49.4,48.4,49.6,43.6
"50","43","    National defense","Y050RC1",9.7,9.5,5.5,5.3,6,8.2,9.9,12.1,13.3,14.3,17.4,19.8,24.1,29.1,35.2,41.1,47.9,52.7,55,49.6,51.5,54.6,53.4,50.7,44.7,41.9,39.8,39.9,33.6
"51","44","      Aircraft","B874RC1",NA,NA,NA,2.6,2.3,2.3,3.6,3.4,3.7,3.7,4.8,6.1,7.5,8.4,10.1,10.9,13.4,17.9,17.6,13.5,12.2,12,9.2,8.3,9.3,10.5,9,9.2,5.8
"52","45","      Missiles","B875RC1",NA,NA,NA,1.5,1.5,1.7,1.3,1.4,1.2,1.1,1.8,2.3,2.8,3.4,4.6,5.7,6.6,7.9,8.7,7.8,8.8,11.2,10.8,10.6,7.9,5.7,4.7,4.1,2.9
"53","46","      Ships","B876RC1",NA,NA,NA,1.8,1.6,2.2,2.2,2.4,3.1,3.9,4.3,4.1,5.1,6.2,7.1,8,9,8.9,8.8,8.6,10,10.8,10.2,10.1,8.7,8.1,8,6.8,6.1
"54","47","      Vehicles","B877RC1",NA,NA,NA,0.4,0.3,0.3,0.3,0.5,0.6,0.8,0.9,1.2,1.1,2.1,3.4,4.2,3.7,3.8,4.3,3.7,3.1,3.2,3.4,2.8,1.9,1,1.1,1.2,1.4
"55","48","      Electronics","Y051RC1",NA,NA,NA,0.6,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.6,2,2.4,2.9,3.4,4.3,4.6,5.1,4.9,4.7,4.7,4.2,4.2,4.4,4,3.5,3.5,3.4
"56","49","      Other equipment","B879RC1",NA,NA,NA,-1.6,-0.4,1.1,1.8,3.7,3.7,3.7,4.4,4.5,5.7,6.6,7.1,8.9,10.8,9.7,10.5,11,12.6,12.8,15.4,14.8,12.5,12.7,13.6,15.2,14
"57","50","    Nondefense","Y066RC1",0.6,0.7,0.8,1.1,1.1,1.5,1.6,1.8,2.3,2.7,2.7,3.2,3.3,3.9,4.3,4.7,5.1,4.8,5.2,6.1,7.2,8.1,8.9,10,9.9,7.5,8.6,9.7,10
"58","51","  State and local","Y070RC1",2.6,2.8,2.9,3.3,3.8,4.6,5.1,5.3,5.4,6.1,7.1,8.1,8.5,9.4,10.8,12.7,14.8,16.4,17.2,18.6,21.9,23.9,23.5,24,24.9,28.1,30.5,30.5,32
"59","52","Intellectual property products \2\","Y055RC1",17.7,17.6,18.1,19.3,20.3,21.5,23.3,25.5,27.9,31,35,39.6,45,49.7,55.2,62.2,71,75.2,81.7,85.1,87.8,91.1,91.4,91.6,91.4,92,94,95.5,98.3
"60","53","  Federal","Y059RC1",17.1,16.8,17.2,18.4,19.3,20.3,22,24.1,26.3,29.1,32.8,37,42.1,46.3,51.4,57.9,66,69.6,75.6,78.1,79.2,81.4,80.8,80.2,79.5,80,81.8,82.7,84.1
"61","54","    National defense","Y052RC1",8.2,8.1,8.4,9.2,9.7,10,10.5,11.3,12.3,13.3,14.9,17.2,20.9,25.2,29.8,35,41.3,43.9,48.1,48.5,47.3,46.6,43.3,41.3,39.2,38.1,38.4,38.9,39.2
"62","55","      Software","Y053RC1",0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.8,1,1.3,1.4,1.7,2.2,2.7,3.2,3.6,4.3,4.8,5.2,5.4,5.6,5.4,5.3,5.3,5.5,5.6
"63","56","      Research and development","Y076RC1",8.1,7.9,8.1,8.9,9.4,9.6,10,10.8,11.7,12.6,14,16.2,19.6,23.7,28.1,32.8,38.6,40.7,44.5,44.3,42.5,41.4,37.9,35.6,33.7,32.8,33.1,33.4,33.6
"64","57","    Nondefense","Y067RC1",8.8,8.8,8.9,9.2,9.6,10.4,11.5,12.7,14,15.9,17.9,19.8,21.2,21.1,21.6,22.8,24.6,25.7,27.4,29.6,31.9,34.8,37.4,38.9,40.4,41.9,43.4,43.8,44.9
"65","58","      Software","Y068RC1",0.3,0.4,0.4,0.5,0.6,0.8,1,1,1.1,1.3,1.6,2.1,2.5,2.8,3.3,3.7,4.1,4.3,4.8,5.2,5.8,6.2,6.6,6.7,6.8,6.8,7,7.3,7.7
"66","59","      Research and development","Y069RC1",8.6,8.4,8.4,8.7,9,9.6,10.5,11.7,12.9,14.6,16.3,17.7,18.6,18.3,18.3,19.2,20.5,21.4,22.7,24.3,26.1,28.6,30.9,32.2,33.5,35.1,36.3,36.5,37.1
"67","60","  State and local","Y071RC1",0.7,0.8,0.8,0.9,1,1.2,1.3,1.5,1.6,1.9,2.2,2.6,3,3.4,3.8,4.4,5,5.6,6.2,7,8.6,9.7,10.6,11.4,11.9,12,12.3,12.8,14.3
"68","61","    Software","Y072RC1",0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.7,0.8,1,1.2,1.4,1.8,2.1,2.2,2.4,2.9,4.1,4.8,5.4,6.1,6.3,6.3,6.3,6.5,7.4
"69","62","    Research and development","Y073RC1",0.5,0.6,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.5,1.7,2,2.2,2.4,2.6,3,3.4,3.7,4.1,4.5,4.9,5.2,5.4,5.5,5.8,6,6.4,6.9
"70",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","63","  Government enterprise gross fixed investment","A882RC1",7.7,8.1,8.3,9,10,12.4,13.7,15.1,15.2,19.2,21.4,25.3,26.6,26.5,26.1,28.1,31.5,33.9,35.6,35.5,36.7,40.5,42.5,45.1,45.1,41.8,44.2,46.5,49
"72","64","    Federal","A883RC1",0.9,1,1.1,1.4,1.5,1.8,2,2.3,2.3,3,2.9,3.3,3.7,3.6,3.4,3.9,4.6,4.9,5.1,4.3,4.8,5.3,5.9,7.4,7.4,4.8,5.8,6,6.2
"73","65","      Structures","B884RC1",0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.3,1.3,1.8,1.8,2.1,2.4,2.1,2.1,2.4,2.9,3.3,3.6,2,2.1,2.5,2.6,3,3.1,2.2,2.6,2.2,2.5
"74","66","      Equipment","Y074RC1",0.3,0.4,0.4,0.6,0.6,0.8,0.8,0.8,0.8,0.9,0.8,0.9,0.8,1.1,0.8,1,1.2,1,0.9,1.6,1.9,1.8,2.1,3.1,2.9,1.2,1.9,2.5,2.3
"75","67","      Intellectual property products","Y075RC1",0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.8,0.9,1.1,1.3,1.4,1.4,1.3,1.3,1.3
"76","68","    State and local","A886RC1",6.9,7,7.1,7.7,8.5,10.6,11.7,12.7,12.9,16.2,18.5,22,23,22.9,22.7,24.2,26.9,29,30.6,31.3,31.9,35.2,36.6,37.7,37.7,37,38.4,40.5,42.9
"77","69","      Structures","B887RC1",6.5,6.6,6.7,7,7.8,9.9,10.7,11.8,12,15.1,17.1,20.3,21.1,20.7,20,21,23.5,25.3,26.7,27.8,27.8,30.5,32.1,32.7,32.2,31,32.1,34.9,37.5
"78","70","      Equipment","Y077RC1",0.4,0.4,0.5,0.7,0.7,0.8,0.9,0.9,0.9,1.1,1.3,1.7,1.8,2.1,2.6,3.1,3.3,3.7,3.7,3.4,4,4.5,4.3,4.8,5.2,5.7,6,5.3,5.1
"79","71","      Intellectual property products","Y078RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2. Structures, software, and research and development include compensation of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","employees engaged in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","9. Excludes highways and streets associated with other nonbuilding structures, which are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","included in that category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
