"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Nonfarm \2\","A358RX1",1244.5,1273.4,1239.3,1303.8,1317.1,1313.2,1324.3,1317.3,1307.7,1299.4,1316.6,1304.4,1360,1409.3,1485.3,1501.1,1529.5,1536.4,1556.1,1560.5,1577.3,1569.6,1574.6,1648.9,1679.2,1687.5,1678.9,1646.2,1626.9,1626.2,1649.3,1689.4,1749.5,1777.4,1803.2,1819.5,1807.9,1820.1,1813,1842.3,1865,1854.1,1871.5,1838.7,1772.1,1781.1,1836.1,1894.9,1932.9,1993.2,1983.4,1980.2,2038.7,2014.8,2009,1966.1,1980.2,2032,2072.1,2118.2,2161.3,2183.4,2207.3,2211.8,2232.6,2269.5,2324.1,2342,2406.9,2433.8,2467.9,2469.6,2545.4,2586,2638.5,2711.9,2789.5,2799.8,2817.2,2828.9,2849.6,2843.8,2864.7,2888,2957.7,3014.7,3034.8,3048.2,3100.3,3103.8
"12","4","  Farm","B359RX1",19.8,16.6,21.3,16.1,17.5,22.6,21.9,23,20.2,20.5,20.6,20.2,22.6,22.4,20.4,20.6,18.9,20.2,21.5,20.8,20.4,21.5,22.6,21.3,22.5,23.6,22.1,21.8,23.6,23.7,23.2,22.8,22.8,24.6,24.8,23.2,22.9,23.8,23.7,25,22.1,22.4,22.7,24.5,24.7,25.1,23.4,21.8,23.8,23.1,22.9,24.7,22.7,23.8,26,27.3,26.7,25.2,24.7,24.1,24.4,25.1,24.4,24.9,26.9,25.7,24.7,24.5,23.4,24.2,25,26,26.4,25.4,27,26.3,26.8,25.4,23.7,25.5,26.8,27.5,27.7,27.3,26.6,26.2,26.2,26.5,27,27.2
"13","5","Households and institutions","A193RX1",175,175.8,177.7,180.3,183.6,186.8,189.8,192.5,194.9,197.9,201.4,205.3,209.7,213.9,217.9,221.7,225.1,228.6,232.2,235.6,239.5,243.1,246.8,250.8,254.6,258.6,262.3,265.8,269.4,273.5,278.5,284.2,290.8,296.8,302.3,307.3,311.7,316.1,320.3,324.5,328.7,333,337.7,342.7,347.9,353,357.9,362.6,366.7,372.6,379.1,386.6,393,399.9,405.5,411.5,415.2,415.8,420.2,428.8,434.4,440.2,446.8,453.5,456.1,459.5,464.9,468.8,473.6,480.4,484.9,490.2,495.7,502.4,511.1,518.7,523.4,526.4,535,540.7,544.5,550.4,557.7,565.6,571.6,578.6,585.8,592.1,599.5,606.7
"14","6","  Households","B701RX1",101.9,102.4,103.1,104,105.1,106.4,107.8,109.4,111,113,115.3,117.8,120.7,123.4,126.1,128.6,131,133.4,135.8,138.1,140.6,143,145.4,147.9,150.2,152.7,155,157.1,159.4,162.1,165.2,169,173.1,177,180.5,183.6,186.4,189.2,191.9,194.5,197.2,199.9,202.6,205.5,208.4,211.4,214.4,217.5,220.3,223.9,227.6,231.6,234.5,238.2,241.6,245.7,248.7,248.8,251.6,257.5,260.4,263.7,267.8,272.3,273.6,275.5,278.9,281,283.6,288.2,290.4,293.5,296.2,300,305.2,309.9,311.3,312.4,318.1,322.2,324.8,328,331.2,334,334.7,336.8,339.5,342.6,346.9,351.7
"15","7","  Nonprofit institutions serving households \3\","B702RX1",74.2,74.6,76,78.3,81.5,84,85.9,87.2,87.8,88.5,89.5,90.6,91.9,93,94.1,95,95.7,96.5,97.4,98.3,99.2,100.3,101.5,102.8,104.2,105.6,106.9,108,109.2,110.5,112,113.7,115.7,117.6,119.4,121,122.5,123.9,125.3,126.6,127.9,129.5,131.4,133.6,136.1,138.2,139.9,141.3,142.2,144.4,147.4,151.1,155.3,158.7,161,162.4,162.4,163.1,164.5,166.6,169.6,172.1,174.5,176.2,177.7,179.3,181.1,183,185.3,187.2,189.8,192,195,197.9,201.3,204.1,208.2,210.4,212.9,214.2,215.2,218,222.6,228.5,235,240.9,246,249.4,252.5,254.6
"16","8","General government \4\","A765RX1",542.5,525.8,523.5,514,510.5,501.5,506.1,511.4,512,512,510.5,502.3,496.2,504,515.1,560.4,580.5,625.4,657,664.2,677.7,687.8,692.9,691.2,696.5,699.9,702.9,699.6,698.2,698.6,701.1,702.8,702.4,699,703.4,707.2,709.3,712.8,721,726.6,730.2,735.2,741.4,736.7,735.8,741.6,751.7,756.4,753,756.2,761,766.7,775.2,788.4,791.7,797.5,806.4,811.9,822.7,838.7,847,853.9,859.9,862.5,870,879.8,890.4,895.5,903.4,913,921.6,929.2,931.3,942,954.9,969.7,982.9,999.4,1020.2,1040.7,1054.2,1060.6,1074.2,1081.8,1096.8,1110.3,1119.2,1119.4,1129,1138.4
"17","9","  Federal","A766RX1",288.2,274.2,270.9,262.4,259.7,252.6,255,257.1,254.8,251.7,247.7,239.2,233.8,239.4,247.5,282.4,297,331.2,354.9,359.1,368.9,375.8,378.3,375,377.3,378,377.9,373.1,370,368.5,368.3,367.2,365.2,360.3,360.6,360.3,359.8,358.2,361,362.3,363.4,364.8,366.1,358.5,355.1,355.4,359.6,360.3,356.4,357.2,358.4,360.2,363.3,370.1,368.7,370,372.3,375.1,380.4,391.1,396.8,398.9,399.8,398.3,400.7,405,408.3,408.6,409.5,412.6,415.8,416.2,414.8,416.7,420.8,427.3,434.3,442.4,454.1,464.5,475.6,477.3,482.3,483,486.9,492.9,495,490.4,493.2,496.4
"18","10","  State and local","A767RX1",213.2,216.5,219.5,221.7,221.5,221.6,223.4,226.6,231.3,236.2,240.8,244.2,245.1,245.8,246.6,247.7,249.5,251.5,253.8,256.3,257.9,259.6,262,264.8,267.6,270.7,274.2,277.4,280.2,282.8,285.8,289.4,291.8,294.9,299.7,304.6,307.7,314.2,319.6,324.3,326.9,330.7,336,341.6,345.5,351.9,357.7,362.2,364,366.6,370.4,374.6,380.2,385.7,391.6,396.4,403.5,405.8,410.8,414.1,415.7,420.7,426.2,431.4,436.5,441.7,449.3,454.8,462.6,469.3,474.7,482.8,487.4,497.1,506.1,513.9,519.3,526.8,534.4,543.3,543.5,548.3,556.9,564.5,576.1,583.1,590.3,596.6,603.6,609.8
"19","11","Residual","A961RX1",-9.2,-27.3,-1.7,-27.5,-14.8,19.5,12.9,12.7,-7.2,-10.5,-9.7,-13.7,8.4,12.2,8.2,-4.2,-19.3,-26.9,-29,-37.3,-43.2,-43.6,-40.7,-36.8,-30.1,-27.1,-38.6,-46.3,-43.7,-45.5,-46.9,-44.7,-36.9,-27,-26.7,-34.1,-39.8,-39.2,-46.6,-41.5,-50.7,-55.9,-57.1,-58.7,-71.9,-74.8,-78.4,-78.5,-65.8,-62.3,-69.9,-70.2,-74.5,-82.9,-81.8,-89.5,-94.5,-93.1,-94.5,-97,-94.6,-94.4,-98.4,-100.1,-95.2,-98.9,-100.3,-102.4,-102.1,-102.4,-100.3,-103.5,-95.4,-100.4,-96.5,-96.7,-91.5,-102.1,-115.2,-117,-114.6,-118.2,-123.4,-128.2,-130.6,-132.4,-136.8,-138.3,-136.4,-141.4
"20",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","12","  Gross housing value added","A2009X1",126.9,127.8,129,130.4,132.1,134,136.1,138.3,140.6,142.9,145.3,147.8,150.2,152.7,155.4,158.2,161,164,167.2,170.4,173.9,177.1,180,182.8,185.1,187.8,190.6,193.6,197,200,203.1,206,208.9,211.7,214.5,217.3,219.9,222.9,226.1,229.6,233.5,237.1,240.5,243.9,246.8,250.4,254.4,258.7,264.4,268.3,273.4,278.3,282.4,286.1,290.3,295.6,299.4,302.6,306.9,313,316.6,322.6,327.2,333.4,335.5,338.9,343.3,347.6,350.8,354.7,359,365.1,369.5,374,379.6,384.8,388.1,391.7,397.4,402.6,407.2,411.8,417.2,421.7,424.8,426.4,430.9,436.6,442,448.1
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
