"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRL1",NA,7.4,2.7,1.5,0.6,3.7,-0.4,2.7,-0.6,9.1,2.1,9.3,8,4.3,33.5,-19.5,9.1,-18.8,4.5,3.3,-1.9,9.3,-0.4,21.8,5.4,0.8,-3.3,-2.4,-0.2,4,4.3,11.6,12.8,11.8,5.7,2.8,-1.7,-0.6,-1.6,5.8,3.8,-1.4,3.4,-3.1,-9.2,1.2,7.8,8,9.6,6.5,3.2,-3.2,4.1,5.7,-2.5,-2.4,-3.7,6.2,2.6,9.2,4.8,4,3.1,6.4,3.8,3.4,4.1,1.4,9.6,8.7,9.7,-2.9,13.7,2.9,8.4,16.3,7.7,-2,5.9,-0.8,1,7.2,-1.2,1.6,13.4,6.1,10.2,-0.6,5.5,0.3
"12","4","    Durable goods","DDURRL1",NA,8.6,5.7,28.7,-2.1,2.7,6.8,-5.5,-7.1,39.4,20.5,16.9,16.3,3.4,134.2,-41,13.2,-46.2,-7,-1.3,2.3,8,-21.7,88.8,14.2,-2.3,-2.4,-10.7,-11.9,20.8,1.7,26.9,41.1,23.5,13.6,-10.1,-17.1,0.6,-6.9,13.4,7.6,-9.1,-2.7,-4.6,-24.1,-6,8.5,15.5,23.5,15.9,8,-17.8,13.5,9.4,-3.1,-9.7,-20.3,8.6,10.1,20.9,8.9,11.2,2.9,18.9,8.2,8.8,5.1,6.5,16.5,10.9,13.9,-11.7,42.8,0.6,14.4,18,20.4,-15,13.8,-0.2,-7.4,18.3,-3.2,1,27.3,8.8,19.3,-2.3,7.8,-1.1
"13","5","      Motor vehicles and parts","DMOTRL1",NA,7.3,-19.9,68.1,29.2,-20.8,11.9,25.6,17,117.7,13.9,1.5,32.5,20.2,127.2,-26.2,-14.5,-50.3,-28.7,-24.2,5,18,-55.2,320,41.7,-8.6,-4.1,-26,-23.1,51.6,-12.9,46.7,92.9,45.9,15,-25.3,-38,-13.9,-12.6,32.3,30,-15.5,-11.5,1,-49.4,-5.6,0.3,28.9,47.7,27.1,16.8,-39.9,48.8,16.1,7.6,-20.5,-42.5,11.5,12.6,40,20.2,16.5,-5.5,38.3,12.6,11.1,0.6,8.2,10.1,4.4,20.3,-31.7,112.8,-7.7,14.1,4.6,27.2,-34,12.5,-2.1,-18.5,40.7,-11.1,-10.8,62.6,6.8,26.6,-4.9,10.7,-7.5
"14","6","      Furnishings and durable household equipment","DFDHRL1",NA,12.6,20.3,21.2,-15.6,23.3,7.8,-22.3,-27.3,10.7,39.1,37,-7,-12.9,184.4,-57.9,58,-52.5,8.2,13.9,-3,-0.3,4.6,23.3,-8.8,4.8,-0.6,1,-7.9,-0.8,6,18.4,23.9,5.2,15.7,-0.4,5.2,13.1,-7.2,1,-3.8,-0.7,-2.2,-9,0,-6.5,14.5,6.3,7.9,9,2,2.1,-6.5,3.6,-11.5,-1.9,-0.5,5.5,7.4,8.7,1.3,5,10.5,3,7.4,4.2,10.9,6.5,20.2,14.1,4.6,6.2,0.2,5.4,12.5,22.5,6.7,-0.9,13.1,-3.2,1.4,4.1,0.4,3.9,6.9,9.6,13.7,-3,3,4.1
"15","7","      Recreational goods and vehicles","DREQRL1",NA,10.2,17.7,9.5,-18.3,6.2,-2.5,-19,9.3,-3.5,15,21.3,65.9,-0.7,125.7,-42.2,13.5,-33.4,13.7,19.5,12.6,5.3,7.3,23.3,19.9,0,-1.1,1.7,7.6,12.3,18,17.2,8.8,13.4,11.4,6.7,-0.5,10,0,4.1,-8.1,-8.7,7.1,-10.1,1.4,-8.1,14.5,12.5,26.9,7.3,0.8,1.7,-5.2,5.9,-11.4,3.4,1.7,11.7,11.9,6.9,-1.9,8,13.6,9.6,5.5,14.7,5.3,7.3,29.6,25.7,13.7,12.6,8.6,22.4,17.1,41,22,15.4,24.4,13.8,0.8,4.3,10.7,21.6,7.8,4.2,19.9,2,9.8,5.4
"16","8","      Other durable goods","DODGRL1",NA,-1.9,13.8,1.4,-1,1.1,1.7,1.3,-9.7,-1.9,-3.9,8.2,1.5,6.9,26.9,-13.8,9.3,-6.2,6.8,13.1,2.8,9.9,8.6,14.7,0.5,-4,-4.7,-2.7,-5.7,19.6,23.8,8.4,-10.4,16.2,1.7,15.3,-7.1,5.7,8.7,8,-10.2,-9.8,25.2,-3.1,-7.1,-2.4,11.1,8.1,-5.8,7.8,1.7,7,-6.4,7.1,-6.2,-0.5,-1,4.7,8.3,14.4,6.9,14.4,2.3,9.9,-4.2,6,6.7,-3,16.1,9.6,18.7,0.6,15.4,-3.6,17.9,36.4,36.3,-7,3.5,-5.5,-0.6,11.7,-3.6,8.1,10.1,25.3,6.1,3.4,7.2,-0.6
"17","9","    Nondurable goods","DNDGRL1",NA,7,1.9,-5.1,1.3,4,-2.4,5.3,1.5,1.1,-3.4,6.7,5.2,4.7,7.1,-8.6,7.5,-5.7,8.7,4.8,-3.3,9.6,7.2,6,2.5,1.8,-3.6,0.6,3.9,-1.1,5.2,6.9,4.2,7.6,2.7,8.4,4.6,-1,0.3,3.2,2.4,1.5,5.7,-2.6,-3.6,3.7,7.5,5.6,5.3,3.3,1.5,2.5,1,4.4,-2.3,0.3,2.4,5.5,0.3,5.5,3.4,1.6,3.2,2.3,2.2,1.4,3.7,-0.5,7,7.9,8,0.8,3.9,3.9,6.1,15.7,2.9,3.8,2.9,-1.1,4.6,3,-0.4,1.8,8.1,5,6.5,0.1,4.5,0.9
"18","10","      Food and beverages purchased for off-premises consumption","DFXARL1",NA,8.2,-1.6,-9.6,0.8,7,-8.7,7.6,0.5,0,-1.8,-0.2,9.3,1.7,0.8,-4,2.2,-0.9,7.3,-2.6,-2.1,11.4,5.6,3.1,8.7,0.5,-2.8,0.1,7.1,-1.3,9,6.7,2.4,6.3,3.2,6.1,6.2,-1.8,0.1,3.3,3,3.9,3.8,-1,-3,-0.5,3.8,4.9,7.5,2.5,2.4,2.7,-1.4,2.5,-2.4,-0.8,3.4,4.5,-0.8,2,-0.3,-0.5,3.4,-1.9,0,2.2,2.5,0.9,2.4,7.2,6,1.5,4.5,3,5.6,19.1,-1.8,0.9,1.1,-1.9,8.2,2.2,-2.2,5.4,4.9,7.4,7.3,1.4,5.1,-1.7
"19","11","      Clothing and footwear","DCLORL1",NA,-4.7,6.7,-0.4,-3.7,2.6,3.8,9.3,0.6,-5,-13.8,16.6,-0.7,7.1,15.5,-16.6,8.7,-13.9,8.7,5.7,-3,15,12.7,9,-13.2,10.1,-7.4,-5.5,4.8,0,-1.5,9.2,4.7,11.4,-3.2,8.8,0.2,1.5,3.8,-0.5,-4.9,-1.7,8.8,-9.8,-3.8,7.9,9.3,7.1,1.5,10.7,-2.7,3.9,1.2,2.8,-6.3,-1.5,3.7,4.2,3.3,11.3,2.1,4.5,1.8,3.3,-1.6,2.5,7.3,-3.6,17.6,10.9,6,4,0.4,-0.7,8.6,16.1,8.8,1.5,4.6,-3.5,0.2,3.1,1.8,-2.3,11.7,2.8,7.1,-2.8,4.1,1.5
"20","12","      Gasoline and other energy goods","DGOERL1",NA,14.3,4.2,-1,9.4,0.9,4.1,-4.5,-3.5,6.1,0.2,4.8,2.1,16,8,-9.3,16.8,-2.9,10.7,8.8,-1.6,4.7,6.2,4.9,1.4,-1.3,4.5,-0.9,2.2,1.1,8.5,11,6.6,10.1,4.2,11.4,4,0.8,-4.8,9.1,5.6,-4.7,8,-1,2.3,12.5,7.3,3.6,0.7,0.8,-1.5,0,3.4,9.7,-6.7,0.1,-4.8,10.7,-8.6,1.1,11.8,0.9,-0.5,9.8,10.1,-4.1,-1.3,3.4,7.2,10.2,12.8,-1.6,-1.8,10.6,9.7,4.4,0.3,10.5,5.5,2,-0.7,3.9,-0.9,7.5,8.6,0.6,4.3,-0.8,9.1,5.2
"21","13","      Other nondurable goods","DONGRL1",NA,18,5.1,0.5,5.8,-1.5,5.7,-0.5,9.7,10.6,4.3,16.3,3.7,3.9,14.3,-9.9,16.3,-9.6,11.4,23.6,-7.5,1.8,6.1,11,7.2,-1.8,-5.9,10.4,-4,-3,0.9,2.7,7.1,5.2,7.5,11.9,5.8,-2.7,0.1,3.9,7.5,3.1,5.6,0.1,-8.1,5.2,15.8,7,6.7,0.1,5.7,2.3,5.2,7.7,4.6,4.7,3.2,6,5.2,10.9,8.4,3.9,5.9,6.5,6.2,1.6,5.7,-2.6,7.5,5.4,11.8,-2.3,9,6.4,3.2,14.7,9.3,8.8,3.6,1.1,4.3,4,1.5,-3.8,11.1,4.8,5.7,0.7,1.6,3.2
"22","14","  Services","DSERRL1",NA,5.9,-0.9,-2.1,4.4,6.4,2.1,4.1,2.5,2,-0.8,1.2,5.1,10.5,6.3,2.6,11.4,2.7,5.1,1,5,6.4,5.4,5.8,4.1,4.9,2.4,-2.9,3.8,7.1,7.1,4.9,4.8,3,4.1,8.2,3.9,3.9,4.3,5.3,1.5,3.5,2.9,4.4,-0.5,5.9,5.6,2.6,5,6.1,5.5,4.9,3.6,4.5,-0.5,3.9,4.1,6,1.2,7.2,3.8,6.1,3.5,5.1,1.6,4.5,7.2,5.6,6.6,5.7,5.3,5.6,4.7,6.2,5.6,7,4.2,4.4,3.3,4.4,3.8,3.9,5.5,3.4,6.3,6.4,5.2,4.5,3.6,5
"23","15","    Household consumption expenditures (for services)","DHCERL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,5.6,4.7,3,4.2,-0.7,4.2,4.5,5.7,1.1,7.1,3.8,6.5,3.8,5.5,1.6,4.2,6.9,5.3,6.1,5.8,5.6,5.8,4.9,6,5.2,6.8,4.2,4.8,3.7,4.8,3.6,3.7,5.1,3,6.5,6.7,5.4,4.6,3.8,5.1
"24","16","      Housing and utilities","DHUTRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7.4,5.8,5.6,4,4.1,6.8,3.3,6.2,3.5,7.6,5.2,6,5.2,7.8,3.7,0.9,7.2,3.8,5.7,3.9,5.2,6.5,4.1,6.3,5.3,5,3.5,4.5,4.8,4.4,2.8,6.1,4.3,6.8,5.3,1.8,6.3,6.2,6.2,4
"25","17","      Health care","DHLCRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,1.5,-1.1,5.6,2.9,-10,8.6,4.3,11.7,3.3,6.3,10.1,11.3,11.5,9.6,5.3,3.6,2.8,6.9,16.7,16.4,14.3,7.9,6.8,-1.2,-7.1,-0.3,7.1,14.9,11.4,11,1.3,0.6,-0.5,1,11.1,16.2,9.8,10.6,7,5.1
"26","18","      Transportation services","DTRSRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,8.6,5,2.3,0.8,1,0.8,-0.7,2.4,2,5.9,3.4,5.2,1.1,4.5,4.4,4.6,5.6,6.1,5.1,5.4,6.1,4.6,2.7,6.5,6.9,6,4.1,9,-0.3,12.2,4.9,1.5,6.3,5,7.7,6.7,8,6.3,6.8,6.3
"27","19","      Recreation services","DRCARL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2.7,4.9,9.6,4.6,1.6,3.9,4,4.7,4.4,10.2,0.3,15.7,-8.2,6.1,5.8,1.7,19.8,-14.1,16.7,-3.6,3.5,14.7,2,-0.7,0.6,7.6,2,11.6,9.6,12.2,2.8,-9.2,17.6,-22,25.3,14,5.3,9.9,6.4,7.1
"28","20","      Food services and accommodations","DFSARL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,8.9,4.6,-6.5,6.2,-5.2,0.5,3.2,-3.1,-0.8,7,4,4,4.5,4.7,0.6,1.3,0.7,5.4,9.5,5.2,3.3,3.3,9.5,11.8,5.9,8.1,7.5,0.7,2.4,-3.6,-3.3,-3.4,4.4,4.1,16.1,3.5,4.4,0.5,-0.4,9
"29","21","      Financial services and insurance","DIFSRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,8,7.7,-0.4,5.2,0.7,-2.3,19.9,10,-10,4.6,-5.7,8.3,-3.3,1.7,-5.6,10.4,14.7,15.3,-2.3,6.3,10.7,0.5,6.5,6.9,7.6,15.7,3,-2.3,-4.1,-6.4,16.9,7.1,14,-1.5,-5.7,25.1,3,2.2,-9.2,5.1
"30","22","      Other services","DOTSRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,0.7,4.2,4.1,4.7,-2.9,3.5,2.7,7.3,1.4,7.5,3.1,3.9,3.4,0.6,-2.7,11.9,7.5,7.6,0.4,5.4,-0.2,5.7,2.3,7.8,13.5,10.1,2.7,2.8,1,9.8,5.4,8.6,3.8,5.1,1.5,1.4,1.6,-0.4,5.5,3.4
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9,-1.9,11.3,28.5,14.1,5.5,-2.9,-8.1,14.2,4.6,12,5.6,-4.8,-5.3,-5,1.4,13.4,16.3,14.9,21,3.2,-0.6,0.4,-1.4,13.5,18.3,12.8,3.3,-6.6,-7.2,-6.8,8,12.6,18.5,14.3,2.1,-3.1,-1,0.2,-1.5,2.3
"32","24","      Gross output of nonprofit institutions \2\","DNPERL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.4,-8.1,0.1,19.4,9.6,-6.7,5.7,-2,20.1,1.4,7.9,6.5,1.9,2.8,2.6,5.7,9.7,8.1,8.9,14.3,4.3,2.2,0.2,7.4,9.5,10,8.7,7.6,5.3,1,2.2,5.4,10.3,10.6,8.6,4.9,7.9,1.9,6.2,5.2,5.8
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.2,-11.3,-5.5,15.1,7.4,-12.4,10.4,1.1,23.2,-0.1,5.8,7.1,5.4,6.9,6.2,7.7,8.1,4.6,6.2,11.2,4.8,3.5,0.1,11.6,7.7,6.3,6.8,9.7,11.2,4.7,6.2,4.3,9.3,7.5,6.2,6.2,12.9,3.1,8.7,7.9,7.1
"34","26","Gross private domestic investment","A006RL1",NA,-27.3,-11.3,103,47.8,27.1,4.2,-17.8,-47.8,-43.5,37.5,-18.3,134.4,50.2,39.1,61.4,-35,9.6,-26.4,-28.3,10.8,-26.9,23.2,32.1,8.9,2.3,-8.1,-25.9,-2.8,-0.9,20.7,18.7,46.4,26.5,6.3,9.6,-10.9,-3.1,-3.5,-3.6,-6.1,-0.4,9.5,-27.4,-24.4,-7.8,34.4,38.7,23.6,34.9,-23.4,13.7,46.7,-32.4,-1,-37.5,10.8,31.1,34.9,6.8,23.4,-3.1,7,-11.2,22.8,6.5,12.9,4.9,15.8,-1.4,9.7,3.9,43.9,1.1,14.7,2.7,36,-5.8,-2.9,2.4,-9.5,-13.7,12.2,8.9,8.3,16.2,-10.5,4.4,25.7,-2.3
"35","27","  Fixed investment","A007RL1",NA,-10,13.6,37.2,13.4,-0.6,-4,-4.5,-20.6,-11.6,-0.7,15.3,27,40.4,31.6,-7.7,-13.7,-16.7,-5.7,-3,6.3,6.9,-20,34.1,17.3,3.1,0.7,-3.4,-5.5,6.5,16.1,9.1,16.2,17.7,9.4,1.6,-6.5,4.2,0.2,-1.9,-0.3,-3.4,4.2,-6.5,-20.7,-9.5,6.2,25.9,25.7,12.9,4.3,-4.6,14,-7.1,-8.3,-0.8,-3.3,6.7,9.9,13.3,7.9,11.8,3.3,-1.2,5.3,19.1,10.2,12.5,14.6,-0.7,6.7,3.6,19.3,11.8,11.3,9.6,15.8,-3.9,0.4,-10.2,-7.4,10.3,4.9,12.6,9.2,-1,6.4,9.8,11.6,2.1
"36","28","    Nonresidential","A008RL1",NA,-6.1,-7.1,11.6,25.3,-12.7,1,9.6,-17.5,-14.1,-17,-4.9,12.1,37.7,37.5,-0.6,-10.1,4.9,4.7,-6.4,3.9,6.5,-27.7,40.5,23.5,4.1,9.3,-3.6,-10.1,-3.5,10.6,-0.5,7,25.9,21.3,12.5,-4.8,7.4,4.1,0,2.2,-0.8,8.3,-8.9,-23.1,-14,-4.1,15.9,13,12,11.2,-1.1,14.6,6,-6.8,-0.9,-5.6,9.2,4,12.7,8.3,11.3,5,-1.5,1,13,11.4,12.2,8.7,9.7,13.5,8.8,28,15.5,15.4,17.3,17.8,6.8,5.4,0,-6.3,-0.9,-0.7,8.3,12.3,-4.8,5.6,11.4,10.6,4.4
"37","29","      Structures","A009RL1",NA,-2.1,2.7,-5.6,8.6,11.6,12.5,5.8,-7.3,-9,-16.6,-10.5,20.5,21.7,25.3,10.7,1.3,14.3,-2.4,-14.5,0.5,2.9,3.4,16.2,12.6,7.9,2.2,7.2,4.1,2.8,-0.9,-1.7,13,10.3,13.9,10.3,13,15,2.6,-0.9,-3.4,-0.3,0.1,-2.3,-7.3,-12.6,-8.8,6.3,-1.4,13,12.4,-3,17.8,4.8,0.8,16.1,-1.8,-6.5,0.2,-2.1,7.7,15.4,11,-9.3,-13.2,20.4,2.8,8.4,10.8,14.2,13.8,3.2,22.1,30.9,4.3,19.7,9.8,-7.5,9.2,-12.9,4.2,-10.9,4.3,0.6,8,-3.4,-2.6,8.4,6.3,3.2
"38","30","      Equipment","Y033RL1",NA,-8.3,-12.8,25.3,38.4,-24.1,-5,13.4,-23.1,-18.2,-19.7,-4.3,7.1,53.3,50.2,-6,-16,0.7,9,-3.8,2.2,5.7,-47.3,60.5,31.6,-0.6,14.2,-11.1,-20.6,-8.6,20.4,-0.9,3.7,40.4,27.5,12.2,-18.4,0.9,4.1,-1,7.4,-1.5,14.9,-14.9,-36.3,-19,-4.1,23.4,23.9,12.5,13.7,-0.8,14.6,6.9,-16.2,-13.4,-12.4,20.6,5.6,26.3,10.8,10.5,1.5,1.2,7.6,8.3,18.4,16.6,10.2,8.5,14.9,12.4,34.2,7.4,23.2,16.5,23.9,14.9,1.8,5.8,-15,4.4,-5.4,13.4,16.1,-9.3,10.3,14.6,15.4,4.2
