"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","       Change in private inventories","A014RC1",0.5,-1.2,-2.9,1.5,3.6,5.9,7.2,6,0.4,-5.1,-1.3,-4.7,2,2.8,4.2,14,10.4,14.8,9.7,4.7,4.7,-1.5,5.6,5.3,3.9,3.6,2.3,-2,-2,-3.4,-2.1,-0.3,3.8,4.6,4.3,7.2,6.4,3.6,3.6,2.2,2.2,2.7,2.8,-4.5,-4,-4.2,1.5,5.2,3.9,7.3,0.4,4.1,11.2,3.2,4.3,-5.8,-2.5,1.8,6.7,6,9.4,5.4,6.2,3.4,6.9,4.8,5.7,5.1,5.1,4.5,4.7,5,11.5,8.6,9.3,7.6,13.9,12.3,11.9,16.5,15.4,6.3,9.3,8.4,8.4,14.1,7.7,6,11.5,9.2
"12","4","Goods","A353RC1",125.9,127.3,128.7,135.2,139.3,141.2,144.7,144.1,137.9,133,134.2,130,137,141.4,154.6,161.6,167.4,170.3,171.4,172.4,171.8,166.3,169.8,178,180.6,181,180.2,173.5,172.8,172.7,174,179.6,187.6,194.5,199.2,203.8,203.3,204,207.7,211.4,216.9,217.1,221.5,211,206.3,206,214.5,221.7,227.3,234.3,232.4,234.9,247,243.3,244.8,233.9,237,243.5,251,256.3,263.4,262.9,266.7,266.4,272.5,274.7,281.1,284.3,292.2,295.9,303.2,304.1,318.7,321,329.2,339.4,357.1,357.2,363.8,372.5,371.8,368.7,374.3,376.8,388.4,400.5,405.4,408.3,424.6,425.4
"13","5","    Final sales","A325RC1",125.4,128.6,131.6,133.7,135.7,135.3,137.5,138.1,137.5,138.1,135.5,134.7,135,138.5,150.4,147.6,157,155.5,161.7,167.7,167,167.8,164.2,172.7,176.7,177.4,177.9,175.5,174.8,176.1,176.1,179.9,183.8,189.8,194.9,196.5,196.9,200.5,204.1,209.2,214.7,214.4,218.7,215.5,210.3,210.2,212.9,216.5,223.4,227,232,230.8,235.8,240.1,240.4,239.7,239.5,241.7,244.3,250.4,254,257.5,260.5,263,265.6,269.8,275.4,279.2,287,291.4,298.5,299.1,307.2,312.4,320,331.8,343.2,344.9,351.9,356,356.3,362.4,365,368.3,379.9,386.4,397.7,402.3,413.1,416.2
"14","6","    Change in private inventories","A014RC1",0.5,-1.2,-2.9,1.5,3.6,5.9,7.2,6,0.4,-5.1,-1.3,-4.7,2,2.8,4.2,14,10.4,14.8,9.7,4.7,4.7,-1.5,5.6,5.3,3.9,3.6,2.3,-2,-2,-3.4,-2.1,-0.3,3.8,4.6,4.3,7.2,6.4,3.6,3.6,2.2,2.2,2.7,2.8,-4.5,-4,-4.2,1.5,5.2,3.9,7.3,0.4,4.1,11.2,3.2,4.3,-5.8,-2.5,1.8,6.7,6,9.4,5.4,6.2,3.4,6.9,4.8,5.7,5.1,5.1,4.5,4.7,5,11.5,8.6,9.3,7.6,13.9,12.3,11.9,16.5,15.4,6.3,9.3,8.4,8.4,14.1,7.7,6,11.5,9.2
"15","7","  Durable goods","A354RC1",49.4,49.7,51.7,50.1,53,51.6,53.7,54.7,53.2,50.4,54.4,49.4,52.8,59.5,67.8,72.2,71,74,75.1,73,73.7,69.2,67.1,77.2,81.1,81.4,82.3,73.1,71.2,72.2,72,76.7,82.4,88.8,91.2,93,91.6,91.1,91.7,96.3,98.9,99.1,100.8,93.7,84.6,83.9,89.2,95.2,102.2,107.8,103.9,104.5,114.8,108.8,110.2,102,99.6,105.9,113.4,116.9,121.7,121,125.3,123.5,126.2,129.5,133.1,134.5,140.6,142.5,147.4,145.9,158.5,156.9,163.1,163.8,178.3,177,182.4,186.3,180.2,179.8,182.7,186.6,189.4,195.5,199,204.9,212.7,209
"16","8","    Final sales","A326RC1",47,48.4,49.2,50.6,51.9,50.9,52.7,53.4,52.9,54.3,53.9,53.4,53.6,56.1,65.7,62.4,66.4,64.3,67.2,70.9,71.3,71.2,66.5,73.4,77.4,78.5,79.4,76.7,74.9,76,74.6,76.9,80.1,84.7,88.5,88.6,87.2,89.1,91.4,94.4,98.2,97,98.6,96.7,90.9,89.4,90.2,93.6,98.9,101.5,104.5,102,105.7,108.3,108.6,106.5,105.1,107.3,109.6,113.9,116.3,118.5,120.6,122.4,123.5,126.4,129.8,133.2,136.9,139.1,142.7,142.5,149.6,151,155.9,160.9,168.8,167.7,172.2,175.2,173.4,177.5,178.4,180.6,186.4,189.5,196.1,198.6,206.6,205
"17","9","    Change in private inventories \1\","A355RC1",2.4,1.3,2.5,-0.5,1.1,0.7,0.9,1.3,0.3,-3.9,0.5,-4,-0.8,3.4,2.1,9.8,4.6,9.7,7.9,2.1,2.4,-2.1,0.6,3.7,3.8,3,2.9,-3.6,-3.7,-3.8,-2.6,-0.2,2.4,4.1,2.7,4.4,4.3,2,0.3,1.9,0.7,2.1,2.2,-3,-6.2,-5.5,-1,1.6,3.3,6.3,-0.6,2.5,9.1,0.5,1.6,-4.6,-5.5,-1.4,3.8,3,5.4,2.4,4.7,1.1,2.7,3.1,3.3,1.4,3.7,3.5,4.7,3.3,9,5.8,7.2,3,9.5,9.3,10.2,11.1,6.7,2.3,4.3,6.1,3,6,2.9,6.3,6,4
"18","10","  Nondurable goods","A356RC1",76.5,77.6,77.1,85.1,86.3,89.6,91,89.4,84.8,82.5,79.8,80.6,84.2,81.9,86.8,89.4,96.4,96.2,96.3,99.4,98.1,97.1,102.7,100.8,99.4,99.5,97.9,100.3,101.6,100.5,102,102.8,105.2,105.6,108,110.8,111.7,112.9,116,115.1,118,118,120.6,117.3,121.7,122,125.3,126.5,125.1,126.5,128.4,130.4,132.2,134.5,134.6,131.9,137.4,137.7,137.6,139.4,141.7,142,141.4,142.9,146.3,145.1,148,149.7,151.5,153.4,155.8,158.2,160.2,164.1,166.1,175.6,178.8,180.2,181.3,186.3,191.6,188.9,191.6,190.1,199,205.1,206.3,203.4,212,216.4
"19","11","    Final sales","A334RC1",78.5,80.2,82.5,83.2,83.8,84.5,84.8,84.7,84.6,83.8,81.6,81.3,81.4,82.4,84.8,85.2,90.6,91.2,94.5,96.8,95.7,96.6,97.7,99.3,99.3,98.9,98.5,98.7,99.9,100.1,101.5,103,103.8,105.1,106.4,107.9,109.7,111.3,112.8,114.8,116.6,117.4,120.1,118.8,119.5,120.8,122.8,122.8,124.5,125.5,127.5,128.8,130.1,131.8,131.9,133.2,134.4,134.5,134.7,136.4,137.7,139,139.9,140.7,142.1,143.4,145.6,146,150.2,152.4,155.8,156.6,157.6,161.4,164,171,174.4,177.2,179.7,180.8,182.9,184.9,186.6,187.8,193.6,196.9,201.6,203.7,206.5,211.2
"20","12","    Change in private inventories \1\","A357RC1",-1.9,-2.6,-5.4,2,2.5,5.1,6.2,4.7,0.1,-1.3,-1.8,-0.7,2.8,-0.5,2.1,4.2,5.8,5.1,1.8,2.6,2.4,0.5,5,1.5,0.1,0.6,-0.6,1.6,1.7,0.4,0.5,-0.2,1.4,0.5,1.6,2.9,2.1,1.6,3.2,0.3,1.4,0.6,0.6,-1.5,2.2,1.2,2.5,3.7,0.6,1,1,1.6,2.1,2.7,2.7,-1.3,3,3.2,2.9,3,4,3,1.5,2.3,4.1,1.7,2.4,3.7,1.4,1,0,1.7,2.6,2.7,2.1,4.6,4.4,3,1.6,5.4,8.7,4,5,2.3,5.4,8.1,4.8,-0.3,5.4,5.2
"21","13","Services \2\","A341RC1",96.6,98,97.7,98.1,99.1,101.8,104,106.5,108.3,109.6,109,109.2,110.5,112.8,114.4,119.2,128.6,134.4,141,144.6,147.7,153.7,156.5,159.9,163.4,166.6,167.1,168.4,168,167.8,169.8,171.8,174.9,175.4,179.1,181.7,183.5,187.6,188.4,194.1,197.6,199.8,202.8,208.7,207.1,212.3,215.7,218.8,220.9,225.7,229.2,232.9,232.9,237.4,239.4,244.5,245.2,251.5,253,258.8,264.9,270.9,273.6,277.6,280.3,284.1,289.1,294.9,300.5,305.9,310.2,314.2,319,326.5,334.2,344.3,349.3,360.3,367.9,375.6,387.1,393,400.8,411,424.7,435.2,445.5,456.2,461.8,475.4
"22","14","Structures","A755RC1",20.6,21,23.7,27.1,27.8,29.9,30.8,30.1,29.1,29.2,30.1,31.9,33.6,36.5,39.5,39.4,40.4,39.8,39.3,39.6,40.7,41.4,41.8,43.3,44.5,44.7,44.4,44.6,45.1,46.2,47.8,49,51.2,52.4,52.6,52.3,53.7,55.2,55.8,55.7,56.1,55.9,56,56,54.9,54.6,56.5,59.9,62.9,64.2,63.6,61.6,63.5,61.9,61.8,62.7,63.8,62.5,64.2,66.5,66.9,68.8,69.3,69.2,69.9,73.1,74.8,75.7,78.5,79,79.4,80.1,81.5,85,86.7,89.4,90.9,89.6,89.1,86.8,87.2,89.3,91.6,95.5,98.1,100.5,101.5,105.7,109,110.5
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,35.1,35.1,36,41.9,44.4,43.4,45.5,45.6,42.8
"25","16","  Gross domestic product excluding motor vehicle output","A962RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,813.3,816,831.5,847.2,869.2,891.9,908.9,924.6,949.8,968.5
"26","17","  Final sales of computers \3\","BB01RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Research and development","Y694RC1",2.4,2.4,2.5,2.5,2.7,2.7,2.8,2.8,2.7,2.7,2.7,2.7,2.9,3,3.1,3.2,3.3,3.4,3.5,3.7,3.9,4.1,4.4,4.6,4.8,5,5.2,5.3,5.4,5.5,5.6,5.7,5.8,6,6.4,6.9,7.6,8.2,8.7,9.1,9.3,9.5,9.7,9.9,10.1,10.3,10.5,10.8,11,11.3,11.5,11.7,12.2,12.6,12.8,13.1,13.4,13.8,14.1,14.4,14.7,15.1,15.6,16.1,16.7,17.3,17.9,18.3,18.7,19.1,19.5,19.8,20.1,20.5,21,21.7,22.4,23,23.6,24,24.3,24.6,25,25.4,25.9,26.4,26.8,27.3,27.7,28.1
"29","20","  Gross domestic product excluding research and development","Y695RC1",240.7,243.9,247.7,257.8,263.5,270.2,276.7,277.9,272.7,269,270.6,268.2,278.3,287.7,305.4,317.1,333.1,341.1,348.3,352.9,356.3,357.3,363.7,376.6,383.7,387.2,386.5,381.2,380.5,381.2,386,394.6,408,416.2,424.5,430.9,432.9,438.5,443.3,452.2,461.3,463.3,470.6,465.8,458.3,462.5,476.1,489.6,500,512.9,513.7,517.6,531.2,530.1,533.2,528,532.6,543.7,554.1,567.2,580.4,587.4,594,597,605.9,614.5,627.1,636.5,652.4,661.6,673.3,678.7,699.1,711.8,729.1,751.4,775,784.1,797.2,810.9,821.7,826.4,841.6,857.8,885.2,909.9,925.5,942.8,967.7,983.3
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
