"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","4","    Motor vehicles and parts","DMOTRG3",35.217,36.28,38.035,38.13,38.304,40.663,44.681,48.097,50.907,54.436,58.54,62.879,67.743,70.954,73.173,75.264,77.007,79.131,82.752,84.052,86.535,86.814,89.256,90.94,94.522,98.91,102.829,104.892,105.29,104.146,104.462,104.847,105.258,104.705,101.76,100.942,102.49,102.549,101.982,99.653,100,105.735,108.645,110.375,111.064
"12","5","    Furnishings and durable household equipment","DFDHRG3",52.156,53.29,54.254,55.025,56.323,60.913,66.968,69.85,72.426,76.09,80.836,87.404,93.864,98.701,101.001,102.225,103.346,104.435,106.085,107.597,107.918,109.01,109.632,110.93,111.519,113.241,113.064,113.385,113.217,113.122,111.651,110.844,108.944,106.693,103.689,102.41,102.43,101.904,101.075,100.39,100,95.761,94.247,93.972,92.058
"13","6","    Recreational goods and vehicles","DREQRG3",217.957,218.252,226.014,229.291,232.802,243.117,259.208,268.133,275.846,285.744,298.463,315.048,329.175,336.775,332.745,328.035,322.27,312.043,308.099,306.124,305.31,302.833,298.989,289.804,279.406,273.586,262.087,243.51,223.129,204.295,186.497,174.832,162.919,152.363,142.74,135.716,128.357,120.579,112.311,106.669,100,92.854,86.679,81.424,76.993
"14","7","    Other durable goods","DODGRG3",32.324,33.164,34.074,35.177,36.325,39.119,42.093,44.144,46.08,48.638,52.65,63.419,66.908,67.554,69.732,71.221,71.998,73.699,78.716,83.857,87.755,93.287,96.74,99.294,100.058,101.656,103.348,102.732,101.29,99.438,96.935,95.652,95.957,94.577,92.774,92.532,91.949,93.334,95.718,98.866,100,100.43,103.601,104.174,104.06
"15","8","  Nondurable goods","DNDGRG3",24.109,25.194,25.905,26.736,28.891,33.261,35.831,36.998,39.118,41.618,46.103,51.76,55.757,57.022,58.001,59.207,60.315,59.545,61.57,63.527,66.679,70.501,72.559,73.614,74.212,74.607,75.387,77.094,77.899,77.326,79.248,82.651,83.529,83.538,85.264,88.214,91.592,94.438,97.214,102.653,100,103.085,109.128,111.765,111.994
"16","9","    Food and beverages purchased for off-premises consumption","DFXARG3",21.121,22.299,22.807,23.894,26.919,31.012,33.343,33.963,35.964,39.405,43.275,46.913,50.256,51.578,52.17,53.738,54.323,55.601,57.356,59.066,62.181,65.219,67.266,67.783,68.731,69.881,71.396,73.574,74.976,75.918,77.161,78.969,81.271,82.5,84.062,86.686,88.2,89.683,93.182,98.851,100,100.309,104.276,106.657,107.777
"17","10","    Clothing and footwear","DCLORG3",66.846,69.333,71.798,73.101,75.528,81.131,84.769,87.489,91.223,92.947,94.765,98.241,101.484,102.971,104.38,104.922,107.174,106.732,109.807,113.34,114.999,118.747,121.007,121.908,121.256,119.216,116.431,115.029,115.065,112.971,111.475,110.148,107.965,105.13,102.526,102.171,101.268,100.872,99.936,99.13,100,99.347,101,104.651,105.648
"18","11","    Gasoline and other energy goods","DGOERG3",12.395,12.569,12.774,12.925,14.274,19.85,21.244,22.261,23.85,24.948,33.605,46.728,52.706,50.258,48.316,47.816,47.918,37.62,39.011,39.301,42.785,48.995,48.175,47.808,47.338,47.455,48.091,51.367,51.365,44.786,48.473,62.668,60.508,56.638,66.186,77.761,95.226,107.471,116.409,137.313,100,118.14,148.588,153.621,150.11
"19","12","    Other nondurable goods","DONGRG3",20.55,21.509,22.333,22.889,23.513,25.826,28.792,30.282,32.037,33.779,35.988,39.275,42.604,45.901,49.063,50.881,52.85,54.954,57.168,59.726,63.026,66.215,69.743,72.368,73.589,74.104,75.416,76.844,77.646,79.108,82.206,84.003,85.949,87.522,87.759,88.795,90.141,92.06,93.361,95.601,100,101.954,103.599,105.312,105.557
"20","13","Services","DSERRG3",16.109,17.003,17.932,18.693,19.599,21.261,23.09,24.691,26.552,28.616,31.007,34.215,37.703,40.637,43.168,45.416,47.676,49.619,51.072,53.5,55.965,58.472,60.697,62.83,65.005,66.762,68.593,70.461,72.427,73.921,75.403,77.497,79.871,81.964,84.531,87.056,89.93,92.974,95.977,98.943,100,101.663,103.463,105.689,107.751
"21","14","  Household consumption expenditures (for services)","DHCERG3",15.359,16.217,17.102,17.829,18.684,20.232,21.969,23.505,25.282,27.257,29.522,32.586,35.965,38.928,41.539,43.836,46.121,48.111,49.596,52.05,54.646,57.34,59.752,62.123,64.465,66.271,68.152,70.031,71.952,73.33,74.761,76.762,79.066,81.211,83.956,86.622,89.524,92.642,95.707,98.763,100,101.781,103.628,105.98,108.046
"22","15","    Housing and utilities","DHUTRG3",16.061,16.76,17.619,18.286,19.107,20.164,21.75,23.324,25.39,27.183,29.38,32.457,36.037,39.36,41.907,44.039,46.359,48.564,50.311,52.303,54.41,56.774,58.657,60.295,62.037,63.639,65.36,67.293,69.126,70.755,72.439,74.885,78.361,80.636,83.182,85.516,88.551,92.277,95.513,98.869,100,100.249,101.683,103.616,106.221
"23","16","    Health care","DHLCRG3",9.684,10.416,10.953,11.418,11.957,13.093,14.565,15.969,17.3,18.76,20.589,23.082,25.901,28.816,31.452,33.806,35.856,37.988,40.432,43.584,47.416,51.462,55.439,59.336,62.507,65.047,67.42,69.007,70.389,71.716,73.29,75.354,77.882,79.883,82.918,85.984,88.718,91.41,94.79,97.352,100,102.517,104.399,106.286,107.778
"24","17","    Transportation services","DTRSRG3",17.516,18.869,20.195,20.964,21.891,23.767,26.394,28.363,30.331,32.339,35.214,40.874,45.846,48.385,50.222,52.204,53.234,53.767,56.046,58.666,61.245,63.586,65.331,67.188,69.525,70.372,71.926,72.833,74.447,75.759,76.888,79.195,80.084,80.469,82.2,83.421,86.461,90.024,92.097,97.022,100,102.024,104.73,106.75,107.971
"25","18","    Recreation services","DRCARG3",20.272,21.207,22.14,22.708,23.514,25.145,26.999,28.335,29.69,31.466,33.544,36.08,38.38,40.472,42.229,44.054,45.956,47.732,49.582,51.484,54.044,56.994,59.958,61.818,63.798,65.161,66.597,68.815,71.04,72.799,75.138,78.044,80.6,82.922,85.467,87.722,90.19,93.249,95.861,98.848,100,101.075,102.808,105.622,107.46
"26","19","    Food services and accommodations","DFSARG3",15.899,17.074,17.985,18.65,19.925,22.23,24.232,25.836,27.707,30.129,33.382,36.615,39.885,42.166,43.987,45.971,47.948,49.913,51.929,54.162,56.615,59.206,61.57,62.877,64.111,65.236,66.775,68.575,70.609,72.502,74.376,76.458,78.64,80.542,82.247,84.974,87.695,90.649,94.158,97.821,100,101.33,103.887,106.842,109.079
"27","20","    Financial services and insurance","DIFSRG3",22.995,24.176,25.625,27.195,27.838,30.068,32.293,33.597,36.178,40.952,43.183,46.524,50.04,52.928,58.03,61.699,66.88,67.884,64.651,67.743,69.707,70.707,70.303,72.645,76.497,77.946,79.641,82.364,85.64,85.681,85.043,85.9,85.579,87.674,91.508,95.008,97.947,100.576,103.496,104.619,100,103.993,105.966,110.057,112.067
"28","21","    Other services","DOTSRG3",16.242,17.025,18.03,18.952,20.067,22.237,23.831,25.32,26.621,28.018,30.052,32.782,36.138,38.951,41.149,43.243,44.819,47.17,48.313,50.341,52.233,54.328,56.941,59.369,61.423,63.715,65.792,67.691,69.587,71.007,72.748,74.123,76.418,79.367,82.342,85.038,88.178,91.137,93.687,97.505,100,102.413,104.25,106.415,108.728
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",65.295,68.143,71.952,74.925,79.755,91.299,99.685,104.855,112.035,119.387,131.067,143.257,150.362,142.523,131.821,126.093,123.315,119.263,116.968,115.616,108.061,98.986,91.535,83.178,78.736,78.58,78.503,79.864,83.25,88.899,92.092,97.17,101.711,102.151,99.609,98.123,100.153,101.089,102.417,103.124,100,98.946,99.642,98.932,100.983
"30","23","    Gross output of nonprofit institutions \2\","DNPERG3",13.728,14.629,15.334,16.061,17.09,19.139,21.063,22.701,24.398,26.253,28.886,32.335,35.866,38.668,40.758,42.731,44.452,46.007,48.025,50.856,53.658,56.202,58.814,60.95,62.83,64.641,66.467,68.289,70.035,72.131,74.102,77.007,79.972,82.258,84.714,87.278,90.308,93.309,96.179,98.645,100,101.83,103.784,105.479,107.701
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",8.558,9.193,9.61,10.087,10.732,11.925,13.159,14.299,15.397,16.619,18.298,20.637,23.284,26.097,28.591,30.803,32.642,34.473,36.656,39.61,43.303,47.151,51.123,54.974,58.033,60.215,62.429,64.324,65.669,66.952,68.607,70.942,73.47,76.229,80.082,83.806,87.105,90.699,94.042,97.086,100,102.826,105.211,107.736,110.037
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRG3",22.237,23.281,24.377,25.164,26.125,28.196,30.557,32.414,34.494,36.801,39.478,43.092,46.856,49.88,52.465,54.644,56.897,58.849,60.717,63.288,65.868,68.491,70.885,73.019,75.006,76.679,78.323,79.799,81.194,82.198,83.29,84.744,86.277,87.749,89.048,90.751,92.71,94.785,96.829,98.824,100,101.287,102.743,104.632,105.936
"34","26","  Energy goods and services \5\","DNRGRG3",12.736,13.039,13.501,13.851,15.045,19.616,21.55,22.996,24.939,26.343,32.849,42.917,48.688,49.539,50.002,50.632,51.166,44.833,45.329,45.676,48.375,52.465,52.696,52.942,53.424,53.632,54.054,56.585,57.179,52.352,54.473,64.425,66.035,62.195,70.045,77.994,91.453,101.824,107.968,123.442,100,110.072,127.427,129.209,128.611
"35","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.131,61.442,64.286,67.422,70.016,72.011,73.729,75.161,76.701,78.192,79.361,79.848,80.978,82.91,84.491,85.441,87.097,89.145,91.611,94.084,96.39,99.63,100,101.497,104.034,105.92,107.062
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.24,62.827,65.617,68.636,71.528,73.894,75.829,77.41,79.051,80.342,81.53,82.446,83.471,84.734,86.231,87.525,88.712,90.254,92.017,94.038,95.957,98.129,100,101.047,102.48,104.32,105.57
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
