"","Table 6#2D# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4066C0",20885,22443,24343,24623,25058,24824,26350,27468,28955,30504,30141,27875,27449,28476,30379
"72","65","    Professional, scientific, and technical services","N4067C0",367110,404222,462628,477188,468283,477003,505621,552518,606493,653875,692225,668853,681158,728245,777427
"73","66","      Legal services","N4068C0",65575,68814,75132,81067,85181,89875,93971,98612,104024,109969,113217,109825,108161,112422,115440
"74","67","      Computer systems design and related services","N4069C0",78353,93498,114027,112009,99100,97556,104225,114427,127377,140533,149557,147467,156493,172759,193051
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4070C0",223182,241911,273469,284112,284002,289572,307425,339479,375092,403373,429451,411561,416504,443064,468937
"76","69","    Management of companies and enterprises \6\","N4071C0",118526,126275,147585,150218,150324,159548,175370,185082,200410,219428,220536,207560,227014,239831,261128
"77","70","    Administrative and waste management services","N4072C0",177755,192170,218762,223996,227779,235436,252997,274626,292389,309985,313865,289210,306610,324311,343680
"78","71","      Administrative and support services","N4073C0",164513,178210,204233,208675,211893,218782,235391,255730,272414,289357,292152,267881,278838,299365,318071
"79","72","      Waste management and remediation services","N4074C0",13242,13960,14529,15322,15886,16654,17605,18896,19976,20628,21713,21329,27772,24946,25608
"80","73","    Educational services","N4075C0",64357,69479,74443,79625,88675,94171,101860,105514,112819,120693,129145,139538,144985,150332,157726
"81","74","    Health care and social assistance","N4076C0",436213,460800,488822,524870,565864,606372,650226,687534,733344,775118,824565,862953,887439,917754,954149
"82","75","      Ambulatory health care services","N4077C0",197234,206125,218869,234847,251643,267284,288528,305865,327438,346296,366744,381631,398182,415938,435441
"83","76","      Hospitals","N4078C0",148214,156041,163450,177063,191634,208166,223645,236687,253600,268046,286650,302941,303644,314401,326370
"84","77","      Nursing and residential care facilities","N4079C0",56163,59818,64107,68702,74292,78634,82763,85275,90118,94819,100986,105022,109244,111140,113276
"85","78","      Social assistance","N4080C0",34602,38816,42397,44257,48295,52289,55291,59706,62188,65958,70186,73359,76369,76276,79061
"86","79","    Arts, entertainment, and recreation","N4081C0",45832,49773,55253,57957,61440,64121,67141,68509,73092,76964,80534,78648,79592,82045,86388
"87","80","      Performing arts, spectator sports, museums, and related activities","N4082C0",21548,23739,26438,27839,29593,31134,32563,33037,36586,38764,40672,40268,40744,42171,44283
"88","81","      Amusements, gambling, and recreation industries","N4083C0",24284,26034,28815,30118,31847,32987,34577,35472,36506,38199,39863,38380,38848,39874,42104
"89","82","    Accommodation and food services","N4084C0",149813,164220,175131,183122,188578,198735,213026,222845,233368,247694,252346,242864,248405,262694,281601
"90","83","      Accommodation","N4085C0",41837,46379,49949,50638,49940,51070,54978,57195,59305,63164,65442,59774,60765,64367,67509
"91","84","      Food services and drinking places","N4086C0",107976,117840,125181,132484,138638,147665,158048,165650,174063,184530,186904,183090,187640,198327,214092
"92","85","    Other services, except government","N4087C0",153018,159508,171795,177285,189042,196337,206065,209479,219011,231125,240014,235873,232301,240718,251038
"93","86","  Government","A4076C0",935469,988376,1051895,1119403,1191642,1266545,1342867,1404133,1466236,1540984,1617492,1666161,1723475,1733312,1742756
"94","87","    Federal","B4077C0",234412,241612,256305,264870,290711,321139,342277,362369,375136,390549,410434,433525,462215,470524,467910
"95","88","      General government","B568RC0",185846,191682,202444,211183,236362,266924,284247,303686,314780,329561,350247,375491,404756,413246,411081
"96","89","        Civilian","B4079C0",116331,120360,128011,131200,143889,156283,166886,176863,182888,192109,202988,218548,241542,248830,248233
"97","90","        Military \7\","W4080C0",69515,71322,74433,79983,92473,110641,117362,126823,131892,137452,147259,156943,163215,164416,162848
"98","91","      Government enterprises","A4081C0",48566,49930,53861,53687,54349,54215,58029,58683,60356,60988,60187,58034,57458,57277,56829
"99","92","    State and local","B4082C0",701056,746764,795590,854532,900930,945405,1000590,1041764,1091100,1150436,1207058,1232636,1261260,1262788,1274846
"100","93","      General government","B251RC0",652522,695113,740400,794404,836392,876522,926296,964970,1011099,1065498,1117676,1141874,1167409,1167989,1178485
"101","94","        Education","B4084C0",346751,370274,395857,423499,445621,468246,493949,515257,541910,570516,597351,610690,629072,629134,634434
"102","95","        Other \8\","B4085C0",305771,324839,344543,370904,390770,408275,432347,449713,469190,494982,520325,531185,538337,538856,544051
"103","96","      Government enterprises \8\","B4086C0",48534,51651,55190,60129,64539,68884,74294,76794,80000,84938,89382,90762,93850,94798,96361
"104","97","Rest of the world","A4187C0",-4563,-7170,-6565,-7205,-7799,-7312,-8292,-10158,-10519,-9630,-10759,-7841,-8038,-8086,-8343
"105","98","  Receipts from the rest of the world","B4188C0",2437,4246,4395,4513,4570,4672,4734,4795,5013,5101,5181,5478,5930,6104,6285
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,11416,10960,11718,12369,11984,13026,14953,15532,14731,15940,13319,13968,14190,14628
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
