"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","  Goods","DGDSRG3",22.862,23.082,23.435,24.052,24.397,24.658,25.038,24.851,24.543,24.264,23.983,23.842,23.713,23.845,24.431,24.947,25.963,26.185,26.15,26.462,26.526,26.372,26.47,26.401,26.378,26.302,26.299,26.305,26.424,26.323,26.135,26.002,26.039,26.016,26.102,26.109,26.183,26.377,26.664,26.815,27.053,27.26,27.473,27.568,28.02,28.033,27.962,27.83,28.016,28.05,28.138,28.212,28.172,28.313,28.353,28.46,28.495,28.377,28.45,28.402,28.486,28.551,28.596,28.676,28.708,28.711,28.886,28.954,29.091,29.082,29.136,29.206,29.271,29.441,29.513,29.514,29.783,29.999,30.188,30.362,30.338,30.41,30.734,30.97,31.257,31.522,31.812,32.132,32.356,32.744
"12","4","    Durable goods","DDURRG3",44.508,44.917,45.168,45.757,46.106,46.711,48.337,48.424,48.262,47.946,47.363,47.306,47.162,47.523,48.182,48.977,50.788,51.127,51.146,51.64,51.992,51.379,51.911,50.692,51.186,51.244,50.916,51.015,51.422,50.13,49.308,49.021,49.326,49.568,50.04,50.173,50.364,50.472,51.202,51.87,52.287,53.01,53.005,53.108,54.052,53.834,53.779,53.587,54.522,54.73,54.721,54.697,54.617,54.552,54.385,54.29,54.299,54.556,54.804,54.736,54.744,54.815,54.995,54.779,54.796,54.964,55.119,55.293,55.373,55.341,55.281,55.171,55.18,55.007,54.733,54.432,54.359,54.593,54.834,55.085,54.97,55.212,55.821,56.385,56.75,57.096,57.572,58.097,58.436,58.874
"13","5","      Motor vehicles and parts","DMOTRG3",22.835,22.853,23.198,23.533,23.79,24.079,25.955,25.744,25.851,25.923,25.635,25.647,25.687,25.894,25.851,25.907,26.713,26.899,26.985,28.032,28.708,28.219,28.992,27.181,27.976,28.019,27.382,27.586,28.295,26.74,26.026,26.06,26.479,26.894,27.405,27.585,27.845,27.799,28.548,29.096,29.715,30.371,30.201,30.14,31.217,31.176,31.379,31.211,32.664,32.883,32.835,32.8,32.53,32.312,32.024,31.864,31.881,32.261,32.677,32.638,32.658,32.909,33.129,32.869,32.881,33.09,33.259,33.37,33.477,33.425,33.432,33.35,33.469,33.264,33.028,32.829,32.729,32.9,32.996,33.066,32.692,32.962,33.646,34.189,34.185,34.355,34.623,34.925,34.956,35.147
"14","6","      Furnishings and durable household equipment","DFDHRG3",40.087,40.627,41.028,41.567,41.819,42.359,42.942,43.065,42.374,41.541,41.17,41.067,40.854,41.344,42.665,44.197,46.221,46.834,46.704,46.555,46.485,45.985,46.1,45.875,45.914,46.123,46.369,46.359,46.196,46.153,45.957,45.587,45.573,45.551,45.699,45.707,45.602,45.768,46.088,46.577,46.522,46.762,46.861,46.983,47.245,46.662,46.398,46.435,46.51,46.735,46.802,46.811,46.966,47.11,47.181,47.25,47.249,47.316,47.302,47.275,47.294,47.239,47.186,47.194,47.178,47.188,47.247,47.393,47.415,47.389,47.261,47.15,47.085,47.057,46.943,46.911,46.965,47.152,47.536,47.9,48.066,48.244,48.595,48.913,49.65,50.187,50.576,51.016,51.482,51.993
"15","7","      Recreational goods and vehicles","DREQRG3",207.981,210.517,209.778,213.084,215.503,219.383,225.448,229.776,231.705,231.803,229.819,230.344,227.694,226.361,229.624,231.857,237.673,234.862,232.731,229.232,227.527,225.402,225.155,223.934,222.409,222.422,223.502,222.228,220.812,217.333,213.455,210.355,209.872,208.31,208.654,208.219,208.751,210.126,211.685,213.921,214.36,217.531,219.773,222.601,225.664,226.217,224.449,221.872,218.865,217.775,217.812,217.891,218.878,219.699,219.999,219.712,219.237,218.824,218.141,217.383,216.793,216.229,215.728,215.258,215.157,215.564,215.958,215.605,213.791,213.219,212.637,212.189,211.799,210.821,209.694,207.78,207.43,207.382,207.78,208.184,208.855,208.711,208.494,209.743,211.288,212.096,213.684,215.133,216.489,217.932
"16","8","      Other durable goods","DODGRG3",27.598,27.917,27.348,27.524,27.531,27.82,28.047,28.221,28.295,28.192,27.357,27.228,27.096,27.18,27.426,27.774,28.892,28.921,29.328,29.054,28.931,28.883,28.884,29.23,29.138,28.989,29.163,29.167,29.229,28.755,28.174,27.901,28.171,28.112,28.153,28.189,28.274,28.4,28.54,28.59,28.452,28.687,28.703,28.709,28.606,28.766,28.68,28.641,28.796,28.824,28.818,28.796,28.86,28.892,28.905,28.893,28.909,28.823,28.799,28.779,28.829,28.464,28.803,28.725,28.825,28.793,28.757,29.051,29.407,29.628,29.655,29.696,29.467,29.63,29.538,29.143,29.115,29.382,29.477,29.771,30.011,30.03,30.18,30.325,30.461,30.457,30.881,31.397,31.908,32.229
"17","9","    Nondurable goods","DNDGRG3",16.217,16.375,16.671,17.175,17.457,17.632,17.803,17.619,17.35,17.127,16.932,16.804,16.698,16.775,17.256,17.652,18.397,18.564,18.524,18.758,18.777,18.707,18.74,18.817,18.736,18.657,18.696,18.69,18.752,18.814,18.739,18.652,18.651,18.598,18.616,18.605,18.649,18.823,19.003,19.061,19.237,19.341,19.547,19.625,19.938,19.976,19.915,19.814,19.875,19.88,19.966,20.04,20.012,20.156,20.216,20.329,20.36,20.218,20.255,20.217,20.296,20.35,20.37,20.476,20.505,20.485,20.635,20.677,20.801,20.797,20.86,20.945,21.008,21.206,21.323,21.371,21.658,21.841,21.994,22.132,22.126,22.161,22.393,22.544,22.777,22.993,23.213,23.456,23.63,23.96
"18","10","      Food and beverages purchased for off-premises consumption","DFXARG3",14.537,14.575,14.885,15.423,15.574,15.644,15.745,15.391,15.176,15.023,14.855,14.77,14.623,14.731,15.22,15.535,16.422,16.58,16.533,16.908,16.989,16.986,17.083,16.993,16.75,16.635,16.669,16.675,16.707,16.813,16.638,16.516,16.497,16.383,16.327,16.25,16.232,16.439,16.611,16.647,16.802,16.866,17.103,17.157,17.664,17.816,17.684,17.597,17.566,17.466,17.506,17.49,17.451,17.672,17.658,17.834,17.881,17.751,17.692,17.647,17.814,17.855,17.881,17.958,18.035,17.963,18.126,18.136,18.327,18.345,18.476,18.572,18.535,18.798,18.94,18.936,19.372,19.584,19.68,19.745,19.546,19.465,19.697,19.773,19.963,20.116,20.269,20.51,20.594,20.914
"19","11","      Clothing and footwear","DCLORG3",46.325,47.24,47.693,48.641,49.641,50.445,50.737,50.742,49.571,48.556,47.692,47.064,46.817,46.897,47.99,49.641,51.454,52.25,52.269,52.088,51.713,50.751,50.25,51.828,51.902,50.945,50.72,50.491,51.074,50.997,51.382,51.114,50.928,50.877,51.107,51.099,51.442,51.789,52.22,52.437,52.589,52.674,52.77,52.948,52.971,52.983,52.977,52.95,53.152,53.314,53.554,53.672,53.797,54.083,54.286,54.39,54.417,54.303,54.555,54.533,54.329,54.542,54.763,54.826,54.886,54.988,55.136,55.367,55.547,55.673,55.63,55.603,55.812,55.93,56.242,56.407,56.862,57.333,57.91,58.488,59.147,59.681,60.341,60.927,61.841,62.98,64.008,64.835,65.679,66.452
"20","12","      Gasoline and other energy goods","DGOERG3",7.182,7.385,7.611,7.955,8.319,8.54,8.692,8.754,8.727,8.714,8.697,8.673,8.681,8.699,8.854,8.964,9.068,9.047,8.985,9.077,9.138,9.183,9.251,9.26,9.353,9.47,9.665,9.751,9.745,9.749,9.695,9.672,9.724,9.776,9.863,9.913,9.96,10.025,10.222,10.293,10.508,10.631,10.614,10.609,10.654,10.43,10.491,10.316,10.504,10.586,10.578,10.815,10.688,10.689,10.916,10.944,10.936,10.644,10.887,10.822,10.784,10.85,10.816,11.058,10.955,10.824,10.935,10.902,10.865,10.752,10.734,10.86,11.047,11.151,11.184,11.304,11.311,11.336,11.478,11.623,11.705,11.788,11.855,11.892,11.973,11.956,12.069,12.106,12.245,12.474
"21","13","      Other nondurable goods","DONGRG3",13.522,13.639,13.819,14.071,14.279,14.407,14.705,14.722,14.496,14.241,14.112,13.993,13.969,14,14.412,14.713,15.109,15.207,15.199,15.298,15.258,15.246,15.275,15.266,15.388,15.547,15.532,15.487,15.486,15.522,15.542,15.57,15.631,15.641,15.698,15.792,15.871,15.954,15.993,16.018,16.157,16.311,16.626,16.787,16.868,16.887,16.883,16.834,16.921,17.049,17.255,17.347,17.398,17.402,17.408,17.427,17.449,17.457,17.447,17.453,17.504,17.508,17.495,17.527,17.556,17.706,17.821,17.923,17.996,18.003,18.013,18.048,18.142,18.26,18.308,18.352,18.452,18.581,18.69,18.795,18.891,18.955,19.139,19.358,19.543,19.75,19.896,20.078,20.218,20.428
"22","14","  Services","DSERRG3",8.388,8.434,8.636,8.832,8.883,8.971,9.106,9.14,9.133,9.152,9.182,9.248,9.287,9.321,9.464,9.586,9.761,9.832,9.885,10.035,10.105,10.185,10.293,10.373,10.481,10.562,10.7,10.806,10.868,10.888,10.908,10.955,11.019,11.059,11.113,11.18,11.245,11.31,11.405,11.475,11.58,11.634,11.733,11.818,11.903,11.944,12.001,12.062,12.15,12.238,12.353,12.461,12.517,12.586,12.67,12.736,12.769,12.825,12.887,12.942,13.019,13.082,13.13,13.172,13.234,13.272,13.316,13.385,13.45,13.518,13.586,13.646,13.704,13.762,13.831,13.919,14.007,14.136,14.267,14.408,14.507,14.612,14.725,14.864,15.042,15.222,15.398,15.585,15.785,16
"23","15","    Household consumption expenditures","DHCERG3",7.985,8.028,8.216,8.402,8.449,8.529,8.657,8.69,8.687,8.705,8.733,8.796,8.832,8.864,8.997,9.107,9.27,9.336,9.386,9.532,9.602,9.681,9.787,9.867,9.969,10.047,10.18,10.281,10.338,10.359,10.377,10.422,10.482,10.52,10.569,10.63,10.689,10.751,10.84,10.904,11.001,11.052,11.145,11.225,11.305,11.346,11.399,11.46,11.551,11.628,11.732,11.84,11.913,11.996,12.087,12.153,12.18,12.23,12.285,12.338,12.414,12.475,12.523,12.563,12.62,12.656,12.698,12.765,12.83,12.898,12.963,13.022,13.073,13.126,13.193,13.275,13.357,13.48,13.604,13.738,13.835,13.933,14.042,14.175,14.345,14.518,14.686,14.865,15.052,15.254
"24","16","      Housing and utilities","DHUTRG3",9.58,9.63,9.821,10.097,10.188,10.254,10.342,10.433,10.527,10.564,10.612,10.706,10.829,10.874,10.965,11.029,11.173,11.268,11.38,11.556,11.653,11.735,11.802,11.943,12.101,12.214,12.397,12.563,12.635,12.628,12.651,12.702,12.782,12.838,12.866,12.91,12.96,12.995,13.093,13.126,13.186,13.216,13.3,13.399,13.424,13.501,13.565,13.63,13.618,13.712,13.787,13.878,13.928,13.972,14.039,14.091,14.122,14.192,14.228,14.236,14.298,14.32,14.378,14.392,14.45,14.488,14.502,14.56,14.571,14.613,14.655,14.675,14.701,14.732,14.763,14.817,14.88,14.936,14.962,15.05,15.125,15.173,15.239,15.322,15.411,15.515,15.605,15.719,15.831,15.967
"25","17","      Health care","DHLCRG3",3.832,3.915,4.127,4.217,4.19,4.234,4.295,4.279,4.282,4.303,4.317,4.332,4.345,4.35,4.412,4.493,4.566,4.595,4.589,4.655,4.736,4.798,4.874,4.904,5.008,5.019,5.08,5.123,5.198,5.218,5.242,5.272,5.365,5.391,5.419,5.492,5.567,5.578,5.615,5.678,5.757,5.793,5.874,5.946,6.009,6.018,6.094,6.156,6.13,6.195,6.261,6.385,6.445,6.622,6.755,6.829,6.815,6.793,6.806,6.837,6.892,6.961,7.015,7.075,7.11,7.148,7.214,7.26,7.337,7.395,7.451,7.528,7.576,7.638,7.684,7.739,7.816,7.927,8.058,8.2,8.325,8.436,8.572,8.707,8.848,8.977,9.106,9.255,9.415,9.607
"26","18","      Transportation services","DTRSRG3",8.033,8.01,8.014,8.035,8.107,8.324,8.819,9.174,9.129,9.131,9.17,9.361,9.436,9.457,9.652,9.901,10.086,10.23,10.371,10.503,10.44,10.559,10.792,10.934,10.961,11.104,11.263,11.396,11.423,11.531,11.59,11.685,11.732,11.802,11.86,11.94,12.107,12.234,12.283,12.316,12.479,12.626,12.744,12.907,12.933,12.993,13.087,13.193,13.283,13.395,13.497,13.564,13.649,13.674,13.752,13.866,13.979,14.111,14.199,14.256,14.337,14.45,14.491,14.485,14.476,14.486,14.503,14.546,14.647,14.665,14.706,14.758,14.82,14.916,14.986,15.069,15.054,15.104,15.279,15.441,15.566,15.719,15.87,15.999,16.204,16.405,16.574,16.816,17.09,17.418
"27","19","      Recreation services","DRCARG3",10.037,10.059,10.249,10.443,10.33,10.447,10.674,10.825,10.571,10.721,10.837,10.9,10.646,10.776,10.949,11.007,10.916,11.146,11.333,11.424,11.286,11.542,11.813,11.81,11.671,12.015,12.338,12.553,12.346,12.546,12.789,13.007,12.667,12.927,13.307,13.479,13.243,13.453,13.557,13.688,13.767,13.919,14.006,14.244,14.555,14.612,14.496,14.385,14.512,14.754,14.993,15.179,15.277,15.349,15.471,15.547,15.694,15.77,15.888,15.999,16.09,16.174,16.245,16.349,16.381,16.472,16.625,16.785,16.883,16.958,17.105,17.169,17.235,17.335,17.439,17.497,17.649,17.801,17.853,18.031,18.155,18.32,18.536,18.82,19.122,19.34,19.573,19.747,19.929,20.168
"28","20","      Food services and accommodations","DFSARG3",8.883,8.902,9.083,9.394,9.465,9.5,9.566,9.383,9.292,9.239,9.183,9.184,9.155,9.238,9.512,9.64,10.064,10.08,10.01,10.213,10.275,10.291,10.366,10.339,10.225,10.185,10.235,10.268,10.313,10.406,10.34,10.313,10.356,10.327,10.316,10.28,10.265,10.397,10.519,10.569,10.702,10.744,10.856,10.824,11.017,11.074,11.034,11.093,11.256,11.411,11.53,11.602,11.709,11.74,11.782,11.807,11.877,11.954,12.032,12.121,12.173,12.253,12.341,12.408,12.484,12.547,12.563,12.643,12.687,12.759,12.771,12.8,12.884,12.927,13.042,13.17,13.253,13.408,13.599,13.771,13.991,14.192,14.336,14.51,14.693,14.885,15.112,15.314,15.51,15.734
"29","21","      Financial services and insurance","DIFSRG3",9.213,9.281,9.583,9.736,9.764,9.885,10.053,10.088,10.064,10.089,10.138,10.218,10.283,10.256,10.335,10.425,10.432,10.405,10.423,10.546,10.711,10.919,11.221,11.498,11.965,12.242,12.514,12.667,12.746,12.749,12.788,12.88,13.043,13.108,13.199,13.338,13.463,13.521,13.622,13.753,13.938,14.008,14.096,14.137,14.135,14.123,14.286,14.509,15.051,14.989,15.052,15.225,15.452,15.626,15.842,16.037,16.04,16.1,16.346,16.596,16.892,17.004,16.949,16.919,16.96,16.864,16.939,17.077,17.335,17.573,17.789,17.983,17.961,18.004,18.151,18.363,18.767,19.105,19.392,19.584,19.511,19.494,19.643,19.964,20.343,20.863,21.391,21.837,22.405,22.83
"30","22","      Other services","DOTSRG3",8.338,8.389,8.616,8.735,8.801,8.903,9.022,9.057,9.074,9.107,9.166,9.232,9.261,9.257,9.391,9.555,9.713,9.79,9.863,10.021,10.107,10.167,10.251,10.306,10.479,10.526,10.633,10.703,10.791,10.728,10.74,10.79,10.85,10.865,10.947,11.06,11.189,11.239,11.348,11.457,11.564,11.62,11.725,11.847,11.96,11.967,12.033,12.04,12.213,12.226,12.405,12.536,12.576,12.654,12.735,12.79,12.778,12.817,12.846,12.895,12.954,13.03,13.054,13.136,13.238,13.293,13.353,13.42,13.501,13.573,13.667,13.75,13.852,13.924,14.012,14.102,14.115,14.291,14.478,14.621,14.684,14.799,14.882,14.978,15.214,15.408,15.574,15.772,15.956,16.15
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRG3",35.575,35.871,37.306,38.24,38.702,39.417,40.108,40.118,39.767,39.769,39.935,40.231,40.518,40.747,41.728,43.07,44.351,44.957,45.253,45.413,45.279,45.084,45.124,44.874,45.494,45.6,46.073,46.44,46.916,46.921,47.071,47.337,47.741,47.892,48.356,49.106,49.741,50.134,50.737,51.433,52.21,52.547,53.05,53.362,53.614,53.73,54.521,54.8,54.136,54.998,55.932,55.549,53.305,51.5,50.534,50.453,51.106,51.764,52.463,52.594,52.602,52.744,52.721,52.805,53.275,53.508,53.688,53.779,53.665,53.613,53.86,53.943,54.669,55.153,55.37,55.907,56.414,57.02,57.578,58.215,58.329,59.029,59.386,59.877,60.481,60.983,61.645,62.495,63.696,64.877
"32","24","Gross private domestic investment","B006RG3",16.299,16.922,17.486,17.697,17.925,18.31,18.812,18.919,18.865,18.83,18.634,18.554,18.531,18.806,19.329,19.761,20.476,20.796,20.886,21.077,21.149,21.214,21.231,21.135,21.106,21.193,21.345,21.286,21.324,21.404,21.392,21.403,21.41,21.544,21.8,22.083,22.536,22.78,23.158,23.327,23.547,23.643,23.79,23.874,23.673,23.793,23.83,23.883,23.888,23.996,24.073,24.118,24.146,24.179,24.17,24.137,24.101,24.115,24.112,24.118,24.134,24.148,24.144,24.122,24.122,24.079,24.009,24.076,24.01,24.201,24.237,24.463,24.476,24.524,24.57,24.833,24.745,25.122,25.133,25.418,25.519,25.629,25.773,26.069,26.327,26.563,26.71,27.26,27.562,27.854
"33","25","  Fixed investment","B007RG3",15.363,15.942,16.34,16.676,16.842,17.21,17.731,17.921,17.892,17.866,17.672,17.607,17.605,17.889,18.39,18.735,19.353,19.645,19.799,20.002,20.095,20.184,20.219,20.178,20.196,20.307,20.465,20.416,20.433,20.512,20.513,20.533,20.552,20.69,20.94,21.209,21.643,21.877,22.239,22.404,22.618,22.72,22.873,22.968,22.785,22.886,22.921,22.964,22.996,23.095,23.167,23.209,23.241,23.282,23.277,23.243,23.198,23.216,23.208,23.211,23.228,23.249,23.242,23.22,23.224,23.19,23.119,23.181,23.114,23.314,23.347,23.581,23.596,23.642,23.691,23.954,23.852,24.244,24.246,24.531,24.628,24.748,24.906,25.204,25.472,25.714,25.869,26.424,26.728,27.016
"34","26","    Nonresidential","B008RG3",18.876,19.449,19.963,20.326,20.435,21.005,21.723,22.015,21.871,21.835,21.749,21.623,21.649,21.859,22.321,23.057,23.818,24.223,24.443,24.705,24.816,24.872,24.809,24.815,24.84,25.032,25.215,25.178,25.282,25.395,25.236,25.283,25.247,25.391,25.78,26.292,27,27.232,27.884,28.243,28.671,28.825,29.019,29.236,28.963,29.135,29.201,29.27,29.309,29.492,29.637,29.707,29.723,29.744,29.731,29.652,29.612,29.592,29.573,29.59,29.597,29.638,29.632,29.608,29.611,29.603,29.637,29.655,29.666,29.811,29.829,29.97,30.013,30.086,30.18,30.325,30.305,30.585,30.654,30.915,31.056,31.225,31.434,31.738,31.995,32.306,32.569,33.053,33.324,33.639
"35","27","      Structures","B009RG3",6.211,6.291,6.511,6.73,6.909,7.099,7.282,7.35,7.225,7.125,7.088,7.102,7.088,7.066,7.217,7.524,7.827,8.019,8.151,8.227,8.296,8.268,8.25,8.268,8.293,8.41,8.519,8.506,8.389,8.304,8.307,8.319,8.342,8.409,8.523,8.713,9.099,9.07,9.316,9.409,9.51,9.629,9.681,9.657,9.395,9.454,9.491,9.52,9.456,9.51,9.546,9.554,9.587,9.529,9.484,9.42,9.42,9.438,9.448,9.482,9.496,9.527,9.517,9.546,9.575,9.593,9.618,9.626,9.612,9.723,9.736,9.889,9.907,9.979,10.004,10.201,10.177,10.4,10.413,10.546,10.589,10.647,10.721,10.87,11.024,11.163,11.253,11.537,11.701,11.894
"36","28","      Equipment","Y033RG3",31.625,32.963,33.703,34.015,33.829,34.823,36.269,36.926,36.872,37.092,36.969,36.559,36.673,37.292,38.07,39.174,40.411,40.923,41.112,41.605,41.744,41.992,41.836,41.786,41.72,41.903,42.09,42.009,42.673,43.336,42.814,42.914,42.589,42.79,43.566,44.468,45.277,46.012,47.132,47.89,48.804,48.829,49.214,49.955,49.888,50.187,50.237,50.325,50.687,50.999,51.254,51.374,51.287,51.543,51.629,51.578,51.438,51.286,51.144,51.048,51.023,51.024,51.039,50.86,50.816,50.716,50.693,50.662,50.686,50.727,50.704,50.66,50.745,50.715,50.886,50.692,50.642,50.795,50.942,51.319,51.609,51.893,52.236,52.618,52.815,53.276,53.719,54.265,54.456,54.738
"37","29","        Information processing equipment","Y034RG3",406.762,421.076,429.004,431.889,426.765,429.354,433.731,435.76,435.806,433.326,432.555,436.224,442.517,437.969,443.227,451.656,467.652,470.663,473.597,469.584,472.886,468.594,456.684,449.938,455.768,459.994,461.882,464.069,457.03,462.464,463.4,476.903,474.874,468.161,467.379,470.912,484.162,465.572,495.125,489.883,503.809,501.904,500.676,522.078,510.469,513.617,514.375,513.484,513.769,515.887,519.389,521.301,515.698,518.065,514.524,512.116,509.603,512.484,504.714,505.484,501.459,500.56,494.671,488.569,482.746,480.489,477.086,474.033,473.787,472.804,467.804,467.606,465.384,457.577,460.802,448.859,442.714,437.041,430.488,427.59,427.766,427.853,429.514,428.276,425.182,424.33,423.601,426.279,427.463,427.431
