"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","Construction","B1705C0",775,795,813,926,1094,1214,1336,1370,1526,1751,1977,2066,2256,2384,2454,2693,3186,4064,3475
"14","7","Manufacturing","A1706C0",568,657,662,730,732,824,853,928,977,1170,1350,1823,1840,1807,2248,2850,3427,3595,3680
"15","8","  Durable goods","B1707C0",349,405,409,435,452,526,535,565,602,714,804,1005,970,918,1260,1633,2046,1795,1941
"16","9","  Nondurable goods","B1708C0",219,252,253,295,280,298,318,363,375,456,546,818,870,889,988,1217,1381,1800,1739
"17","10","Transportation and public utilities","A1709C0",976,1052,1095,1268,1395,1632,1761,1876,2223,2656,3176,3391,3602,3937,4269,5166,6231,7676,8793
"18","11","  Transportation","B1710C0",630,694,709,848,949,1142,1186,1172,1407,1769,2151,2250,2355,2442,2634,2752,3082,3504,3504
"19","12","  Communication","B1711C0",117,117,125,131,133,147,150,201,229,258,282,315,351,539,610,1064,1547,2086,3125
"20","13","  Electric, gas, and sanitary services","B1712C0",229,241,261,289,313,343,425,503,587,629,743,826,896,956,1025,1350,1602,2086,2164
"21","14","Wholesale trade","B1713C0",430,429,485,529,548,615,620,650,608,682,744,756,716,847,939,870,939,857,945
"22","15","Retail trade","B1714C0",1477,1497,1534,1614,1729,1731,1840,1985,2172,2482,2871,2958,3805,4019,4294,4603,5431,4758,5003
"23","16","Finance, insurance, and real estate","A1715C0",5091,5658,6364,7408,8399,9306,9852,10481,11483,13105,15899,18292,22581,23320,29339,35965,41703,47696,46410
"24","17","  Finance and insurance","B1716C0",142,159,177,198,229,258,324,312,425,426,791,777,1582,1955,2208,2330,2517,2664,1955
"25","18","  Real estate \1\","A1717C0",4949,5499,6187,7210,8170,9048,9528,10169,11058,12679,15108,17515,20999,21365,27131,33635,39186,45032,44455
"26","19","Services","B1720C0",2716,2902,3051,3357,3671,4120,4774,5092,5749,6466,7469,8476,11094,12111,14391,17631,20558,21414,20745
"27","20","  Hotels and other lodging places","B2616C0",373,420,452,483,504,586,673,689,730,917,1124,1146,1569,1797,2273,2835,3714,4056,4611
"28","21","  Personal services","B2617C0",336,368,351,391,381,377,404,396,476,495,544,539,642,607,735,965,1153,1220,1084
"29","22","  Business services","B2618C0",409,467,505,615,776,951,1264,1369,1655,1912,2220,2653,3570,4423,5188,5705,6846,6905,5998
"30","23","  Auto repair, services, and parking","B2619C0",201,191,216,227,261,276,285,355,392,441,555,615,650,751,922,1028,1332,1320,1342
"31","24","  Miscellaneous repair services","B2620C0",84,90,98,101,120,133,148,136,154,184,235,263,246,342,390,589,382,505,441
"32","25","  Motion pictures","B2621C0",225,222,227,214,213,286,406,359,255,266,185,276,260,217,326,813,581,700,533
"33","26","  Amusement and recreation services","B2622C0",232,232,258,304,325,374,375,463,522,508,564,627,769,873,1077,1014,1318,1289,1100
"34","27","  Health services","B2623C0",435,442,446,475,478,485,508,587,652,723,785,901,1064,1201,1467,1607,2028,1892,2551
"35","28","  Legal services","B2624C0",130,153,160,169,189,204,205,197,232,285,338,386,508,617,756,959,1178,1503,1158
"36","29","  Other \2\","B2625C0",291,317,338,378,424,448,506,541,681,735,919,1070,1816,1284,1257,2115,2026,2025,1927
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gardens; membership organizations; and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
