"","Table 5#7#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"26","18","    Nondurable goods industries","N357RC1",30.9,24.4,23.4,19,6.2,0.3,4.6,25.5,17.7,32.4,18.8,-7.1,-30.6,22.5,-9.8,1.5
"27","19","  Nonfarm industries","A015RC1",67.7,62.5,63.5,55.9,-38.3,21,19.2,55.1,59.4,70.5,35.2,-33.6,-146,68.9,42.8,77.8
"28","20","    Nonfarm change in book value \1\","B016RC1",49,39.7,70.1,79,-55.4,18.2,33.5,110.3,105.4,106.3,92.4,14.2,-153.7,127.1,125.7,92.8
"29","21","    Nonfarm inventory valuation adjustment \2\","B017RC1",18.7,22.8,-6.5,-23.1,17.1,2.8,-14.3,-55.2,-46.1,-35.8,-57.2,-47.8,7.7,-58.2,-82.9,-15
"30","22","  Wholesale trade","N658RC1",25.3,21.4,18.9,18.9,-12.3,0.2,1.3,20.8,27.7,22.4,15.3,18.7,-61.9,26.1,21.7,22.4
"31","23","    Merchant wholesale trade","N151RC1",22.7,19.5,16.3,14.8,-8,0.8,1.7,18.9,19.4,16.7,9.6,4.2,-46.1,21.6,11.9,20
"32","24","      Durable goods industries","N626RC1",15.2,15.1,12.4,10.4,-13.3,-2.1,2.6,18.3,16,14.4,2.6,6.7,-44.5,13.3,19.2,19.6
"33","25","      Nondurable goods industries","N627RC1",7.4,4.4,3.9,4.3,5.3,2.9,-0.9,0.6,3.4,2.3,7,-2.5,-1.6,8.3,-7.3,0.4
"34","26","    Nonmerchant wholesale trade","N152RC1",2.7,2,2.6,4.1,-4.3,-0.6,-0.4,1.9,8.3,5.7,5.7,14.5,-15.8,4.5,9.9,2.3
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. This series is derived from the Census Bureau series ""current cost inventories.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. The inventory valuation adjustment (IVA) shown in this table differs from the IVA that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","adjusts business incomes.  The IVA in this table reflects the mix of methods (such as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","first-in, first-out and last-in, first-out) underlying inventories derived primarily from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Census Bureau statistics (see footnote 1).  This mix differs from that underlying business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","income derived primarily from Internal Revenue Service statistics.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Note.  Estimates in this table are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
