"","Table 3#10#6# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"32","25","        Value added","W086RX1",311.6,308.1,308.1,312.2,320.8,328.3,333.8,335.7,340.3,354,373.5,385.4,390.9,387.5
"33","26","          Compensation of general government employees","B237RX1",194.7,193.2,194.4,199.5,206.4,210.2,211,207.8,207.1,214.9,228.8,236.2,238.6,233.9
"34","27","          Consumption of general government fixed capital \2\","B432RX1",116,114.2,113.3,113,114.9,118.5,123.1,127.9,133.2,139,144.6,149.2,152.3,153.6
"35","28","        Intermediate goods and services purchased \3\","W087RX1",134.8,133.1,146.4,166.5,193.7,211,212.8,218,222,246.1,263.1,273.6,260,245.6
"36","29","          Durable goods","A998RX1",24.3,24,24.2,25.2,27.7,30.6,30.9,33.6,36.9,43.2,45.8,46.9,44.5,43.4
"37","30","          Nondurable goods","A725RX1",15,15.7,16.2,18.5,20,22.7,22.9,22.4,22.6,23.4,24.4,23.6,24.3,22.6
"38","31","          Services","A489RX1",94.8,92.8,105.6,122.7,145.6,157.4,158.8,161.7,162.1,179.5,192.8,203.2,190.9,179.5
"39","32","      Less: Own-account investment \4\","W088RX1",11.9,12.4,14.3,15.8,16.4,16.2,16.9,17.8,19.2,19.5,19.5,19.5,19.8,18.8
"40","33","      Less: Sales to other sectors","W089RX1",2.5,2.8,2.8,2.9,3.1,3.1,3.9,4.8,3.5,3.9,3.8,3.6,3.8,3.7
"41","34","    Nondefense consumption expenditures \1\","A542RX1",214.1,222.7,235.4,253.3,264.1,270.4,274,282.5,282.3,299.8,320.4,339.2,325.6,336.9
"42","35","      Gross output of general government","W128RX1",232.4,242.6,254.3,271.5,283,289.7,295.7,302.4,301.2,319.6,341.5,361.4,349,355.9
"43","36","        Value added","W129RX1",186.8,192.8,194.9,199.4,204.4,205.1,207,209.6,212.8,220.2,230.2,238.8,239.6,242.5
"44","37","          Compensation of general government employees","W130RX1",125.3,129.2,129.2,131.6,134.9,133.6,133.3,133.4,134.2,139.2,146.7,153,151.3,152
"45","38","          Consumption of general government fixed capital \2\","B546RX1",62.3,64.5,66.3,68.2,69.9,71.8,73.8,76.2,78.6,81,83.5,85.9,88.3,90.6
"46","39","        Intermediate goods and services purchased \3\","W131RX1",46.8,50.9,60,72.4,78.7,84.7,88.9,92.9,88.5,99.5,111.3,122.6,109.5,113.4
"47","40","          Durable goods","A543RX1",1.4,1.5,1.6,2,2.1,2.3,2.5,2.8,2.9,3.2,3.5,3.9,3.7,3.8
"48","41","          Nondurable goods","A729RX1",9.6,11.7,15.2,15.8,19.1,20.5,21.1,21,20.5,23,26.4,27.6,24.5,25.4
"49","42","            Commodity Credit Corporation inventory change","B826RX1",0.2,0.9,1,0.1,-0.1,-1,-0.5,0,0,-0.1,0.1,-0.1,0,0
"50","43","            Other nondurable goods","B828RX1",9.5,10.7,14.3,15.6,19.3,21.5,21.6,21.1,20.5,23.2,26.3,27.8,24.5,25.3
"51","44","          Services","A544RX1",35.9,37.6,43.2,54.6,57.6,62.1,65.4,69.2,65.2,73.3,81.4,91.1,81.3,84.2
"52","45","      Less: Own-account investment \4\","W136RX1",14,13.9,14.9,14.9,15.1,15.1,15.4,15.2,14.7,14.9,15.4,15.3,15.1,14.3
"53","46","      Less: Sales to other sectors","W137RX1",4,5.9,3.8,3.3,3.7,4.1,6.3,4.7,4.2,5,5.7,6.9,8.4,4.8
"54","47","State and local consumption expenditures \1\","A991RX1",1327.6,1355.5,1401.3,1439.5,1430.3,1431.7,1440,1450.7,1474.1,1477.4,1508.4,1469.7,1426.8,1427.1
"55","48","      Gross output of general government","W138RX1",1665.9,1710.9,1777,1823,1815.4,1820.1,1831.1,1850.9,1877.4,1878.9,1913.9,1881.7,1847.9,1853.7
"56","49","        Value added","W139RX1",1156.3,1180.7,1208.9,1232.6,1240.5,1244.8,1253.6,1264.1,1281.8,1298.9,1304,1295.2,1281.7,1281.9
"57","50","          Compensation of general government employees","B251RX1",1038.3,1056.9,1079.6,1098.3,1102.3,1102.9,1108.1,1114.7,1128.1,1140.6,1141.9,1130.1,1114.3,1112.4
"58","51","          Consumption of general government fixed capital \2\","B986RX1",117.8,123.4,128.8,133.8,137.7,141.7,145.5,149.3,153.7,158.3,162.1,165.1,167.6,169.8
"59","52","        Intermediate goods and services purchased \3\","W140RX1",510.4,530.9,568.3,590.5,574.9,575.3,577.5,586.8,595.4,580.6,609.9,586.5,566.6,571.9
"60","53","          Durable goods","B989RX1",19.1,20.5,22,22.3,22,22.5,22.9,23.5,24.3,24.1,25.1,24.1,23.4,23.4
"61","54","          Nondurable goods","B337RX1",169.9,176.9,189.1,196,191.7,194.3,196,200.1,205.3,201,212,202.8,195.7,197.9
"62","55","          Services","A988RX1",321.9,333.7,357.4,372.5,361.6,359,359,363.5,366,355.5,372.8,359.7,347.6,350.6
"63","56","      Less: Own-account investment \4\","W144RX1",27.3,28.8,31.1,31.8,31.6,31.9,32.9,34.2,35.3,36.1,36.2,34.6,33.4,33.2
"64","57","      Less: Sales to other sectors","W145RX1",311.3,326.8,344.8,351.8,353.7,356.7,358.5,366.2,368.1,365.4,369.4,377.4,387.8,393.4
"65","58","        Tuition and related educational charges","B1065X1",77.1,79.8,80.2,80.3,80.3,77.8,77.8,78.6,78.4,78.3,79.2,81,83.5,85.2
"66","59","        Health and hospital charges","B1066X1",136.7,143.4,155.4,156.2,153.4,154,150.4,154.5,158.6,162.1,167,170.6,176.1,179.1
"67","60","        Other sales \5\","W146RX1",99.9,105.8,110.6,116.3,120.7,125.1,130.3,133.1,131,125,123.3,125.8,128.2,129
"68","61","Residual","W100RX1",-4.8,-4.5,-4,-3.2,-1.5,-1.1,-0.9,-0.2,-0.1,-0.6,0.4,-0.3,-0.6,-0.5
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","structures, software, and research and development in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","5. Includes federal purchases of research and development produced by state and local general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
