"","Table 6#17D# Corporate Profits Before Tax by Industry           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3066C0",18295,19953,15996,13785,17190,20721,26024,31725,38519,38775,41220,39570,52799,NA,NA
"72","65","  Management of companies and enterprises \5\","N3067C0",53968,67913,86731,98821,113149,117365,138437,161721,162909,134608,139113,148131,186036,179083,197542
"73","66","  Administrative and waste management services","N3070C0",8198,8985,8551,10157,10467,14067,15721,23627,20661,26124,23362,22868,28332,28082,33123
"74","67","    Administrative and support services","N3071C0",6389,7533,7274,8594,8305,10878,12822,19201,19563,19886,18574,16351,20282,NA,NA
"75","68","    Waste management and remediation services","N3072C0",1808,1452,1277,1562,2162,3188,2899,4427,1098,6238,4788,6517,8050,NA,NA
"76","69","  Educational services","N3073C0",1926,1996,2020,1718,2333,3106,4346,5208,5295,5233,5895,9571,11395,9451,8483
"77","70","  Health care and social assistance","N3074C0",13108,18938,22703,29064,38358,41832,44050,54214,58080,57590,61253,73226,77721,81665,90125
"78","71","    Ambulatory health care services","N3075C0",10205,14022,16284,22363,27098,29563,31066,37011,39974,38992,42396,50687,52133,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3076C0",1957,3357,3303,2634,6622,7290,7827,10365,10710,8629,9715,11731,13110,NA,NA
"80","73","    Social assistance","N3077C0",946,1558,3116,4066,4638,4978,5157,6838,7397,9969,9142,10809,12478,NA,NA
"81","74","  Arts, entertainment, and recreation","N3078C0",2904,2976,2514,3241,4097,4357,5992,8034,8226,7114,6354,6694,7603,10807,13483
"82","75","    Performing arts, spectator sports, museums, and related activities","N3079C0",1200,1372,1127,1579,1899,2474,3335,3984,4655,4359,4100,4055,3960,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3080C0",1704,1604,1387,1662,2197,1883,2657,4050,3571,2755,2254,2639,3643,NA,NA
"84","77","  Accommodation and food services","N3081C0",9367,11901,14425,11690,13659,12516,16367,22255,24222,21348,14371,13353,17741,21754,31668
"85","78","    Accommodation","N3082C0",2069,3243,4031,1489,2567,1495,3859,5860,6436,4670,1995,-4206,-2861,NA,NA
"86","79","    Food services and drinking places","N3083C0",7298,8658,10394,10201,11092,11020,12507,16395,17786,16679,12375,17560,20602,NA,NA
"87","80","  Other services, except government","N3084C0",3880,3572,5785,6914,4936,5826,6587,11197,12129,11024,7122,9624,14991,15969,17127
"88","81","Rest of the world \6\","B394RC0",102761,122003,146179,170400,158757,166628,205032,239077,256164,353383,406695,352801,395183,436550,418939
"89","82","  Receipts from the rest of the world","B3075C0",146786,177293,203036,183286,205280,250043,328177,383690,433769,510428,581988,493697,584608,653722,665948
"90","83","  Less: Payments to the rest of the world","B3076C0",44025,55290,56857,12886,46523,83415,123145,144613,177605,157045,175293,140896,189425,217172,247009
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","foreign affiliates, and earnings of unincorporated foreign affiliates (line 82), net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","corresponding payments (line 83).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
